,0,1,2,3
0,Bruce Springsteen,rock,Blinded By The Light,"Madman drummers bummers and Indians in the summer with a teenage diplomat 
 In the dumps with the mumps as the adolescent pumps his way into his hat 
 With a boulder on my shoulder, feelin' kinda older, I tripped the merry-go-round 
 With this very unpleasing sneezing and wheezing, the calliope crashed to the ground 
 Some all-hot half-shot was headin' for a hot spot, snappin' his fingers, clappin' his hands 
 And some fleshpot mascot was tied into a lover's knot with a whatnot in her hand 
 And now young Scott with a slingshot finally found the tender spot and throws his lover in the sand 
 And some bloodshot forget-me-not whispers ""Daddy's within earshot,"" save the buckshot, turn up the band 
 And she was blinded by the light 
 Oh, cut loose like a deuce, another runner in the night 
 Blinded by the light 
 She got down, but she never got tight 
 But she'll make it all right 
 Some brimstone baritone anti-cyclone rolling stone preacher from the east 
 He says, ""Dethrone the Dictaphone, hit it in its funny bone, that's where they expect it least"" 
 And some new-mown chaperone standin' in the corner all alone watchin' the young girls dance 
 And some fresh-sown moonstone was messin' with his frozen zone to remind him of the feeling of romance 
 Yeah, he was blinded by the light 
 Oh, cut loose like a deuce, another runner in the night 
 Blinded by the light 
 He got down, but he never got tight 
 But he's gonna make it 
 Tonight 
 Some silicone sister with her manager's mister told me I got what it takes 
 She said, ""I'll turn you on, sonny, to something strong if you'll play that song with the funky break"" 
 And go-kart Mozart was checkin' out the weather chart to see if it was safe to go outside 
 And little Early-Pearly came by in her curly-wurly and asked me if I needed a ride 
 Oh, some hazard from Harvard was skunked on beer playin' backyard bombardier 
 Yes, and Scotland Yard was trying hard 
 They sent some dude with a calling card 
 He said, ""Do what you like, but don't do it here"" 
 Well I jumped up, turned around, spit in the air, fell on the ground 
 Asked him which was the way back home 
 He said, ""Take a right at the light, keep goin' straight until night 
 And then, boys, you're on your own"" 
 And now in Zanzibar a shootin' star was ridin' in a sidecar hummin' a lunar tune 
 Yes, and the avatar said, ""Blow the bar, but first remove the cookie jar, we're gonna teach those boys to laugh too soon"" 
 And some kidnapped handicap was complainin' that he caught the clap from some mousetrap he bought last night 
 Well, I unsnapped his skull cap and between his ears I saw a gap and figured he'd be all right 
 He was just blinded by the light 
 Cut loose like a deuce, another runner in the night 
 Blinded by the light 
 Mama always told me not to look into the sights of the sun 
 Whoa, but, Mama, that's where the fun is 
 Ooh, yeah 
 (I was blinded) Whoa, but, Mama, whoa, but, Mama 
 (I was blinded) Whoa, but, Mama 
 (I was blinded) I was blinded by the light 
 (I was blinded) I was blinded by the light 
 (I was blinded) I was blinded by the light 
 (I was blinded) I was blinded 
 (I was blinded) 
 (I was blinded)"
1,Bruce Springsteen,rock,Growin' Up,"Well I stood stone-like at midnight 
 Suspended in my masquerade 
 And I combed my hair 'til it was just right 
 And commanded the night brigade 
 I was open to pain 
 And crossed by the rain 
 And I walked on a crooked crutch 
 I strolled all alone 
 Through a fallout zone 
 Came out with my soul untouched 
 I hid in the clouded wrath of the crowd 
 When they said, ""Sit down,"" I stood up 
 Ooh-ooh, growin' up 
 And the flag of piracy flew from my mast 
 My sails were set wing to wing 
 I had a jukebox graduate for first mate 
 She couldn't sail but she sure could sing 
 And I pushed B-52 
 And bombed 'em with the blues 
 With my gear set stubborn on standing 
 I broke all the rules 
 Strafed my old high school 
 Never once gave thought to landing 
 I hid in the clouded warmth of the crowd 
 But when they said, ""Come down,"" I threw up 
 Ooh-ooh, growin' up 
 I took month long vacations in the stratosphere 
 And you know it's really hard to hold your breath 
 Swear I lost everything I ever loved or feared 
 I was a cosmic kid in full costume dress 
 Well, my feet they finally took root in the earth 
 But I got me a nice little place in the stars 
 And I swear I found the key to the universe 
 In the engine of an old parked car 
 I hid in the mother breast of the crowd 
 When they said, ""Pull down,"" I pulled up 
 Ooh-ooh, growin' up 
 Ooh-ooh, growin' up 
 Oh"
2,Bruce Springsteen,rock,Mary Queen Of Arkansas,"Mary Queen of Arkansas, it's not too early for dreamin' 
 The sky is grown with cloud seed sown and a bastard's love can be redeeming 
 Mary, my queen, your soft hulk is reviving 
 No, you're not too late to desecrate, the servants are just rising 
 Well I'm just a lonely acrobat, the live wire is my trade 
 I've been a shine boy for your acid brat and a wharf rat of your state 
 Mary, my queen, your blows for freedom are missing 
 You're not man enough for me to hate or woman enough for kissing 
 The big top is for dreamers, we can take the circus all the way to the border 
 And the gallows wait for martyrs whose papers are in order 
 But I was not born to live to die and you were not born for queenin' 
 It's not too late to infiltrate, the servants are just leavin' 
 Mary queen of Arkansas, your white skin is deceivin' 
 You wake and wait to lie in bait and you almost got me believin' 
 But on your bed Mary I can see the shadow of a noose 
 I don't understand how you can hold me so tight and love me so damn loose 
 But I know a place where we can go Mary 
 Where I can get a good job and start all over again clean 
 I got contacts deep in Mexico where the servants have been seen"
3,Bruce Springsteen,rock,Does This Bus Stop At 82nd Street?,"Hey bus driver, keep the change 
 Bless your children, give them names 
 Don't trust men who walk with canes 
 Drink this and you'll grow wings on your feet 
 Broadway Mary, Joan Fontaine 
 Advertiser on the downtown train 
 Christmas Crier bustin' cane hes in love again 
 Well dock workers dreams 
 Mixed with panther schemes 
 To some day own the rodeo 
 Tainted women in Vistivision 
 Perform for out of state kids at the late show 
 Wizard imps and sweat sock pimps 
 Interstellar mongrel nymphs 
 Rex said his lady left him limp 
 Well love's like that, sure it is 
 Well now queen of diamonds ace of spades 
 Newly discovered lovers of the everglades 
 Take out a full page ad in the trades 
 To announce their arrival 
 And Mary Lou found out how to cope 
 She rides to heaven on a gyroscope 
 The daily news asks her for the dope 
 She says man the dope's that there's still hope 
 Sinorita Spanish rose 
 Wipes her eyes and blows her nose 
 Uptown in harlem she throws a rose 
 To some lucky young matador"
4,Bruce Springsteen,rock,Lost In The Flood,"The ragamuffin gunner is returnin' home like a hungry runaway 
 He walks through town all alone 
 He must be from the fort he hears the high school girls say 
 His countryside's burnin' with wolfman fairies dressed in drag for homicide 
 The hit and run, plead sanctuary, 'neath a holy stone they hide 
 They're breakin' beams and crosses with a spastic's reelin' perfection 
 Nuns run bald through Vatican halls pregnant, pleadin' immaculate conception 
 And everybody's wrecked on Main Street from drinking unholy blood 
 Sticker smiles sweet as gunner breathes deep, his ankles caked in mud 
 And I said ""Hey, gunner man, that's quicksand, that's quicksand that ain't mud 
 Have you thrown your senses to the war or did you lose them in the flood?"" 
 That pure American brother, dull-eyed and empty-faced 
 Races Sundays in Jersey in a Chevy stock super eight 
 He rides 'er low on the hip, on the side he's got Bound For Glory in red, white and blue flash paint 
 He leans on the hood telling racing stories, the kids call him Jimmy The Saint 
 Well the blaze and noise boy, he's gunnin' that bitch loaded to blastin' point 
 He rides head first into a hurricane and disappears into a point 
 And there's nothin' left but some blood where the body fell 
 That is, nothin' left that you could sell 
 Just junk all across the horizon, a real highwayman's farewell 
 And he said ""Hey kid, you think that's oil? Man, that ain't oil that's blood"" 
 I wonder what he was thinking when he hit that storm 
 Or was he just lost in the flood? 
 Eighth Avenue sailors in satin shirts they whisper in the air 
 Some storefront incarnation of Maria, she's puttin' on me the stare 
 And Bronx's best apostle stands with his hand on his own hardware 
 Everything stops, you hear five, quick shots, the cops come up for air 
 And now the whiz-bang gang from uptown, they're shootin' up the street 
 And that cat from the Bronx starts lettin' loose 
 And gets blown right off his feet 
 And some kid comes blastin' round the corner but a cop puts him right away 
 He lays on the street holding his leg screaming something in Spanish 
 He still breathing when I walked away 
 And somebody said ""Hey man did you see that? His body hit the street with such a beautiful thud"" 
 I wonder what that dude was sayin' or was he just lost in the flood? 
 They said ""Hey man, did you see that, those poor cats are sure messed up"" 
 I wonder what they were gettin' into, or were they just lost in the flood?"
5,Bruce Springsteen,rock,The Angel,"The angel rides with hunch-backed children, poison oozing from his engine 
 Wieldin' love as a lethal weapon, on his way to hubcap heaven 
 Baseball cards poked in his spokes, his boots in oil he's patiently soaked 
 The roadside attendant nervously jokes as the angel's tires strokes his precious pavement 
 The interstate's choked with nomadic hordes 
 In Volkswagen vans with full running boards dragging great anchors 
 Followin' dead-end signs into the sores 
 The angel rides by humpin' his hunk metal whore 
 Madison Avenue's claim to fame in a trainer bra with eyes like rain 
 She rubs against the weather-beaten frame and asks the angel for his name 
 Off in the distance the marble dome 
 Reflects across the flatlands with a naked feel off into parts unknown 
 The woman strokes his polished chrome and lies beside the angel's bones."
6,Bruce Springsteen,rock,For You,"Princess cards she sends me with her regards 
 Oh barroom eyes shine vacancy, to see her you gotta look hard 
 Wounded deep in battle, I stand stuffed like some soldier undaunted 
 To her Cheshire smile I'll stand on file, she's all I ever wanted 
 Oh but you let your blue walls get in the way of these facts 
 Honey, get your carpetbaggers off my back 
 You wouldn't even give me time to cover my tracks 
 You said, ""Here's your mirror and your ball and jacks"" 
 But they're not what I came for, and I'm sure you see that too 
 I came for you, for you, I came for you, but you did not need my urgency 
 I came for you, for you, I came for you, but your life was one long emergency 
 And your cloud line urges me 
 Oh and my electric surges free 
 Oh crawl into my ambulance, your pulse is getting weak 
 Oh reveal yourself all now to me girl while you've got the strength to speak 
 'Cause they're waiting for you at Bellevue with their oxygen masks 
 But I could give it all to you now if only you could ask 
 Oh and don't call for your surgeon even he says it's too late 
 It's not your lungs this time, it's your heart that holds your fate 
 Don't give me my money, honey, I don't want it back 
 You and your pony face and your Union Jack 
 Well take your local joker and teach him how to act 
 I swear I was never that way even when I really cracked 
 Didn't you think I knew that you were born with the power of a locomotive 
 Able to leap tall buildings in a single bound? 
 And your Chelsea suicide with no apparent motive 
 You could laugh and cry in a single sound, alright 
 And your strength is devastating in the face of all these odds 
 Remember how I kept you waiting when it was my turn to be the god? 
 You were not quite half so proud when I found you broken on the beach 
 Remember how I poured salt on your tongue and hung just out of reach 
 And the band they played the homecoming theme as I caressed your cheek 
 Yeah that ragged, jagged melody, she still clings to me like a leach 
 But that medal you wore on your chest always got in the way 
 Like a little girl with a trophy so soft to buy her way 
 We were both hitchhikers but you had your ears tuned to the roar 
 Of some metal-tempered engine on an alien, distant shore 
 So you left to find a better reason than the one we were living for 
 And it's not that nursery mouth I came back for 
 It's not the way you're stretched out on the floor 
 'Cause I've broken all your windows and I've rammed through all your doors 
 And who am I to ask you to lick my sores? 
 And you should know that's true 
 I came for you, for you, I came for you, but you did not need my urgency 
 I came for you, for you, I came for you, but your life was one long emergency 
 And your cloud line urges me 
 Oh and my electric surges free 
 Ooh"
7,Bruce Springsteen,rock,Spirit In The Night,"Crazy Janey and her Mission Man 
 Were back in the alley tradin' hands 
 'Long came Wild Billy with his friend, G-Man 
 All duded up for Saturday night 
 Well Billy slammed on his coaster brakes 
 And said, ""Anybody wanna go on up to Greasy Lake? 
 It's about a mile down on the dark side of Route 88 
 I got a bottle of rose, so let's try it 
 ""We'll pick up Hazy Davy and Killer Joe 
 And I'll take you all out to where the gypsy angels go 
 They're built like light 
 Ooh, and they dance like spirits in the night"" 
 In the night 
 Oh, you don't know what they can do to ya 
 Spirits in the night 
 Oh, in the night 
 Stand right up now and let it shoot through ya 
 Well now wild young Billy was a crazy cat 
 And he shook some dust out of his coonskin cap 
 He said, ""Trust some of this, it'll show you where you're at 
 Or at least it'll help you really feel it"" 
 Well by the time we made it up to Greasy Lake 
 I had my head out the window and Janey's fingers were in the cake 
 I think I really dug her, 'cause I was to loose to fake 
 I said, ""I'm hurt,"" she said, ""Honey, let me heal it"" 
 And we danced all night to a soul fairy band 
 And she kissed me just right like only a lonely angel can 
 She felt so nice 
 Just as soft as a spirit in the night 
 In the night 
 Oh, Janey don't know what she do to ya 
 Like a spirit in the night 
 All night 
 Stand right up now and let it shoot through me 
 Well now the night was bright and the stars threw light 
 On Billy and Davy dancing in the moonlight 
 They were down near the water having a stoned mud fight 
 Killer Joe gone passed out on the lawn 
 Well now Hazy Davy got really hurt 
 He ran into the lake in just his socks and a shirt 
 Me and Crazy Janey was makin' love in the dirt 
 Singin' our birthday song 
 Janey said it was time to go 
 So we closed our eyes and said goodbye to gypsy angel row 
 Felt so right 
 Together we moved like spirits in the night 
 In the night 
 Oh you don't know what they can do to ya 
 Them spirits in the night 
 All night 
 Oh stand right up and let it shoot through ya 
 Like a spirit in the night 
 All night 
 All night 
 All night 
 All night 
 All night 
 All night 
 ..."
8,Bruce Springsteen,rock,It's Hard To Be A Saint In The City,"I had skin like leather and the diamond-hard look of a cobra 
 I was born blue and weathered but I burst just like a supernova 
 I could walk like Brando right into the sun 
 Then dance just like a Casanova 
 With my blackjack and jacket and hair slicked sweet 
 Silver star studs on my duds like a Harley in heat 
 When I strut down the street I could feel its heartbeat 
 The sisters fell back and said, ""Don't that man look pretty"" 
 The cripple on the corner cried out, ""Nickels for your pity"" 
 Them gasoline boys downtown sure talk gritty 
 It's so hard to be a saint in the city 
 I was the king of the alley, mama, I could talk some trash 
 I was the prince of the paupers crowned downtown at the beggar's bash 
 I was the pimp's main prophet I kept everything cool 
 Just a backstreet gambler with the luck to lose 
 And when the heat came down and it was left on the ground 
 The devil appeared like Jesus through the steam in the street 
 Showing me a hand I knew even the cops couldn't beat 
 I felt his hot breath on my neck as I dove into the heat 
 It's so hard to be a saint when you're just a boy out on the street 
 And the sages of the subway sit just like the living dead 
 As the tracks clack out the rhythm their eyes fixed straight ahead 
 They ride the line of balance and hold on by just a thread 
 But it's too hot in these tunnels you can get hit up by the heat 
 You get up to get out at your next stop but they push you back down in your seat 
 Your heart starts beating faster as you struggle to your feet 
 Then you're out of that hole and back up on the street 
 And them South Side sisters sure look pretty 
 The cripple on the corner cries out, ""Nickels for your pity"" 
 Them downtown boys, they sure talk gritty 
 It's so hard to be a saint in the city 
 ..."
9,Bruce Springsteen,rock,The E Street Shuffle,"Sparks fly on E Street when the boy prophets walk it handsome and hot 
 All the little girls' souls go weak when the man-child gives them a double shot 
 The schoolboy pops pull out all the stops on a Friday night 
 The teenage tramps in skintight pants do the E Street dance and everything's alright 
 And the kids down there, either dancing or hooked up in a scuffle 
 Dressed in snakeskin suits, packed with Detroit muscle 
 They're doing the E Street shuffle 
 Now those E Street brats in twilight duel flashlight phantoms in full star stream 
 Down fire trails on silver nights with blonde girls pledged sweet sixteen 
 The newsboys say the heat's been bad since Power Thirteen gave a trooper all he had in a summer scuffle 
 And Power's girl, Little Angel, been on the corner keeping those crazy boys out of trouble 
 Little Angel steps the shuffle like she ain't got no brains 
 She's deaf in combat down on Lover's Lane 
 She drives all them local boys insane 
 Yes, she does 
 Little Angel says, ""Oh, oh 
 Oh, oh, oh, everybody form a line"" 
 When the sparks fly on E Street when the boy prophets walk it handsome and hot 
 All them little girls' souls go weak when the man-child gives them a double shot 
 Oh, Little Angel hangs out at Easy Joe's, it's a club where all the riot squad goes when they're cashing in for a cheap hustle 
 But them boys are still on the corner loose and doing that lazy E Street shuffle 
 And as them sweet summer nights turn into summer dreams 
 Little Angel picks up Power and he slips on his jeans 
 And they move on out down to the scene 
 All the kids are dancing"
