,0,1,2,3
0,Deicide,metal,Lunatic Of God's Creation,"Servants of death, enchanter of pain 
 From the land of no return, you'll kill again 
 Smear the blood on naked corpse 
 Manson. 
 Lunatic of God's creation 
 No resist 
 Hear the voices of devastation 
 There is darkness in his eyes 
 And you won't see it, before you die 
 Feel the knife of the Lord Divine's 
 Creation."
1,Deicide,metal,Sacrificial Suicide,"Satanized, crucified, feel the wrath of suicide 
 Incus fear on the sphere, angel darkness disappears 
 Covenant, blasphemous, open up unholiness 
 Father Satan, let me lust unholy sins 
 Suicide sacrifice 
 Destruction of holy knife 
 Blood of unholy knife 
 Satan I sacrifice 
 Behold the crucifix, symbol of sterility 
 I am crucifix-Satan 
 Suicide sacrifice, profeasting evil night 
 Lust into reality-Satan 
 Angel of the black abyss, Satan lord I hail 
 Insane blasphemous-Satan 
 Sacrificial Suicide, ritual to end my life 
 Behemoth incess my fate-Satan 
 Damned to hell, end my life 
 Wrath of god-Satan 
 Sin my soul, blessed with fire 
 Throne of stone-Satan 
 I must die, in my wake 
 Seventh gate-Satan 
 Suicide, end my life 
 I must die-Satan 
 Suicide sacrifice, thrust of evil deep inside 
 Lucifer never lies, take away thee mortal life 
 Demigod, Satan son, command the body to the ground 
 Father Satan, I'll find peace when I am god 
 Take me!"
2,Deicide,metal,Oblivious To Evil,"Join us 
 Evil night of an evil death 
 Epitome of Illusion 
 Sacrifice of the unborn child 
 Enter the kingdom of darkness 
 Sodomized for the ritual 
 For there is nowhere to run 
 Open the gates to the manifestation 
 And grant me the powers of darkness 
 Infernal majesty, take this dead offering 
 Feeding the demon seed, evil bestowed on me 
 Exorcise the powers of death 
 Invert my cross of time 
 The realm of Satan anarchy 
 Inside my sacred sign 
 Lucifer bring me the legions of death 
 Abbadon kill until nothing is left 
 Oblivious to evil 
 (Lead - Eric/Brain) 
 Death defied the rituals 
 Of dreams and disillusion 
 Unlock the box and gimp in pain 
 Summon the demons of darkness 
 Evil Gods that fast with flesh 
 Prepare me for the dead 
 Release me from the angels so righteous 
 For your God is dead"
3,Deicide,metal,Dead By Dawn,"Book of the dead, pages bound in human flesh 
 Feasting the beast, from the blood the words were said 
 I am unseen, dreamt the sacred passage aloud 
 Trapped in a dream of the necronomicon 
 Seven lords of an evil and fatal force 
 Levitate through the secret and ancient doors 
 Unbegun, premenating bizarre 
 Swept away to the castle of Cantar 
 Seeking the tomb, tried to possess 
 Immortal sleep, visions of death 
 Drank of the blood, water of life 
 Splendorous son, show me the sign 
 You are dead 
 Blanketing fear, unknown to man 
 Demons appear, death they command 
 (Dead by dawn, dead by dawn, dead by dawn 
 Dead, by, dawn) (x3) 
 Blasphermate me 
 We are what wars, and shall rule again 
 Dead by dawn, chanting death thee ancient hymm 
 This is not real, I am not the chosen one 
 Trapped in a spell of necronomicon 
 Torted pain, in the palace of dead 
 Recitate, through the passages I dreamt 
 Dead, dead by dawn 
 Dead, dead by dawn"
4,Deicide,metal,Blaspherereion,"Bleeding death, undead, broke the seal Suhrim 
 Desecrate, evil ghost Thoth freed him 
 Mass destruction, ended lives, blasphemation, you will die 
 Darkest one, bleeding death, from beyond 
 Death be done, no regression, unforbidden 
 You will die - It's been written 
 Die - BLASPHEREREION 
 Die - BLASPHEREREION 
 Vicious warth Adar, torted past rendered 
 Odious evil, elder death, feast us 
 God's construction, holy doom 
 Don't believe, you're consumed 
 (Pre-chorus/Chorus) 
 Lord chaos, death, save us 
 Kill human kind, life was denied 
 Lord black death, Thoth, confess 
 Send to desecrate, lord blasphemate 
 (Pre-chorus/Chorus)"
5,Deicide,metal,Deicide,"No lord shall stand before myself 
 I can strike the light and see through the truth 
 For I'm the Deicide, Dominus, what could you do 
 Thou has failed you now, once again and always will 
 On the cross, forgotten son, a sacrifice it had to be done 
 Died for me, well that's too bad I don't believe 
 Killed by sins of the evil what I am 
 Your destruction, reasons of a world in pain 
 Blind disciple, you will never live again 
 Wage of death, course of life 
 Unsematic birth of the Deicide 
 Eyes of pain, pleads to death 
 As you're put to rest 
 Three days to rise 
 If he lives again he is sure to die 
 I killed Jesus 
 Just to see him bleed on his pulpis throne 
 I am evil 
 I'm the Deicide and I killed the lord 
 No more reasons 
 I will kill the world in another form 
 I rule this world 
 Nail him 
 (Lead-Brain) 
 I can strike the light and see trought the truth 
 For I'm the Deicide, Dominus, what could you do 
 Thou has failed you now, once again and always will 
 On the cross, forgotten son, a sacrificeit had to be done"
6,Deicide,metal,Carnage In The Temple Of The Damned,"Sacramental ceremony 
 People's temple of the holy 
 Sepulcher for salvation 
 Suicidal confirmation 
 Forgive me father for I have sinned 
 You will never sin again! 
 When we meet again it will be the promised land 
 Death is in command to the victims of the plan 
 In the temple of the dammed 
 Drink the blood, concentrate of death 
 Congregation is dead 
 Carnage of the dead 
 Mass cremations of the blessed 
 Sermonizing fatal end 
 In the temple of the damned 
 Homage of unknown, origin of Mr. Jones 
 Of the final praise to the populated grave 
 In the temple of the saved 
 Death awaits you, to escape is to die 
 Carnage, blessed be the non-divine"
7,Deicide,metal,Mephistopheles,"Invective death, from the hand 
 To write the book of evil 
 Terminus of the overture 
 Recite the role of power 
 Schizophrenic reflex, vesicate, mutilate 
 Refuse the force on which you die 
 Myrmidon of Goethe 
 Abortion of angels that flee for their lives 
 Animated onslaught, expectorated discharge 
 Elegy of evil, visions of light for thou has forgotten 
 Adulation scripture, dominate, terminate 
 Fascist author of Gods 
 Drubbing of his light fears 
 Bring forth the atheist, sent to inseminate 
 Aggravated blasphmere, insurrected one to tell 
 Power through defile 
 Mephisto is coming to claim me for hell 
 Satan. 
 Take me Mephistopheles 
 Insurrect the shield of Satan 
 Grant me immortality 
 To rise"
8,Deicide,metal,Day Of Darkness,"Death is now the day 
 When the fires fall from the sky 
 Let us pray 
 When the darkness falls we will die 
 Endless pain 
 Crucifying death from above 
 We must pay 
 Day of darkness 
 Question our fate when day of darkness 
 Forces of evil now upon us 
 Forces of evil on display 
 Forces of holy brought this day 
 Death is now the day 
 When the reaper calls for the dead 
 We'll be saved 
 In this world of desecrating minds 
 We must pay 
 Crucifying world of evil death 
 Let us pray 
 Day of darkness"
9,Deicide,metal,Crucifixation,"Give praise to Satan, he has won 
 Cynical existence, crucifixion 
 You will give praise to Satan 
 Lord of lords, kind of kings 
 Spread your wings 
 Haunted by the righteous one, bent of my repention 
 Crucifixion Lucifer, save me from destruction 
 Holy priest that can't confirm, shun the cross of evil 
 Violent but undisturbed, wait for thee invertion 
 To break the bonds of evil 
 To die upon the cross 
 To die uncertain death 
 From whom you place it on 
 Crucifixation - Thee unholy denominations 
 Crucifixation - Holy termination 
 You will give praise to Satan 
 Impaled vibration, Crucifixation 
 Levitating act of death, messenger of Satan's mass 
 Blinded by the crucifix, sacrilegious impalement 
 Kill the chosen, righteous son, claim the cross inverted one 
 Everlasting hell damm (n?) ation, from the lord, Crucifixation 
 (Pre-chorus/Chorus) 
 Where's my crucifix? 
 I can't die without it."
10,Deicide,metal,"Satan Spawn, The Caco-Daemon","Shunned from the light 
 Born into darkness never knowing 
 Infant enshrined 
 Spawn of the altar, crush mankind 
 Never will they see you lurking in my shadow 
 Unbenign the hands of God 
 Nummified existence, knower of the wicked 
 Prophesizing flesh of me 
 Daemon call thee ancient, travel unto Satan 
 Bring a forth the blood red sea 
 Evil seed, injected 
 Daemon freed, the calling 
 Demon Lord, master 
 Satan spawn, the Caco-Daemon 
 Satan spawn, the Caco-Daemon 
 Satan spawn, the Caco-Daemon 
 Satan spawn, the Caco-Daemon 
 Satan spawn, the Caco-Daemon 
 Pulled back through time 
 Existence of God you're never knowing 
 Evil unwind 
 Exit the womb, your life is mine 
 Never will they see you lurking in my shadow 
 Unbenign the hands of God 
 Nummified existence, knower of the wicked 
 Prophesizing flesh of me 
 Daemon call thee ancient, travel unto Satan 
 Bring a forth the blood red sea 
 Evil seed, injected 
 Daemon freed, the calling 
 Demon Lord, master 
 Satan spawn, the Caco-Daemon 
 Satan spawn, the Caco-Daemon 
 Satan spawn, the Caco-Daemon 
 Satan spawn, the Caco-Daemon 
 Satan spawn, the Caco-Daemon 
 Satan spawn, the Caco-Daemon 
 Satan spawn, the Caco-Daemon"
11,Deicide,metal,Dead But Dreaming,"Out of my mind into a world between 
 In search of the ancient artistry 
 Lord Kur, before your sword I see 
 The house of death is opening 
 Hanging from their primal sleep 
 Forbidden to be seen 
 Spirit of the elder gods 
 Are dead but must live on 
 Still to life and yet they breathe 
 Dead but dreaming... 
 Lords of the world within the space between 
 Wandering receivers of a sacrifice 
 Lord Kur, beyond your throne you sleep 
 Beneath the seven cities dead 
 Encased in silent tombs 
 Immortally exhumed 
 Spirit of the elder gods 
 Are dead but must live on 
 Still to life and yet they breathe 
 Dead but dreaming... 
 As I smear my blood on thy sword 
 Through the gates into lands I know not 
 On the road where none have returned 
 Come to life, Oh lords of black earth 
 Screaming ancient incantations 
 Sleep unbinded by my sight 
 Dead but dreaming, darkloads waking 
 From the house of death set free 
 Sixty demons, bow before thy 
 Ancient catatonia 
 Elder vengeance, Lord Kur take me 
 Darklords hear me, hung dead bleeding"
