,0,1,2,3
0,Dua Lipa,pop,Genesis,"In the beginning 
 God created heaven and Earth 
 But for what it's worth 
 I think that he might've created you first 
 Just my opinion 
 Your body is the one paradise 
 That I wanna fly to 
 Every day 
 And every night 
 I been sick and tired or runnin' 
 Chasin' all of the flashin' lights 
 These late nights don't mean nothing 
 So I just wanna apologise 
 I'm sorry 
 So sorry! 
 I'm sorry! 
 Yeah 
 I need your love 
 And I'm dying for the rush 
 'Cause my heart ain't got enough 
 I need your touch 
 This is gettin' serious 
 Tell me that it's not the end of us 
 How can we go back to the beginning? 
 How can we go back to the beginning? 
 Without you I've got no air to breathe in 
 How can we go back to the beginning? 
 Don't matter what's written 
 We can start all over again 
 All over again 
 No, how can I get you all over my skin? 
 My deep intuition 
 Tells me that I'm doin' you wrong 
 If I don't come home 
 Just say you forgive me and don't let me go 
 I been sick and tired or runnin' 
 Chasin' all of the flashin' lights 
 These late nights don't mean nothing 
 So I just wanna apologise 
 I'm sorry 
 I'm sorry 
 I'm sorry! 
 Yeah 
 I need your love and I'm dying for the rush 
 Cause my heart ain't got enough 
 I need your touch 
 This is getting serious 
 Tell me that it's not the end of us 
 How can we go back to the beginning? 
 How can we go back to the beginning? 
 Without you, I've got no air to breathe in 
 How can we go back to the beginning? 
 You know, I roar like a lion 
 For you, you know I'll be trying till the sun starts rising 
 I need your love and I'm dying for the rush 
 Cause my heart ain't got enough 
 I need your touch 
 This is getting serious 
 Tell me that it's not the end of us 
 I need your love and I'm dying for the rush 
 Cause my heart ain't got enough 
 I need your touch 
 This is getting serious 
 Tell me that it's not the end of us 
 How can we go back to the beginning? 
 How can we go back to the beginning? 
 Without you, I've got no air to breathe in 
 How can we go back to the beginning?"
1,Dua Lipa,pop,Lost In Your Light,"Over and over 
 Waves of frightening feelings 
 Floating, weightless, I'm willing 
 My will keeps bending and breaking, honey 
 Hold me, trust me 
 Let me ride in your love all night, babe 
 Hold me, touch me 
 I wanna die in your love all night, babe 
 Lost in your light, baby 
 I wanna stay right here all night, baby 
 Let's get lost in the light, baby 
 I wanna stay right here all night, baby 
 Oh, now everything's vivid, vivid 
 Torture tempted with pleasure 
 I'm reckless, tangled, suspended 
 You want it all, nothing's wasted, woman 
 Hold me, trust me 
 You know you can hide in my arms all night now 
 Hold me, trust me 
 I'm gonna ride in your love all night 
 I'm 
 Lost in your light, baby (Alright) 
 I wanna stay right here all night, baby (Alright) 
 Let's get lost in the light, baby (Alright) 
 I wanna stay right here all night, baby 
 (All night, alright) 
 Midnight, your eyes 
 Bitter wine, conversations 
 You and me, some money, babe 
 I don't need a paycheck (Don't need a paycheck) 
 One taste and I'm hooked on it 
 Don't laugh, I know you want it 
 I'm addicted to your light 
 Lost in your light, baby 
 I wanna stay right here all night, baby 
 (All night, darling) 
 Let's get lost in the light, baby (All night) 
 I wanna stay right here all night, baby 
 (All night, all night) 
 Let's get lost in the light, baby"
2,Dua Lipa,pop,Hotter Than Hell,"He calls me the devil 
 I make him wanna sin 
 Every time I knock, he can't help but let me in 
 Must be homesick for the real 
 I'm the realest it gets 
 You probably still adore me 
 With my hands around your neck 
 Can you feel the warmth? Yeah 
 As my kiss goes down you like some sweet alcohol 
 Where I'm coming from, yeah 
 It's the darker side of me that makes you feel so numb 
 'Cause we're hot like hell 
 Does it burn when I'm not there? 
 When you're by yourself 
 Am I the answer to your prayers 
 I'm giving you that pleasure heaven 
 And I'll give it to you 
 Hotter than hell 
 Hotter than hell 
 You're my manna from heaven 
 We all gotta get fed 
 Can let me know I'm wanted 
 Can let me in your head 
 I'm not here to make you kneel 
 But it's praise that I'll get 
 You ain't gonna walk free boy 
 Not finished with you yet, no 
 Can you feel the warmth? Yeah 
 As my kiss goes down you like some sweet alcohol 
 Where I'm coming from, yeah 
 It's the darker side of me that makes you feel so numb 
 'Cause we're hot like hell 
 Does it burn when I'm not there? 
 When you're by yourself 
 Am I the answer to your prayers 
 I'm giving you the pleasure of heaven 
 And I'll give it to you 
 Hotter than hell 
 Hotter than hell 
 When we go down right there 
 You make me feel right there 
 When you lay me down right there 
 We just make it right there 
 'Cause you're looking so right there 
 Baby you should touch me right there 
 You can take me right there 
 We can make it 
 Hot like hell 
 Does it burn when I'm not there? 
 When you're by yourself 
 Am I the answer to your prayers 
 I'm giving you that pleasure heaven 
 And I'll give it to you 
 Hotter than hell 
 Hotter than hell 
 Hotter than hell 
 Hotter than hell 
 And I'll give it to you 
 Hotter than hell"
3,Dua Lipa,pop,Be The One,"I see the moon 
 I see the moon 
 I see the moon 
 Oh when you're looking at the Sun 
 Not a fool 
 I'm not a fool 
 Not a fool 
 No you're not fooling anyone 
 Oh but when you're gone 
 When you're gone 
 When you're gone 
 Oh baby, all the lights go out 
 Thinking oh that, baby, I was wrong 
 I was wrong 
 I was wrong 
 Come back to me, baby, we can work this out 
 Oh baby come on, let me get to know you 
 Just another chance so that I can show 
 That I won't let you down, oh no 
 No I won't let you down, oh no 
 'Cause I could be the one 
 I could be the one 
 I could be the one 
 I could be the one 
 I see in blue 
 I see in blue 
 I see in blue 
 Oh and you see everything in red 
 And there's nothing that I wanna do for you 
 Do for you 
 Do for you 
 Oh cause you got inside my head 
 Oh but when you're gone 
 When you're gone 
 When you're gone 
 Oh baby, all the lights go out 
 Thinking oh that, baby, I was wrong 
 I was wrong 
 I was wrong 
 Come back to me, baby, we can work this out 
 Oh baby come on, let me get to know you 
 Just another chance so that I can show 
 That I won't let you down, oh no 
 No I won't let you down, oh no 
 'Cause I could be the one 
 I could be the one 
 I could be the one 
 Be the one, be the one 
 Be the one, be the one 
 Be the one, be the one 
 I could be the one 
 Be the one, be the one 
 Be the one, be the one 
 Be the one, be the one 
 I could be the one 
 Be the one, be the one 
 Be the one, be the one 
 Be the one, be the one 
 Will you be mine? 
 Oh baby come on, let me get to know you 
 Just another chance so that I can show 
 That I won't let you down, oh no 
 No I won't let you down, oh no 
 'Cause I could be the one 
 I could be the one 
 I could be the one"
4,Dua Lipa,pop,IDGAF,"You call me all friendly 
 Tellin' me how much you miss me 
 That's funny, I guess you've heard my songs 
 Well, I'm too busy for your business 
 Go find a girl who wants to listen 
 'Cause if you think I was born yesterday 
 You have got me wrong 
 So I cut you off 
 I don't need your love 
 'Cause I already cried enough 
 I've been done 
 I've been movin' on since we said goodbye 
 I cut you off 
 I don't need your love, so you can try all you want 
 Your time is up, I'll tell you why 
 You say you're sorry 
 But it's too late now 
 So save it, get gone, shut up 
 'Cause if you think I care about you now 
 Well, boy, I don't give a fuck 
 I remember that weekend 
 When my best friend caught you creepin' 
 You blamed it all on the alcohol 
 So I made my decision 
 'Cause you made your bed, sleep in it 
 Play the victim and switch your position 
 I'm through, I'm done 
 So I cut you off 
 I don't need your love 
 'Cause I already cried enough 
 I've been done 
 I've been movin' on since we said goodbye 
 I cut you off 
 I don't need your love, so you can try all you want 
 Your time is up, I'll tell you why 
 You say you're sorry 
 But it's too late now 
 So save it, get gone, shut up 
 'Cause if you think I care about you now 
 Well, boy, I don't give a fuck 
 I see you tryna' get to me 
 I see you beggin' on your knees 
 Boy, I don't give a fuck 
 So stop tryna' get to me 
 Tch, get up off your knees 
 'Cause, boy, I don't give a fuck 
 About you 
 No, I don't give a damn 
 You keep reminiscing on when you were my man 
 But I'm over you 
 Now you're all in the past 
 You talk all that sweet talk, but I ain't comin' back 
 Cut you off 
 I don't need your love 
 So you can try all you want 
 Your time is up, I'll tell you why 
 (I'll tell you why) 
 You say you're sorry 
 But it's too late now 
 So save it, get gone, shut up 
 (Too late now) 
 'Cause if you think I care about you now 
 Well, boy, I don't give a fuck 
 (Boy, I don't give a fuck) 
 I see you tryna' get to me 
 I see you beggin' on your knees 
 Boy, I don't give a fuck 
 So stop tryna' get to me (get to me) 
 Tch, get up off your knees 
 'Cause, boy, I don't give a fuck"
5,Dua Lipa,pop,Blow Your Mind (Mwah),"I know it's hot 
 I know we've got 
 Something that money can't buy 
 Fighting to fifths 
 Biting your lip 
 Loving too late in the night 
 Tell me I'm too crazy 
 You can't tame me, can't tame me 
 Tell me I have changed 
 But I'm the same me, old same me 
 Inside 
 Hey! 
 If you don't like the way I talk, then why am I on your mind? 
 If you don't like the way I rock, then finish your glass of wine 
 We fight and we argue, you'll still love me blind 
 If we don't fuck this whole thing up 
 Guaranteed, I can blow your mind 
 Mwah! 
 And tonight I'm alive, ain't a dollar sign 
 Guaranteed, I can blow your mind, mwah 
 And tonight I'm alive, ain't a dollar sign 
 Guaranteed, I can blow your mind, mwah 
 (Mwah, mwah, mwah, mwah...) 
 Yeah, I'm so bad 
 Best that you've had 
 I guess you're digging the show 
 Open the door 
 You want some more 
 When you wanna leave, let me know 
 Tell me I'm too crazy 
 You can't tame me, can't tame me 
 Tell me I have changed 
 But I'm the same me, old same me 
 Inside 
 Hey! 
 If you don't like the way I talk, then why am I on your mind? 
 If you don't like the way I rock, then finish your glass of wine 
 We fight and we argue, you'll still love me blind 
 If we don't fuck this whole thing up 
 Guaranteed, I can blow your mind 
 Mwah! 
 And tonight I'm alive, ain't a dollar sign 
 Guaranteed, I can blow your mind, mwah 
 And tonight I'm alive, ain't a dollar sign 
 Guaranteed, I can blow your mind, mwah 
 (And tonight I'm alive, ain't a dollar sign) 
 (Guaranteed, I can blow your mind, mwah, hey!) 
 (And tonight I'm alive, ain't a dollar sign) 
 (Guaranteed I can blow your mind, hey!) 
 Tell me I'm too crazy 
 You can't tame me, can't tame me 
 Tell me I have changed 
 But I'm the same me, old same me 
 Inside 
 Hey! 
 Mwah! 
 If you don't like the way I talk, then why am I on your mind? 
 If you don't like the way I rock, then finish your glass of wine 
 We fight and we argue, you'll still love me blind 
 If we don't fuck this whole thing up 
 Guaranteed, I can blow your mind 
 Mwah! 
 And tonight I'm alive, ain't a dollar sign 
 Guaranteed, I can blow your mind, mwah 
 And tonight I'm alive, ain't a dollar sign 
 Guaranteed, I can blow your mind, mwah"
6,Dua Lipa,pop,Garden,"Remember when we swam in the ocean? 
 Now we know what's deep inside 
 Remember when we ran in the open? 
 Now we know what's in the wild 
 Used to think that this love was heaven sent 
 How did we get lost? Can't get back again 
 Tell me, is there light on the outside? 
 So are we leaving this garden of eden? 
 Are we leaving this garden of eden? 
 Used to walk around your apartment 
 With nothing, but a smile on me 
 But tonight, I'm so self conscious 
 Isn't it so clear to see? 
 Nothing's ever perfect in paradise 
 Don't know what it's worth till you pay the price 
 When you bite your tongue does it draw blood? 
 So are we leaving this garden of eden? 
 Are we leaving this garden of eden? 
 Now I know what I know 
 But it's hard to find the meaning 
 Where do we go? 
 'Cause we don't believe in this garden of eden 
 (Eden, eden, eden...) 
 This garden of eden 
 (Eden, eden, eden...) 
 I have cried for you, and I'll ride for you 
 I would die for you, would you do that for me? 
 Tell the truth, what you wanna do 
 Is it me and you? 
 Are you with me, honey? 
 I have cried for you, and I'll ride for you 
 I would die for you, would you do that for me? 
 Tell the truth, what you wanna do 
 Is it me and you? 
 Are you with me? 
 So are we leaving this garden of eden? 
 Are we leaving this garden of eden? 
 Now I know what I know 
 But it's hard to find the meaning 
 Where do we go? 
 'Cause we don't believe in this garden of eden 
 (Eden, eden, eden...) 
 This garden of eden 
 (Eden, eden, eden...) 
 Remember when we swam in the ocean? 
 Now we know what's deep inside 
 Remember when we ran in the open? 
 So are we leaving? 
 (Are we leaving this garden of eden?) 
 Are we leaving? 
 (Are we leaving this garden of eden?) 
 Now I know what I know 
 But it's hard to find the meaning 
 Where do we go? 
 'Cause we don't believe in this garden of eden 
 (Eden, eden, eden...) 
 This garden of eden 
 (Eden, eden, eden...)"
7,Dua Lipa,pop,No Goodbyes,"Maybe one day I can see you 
 We can smile and wave, and it'll be okay 
 Maybe one day it'll be cool 
 We could just be friends without the complications that it brings 
 When we start saying things 
 Yeah, I hurt you, and you hurt me 
 Yeah, we did some things that we can never take back 
 And we tried hard just to fix it 
 But we broke it more 
 And so I guess some things are not meant to last 
 Is it too much to ask? 
 For tonight 
 Let's love like there's no goodbyes (no goodbyes) 
 Just for tonight 
 Pretend that it's all all right (all all right) 
 Why don't we hold each other, use each other, whisper pretty lies? 
 Just for tonight 
 Let's love like there's no goodbyes (no goodbyes) 
 No goodbyes 
 No goodbyes 
 No goodbyes, eh 
 In a dark room 
 We don't have to see the light of truth between me and you 
 We can stay blind in the meantime 
 Let our bodies say what we can never seem to communicate 
 Even though it's too late 
 For tonight 
 Let's love like there's no goodbyes (no goodbyes) 
 Just for tonight 
 Pretend that it's all all right (all all right) 
 Why don't we hold each other, use each other, whisper pretty lies? 
 Just for tonight 
 Let's love like there's no goodbyes (no goodbyes) 
 No goodbyes 
 No goodbyes 
 No goodbyes, eh 
 No goodbyes 
 No goodbyes 
 No goodbyes, eh 
 Maybe one day I'll see you 
 Just smile and wave and be okay 
 For tonight 
 Let's love like there's no goodbyes 
 Just for tonight 
 Pretend that it's all all right (all all right) 
 Why don't we hold each other, use each other, whisper pretty lies? 
 Just for tonight 
 Let's love like there's no goodbyes (no goodbyes) 
 No goodbyes 
 No goodbyes 
 No goodbyes, eh 
 No goodbyes 
 No goodbyes 
 No goodbyes, eh"
8,Dua Lipa,pop,Thinking 'Bout You,"3 AM and my neighbours hate me 
 Music blasting, shaking these walls 
 This time mary-jane won't save me 
 I've been working later 
 I've been drinking stronger 
 I've been smoking deeper 
 But the memories won't stop 
 I can't stop thinking 'bout you 
 I can't stop thinking 'bout you 
 I can't get high 
 I can't get by 
 I can't get through 
 I can't stop thinking 'bout you 
 Like poison coursing through me 
 So clear, my vision is blurred 
 The haze won't put my mind out it 
 I've been sleeping later 
 I've been breathing stronger 
 I've been digging deeper 
 But the memories won't stop 
 I can't stop thinking 'bout you 
 I can't stop thinking 'bout you 
 I can't get high 
 I can't get by 
 I can't get through 
 I can't stop thinking 'bout you 
 (I want you all) 
 Say it before you run outta time 
 (I want you all) 
 Say it before it's too late 
 (I want you all) 
 Say what I am feeling, oh 
 (I want you all) 
 Waiting is insane 
 I can't stop thinking 'bout you 
 I can't stop thinking 'bout you 
 I can't get high 
 I can't get by 
 I can't get through 
 I can't stop thinking 'bout you 
 I can't stop thinking 'bout you 
 I can't get high 
 I can't get by 
 I can't get through 
 I can't stop thinking 'bout you"
9,Dua Lipa,pop,New Rules,"(One, one, one) 
 Talkin' in my sleep at night, makin' myself crazy 
 (Out of my mind, out of my mind) 
 Wrote it down and read it out, hopin' it would save me 
 (Too many times, too many times) 
 My love, he makes me feel like nobody else, nobody else 
 But my love, he doesn't love me, so I tell myself, I tell myself 
 One, don't pick up the phone 
 You know he's only calling 'cause he's drunk and alone 
 Two, don't let him in 
 You'll have to kick him out again 
 Three, don't be his friend 
 You know you're gonna wake up in his bed in the mornin' 
 And if you're under him 
 You ain't gettin' over him 
 I got new rules, I count 'em 
 I got new rules, I count 'em 
 I gotta tell them to myself 
 I got new rules, I count 'em 
 I gotta tell them to myself 
 I keep pushin' forwards but he keeps pullin' me backwards 
 (Nowhere to turn, no way, nowhere to turn, no) 
 Now I'm standin' back from it, I finally see the pattern 
 (I never learn, I never learn) 
 But my love, he doesn't love me, so I tell myself, I tell myself 
 I do, I do, I do 
 One, don't pick up the phone 
 You know he's only calling 'cause he's drunk and alone 
 Two, don't let him in 
 You'll have to kick him out again 
 Three, don't be his friend 
 You know you're gonna wake up in his bed in the mornin' 
 And if you're under him 
 You ain't gettin' over him 
 I got new rules, I count 'em 
 I got new rules, I count 'em 
 I gotta tell them to myself 
 I got new rules, I count 'em 
 I gotta tell them to myself 
 Practice makes perfect, I'm still tryna learn it by heart 
 (I got new rules, I count 'em) 
 Eat, sleep and breathe it, rehearse and repeat it 'cause I 
 (I got new, I got new, I got new) 
 One, don't pick up the phone 
 You know he's only calling 'cause he's drunk and alone 
 Two, don't let him in 
 You'll have to kick him out again 
 Three, don't be his friend 
 You know you're gonna wake up in his bed in the mornin' 
 And if you're under him 
 You ain't gettin' over him 
 I've got new rules, I count 'em 
 I've got new rules, I count 'em 
 I've gotta tell them to myself 
 I've got new rules, I count 'em 
 (Baby, you know I count 'em) 
 I've gotta tell them to myself 
 Don't let him in, don't let him in 
 (Don't, don't, don't, don't) 
 Don't be his friend, don't be his friend 
 (Don't, don't, don't, don't) 
 Don't let him in, don't let him in 
 (Don't, don't, don't, don't) 
 Don't be his friend, don't be his friend 
 (Don't, don't, don't, don't) 
 You're gettin' over him"
