,0,1,2,3
0,Faith No More,rock,We Care A Lot,"We care a lot! 
 We care a lot! 
 We care a lot! 
 About disasters, fires, floods and killer bees 
 About the NASA shuttle fallin' in the sea 
 We care a lot! 
 About starvation and the food that Live Aid bought 
 We care a lot! 
 About disease, baby, rock, Hudson, rock! 
 Yeah! 
 Woo! 
 (Whoa, whoa) Oh, it's a dirty job but someone's gotta do it 
 Oh, it's a dirty job but someone's gotta do it 
 We care a lot! 
 We care a lot! 
 We care a lot! 
 About the gamblers and the pushers and the geeks 
 We care a lot! 
 About the smack and crack and whack that hits the street 
 We care a lot! 
 About the welfare of all you boys and girls 
 We care a lot! 
 About you people 'cause we're out to save the world! 
 Yeah! 
 Woo! Woo! 
 It's a dirty job but someone's gotta do it (Whoa, whoa) 
 Oh, it's a dirty job but someone's gotta do it 
 Said, it's a dirty job but someone's gotta do it 
 Oh, it's a dirty job but someone's gotta do it 
 Oh, it's a dirty job but someone's gotta do it (Whoa, whoa) 
 Oh, it's a dirty job but someone's gotta do it 
 Oh, it's a dirty job but someone's gotta do it 
 Said, it's a dirty job but someone's gotta do it 
 We care a lot! 
 About the army, navy, air force and marines 
 We care a lot! 
 About the NY-, SF-, and LAPD 
 We care a lot! 
 About you people 
 We care a lot! 
 About your guns 
 We care a lot! 
 About the wars we're fighting 
 Gee, that looks like fun! 
 We care a lot! 
 About the Garbage Pail Kids, they never lie 
 We care a lot! 
 About Transformers 'cause there's more than meets the eye 
 We care a lot! 
 About the little things the bigger things we top 
 We care a lot! 
 About you people, yeah you bet we care a lot! 
 Yeah! 
 Woo! Woo! 
 (Whoa, whoa) 
 Oh, it's a dirty job but someone's gotta do it 
 Oh, it's a dirty job but someone's gotta do it 
 (Whoa, whoa) 
 Said, it's a dirty job but someone's gotta do it 
 Well, it's a dirty job but someone's gotta do it 
 Said, it's a dirty job but someone's gotta do it 
 Oh, it's a dirty job but someone's gotta do it (Whoa, whoa) 
 Well, it's a dirty job but someone's gotta do it 
 Said, it's a dirty job but someone's gotta do it 
 Oh, it's a dirty song but someone's gotta sing it now"
1,Faith No More,rock,The Jungle,"Well, just follow your heart, man oh man 
 Try and see, if you can, ha Ha 
 Jungle sounds great 
 Lots of scary noise 
 Don't deter us from our journey onward 
 Hey man, let your spirit go 
 To the full extent of the meaning 
 La, la, la, la, la, la, la 
 Hey man, let your spirit go 
 To the full extent of the meaning 
 La, la, la, la, la, la, la 
 He said, 
 ""And follow me to the deepest part of the jungle 
 Where it is always dark and wet and warm 
 To the sacred part."" 
 Well, just follow your heart, man oh man 
 Try and see, if you can, ha Ha 
 Jungle sounds great 
 Lots of scary noise 
 Don't deter us from our journey onward 
 We pushed and followed 
 Only our deepest, hidden senses, senses 
 And exposed to the elements 
 That lie within 
 Hey, hey, hey, hey"
2,Faith No More,rock,Mark Bowen,"Love...it's a beginning 
 A justifiable means to an end 
 And happiness, that triumphant feeling 
 Only comes from within 
 But you'll never make the grade 
 No you'll never, ever reach that plateau 
 You're down below 
 And it's where your soul will forever glow 
 But it's not that ray of sunshine that feels so warm 
 It's just that bottomless inferno 
 You're in the depths of hell 
 And I think that's swell 
 And I hope you get well 
 Well done, fried in and out 
 Burned to a crisp, if that's what I wish 
 I didn't write these rules 
 I just follow them to a tee 
 'Cause that's me, I'm evil 
 I'm hateful, I'm sinful, forgetful, mistrustful 
 I'm diseased and contagious 
 I'm suicide, homicide, genocide, pesticide 
 I'm a human bomb 
 I'll kill anyone 
 And so are you, So don't be coy 
 Cause you too can destroy me like a toy 
 Not like Mark Bowen 
 He never done nothin' to no one 
 That didn't deserve it"
3,Faith No More,rock,Why Do You Bother?,"Why hold on? 
 Your hands are getting sore 
 You must be scared of something from the time before, well 
 We're here again 
 How long, who knows? 
 It's not your right to tell me where this trip will go 
 Pull away, you're dying today 
 You could enjoy it 
 If you could take your feelings with you 
 But put your mind on me and suck my energy 
 And see the speed gets higher 
 I see you hold on tighter 
 Tighter 
 Tighter 
 But just fatigue 
 Is all your face will show 
 It's weary from the stress 
 Getting delirious 
 I didn't want this race 
 We can""t keep up this pace 
 We don't want to get well 
 We want to go to hell 
 We want an urban dream 
 The fucking urban scream 
 This time was mine to borrow 
 I'll pay for it tomorrow 
 You'll pay for it today 
 And as we drive away 
 I'll make my pleasure greater 
 Push the accelerator 
 (And down we go) 
 (And down we go) 
 We don't want to get well 
 We want to go to hell 
 We want an urban dream 
 The fucking urban scream 
 This time was mine to borrow 
 I'll pay for it tomorrow 
 You'll pay for it today 
 And as we drive away 
 I'll make my pleasure greater 
 Push the accelerator"
4,Faith No More,rock,Greed,"Over the hills, they came from the valley 
 Making innuendoes about my lack of talent 
 Oh well 
 Over the hills, they came from the valley 
 Making innuendoes about my lack of talent 
 Oh well 
 They say that when I'm supposed to be singing 
 All I 'm really doing is yelling 
 Oh well, to you I say 
 Break out or get out 
 Then they say that I can't sing 
 That I don't say a thing 
 That I make everything up 
 Oh well, to you I say 
 Break out or get out 
 Break out or get out 
 Get out of your mind 
 'Cause it's much too small 
 And there's so much going on"
5,Faith No More,rock,As The Worm Turns,"One day you're thinking that maybe you're feeling better 
 And you're probably an okay person 
 If only you had a job 
 Through the hollow tombs can see them 
 Through their mouths I can hear them praying for pain 
 But it's only a game 
 Listen man, I know 
 That things are really rough 
 And everybody gets you 
 And life is really tough 
 But I know that deep down inside 
 There's a feeling that rides 
 All the way to the end, oh 
 Thursday you sit in your room 
 With the lights turned out 
 And you don't answer the door 
 Friday morning looks sunny and bright 
 Like it's going to be a good day 
 And it would be if only you had a job, oh 
 Time is on your side, you're young 
 Don't waste your time today, oh"
6,Faith No More,rock,Arabian Disco,"Has it been so long? 
 Do you think we know? 
 Do you think we care? 
 Die for the here and now 
 Do you remember why? 
 Do you remember how? 
 Just face out 
 Then stick back 
 Stick your chest out 
 Stomach in 
 That's right 
 Wooh 
 Do you really know? 
 Where the harems go? 
 In the desert snow? 
 Hail 
 An oasis dream 
 Doesn't really seem 
 To mean a thing 
 When you're out cold 
 So hands up 
 Put your guards up 
 Feet down 
 Up, down 
 Forward march 
 Left, right 
 Cold, cold, cold 
 I feel cold"
7,Faith No More,rock,New Beginnings,"A freedom everywhere 
 A glow in her eye as he waved goodbye 
 That's where it all began 
 She was a loving girl, he was a caring guy 
 Together they had plans 
 They were married and had a baby 
 His name was Johnny 
 Wait a minute, that's me 
 Why am I only three years old again 
 Spinning and spinning and spinning 
 There was no gleam in your eye 
 When you passed us by in the parade this time 
 You had nothing to say 
 And you're always on your way somewhere 
 But today you just stood still 
 You were a quiet kind of person 
 Who asked for nothing and got just that 
 So they sent you away to kill for your country 
 Could you blame him? 
 Can you blame him? No 
 And in the end 
 When we meet again we're friends 
 Will we ever learn that we are only God's children 
 And God never made moral decisions 
 God made love"
8,Faith No More,rock,Faster Disco,"Styling 
 You know you are styling 
 So turn to the mirror 
 And blow yourself a kiss 
 It goes just like this, wooh 
 You've done it a thousand times 
 It's as easy as drinking wine 
 Only now it's blood 
 Here it come again 
 (treating you so kind) 
 Till it comes again 
 (leaving you no mind) 
 Here it come again 
 (treating you so kind) 
 Till it comes again 
 (leaving you no mind) 
 Your feelings 
 They flow without reason 
 So look to the stars above 
 And blow it all away 
 I come without warning, yeah 
 Some call me morning 
 I wipe all your tears away 
 The evil ones I kill 
 Here it come again 
 (treating you so kind) 
 Till it comes again 
 (leaving you no mind) 
 Here it come again 
 (treating you so kind) 
 Till it comes again 
 (leaving you no mind) 
 Taking the form of pain this time 
 It never treats you unkind 
 Your followers, lead them blind 
 And suck away their lives 
 'Cause yours depends on it 
 Here it come again 
 (treating you so kind) 
 Here it come again 
 (leaving you no mind) 
 Chasing the night away 
 (treating you so kind) 
 Chasing the night away 
 (leaving you no mind) 
 Chasing the night away 
 Chasing the night away 
 Chasing the night away"
9,Faith No More,rock,Anne's Song,"Hey 
 What? What? What? What? What? What? Huh? 
 Oh, nothing 
 Just wondering why it is you're doing 
 What? What is you're doing 
 That whatever it is you're doing 
 Oh yeah, why? Why? 
 I dunno 
 It just doesn't seem like something you'd be doing, I mean 
 You of all people, ha. Know what I mean? 
 Yeah, I know it's been bugging you since the day I was born, huh? 
 I asked my friend Anne about it 
 I said, 
 ""Anne, Anne, Anne, what am I supposed to do, huh? 
 It's been bugging them since the day that I was born."" 
 She said, 
 ""Do whatever the hell you want to do! 
 Now is the time when you can do anything. 
 Everything you do, anything, it will still turn out great. 
 You've got the world at your feet."" 
 I never claimed to be different 
 I only said I was bored 
 And she's tired of your uniqueness 
 It sends her over head first 
 Then the rest of her follows 
 The breath of life, it never left her hollow 
 ""And I can do everything,"" 
 she says. She says with a smile. 
 And I can go anywhere tonight, 'cause I'm with Anne 
 Anne, Anne, Who? Anne Dagnabit 
 Island princess girl with the juice 
 What's this? I see she brought her whole uplown contingent 
 First there's Johnny 
 He always loves a party 
 He's followed by Vinnie 
 Who's feelin' kinda skinny 
 He says, 
 ""Hey Anne I'm starved what you got to eat?"" 
 She says, 
 ""Vinnie, you're always starving. 
 Man get away from that fridge."" 
 Now, here comes Lucy 
 She's feelin' really sexy 
 She's followed by her boyfriend 
 Who'd better not turn around this time or he's bound to lose her 
 And followed by Jamilla, who's got the cream soda 
 And I can do everything, I won't tell you again 
 And we can go anywhere tonight, 'cause we're with Anne 
 Anne 
 And we can do anything we want, we'll tell you again 
 We can can go anywhere tonight, 'cause we're with Anne Anne Anne 
 Who? Anne Dagnabit 
 Island princess girl with the juice 
 Girl with the hots, hots for Ricky 
 Whoop we're having fun, hey 
 Whoop we're having fun, hey 
 Hey hey Hey you guys!?  What!? 
 Additude Additude... 
 Hey!"
