,0,1,2,3
0,Gorgoroth,metal,Begravelsesnatt,"Dypt i den mørke fjellhulen, jakt på Troll 
 De skaut ihjel, tillits død, tillits blod og storm 
 Storm til gjerning, storm til brynjer 
 Storm tilbake hit når fienden, som gikk og stengte fjellet bak 
 Dypt i den mørke fjellhulen, jakt på Troll 
 De skaut ihjel, tillits død, tillits blod og storm 
 Storm til gjerning, storm til brynjer 
 Storm tilbake hit når fienden, som gikk og stengte fjellet bak 
 Gløtt, langs fjell, til der hvor solen står høgt 
 Hat blir stilt av Trolldom og høydens skodde 
 Hjertet til de frie skal briste 
 Skrik skal bli minnet, skrevet på en sort svart himmel 
 Aldri mer skal bergtrollet sture, aldri mer skal solens tåke stikke 
 Blæh 
 Jøåååååårrraaa 
 Jææh 
 Inatt slumrer solens tåke 
 Aldri 
 Aldri må solens tåke slikke hans sjel."
1,Gorgoroth,metal,Bergtollets Hevn,"Dypt i den mørke fjellhulen, jakt på Troll 
 De skaut ihjel, tillits død, tillits blod og storm 
 Storm til gjerning, storm til brynjer 
 Storm tilbake hit når fienden, som gikk og stengte fjellet bak 
 Dypt i den mørke fjellhulen, jakt på Troll 
 De skaut ihjel, tillits død, tillits blod og storm 
 Storm til gjerning, storm til brynjer 
 Storm tilbake hit når fienden, som gikk og stengte fjellet bak 
 Gløtt, langs fjell, til der hvor solen står høgt 
 Hat blir stilt av Trolldom og høydens skodde 
 Hjertet til de frie skal briste 
 Skrik skal bli minnet, skrevet på en sort svart himmel 
 Aldri mer skal bergtrollet sture, aldri mer skal solens tåke stikke 
 Blæh 
 Jøåååååårrraaa 
 Jææh 
 Inatt slumrer solens tåke 
 Aldri 
 Aldri må solens tåke slikke hans sjel."
2,Gorgoroth,metal,Profetens Åpenbaring,"Satan sender profetene syner 
 De før aldri hadde kunne drømt om 
 Både konger og kongesønner 
 Prester skal vanæres 
 Spedbarn skal slaktes i gatene 
 Og gråtende skal kvinner måtte spise sine barn 
 Og hva med straffen? 
 Bli druknet og kle dem naken 
 Ødeleggelse og undergang 
 Gru og grav har blitt folkets lov 
 Gru og grav har blitt folkets lov 
 Gud ligger på bakken 
 Gråtende med mot og hunger 
 Satan tenner 
 En fortærende ild 
 Satan tenner 
 En fortærende ild 
 Satan sender profetene syner 
 De før aldri hadde kunne drømt om 
 Ødeleggelse og undergang 
 Gru og grav har blitt folkets lov 
 Gru og grav har blitt folkets lov"
3,Gorgoroth,metal,The Devil Is Calling,"Go out and see the churches how they are burning like Hell 
 When the Devil is calling, when Heaven is falling 
 Have you got a soul to save? 
 Now Satan is raping the nuns with joy 
 Now Jesus cries loud out in vain 
 There is no hope at all on Earth or in Heaven 
 When the angels have all been slain 
 Where were you when the Devil asked for your heart? 
 Didn't you hear the call from below? 
 When you were in betrayal 
 You see me now from whom you turned away? 
 Frightened for your earthly domain 
 Forever covered in fog 
 Now even when you turned away 
 You followed your god like a dog. 
 Now you all didn't have a soul to save 
 Know it will forever burn in Hell."
4,Gorgoroth,metal,Slottet I Det Fjerne,"Kan du oyne Slottet i det fjerne 
 Og dets lystige, skralende fest 
 Par som danser, par som ler 
 Par som svommer i uaktsom Synd 
 Og under den sol som dom (de) sorte tilber 
 Feirer de nyar med festing og tull 
 En skammelig Synd som Guder anser 
 Som andelig makkverk 
 Og hullene er graver 
 Som bare er for dem 
 Med andelige naler 
 Som for alltid... 
 Vil pine alle lem 
 Kan du oyne Slottet i det fjerne 
 Fra din morke, Grimme hule 
 Sa kan du hati tusen ar - 
 Fryde deg over den smerten de far"
5,Gorgoroth,metal,Incipit Satan,"Ridin' blind from heaven high 
 From volvy the chain 
 If hate sudden children 
 Why repare the choke of unchances lierin' worm 
 Through a new bladin' in 
 Tired to raped your lair 
 Write the janata decive 
 Blessin' in dark heaven 
 Run tied from hell 
 Run chain of the hebrow 
 Rechain the proved new earth 
 When blood rages in the sky 
 Chaos head destruction 
 Incipit Satan 
 Incipit Satan 
 Incipit Satan 
 Incipit Satan 
 Destroyed of all 
 God along destruction 
 Destroyed of all 
 Rise of pop hell 
 Incipit Satan 
 Incipit Satan 
 Incipit Satan 
 Incipit Satan ..."
6,Gorgoroth,metal,A World To Win,"For you the life of temptation 
 Temptations so wild 
 With the suffers hold my glad 
 Treasures blood will raped by so lies 
 So natural so wild, get it's the silent sun 
 Resurrection run the beautiful world 
 Now want to cut a world to win 
 The beautiful world, ya, how we must to grasp you"
7,Gorgoroth,metal,Litani Til Satan,"Dear siteowners, 
 Please note that I am writing on behalf of Prophecies Publishing (PP) and as their business manager. PP is the official music publishing company of the band Grogoroth. 
 The band has requested us to take care of a removal of their lyrics from your website. 
 Herewith we request you to remove any lyrics of the band Gorgoroth from your systems immediately, but not later than 18th Feb 2004. 
 Please be aware that we will undertake any necessary steps (even legal steps) to enforce this. 
 This is nothing against you and your business or dedication, but you will understand that we as music publisher of the band will have to enforce the copyright as desired by the songwriters. 
 Since you did not license the lyrics you violate international copyright laws and conventions. 
 With best regards, 
 Arne Beckmann 
 Prophecies Publishing"
8,Gorgoroth,metal,Unchain My Heart!!!,"Ya, go, thy tide, float, I am guilt and I am God 
 The razor that cuts your flesh, the whores that trace you 
 The blood reflecting white 
 The curse of your heart 
 Eternity 
 Unchain my heart, ya"
9,Gorgoroth,metal,When Love Rages Wild In My Heart,"And you thought of me when you were strong 
 And I think of me when love rages wild in my heart 
 And you thought of me when something good is to stop 
 And you thought of me when no one is to sick 
 I do not lie bleeding to death 
 Under the wonderful moon 
 I do not lie bleeding to death 
 Under the wonderful moons light 
 Deep in side Satan 
 Deep in side Satan 
 Deep in side Satan 
 Deep in side Satan 
 Deep in side Satan 
 Deep in side Satan 
 Deep in side Satan 
 Deep in side Satan"
