,0,1,2,3
0,Killer Mike,hiphop,Monster (Intro),"Peace will never tame the hatred in me 
 I'm too restricted 
 Seperated from your society 
 I'm a new breed of species 
 A curse to lips that speak my name 
 I'm different, twisted 
 My mind is not the same 
 For those who deny the truth 
 But seek to try to find it 
 You my friend are blind to the truth 
 For you are simple minded 
 My ways are called abnormal 
 They treat me as if forsaken 
 But all shall fear the Wrath 
 Just like when my heart was taken 
 And if these words fail to reach the ears of the limited few 
 You won't know but when I strike you'll wish that you would have knew 
 This beast is on the loose if you treasure life then destroy it 
 For it is too realistic to simply ignore it 
 I've given a fair warning now beware because I'm cutting loose 
 And new terror walks the Earth 
 And now it's all up to you 
 If all hope should fair and you should sit an ponder 
 You fate has been decided by one dangerous monster"
1,Killer Mike,hiphop,Monster,"Peace will never tame the hatrid of me 
 I'm too restricted, separated from your society... 
 I'm a new breed of species, a curse to lift that speak my name 
 I'm different twisted, my mind is not the same 
 For those who deny the truth, will seek to try and find it 
 You my friend are blinds of the truth for you are simple minded 
 My ways are called abnormal, they treath me as if forsaken 
 But all should feel the wrath just like when my heart was taken 
 And if these words fail to reach their ears and for limit their view 
 You won't know but when I stryke you'll wish that you've of knew... 
 This beast is on the loose, if you treasure life then destroy it 
 For it is too realistic for you to simply ignore it 
 I've given a fair warning now I've been well because I've cut it loose 
 A new terror walks the earth and now it's all up to you 
 If all hope shall fail then you should sit and ponder 
 Your faith has been decided by one dangerous monstah..."
2,Killer Mike,hiphop,Akshon (Yeah!),"Let's do that shit 
 Yeah! Killer keeps it honest 
 Cause reality is perception with a weak stomach 
 Bubbling uneasy like the bowels of hell (Boo!) 
 Enough to make a black ghost turn pale 
 Yeah! Yeah! Yeah! Yeah! 
 (Verse One) 
 K-I-L-L 
 This is the name that came to alter the game 
 Not like these rappers who spit it the same 
 Separate lames from they chain 
 My mind don't slack 
 I'm totally focused on beating up tracks 
 Monsterous music to beat in your 'Lac 
 1000 watt amp with woofers in back 
 Lean to da left if you burning a sac 
 Baby got back and its in Baby Phat 
 Pardon me dog 4 chasing the cat 
 I'm hittin all kittens meowing like that 
 I like the front but I'm loving the back 
 I like to bite and I'm hoping she scratch 
 Escalade dipping I'm holding the lane 
 Mama's a scholar she blowing my brain 
 Ain't this the life? 
 Snapping and Trappin and Rappin' and Frappin all night 
 Lil mama's a plumber she handling pipe 
 Ill wit a pill she handle it right 
 Like Iverson, the smallest thing on the team 
 But the livest one 
 Cocked loaded bust like a gun 
 Y'all better run, one, one! 
 (Hook by big boi) 
 Thump, thump, thump, thump (yeah) 
 All in your trunk (yeah) 
 Grinding and hustling and getting at mine 
 Swerving and token and grippin on pine 
 Bump, bump, bump, bump 
 All in your trunk 
 Woofers and tweeters and speakers and geekers 
 Crawl in your bunk 
 (Verse Two) 
 How we gon' stop (whoa) 
 How we gone quit (shitttt!) 
 Brand new shoes and socks on the Chevy 
 I came through swerving like this (I'm 
 Good wit the game, gutter fo' show 
 Ducking you lames and obstacles 
 Go get that ass in a hospital 
 Wrapped in a cast from head to toe 
 This boy he real! 
 Racing those candy Sevilles through Dixie Hills 
 My car do wheelies they drive on three wheels 
 First round pick like Michael Vick 
 Quarterback status throw passes at chicks 
 Santana Moss When catching the ball 
 Get it? Like Moss she catches the ball 
 Perfectly tuned my engine don't stall 
 And I'm equipped with nitros y'all 
 Ready to rip, burn, roar! 
 Ready to tear through your city and tour 
 Took The Whole World and murdered that shit! 
 Caught the beat running and dipped with that bitch! 
 Later for now I'm hustling hits 
 Flipping my words like bricks, trick! 
 (Ending) 
 New, new! That new new! 
 New new for you you! 
 New new for you you! 
 That new new! That new new! 
 New new for you you! 
 New new for you you!"
3,Killer Mike,hiphop,Rap Is Dead,"Big is dead, Pac is dead 
 My music's dead, and y'all just scared 
 {Scratched: ""I'm Killer Mike, I'm Killer Mike, I'm Killer Mike, I'm Killer Mike""} 
 Rap is dead, rock is dead 
 My music's dead, and y'all just scared 
 (Verse 1: Killer Mike) 
 Fuck rap, rap's near death, bloated and sick 
 Too many niggaz still ride, Big and Pac's dick 
 Fuck that, next year, they more deader 
 And I write more rhymes, more deadly and more better 
 Then the last, sick and disturbed verse I wrote 
 And sell it to tough teenage boys to quote 
 Some music to madness, let the anger kill the pain and the sadness 
 Fuck the fag shit, keep it Killer with the rap shit 
 Hard rock when you rock shit, back to the block freestyle pop lock shit 
 Back to the basics with the fuck a cop shit 
 Rock pussies rap on some pop shit, sing like they rap 
 Soft and frail, these spirits, didn't have the heart to smell 
 This is no pain, and it's high octane 
 A bad brain, on Kobain 
 Lennon is dead, Kurt is dead 
 My music's dead, and y'all just scared 
 {Scratched: ""Killer Mike, who's the man, Killer Mike, who's the man""} 
 Rap is dead, rock is dead 
 My music's dead, and y'all just scared 
 {Scratched: ""Killer Mike, who's the man, Killer Mike, who's the man""} 
 (Verse 2: Killer Mike) 
 God damnit rappers chitter chattar, on any subject matter 
 But really does the subject really matter 
 Pass the guns and blood splatter, does anything fuckin' matter 
 Pass Cristal, pissed off, fuckin' right I'm pissed off 
 And you a pistol, yo why the fuck do critics (?) 
 Now wait a second, don't like what I'm saying 
 Make a record, and I'll be glad when 
 My music gets mad again, new school Ice Cube 
 ""Fuck you Killer Mike!"" Yeah fuck you too 
 No this ain't yo mama's music 
 It's a drug if you like it, please abuse it 
 Here's a cool meth-amphetamine for teens 
 Nightmares comin', crushing ya fuckin' dreams, ultra-shock 
 Rap rock, bringin' the bars back to rock and hip-hop 
 Spit it, venom non-stop 
 Big is dead, Pac is dead 
 My music's dead, and y'all just scared 
 {Scratched: ""Hip-Hop is, Killer Mike, Hip-Hop is, Killer Mike""} 
 Rap is dead, rock is dead 
 My music's dead, and y'all just scared 
 {Scratched: ""Hip-Hop is, Killer Mike, Hip-Hop is, Killer Mike""} 
 (Verse 3: Killer Mike) 
 Knew it was a bad day when I woke up 
 N-W-A's gonna raise (?) broke up 
 Damn prayers ain't move the units that they should've 
 Rappers on top don't spit like they could've 
 I pledge allegiance to the hard, core 
 How I give it to you, hard, raw 
 Ay, a beautiful site to be seen 
 There's a mosh pit packed with wild teens 
 Hangin' onto every word that we spit 
 Ready to rip, rock, and tear shit 
 Self-pity's fuckin' up my music man 
 Whine like a bitch or stand and be a man 
 There's +Black Sabbath+, I'm smoking in a +Zeppelin+ 
 Pumpin' +Metallica+, hand on my weapon 
 Fuck you and the bed yo bitch slept in 
 Killer-Kill keeps it real, hardcore is what I'm reppin' 
 Big is dead, Pac is dead 
 My music's dead, and y'all just scared 
 {Scratched: ""I run shit, Killer Mike, I run shit, Killer Mike""} 
 Lennon is dead, Kurt is dead 
 My music's dead, and y'all just scared 
 {Scratched: ""I run shit, Killer Mike, I run shit, Killer Mike""} 
 Rap is dead, Killer Mike"
4,Killer Mike,hiphop,Scared Straight,"(Killer Mike talking on the phone) 
 Aight... so you niggaz wanna know how a nigga is up in jail... 
 Servin' a 40 to life sentence... 
 For dope that wasn't even his 
 Just sit back and listen, I'll tell you 
 It's a hilarious day boooy, and it's a wild, wild chain of events 
 That get yo ass in hea... 
 (Chorus) (Killer Mike talking) 
 Mama, I don't wanna sell, birds no more 
 (I got a fuckin' funny story to tell you) 
 They pushed me down and locked me up 
 Put my face on the floor 
 (You rem'ber me and big Paul and my whole crew nigga?) 
 They took my money and my credit card 
 Now I'm poor 
 (Government snitches are amazin...) 
 Mama, I don't wanna sell, crack no more 
 (Just listen, only take about 3 minutes, just listen) 
 After high school, I gained lots of weight 
 And I ain't talkin' bout calories put on by steak 
 The recipe I'm cookin' may send me upstate 
 Use bakin' soda, cook the pie, collect cake 
 Now Pillsbury, these niggaz kick down doors 
 Find out what mills bury 
 Shit's very intense and criti-cal 
 And when we drew pistols shit got piti-ful 
 The first lick was bullshit, a half a brick 
 We robbed the middle man and a bum bitch, the dumb bitch 
 But between me and him and that hoe 
 We walked away with 18 and a bigger score 
 Some nigga named Salvatore from El Salvador 
 Got silver teeth and a scar on his jaw 
 Young Antonio Montana, held up mansion north Atlanta 
 We hit'em hard as doors hammer, yeah! 
 (Chorus) (Killer Mike talking) 
 Mama, I don't wanna sell, birds no more 
 (Okay, I know whachu thinkin', it's on righ, we on righ, we on) 
 They pushed me down and locked me up 
 Put my face on the floor 
 (Hold up, hold up, hold up, be patient, be patient, listen to the rest 
 Listen, listen) 
 They took my money and my credit card 
 Now I'm poor 
 (Man I feel like a asshole just tellin' you this man) 
 Mama, I don't wanna sell, crack no more 
 (Tell the kid to give me the card, check it out 
 Here's where it gets interestin, follow this shit) 
 ??? The spot had more birds than a pet shop 
 More gunz than a Vietnam vet, we was set 
 Loaded up the work and let's jet 
 My nigga big Paul loaded up the U-Haul 
 A thousand pounds uncut raw 
 Hold on, whus that I saw in the distance? 
 Did he have a crew offerin assistance? 
 Paul said it's prolly nothin', a small animal or somethin' 
 My nerves got to jumpin', I swear I heard somethin' 
 I pointed the 4-5th in the wind and started thumpin' 
 The blue lights is comin', my crew is runnin' 
 Cops is everywhere, they keep comin' 
 All of us sick, and all of us caught, holdin' our dick 
 We robbed the niggaz, same day the fuckin' FEDs hit 
 We robbed the niggaz, same day the fuckin' FEDs hit 
 Me and Salvatore fucked up in the mix 
 That middle man and dumb bitch 
 Them niggaz snitched, GOD DAMN! 
 (Chorus) (Killer Mike talking) 
 Mama, I don't wanna sell, birds no more 
 (So young man, that's why the fuck I'm sittin' here wearin these pants ???) 
 They pushed me down and locked me up 
 Put my face on the floor 
 (I hear Salvatore got ??? or some shit) 
 They took my money and my credit card 
 Now I'm poor 
 (The bum bitch that snitched, tss... who knows?) 
 Mama I don't wanna sell, crack no more 
 (Man I shoulda fuckin' stayed in job corp 
 Stayed my fuckin' ass in job corp, doin' dumbass shit 
 Now I'm fuckin' round witchall stupid ass niggaz too 
 Ain't no niggaz in jail but dumb niggaz 
 Niggaz ??? 
 Fuck that, I was stupid, I'm in jail 
 And most the niggaz in hea with me stupid too... 
 (Laughs and hangs up the phone))"
5,Killer Mike,hiphop,All 4 U,"Give you what you want when you want it 
 (Cool and Dre, Killer Mike) 
 Give you what you need when you need it 
 (I think we got a poor people's anthem) 
 Baby we're all gonna make it 
 (It's what the streets need and want right now) 
 (I'm tellin' you, it's it, some substance baby) 
 Give you what you want when you want it 
 (I'm givin' it) 
 Give you what you need when you need it 
 (It's all for you, it's all for you) 
 Baby we're all gonna make it 
 We came up the hard way 
 The steal or starve way 
 Ski masks and get robbed way 
 Far from Broadway 
 Tragic but it's no play 
 And we livin' on the prayers our grandmother pray 
 Still remember Big Spank got slayed 
 Right on Allen Temple 
 My God poor people you're my heart and it that simple 
 And I'ma rap through the hurt until I meet dirt 
 And I'ma make 'em recognize your worth 
 Through the words of my work 
 To the children reared in the gutters 
 By single mothers 
 This might kill your big brother 
 Sayin' we ain't got much but we got each other 
 We got each other 
 Our roads rough, gettin' rougher 
 When times got tough we got tougher 
 We'll make it, just stay down for one another 
 Allow me to spill my heart and say I love you 
 Allow me to spill my heart and just say I love you 
 C'mon 
 (Ay girl I know it's hard) 
 Give you what you want when you want it 
 (Walkin' through the hood, one job (?), two children, groceries) 
 Give you what you need when you need it 
 (You goin' to work everyday tryin' to keep that car (?), tryin' to keep that apartment) 
 Baby we're all gonna make it 
 (I'm just here to let you know that I'm witchu sweetheart) 
 Give you what you want when you want it 
 (I'm witchu everyday Mom) 
 Give you what you need when you need it 
 (Just feel me) 
 Baby we're all gonna make it 
 (Somebody understands and feels you, you feel me?) 
 Sisters, I know it seems we're total fuck ups 
 But hold your head up 
 We're slippin', we fallin', but we gon' get up 
 And we gon' get this life together 
 I'll make you a wife and make it better 
 More than a song, an open love letter 
 To all the mothers 
 Who lost sons to a gun or life sentence 
 Wish I could give more than words in a sentence 
 This is your story 
 We are your sons 
 This is my plea for forgiveness 
 For our wrongs 
 For all the hurt we caused and prolonged 
 Times we was weak you stayed strong 
 And we repaid that by hustlin' crack 
 Out the back of your apartment 
 The narcs hit, put your face in the carpet 
 You accepted the risk, never turned snitch 
 And I still use the word ""bitch"" 
 Yo, I'm a dumbass, a dipshit 
 And through it all you claimed and acknowledged me 
 I hope this song can serve as my apology 
 Give you what you want when you want it 
 (I'm tellin' you I'm sorry) 
 Give you what you need when you need it 
 (This next one's for Niecy) 
 Baby we're all gonna make it 
 (This for you Ma, this for you) 
 (Look at you boy, top of the world) 
 Give you what you want when you want it 
 (Top of the world Mama) 
 Give you what you need when you need it 
 (And we ain't never goin' back down) 
 Baby we're all gonna make it 
 All I wanted was a hot pair of Air Force Ones 
 Sick of being picked on 'cause we was from the slums 
 Sick of seein' my old man shit on my mom 
 Sick of feelin' even worse when a new nigga come 
 Just wanted to make it better 
 Just wanted to make cheddar 
 Just wanted to make it so you could walk with you head up 
 Rap was hope 
 And I held it like a vendetta 
 Or even better, like a Beretta 
 Kept the rhyme pad tucked under coat and sweater 
 I kept 'em like prison letters 
 Stack neatly in a shoebox 
 On top, stolen Glock and fifty rocks 
 Despite the hustle 
 Rhymes was the means to a end 
 I was born to marry thought with a paper and pen 
 Wasn't born to be on paper or locked in a pen 
 I was born to bring honor to this brown skin 
 Mama I'm your son and you're my best friend 
 Wipe your tears away, just hide it with a graceful grin 
 (Give you what you want when you want it) 
 I made good and you'll never have to hurt again 
 (Give you what you need when you need it) 
 I made good and you'll never have to hurt again 
 (Niecy's boy done good) 
 Baby we're all gonna make it 
 (Niecy's boy has done good) 
 Give you what you want when you want it 
 (I'll make you proud) 
 Give you what you need when you need it 
 (Your name will be spoken with honor baby, believe it) 
 Baby we're all gonna make it 
 (Niecy's boy done good) 
 Give you what you want when you want it 
 (You see it) 
 Give you what you need when you need it 
 (Respect and acknowledge it) 
 Baby we're all gonna make it 
 (I love you baby) 
 (It's for my people) 
 Give you what you want when you want it 
 (Bring honor to this skin baby, rise out of it) 
 Give you what you need when you need it 
 (Come out of the gutter) 
 Baby we're all gonna make it 
 (We are the diamonds in the rough) 
 It's all love 
 My man Mark, my man Rico 
 Glide (?), my man Tae, my man Zack, 
 Slum Lordz till death 
 I love you 
 (It's all for you) 
 Niggas better know 
 (I love you, I love you, I love you) 
 Don't be hard, open your heart 
 Feel it, feel it 
 My man Terrence, my man Casko (?) behind bars 
 (It's all for you, it's all for you, it's all for you)"
6,Killer Mike,hiphop,A.D.I.D.A.S.,"Pussy nigga whatcha doin'! 
 All day I dream about, all day I dream about 
 Sex 
 It's the way you move your sexy groove 
 That's got my mind all over you 
 All day I dream about, all day I dream about 
 Your sex feels so savoifare 
 I'm tired of jercking off cause your not there 
 Big Boi 
 65' Chevrolet Impala peachy cream 
 Oozing down the street like toothpaste 
 Cause the ivory is clean 
 Talkin' bout mean at the inseam on the inside of the ship 
 Not a honey dip to hunch on, testes more blue than a Crip 
 Or the blue man group caught that on the Vegas strip 
 Chillin' with good game, Ju Ju, Pimpin' Ken and my nigga Don Magic 
 Pimpin' Ken and my nigga Diamond Jit 
 Pimps (pimps), lips (lips), legs (legs), arms (arms), 
 Necks (necks), hips (hips), head (head) monk test 
 It's the camel toe and that's fo' sho' 
 My brain is on one track 
 Like Marion Berry thoughts for crack 
 Or like a rock star does for smack. 
 None of that but the female genitalia's where it's at 
 I'm a man and I demand a woman for that act 
 Personal preference plus I use the law of nature as a reference 
 Now I don't ever recall seeing a man turn up pregnant, but that's just me 
 Feminine female fantasies frolic freely in my cockpit 
 Every thirty something seconds I can't stop it 
 Killer Mike 
 Killer Kill from Adamsville and in my Bonneville I chill 
 Heifers call me Black and Decker, I don't screw them hoes I drill 
 I've been cuttin' cute lil' coochies since before the record deal 
 Catch me daydreaming about them, thick, medium or slim 
 Doctors call that thing vagina, in the hood we call it trim 
 White boys call it snatch, Puerto Ricans call it chocha 
 Nathaniel likes his white, I like mines dark as cola 
 It's the first thing on my mind in the morn when I roll over 
 All men young and old in the end it's what we're after 
 Even my grandpappy's happy. He got prescribed Viagra. 
 (Granddaddy, granddaddy, what's up? what's up? It's me. 
 Hey, let me get about three of them blue diamonds. 
 I promise I gotcha back tomorrow) 
 Killer Mike 
 When I drill I don't spill even if she's on the pill 
 Keep my weapon covered concealed and in a shield 
 'Cause I don't need that A.I.D.S. 
 A ""D"" and a ""A"" missing out my A.D.I.D.A.S. (plus) 
 We don't need no DNA mixing between us 
 We just need to keep this thing friendly and hush, hush 
 On the down low, like R. Kelly and youngsters 
 But over eighteen only cause baby I'm no perv! 
 From the tour bus to the lobby, elevator to the room 
 We can jump each other's bones but there's no jumping brooms! 
 Big Boi 
 Buffoon you are to consumed in the womb 
 It is too early for you to jump the broom (boom!) 
 ""Monster"" 
 Verse One 
 I'm an ungodly figure 
 When in the company of hard liquor 
 Texas niggaz turned me on to water 
 I smoked the river 
 Apocalyptic creature, stay lacing reefer 
 Stay serving geekers, stay holding heaters 
 Murder fanatic, killer fantastic 
 Swerving semi-conscious with a half a blunt and an automatic 
 Bought it to snort it, just in case I meet with static 
 What I deliver to your address is dead tragic 
 Your mother scream in that limousine 
 Followed by some slow traffic 
 Here's the reason for my murder tactics 
 I'm Killer Kill I ain't a fuckin' rapper! I'm a crack sacker! 
 I'm a strong-armed robbery and kidnapper! 
 I'm a carjacker! I'm a if you owe dough then yo' ho snatcher! 
 I'm a Slumlord for life not a fuckin' actor! 
 I'm the fear that haunts you! I'm the tool that's used to haunt you! 
 I'm the monster! I'm your sick and twisted monster! 
 (Repeat) 
 Verse Two 
 I'm the hate in the dark heart of heartless men! 
 Deprived of love, feed crack, nurtured in sin! 
 I'm unwanted children doped up on Ritalin by age ten 
 At sixteen a fiend! Nurturing a weed habit and a bottle of gin 
 I'm the soul of women that's been betrayed by men 
 That trifling nigga looking to deceive her again 
 Earn her trust again, then I lust again 
 When she turn her back, I'm diggin in her friend again! 
 I motivate your hate and embody your sin 
 I spit it for Bloods, Crips and Mexicans 
 I spit for Disciples and El Rukns 
 This sick soundtrack to robbing and looting 
 Neighbor shootings, murder and boosting 
 Its fear engaged, with a fury and rage 
 For my lost generation in these last days 
 The fear that haunts you! It's the tool that's used to hunt you!"
7,Killer Mike,hiphop,Creep Show,"Welcome to the creep show, street show, freak show, peep show 
 Anything goes strippers and live shows 
 It's the creep show, street show, freak show, peep show 
 Exctasy, hydro, and good blow 
 It's the creep show, street show, freak show, peep show 
 Hoes strip, where pimps and hoes do strolls 
 It's the creep show, street show, freak show, peep show 
 Where hustlas collect rocks and straight rolls 
 (Verse 1: Killer MIke) 
 Welcome home motherfuckers your back again 
 Into the den of inequity the life of sin 
 Where after the after party and the hotel lobbies 
 Probably find me drunk off Bacardi in a swank hotel 
 An aspiring actress 
 Trying to push her back through a thousand dollar mattress 
 In Chicago a couple of bottles, couple of models, stolen Diablos 
 Fast and furious going full throttle 
 Post club function, pills get swallowed 
 Ladies get loose and so do bra staps 
 Power, money, and sex drive good raps 
 Freaks emerge in a twilight with party pack 
 Of hydros alcohol blurred eye sight 
 From dusk till dawn is when vampires roam 
 Pro athletes trick and don't go home 
 (Verse 2: Killer Mike) 
 Riding with my nigga Big Boi you don't sleep 
 Even partied with Diddy up in NYC 
 Got drunk, rubbed titties of Dominican freaks 
 Every night bachelor party in the boom boom room 
 On trees get burned or liquor consumed 
 You ain't really seen a color till you seen it on shrooms 
 Lipstick on the pale of my Pelle Pele 
 Spot hotter than fish scales cooked in coked ale 
 Vampire party and we gets it down 
 In the undergrounds underground 
 Underground in club commer's basement 
 Ladies and low lifes do get wasted 
 So high you can't hear the music but you feel it when the bass hits 
 The atmosphere like the first year 
 Freak bass hit everybodys heart goes fast 
 Rolling Mitsubishi's shakin' that ass 
 (Verse 3: Bizarre) 
 Got twenties on the Escort, bitch park my shit 
 It's Bizarre from D12 in this bitch (yeah) 
 And wich nigga want to fight (what!) 
 I'm the club with Suge Knight, Ike, and Killer Mike (how does it feel) 
 Fat dick for all my enemies 
 Caught a disease fucking Roy and Jazzie T (a ha ha) 
 My girlfriends a fucking fool 
 When she turned her back 
 I'm making out with her mother like I'm in high school (shhh) 
 And I don't sale crack to my African brothers 
 I sell it to they mothers and they ex-lovers (that's true) 
 So go ahead bitch pop the X 
 So I can work your neck in the back of my Vett (ah!) 
 Red bones, I hate 'em no question 
 I like fat bitches with bladder infections (ughh) 
 Bizarre get down from strokers to Magic City 
 It's the creep show, show your nasty titties"
8,Killer Mike,hiphop,U Know I Love You,"Whoa, baby, whoa, baby, whoa, baby 
 La la la, la la la, yeah... 
 I would never leave you girl (My girl, my wife) 
 You know I love you (My pain, my strife) 
 Oh baby, oh baby 
 I would never leave you girl (Good days, bad nights) 
 You know I love you (Lovely fistfights) 
 Oh baby, oh baby 
 (Killer Mike) 
 Killa for, look at us, forvever fucked up 
 All we do is fuck, fight, and get X'ed up 
 Enough, enough 
 We bad for each other, mama 
 But our sex life ain't right without drama 
 In combat, sweet agony upon that 
 I deliver, make you take it soft and break it hard 
 Like dope dealers, I'm a husband to a wife 
 But I'm ya nigga, and you a perfect drug 
 Make a nigga heart quiver 
 You a hard breakin hard liquor on my liver 
 Like 'dro and gin go together, you a mind shifter 
 Body dark like a Cognac, I'm pissy drunk 
 In light ??, I stay drunk 
 My pretty little vampire, my delila 
 Teach me how to hate the truth and how to love a liar 
 You a vicious mind-bending ?? 
 You the perfect drug, ultimate high, and I'm a fiend 
 (Killer Mike) 
 You're my path to the pen or the crazy house 
 I deliver dick raw and won't take it out 
 Either that or you the devil's daughter, can't fake it 
 Killing me slow, I know and I can't shake it 
 Please stay, please leave, please don't go 
 Please walk away and let me be to die slow 
 This love is deeper than the grave and it's forever 
 Snake pit, you're venom beyond measure 
 Pandora's box a lot, my treasure 
 If love is strong as the grave, make me deader 
 Jezibelle got my soul and my cheddar 
 Everytime I beat it down, it jumps wetter 
 Like a dark cloud, bringing me pain and bad weather 
 I remain inside of your rain with no umbrella 
 I couldn't write the words, I blame this letter 
 Till death do us part, we deserve to be together 
 (Killer Mike) 
 A living drug, you're the bitch I hate to love 
 Learned to suck good dick by fuckin' thugs 
 A nigga can't teach you, spread like a track meet 
 Breaking D-boys, MCs, and athletes, but not me 
 Told you from the start this shit is forever 
 We gon' go through this bad weather together 
 Whether the road or high side, you gon' ride 
 Through the fistfights and black eyes, it's you and I 
 Ike and Tina, our love is measured on a milimeter 
 They say a partner don't love a nigga till a nigga eat her 
 But I'm raw, and tired of the motherfuckin talking 
 I'll be goddamned if you hit the door walking 
 I'm stalkin, the depths of Atlantis, evil enchantress 
 Slick and underhanded 
 Fuckin' with you like dancing with the devil, no command bitch 
 No ?? leaving niggaz empty-handed 
 I lost everything I had just to lust you 
 Bitch, you take another step and I'll bust you 
 Bitch you take another step and I'll bust you"
9,Killer Mike,hiphop,Home Of The Brave,"(Big Boi) 
 Yeah 
 It's going all the way down 
 Aquemeni Records, Killer Mike, Slimm Calhoun 
 Just because your wearing a Braves' jersey 
 Doesn't mean we on the same team you playin' on bitch 
 Cool and Dre on the track, run it 
 (Verse 1: Killer Mike) 
 Since last heard I'm still Randy Moss 
 And I still catch a beat runnin' when its tossed 
 And often light green kiss my ass to coffin 
 Cut the bull in Harlem on sloughths (?) and 
 Cut the bull then I'm seven duece Impala whore dance 
 Ambidexterious juggle pretty girls and they friendly fifty friends 
 Hit Jamacia rollin' papers turning up spotta benz 
 City corners I've been in a duece double O three Benz 
 I'm sittin' on those dubs twins 
 I'm from the city where kiddies ride on dope rims 
 It's where niggaz snap shot and they ain't takin' pictures mista 
 I'm well equipped to hit ya', same birthday as Hitler 
 I'll getcha 
 (Chorus: repeat 2X) 
 Hey we rep that A 
 A T L A N T A state of G A 
 G A G A home of the brave 
 Home of the brave G A G A 
 Home of the brave 
 (Verse 2: Killer Mike) 
 I got a Tahoe, and a Tahoe 
 She work out fit like Taebo 
 Get my findy (?) Air Force Ones 
 Shit wait I'm so old 
 Last one to Louie Fitoine skins on my timbo's 
 Gettin' blown in a limo, that's my M.O. 
 Roll next presidential, get a pistol to your temple 
 I'll let it faint, leave your brain lingering in limbo 
 Southern fried that's how I ride, creed on simple 
 Kill 'em all let God separate good from evil 
 You faggots do it for glory 
 Y'alls just do it for my people 
 I'm grand national built beautiful and legal 
 (Verse 3: Slimm Calhoun) 
 A town down Braves started cap from the land of the made 
 Ain't no hard atrap after depts of the dungeon 
 We livin' artifacts where niggaz rip chickens 
 Talk bricks, keep an artist strapped 
 Flame throwers got us hot in the spot 
 Wreckin these dog tails through red dog stripe 
 It's like all hell, block cells 
 Make bail and it's back to these crooks and cakes jumpin' at next cell 
 What you know about the way the whales 
 Kiss it your body scaled 
 I'm 'bout to hit by the box of tens through the mail 
 Then reply beaten twelve sickness spinnin' on twenty-ones 
 We produce many guns, we spittin' at anyone's 
 Disrespect (?) little bows 
 And I'll cock and explode up 
 Take me to the grave, grave, home of the brave 
 (Killer Mike) 
 So slums, so sligh, nigga (I'm) straight ducked 
 You can ask my baby's mother she'll tell you niggaz shit 
 He the type to fuck a bitch 
 Rob that bitch's baby brother 
 (Slimm Calhoun) 
 And I'm the type to rip ya bitch leave the shit up under your covers 
 (?) Blessing from sin 
 New recrutes we in it again 
 Rap so hard we flippin' again 
 Walkin' dubs on the benz 
 (Killer Mike) 
 One, two, crack fiend 
 Three on boys street jeans 
 Four full blown hit the scene 
 Five like trap (?) 
 Like a thick hoe in sassy jeans 
 Rub her right she'll cream 
 Fuck her right moan and scream 
 Killer kill out on (?) 
 (Slimm Calhoun) 
 Swervin', servin', bouncin' the buttons 
 Like 5 5 9 truck somethin' 
 Two glock nines round dumpin' 
 Round my hip strap ain't jumpin' 
 Keep my bitch dunkin' somethin' 
 Be outlawed bangin' 'em down for bustin' 
 (Chorus) - repeat to fade"
