,0,1,2,3
0,Kiss,rock,Strutter,"I know a thing or two about her 
 I know she'll only make you cry 
 She'll let you walk the street beside her, ooh 
 But when she wants she'll pass you by 
 Everybody said she's lookin' good 
 And the lady knows it's understood 
 Strutter 
 She wears her satins like a lady 
 She gets her way just like a child 
 You take her home and she says maybe, baby 
 She takes you down and drives you wild 
 Everybody said she's lookin' good 
 And the lady knows it's understood 
 Strutter 
 I know a thing or two about her 
 I know she'll only make you cry 
 She'll let you walk the street beside her 
 But when she wants, she'll pass you by, ow 
 Everybody said she's lookin' good 
 And the lady knows it's understood 
 Strutter 
 Strutter 
 Strutter"
1,Kiss,rock,Nothin' To Lose,"Before I had a baby 
 I didn't care anyway 
 I thought about the back door 
 I didn't know what to say 
 But once I got a baby 
 I, I tried every way 
 She didn't wanna do it 
 But she did anyway 
 But baby, please don't refuse 
 You know you got nothin' to lose 
 You got nothin' to lose 
 (You got, got nothin' to lose) 
 well nothin' 
 (You got, got nothin' to lose) 
 yeah baby 
 (You got, got nothin' to lose) 
 wooh 
 (You got, got nothin' to lose) 
 you g-g-g-g-got nothin' 
 (You got, got nothin' to lose) 
 well come on mama 
 (You got, got nothin' to lose) 
 yeah shake your huh 
 (You got, got) 
 You got, you got, you got nothin' to lose 
 So now I've got a baby 
 And we've tried every way 
 You know she wants to do it 
 And she does anyway 
 But baby please don't refuse 
 You know you got nothin' to lose 
 You got nothin' to lose 
 (You got, got nothin' to lose) 
 yeah baby 
 (You got, got nothin' to lose) 
 yeah 
 (You got, got nothin' to lose) 
 ah you feel so good 
 (You got, got nothin' to lose) 
 well come on mama 
 (You got, got nothin' to lose) 
 ch-ch-ch-ch-ch-ch yeah 
 (You got, got nothin' to lose) 
 well come on 
 (You got, got) 
 You got, you got, you got nothin' to lose 
 (You got, got nothin' to lose) 
 (You got, got nothin' to lose) 
 ooh baby 
 (You got, got nothin' to lose) 
 yeah 
 (You got, got nothin' to lose) 
 wow yeah 
 (You got, got nothin' to lose) 
 oh you g-g-got, baby 
 (You got, got nothin' to lose) 
 wooh shake it honey 
 (You got, got nothin' to lose) 
 oh you know you're a sweet thing 
 (You got, got nothin' to lose) 
 oh right mama 
 (You got, got nothin' to lose) 
 yeah you really can move it 
 (You got, got nothin' to lose) 
 oh you g-g-got nothin' 
 (You got, got nothin' to lose) 
 Yeah shake it, shake it, shake it, shake it 
 (You got, got nothin' to lose) 
 (You got, got nothin' to lose)"
2,Kiss,rock,Firehouse,"Whoo, hoo, yeah 
 Whoo, hoo, yeah 
 She'll adore you and she'll floor you 
 With her wisdom and her vision 
 And you'll love it and think of it 
 Till you lose all intuition, c'mon 
 She can move you and improve you 
 With her love and her devotion 
 And she'll thrill you and she'll chill you 
 But you're headed for commotion 
 And you'll need her so you'll feed her 
 With your endless dedication 
 And the quicker you get sicker 
 She'll remove your medication 
 Get the firehouse 
 'Cause she sets my soul afire 
 Get the firehouse 
 And the flames keep gettin' higher 
 She's like bad weather but it seems so good 
 You'd never leave her but you know you should 
 She's like bad weather but it seems so good 
 You'd never leave her but you know you should 
 Ooh 
 Get the firehouse 
 'Cause she sets my soul afire 
 Get the firehouse 
 Whoo, hoo, yeah 
 Get the firehouse 
 Whoo, hoo, yeah"
3,Kiss,rock,Cold Gin,"Whoo, alright 
 My heater's broke and I'm so tired 
 I need some fuel to build a fire 
 The girl next door, her lights are out, yeah 
 The landlord's gone, I'm down and out 
 Ooh, it's cold gin time again 
 You know it'll always win 
 Cold gin time again 
 You know it's the only thing 
 That keeps us together, ow 
 It's time to leave and get another quart 
 Around the corner at the liquor store 
 Haha, the cheapest stuff is all I need 
 To get me back on my feet again 
 Ooh, it's cold gin time again 
 You know it'll always win 
 It's cold gin time again 
 You know it's the only thing 
 That keeps us together, ow 
 Whoa yeah 
 Ooh, it's cold gin time again 
 You know it'll always win 
 It's cold gin time again 
 You know it's the only thing 
 That keeps us together, ow"
4,Kiss,rock,Let Me Know,"Ah let me, let me 
 Let me be your Sunday driver 
 Let me be your Monday man 
 I'll take you anywhere you want 
 Just as fast as I can 
 It doesn't matter what you wanna do 
 It doesn't matter where you wanna go 
 Just gotta decide girl and then you let me know 
 Oh, did you ever want lovin', so you're callin' 
 Up your baby and she's stallin' with the neighbors 
 And the night keeps gettin' longer 
 And the urge keeps getting stronger 
 So your tryin and your dyin' 
 And you're wonderin' does she love you 
 A knock comes at your door 
 Let me in, honey 
 Let me 
 Let me be your Tuesday taxi 
 Let me be your Wednesday boy 
 I'll be your lovin' man 
 You'll be my bundle of joy 
 And oh 
 It doesn't matter what you wanna do 
 It doesn't matter where you wanna go 
 You just gotta decide girl and then you let me know"
5,Kiss,rock,Kissin' Time,"Come on, Charlotte 
 Wake up, San Diego, Milwaukee, Miami 
 Put your two lips together and kiss 
 We're kissin' in Cleveland and Cincinnati, too 
 Way out in Chicago, I'll tell you what to do 
 They party all over, even in St. Lou' 
 So, baby, get ready and I'll be kissin' you 
 Woah, 'cause anytime is kissin' time, USA 
 So treat me right, don't make me fight 
 And we'll rock and roll tonight 
 We're kissin' in Dallas and Philly's goin' wild 
 So let's kiss, Atlanta, ho, you know we'll make it smile 
 We love the women way down in Tennessee 
 So baby come on now and start a-kissin' me, yeah 
 Woah, 'cause anytime is kissin' time, USA 
 So treat me right, don't make me fight 
 And we'll rock and roll tonight 
 Kiss all of Seattle, L.A. to Baltimore 
 You know we been kissin' in Frisco, so lets kiss some more 
 Let's do it in Detroit, they all know the score 
 So, baby, oh, baby, what are we waitin' for? 
 Woah, 'cause anytime is kissin' time, USA 
 So treat me right, don't make me fight 
 And we'll rock and roll tonight 
 Woah, 'cause anytime is kissin' time, USA 
 So treat me right, don't make me fight 
 And we'll rock and roll tonight 
 Woah, 'cause anytime is kissin' time, USA 
 So treat me right, don't make me fight 
 And we'll rock and roll tonight"
6,Kiss,rock,Deuce,"Get up, and get your grandma outta here 
 Pick up, Old Jim is workin' hard this year 
 And baby, do the things he says to do 
 Baby, if you're feeling good 
 And baby, if you're feeling nice 
 You know your man is workin' hard 
 He's worth a deuce 
 Honey, don't put your man behind his years 
 And baby, stop cryin' all your tears 
 Baby, do the things he says to do (Do it) 
 Baby, if you're feeling good 
 Yes baby, if you're feeling nice 
 You know your man is workin' hard 
 He's worth a deuce 
 Baby, if you're feeling good 
 Yes baby, if you're feeling nice 
 You know your man is workin' hard 
 Yeah"
7,Kiss,rock,"100,000 Years","I'm sorry to have taken so long 
 It must have been a bitch while I was gone 
 You mind if I sit down for a while 
 You'll reacquaint yourself with my style 
 Well, how could you have waited so long? 
 You must have been a bitch while I was gone 
 All this time you put up with fear 
 In a hundred thousand years 
 I'm sorry to have taken so long 
 It must have been a bitch while I was gone 
 All this time you put up with fear 
 In a hundred thousand years 
 And baby won't you let me 
 I think I'm goin' outta my head 
 I'm just about to, ooh yeah 
 Ow 
 I'm sorry to have taken so long 
 It must have been a bitch while I was gone 
 You mind if I sit down for a while, would you babe? 
 You'll reacquaint yourself with my style"
8,Kiss,rock,Black Diamond,"Out on the street for a living 
 Picture's only begun 
 (wooh) 
 Got you under their thumb 
 Hit it ! 
 Out on the streets for a living 
 Picture's only begun 
 Your day is sorrow and madness 
 Got you under their thumb 
 Wooh, black diamond 
 Wooh, black diamond 
 Darkness will fall on the city 
 It seems to follow you too 
 (wooh) 
 And though you don't ask for pity 
 There's nothin' that you can do, no, no 
 Wooh, black diamond 
 Wooh, black diamond 
 Out on the streets for a living 
 Picture's only begun 
 (wooh) 
 Your day is sorrow and madness 
 Got you under their thumb 
 Wooh, black diamond, yeah 
 Wooh, black diamond"
9,Kiss,rock,Got To Choose,"Baby, you know I heard the neighbours say 
 Baby, you might be leavin' me today 
 Oh yeah, mmm, someone's come along and shared your time 
 Don't care, no I don't, no 
 But you can't be his and still be mine, so 
 Ooh, got to choose who's your baby 
 Ooh, got to choose 
 Sometimes, oh sometimes, I know you need a change of pace 
 Oh yeah, but I ain't gonna run no race 
 Baby, you've got to tell me yes or no 
 Alright, alright, come on and tell me 
 Tell me if you're gonna go, come on 
 Ooh, got to choose who's your baby 
 Ooh, got to choose who's your baby 
 Ooh, got to choose who's your baby 
 Ooh, got to choose, got to choose 
 Who's your baby? 
 Who's your baby? 
 Who's your baby? 
 Who's your baby?"
