,0,1,2,3
0,Mayhem,metal,Deathcrush,"Demonic laughter your cremation 
 Your lungs gasp for air but are filled with blood 
 A sudden crack as I crushed your skull 
 The remind of your life flashes by 
 A life that soon won't be 
 Smiling with axe in my hand 
 Evil's rotten hand you'll see 
 I come forward 
 Deathcrush 
 I'll send you to your maker 
 I'll send you to your death 
 Death nicely crucified 
 Death, heads on stakes 
 The barbeque has just begun 
 Deathcrush - deathcrush - deathcrush 
 Crush - crush 
 Deathcrush 
 Deathcrush 
 Deathcrush"
1,Mayhem,metal,Chainsaw Gutsfuck,"Bleed down to the fucking core 
 You're going down for fucking more 
 Screw your slimy guts 
 Driving me fucking nuts! 
 Chainsaw in my bleeding hands 
 As I start to cut you in two 
 Your guts are steaming out 
 And I just love the sight! 
 Maggots crawling in her cunt 
 I just love to lick that shit 
 Bury you in a slimy grave 
 You will rot forever there!"
2,Mayhem,metal,Witching Hour,"Come hear the moon is calling, 
 The witching hour draws near, 
 Come hear the bell is tolling, 
 Mortals run in fear, 
 Prepare the altar now and hear the virgin cry, 
 Hold fast the sacrifice, 
 For now it's the time to die, 
 All hell breaks loose, 
 Hell's breaking loose. 
 Unveil the pentagram, 
 And feel the demons lust, 
 Come watch the holy men, 
 Who look on in disgust, 
 Come taste blood, 
 And feel the heat of Satan's breath, 
 Look in the sky's and see, 
 The warriors of death, 
 All hell breaks loose, 
 Hell's breaking loose, 
 Witching hour. 
 Our work is now complete, 
 The blood runs fast and free, 
 And Satan takes his bride, 
 And cry's of blasphemy, 
 All hell rejoices at the child, 
 That she will bear, 
 And satans only son, 
 Shall be the worlds despair, 
 All hell breaks loose, 
 Hell's breaking loose, 
 Witching hour."
3,Mayhem,metal,Necrolust,"Your stinking corpse I desire 
 Nothing can take me higher 
 Fucking you till your bones break 
 Another one has to die 
 Cum dripping from my dick 
 Fucking you to the core 
 Can't take this anymore 
 My brain is driving me insane 
 Necrolust 
 Eating the flesh of a thousand corpses 
 Bloodsucking cuntless nuns 
 Her guts were boiling out of her butt 
 Eating her slimey cunt as I hold her tits 
 Come posercorpse and die again!"
4,Mayhem,metal,Pure Fucking Armageddon,"Violent torture, 
 Death has arrived, 
 Armageddon, 
 Terror and fright, 
 Bleeding corpses, 
 Rotting decay 
 Anarchy, 
 Violent torture, 
 Antichrist, 
 Lucifer, 
 Son of Satan 
 Pure Fucking Armageddon 
 Pure Fucking Armageddon!"
5,Mayhem,metal,Outro,"All the little flowers are singing 
 All the little birds are too 
 They are very happy 
 And we hope you are too"
6,Mayhem,metal,Funeral Fog,"Every time this year, this dark fog will appear 
 Up from the tombs it comes to take one more life that can be near 
 In the middle of Transylvania, all natural life has for a long time ago gone 
 It's thin and so beautiful but also so dark and mysterious 
 Once again the priest is messing, may the god bless us all 
 The fog is here again that will complete this funeral 
 From a place empty of life, only dead trees are growing here 
 As it comes from afar, only dead trees are growing here 
 Funeral fog 
 Funeral fog 
 Funeral fog 
 Funeral fog"
7,Mayhem,metal,Freezing Moon,"Everything here is so cold 
 Everything here is so dark 
 I remember it as from a dream 
 In the corner of this time 
 Diabolic shapes float by 
 Out from the dark 
 I remember it was here I died 
 By following the freezing moon 
 It's night again, night you beautiful 
 I please my hunger on living humans 
 Night of hunger, follow its call 
 Follow the freezing moon 
 Darkness is growing, eternity opens 
 The cemetery lights up again as in ancient times 
 Fallen souls die behind my steps 
 By following the freezing moon"
8,Mayhem,metal,Cursed In Eternity,"My name was written with 
 Fire in the place you only 
 Can see when your time has come 
 When you walk down in the 
 Land of shadows for eternity 
 The demon flies in the blackened 
 Starless skies and crawls in 
 The bottomless depths of hell 
 The name which will be a 
 Thousand times cursed in eternity 
 Condemned to wander, until it comes 
 To the cruelest snake that crawls 
 The demon flies in the blackened 
 Starless skies, and crawls in the 
 Bottomless depths of hell"
9,Mayhem,metal,Pagan Fears,"The bloody history from the past 
 Deceased humans now forgotten 
 An age of legends and fear 
 A time now so distant 
 Less numbered as they were 
 Their lives so primitive and pagan 
 Superstitions were a part of the life 
 So unprotected in the dark nights 
 Pagan fears 
 The past is alive 
 The past is alive 
 Woeful people with pale faces 
 Staring obsessed at the moon 
 Some memories will never go away 
 And they will forever be here"
