,0,1,2,3
0,Megadeth,metal,Last Rites/Loved To Death,"Your body's empty now 
 As I hold you 
 Now gone, I miss you 
 But I told you 
 I remember bad times 
 More than good 
 There's no coming back 
 Even if we could 
 I loved you to death 
 I loved you to death 
 If I can't have you 
 Then no one will 
 And since I won't 
 I'll have to kill 
 My only love, something 
 I've never felt 
 Now you've gone to heaven 
 And I'll burn in hell 
 I loved you to death 
 I loved you to death 
 I loved you to death 
 I loved you to death 
 Aww! 
 And now I'm down below 
 And what do I see 
 You didn't go to heaven 
 Your down here with me 
 And now coming back, 
 Baby, take me, please! 
 I really think I would 
 If you weren't such a sleaze 
 I loved you once before 
 You kept me on a string 
 I'd rather go without 
 Than take what you would bring 
 I loved you to death 
 Aww!"
1,Megadeth,metal,Killing Is My Business... And Business Is Good,"I am a sniper 
 Always hit the mark 
 Paid assassin 
 Working after dark 
 Looking through the night 
 Using infra-red 
 My target on you 
 Aimed at your head 
 Ten thousand dollars up front 
 Ten thousand dollars when I'm through 
 And I know just what to do 
 And ya know I'll do it too 
 Then I'm coming back for you 
 Back for you! 
 I do the ""getting rid of"" 
 Don't tell me why 
 Don't need to hear the truth 
 Don't need the lies 
 Now pay me quickly 
 And now we're through 
 It brings me great pleasure 
 To say my next job is you 
 Don't you know that, killing is my business, and business is good 
 Killing is my business, and business is good 
 Killing is my business, and business is good 
 Killing is my business, and business is good 
 Killing is my business, and business is good 
 Killing is my business, and business is good 
 Killing is my business, and business is good 
 Killing is my business, and business is good 
 Killing is my business, and business is good 
 Killing is my business, and business is good 
 Killing is my business, and business is good 
 Killing is my business, and business is good 
 You'd better believe it"
2,Megadeth,metal,Skull Beneath The Skin,"Mean and infectious, the evil prophets rise 
 Dance of the macabre, as witches streak the sky 
 Decadent worship of black magic sorcery 
 In the womb of the Devil's Dungeon, trapped without a plea, oh 
 Seething in agony, necrosis is the fate 
 Pins sticking through the skin, the venom now sedates 
 Locked in a pillory, nowhere to be found 
 Screaming for your life, but no one hears a sound, help me! 
 Prepare the patient's scalp to peel away 
 Metal caps his ears he'll hear not what we say 
 Solid steel visor riveted across his eyes 
 Iron staples close his jaws so no one hears his cries 
 The skull beneath the skin 
 The skull beneath the skin 
 Now you're drawn and quartered your bones will make the X 
 Symbol stands for poison and it's chained to your head 
 And as we fold your arms to make the holy cross 
 We cross the crucifix religion has been lost 
 The skull beneath the skin 
 The skull beneath the skin 
 The skull beneath the skin"
3,Megadeth,metal,Rattlehead,"Here I come 
 Stand up, plant your feet 
 Listen, I'm letting off steam 
 Now throw your hands in the air 
 Let it loose, I don't fucking care 
 Rattlehead 
 A dose of metal you need 
 To bang your head till you bleed 
 It's time for snapping some neck 
 Slashing, thrashing to Megadeth 
 Rattlehead 
 You, your head is pounding with pain 
 You shake loose parts of your brain 
 Winning, sinning, beginning 
 Feeding, the needing for bleeding 
 Bashing, smashing, crashing 
 Frying, annihilating you! 
 There's someone back in the shadows 
 You can't see his eyes 
 He'll bash your head if you cross him 
 Ain't quite your average guy 
 Don't wear no leather to ""fit in"" 
 Don't wear no spikes to be ""cool"" 
 Don't want no woman beside him 
 Just make it fast, loud and rude 
 Rattlehead 
 I'm a rattlehead 
 Rattle your goddamn head!"
4,Megadeth,metal,Chosen Ones,"You doubt your strength or courage 
 Don't come to join with me 
 For Death surely wants you 
 With sharp and pointy teeth 
 An animal so vicious 
 No others fought and won 
 So on the fields of battle 
 We are the chosen ones 
 Human bones blanket the dirt 
 Of the heathen's lair 
 That we must pass this den of death 
 The only path from here 
 But I walk in the light 
 The time to die has come 
 No one shall take my life 
 I'm of the chosen ones 
 Black shadows fill the sky 
 As the creatures eyes grow near 
 Raise the shield of the holy pilgrims 
 High into the air 
 Heaven's powers fill my arms 
 Onward now to fight I'm sent 
 Oh the beast is coming 
 To put you to the test 
 Look out! 
 Now this land is mine to pillage 
 Rape, and steal, and take at will 
 Never let you cross this path 
 I reign, for now, I stay to kill 
 You doubt your strength or courage 
 Don't come to join with me 
 For Death surely wants you 
 With sharp and pointy teeth 
 An animal so vicious 
 No others fought and won 
 So on the fields of battle 
 We are the chosen ones"
5,Megadeth,metal,Looking Down The Cross,"Now before they take me and my blessed life 
 Now you'll know why death was summoned here tonight 
 I'll recall my perils, they'll kill me in pride 
 No, I can't run away, there's no place to hide 
 Though too much to live for, I owe enough to die 
 Ask not for salvation, my death shall mean their lives 
 Hatred and guilt, the altar they've built, high priests of sin 
 Destiny, fate, the wicked one's gate beckoning you in 
 Down the walkways, through the blood stained town 
 Looking down the cross, bleeding from the crown 
 Led to stay to die besides the thieves 
 Kill the king of the world to be 
 And now to you, this will come 
 A putrifying pestilence 
 More noxious than the serpent's breath 
 Malevolently destined 
 More corrupt than the malice of choronzon 
 More diseased than the wind 
 Of the moonlight sun 
 Putrefaction you have caused 
 No need for confession 
 Now you wish you had a god to stop your demolition 
 Crushing the bones of the hundredfolds 
 Swinging the judgement hammer 
 Man, woman, child, no-one is safe 
 The heads of the dead are the banner 
 And this was all you got 
 So don these broken wings 
 Sands of time run out 
 Bells of Hades ring 
 Is this a nightmare 
 To unhallow thy name 
 Smell of brimstone 
 Dancing in the flames 
 No help now as you fulfill his task 
 Chief of evil has got you by the ass 
 Set free to sit upon the throne 
 Just a dream? 
 You're weeping all alone! 
 Looking down the cross 
 (Speak no evil) 
 I'm looking down the cross 
 (Speak no evil)"
6,Megadeth,metal,Mechanix,"Imagine you were at my station 
 And you brought your motor to me 
 You're a burner, yeah, a real motor car 
 Said you want to get your order filled 
 Made me shiver when I put it in 
 Pumping just won't do, ya know, luckily for you 
 Whoever thought you'd be better 
 At turning a screw than me, I do it for my life 
 Made my drive shaft crank, made my pistons bulge 
 Made my ball bearings melt from the heat 
 We were shifting hard when we took off 
 Put tonight all four on the floor 
 When we hit top end, you know it feels so slow 
 Said you want to get your order filled 
 Made me shiver when I put it in 
 Pumping just won't do, ya know, luckily for you 
 Whoever thought you'd be better 
 At turning a screw than me, I do it for my life 
 Made my drive shaft crank, made my pistons bulge 
 Made my ball bearings melt from the heat 
 I'm giving you my room service 
 And you know it's more than enough 
 Oh, one more time, you know I'm in love 
 Said you want to get your order filled 
 Made me shiver when I put it in 
 Pumping just won't do, ya know, luckily for you 
 Whoever thought you'd be better 
 At turning a screw than me, I do it for my life, fuck yeah 
 Made my drive shaft crank, made my pistons bulge 
 Made my ball bearings melt from the heat, oh yeah"
7,Megadeth,metal,These Boots,"You keep saying you got something for me 
 Something you call love ( 
 but I call sex 
 ) 
 You've been ( 
 kissing when you ought to be a-screwing 
 ) 
 And now someone else ( 
 can kiss your ass 
 ) 
 These boots are made for walkin' 
 And that's just what they'll do 
 One of these days these boots 
 Are gonna walk all over you 
 You been lying ( 
 and there ain't no believing 
 ) 
 And you keep ( 
 saming 
 ) when you ought to not bet 
 You been ( 
 staying 
 ) when you ought to ( 
 be a-leaving 
 ) 
 Now what's right is right, but you ain't been right yet 
 These boots are made for walkin' 
 And that's just what they'll do 
 One of these days these boots 
 Are gonna walk all over you 
 ( 
 You keep dressing ways you shouldn't be dressing 
 ) 
 And you keep thinking that you'll never get burned, ha! 
 I just found me a brand new box ( 
 spring matress 
 ) 
 What you know ( 
 bitch, you got a lot 
 ) to learn 
 These boots are made for walkin' 
 And that's just what they'll do 
 One of these days these boots 
 Are gonna ( 
 stomp 
 ) all over you 
 Yeah 
 Are you ready boots? 
 Are you ready boots? 
 Are you ready boots? 
 Start walkin'! 
 ( 
 And you think I'm kidding, don't ya?! 
 )"
8,Megadeth,metal,Wake Up Dead,"I sneak in my own house 
 It's four in the morning 
 I had too much to drink 
 Said I was out with the boys 
 I creep in my bedroom 
 I slip into bed 
 I know if I wake her, I'll wake up dead 
 I wonder, will she find out 
 About the other, other lover 
 Diana 
 Wake up dead, you die 
 Wake up dead, and buried 
 Wake up dead, you die 
 Wake up dead"
9,Megadeth,metal,The Conjuring,"Welcome to out sanguinary sect of worship 
 Feel at home in our black conventicle 
 As we anathematize all of those who oppose us 
 Don't summon the devil 
 Don't call the priests 
 If you need the strength 
 The conjuring, obey 
 Behold the flames rise from the compasses' cardinal points 
 Burn the sacred oil and, with the ashes, you'll anoint 
 Arrange the symbols of the wizard and magician 
 Light the candles, place the parchment paper in position 
 Between its leaves, place the lash from a black cat's eye 
 A straw of a broom, fold and burn and centralize 
 Don't summon the devil 
 And don't call the priests 
 If you need the strength 
 The conjuring 
 I am the devil's advocate, a salesman if you will 
 You know my name 
 You know my name 
 I met your father years ago, gave him what he'd please 
 He called my name 
 You'll do the same 
 I'm claiming what is mine by right, it's time to close the deal 
 You're bought and sold 
 Bought and sold 
 Come join me in my infernal depths, Mephisto's hall of fame 
 I've got your soul 
 I've got your soul 
 The conjuring 
 Obey"
