,0,1,2,3
0,Meshuggah,metal,Cadaverous Mastication,"Here we are to stay 
 We all can see the purblind day 
 Assail the cause 
 Defray the ogre, the insubordinates 
 Restrained to live 
 Bring me home 
 Confronting mutants 
 We are all bound to fall 
 Mortality 
 We see today, defrauds our dreams 
 Approachable to die 
 Sliced by their lies, secured morbidity 
 Restrained to live 
 Bring me home 
 Confronting mutants 
 We are bound to fall 
 How many of the judges place a bet on me? 
 What's there to be? 
 Moribund irreverence 
 What's there for us in this deranged society? 
 Inanity 
 Cadaverous mastication 
 Saturday 
 They have Saturday 
 Saturday 
 Now it's Saturday 
 Saturday 
 They have Saturday 
 Saturday 
 Now it's Saturday 
 You are insane 
 How can you let there be such cruelty 
 You are insane 
 Now it's time for you to see 
 Here we are to stay 
 We all can see the purblind day 
 Assail the cause 
 Defray the ogre, the insubordinates 
 Restrained to live 
 Bring me home 
 Confronting mutants 
 We are bound to fall 
 We are bound to fall"
1,Meshuggah,metal,Paralyzing Ignorance,"Hear the mourners 
 The earth is gasping for air 
 Sneering at this thoughtless ravage 
 If we don't wake we'll massacre ourselves 
 Sneaking skullduggery 
 Slaughter the lungs of humanity 
 Spreading devastation through this world 
 A price we never can pay 
 Dethrone the impassive governments. No more of this 
 Dupery 
 Pollution of environment 
 Stop this now 
 Before it's too late 
 Mouldering world 
 You're dying slowly piece by piece 
 All the riches you've created 
 Will soon be laid destroyed 
 Dethrone the impassive governments. No more of this 
 Dupery 
 Pollution of environment 
 Stop this now 
 Before it's too late 
 People 
 Obey your eyes 
 We can't repair when it's all destroyed 
 No way 
 Dupery 
 Approaching death 
 Tomorrow falls 
 Why? 
 People 
 Obey your eyes 
 We can't repair when it's all destroyed 
 No way 
 Dupery 
 Approaching death 
 Tomorrow falls 
 Why? 
 Paralysed by ignorance 
 The cemetery plans continue 
 A tremendous trepidation 
 Perfidious annihilation-all in vain"
2,Meshuggah,metal,Erroneous Manipulation,"An inwrought irksome rabbit 
 Is washing my stomach 
 I can't stop thinking about my tonsils 
 How they are pendulating between my toes 
 Slowly suffering from liberty 
 I'm naked on a TV set and it's running wild 
 Fast, sweet, and heavy penetrating into my 
 Grandparents' pupils out of reach, but with a 
 Canoe's evil emotion 
 All right, I can admit it now 
 I was a screaming and lying stone operation 
 Who searched his way through car parts 
 Afraid to be recognized by a spoon 
 Birds with empty refrigerators heated up the 
 Children's chair sweat 
 There was no chance to drive the table without 
 A blue sock, 'cause my mistakes rolled down above 
 The forest of investigation 
 As soon as I heard my neighbor bend his arm 
 With a submarine, the milk was hot and dangerous 
 Like a bed 
 Nobody understands how wipe washers can breathe cows 
 Farting magazines are wading in waxed scarecrows 
 Falling flesh punched me in my bath suit look alike neck 
 Which controls universe with an iron grip of umbrellas 
 I'm wiping away some mirrors from the snakes 
 Without drinking any bus stations 
 Sorry, I'm in love with a door"
3,Meshuggah,metal,Abnegating Cecity,"Your words such unessential lies 
 Refract my barred-up eyes 
 You all tell me I'm confined 
 In my ""shell of hallucinations"" 
 So try and make me realize 
 Break my secure enclosure 
 Just try and I know you'll make me laugh 
 To hell with your damn comprehension 
 You belabor me for past and present mishaps 
 As if I had the might of alteration 
 You've had your trips into my brain; I know you begrudge 
 Now let me leave for my amenity 
 So you see, you white-coated freak 
 I don't need your allegations 
 Instead, join me to sanity's end 
 With my sweet needle of salvation 
 Increasing needs 
 Of my only friend 
 The one I trust 
 He runs in my veins 
 Hides me away 
 Under his soothing crust 
 Madness reigns 
 You're no longer in charge of my alluring illusions 
 That takes me wherever I want, my 
 Malnutriated malice 
 Rises strong and makes me the ruler of 
 Earth, wind and fire 
 As reality fades, I'm a king on clouds 
 The self-pity no longer runs in my veins; I'm a 
 Malevolent revelation; please let me stay 
 Give me more 
 Left out, dragged down into emptiness 
 Drowning in floods of misunderstanding 
 Why do you all look aside? 
 You're ripping my dignity away 
 Inside, identity is leaking out 
 Realization is catching up on me 
 My needs bashes false immortality 
 Into my affected being... Chaos 
 Cravings of delight 
 Slowly eats my soul 
 Trapped within myself 
 Defraying my own lies 
 Bewalling my demise 
 Deep penury... Internally 
 I feel marred by errors, can't you see? 
 My desires are calling for me 
 The sovereign of abnegations 
 Swings his feelers for a new relation 
 Come, mesmerize my oppressive mind 
 Tear apart these vehement cravings 
 Give me something to live for, bring me back 
 From my purgatory of obsessions 
 Increasing needs 
 Of my only friend 
 The one I trust 
 He runs in my veins 
 Hides me away 
 Under his soothing crust"
4,Meshuggah,metal,Internal Evidence,"This could've been a good day 
 To enjoy how life can be 
 But instead I wake up in myself 
 Look down ashamed to understand 
 What we ignore insanity 
 We wait for the problems 
 To solve themselves 
 What the fuck happens here... 
 Nothing 
 Slovenry... 
 Damn savagery 
 React 
 We're slowly drowning in our own mistakes... 
 Deeper 
 Drowning... 
 Breathing underwater-death 
 HELP... 
 I wish I felt much better 
 Feels like I'm dying inside 
 By murdering this world 
 We'll all commit... SUICIDE 
 Search my mind for reasons 
 To this uncured depression 
 This void of emptyness prevails 
 What the fuck happens here 
 Nothing 
 Slovenry... 
 Damn savagery 
 React 
 We're slowly drowning in our own mistakes... 
 Deeper 
 Drowning... 
 Breathing underwater-death 
 HELP... 
 Will someone help me 
 You know it yourself, nobody gives a damn 
 WHY 
 Because our dreams are left behind 
 WAKE 
 Numbed PAIN, I'm NULL, feeling ILL... Internally 
 Truth GONE, lies HERE, Crushed LIFE... Don't interfere 
 I'm TRAPPED, Wiped OUT, I'm DEAD... Eternally 
 Mind CLOSED, Torn SOUL, Life ENDS... I'm dying here... 
 What am I doing here on this earth. Why am I still awake, has 
 Someone heard. What brought me here to this false humanity, 
 Why am I bound to this deranged deformity? 
 I'm dying here"
5,Meshuggah,metal,Qualms Of Reality,"Redundant cruelty 
 Children are shoveled into enclosed solitude 
 In lack of value cause by minor defects 
 Each one an unsuitability 
 Outside the publics field of vision 
 Left to die on a bed of concrete 
 While the rich swallows ostentation 
 Distorted minds screaming for consolation 
 The vanity of convenience rules the world 
 Locked up 
 Who cares about rights 
 So what 
 If the world's a bit rude 
 The PROSPEROUS 
 Pay to keep it concealed 
 Leaving problems untouched because of fear 
 Abondoned lives 
 Hundreds in a room, staring with empty swollen eyes 
 Mutilated possibilities 
 Enslaved by INSANITY 
 The belligerent ARROGANCE of the leaders 
 Strangles the subjecteds RIGHT 
 To a childhood of safety 
 NIGHTMARES But for real for ever engraved 
 In the minds of lost infancies 
 Shut out 
 From this dying world of calumny 
 Infanticide 
 A thousand souls a day flows away with the breeze 
 Living corpses, breathing lungs filled with disease 
 Underdeveloped twisted thoughts, trying to understand 
 Unfairly secluded by the prevailing injustices 
 That pushes this mentally ill world 
 Over the edge of acceptance 
 Locked up 
 Who cares about rights 
 So what 
 If the world's a bit rude 
 The PROSPEROUS 
 Pay to keep it concealed 
 Leaving problems untouched because of fear 
 Death inside, without reach-their freedom. bound to feel, within- 
 Illness floating. souls in penury, soon to fade out-aggravation in 
 Charge... bemoan oppression, extensive carnage behind walls of 
 Uncertainty, we'll realise as the floods of insight come down"
6,Meshuggah,metal,We'll Never See The Day,"Justice runed by eternal travesty 
 Bloodcurdling hammer soon to be released 
 Stalking brutality tomorrow we will see 
 The unjustified agony unleashed 
 Strangling superstitious braces 
 Rampage overboard 
 Remoted deathmasks have no faces 
 We only see the cord 
 Lead to pathes and alleys 
 Chosened by a treacherous source 
 Squeeze the odds down to our last days 
 To summon up their force 
 Folded to pernicious chambers 
 Pounded by the walls Disappear no one remembers 
 Nobody hear our calls 
 Ruthless saints prey upon us 
 The society of friends 
 They are the wounds we are the pus 
 No matter how I ends 
 Maimed and left to putrefy 
 Betrayed by society 
 Indiscreet left to die 
 Filled with indignity 
 We will come to grief 
 By this irrational democracy 
 What's a life worth for humanity 
 Nothing more than justice by insanity 
 Utilization, covetousness 
 A voracious mouth to feed 
 Fatal greed engraves our death 
 Chokes our possibilities 
 We are the children of this devastating science 
 We are the lost till the end 
 We are the victims who knows who is lying 
 Forgotten we are dying 
 We are dying 
 We'll never see the day 
 We'll never see the day 
 We'll never see the day 
 We'll never see the day"
7,Meshuggah,metal,Greed,"Vitalize your benevolent thoughts today 
 Encrust the encumbrance that encroach your brain 
 A devastated world we'll see in tomorrow's society 
 Crushed by our own alternatives we've got ourselves to blame 
 Tons of death's spreading out violent solitude 
 We obliterate ourselves 
 Procrastinated measures decrease our chance to save 
 'Cause you've always got something else in mind 
 The reignes rain of pollution melts our opportunities 
 Conjectural in their comfortable lives 
 Stupidity's separated by a wall of glass 
 We have to stop this immediately this fucking mess 
 Tons of death's spreading out violent solitude 
 We obliterate ourselves 
 Procrastinated measures decreases our chance to save 
 'Cause you've always got something else in mind why? 
 Now it's time to save us 
 Natures demise 
 We can't control our accessies spreading 
 Pollution we fumble till the end 
 The end 
 The water is filled with toxic waste 
 And the air is filled with shit to breathe 
 Soon a dismembered world we'll see 
 We are in deep shit 
 We have to change this world 
 Start to communicate 
 We can't go on like this no 
 NO 
 ...And all this because of greed 
 Now it's time to perceive our inauspicious oversight 
 We're leaning on death against compensation 
 Are we so afraid to lose our welfaresociety 
 That we have to sacrifice ourselves, the earth 
 Tons of death's spreading out violent solitude 
 We obliterate ourselves 
 Procrastinated measrues decreases our chance to save 
 'Cause you've always got something else in mind why?"
8,Meshuggah,metal,Choirs Of Devastation,"Melting hands, as in fear they've ruled 
 But will not anymore 
 Determination now only a coagulating fluid 
 Burning its pathes down the sad soil 
 Clouds pregnant with heavy rain 
 Opens up its portals and pour upon earth, 
 The moist of a lost childhoods 
 Embrace as it boil. 
 Believe-as you see-the anticipation 
 Lost in mourning choirs of devastation 
 The aimless glow, we thought would never cease 
 Now groan out its renunciation. 
 Toxic airwaves throwing their corrosion, 
 Like patternless meshes over consumed ground. 
 Earth, blindly-stretch out her maimed arms, 
 Only to receive the certainty-there's no help to be found 
 No one's to blame as streams of equality washes away, 
 The last traces of humanity's existence. 
 We just sat, like contented denials as abnegation 
 Took its toll in exterminations' enhance. 
 We claimed, the dead would open the eyes of the living, 
 But who's left to exclaim the words-we were right. 
 Memories of anguish lie as whisper in the heat 
 Only bareness observe the last remains float out of sight."
9,Meshuggah,metal,Humiliative,"I'm the concrete leper 
 Sickness repulsion embodied 
 But hear the sermon escaping my vermin mouth 
 You might even stay with me in the dirt 
 I'm soaked in putrid sewage risen from empty words 
 To you, a legion of nausea 
 I'm your sins, I'm your crown of thorns 
 I've seen the blood of generations 
 The ravenous mouth called system 
 We're all shaped by vulgar hands 
 The grip of hate and lies 
 The sustenance to our bellicose ways 
 An ignorance almost justified 
 As the gap of humanity fraction grows 
 The skull of life lobotomized 
 Hear me! I'm ignominy! 
 There's no renaissance in bleeding 
 No! 
 I've flown a million minds black in despair 
 The liquids of uncertainty spit into their eyes 
 Our flesh embedded in counters of iniquity 
 It seems like we are all just merchandise, not civilized 
 No words, we adapt in our silence, paralyzed 
 To changes, erasing the last denial lines 
 Attitudes crucified, still we're going on 
 Crawling toward submissive suicide"
10,Meshuggah,metal,Sickening,"No one knows the soul of tears and why can't we see human indignity 
 Who will laugh at the growing suffering, the bleeding rapidly, breeding increasing 
 The clock is ticking on before us, constantly running 
 Hypnotized, energized, by naivety 
 Take a pick at random choose our future to be crawling in the mess of stupidity 
 We won't hear when we're dead and gone 
 We trust in lies or a fake paradise 
 Are we blinded till the bitter end 
 Decided or maybe very misguided 
 Travelling through endless times inside of nothingness 
 Reaching for a new belief in vain, insane 
 Our molded lives, an ever catatonic flow 
 We're rejected evermore by lucidity 
 Why strain? Why? 
 Why change? Why not suicide 
 No strain! No! 
 No change! No, not suicide! 
 With ears that are shut to the inner voice 
 We're giving in to the shattering 
 Tell me how can we take it 
 Tell me why are we here 
 Hanging in the balance of deceit and blasphemy 
 Paralyzed in sightless drains ignorant and still no panic 
 Is there no way to be free? 
 No? Why me, not us? 
 Why not blind strain? Blind! 
 Blind faith! Blind suicide! 
 Damn Faith! Damn! 
 Damn Lies! Why?"
11,Meshuggah,metal,Ritual,"I alone I fill my head with everything I have see into my empty 
 Face scarred I know I'll never be you're all the power in my 
 Fucked up feelings worn out by frayed old visions I know I am 
 You too so I wear your mission mark my every step and I choke 
 My lonely breath so I can bear my seed slay well I do know my 
 Hand obey I look into myself crawling ragged in my brain I'm no 
 Enemy to me I am the hate you made of flesh and blood I am the 
 Man you ate now left to sour embark my solitude fill up with 
 Pain beloved enemy you never betray I know you still I pay simple 
 Way go insane I don't beg never I choose will I ever I'm still you 
 Chaos is the way you drain me into be you last traces of the me 
 Converted by your rein merge into an indigestible pestilent trip 
 Seasons of infinity inhabitant of pain incorporeal sense can't 
 Resist what I need spirits to release my power reckon I'm beyond 
 Recuperation swallow every hour here I stand in the middle of 
 My entity revile my head you're all I have and I ask your feelings 
 Ritual ritual hand in hand back to back yearning to to obey see i 
 Go insane me your only friend I never run away hate you're all i 
 Ever have you know I am seeing your realm at my bed our love 
 Never ending you run my head see I was made for you roll my 
 Mind away embedded in hate you're all I have you're all I have"
12,Meshuggah,metal,Gods Of Rapture,"I feel torn apart 
 A vile misfit fallen 
 Deep into affliction 
 Of my hollow mind 
 The sense of suffocation 
 Grows inside my lungs 
 When I wake into truth, 
 I'm back among the blind 
 The truth of lies 
 Disenchanting my eyes 
 How can I survive 
 I can't stand being 
 Alive 
 Gods of rapture 
 Enshrouding my eyes 
 I try to hide 
 Then slowly, I die 
 My past laugh at me 
 From the other side of negation 
 Untying the lasting few 
 Cords of common sense 
 Submerged into the flow 
 The rapids of addiction 
 Too weak to push it back 
 A worm without defense 
 My flesh fading undressing the bones 
 Behold me naked; cadaver exposed 
 This, my abuse 
 I can't take it no more 
 The fragile truth sneering at me 
 With teeth pressed 
 Like thrusting nails into my head 
 All my life, I regret"
13,Meshuggah,metal,Future Breed Machine,"An even strobe a pulse of flashing hate 
 Lights of synthetic souls massproduced 
 Hammered into shape a sign of times dreams 
 Turn into systems a new way a new breed 
 Implanted in our minds 
 Here I am in the hand of a sterile hate 
 The new control I can not wake 
 I'm not a sleep 
 New intelligence arise in emptied bodies 
 Turgid flesh tested through eternal spastic 
 Fits through not known codes mother 
 Machine in genocide now scorn a dying race 
 Evolution in reverse now it's time for me 
 Changing what am I to be contorted 
 An eternity defeated 
 Programmed to appease you we're symbols of perfection 
 Humanoids runed by your laws: 
 Destroy erase improve lesson first: 
 Submission we're docile servant dogs 
 Our leashes are your limbs computed deep within 
 Remoted minds controlled our thoughts 
 No more doubts 
 The new way is here disgorged 
 Another thousands fakes that obey to a circuit skein to vacuum 
 Mechanical thoughts 
 I now conceive no longer me 
 Always to see inanity 
 Millions to be units like me 
 Eternally human patterns 
 Copied, dissected, distorted 
 Completed to fit the machine 
 The nerve fibres give in to cords to the unknown 
 See me be me same contents same machine 
 The currency of ours 
 No more flesh and bone 
 We are too unaware of what we have been before 
 Evolution in reverse 
 Now it's time for me 
 Changing what am I to be contorted 
 An eternity defeated by the new machine"
14,Meshuggah,metal,Beneath,"It's time to go into the me below 
 My morbid self beneath 
 A peril trip the last way out 
 I spin as I let go 
 In spirals down the narrow lines 
 Passing through my aura 
 Spit me out into my mind 
 A journey through disease 
 I'm behind my cynic eyes 
 That stare but can not see 
 The sickness in me ... beneath ... 
 I fall in untruthful me the essence of 
 My thoughts 
 Swirling in a thousand vows endless 
 Truth less 
 What am I this me beneath 
 A vain organic lie 
 That rules me from inside 
 Immobile now I bow before reality itself 
 It's substance moving through my eyes 
 My life is transferred once suffused upon 
 My mind the view erases burns inside 
 And then another fall 
 I plunge into a well of lies a cold 
 Perennial flow the vortex of my soul"
15,Meshuggah,metal,Soul Burn,"Inner perception trapped in a soul cage 
 Human wreckage I leave my liquid face 
 Who am I sense blurred who's my mind 
 In this life obscured 
 Visual progressions leave me no peace 
 Subliminal merger clutch the 
 Fence of needs 
 What's there in desperation what's real 
 Flawless confusion 
 Void of emptiness reign my truth 
 Before my eyes flashes of youth 
 Memory-nuances pass where's my life 
 Frayed pictures mass 
 Insidious deception feelings fade 
 Ravenous mirrors I praise the 
 Blackened day 
 What am I to reality what's in line 
 Subsequently 
 Forever turning through a lifetime 
 Endless burning of soul and mind 
 Step by step I'm taken through the past 
 To burn in fear of lies I'm lost mouldering 
 Oblivions grasp makes my soul burn 
 Burn 
 This astray mind has sieged my soul 
 Forever chained to this tearing cold 
 I'll never tell the truth from lies 
 Disbelief covers my eyes I'm lost mouldering 
 Perpetual pain in this soul burn 
 Pieces to me strange wrapped up disguise 
 Reflections of myself in another life 
 I see it vague before my eyes 
 Pictures drawn of naked bare lies 
 It makes no sense to live this mess 
 Constant until I find my rest 
 Enemy within a soul in flames 
 Gaining it's pulse breeding inside 
 Pressure increase drowns my belief 
 As I unveil myself in me 
 Burn"
16,Meshuggah,metal,Transfixion,"Trapped in a gaze where time stand still 
 Connected to a blur sensations deformed 
 We are to drown just to become 
 Another set of eyes among the millions 
 Enchanted we fade selecting illusions 
 Dwellers of the scene a new world obsessed 
 Gods of displays divine screens 
 Radiate us now your blessing 
 Down kneel to shields of glass 
 To the sovereign 
 Bleed for the entity of wavelengths 
 Transfixed yet eyes glowing with delight 
 Delusions of omniscience bred us by liars 
 Mentally drained by the growing leech 
 Fed on our manic desire 
 Oceans of sewage continual 
 Washing into our minds 
 Drowning in wasted integrity 
 With eyes too open to see vanity 
 Engulfed in super fiction fields 
 What are we when the false pictures 
 Dissolve 
 Caged within a twilight world 
 Devoid of own self made thoughts 
 Stare blind..."
17,Meshuggah,metal,Vanished,"Convalescent livid we succumb 
 Stagnation now complete 
 This is the new plague called 
 Unconsciousness 
 We're selfcaged in defeat 
 Clotted minds coagulate we are trapped 
 Inside the tears we obey resignate to our 
 Self-inflected fears 
 Voices calm will be never heard 
 In this mode who will change 
 Bantised in our minds so absurd 
 Is this the world sublime 
 Into pools of paranoia we're fading with 
 Reality drained by lies we are all inhuman 
 Introspective vanishing 
 Sterile thoughts now upraised in subhuman 
 Majesty bodies numb still enchained 
 Where am I in hell of our dreams 
 Wrong wrong I'm in the now the vain reality 
 So it seems we're dying yet content 
 Worship our chrysalis stage since when are 
 Lies divine 
 Since when 
 This is now degrade indulge 
 This is us servile obliging 
 Swallowed by our hunger for mendacity 
 As this dance whirls deeper into hate 
 We're vanishing 
 In down deep cold where am I caught cage 
 Trapped not in dreams now time has killed 
 Our eyes fall fade gone dead away"
18,Meshuggah,metal,Inside What's Within Behind,"I can't run away from this thing in me 
 I'm weakening down another now developing 
 Within 
 I can feel it it's inside my head 
 Connected to my brain this other me is 
 Slowly taking over deep beneath the 
 Eye that 
 All can see energic visions of the one 
 I know myself to be 
 Look into my eyes don't listen to their lies 
 How can I stop this from being real 
 No my life will be no longer what it always 
 Used to be 
 Life neglected infected by strain 
 I fall into the smothering the even 
 Flow of 
 Ravaging pain this my temple of selfcaged 
 Contempt a body slowly pierced by 
 Inevitable me 
 Do I differ from yourself am I like 
 They say 
 The truth eventually I'm the one you 
 Wanna be 
 Can you feel the same as I another inside 
 Pushing to free itself from the chains 
 Of the soul 
 Turn your eyes toward the inside 
 Dig deep within I'm sure you'll find 
 A different self a different soul 
 To put you in peace with mind"
