,0,1,2,3
0,MF Doom,hiphop,The Time We Faced Doom,"When this reporter babe get here she gonna be on our tip man 
 You know she gon' wanna write about me and my man here, all kinda (Flash message top secret ultra) 
 Yeah, and when she does and she puts this picture in the paper, it's going to be 
 Man, what the fuck you talking about man? 
 Metalface doom 
 Your concurrence in the above is assumed 
 Top secret ultra random message 
 (Now who is in the fur to tell me about a past adventure) 
 Why don't you tell him about the time we faced DOOM? 
 (All right, well as I remember 
 DOOM had threatened the world leaders with the destruction of every major city on Earth 
 Headquarters 
 (Good evening) 
 Would you believe it? It's DOOM on the phone 
 Mark my words well 
 I have plotted my revenge on DOOM 
 Now I shall have it 
 DOOM hates his us all 
 But in his warped mind, he has a personal score to settle with me 
 (Operation: Doomsday)"
1,MF Doom,hiphop,Doomsday,"Mic check... 
 Come through, dig the sound! 
 Crowd around! 
 I used to cop a lot 
 But never copped no drop 
 Hold mics like pony tails, tight, and bob alot 
 Stop and stick around 
 Come through and dig the sound 
 Of the fly brown six-o sicko psycho who throws his dick around 
 Bound to go three-plat 
 Came to destroy rap 
 It's a intricate plot of a b-boy strat 
 [PEM Stack or vmstat], cats get kidnapped 
 Then release a statement to the press - let the rest know who did that 
 Metal Face terrorists claim responsibility 
 Broken household name usually said in hostility 
 Um... what... it's MF, you silly 
 I'd like to take ""Mens to the End"" for two milli' 
 ""Doo-doo-doo-doo-doo!"" That's a audio daily double 
 Rappers need to fall off just to save me the trouble, yo 
 Watch your own back 
 Can't even go out alone, black 
 Stay in the zone - turn H2O to Cognac 
 On Doomsday! 
 Ever since the womb till I'm back where my brother went 
 That's what my tomb will say 
 Right above my government, Dumile [Doom's real name is Daniel Dumile] 
 Either unmarked or engraved, hey, who's to say? 
 I wrote this one in B.C. D.C. O-section 
 If you don't believe me, go get bagged and check then 
 Cell number 17, up under the top bunk 
 I say this not to be mean, wish bad luck or pop junk 
 Pop the trunk on See-Cipher-Punk, leave him left scraped 
 God forbid, if there ain't no escape, blame MF tape 
 Definition ""super-villain"": a killer who love children 
 One who is well-skilled in destruction, as well as building 
 While Sidney Sheldon teaches the trife to be trifer 
 I'm trading science fiction with my man the live lifer 
 A pied piper holler a rhyme, a dollar and a dime 
 Do his thing, ring around the white collar crime 
 Get out my face, askin' 'bout my case, need toothpaste 
 Fresher mint, monkey-style nigga get [Denta-Dent] 
 And dope fiends still in they teens, shook niggas turn witness 
 Real mens mind their own business 
 That's the difference between sissy-pissy rappers that's double-dutch 
 How come I hold the microphone double-clutch 
 C.O.'s make rounds, never have 'ox found 
 On shakedown, lock-down, wet dreams of Fox' Brown 
 On Doomsday! 
 Ever since the womb till I'm back where my brother went 
 That's what my tomb will say 
 Right above my government, Dumile 
 Either unmarked or engraved, hey, who's to say? 
 Doomsday 
 Every since the womb till I'm back to the essence 
 Read it off the tomb 
 Either engraved or unmarked grave, who's to say? 
 Pass the mic like ""Pass the peas like they used to say"" 
 Some M-er F-ers don't like how Sally walk 
 I'll tell y'all fools it's hella cool how ladies from Cali talk 
 Never let her interfere with the Yeti ghetto slang 
 Nicknames [? off nipple and tip of nipples?].metal fang 
 Known amongst hoes for the bang-bang 
 Known amongst foes for flow without no talking orangutan 
 Only gin and Tang 
 Guzzled out a rusty tin can 
 Me and this mic is like yin and yang 
 Clang! Crime don't pay, listen, youth 
 It's like me holding up the line at the kissing booth 
 I took her back to the truck, she was uncouth 
 Spittin' all out the sunroof, through her missing tooth 
 But then she has a sexy voice, sound like Jazzy Joyce 
 So I turned it up faster than a speeding knife 
 Strong enough to please a wife 
 Able to drop today's math in the 48 keys of life 
 Cut the crap far as rap 
 Touch the mic, get the same thing a Arab will do to you for stealing 
 What the devil? He's on another level 
 It's a word! No, a name! MF - the super-villain! 
 Doomsday! 
 Dig the sound 
 Crowd around"
2,MF Doom,hiphop,Rhymes Like Dimes,"Yo, yo, yo, y'all can't stand right here 
 In his right hand was your man's worst nightmare 
 Loud enough to burst his right eardrum close-range 
 The game is not only dangerous, but it's most strange 
 I sell rhymes like dimes 
 The one who mostly keep cash but brag about the broker times 
 Joker rhymes, like the ""Is you just happy to see me?"" trick 
 Classical slap-stick rappers need Chapstick 
 A lot of 'em sound like they in a talent show 
 So I give 'em something to remember, like the Alamo 
 Tally-ho! A high Joker like Spades game 
 Came back from five year layin' and stayed the same 
 Sayin' - electromagnetic feeling blocks all logic, Spock 
 And G- shocks her biological clock 
 When I hit it, slit her to the shitter, thought I killed her goose 
 Her Power-Use was pure Brita water, filtered juice 
 Keep a pen like a fiend keep a pipe wit' 'im 
 Gentleman who lent a pen to a friend who write wit' 'im 
 Never seen the shit again, but he's still my dunny 
 Only thing that come between us is krill and money 
 I sell rhymes like dimes 
 The one who mostly keep cash but brag about the broker times 
 Better rhymes make for better songs, it matters not 
 If you got a lot of what it takes just to get along 
 Surrender now or suffer serious setbacks 
 Got get-back, connects wet-back, get stacks 
 Even if you gots to get jet-black, head to toe 
 To get the dough, battle for bottles of Mo' or 'dro 
 This rhyme flow take practice like Tae Bo 
 With Billy Blanks 
 Oh, you're too kind! Really, thanks. 
 To the gone and lost forever like ""Oh My Darling Clementine"" 
 He hold his heart when he tellin' rhymes 
 When it's his time, I hope his soul go to Heaven 
 He's nasty like the old time Old Number Seven 
 You still taste it when you chase it with the Coca-Cola 
 Make you wish they coulda erased out the Motorola 
 I told her - no credit for it back 
 If you want what they got, then go get it, it's all gak 
 Only in America could you find a way to make a healthy buck 
 And still keep your attitude on self-destruct 
 I sell rhymes like dimes 
 The one who mostly keep cash, but tell about the broke times 
 Joker rhymes, like the ""Is you just happy to see me?"" trick 
 Classical slap-stick rappers need Chapstick 
 A lot of them sound like they in a talent show 
 So I give 'em something to remember like the Alamo 
 Tally-ho! High Joker like Spades game 
 Came back from five years layin' - stayed the same 
 Sayin' - electromagnetic field will block all logic, Spock 
 And G-shock her biological clock 
 When I hit her, slit her to the shitter, thought I killed her goose 
 Her Power-Use was pure Brita water, filtered juice 
 Keep a pen like a fiend keep a pipe wit' 'im 
 Gentleman who lent a pen to a friend who write wit' 'im 
 Never seen the shit again, but he still my dunny 
 Only thing that come between us, is krill and money 
 We sell rhymes like dimes 
 The one who mostly keep cash but tell about the broke times 
 Then your heart's a noise 
 She reflects 
 That she loooves you, sweetie (unitelligible) 
 She wants you paid 
 (Bobbito a/k/a Cucumber Slice) 
 Check it out, ch'all! Ya don't stop! Keep on, to the sure shot! 
 Huh-ha! 
 Uh, uh, uh, uh, oh! 
 Yeah, you're listening to the buttery slickness 
 The Land-O-Lakes from my man MF Doom! 
 Ha ha ha ha! Yeah! 
 Rock-shockin' the house, with another nugget 
 Uh-uh-ah, eh, oh, ah, hoo-wee! 
 Yeah! 
 Regulation status, right here, Fondle 'Em Recordings 
 1999 
 Yeah! 
 Now what are you 'posed to say on the end of records? 
 I don't know! Yeah! 
 Whoo! Yeah! 
 Mashed potatoes 
 Applesauce 
 Buttery... biscuits 
 And I get lost 
 A yes, yes, yes y'all 
 You don't stop 
 Keep on... a' to the breakadawn 
 Say what? 
 Uh! 
 Yeah! 
 You thought it all was over! 
 You thought the song was over! 
 Ah! We tricked you, we tricked you 
 Ha ha ha ha... Whoo! 
 MF Doom, Cool Bob Love..."
3,MF Doom,hiphop,The Finest,"Mary Davis: 
 The, the finest 
 MF DOOM and Mary Davis: 
 As the life cycle goes on, goes on 
 And you learn to hold on, hold on 
 To things like the mic, the mic 
 And you learn to appreciate who is the nicest on said device 
 But who is (The finest)? 
 Tommy Gunn, MF DOOM, and Mary Davis: 
 Time at shashuma, too much drama, blind behind the rumor 
 Time and time and time, my mind, I'm trying to find a tumor 
 Time at shashuma, no time for humor 
 As soon as one of ya' men's dead in Hempstead, you trying to find Pumas 
 Sooner the better, even knitted a sweater already 
 Keep your leather, we coming through the brutal weather 
 We ready to do whatever, yo Doom, you with it? 
 (You know it like a poet, my brother 
 Hey, Gunn you wit it?) Whatever (Finest) 
 Mf doom: 
 I know about going paid to broke, to next day well-off 
 To bust a shell off, to dick-riders, ""Get the hell off"" 
 Made a call to a client, he must've had his cell off 
 A show-off, he has the same bite but fell off 
 I tell off the bat, from science to pure facts 
 Which niggas is wack till they last two tracks 
 Matter fact, y'all could wait for the rep to tell 
 The tall tale, how he escape from out the depths of Hell 
 Tommy Gunn: 
 When die, he gon' die like a soldier die 
 Holding a swollen eye, drinking Olde Gold 
 Smoking a stog, watching popo patrol the beach 
 Blowing my high, rolling by, when Gunn die 
 He gon' try to preach the streets then go to the sky 
 Mf doom: 
 Yup, that hold water, like drizzle in a paper cup 
 This one etched in stone, the chisel with the paper up 
 I need a cut, a taper-up, edge-up 
 Niggas can't measure up, I'm here to get the treasure up 
 Megalon: 
 Stands up and hold 'em high, do or die 
 He got heat, no surprise, stop the beat, close your eyes 
 Got the weed, rolling lah 
 Not sweet, so no demise, all the guys drops seeds so multiply 
 Within the prophecies hold the lie 
 Mf doom: 
 He bled my mother and my father, but can't bleed me 
 OD, ghetto misery 
 He bled my brother, my sister, but can't bleed me 
 A OG, ghetto misery 
 Bled my mother, my father, but can't bleed 
 Me, sci-fly, whole style stuck up 
 Used to talk to myself, I told him, ""Shut the fuck up"" 
 Buckle up 'cause it's about to be rough 
 He said, ""Keep talking that shit, you 'bout to be snuffed"" 
 Then we squashed it, I let 'em know, ""Watch it 
 We only met a time to join these rhymers in the mosh pit"" 
 Gosh, it feels great just to increase the chance 
 For a pussy nigga face to hit the dance floor 
 Megalon and MF DOOM: 
 I pull ya top up, got clout, crack rock, what? 
 Now it's all good business, and so this bitch is locked up 
 On the dance floor. you got knocked out, your bitch got knocked up 
 Baby-face, and hey can you brand you, brand new machete 
 Damn, I just shook your hand and can't stand you already 
 Can't stand you, understand you deadly 
 But my hammer's like a band, my man, it's Brand New and Heavy 
 Yo' Doom, you ready? 
 (Yeah, yo Gunn, you with it?) Whatever 
 Mf doom: 
 Come on stay, I wrote this rhyme on my born-day 
 Remind me of the same style I flipped on ""Hey"" 
 Yikes, who can fuck with the likes 
 Of one such who scores touchdown and spikes mic's 
 Metal grill, with many styles, better still 
 Feel like number twenty-six on a roulette wheel 
 And deal, and run rings around rhymers 
 And run rings like number runners whose old-timers 
 Megalon: 
 Shorty in the all black, she think she all that 
 I called her, she said, ""Don't call back!"" 
 She called me, now what you call that? 
 Let's go back, I sold crack 
 Hold gats, smoke that, drink that, toke that 
 Fuck! Where that ho at? Where that dough at? 
 MF DOOM and Tommy Gunn: 
 Suffering succotash, this hooker broke into his last buck of cash 
 He love her, motherfuck her ass 
 Metal feet dented your car fender 
 My agenda up in the basement party tipping the bartender 
 Is unbeknownst to you, who could get body blown? 
 MF like Mike Fran Corleone 
 And got it sown, maricon, like to know what you staring at? 
 An invisible cat, who pull off a disappearing act 
 Raised by a pack a wild womens like Sweetback 
 Front? I'mma be back (Like brothers in the street act 
 Surrounded by a bunch a bad bitches like Sweetback 
 Fuck with me, I'll be back) 
 Like niggas in the streets act (Streets act) 
 Melvin van Peebles and Mary Davis: 
 A black mystery 
 (The finest) 
 Melvin van Peebles: 
 A black mystery 
 Yeah and he won't bleed 
 Mary Davis: 
 The"
4,MF Doom,hiphop,Back In The Days,"Mister Fantastic: 
 It was back in the days when I met a brilliant student named DOOM 
 Hello? Anybody home? 
 Wow, look at that equipment 
 I wonder what DOOM is working on 
 Now I'll just rearrange a few of these circuits 
 Dr. Doom and Mister Fantastic: 
 What are you doing in my room? 
 (You're even more stupid than I thought) 
 Give me those papers 
 (I just came by to say hello 
 But you'd better recheck those equations 
 You're off a few decimals 
 And that means big trouble if you use this material) 
 Get out of here"
5,MF Doom,hiphop,Go With The Flow,"""Yeah, here we go... just go with the flow"" (repeats 4 times) 
 Yo, I'd like to check this microphone before I start right quick 
 Microphone check 2,2,1,2,1,2 
 Big up all the Monsta Island massive 
 And beware before I triple dare you like the last kid 
 Who ask me what we don't got that you got son 
 For one, flow that's elementary my dear Wat-son 
 Secondly, ever since I was little 
 Not so much to riddle, least rhyme to the syllable 
 Keep tracks that make a Arab thief clap 
 With no hands, I chop these drums off 
 Truly yours, G Rap 
 Actual fact, relax 
 In this land of lyrical loss, black 
 I'm not the cool sleet stack 
 The one who might stop and talk to you 
 Poison to few, niggas who be bitin styles I'm like pork to 
 Ooh... what you got to lose? Let mud fly 
 When I got blues I chew whole crews that's bud dry 
 So I ask why the style's from the cess 
 Shit be fuckin' with my eye as I pull it to the chest 
 The super muthafuckin' villain grip the mic wit an iron hand 
 Throwin' emcees to the fire from out da fryin' pan 
 It ain't no use in tryin', man 
 Son, stop cryin 
 Frontin' like you death-defyin' 
 You need to stop lyin' 
 Speak your piece only once you're spoken to first 
 Now lemme hear your verse while I'm chokin' you 
 With bubbly fine rhymes like a editor 
 Throw them to my collection of skulls and spines like Predator 
 Fuck around, the only niggas who could hear the same sound (who?) 
 Was Jet Jaguar and James Brown 
 (Yeah, yeah only them two niggas?) 
 And I'm glad I took the time to write their names down to big 'em up 
 (True, true) 
 I'd like to say hi 
 It's {?} fly the odd Merlin 
 That's quick to whip up a script like Rod Sterling 
 {?} Bad bitch who used to whip the Sterling 
 Who see God ?, never see God earlin' 
 My man Grimm had his little monkey like Space Ghost 
 Me myself I got flavors that out-taste most 
 With numb gums, some rhymers is lake toast 
 Back to you MF Doom, you late show host 
 S to the you to the P E R-uh 
 Who chronicle these times in a 3-D horror 
 {?} Co-star or in a realer drama 
 Who break bread with stingy kin-men, Indian borrower 
 Lone gunmen who candidly flip fly floes 
 Single-handedly with one eye closed 
 In a fly pose, no shirt {?} 
 May see me stack the quarter-mill cash pay 
 That's in a smash way how he did it 
 Muthafucka probably couldn't peep it past a minute"
6,MF Doom,hiphop,"Tick, Tick...","MF DOOM and MF Grimm: 
 (You know when you're gonna come in?) 
 Nobody will never ever, ever, really, really know 
 Because the more you know, the more you know that you don't know shit 
 Niggas'll never run out of shit 
 So much shit, so much scripts through here, niggas never run out of shit 
 (Enjoy the rollercoaster ride) 
 Multifaceted 
 MF Grimm: 
 Walk the path of Jesus, witness if Hell freezes 
 The mind teases reality, crack the pieces 
 Nothing eases; being chastise with blood baptize 
 Guys revise, acknowledge past lives 
 Statements will be made, acknowledge me 
 My mind is Heaven's gate so enter me 
 My mind is the gate to Hell, so try to flee 
 Both gates look the same, which will it be? 
 Demons scream from thought process 
 Enter semen, child born, stress 
 Body want to sleep but the mind can't rest 
 Measure pleasure through financial progress 
 When it come to currency, love is nonexistent 
 Foes multiply, friends become so distant 
 Some hope you die, backstab in an instant 
 Foes I despise, disguised as allies 
 To sabotage, camouflage 
 Loyalty is lies 
 To see God, look into my eyes 
 To see the devil, then you look into my eyes 
 As I rise from Hell's equator 
 'Cause I'mma slow it up, speed it up, slow it up, speed it up 
 Metal Fingers feed beats, Grimm Reaper eat 'em up 
 Speed 'em up, slow 'em up, speed 'em up, slow it up 
 Brainsick, tick, tick, tick, MF blow it up 
 Slow it up, speed it up, slow it up, speed it up 
 Metal Fingers feed beats, Grimm Reaper eat it up 
 Speed it up, slow it up, speed it up, slow it up 
 Brainsick, tick, tick, tick, MF blow it up 
 Take air, compress it, bless it 
 Mix loops like Ku Klux 
 MF don't give two fucks 
 Nigga, quarterback blitz, popped, quickly fumble 
 Leave game with concussion, seeing stars and mumbles 
 This happens to any emcee that wants to rumble 
 Dynasties destroyed like Carringtons and Colbys 
 Noise, reduced, MF thinks in Dolby 
 Chop that ass in half like Obi-Wan Kenobi 
 Greatest of all time, God straight up told me 
 Greatest of all time, the devil even told me 
 Icicles on surfaces of sun, we livin' coldly 
 Prophets be phony 
 And we attack, we switch like the Wu Tang symbol 
 Still kill Jack even though quick and nimble, plain and simple 
 Pick niggas off while they ballin' 
 And die old like Stalin, yes 
 Death, I hear you callin', I accept collect 
 Human sacrifice, must pay respect 
 We catch wreck, nigga, we catch wreck 
 And, we gonna, gonna 
 'Cause I'mma slow it up, speed it up, slow it up, speed it up 
 Metal Fingers feed beats, Grimm Reaper eat 'em up 
 Speed 'em up, slow 'em up, speed 'em up, slow it up 
 Brainsick, tick, tick, tick, MF blow it up 
 Slow it up, speed it up, slow it up, speed it up 
 Metal Fingers feed beats, Grimm Reaper eat it up 
 Speed it up, slow it up, speed it up, slow it up 
 Brainsick, tick, tick, tick, MF blow it up 
 Boom, MF Grimm, MF DOOM 
 Mf doom: 
 Do your homework 
 King Geedorah"
7,MF Doom,hiphop,Red And Gold,"I remember when, last past November when 
 Clown kid got pounded in with the Timberland 
 They left him trembling, he was not remembering: 
 Never tuck your denim in just to floss an emblem 
 Some would debate, ""Wait, the fella ate gelatin 
 Or even listening in to what his weathermens was telling him"" 
 When I could feel it in my melanin, it's compelling 
 Us to break them off, no reassembling 
 No science-fiction to no theater near you, coming soon to 
 Fuck with you frequently like how phases of the moon would do 
 You could gather 'round like it was an eclipse 
 Just don't look directly to the bitch, you may be blinded by the crips 
 Pass the L, the last to tussle in them shirttails 
 All hail, King Geedorah, the third rail 
 700 volts holds rap to a standstill 
 Fool ignore the rule, fuck up and get his man killed 
 Two bottles of Dom got his hands filled 
 And so goes the days of our lives as the hourglass sand spill 
 And built with Passion and a glass of the 'Ze 
 (And the lights went down and hey!) 
 And I knew it was the last day ... Wig-Twisting Season 
 When some could get their wigs twisted back within reason 
 Mostly with these crimes of treason 
 And you'll be lucky if there's no squeezing even this evening 
 From how he's feeling, thrilling choice of flow is sick 
 He's the villain with the million dollar voice-throat trick 
 He's like a ventriloquist, with his fist in the speaker's back 
 Couldn't think of no uniquer track, nope, sneak attack 
 It don't really matter how big them is, so much as a nipple 
 'Cause you could have a chick with D-Triple 
 'Cept the nipple little, just hot off the griddle 
 Like how he do monkey rhymers, like Monkey-in-the-Middle by his damn self 
 Ain't no average MC ahead of me 
 Getting cheddar instead of the probably better pedigree 
 With nicknames, sick games as Rick James 
 Messy games, sci-fi such as Jesse James 
 Blast, I figure, ass-hawking ass titty licker 
 Last one to walk up in, fast-talking city slicker 
 Got bagged 'cause of the dirty chick with make-up 
 Bail out quick for the 7:30 wake-up 
 My only backup was an A-cup, as far as May 
 To when the leaves turn red and gold to Nimrod's earthday 
 All else? Worthless to say 
 (And the lights went down and hey!) 
 That's when I knew it was the first day ... Wig-Twisting Season 
 When some could get their wigs twisted back within reasoning 
 Mostly with these crimes of treason men 
 And y'all be lucky if there's no squeezing even this evening 
 ... 
 It's like a mosquit-ah, the much sweeter resent the act 
 I been bent back since my Physical went back 
 Since, Cultured more of my kin 
 And for them I keep an L rolled in this hellhole 
 Hold your head, use your head and hold, or be dead and cold 
 In the worsest way, soon as the leaves show red and gold 
 To 'round Nimrod's release day 
 And all else? Needless to say 
 Wait a motherfucking minute, true facts presented 
 The names was probably changed just to protect who ain't in it 
 The XP was three-quarters tinted, 4/5ths was converted 
 The way his shit was twisted? Ask him if it hurted 
 ... 
 ... Wig-Twisting Season 
 When some could get their wigs twisted back within reasoning 
 Mostly with these crimes of lying, and fronting, and cheating 
 All types of different styles of treason"
8,MF Doom,hiphop,The Hands Of Doom,"Dr. Doom and Costez: 
 I'll have to go ahead with my experiment right now 
 Lower the dome 
 Are you ready Costez? 
 (All set) 
 My moment of triumph is at hand 
 Contact 
 Raymond Zoro and Rose: 
 It's messed up 
 (It doesn't look bad) 
 You're crazy, it looks bad 
 (Okay then at least tell me what this thing that you're doing) 
 This figure in the middle, it's not even coming out right 
 I've already got like the hands like on the side, like the hands of doom, and they're like representing the city, and the environment around this artist 
 And he's like, like, he's like by himself in his own world and what not 
 He don't care about nobody around him, and that's what the hands are, everybody around him 
 (Yeah, who is this character? 
 That's you) 
 Who told, what gave, what gave you that idea? 
 (C'mon man, I've been knowing, I've knowing for a long time that was you 
 Nah nah)"
9,MF Doom,hiphop,Who You Think I Am?,"(Megalon) 
 Who you think I am, but who you want me to be? 
 (King Caesar) 
 ...When I rock, jock niggaz in shellshock 
 Don't watch the birdie watch the clock go tick tock 
 I rip shop, I make ya girls bottom lip drop 
 Yo word to the truckers at the pit stop I'm hip hop 
 I hold heat, never forget what niggaz told me they showed me 
 Other emcees trying to fold me they owe me 
 Yo plus them niggaz mad slow gee 
 I got my ""Get you Now"" so I'm comin' with my homie 
 Here's the plan: stick 'em up, I enter, through the window 
 Stoop down so we can't see our crescendo 
 Pass the indo, yo we used to be our friend though 
 Yeah but that's the reason I don't really like to lend dough 
 (Rodan) 
 From the corners cylindrical triangle hats 
 As dutch lyrics precise life wring dem from science 
 Leave you entangled for months 
 Tryin' to figure who done it, you fronted 
 Got cha shit stunted, didn't have to be that way 
 Some saw the light comin' in, they shunned it 
 For the wickedness to those whose despise life and worship death 
 The established matched at eye for eye, tooth for tooth, breath to breath 
 These are the last days of the countdown, shit is just that drastic 
 Write journals, like they use the prophets, study math like a Aztec 
 (Megalon) 
 Loved not for who you think I am, but who you want me to be 
 A true thuggin' emcee, true thugs, with no strings attached 
 I wanna give you my slugs and don't wanna take em 
 Box sprays, but with my box cutter in my boxes 
 Shots sprayed, who on cops high says we ?rosses? 
 Rock away boulevard, got love and ?knoxus? 
 Bout five cops today, my rock away 
 Niggaz and rock rage, got paid 
 A rock, you know why I rock, meet me at the ?lobses? 
 I suggest I should dress proper 
 Copped a buzz, I copped a dutch 
 I got a lotta love, with no strings attached 
 (Kamackeris) 
 Rhymes, rhymes, rhymes, we got plenty 
 Times, times, times, too many 
 Sparked up and chat, you keep countin' 
 I do my thing, jealous niggaz keep doubtin 
 Rock 'n' roll, lock 'n' load 
 Emcees out for pots of gold, we stop 'em cold 
 In they tracks an take all they ?jipsuses? 
 All they dats, all they bullshit mixeses 
 Give 'em a credit, not debt it 
 We just flipped the calistetic 
 Toss the andy pettitte, you said it 
 We grandslam in the never boss stand 
 Any pussy emcee's we abandon 
 (MF Doom) 
 Flew in from Monster Island just to rag shit wit jet lag 
 With brothers specializin ways how us not to get bagged 
 Egads! I bring confusion like roll call 
 To emcees so-called, hoes be like ""yup I told y'all"" 
 So socialize my bio so I dip dip dive 
 Memorize like I-omega zip drive 
 Go to the bar to drink to get soberer 
 King Ghidra eat the head of a king cobra like king koba 
 (Kong) 
 Kong get a cut like Kobe, now hold heat 
 So sweet, roll deep but no beef 
 Those that doze deep, close sheets 
 Po chose to speak with, reach over to reload the piece 
 Slip from freak to deak, keep concrete 
 Parallel to body till the next male 
 Shotties and hotty, still waitin to exhale 
 Smell the blood bath a slugs caught 
 Slugs passed and bloodsport 
 Bugged laugh, a bugged thought 
 Caught some eyes make the case last stack a locker 
 Bocker, drink a vodka, hit note, like Sinatra at a opera 
 Drop a flocker, Orville Redenbocher 
 Get you, got you, shot the two L's without the proper 
 For the ?abus? knocker 
 Hit the liquor, quicker than a quicker picker upper 
 Girl and stick er, I leave more nuts than a snicker 
 Kick er to the curb, punk a bitch, stomp a chick 
 For now call me Kong, Monster Isle, Monster Click (Bow!) 
 (Megalon) 
 Loved not for who you think I am, but who you want me to be 
 True thuggin' emcee, true thugs, with no strings attached 
 I wanna give you my slugs, and don't wanna take 'em back"
