,0,1,2,3
0,Mobb Deep,hiphop,Intro,"Our goal is to break the power of the mob in America and nothing short of it. We mean to end their profits, imprison their members, and cripple their organization"
1,Mobb Deep,hiphop,Me & My Crew,"Me and my crew, me and my crew we be chillin' and 
 Front on this and get dissed, motherfucker 
 Me and my crew, me and my crew we be chillin' and 
 Front on this and get dissed 
 Hey yo I'm takin' it Uptown, and niggaz know my name 
 Little shorty insane, so feel the pain 
 And the wrath of the five foot murder 
 I'm goin' out baby uzi, style 
 Catchin bodies like I hit skins 
 The hostile juvenile, fuck what you heard 
 More four-five, motherfucker die 
 My crew is live and real with a street deal 
 Automatic causin havoc when I hit 
 I flip and rip shop I'm on some homicidal shit 
 Little nigga loco, catchin bodies on a solo 
 Props for killin' cops I'm hellbound 
 I'm on a motherfuckin mission, I'm goin' at it 
 You want a freestyle kid I'm wilder than the penile 
 Back up off me, give me room to breathe 
 And you takin' up my spot? Nigga please 
 I'm as bad as they come, there ain't nuttin good 
 Used to be a gentleman but you can call me hood 
 Matter fact, fuck that kid, you know my name 
 Peace I'm audi, me and my motherfuckin crew 
 Me and my crew, me and my crew we be chillin' and 
 Front on this and get dissed, motherfucker 
 Me and my crew, me and my crew we be chillin' and 
 Front on this and get dissed 
 Ah one two, microphone check, who's next? 
 The five foot three, time to catch wreck 
 Set the situation motivate your mind 
 I'ma, step ahead and not a step behind 
 Bass now come again, checkin' for the little lyrical 
 ?? And chat be milky like cereal 
 Poof I make you move when I move I bet I make you 
 Buck I make you bugged as I kick the mega flavor 
 So I'm the kid just slippin the slang 
 What's my name, what's my motherfuckin name? 
 Fight, I make a fight motherfuckin buckwild 
 Shootin niggaz up like it's goin' out of style 
 So rusty ?? sharpen up your blades 
 Load up the clip, take a sip, what's the flav 
 I roll the streets at midnight, the little terror 
 Huh, I get better by the letter 
 A true breed, head to juvenile once more 
 A twenty bag of funk, shall I say more? 
 A real lil nigga with real motherfuckin skills 
 Far from weak, so get off the fuckin' deals 
 Do the do 'cause I'ma do mines too 
 Just chillin' with my crew, peep the flavor 
 Me and my crew, me and my crew we be chillin' and 
 Front on this and get dissed, motherfucker 
 Me and my crew, me and my crew we be chillin' and 
 Front on this and get dissed 
 (Prodigy) 
 Check it 
 My man Hav' got my back with the tec 20 
 To shoot 'em up if the niggaz get funny 
 My shit is real, I had to pioneer in this 
 Around the way, all the fake niggaz fear this 
 Paragraphs bust your membrane 
 On and on I bust through like teflon 
 The Little P, is not to be stepped upon 
 And if you think so kid then you're dead wrong 
 Little, far from big, yo a type small kid 
 P, I represent the brothers from Queensbridge 
 To make a long rhyme short I smoke weed 
 Sip a forty, yo fuck the court 
 So bad they tried to lock me in a group home 
 Prodigy's hard but fuck it I can rip a ?? 
 I catch wreck with the Einstein's intellect 
 And get stupid like a Stimulated Dummies mix 
 Feel the wrath, feel the aftermath 
 Even if you tooken notes, kid you couldn't pass the class 
 I keep a loosey in the chamber, cause beef got me shook down 
 Paranoid, ain't got no time to fuck around 
 So bypass the clock when it's time to go at it 
 So we can pop 'em off if the chumps want static 
 ... 
 Me and my crew, me and my crew we be chillin' and 
 Front on this and get dissed, motherfucker 
 Me and my crew, me and my crew we be chillin' and 
 Front on this and get dissed 
 (Havoc) 
 Check it 
 When I rap I kill mics like a nuke blast 
 Little Hav's the man, the man gettin' Van Damme 
 Buckwild, rockin' with much style 
 Check it as I wreck it, strip ya buttnaked 
 Pause and stand still while I just split a Phil' 
 And double up on ki's and make somethin' like a half-mil 
 Shorty's in it to get paid 
 No doubt, I got clout with the females 
 Put it in detail and write it 
 And if you ain't givin' pussy, then bitch you ain't invited 
 I'm on some other shit that you couldn't fuck with 
 Destructive, and couldn't give a fuck kid 
 Little niggaz don't die if they said so they lied 
 Immediate death to those who tried 
 The dark-skinned brother, unlike the others 
 When niggaz see my crew, they know to burn rubber"
2,Mobb Deep,hiphop,Locked In Spofford,"They got me locked in Spofford, the lil juvenile criminal 
 Two kids approach to put blades to my throat 
 They like my coat and ask me what I'm gonna do for that 
 Give it up? Huh, you don't believe that 
 So I threw on my hood, pulled out the banger 
 Swung it at the kids, that put me in danger 
 They put away them blades and said, 
 ""Why it gotta be like that?"" 
 Cause you get a little ox, and don't know how to act 
 Yeah, now I got props, and I'm runnin' shit 
 And when it comes to phone time, you don't get none of it 
 So sit back and just chill 
 Before you make a lil nigga have to get, ill 
 Only got a month left, so I gotta be on my best 
 But yet and still herb niggaz wanna put me to the test 
 So I wild, with a blade and a Kool-Aid smile 
 Let the juvenile catch wreck for a sec 
 Damn, I wish I could put my hands on a 
 Nice-ass tec, and blow a nigga to Babylon 
 But if you don't, got a knuckle game that's a damn shame 
 Nigga ? for, they got you washin drawers 
 But I refuse, 'cause I got nuttin to lose 
 Props I gotta earn, plus I gotta pay my dues 
 So in the meantime, I got a ox in my pocket 
 They got me locked in Spofford 
 Locked down, they got me locked down 
 Damn, they got me locked down 
 Locked down, they got me locked down 
 Damn, they got me locked down 
 To Spofford, and JV's worse than Rikers 
 Adolescents that ball hardcore 
 With the criminal minded juveniles 
 The real lil niggaz step out of the piles 
 And I'm not takin' no shorts while I'm up here 
 Spit 'em up, gem stars, but ain't no scars here 
 Protective custody's got mines 
 No type of help, I'm in here for self 
 And so I got locked up on a one to two 
 On the bus, catchin beef with mad crews 
 Run my shoes, fuck that, I'm goin' out kid 
 But not too buckwild, 'cause I gotta finish my bid 
 Four times, for my peoples up from the 'Bridge 
 Here, it takes a lot of heart to live 
 Behind bars, child correction 
 Trapped in the buckwild ? East section 
 They got me smokin' the death sticks 
 Niggaz got me fightin for my life, cause shit is real 
 Shorty kill a man got locked down 
 You want a buck sixty, you betta betta back down 
 On the streets a hood, but in here 
 You're up to no damn good, nigga I wish you would 
 Try to take mines, and try to shank mines 
 Shorty corrupt, there's no stoppin' me 
 Even in jail, I tear shit up 
 And when I get out, it's gonna get worse 
 The devil in the flesh 
 I'm puttin' hammers on a hearse 
 So while I'm in here, don't forget my name 
 Ain't shit changed, I'm still the motherfuckin same 
 I couldn't bitch up when I got here 
 Cell wreck, I got shit locked here 
 One more month I'm goin' Uptown 
 To the big pen, and I'ma still win 
 Cause jail is my life, and I like it here 
 Ain't no rules, you can do what you like in here 
 Jailhouse blues, I miss the ghetto 
 C.O.'s think they're five-oh's with no heat 
 So what am I to do when they step 
 Put 'em in check, and throw hands with a redneck 
 And now I got a little crew to watch my back 
 Lunchtime comes huh, you ain't gettin' none of that 
 'Cause I got shit sewn up real tight 
 Not one bit of fright, while I'm locked in Spofford 
 Locked down, they got me locked down 
 Damn, they got me locked down 
 Locked down, they got me locked down 
 Damn, they got me locked down 
 Locked down, they got me locked down 
 Damn, they got me locked down 
 Locked down, they got me locked down 
 Damn, they got me locked down"
3,Mobb Deep,hiphop,Peer Pressure,"Chorus: repeat 4X 
 The pressure... 
 (You gotta find a way to deal with) dealin' with the peer pressure 
 Verse One: Havoc 
 As a young black teen, everyday I, deal 
 With the pressure and mixed up is how I feel 
 I walk the streets with a fuck you attitude 
 And when it comes to my peoples you ain't half as rude 
 Follow the crowd or be a leader, take your pick 
 Now I'm smokin' buddha philly blunt style 
 A frustrated and confused young juvenile 
 King of the project blues so I choose 
 To take a piece of the action 
 But my sober state of mind won't let it happen 
 So twenty-four-seven it's the number one stresser 
 Dealin' with the peer pressure 
 Verse Two: Prodigy 
 Most don't understand how it is 
 In the world of today growin' up as a young black teen 
 I used to dream, of bein a architect 
 Easier said than done, believe me it's hard to get 
 Out of the projects, without forgettin where you came from 
 My parents told me from day one 
 Finish school and avoid all obstacles 
 But my environment, makes it so impossible 
 For instance, build a strong social life 
 Without messing up still trying to live right 
 Like in junior high, I used to wonder why 
 Certain females went out with certain guys 
 Then one day, it all dawned on me yo 
 You gotta be down, and have it goin' on see 
 I wasn't down with the mainstream or 
 Should I say their team, now I'm gettin' steamed 
 Gotta find a way, to get accepted by my peers 
 So now I'm sippin on beers 
 Buyin new gear, nothin' but the best 
 Forget Levi's strictly Polo and Guess 
 But how would I make the cash 
 It gotta be easy and it gotta be fast 
 Thinkin' to myself does that make me lesser 
 Just, dealin' with the peer pressure 
 Verse Three: Havoc 
 Around my way there's a kid that most don't understand 
 How he lives is it negative or positive 
 He has a grade A average 
 But when he's on the streets, with his friends, he's a savage 
 A freshman of high school, daily attendant 
 He never got in trouble never did he get suspended 
 Good little Kenny who would believe 
 He dropped out of school to start to smoke weed 
 I saw the signs but I didn't pay attention 
 Because he got offended every time that I would mention 
 The drinkin', the smokin', the low school grades 
 And sleepin' in class laid back with his black shades 
 Nowadays you catch Kenny hangin' in the hallways 
 With his crew findin more ways 
 To break out of school, and hit the block and get buckwild 
 Stay out of the way of a mad child 
 'Cause he's a product of, hell 
 Kenny never fell but he's gonna fall overall 
 So let's take a trip to the ghetto 
 Where Kenny got drunk and bought a burner off his man so 
 He pulled the trigger and the suicide note right 
 ""I'm glad it's finally over and I'm finally dead 
 And no more, do I have to feel, lesser, or 
 Deal with the peer pressure"""
4,Mobb Deep,hiphop,Skit#1,"It's about to go down real fast and quick 
 We's about to go to war with these shotties and clips 
 Somebody's gonna get murked in the streets of New York 
 I keeps it thoro because I holds down the fort 
 My nigga Ski got it under control 
 And I will not stop what I'm doing till I get to old 
 Cause the streets needs me right now to make hits 
 And represent the hood I rep on my hits 
 On a song I talk about drugs and money 
 Selling coke and watcing crackheads live bummy."
5,Mobb Deep,hiphop,Hold Down The Fort,"Yeah, we gotta hold down the fort 
 We gotta hold down the block 
 We gotta hold down the fort 
 We gotta hold down the fort, check it 
 Nineteen-ninety-motherfuckin-three right? 
 What's YOUR new year's resolution motherfucker? 
 Check this out 
 We gotta hold down the block 
 Word is bond kid, uh, aight 
 (Prodigy) 
 Beef on the block, who is he? 
 Set it Dunn, me and my automatic likes to get busy 
 Ghetto representer, there ain't no motherfucker better 
 While you be catchin feelings like a love letter 
 I gotta hold down my fort and won't lose 
 Nigga die, because I got the tec 9 blues 
 Bulletproof Polo, I'm goin' out solo 
 Whoever wanna come better step like they know 'cause 
 I'ma survive, more rougher than a certified 
 Around the way, parlay and get high 
 My mega blast'll last in days to pass 
 Niggaz shoot, too fast, to pull out your gun last 
 That's why I like to spark first, and shoot your 
 Bitch-ass down your next ride'll be a fuckin' hearse 
 Cause little niggaz don't die son 
 Half-step and get that ass lit up like a flare gun 
 Cops they want static, whatever they can have it 
 My name is Prodigy and I'm known to cause havoc 
 And when I flip I be on some ill shit 
 I walk the street, like a real super trooper 
 The block shit proper, who once got had 
 Mad beef with the dread who sold me that dirt bag 
 Mad props to the bad little niggaz in the neighborhood 
 Long live the short, gotta hold down the fort 
 Gotta hold down the fort 
 Gotta hold down the fort 
 We gotta hold down the fort 
 You gotta hold down the fort 
 We gotta hold down the fort 
 You gotta hold down the fort 
 So hold me down son (Yeah) 
 Hold me down (Yeah Yeah) 
 (Havoc) 
 Yeah how we go son, pull out the motherfuckin M1 
 Straight from the 'Bridge so you know where I'm from 
 The little, project nigga, I gets no bigga 
 Yo, my crew is buck so motherfuck how you figure 
 Step the fuck back, nigga, attack with the mack 
 Cause word is bond it's on 
 Shit is real around the way so sit back and take notes 
 Dead you on your coat, then cut your motherfuckin throat 
 Takin' life like a thief in the motherfuckin night 
 While I write write, you bite bite bite 
 Niggaz wanna step to my business 
 But I just parlay and sip on my Guinness 
 'Cause I'm the ripper, Mr. Flip the Scripture 
 Niggaz can't fuck with the flow of a real lil nigga 
 I wreck shop, in fact, get the mac, this is real 
 Shit is real, how the fuck you figure, nigga nil 
 So son hold me down while I pull out the glock 
 Gotta hold down the block, that's word to my pops 
 So once again it's on, light up the chalm 
 Time to drop the bomb, word is bond 
 We gotta hold down the block 
 Hold down the block 
 We gotta hold down the block 
 We gotta hold down the block 
 Yo son he pumpin over here Dunn? 
 I know he ain't pumpin over here yo 
 Yo word is bond yo son peep he comin' over let's bring it to him 
 What, what? What what what, what? 
 Who the fuck are you? 
 Man fuck that, what? *automatic spray* 
 Hold down the block 
 Yeah whattup now? What what, what what? 
 Whattup now? 
 Hold down the block 
 (Prodigy) 
 To all the niggaz that's live or real 
 You gotta hold down your block, cock back the glock 
 Fuck the cops, cause your neighborhood chores 
 If they beef, make 'em bleed on the project floors 
 I get my kicks from loadin up gun clips 
 Don't fuck with suburb chicks, I need a gangsta bitch 
 Don't need a crew, I can bust you down solo fast 
 And after that, dip into the weed stash 
 I'm quick to blast, enemies won't last the fate 
 I kill 'em fast so they can't retaliate 
 'Cause when I'm not alive who'd takes my place 
 To hold down the fort, we move on 
 My man got my back 
 I'm ready to go at anybody, who think they John Gotti 
 Peace to Manny C, good lookin' out B 
 I'm Hellbound, got my block locked down 
 We gotta pull out the glock 
 Gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 We gotta pull out the glock 
 Check it, yeah 
 Call that nigga"
6,Mobb Deep,hiphop,Bitch Ass Nigga,"Bitch ass nigga, yo it's time to pull the trigga 
 I might be small, but fuck with bein bigga 
 Niggaz wanna throw with that bullshit but step aside 
 Pull out the four-five, and kill him motherfuckin dead 
 Pump his ass with lead 
 Never fakin moves, motherfucker run the jewels 
 Buckwild, blowin' niggaz out the frame 
 Matter fact, don't call me shorty, kid you know my name 
 So next time, you see me, you better duck me 
 'Cause I don't give a fuck G 
 Catch wreck with the tec then I'm out like quick sex 
 Who's next, bitch ass nigga? 
 Bitch ass nigga - nah you don't want none (4X) 
 Kick it when I'm wicked and all smoked out 
 The little nigga that gets on your nerves so read about 
 You say yo shorty trauma, what's all the drama? 
 I shoot 'em up like their last name was Farmer 
 Shorty got the death wish, I wish to die 
 But when I try, it just goes by 
 You couldn't kill me because I can't kill myself 
 And if I got beef then I got it for self 
 And if I catch a body, I catch it for self 
 To me, murder is good for the health 
 Little man paranoid, Mr. Schizophrenic 
 Thirty-five niggaz wanna funk, don't panic 
 Just shoot a head up, or take your beatin' like a man 
 Or pull a burner if you want a longer lifespan 
 That's how I see it if I gotta die so be it 
 But maybe one day, my luck'll run out though 
 Until then, I couldn't give a FUCK yo 
 Little shorty one time, I'm goin' all out for mines 
 Cause there won't be a next time 
 So what you wanna do punk, back up a little 
 Gimme some space, I'm hittin hearts, street sweeper 
 A little crazed nigga from the streets 
 Raised in the ghetto, I'm puttin' out heads yo 
 I'm open, time to catch wreck, put 'em in check 
 Snap his neck, grab his loot then jet 
 Who's next to be a victim - easily ripped up 
 Get ready to run when I ripped em 
 Drop to the floor, feel the wrath of the drug war 
 Call me a thug who gets buck when I want more 
 Maniac react with a tec 9 
 Hit me up now cause there won't be a next time 
 Nah you don't want none 
 Bitch ass nigga - nah you don't want none (6X) 
 Who's that nigga standin with the jewels? 
 Throw on my hood, cock back the tool 
 Just to get a rep, yeah you god damn right 
 Just lick lick shots 'cause I don't fuck with fights 
 Back on the ave, and five-oh arrive 
 Chalk on the ground where the motherfucker died 
 Niggaz know who did it but ain't nobody snitchin 
 No word of to myself, if they do, I'm flippin the script 
 Settin it off, yo, put 'em in a dopefiend 
 And cut 'em up like protein 
 The Lord of criminal juvenile crimes committed 
 Set it some bitch-ass nigga, I'm widdit 
 You couldn't fuck with the skills of the five foot 
 And all it takes is a set to get your crew shook 
 You're fucked up, kid your rap styles sucks 
 I'm bustin' niggaz, like my first nut 
 Should I pull the trigga 
 Huh, no question 
 Bitch ass nigga - nah you don't want none (9X)"
7,Mobb Deep,hiphop,Hit It From The Back,"Uh, yeah 
 How we hit it? 
 Check it out 
 Shorty don't front, you better act like you're widdit 
 Frontin like you never did it, bitch admit it 
 Matter fact, shut the fuck up and turn around 
 If you still got walls I'ma tear the shits down 
 Just one of few brothers vigorous with the dick 
 Prepare to stay long, 'cause I don't cum quick 
 Little or big, I tear that ass out the frame 
 Talkin' like you're ill, but the shit is all game 
 You're weak on top, you can't ride like a stallion 
 Hit it from the back, then I'm audi 5000 
 But if you're ill we can chill smoke the fat Phil' 
 A little somethin' just to make shit real 
 Off with the light, fuck a invite, just make sure 
 You don't got the period, 'cause I don't want red lights 
 Aight? You know my motherfuckins steelo 
 Rippin from the back, bitch you know how we go 
 Hit it from the back (3X) Like dat! 
 Hit it from the back (3X) Like dat! 
 Uh, knowmsayin? 
 Check it out, word is bond 
 Knowmsayin, gonna flip it like dis 
 Rink-a-dink, rink-a-dink dinky dink 
 I used to hit raw daddy, but now I carry packs of three 
 Bulletproof I refuse to let the monster get me 
 I'm in, hit it from the back like that 
 Shorty black never tap no skins that look wack 
 I got mad game like Twister, nasty little mister 
 Quick to talk dirty to a sister 
 I met the shorty at the Skate Key 
 What's her name? Nevermind, 'cause she might try to sue me 
 Juiced her up, took her to the projects 
 So uh, if she was with it maybe we could have sex 
 You know what happens next, drop to your knees 
 Bitch caught a bone ? spin I win 
 As she starts to proceed, she said she wanted me 
 To drop a seed, I told her parlay and just be 
 Cause cunt little stunt with my butter dick shorty 
 You talk too much, so lay back and enjoy the blunt 
 I put it in her, she starts to wild 
 She said slow down, I said this is shorty wop style 
 A versatile, rough sex, fuck love makin' 
 Flip the script shorty, and flip yourself over 
 On your hands and knees Cochise 
 From the back I don't shoot blanks and I'm out black 
 Hit it from the back (3X) Like dat! 
 Hit it from the back (3X) Like dat! 
 Hit it from the back (3X) Like dat! 
 Hit it from the back (3X) Like dat! 
 Worrrrrrrrrd, yeah 
 Uh, whoo! Knahmsayin? 
 From the back 
 I like dat (I like dat) 
 Shorty don't front, you better act like you widdit 
 Frontin like you never did it, bitch admit it 
 Matter fact, shut the fuck up and turn around 
 If you still got walls I'ma tear the shits down 
 Just one of few brothers vigorous with the dick 
 Prepare to stay long, 'cause I don't cum quick 
 Little or big, I tear that ass out the frame 
 Talkin' like you're ill, but the shit is all game 
 You're weak on top, you can't ride like the stallion 
 Hit it from the back, then I'm audi 5000 
 But if you're ill we can chill smoke a fat Phil' 
 A little somethin' just to make shit real 
 Off with the light, fuck a invite, just make sure 
 You don't got the period, 'cause I don't want red lights 
 Aight? You know my motherfuckins steelo 
 Rippin from the back, bitch you know how we go 
 Hit it from the back (3X) Like dat! 
 Hit it from the back (3X) Like dat! 
 Hit it from the back (3X) Like dat! 
 Hit it from the back (3X) Like dat! 
 Shorty don't front you better act like you widdit (2X) 
 Strictly back shots you better act like you widdit... 
 Yeah, knahmsayin? Just buggin out 
 Stupid bitch 
 From the back, word up 
 Uh-huh, check it out 
 What we gon' do is flip it like this 
 Check it, bust how I do 
 Yeah yeah uh-huh"
8,Mobb Deep,hiphop,Skit#2,"It's about to go down real fast and quick 
 We's about to go to war with these shotties and clips 
 Somebody's gonna get murked in the streets of New York 
 I keeps it thoro because I holds down the fort 
 My nigga Ski got it under control 
 And I will not stop what I'm doing till I get to old 
 Cause the streets needs me right now to make hits 
 And represent the hood I rep on my hits 
 On a song I talk about drugs and money 
 Selling coke and watcing crackheads live bummy."
9,Mobb Deep,hiphop,Stomp Em Out,"The midnight murder, two cop bodies on my heat 
 Walk the street with a motherfuckin straight face 
 Little shorty flip the script, huh 
 On any punk ass nigga or bitch 
 The little brown skin buddha sucker, little motherfucker 
 I dwell, in Juvenile Hell (yeah yeah) 
 I got the shit that make you wanna catch a body quick 
 Fuck 'em up, bust 'em down, Queensbridge style 
 Street corner thug, my title neighborhood partygoer 
 Noreaga was my idle (yeah) 
 So what you wanna do nigga 
 My knuckle game brought me fame in the project hallways 
 I got mad props, for killin' cops 
 Little shorty hood, a little nigga no good 
 My twenty-five weighs a ton so run 
 I'm cockin back on your black ass B and it's like that 
 Stomp 'em out kid, stomp 'em out (4X) 
 Throw on my hoodie, when niggaz lit the Phillie 
 I put a fuckin' cap in the neighborhood bully 
 What now, coward ass nigga - you ain't tough 
 Fakin jax, I'ma call your motherfuckin bluff 
 Niggaz that violate get me vexed 
 Son got the mac, Noyd got the tec 
 I'm catchin body baggin niggaz like deez up 
 Town ? the ki's, flippin twenty-three G's 
 Around the way bustin' pills by the fuckin' pound 
 (??) Yeah kid, you know I got dat 
 Jump in the hooptie, countin' up my loot deep 
 ? On my vest in case niggaz wanna shoot me 
 Niggaz blazin' at my ride, but I don't give a fuck 
 'Cause I retaliate, with the bullshit two-five 
 It's only right, that I represent 
 Sip on the E&J, straight fuck around and get mega bent 
 Me and my crew, wild for days 
 Burn up the stage like a motherfuckin heat wave 
 Learn to maintain, less stress on the brain 
 Niggaz try to front, but they know my motherfuckin name 
 Straight from the Bridge, yeah, you know my style kid 
 I have you shook like a twenty-five to life bid 
 (Ragga chatta - can't make it out) 
 (Big Noyd) 
 Blowin' niggaz out the frame, yes it's part of the game 
 If your style ain't fit, you need to flip the script 
 And get on it, you might think it's all about that bullshit 
 But shit get real, with a mac and two clips 
 Niggaz with a hoodie, hmm, somethin's up 
 Thought you heard a scream, and next I heard a buck 
 Bow, I knelt down, one knee on the ground 
 I pull out the glock and Twin pull out the four pound 
 Shit is real sprayin rocks on the block 
 If you wanna carry G's you got to carry a glock 
 And go all out, get down for your crown, don't fuck around 
 Nigga tried to front, believe me get beat down 
 And turn around get popped with the glock in a sec 
 While your man got the tec to his fuckin' neck 
 You know my style kid, you know I'm wild kid 
 Don't try to front that make me flip and catch a damn bid 
 Representin from the 'Bridge, you know how it is 
 My name is Big Noyd, stomp 'em out kid 
 (Mobb Deep chorus while Big Noyd speaks) 
 KnowhatI'msayin? Big Noyd in the motherfuckin house 
 Representin from the Queensbridge housin 
 My man Big Twin, knahmsayin, Vic Nice 
 ?? Like that 
 Keep it goin' keep it goin' keep it goin' 
 Keep it goin' keep it goin' keep it goin' 
 Keep it goin' keep it goin' keep it goin' 
 Keep it flowin check it out 
 Shout out to my motherfuckin Goodfella 
 We got my man ?, Rapper G 
 ??, Knahmsayin? Stomp 'em out, stomp 'em out, stomp 'em ou"
