,0,1,2,3
0,Nickelback,rock,Where?,"I was wrong to think that I could ever trust in you, 
 I was wrong to think that you might want to trust me, too. 
 Here I am, here I am, 
 Here I stand, 
 Here I am, here I am, here I am, here I stand. 
 I was wrong to think that I could ever love in you, 
 I was wrong to think that you might want to love me, too. 
 Here I am, here I am, 
 Here I stand, 
 Here I am, here I am, here I am, here I stand. 
 So where the hell are you? 
 So where the hell are you? 
 So where are you when I need someone, too? 
 I'm tired of needing you."
1,Nickelback,rock,Window Shopper,"Forevers a lonely time and the dogs aren't always 
 Aren't always on my mind 
 'Cause I didn't free them 
 The scenery is burning me 'cause I'm still in it 
 So why don't you free me 
 'Cause it's not my business 
 What he's done to me 
 Control is all you really need 
 And I guess I had it coming, my fault for not runnin' 
 I just dressed too tempting cause your heads fuckin' empty 
 And I can't believe it 
 I can't believe that you didn't see me 
 Passing glances fall on me 
 Like screams on deaf ears 
 They're all laughing at me 
 With encouraging cheers."
2,Nickelback,rock,Fly,"Father, tell me somethin' 
 Where do bad men go when they die? 
 And mother says you'll go there but 
 Wings for her and I and I don't mind 
 'Cause I have always wanted to learn to... 
 Fly... learn to 
 Fly... learn to 
 Fly... learn to 
 Fly... 
 Brother, tell me somethin' 
 If I take this, am I going to die? 
 And he says no, so then I figure what the hell 
 I'll try 'cause it's my life 
 So light the match and you and I will... 
 Fly... learn to 
 Fly... learn to 
 Fly... learn to 
 Fly... 
 'Cause I'm on my hands and knees I've crawled eternity to beg forgiveness 
 And someday I'll be there I swear to you, God, as my witness 
 For all the trusts I've broke and, let justice know, it's just that easy 
 'Cause I'm a liar, I conspired, I'm a liar... 
 And father tell your son, 
 It's not your gun and bloody hands 
 Don't hide behind locked doors 
 In dresser drawers those bullets wait to fly... 
 Fly... wait to 
 Fly... wait to 
 Fly... wait to 
 Fly... 
 'Cause I'm on my hands and knees I've crawled eternity to beg forgiveness 
 And someday I'll be there I swear to you, God, as my witness 
 For all the trusts I've broke and, let justice know, it's just that easy 
 'Cause I'm a liar, I conspired, I'm a liar..."
3,Nickelback,rock,Truck,"Children all have saviours 
 Children don't care who saves us 
 Round the corner, round the bend 
 Fingernails torn to the end 
 Bring back, bring back 
 Bring back, bring back on me 
 On me 
 I told them, we scold them 
 Can't console them always 
 Toy soldiers falling 
 Dominoes, but who knows? 
 Bring back, bring back 
 Bring back, bring back on me 
 On me 
 Yeah and I dream of falling stars 
 And tokes for all my friends 
 And I will live forever 
 Yeah and I dream of all I'm worth 
 And all along the way 
 And I will never even 
 Yeah and I will coast through falling prayers 
 And all along the way 
 And I will always listen 
 Bring back, bring back (I) 
 Bring back, bring back (Or) 
 Bring back, bring back (We) 
 On me... 
 Bring it back, bring it back on 
 Bring it back, bring it back on 
 Bring it back, bring it back on"
4,Nickelback,rock,Left,"I saw the river, just pulled him down 
 I knew the man who hunted him down 
 We watched the river, take him away 
 Before he died, I could have sworn he said 
 I am the only one 
 I am the only one left 
 Tired and afraid lies a saddened man 
 Knelt beside him with head in hand 
 And escaped on a lonely breath 
 But before he died I could have sworn he said 
 I am the only one 
 I am the only one left 
 Who ever gave a damn about you 
 I am sorry 
 I am sorry 
 I was wrong 
 I was wrong 
 I've been wrong for way too long 
 I am sorry that you're gone"
5,Nickelback,rock,In Front Of Me,"It's hard to breathe, from underneath 
 Smothering in all your heat 
 It's hard to take, It's tough to break 
 So I don't make the same mistakes 
 The same mistake, (4x) 
 Out in the yard is where I play, 
 Don't come in 'cause I'm afraid 
 You saw my face, I faced my friends 
 Do I tell or just pretend? 
 I found a friend, a friend who knows 
 Who says he'll help but then he goes 
 And then he goes (4x) 
 In front of me, In front of me, so far from me, yeah, yeah 
 I'm in the way, the way it goes, so go away, yeah, yeah 
 In front of me, In front of me, so far from me, yeah, yeah 
 Fingernails, filled with dirt 
 If you don't tell, you don't get hurt 
 I cry for help, I pray to God 
 Another tear he tries to rob 
 To rob me of, my dignity 
 Cause sanctuary's far from me 
 Far from me (4x) 
 In front of me, In front of me, so far from me, yeah, yeah 
 I'm in the way, the way it goes, so go away, yeah, yeah 
 It's hard to take, a piece of me, so peacefully, yeah, yeah 
 In front of me, In front of me, so far from me, yeah, yeah 
 So broke inside, don't run away 
 And find another place to stay 
 And make our inhibition go away 
 Because I'm so afraid, yeah, yeah 
 It's hard to breathe, from underneath 
 Smothering in all your heat 
 It's hard to take, It's tough to break 
 So I don't make the same mistakes 
 In front of me, In front of me, so far from me, yeah, yeah 
 I'm in the way, the way it goes, so go away, yeah, yeah 
 It's hard to take, a piece of me, so peacefully, yeah, yeah 
 In front of me, In front of me, so far from me, yeah, yeah"
6,Nickelback,rock,DC,"Bribing me, We come, We watched how 
 We're last to throw our pennies 
 A passive tramps lifts her skirt 
 And asks us then we throw them down to her 
 And I know why I will always follow you 
 Anywhere my brother leads me to 
 We don't want to live in the sun 
 Just to keep them happy for awhile 
 Midnight, and Frank freaks out and reaches God and 
 Fairly tied up too 
 But I know why I will always follow you 
 Anywhere my brother leads me to 
 And I remember wanting to be you 
 And pray to God that we would all pull through 
 'Cause I know why I will always follow you 
 If you're my brother, then I will follow you 
 Lifelong friends threw bottle ends 
 And yell in the air like lifelong enemies 
 Who's stronger, who's lived longer? 
 World quarrels and grandkids on your knee 
 'Cause I know I will always follow 
 Anywhere my brother leads me to 
 And I remember wanting to be you 
 And pray to God that we would all pull through 
 'Cause I know why I will always follow you 
 If you're my brother, then I will follow you 
 'Cause I know why I will always follow 
 I will follow you and I will 
 I know why I will always follow 
 I will follow you and I will"
7,Nickelback,rock,Little Friend,"Manhunt to find your daughter 
 Buried underneath the water 
 Now they consult a psychic 
 Find how much I like it 
 And now I've found a little friend 
 And now it's just you and me 
 Borrow one and we will make three 
 I say we steal one more 
 Just like we did once before 
 And now I've found a little friend 
 It's too fast 
 This won't last 
 And to touch 
 Hurts too much 
 And now I've found a little friend 
 And now I thought I told her 
 That she won't get much older 
 And now I've found a little friend 
 And now it makes no difference 
 'Cause I am not quite in yet 
 And now its on the table 
 'Cause she's perfectly able 
 And now I've found a little friend"
8,Nickelback,rock,Pusher,"And some say 
 Why you follow somethings so long 
 So I asked him 
 And he convinced me before long 
 Now it's over 
 And I've seen him, don't come back anymore 
 And he said... 
 I need 
 I don't ask much anymore 
 I found 
 I found something 
 Throw a stone into the water 
 The ripple is broke 
 Burn the baby 
 Just for holding the cradle too close 
 Take it all back"
9,Nickelback,rock,Detangler,"I asked you to stay 
 But you said there's no way 
 I begged-- you to call 
 And you leave me after all 
 I know I'm not to blame 
 I know you don't feel the same 
 Didn't even tell me why 
 You just left me here to die 
 I stand, I fall, I bounce off these 4 walls 
 You laugh, you leave 
 And you leave me here alone 
 I'm guilty too 
 For giving all to you 
 Well, that's my one sin 
 Sorry for giving in 
 Didn't mean to waste your time 
 Thanks for wasting mine 
 Could have to tried to let me be 
 Would you just set me free? 
 I stand, I fall, I bounce off these 4 walls 
 You laugh, you leave 
 And you leave me here alone, 
 Is this how it's gonna be 
 It's fine for you and not for me 
 Did you even care at all 
 You stand, I fall 
 Could I pay you not to..."
