,0,1,2,3
0,Rush,rock,Finding My Way,"Yeah, oh yeah 
 Ooh, said I 
 I'm comin' out to get you 
 Ooh, sit down 
 I'm comin' out to find you 
 Ooh, yeah. Oh yeah 
 Findin' my way 
 I've been gone so long 
 I've lost count of the years 
 Well I've sang some sad songs 
 Oh yes, and cried some bad tears 
 Look out, I'm comin' 
 Whoa, whoa 
 Look out I'm comin' 
 Whoa, yeah 
 I'm runnin' 
 Finding my way back home 
 Oh yeah 
 Yeah, oh yeah 
 Ooh said I 
 I'm comin' back to look for you 
 Ooh sit down 
 I'm comin' by the back door 
 Ooh, yeah, ooh yeah 
 Findin' my way 
 You've done me no right 
 But you've done me some wrong 
 Left me lonely each night 
 While I sing my sad song 
 Look out, I'm comin' 
 Whoa, whoa 
 Look out, I'm comin' 
 Whoa, yeah 
 I'm runnin' 
 Findin' my way back home 
 I'm comin' 
 Ooh babe, I said I'm runnin' 
 Whoa babe, I said I'm comin' 
 To get you, mama 
 Said I'm runnin' 
 Ooh babe, I said I'm comin' 
 Back for you babe 
 I said I'm runnin' 
 Ooh yes, babe, I said I'm comin' 
 To get you babe, I said I'm comin' 
 Ooh yeah 
 I'm findin' 
 Finding my way back home 
 Well, I've had it for now 
 Livin' on the road 
 Ooh, yeah 
 Ooh, yeah 
 I'm findin' 
 Finding my way back home 
 Well, I've had it for now 
 Livin' on the road 
 Ooh, yeah 
 Ooh, yeah 
 Ey, yeah 
 Yeah, oh yeah 
 Ooh, said I 
 I'm comin' out to get you 
 Ooh, sit down 
 I'm comin' out to find you 
 Ooh, yeah, ooh yeah 
 Findin' my way"
1,Rush,rock,Need Some Love,"I'm runnin' here 
 I'm runnin' there 
 I'm lookin' for a girl 
 'Cause there's nothing I need 
 There's nothing I want more 
 In the whole wide world 
 Well I need it quick 
 And I need it now 
 Before I start to fade away 
 That's why I'm searchin' 
 That's why I'm lookin' 
 Each and every day 
 Ooh I need some love 
 I said I need some love 
 Ooh yes I need some love 
 This feeling I can't rise above 
 Yeah, yeah 
 Well I been hustlin' here 
 I been hustlin' there 
 I been searchin' for about a week 
 And I started feeling this strange sensation 
 My knee's are startin' gettin' weak 
 Well I need what keeps 
 A young man alive 
 I said I need it now 
 I'm gonna get my message across to you 
 Someway, somehow 
 Ooh I need some love 
 I said I need some love 
 Ooh yes I need some love 
 This feelin' I can't rise above 
 Ooh yeah yeah 
 Ooh I need some love 
 I said I need some love 
 Ooh yes I need some love 
 This feelin' I can't rise above 
 Ooh yeah yeah yeah"
2,Rush,rock,Take A Friend,"Well I'm lookin' at you 
 And I'm wondering what you're gonna do 
 Looks like you've got no friends 
 No one to stick with you to the end 
 Take yourself a friend 
 Keep 'em till the end 
 Whether woman or man 
 It makes you feel so good 
 So good 
 Yes you think you're all right 
 And now you're lonely every night 
 Well you need a friend 
 Someone on whom you can always depend 
 Take yourself a friend 
 Keep 'em till the end 
 Whether woman or man 
 It makes you feel so good 
 So good 
 Yes you need some advice 
 Well let me put it to you nice 
 I said you need a friend 
 Someone who'll stick with you to the end 
 Take youself a friend 
 Keep 'em till the end 
 Whether woman or man 
 It makes you feel so good 
 Take youself a friend 
 Keep 'em till the end 
 Whether woman or man 
 It makes you feel so good 
 Yeah yeah yeah yeah 
 Take youself a friend 
 Yeah yeah, yeah yeah 
 Keep 'em till the end, whoa-whoa 
 Whether woman or man 
 It makes you feel so good 
 So good"
3,Rush,rock,Here Again,"I said I played this song 
 So many times before 
 That the melody keeps repeating 
 Growing new ideas 
 Flowing chords and notes 
 Like a mountain river bleeding 
 Well I say as I look back 
 And all the thoughts I've had 
 They reflect just what I'm learning 
 Yes, you know that the hardest part 
 Yes, I say it is to stay on top 
 On top of a world forever churning 
 Whoa yeah, oh yeah 
 Well, you say you laugh 
 But I can see that your eyes are blind 
 Well do you see, can't you see, can't you see what I'm feeling? 
 Yes I've seen your face before 
 Why, I've said I've seen it everywhere 
 Showing up to me without a scent revealing 
 Well, I said will it ever change? 
 Well yes lord I said will it stay the same? 
 I'd surely like to know before it's over 
 Well, I said I play this song 
 Yes I said it won't be long 
 Won't be long before I stop and play it over 
 Oh, oh I've, I've seen your face before 
 Is it ever gonna, ever gonna change again? 
 And I, oh I, I've been in one place to long 
 Is it ever gonna, ever gonna change again? 
 Oh oh 
 Well I, oh I, I've seen your face before 
 Is it ever gonna, ever gonna change again? 
 And I, oh I, I've been in one place to long 
 Is it ever gonna, ever gonna change again?"
4,Rush,rock,What You're Doing,"Well I see you standing there 
 With your finger in the air 
 Everything we do 
 You wanna leave it up to you 
 Who do you think you are 
 You think you wanna start 
 Try to run the town 
 Always try to put us down 
 Well you think that you're right 
 You think you're out of sight 
 Tell me something mister 
 Why do you have to make us so uptight? 
 Well you say you've been tryin' 
 You know that you're lyin' 
 I think you need some groovin' 
 Who do you think you're foolin' now? 
 Well you better start changin' 
 You're life needs rearrangin' 
 You better do some talkin' 
 Or you better do some walkin' now 
 Yeah you think that you're right 
 You think you're out of sight 
 Tell me something mister 
 Why do you have to put us so uptight? 
 I know what you're doing 
 All that you've been doing wrong 
 I don't know what you're feelin' 
 Oh, but you been feelin' long 
 Well you say that you're right 
 Tell me something mister 
 Why do you have to make us so uptight? 
 Whoa yeah 
 Well I know what you're doing 
 All that you've been doing wrong 
 I don't know what you're feelin' 
 Oh, but you been feelin' long 
 Well you think that you're right 
 Tell me something mister 
 Why do you have to put us so uptight? 
 Yeah yeah"
5,Rush,rock,In The Mood,"Ah hey now baby 
 Well I like your smile 
 Won't you come and talk to me 
 For a little while 
 Well you're makin me crazy 
 The way you roll them eyes 
 Won't you come and sit with me 
 I'll tell you all my lies 
 Hey baby it's a quarter to eight 
 I feel I'm in the mood 
 Hey baby, the hour is late 
 I feel I've got to move 
 Well ah hey now baby 
 Don't ya talk so fast 
 I'm just tryin to make this good time 
 I'm tryin to make it last 
 Everything's gettin hazy 
 Now honey where'd you go 
 I just want to find out baby 
 Where'd you learn what you know 
 Hey baby it's a quarter to eight 
 I feel I'm in the mood 
 Hey baby, the hour is late 
 I feel I've got to move 
 Hey baby it's a quarter to eight 
 I feel I'm in the mood 
 Hey baby, the hour is late 
 I feel I've got to move 
 Well ah hey now baby 
 I said I like your style 
 You really got me baby 
 Way down deep inside 
 Ooh ya drive me crazy 
 Baby you're the one 
 I just wanna rock and roll you woman 
 Until the night is done 
 Hey baby it's a quarter to eight 
 I feel I'm in the mood 
 Hey baby, the hour is late 
 I feel I've got to move 
 Yes I do"
6,Rush,rock,Before And After,"Love won't see my comin' 
 On a Sunday noon today 
 I still don't believe we're fadin' 
 But now the world should wait 
 And now you're finally listenin' 
 To what I have to say 
 Well the time is right 
 And it is today 
 Yeah, yeah, yeah, yeah 
 Maybe we could talk about it 
 And try to get it straight 
 After all these years baby 
 Maybe it's too late 
 But I really need to 
 Have you by my side 
 And that's the only feeling 
 Baby I can't hide 
 Yeah, yeah, yeah, yeah 
 Well you aren't listenin' 
 I ain't talkin' 
 We ain't gettin' nowhere 
 I keep tryin' to get 
 Through to you baby 
 All you do is stare 
 I don't wanna see that 
 I need you by my side 
 Well I don't wanna be your lover 
 Babe, I wanna be your man 
 Yeah, yeah, yeah, yeah 
 Well now my story's over baby 
 And I ain't gonna tell it twice 
 Well you better start listenin' 
 Or get out of my life 
 (sounds more like ""Hell yeah, to my advice"") 
 Or you're gonna be left out 
 I said left out in the cold 
 Yeah, before you get my lovin' babe 
 You'll be too old 
 Yeah, yeah, yeah, yeah 
 Yeah, yeah, yeah, yeah 
 Well I'm talkin' to you baby 
 Well, I said 
 Yeah, yeah, yeah, yeah, yeah"
7,Rush,rock,Working Man,"Well I get up at seven, yeah 
 And I go to work at nine 
 I got no time for livin' yes 
 I'm workin' all the time 
 It seems to me 
 I could live my life 
 A lot better than I think I am 
 I guess that's why they call me 
 They call me the working man 
 They call me the working man 
 I guess that's what I am 
 I get home at five o'clock 
 And I take myself out a nice cold beer 
 Always seem to be wonderin' 
 Why there's nothin' goin' down here 
 It seems to me 
 I could live my life 
 A lot better than I think I am 
 I guess that's why they call me 
 The workin' man 
 Well they call me the working man 
 I guess that's what I am 
 Well they call me the working man 
 I guess that's what I am 
 Well I get up at seven yeah 
 And I go to work at nine 
 I got no time for livin' yes 
 I'm workin' all the time 
 It seems to me 
 I could live my life 
 A lot better than I think I am 
 I guess that's why they call me 
 They call me the working man 
 Well they call me the working man 
 I guess that's what I am 
 They call me the working man 
 I guess that's what I am"
8,Rush,rock,Anthem,"Know your place in life is where you want to be 
 Don't let them tell you that you owe it all to me 
 Keep on looking forward, no use in looking 'round 
 Hold your head above the crowd and they won't bring you down 
 Anthem of the heart and anthem of the mind 
 A funeral dirge for eyes gone blind 
 We marvel after those who sought 
 The wonders in the world, wonders in the world 
 Wonders in the world they wrought 
 Live for yourself 
 There's no one else more worth living for 
 Begging hands and bleeding hearts 
 Will only cry out for more 
 Anthem of the heart and anthem of the mind 
 A funeral dirge for eyes gone blind 
 We marvel after those who sought 
 The wonders in the world, wonders in the world 
 Wonders in the world they wrought 
 Well, I know they've always told you 
 Selfishness was wrong 
 Yet it was for me, not you 
 I came to write this song 
 Anthem of the heart and anthem of the mind 
 A funeral dirge for eyes gone blind 
 We marvel after those who sought 
 The wonders in the world, wonders in the world 
 Wonders in the world they wrought, wrought, wrought"
9,Rush,rock,Best I Can,"I've got a livin' that's rough, a future that's tough 
 You know what I mean 
 Blankers and boasters, all the bluffers and posers 
 I'm not into that scene 
 You can tell me that I got no class 
 Look around, you'll see who's laughin' last 
 Don't give me speeches 'cause they're oh so droll 
 Leave me alone, let me rock and roll 
 Got an itchin' to rock, a hate for small talk 
 I'm funny that way 
 Got my sights on the stars, won't get that far 
 But I'll try anyway 
 I just like to please, I don't like to tease 
 I'm easy like that 
 Don't like long rests, I must confess 
 I'm an impatient cat 
 You can tell me that I got no class 
 Look around, you'll see who's laughin' last 
 Don't give me speeches 'cause they're oh so droll 
 Leave me alone, let me rock and roll 
 I do the best that I can 
 I'm just what I am 
 I do the best I can 
 Well, I know what I am 
 I do the best that I can 
 I'm just what I am 
 I do the best I can 
 Well, I know what I am 
 Got an itchin' to rock, a hate for small talk 
 I'm funny that way 
 Got my sights on the stars, won't get that far 
 But I'll try anyway 
 Rock and roll-in's a scream, makin' millions my dream 
 Well, I do that a lot 
 I'll just give it a try, won't let good times pass me by 
 They're all I've got"
