,0,1,2,3
0,SIA,pop,Don't Get Me Started,"Don't want to be another craze 
 How about rather not see and I turn my face 
 Don't want to leave you unfinished 
 And resting on the noise that you left 
 I don't want to leave you mistaken, forsaken 
 Lying with the rest 
 I don't want you to be another 
 Touch, you talk the conversation 
 I don't want you to be another 
 Reason for me to leave this situation 
 Don't get me started 
 Don't get me started 
 Don't get me started 
 Don't get me started 
 I don't want to be a woman that 
 You wish you never met 
 I don't want you to kill my name 
 And ask if I'm hovering him 
 I won't send and gather dust 
 In the corners of your world 
 Cause believe me, when you leave me 
 It won't be a minute too soon 
 Don't get me started 
 Don't get me started 
 Don't get me started 
 Don't get me started 
 I don't want you to be another 
 Touch, you talk the conversation 
 I don't want you to be another 
 Reason for me to leave this situation 
 Don't get me started 
 Don't get me started 
 Don't get me started 
 Don't get me started 
 Don't get me started 
 Don't get me started 
 Don't get me started 
 Don't get me started"
1,SIA,pop,I Don't Want To Want You,"I like to take you 
 Only 'cause I choose 
 Not to leave you 
 I like to make something of you 
 Only 'cause I choose to believe in you 
 I don't want to want you 
 Like I do 
 I don't want to want you 
 Like I do 
 Like I do 
 I, I like to show you 
 Only 'cause I choose 
 Not to hide from you 
 I like to know you 
 Only 'cause I choose to introduce myself 
 Only 'cause I choose to introduce myself 
 I don't want to want you 
 Like I do 
 Like I do 
 I don't want to want you 
 Like I do 
 Like I do, like I do 
 I like to take you 
 Only 'cause I choose 
 Not to leave you 
 I like to make something of you 
 Only 'cause I choose to believe in you 
 I don't want to want you"
2,SIA,pop,Onlysee,"You, and you alone 
 You, and you alone 
 Have the power to be the master of your life 
 You only see what you want to see 
 You only see what you want to 
 You only see what you want to see 
 You only see what you want to 
 You... you alone 
 Granted you're taking me for a sucker 
 When I am not 
 Gradually, we'll patch up mends and I'll make you see 
 What I've got 
 Apparently you're taking me for a slip on 
 You've gotta tie me up 
 Eventually you will tamper mends, I'll make you see 
 I am enough 
 You only see what you want to see 
 You only see what you want to 
 You only see what you want to see 
 You only see what you want to 
 Obviously, you're taking me for what suits you 
 When I don't 
 With slow ease I'll show you disgraced, you were on my knees 
 You know I won 
 Foolishly, you're taking me for a sleeper 
 When I'm quite awake 
 Evidently we've not through been me, your intense scene 
 And you'll now break 
 You only see what you want to see 
 You only see what you want to 
 You only see what you want to see 
 You only see what you want to 
 You only see what you want to see 
 You only see what you want to 
 You only see what you want to see 
 You only see what you want to 
 You only see what you want to see 
 You only see what you want to 
 You only see what you want to see 
 You only see what you want to 
 You only see what you want to see 
 You only see what you want to 
 You, and you alone 
 You only see what you want to see 
 You only see what you want to 
 You, and you alone"
3,SIA,pop,Stories,"How can I climb inside you 
 The way that you're climbing inside me 
 How could I ever deny you 
 The way that you never deny me 
 How can I climb inside you 
 Touching the parts that people really see 
 How can I open and find you 
 And feel you the way that you want me to feel 
 I want you to know what I'm thinking of 
 I want you to read my mind before I write it 
 I want you to know that I have stories to tell 
 I wanna tell you a little bit more 
 How do I get to align with you 
 (?) times I will see 
 If we can piece together something 
 Or something else that will be 
 Can't believe that you're less 
 I'm still not against your will 
 A change that you really want too 
 If I pour it all out 
 Will you still have no doubt 
 There's a reason or two that you are too 
 I want you to know what I'm thinking of 
 I want you to read my mind before I write it 
 I want you to know that I have stories to tell 
 I wanna tell you a little bit more 
 How can I climb inside you 
 The way that you're climbing inside me 
 How could I ever deny you 
 The way that you never deny me 
 How can I climb inside you 
 Touching the parts that people really see 
 How can I open and find you 
 And feel you the way that you want me to feel 
 I want you to know what I'm thinking of 
 I want you to read my mind before I write it 
 I want you to know that I have stories to tell 
 I wanna tell you a little bit more 
 Can't believe that you're less 
 I'm still not against your will 
 A change that you really want too 
 If I pour it all out 
 Will you still have no doubt 
 There's a reason or two that you are too"
4,SIA,pop,Madlove,"Your insensitivity is your personality 
 A trade that's least favourite 
 Ha ha funny, you think you're so funny 
 But you hurt my feelings 
 We've had some good dealings 
 What have I done recently to make you so mean to me? 
 I'm oversensitive you say but I think you're nasty today 
 You make me feel nasty like a control freak 
 I just want to feel helpful like I'm needed 
 A sense of reason 
 You tell your friends I'm a fucking kook - 
 Look how long it took 
 I've been like this all the time 
 You don't know what it's like to be me - 
 You're not paranoid, neurotic - you're free 
 I don't like me much anymore 
 You make me feel a burden 
 You make me feel like a bore"
5,SIA,pop,A Situation,"Well I live here with you 
 In, in a kind of ""yes, will do"" 
 Oh what part of now don't you understand 
 I'm showing you well apparent 
 Yeah I get the bluff if I'll get out 
 No room for three, you, me and your doubts 
 One of us has got to leave 
 And it'll sure be me 
 And I think we could have a situation 
 We could have a situation 
 Any reason we can't just settle around now 
 Yeah, ok, and how? 
 Rather than shout and praise 
 (?) with them, not without (?) 
 Oh, what part of our old tune don't you understand 
 I think I made it clear that you're in the mend 
 In the mend 
 Oh, we could have a situation 
 Oh, we could have a situation"
6,SIA,pop,Shadow,"Yes, you can take that to heart 
 It was meant to sit close to the bone anyway 
 You can make it a big issue 
 Make it a battle of your own and that's ok 
 You can feign a distant familiarity 
 You say you understand the similarity 
 You think you see me with great clarity 
 But you're acting me, not necessarily 
 Only if you steal my shadow, will you truly know 
 Yes, you can call that a start 
 It was meant to begin kind of slow anyway 
 Yes, your deceit is an art 
 I knew you would sink kind of low anyway 
 You say you have the best intentions 
 You fill me with fickle suggestions 
 Logic is fired by inventions 
 But your concern is much more than you mention 
 Only if you steal my shadow, will you truly know 
 You say you know my situation 
 You say you've been confused by my complication 
 You think my soul makes negotiation 
 But you don't see my hesitation 
 Only if you steal my shadow, will you truly know"
7,SIA,pop,Asrep Onosim,"Ort oh'l 
 Otavort oh'l 
 Iel otavort oh'l 
 Ho trovato lei 
 L'ho trovata 
 Ho trovato lei 
 Onosim 
 Onosim 
 Asrep onosim 
 Mi sono persa 
 Scusami, sai dove dovrei andare? 
 Io no 
 Ho trovato lei 
 L'ho trovata 
 Non lo so dove vado 
 Mi sono persa 
 Mi sono persa, yeah 
 Ho trovato lei 
 L'ho trovata 
 Onosim 
 Onosim 
 Asrep onosim 
 Ho trovato lei 
 L'ho trovata 
 Ho trovato lei 
 L'ho trovata 
 Onosim 
 Onosim 
 Asrep onosim 
 Mi sono persa 
 Onosim 
 Onosim 
 Asrep onosim 
 Mi sono persa, yeah 
 Mi sono, mi sono 
 Mi sono persa, yeah 
 Mi sono persa, yeah 
 Mi sono persa, yeah 
 Mi sono persa, yeah 
 Mi sono, mi sono, mi sono"
8,SIA,pop,Take It To Heart,"People are talking, well that's nothing new 
 And some things will never change 
 Stories are turning away from the truth 
 But people will stay the same 
 It's only natural that we go on 
 To meet with the days that will come 
 It's only natural that we all carried forward 
 So step on, go on 
 Get rising like the morning sun 
 There's no need to take it to heart 
 There's no need to take it to heart 
 Only the truth can tear you apart 
 There's no need to take it to heart 
 Well stand tall and (?) 
 And don't let it get you down 
 Make them all feel (?) 
 But for you I will (?) my ground 
 People are talking, well that's nothing new 
 And some things will never change 
 Stories are turning away from the truth 
 But people will stay the same 
 It's only natural that we go on 
 To meet with the days that will come 
 It's only natural that we all carried forward 
 So step on, go on 
 Get rising like the morning sun 
 There's no need to take it to heart 
 There's no need to take it to heart 
 Only the truth can tear you apart 
 There's no need to take it to heart 
 Well stand tall and (?) 
 And don't let it get you down 
 Make them all feel (?) 
 But for you I will (?) my ground"
9,SIA,pop,Beautiful Reality,"I sometimes believe that everything I dream 
 Will one day be my reality 
 I sometimes think that every move I make 
 Will gather in shape in my reality 
 I can only dream 
 I can only hope 
 That one day I will see 
 A beautiful reality 
 I can only wish 
 And I can only want 
 That one day I will see 
 A beautiful reality 
 I sometimes search for signs my dreams can work 
 Until I stand alert with my reality 
 I sometimes look in paradise by the book 
 To give back what I took from my reality 
 I can only dream 
 I can only hope 
 That one day I will see 
 A beautiful reality 
 I can only wish 
 And I can only want 
 That I will one day see 
 A beautiful reality 
 I can only dream 
 I can only hope 
 That one day I will see 
 A beautiful reality 
 I can only wish 
 And I can only want 
 That I will one day see 
 A beautiful reality 
 Beautiful, beautiful reality 
 A beautiful reality 
 Beautiful, beautiful, beautiful, beautiful 
 Beautiful reality"
