,0,1,2,3
0,The Clash,rock,Janie Jones,"He's in love with rock and roll, whoa 
 He's in love with getting stoned, whoa 
 He's in love with Janie Jones, oh 
 He don't like his boring job, no 
 He's in love with rock and roll, whoa 
 He's in love with getting stoned, whoa 
 He's in love with Janie Jones, oh 
 He don't like his boring job, no 
 An' he knows what he's got to do 
 So he knows he's gonna have fun with you 
 You lucky lady 
 An' he knows when the evening comes 
 When his job is done, he'll be over in his car for you 
 He's in love with rock and roll, whoa 
 He's in love with getting stoned, whoa 
 He's in love with Janie Jones, oh 
 He don't like his boring job, no 
 And in the in-tray lots of work 
 But the boss at the firm always thinks he shirks 
 But he's just like everyone, he's got a Ford Cortina 
 That just won't run without fuel 
 Fill her up, Jacko 
 He's in love with rock and roll, whoa 
 He's in love with getting stoned, whoa 
 He's in love with Janie Jones, oh 
 He don't like his boring job, no 
 And the invoice, it don't quite fit 
 There's no payola in his alphabetical file [...] 
 This time he's gonna really tell the boss 
 Gonna really let him know exactly how he feels 
 It's pretty bad 
 He's in love with rock and roll, whoa 
 He's in love with getting stoned, whoa 
 He's in love with Janie Jones, oh 
 He don't like his boring job, no 
 No 
 No 
 Let them know, let them know"
1,The Clash,rock,Remote Control,"Who needs remote control? 
 From the Civic Hall 
 Push a button, activate 
 You gotta work and you're late 
 It's so grey in London town 
 With a panda car crawling around 
 Here it comes, eleven o'clock 
 Where can we go now? 
 Can't make a noise 
 Can't get no gear 
 Can't make no money 
 Can't get outta here 
 Big business it don't like you 
 It don't like the things you do 
 You got no money, you got no power 
 They think you're useless, and so you are, punk 
 They had a meeting in Mayfair 
 They got you down and wanna keep you there 
 It makes them worried, their bank accounts 
 That's all that matters and you don't count 
 Can't make no progress 
 Can't get ahead 
 Can't stop the regress 
 Don't wanna be dead 
 Look out, those rules and regulations 
 Who needs the Parliament? 
 Sitting making laws all day 
 They're all fat and old 
 Queuing for the House of Lords 
 Repression, gonna start on Tuesday 
 Repression, gonna be a Dalek 
 Repression, I am a robot 
 Repression, I obey"
2,The Clash,rock,I'm So Bored With The U.S.A.,"Yankee soldier 
 He wanna shoot some skag 
 He met it in Cambodia 
 But now he can't afford a bag 
 Yankee dollar talk 
 To the dictators of the world 
 In fact it's giving orders 
 An' they can't afford to miss a word 
 I'm so bored with the USA 
 I'm so bored with the USA 
 But what can I do? 
 Yankee detectives 
 Are always on the TV 
 'Cause killers in America 
 Work seven days a week 
 Never mind the stars and stripes 
 Let's print the Watergate Tapes 
 I'll salute the New Wave 
 And I hope nobody escapes 
 I'm so bored with the USA 
 I'm so bored with the USA 
 But what can I do? 
 I'm so bored with the USA 
 I'm so bored with the USA 
 But what can I do? 
 I'm so bored with the USA 
 I'm so bored with the USA 
 I'm so bored with the USA 
 But what can I do? 
 Move up Starsky 
 For the C.I.A. 
 Suck on Kojak 
 For the USA"
3,The Clash,rock,White Riot,"White riot, I wanna riot 
 White riot, a riot of my own 
 White riot, I wanna riot 
 White riot, a riot of my own 
 Black man gotta lot a problems 
 But they don't mind throwing a brick 
 White people go to school 
 Where they teach you how to be thick 
 Everybody's doing just what they're told to 
 Nobody wants to go to jail 
 White riot, I wanna riot 
 White riot, a riot of my own 
 White riot, I wanna riot 
 White riot, a riot of my own 
 All the power's in the hands 
 Of the people rich enough to buy it 
 While we walk the street 
 Too chicken to even try it 
 Everybody's doing just what they're told to 
 Nobody wants to go to jail 
 White riot, I wanna riot 
 White riot, a riot of my own 
 White riot, I wanna riot 
 White riot, a riot of my own 
 Are you taking over 
 Or are you taking orders? 
 Say you know it backwards 
 But I know it forwards 
 White riot, I wanna riot 
 White riot, a riot of my own 
 White riot, I wanna riot 
 White riot, a riot of my own"
4,The Clash,rock,Hate & War,"Hate and war 
 The only things we got today 
 And if I close my eyes 
 It will not go away 
 You have to deal with it 
 It is the currency 
 Hate, hate, hate, hate, hate, hate 
 The hate of a nation 
 A million miles from home 
 I got war from the junkies 
 Who don't like my form 
 I'm gonna stay in the city 
 Even when a house fall down 
 I don't dream of a holiday 
 When hate and war come around 
 Hate and war 
 The only thing we got today 
 Hate and war 
 The only thing 
 I have no will to survive 
 I cheat if I can't win 
 If someone locks me out 
 I kick my way back in 
 And if I get aggression 
 I give 'em two time back 
 Every day it's just the same 
 With hate an' war on my back 
 Hate and war, I hate English men 
 Hate and war, just as bad as wops 
 Hate and war, I hate all the p'liteness 
 Hate and war, I hate all the cops 
 Hate and war, I wanna walk down any street 
 Hate and war, dressed like a creep 
 Hate and war, I don't care if I get beat up 
 Hate and war, by any woggin' Greek"
5,The Clash,rock,What's My Name,"What the hell is wrong with me? 
 I'm not who I want to be 
 I tried spot cream and I tried it all 
 I'm crawling up the wall 
 What's my name 
 Name, name? 
 I tried to join a ping-pong club 
 Sign on the door said all full up 
 I got nicked for fighting in the road 
 The judge didn't even know 
 What's my name 
 Name, name? 
 Dad got pissed so I got clocked 
 Couldn't hear the Tannoy so he lost the lot 
 Offered me a bribe through the letter box 
 Drives you fucking mad 
 What's my name 
 Name, name? 
 Now I'm round the back of your house at night 
 Peeping in the window, are you sleeping tight? 
 I laugh at your locks with my celloid strip 
 And you won't know who came 
 What's my name 
 Name, name?"
6,The Clash,rock,Deny,"Deny, you're such a liar 
 You wouldn't know the truth if it hit you in the eye 
 Deny, you're such a liar 
 You're selling your no-no all the time 
 And you said we were going out to the 100 Club 
 Then you said, ""It ain't my scene"" 
 But then you turned up alone 
 Then you turned up alone 
 Deny, you're such a liar 
 You wouldn't know the truth if it hits you in the street 
 Deny, you're such a liar 
 You're selling your no-no all the time 
 Then you said you'd given it up, gone and kicked it in the head 
 You said you ain't had none for weeks 
 Baby, I seen your arms 
 Baby, I seen your arms 
 Deny, you're such a liar 
 You wouldn't know the truth if it hits you in the eye 
 Deny, you're such a liar 
 You're selling your no-no all the time 
 Do you think I'm a raving idiot, just got off the boat? 
 Step in line, sign this form 
 Baby ain't got a hope 
 You ain't got a hope 
 What a liar, what a liar 
 Deny, you're such a liar 
 What a liar, what a liar 
 Deny, Lies, lies, lies, lies, lies, lies, lies, lies 
 Wotta liar, Wotta liar 
 Let's here it for true love, 
 You know like in the 12P comic, 
 A jailbirds free, 
 With ice cream, 
 A boy meets girl, 
 Somebody gets run over, 
 Oh, everybody cry, 
 But I don't know why, 
 I'm a fool, I can't be cool I read one too many books, 
 I believe everything I read When it's written in the slush filled paper 
 Deny 
 You're such a lie 
 What a liar 
 What a liar"
7,The Clash,rock,London's Burning,"London's burning 
 London's burning 
 All across the town, all across the night 
 Everybody's driving with full headlights 
 Black or white turn it on, face the new religion 
 Everybody's sitting 'round watching television 
 London's burning with boredom now 
 London's burning, dial 99999 
 London's burning with boredom now 
 London's burning, dial 99999 
 I'm up and down the Westway, in and out the lights 
 What a great traffic system, it's so bright 
 I can't think of a better way to spend the night 
 Then speeding around underneath the yellow lights 
 London's burning with boredom now 
 London's burning, dial 99999 
 London's burning with boredom now 
 London's burning, dial 99999 
 Now I'm in the subway and I'm looking for the flat 
 This one leads to this block, this one leads to that 
 The wind howls through the empty blocks looking for a home 
 I run through the empty stone because I'm all alone 
 London's burning with boredom now 
 London's burning, dial 99999 
 London's burning with boredom now 
 London's burning, dial 99999 
 Here we go rocking down the West London motorway 
 And on your left you'll see the tower blocks 
 Built in 1963 
 With hard cash payments from the GLC 
 And over there you'll see Westbourne Park 
 You don't wanna go there 
 When it gets dark 
 London's burning!"
8,The Clash,rock,Career Opportunities,"They offered me the office, offered me the shop 
 They said I'd better take anything they got 
 Do you wanna make tea at the BBC? 
 Do you wanna be, do you really wanna be a cop? 
 Career opportunities, the ones that never knock 
 Every job they offer you is to keep you out the dock 
 Career opportunity, the ones that never knock 
 I hate the army and I hate the R.A.F. 
 I don't wanna go fighting in the tropical heat 
 I hate the civil service rules 
 I won't open letter bombs for you 
 Career opportunities, the ones that never knock 
 Every job they offer you is to keep you out the dock 
 Career opportunity, the ones that never knock 
 Bus driver, ambulance man 
 Ticket inspector, I don't understand 
 They're gonna have to introduce conscription 
 They're gonna have to take away my prescription 
 If they wanna get me making toys 
 If they wanna get me, well, I got no choice 
 Career opportunities, the ones that never knock 
 Every job they offer you is to keep you out the dock 
 Career opportunity, the ones that never knock 
 Career, career, career 
 And I'm never gonna knock"
9,The Clash,rock,Cheat,"I get violent when I'm fucked up 
 I get silent when I'm drugged up 
 Want excitement 
 Don't get none, I go wild 
 I don't know what can be done about 
 If you play the game and you get nothing out of it 
 Find out for yourself 
 Try being a goody-goody 
 You better cheat cheat, no reason to play fair 
 Cheat cheat, or don't get anywhere 
 Cheat cheat, if you can't win 
 Nobody knows what they are doing 
 Beyond your control, finding life's a ruin 
 If you want to survive, you better learn how to lie 
 You better cheat cheat, no reason to play fair 
 Cheat cheat, or don't get anywhere 
 Cheat cheat, if you can't win 
 Don't use the rules 
 They're not for you, they're for the fools 
 And you're a fool if you don't know that 
 So use the rules, you stupid fools"
10,The Clash,rock,Protex Blue,"Standing in the bog of a west end bar 
 Guy on the right leaning over too far 
 Money in my pocket, gonna put it in the slot 
 Open up the pack, see what type I got 
 I didn't want to hold you 
 I didn't want to use you 
 Protex, Protex blue 
 All I wanna do 
 It's a fab protective for that type of a girl 
 But everybody knows that she uses it well 
 It's the therapeutic structure I can use at will 
 But I don't think it'll fit my B.D. drill 
 I didn't want to hold you 
 I didn't want to use you 
 Protex, Protex blue 
 All I wanna do 
 Sitting in a carriage of a Bakerloo 
 Erotica my pocket, got a packet for you 
 Advert on the escalator on my way home 
 I don't need no skin flicks, I wanna be alone 
 I didn't want to hold you 
 I didn't want to use you 
 Protex, protex blue 
 All I wanna do 
 Johnny, Johnny"
11,The Clash,rock,Police And Thieves,"Police and thieves in the streets 
 Scaring the nation with their guns and ammunition 
 Police and thieves in the street 
 Fighting the nation with their guns and ammunition 
 From Genesis to Revelation 
 The next generation will be, hear me 
 From Genesis to Revelation 
 The next generation will be, hear me 
 And all the crowd comes in day by day 
 No one stops it in any way 
 And all the peacemaker turn war officer 
 Hear what I say 
 Police and thieves in the streets 
 Scaring the nation with their guns and ammunition 
 Police and thieves in the street 
 Fighting the nation with their guns and ammunition 
 From Genesis to Revelation 
 The next generation will be, hear me 
 From Genesis to Revelation 
 The next generation will be, hear me 
 And all the crowd comes in day by day 
 No one stops it in any way 
 And all the peacemaker turn war officer 
 Hear what I say 
 Police, police, police and thieves 
 Police, police, police and thieves 
 From Genesis 
 Police, police, police, police and thieves 
 Scaring, fighting the nation 
 Shooting, shooting their guns, guns and ammunition 
 Police, police, police and thieves 
 Here come, here come, here come, the station is bombed 
 Get out get out get out, you people 
 If you don't wanna get blown up 
 The police, the police, the thieves, the thieves 
 You got an axe to grind 
 And you are trapped in the middle of police, police, police..."
12,The Clash,rock,48 Hours,"Friday or Saturday, what does that mean? 
 Short space of time needs a heavy scene 
 Monday is coming like a jail on wheels 
 48 hours needs 48 
 48 hours needs 48 
 48 hours needs 48 thrills 
 So tell me and I'll take the tube 
 You know a girl, yeah well she's bound to be rude 
 Cannot get nothing at the places I've been 
 48 hours needs 48 
 48 hours needs 48 
 48 hours needs 48 thrills 
 I've combed this town from top to bottom 
 Try to get around but my legs are broken 
 Every time I miss it, 'cause I ain't got a ticket 
 48 hours needs 48 
 48 hours needs 48 
 48 hours needs 48 thrills 
 The 48 thrills, cheap thrills 
 Kicking for kicks 
 48 hours needs 48 
 48 hours needs 48 
 48 hours needs 48 thrills 
 Thrills"
