,0,1,2,3
0,The Smashing Pumpkins,rock,I Am One,"I am one as you are three 
 Try to find a messiah in your trinity 
 Your city to burn, your city to burn 
 Try to look for something in your city to burn, you'll burn 
 Am I as I seem? 
 I'm down, down, so down 
 Time is right for a guiding light 
 Try to turn to reasons in your bitter life 
 Your city to burn, your city to burn 
 Try to look for something in your city to burn, you'll burn 
 See you, don't you just want to? 
 See you, I am one 
 See you, don't you just want to? 
 See you 
 See you, don't you just want to? 
 See you, I am one 
 See you, don't you just want to? 
 See you, I am one"
1,The Smashing Pumpkins,rock,Siva,"I spin off and lose my head, 
 Throwing stray a spark instead. 
 Gather strength down in my heel, 
 And dig it in the world I peel. 
 Way down deep within my heart, 
 Lies a soul that's torn apart. 
 Tell me, tell me what you're after, 
 I just want to get there faster. 
 I don't live, I inhale. 
 I don't give, I unveil. 
 Don't want to live in your misery, 
 I don't live, I inhale. 
 Sprinkle all my kisses on your head, 
 Stars full of wishes fill our beds. 
 She said, ""I'm dead."" 
 All this pain smothers me, 
 Like a bomb that you can't see. 
 Tell me, tell me what you're after, 
 I just want to get there faster. 
 Yeah! 
 I don't live, I inhale. 
 I don't give, I unveil. 
 I don't live, I inhale. 
 I don't live..."
2,The Smashing Pumpkins,rock,Rhinoceros,"Planned a show 
 Trees and balloons 
 Ice cream snow 
 See you in June 
 Could have known 
 I would reveal 
 Should have known 
 I would conceal your way 
 She knows 
 And she knows, she knows, she knows 
 And she knows, she knows, she knows 
 How's it she knows, she knows, she knows? 
 And she knows, she knows 
 Colors show 
 After the Moon 
 I should go 
 See you in June your way 
 Open your eyes 
 To these must I lie? 
 Open your eyes 
 To these must I lie?"
3,The Smashing Pumpkins,rock,Bury Me,"(Boys, let's do it) 
 Bury me in love 
 Bury me in love 
 Shared your kisses, take your heart 
 Buried me and it hurts 
 I love my sister so 
 She don't smother me 
 I played the spades I know 
 I'm a Jack of all trades 
 Would you bury me? 
 Once you see her 
 One inside (hide, hide) 
 Some things you just can't hide 
 If you see her 
 Tell me why (hide, hide) 
 Why won't she come outside? 
 If you see her 
 Tell me why (hide, hide) 
 Why won't she come outside? 
 Once you see her 
 One inside (hide, hide) 
 Some things you just can't hide 
 She will bury me 
 She will bury me"
4,The Smashing Pumpkins,rock,Crush,"You wrap your arms around 
 A feeling that surrounds 
 Like liquid peppermint 
 Just taste the drinks that she served 
 And this feeling shivers down your spine 
 Love comes in colors I can't deny 
 All that matters is love, love 
 Your love 
 You're sleeping in your bed 
 Just rest your weary head 
 Maybe you shouldn't care 
 Throw away those dreams and dare 
 And I wonder if this matters to me 
 Love comes in colors I can't deny 
 All that shivers is love, love 
 Your love 
 Your love 
 Your love"
5,The Smashing Pumpkins,rock,Suffer,"All that you suffer is all that you are 
 All that you smother is all that you are 
 And you're saying you're seeing, you're saying who you are 
 What takes meaning is cleaning the meaning of who you are 
 All may say 
 I will dream 
 All may say 
 All of your struggles beneath your disguise 
 Drink from the reasons that hold you alive 
 'Til we're safe from the wounds of desire and pain 
 You must rise from the mounds of desire and change 
 Too late to discover peace of mind 
 Too late to recover me 
 All you see and all you breathe and all you cease to be 
 Taken down your only son and what he means to me 
 Your dream will be 
 To dream with me 
 Will you wait? Yes I will, I will wait for you 
 To cleanse your life takes more than time 
 Take what you want 
 Take all of it 
 Too late to discover peace of mind (have no peace of mind) 
 To late to recover"
6,The Smashing Pumpkins,rock,Snail,"All your seven dreams 
 Look closer than you believe 
 As your things come undone 
 See you are the only one 
 Flower, seize the hour I did 
 I wait 
 Waiting, waiting for your wake 
 I'll wait 
 When you wake up you're all weak 
 Throwing your life away 
 Some day, sorry coming home 
 Sorry snail 
 What you wait for 
 Flower, the pain will wash away, away 
 When the sunshine 
 Climbs through your window into your bed 
 When you wake up you're all weak 
 Throwing your life away 
 Some day, sorry coming home 
 Sorry snail 
 Down in my heart 
 Flower, save the hours 
 Flower, away 
 What you wait for 
 Flower, chase the sunshine 
 Flower, chase the sunshine 
 Flower"
7,The Smashing Pumpkins,rock,Tristessa,"Pledged your faith, my heart embraced 
 Struggle to renew 
 Blurry mind so hypnotized 
 Fast enough who 
 Wonder 
 Where you are 
 Tristessa 
 Soul takes soul as I take eye 
 I will wait for you 
 What you believe, you'll wish to receive 
 I won't believe in you, to you 
 Hang on 
 To your life 
 Tristessa 
 I love you true 
 Surely I do 
 I love you true 
 Surely I do 
 Surely I do 
 Surely I do (no) 
 Do you ever wake up and find yourself alone? 
 Do you ever wake up far from home? 
 What you believe, you'll wish to receive 
 I won't believe in you 
 Tristessa 
 Tristessa 
 Tristessa"
8,The Smashing Pumpkins,rock,Window Paine,"Window paine 
 Around my heart 
 Shadows streak 
 Around my heart 
 Do what you got to do 
 And say what you got to say 
 Do what you got to do 
 Yes, start today 
 Start today 
 Wind blow shame 
 Around my heart 
 Shadows scream 
 Around my heart 
 What are you coming to 
 Stripped down to the bone? 
 Laughing, living on your own 
 All alone 
 Do what you got to do 
 And say what you got to say 
 Do what you got to do 
 Yes, start today 
 Start today"
9,The Smashing Pumpkins,rock,Daydream,"My daydream seems as one inside of you 
 Though it seems hard to reach through this life 
 Your blue and hopeless life 
 My daydream screams bitter 'til the end 
 The love I share true selfish to the heart 
 My heart, my sacred heart 
 My daydream dream 
 My daydream 
 My daydream dream 
 My daydream"
10,The Smashing Pumpkins,rock,I'm Going Crazy,"I'm going crazy 
 I'm going crazy 
 I don't want feelings 
 Your feelings 
 I have gone crazy 
 Motherfucking crazy 
 I have gone..."
11,The Smashing Pumpkins,rock,Blue,"Hey Blue, all your love is strange 
 Come out, with all those crazy names 
 So true 
 When you lie 
 For you, Blue 
 Right or wrong 
 I belong 
 Right or wrong 
 Hey Blue, where'd you run to now 
 Hey Blue, miss you since they found you out 
 I've been waiting such a long time 
 For your smile 
 For you, Blue 
 I lay with you, this velvet morning 
 Stay with me, for a while 
 Where we run to, is up to you 
 Just stay with me, for a while"
12,The Smashing Pumpkins,rock,Slunk,"Ride on, motherfucker 
 Sister above 
 Lead on my lover 
 Daddy's not comin' home 
 So long my mother 
 So long ago 
 She loves me like a lover 
 Every house is now your home 
 Even though you lied to me 
 We love you 
 Right on, motherfucker 
 Sister above 
 Yeah, my lover 
 Every house is now your home"
13,The Smashing Pumpkins,rock,Bye June,"Bye June 
 I'm going to the moon 
 It better be by June 
 'Cause I'm going to the moon 
 So June 
 You'd better make it soon 
 I hope you make it June 
 'Cause I'm going to the moon 
 Bye June 
 Bye June 
 I'm going to the moon 
 I hope you make it soon 
 'Cause I'm waiting on this moon 
 Bye June 
 I hope you make it too 
 I'm wishing you're there too 
 I hope you make it June 
 Bye bye June 
 Hope you make it to the moon"
14,The Smashing Pumpkins,rock,Girl Named Sandoz,"Well I met a girl called Sandoz 
 And she taught me many many things 
 Good things, very good things 
 Sweet things 
 I met her on a Sunday morning 
 It was hot though the snow lay on the ground 
 Strange things, very strange things 
 My mind has wings 
 Sandoz Sandoz 
 Will you tell me ""No?"" 
 Sandoz Sandoz 
 Will you tell me why? 
 We could all learn something from your mind 
 She's very old yet many think she's young 
 One kiss from her and you know your time has come 
 Good times for all time Sandoz"
15,The Smashing Pumpkins,rock,Smiley,"Smiley, where have you been? 
 Smiley, it's such a sin to say 
 You're gonna dream your life away 
 Knew a man who couldn't make it 
 On a bended knee 
 All his friends were simple prophets 
 Only if you bleed 
 And he'll bleed 
 On his knees 
 Smiley, where have you been? 
 Smiley, it's such a sin to say 
 You're gonna dream your life away 
 Your love won't change 
 Come back to stay 
 Smiley, smiley, smiley, smiley 
 Smiley, smiley, smiley, smiley 
 And you 
 If I'm smilin' 
 Then I'm tryin' 
 'Cause I'm smilin'"
16,The Smashing Pumpkins,rock,Cherub Rock,"Freak out, give in 
 Doesn't matter what you believe in 
 Stay cool 
 And be somebody's fool this year 
 'Cause they know 
 Who is righteous, what is bold 
 So I'm told 
 Who wants honey? 
 As long as there is some money 
 Who wants that honey? 
 Ah, ah 
 Hipsters unite 
 Come align for the big fight to rock for you 
 Beware 
 All those angels with their wings glued on 
 'Cause deep down 
 They are frightened and they're scared 
 If you don't stare 
 Who wants honey? 
 As long as there is some money 
 Who wants that honey? 
 Let me out 
 Let, let me out 
 Let, let me out 
 Let, let me out 
 Tell me all of your secrets 
 Cannot help but believe this is true 
 Tell me all of your secrets 
 I know, I know, I know, should have listened when I was told 
 Who wants that honey? 
 As long as there is some money 
 Who wants that honey? 
 Let me out 
 Let, let me out 
 Let, let me out 
 Let, let me out"
