,0,1,2,3
0,The Smiths,rock,Reel Around The Fountain,"It's time the tale were told 
 Of how you took a child 
 And you made him old 
 It's time the tale were told 
 Of how you took a child 
 And you made him old 
 You made him old 
 Reel around the fountain 
 Slap me on the patio 
 I'll take it now 
 Oh... 
 Fifteen minutes with you 
 Well, I wouldn't say no 
 Oh, people said that you were virtually dead 
 And they were so wrong 
 Fifteen minutes with you 
 Oh, well, I wouldn't say no 
 Oh, people said that you were easily led 
 And they were half-right 
 Oh 
 Oh, they were half-right, oh 
 It's time the tale were told 
 Of how you took a child 
 And you made him old 
 It's time that the tale were told 
 Of how you took a child 
 And you made him old 
 You made him old 
 Oh, reel around the fountain 
 Slap me on the patio 
 I'll take it now 
 Ah oh... 
 Fifteen minutes with you 
 Oh, I wouldn't say no 
 Oh, people see no worth in you 
 Oh, but I do 
 Fifteen minutes with you 
 Oh, I wouldn't say no 
 Oh, people see no worth in you 
 I do 
 Oh, I... 
 Oh, I do 
 Oh... 
 I dreamt about you last night 
 And I fell out of bed twice 
 You can pin and mount me like a butterfly 
 But ""take me to the haven of your bed"" 
 Was something that you never said 
 Two lumps, please 
 You're the bee's knees 
 But so am I 
 Oh, meet me at the fountain 
 Shove me on the patio 
 I'll take it slowly 
 Oh... 
 Fifteen minutes with you 
 Oh, I wouldn't say no 
 Oh, people see no worth in you 
 Oh, but I do 
 Fifteen minutes with you 
 Oh, no, I wouldn't say no 
 Oh, people see no worth in you 
 I do 
 Oh, I... 
 I do 
 Oh, I do 
 Oh, I do 
 Oh, I do"
1,The Smiths,rock,You've Got Everything Now,"As merry as the days were long 
 I was right and you were wrong 
 Back at the old grey school 
 I would win and you would lose 
 But you've got everything now 
 You've got everything now 
 And what a terrible mess I've made of my life 
 Oh what a mess I've made of my life 
 No, I've never had a job 
 Because I've never wanted one 
 I've seen you smile 
 But I never really heard you laugh 
 So who is rich and who is poor 
 I cannot say 
 You are your mother's only son 
 And you're a desperate one 
 But I don't want a lover 
 I just want to be seen 
 In the back of your car 
 A friendship sadly lost 
 Well, this is true and yet it's false 
 But did I ever tell you, by the way 
 I never did like your face 
 But you've got everything now 
 You've got everything now 
 And what a terrible mess I've made of my life 
 Oh what a mess I've made of my life 
 No, I've never had a job 
 Because I'm too shy 
 I've seen you smile 
 But I never really heard you laugh 
 So who is rich and who is poor 
 I cannot say 
 You are your mother's only son 
 And you're a desperate one 
 But I don't want a lover 
 I just want to be tied 
 To the back of your car 
 To the back of your car 
 To the back of your car 
 To the back of your car 
 To the back of your car 
 To the back of your car"
2,The Smiths,rock,Miserable Lie,"So, goodbye 
 Please stay with your own kind 
 And I'll stay with mine 
 There's something against us 
 It's not time 
 It's not time 
 So, goodbye, goodbye, goodbye, goodbye 
 I know I need hardly say 
 How much I love your casual way 
 Oh, but please put your tongue away 
 A little higher and we're well away 
 The dark nights are drawing in 
 And your humor is as black as them 
 I look at yours, you laugh at mine 
 And ""love"" is just a miserable lie 
 You have destroyed my flower-like life 
 Not once - twice 
 You have corrupt my innocent mind 
 Not once - twice 
 I know the wind-swept mystical air 
 It means: I'd like to see your underwear 
 I recognize that mystical air 
 It means: I'd like to seize your underwear 
 What do we get for our trouble and pain? 
 Just a rented room in Whalley Range 
 What do we get for our trouble and pain? 
 ...Whalley Range! 
 Into the depths of the criminal world 
 I followed her... 
 I need advice, I need advice 
 I need advice, I need advice 
 Nobody ever looks at me twice 
 Nobody ever looks at me twice 
 I'm just a country-mile behind 
 The world 
 I'm just a country-mile behind 
 The whole world 
 Oh oh, oh... 
 I'm just a country-mile behind 
 The world 
 I'm just a country-mile behind 
 The whole world 
 Oh oh, oh... 
 Take me when you go 
 Oh oh, oh... 
 Take me when you go 
 Oh oh, oh... 
 I need advice, I need advice"
3,The Smiths,rock,Pretty Girls Make Graves,"Upon the sand, upon the bay 
 There is a quick and easy way, you say 
 Before you illustrate 
 I'd rather state 
 I'm not the man you think I am 
 I'm not the man you think I am 
 And Sorrow's native son 
 He will not smile for anyone 
 And pretty girls make graves 
 End of the pier, end of the bay 
 You tug my arm and say: ""Give in to lust 
 Give up to lust... 
 Oh heaven knows we'll soon be dust.."" 
 I'm not the man you think I am 
 I'm not the man you think I am 
 And Sorrow's native son 
 He will not rise for anyone 
 And pretty girls make graves 
 I could have been wild and I could have been free 
 But Nature played this trick on me 
 She wants it now 
 And she will not wait 
 But she's too rough 
 And I'm too delicate 
 Then on the sand 
 Another man, he takes her hand 
 A smile lights up her stupid face 
 (And well, it would..) 
 I lost my faith in womanhood 
 I lost my faith in womanhood 
 I lost my faith..."
4,The Smiths,rock,The Hand That Rocks The Cradle,"Please don't cry 
 For the ghost and the storm outside 
 Will not invade this sacred shrine 
 Nor infiltrate your mind 
 My life down I shall lie 
 If the bogey-man should try 
 To play tricks on your sacred mind 
 To tease, torment and tantalise 
 Wavering shadows loom 
 A piano plays in an empty room 
 There'll be blood on the cleaver tonight 
 And when darkness lifts and the room is bright 
 I'll still be by your side 
 For you are all that matters 
 And I'll love you till the day I die 
 There never need be longing in your eyes 
 As long as the hand that rocks the cradle is mine 
 Ceiling shadows shimmy by 
 And when the wardrobe towers like a beast of prey 
 There's sadness in your beautiful eyes 
 Your untouched, unsoiled, wonderous eyes 
 My life down I shall lie 
 Should restless spirits try 
 To play tricks on your sacred mind 
 I once had a child and it saved my life 
 And I never even asked his name 
 I just looked into his wondrous eyes 
 And said: ""Never never never again"" 
 And all too soon I did return 
 Just like a moth to a flame 
 So rattle my bones all over the stones 
 I'm only a beggar-man whom nobody owns 
 Oh see how words as old as sin 
 Fit me like a glove 
 I'm here and here I'll stay 
 Together we lie, together we pray 
 There never need be longing in your eyes 
 As long as the hand that rocks the cradle is mine 
 As long as the hand that rocks the cradle is mine 
 Climb up on my knee, sonny boy 
 Although you're only three, sonny boy 
 You're - you're mine 
 And your mother she just never knew 
 Oh, your mother ... 
 As long ... as long ... as long 
 I did my best for her 
 I did my best for her 
 As long ... as long ... as long as 
 I did my best for her 
 I did my best for her"
5,The Smiths,rock,Still Ill,"I decree today that life 
 Is simply taking and not giving 
 England is mine, it owes me a living 
 But ask me why and I'll spit in your eye 
 Oh ask me why and I'll spit in your eye 
 But we cannot cling to the old dreams anymore 
 No, we cannot cling to those dreams 
 Does the body rule the mind 
 Or does the mind rule the body? 
 I don't know... 
 Under the iron bridge we kissed 
 And although I ended up with sore lips 
 It just wasn't like the old days anymore 
 No, it wasn't like those days 
 Am I still ill? 
 Oh am I still ill? 
 Does the body rule the mind 
 Or does the mind rule the body? 
 I don't know... 
 Ask me why and I'll die 
 Oh ask me why and I'll die 
 And if you must go to work tomorrow 
 Well, if I were you I wouldn't bother 
 For there are brighter sides to life 
 And I should know because I've seen them 
 But not very often 
 Under the iron bridge we kissed 
 And although I ended up with sore lips 
 It just wasn't like the old days anymore 
 No, it wasn't like those days 
 Am I still ill? 
 Oh am I still ill?"
6,The Smiths,rock,Hand In Glove,"Hand in glove 
 The sun shines out of our behinds 
 No, it's not like any other love 
 This one is different because it's us 
 Hand in glove 
 We can go wherever we please 
 And everything depends upon 
 How near you stand to me 
 And if the people stare 
 Then the people stare 
 Oh I really don't know and I really don't care 
 It's not a shame, no... 
 Hand in glove 
 The Good People laugh 
 Yes, we may be hidden by rags 
 But we've something they'll never have 
 Hand in glove 
 The sun shines out of our behinds 
 Yes, we may be hidden by rags 
 But we've something they'll never have 
 And if the people stare 
 Then the people stare 
 Oh I really don't know and I really don't care 
 It's not a shame, no... 
 So hand in glove, I stake my claim 
 I'll fight to the last breath 
 If they dare touch a hair on your head 
 I'll fight to the last breath 
 For the Good Life is out there somewhere 
 So stay on my arms, you little charmer 
 But I know my luck too well 
 Yes I know my luck too well 
 And I'll probably never see you again 
 I'll probably never see you again 
 I'll probably never see you again"
7,The Smiths,rock,What Difference Does It Make?,"All men have secrets and here is mine 
 So let it be known 
 For we have been through hell and high tide 
 I think I can rely on you 
 And yet you start to recoil 
 Heavy words are so lightly thrown 
 But still I'd leap in front of a flying bullet for you 
 So, what difference does it make? 
 So, what difference does it make? 
 It makes none, but now you have gone 
 And you must be looking very old tonight 
 The devil will find work for idle hands to do 
 I stole and I lied, and why? 
 Because you asked me to 
 But now you make me feel so ashamed 
 Because I've only got two hands 
 Well, I'm still fond of you, uh-ho-ho 
 So, what difference does it make? 
 Oh, what difference does it make? 
 Oh, it makes none, but now you have gone 
 And your prejudice won't keep you warm tonight 
 Oh, the devil will find work for idle hands to do 
 I stole, and then I lied 
 Just because you asked me to 
 But now you know the truth about me 
 You won't see me anymore 
 Well, I'm still fond of you, uh-ho-ho 
 But no more apologies 
 No more apologies 
 Oh, I'm too tired 
 I'm so sick and tired 
 And I'm feeling very sick and ill today 
 But I'm still fond of you, uh-ho-ho 
 Oh, my sacred one 
 Oh..."
8,The Smiths,rock,I Don't Owe You Anything,"Bought on stolen wine 
 A nod was the first step 
 You knew very well 
 What was coming next 
 Did I really walk all this way 
 Just to hear you say 
 ""Oh I don't want to go out tonight"" 
 ""Oh I don't want to go out tonight"" 
 Oh but you will 
 For you must 
 I don't owe you anything 
 But you owe me something 
 Repay me now 
 You should never go to them 
 Let them come to you 
 Just like I do 
 Just like I do 
 But did I really walk all this way 
 Just to hear you say 
 ""Oh I don't want to go out tonight"" 
 ""Oh I don't want to go out tonight"" 
 But you will 
 For you must 
 I don't owe you anything 
 But you owe me something 
 Repay me now 
 Too freely on your lips 
 Words prematurely sad 
 Oh but I know what will make you smile tonight 
 Life is never kind 
 Life is never kind 
 Oh but I know what will make you smile tonight"
9,The Smiths,rock,Suffer Little Children,"Over the moor, take me to the moor 
 Dig a shallow grave and I'll lay me down 
 Over the moor, take me to the moor 
 Dig a shallow grave and I'll lay me down 
 Lesley-Anne with your pretty white beads 
 Oh John you'll never be a man 
 And you'll never see your home again 
 Oh Manchester, so much to answer for 
 Edward, see those alluring lights? 
 Tonight will be your very last night 
 A woman said, ""I know my son is dead 
 I'll never rest my hands on his sacred head"" 
 Hindley wakes and Hindley says 
 Hindley wakes, Hindley wakes 
 Hindley wakes and says 
 ""Wherever he has gone I have gone"" 
 But fresh lilaced moorland fields 
 Cannot hide the stolid stench of death 
 Fresh lilaced moorland fields 
 Cannot hide the stolid stench of death 
 Hindley wakes and Hindley says 
 Hindley wakes, Hindley wakes 
 Hindley wakes and says 
 ""Oh whatever he has done I have done"" 
 But this is no easy ride 
 For a child cries 
 Oh find me, find me, nothing more 
 We are on a sullen misty moor 
 We may be dead and we may be gone 
 But we will be, we will be 
 We will be right by your side 
 Until the day you die, this is no easy ride 
 We will haunt you when you laugh 
 Yes, you could say we're a team 
 You might sleep, you might sleep 
 You might sleep, but 
 You will never dream 
 You might sleep but you will never dream 
 You might sleep but you will never dream 
 Oh Manchester, so much to answer for 
 Oh Manchester, so much to answer for 
 Find me, find me 
 Find me, I'll haunt you when you laugh 
 I'll haunt you when you laugh 
 You might sleep but you will never dream 
 Over the moors, I'm on the moor 
 Over the moor 
 The child is on the moor"
