,0,1,2,3
0,Vital Remains,metal,Human Sacrifice,"Taken to death from sacrifice 
 Carving out your eyes they bleed 
 Vital parts is what thy crave 
 Cease of life a human sacrifice 
 Lying wastefully in the blood 
 Organs pulled out from inside 
 The remaining butchered torsos lie 
 Encircling the pentagram 
 Cauldrans burning human flesh 
 Participants enter the circle 
 In search of Satan's plague 
 Indulging in sex festering on flesh 
 A human sacrifice 
 Summoned up from the burning abyss 
 Lucifer laughs in demise 
 Your soul it fries in the pit of Hell 
 Martyr of the master Satan 
 Wicked spirits enchant the air 
 Robbing souls creating fear 
 Carcasses lying all over the ground 
 Dismembered cavities spilling chyme 
 Internal bleeding mixing with slime 
 Encrusted mangled flesh slowly rots"
1,Vital Remains,metal,Ressurrected,"Doomed to an after life of pain 
 Seeing your life start to drain 
 Can not deny the reasons that you are here 
 Now your horrid death is clear 
 Enclosed in a casket-Reeking stench of death 
 Entombed by darkness-Your body is slowly decaying 
 By the powers of Satan-Summoned up to take away 
 Your rotting soul lives-Resurrected 
 Deceased for a short period of time 
 Laying fertile discharging slime 
 Body entombed apparition's curse 
 Now your soul has dispersed 
 I bestow upon you, you must 
 Grant me my wish, I can not 
 Linger on much longer, you must 
 Resurrect me... For the after life of pain 
 Among the dead I bleed every ounce of blood 
 Wanting resurrection and all evil damnation 
 Relieving from my carcass is a dismal soul 
 The unholy quest begins for immortality 
 Resurrected from my grave 
 From my body, my soul's escaped 
 Infernal void of putrid hate 
 Upon the exhumed I defecate 
 Resurrected from my grave 
 From my body my soul's escaped 
 Granted the first power of immortality 
 Reborn through the dismal fog"
2,Vital Remains,metal,Fallen Angels,"Fallen angels souls of hate 
 Fallen angels creating sin 
 Fallen angels unholy fate 
 Fallen angels descend 
 Fallen angels impregnate 
 Fallen angels Christian faith 
 Fallen angels penetrate 
 Fallen angels Hell's 7 gates 
 Fallen angels casted out from Heaven 
 Blackened souls blasphemy of the holy 
 Gates to Hell opened covered in Satan's blood 
 Darkened and cold kingdom of hate 
 Spreading disease reeking plague 
 Abundance of crosses inverted in blood 
 Rancid carcass harvesting fate 
 Temple of God inferno rage 
 Fallen angels squaff the guru's blood 
 Fallen angels souls of hate 
 Fallen angels creating sin 
 Fallen angels unholy fate 
 Fallen angels descend 
 Fallen angels impregnate 
 Fallen angels Christian faith 
 Fallen angels penetrate 
 Fallen angels Hell's 7 gates 
 Bestial rites... Malevolence life 
 God is massacred... Crucified 
 The dead exhumed lore of Satan 
 Hail the master Baphomet 
 Cremetorium burns the souls 
 Fallen angels take your lives 
 Subhumanity morbid reality 
 Infernal forces demonic perversity 
 Gross contortions decaying proportions 
 Fallen angels thrive on Jesus blood 
 Bestial rites... Malevolence life 
 God is massacred... Crucified"
3,Vital Remains,metal,Excruciating Pain,"Feel the torment of brutal bestial torture 
 Drinking the blood of self inflicted wounds 
 Dislocating limbs for the flawless rush of pain 
 Horrified screams to some it's only dreams 
 Excruciating pain upheaval of vomit 
 Excruciating pain 
 Excruciating pain disemboweling stomach 
 Excruciating pain 
 Your eyeballs removed ultimate fucking pain 
 Impaled upon iron hooks sunken sockets bleed 
 Choking on your mangled tongue 
 You can hardly breathe 
 Reaching deep inside your throat cutting it free 
 Excruciating pain upheaval of vomit 
 Excruciating pain 
 Excruciating pain disemboweling stomach 
 Excruciating pain 
 Coming so close to your obliteration 
 Coughing up blood on your chest 
 Violently heaving for a last breath 
 Mutilating yourself to death 
 Carving up your flesh 
 Watching open wounds bleed 
 Carving up your flesh 
 Another blackened gash bleeds 
 Carnage through butchery 
 The loss of all feeling 
 Carnage through butchery 
 No remorse no feeling 
 Feel your heartbeat coming to a close 
 Ripping your flesh down through your chest 
 Rabidly stabbing through your heart 
 Mutilating yourself to death"
4,Vital Remains,metal,Nocturnal Blasphemy,"Blasphemy 
 Awakened by nocturnal cries 
 Summoned to rise when the full moon rise 
 Sancrosanctious blood inhumanity dies 
 Nocturnal blasphemy 
 Breaking through the Vatican's walls 
 Premature souls back from the dead 
 Paying their visit blasphemous calls 
 Placed upon the altar gifts of rotting flesh 
 Nocturnal Blasphemy 
 Creating pandemonium within the chapel 
 Molesting the crucifix demon's lurk 
 Pissing out bloody urine poisoning water 
 Sacrilegious baptism to the devil a daughter 
 Scriptures torn/Bibles burned/Altars upturned 
 Chalice smashed/Bloodsoaked robes 
 Darkened hatred/Evil sins/Tortured souls 
 Darkness lifts evil spirits 
 Nocturnal blasphemy"
5,Vital Remains,metal,Immortal Crusade,"I am the bornless one, showing you my face 
 Look at me eye to eye, come into my hand of evil 
 Behold, you're in the presence of Satan; king of Hell 
 And if you are weak now you will die! 
 Summon the demons-Straight forth from Hell 
 Conjuring devils-With forbidden spells 
 Capturing your soul-Controlling your mind 
 Pray to your God-He will never be 
 Behold the doctrine of slaves 
 Crown of the temples, brightness of Heaven 
 Your fabled book of lies, we must burn these bounded pages 
 Impale the opus of shit, now venture into the black 
 And open the gates to Hell, cast up Lucifer and his unholy blessing 
 Now swear the oath of Satan! 
 Harlots singing praises among the flames from the South 
 Riding the mighty whirlwinds from the East 
 The mighty throne growls thunder from the North 
 Lanterns of sorrow from the West... Ave Satanas 
 Wings of thorns, seal of false honour 
 Wrath of sin, die lord of righteousness 
 Defeat the priests of lies within the pentagram of fire 
 Accept the words of Hell the seven trumpets of desire 
 Battle cry, destructon, mission of hatred 
 Savage souls of Satan pound one thousand years 
 Born of the moonlight a worldwide crusade 
 Battle cry, destruction, mission of hatred 
 Ave Satanas"
6,Vital Remains,metal,Under The Moon's Fog,"Under the moon, black winds blow 
 Onto the sands, warriors have died 
 To the most Northern forest mountain 
 Our victory is ours, under the moon's fog 
 Gods of death warriors of the desert 
 Fever witch spectre of fire 
 Commanded by Marduk magician of the gods 
 No coven shall be broken, hear my words 
 Step foot on our land, awakes the gods of war 
 Offering battle, under the moon's fog 
 Screaming into the winds... Victory! 
 Gods of thunder win... Victory! 
 Thrusting mighty swords... Victory! 
 Sacrifice of blood... Victory! 
 Conquering worlds between two worlds 
 Those armies of the Northern chill 
 Light the land of wisdom 
 I am one 
 Wielding my double headed axe 
 Under the moon's fog 
 Hail victory! 
 Gods of war reign!"
7,Vital Remains,metal,Crown Of The Black Hearts,"Welcome to the Northern regions... Black hearted emperor 
 Intensify the pagan night... Black hearted emperor 
 High upon the angel's mountain... Black hearted emperor 
 Overshadowed by the moon... The crown of the black hearts 
 Urine is poured over leaves 
 Purified in Gabriel's chalice 
 Gazed into the eyes of the king 
 See the Heavens sky in malice 
 Awakening strength of one million warriors 
 Raising their swords to overthrow the pure 
 Destruction of your hero's kingdom, the walls begin to fall 
 The swords of pandemonium, a millennium of bloodshed 
 Condemned to the impure air, blood running black 
 Victory clouds form, can you smell the sulphur? 
 Recurrent waves of sorrow abolished by the sword 
 Mourning soon ceased not one stands alive 
 Death to the golden age hoards glorifying the moon 
 Destructive storms and evil winds 
 Evil spirits - evil demons - evil god - evil fiend! 
 This is our place! 
 This is our land! 
 Gods of the night take my hand!"
8,Vital Remains,metal,Scrolls Of A Millenium Past,"Arose from the second triangle burning my soul 
 Gehenna is the place for burning, takes me away 
 Order of the golden dawn summoning Beelzebub 
 Give your eternal loyalty demon of death and evil 
 God is dead and always has been 
 Be your god and devoutly worship yourself 
 To thee we confess... Shut up and hold your tongue 
 Justify your beliefs and forsee reality 
 I am the personification of cosmic force 
 And the creator of all living things 
 Even the gods bow at my feet 
 To lick the blood from my sword 
 Book of revelations I forsee the fallen angels rise 
 To destroy the ministers of god 
 Strong as a lion in the moon of the woods 
 Great beast come, gods withdraw obey your master! 
 Glory and praise to you Satan 
 In the heights of Heaven where you once reigned 
 In the depths of Hell where you dream in silence 
 Sound the trumpets into the crimson sky 
 I am awake! I am awake! I am awake! 
 Scrolls of a millennium past unfold 
 In the blackness of the moonlight 
 Condemn Christianity forever 
 Embrace the wisdom of Lucifer! 
 Burning churches to the ground 
 Unearthly desolation, all is black 
 Crackling flames wither away 
 Bones stand tombless, as their flesh 
 All remains covered by dust 
 Funeral piles, the war must go on 
 Hoofs of steel rape the ear 
 Everlasting over the hills 
 White light legions in mortal fear 
 Cast into the fire weakness absorbs the flames"
9,Vital Remains,metal,Into Cold Darkness,"Aaaaarrrrrggggghhhhh! 
 Sensual pleasures of non-resistant triumph 
 Spiritual tendencies deeply rooted in man's psyche 
 Ab-I-Hayat waters of immortality 
 A sanctuary to mortante your mind 
 AAARRRGGGHHH... Into cold darkness 
 Absu the watery abyss 
 Abode of the gods 
 Acheron one river of Hades 
 Descend into the kingdom of the dead 
 Entering the under world condemned to torture 
 Conceived as the darkest region of frost and wind 
 This land of the dead is ruled by the sword 
 Where souls of the wicked remain forever 
 AAARRRGGGHHH... Into cold darkness 
 Now hundreds of angels rebel against God 
 Winged and naked riding black wolves 
 Millenniums of destruction, darkness have 
 Passed 
 Annunaki demands destruction of God forever 
 The great return of universal reconciliation 
 Christianity crushed and destroyed 
 A renowned region of evil immortality 
 Uncover the sacred symbol of fertility 
 AAARRRGGGHHH... Into cold darkness"
