,0,1,2,3
0,Anthrax,metal,Deathrider,"Riding hard, high in the saddle 
 Winged steed of unwearing flight 
 Sweeping through air just like fire 
 Swift of the foot, great of might 
 Hear the screams 
 Feel the bite 
 We ride with death 
 Tonight 
 Here it comes 
 You better hide 
 Shoot the guns 
 You're gonna die 
 Conquering all, spreading terror 
 Hoofs gallop in thunderous pound 
 Devouring the souls of the wretched 
 Trampling them down to the ground 
 Gripping the reins of destruction 
 Made of steel on his hands 
 Holder of forces immortal 
 Slaughtering all in his path"
1,Anthrax,metal,Metal Thrashing Mad,"Racing down the road 
 In a street machine of steel 
 Gears are jammed in full 
 I'm the madman at the wheel 
 Got my foot pinned to the floor 
 You can feel the engine roar 
 I got thunder in my hands 
 I'm metal thrashing mad, yeah 
 Metal thrashing mad, yeah 
 Driving like a maniac 
 I can't go any faster 
 Burning up the road 
 And headed for disaster 
 Got my foot pinned to the floor 
 You can feel the engine roar 
 Got thunder in my hands 
 I'm metal thrashing mad"
2,Anthrax,metal,I'm Eighteen,"Lines form on my face and hands 
 Lines form from the ups and downs 
 I'm in the middle without any plans 
 I'm a boy and I'm a man 
 I'm eighteen and I don't know what I want 
 Eighteen, I just don't know what I want 
 Eighteen, I got to get away 
 I got to get out of this place 
 I'll go runnin' in outer space, woh yeah! 
 I've got a baby's brain and an old man's heart 
 Took eighteen years to get this far 
 Don't always know what I'm talking about 
 Feels like I'm living in the middle of doubt 
 'Cause I'm eighteen, I get confused ev'ry day 
 Eighteen, I just don't know what to say 
 Eighteen, I've got to get away 
 Lines form on my face and my hands 
 Lines form from the left and right 
 I'm in the middle, the middle of life 
 I'm a boy and I'm a man 
 I'm eighteen and I like it 
 Yes I like it 
 Woh, I like it, love it, like it, love it 
 Eighteen, eighteen, eighteen, eighteen, woh! 
 And I like it 
 I'm eighteen 
 And I like it 
 I'm eighteen 
 Yes, I like it 
 I'm eighteen 
 Woh, I like it 
 I'm eighteen 
 And I like it 
 I'm eighteen 
 Woh, I like it, love it, like it, love it, like it, love it, like it 
 I like it 
 I like it 
 I like it"
3,Anthrax,metal,Panic,"Move it to the front 
 Reaching for the light 
 Losing all control 
 Using all your might 
 Wheels are gonna spin 
 Asses gonna shake 
 We are gonna kick 
 Walls are gonna break 
 The road is hard 
 The fight is tough 
 Gonna play it fast 
 She likes it rough 
 With my strength 
 With all my soul 
 Makin' love 
 I'm losing control 
 Guts begin to churn 
 Minds are in haze 
 Hell is gonna burn 
 Axes in a blaze 
 Go in for the kill 
 Always on the run 
 Fighting for you life 
 The battles never won 
 Move it to the front 
 Reaching for the light 
 Losing all control 
 Using all your might 
 Wheels are gonna spin 
 Asses gonna shake 
 We are gonna kick 
 Walls are gonna break 
 Backs are turned 
 Rock and roll 
 To the wall 
 I'm losing my mind 
 Yeah! 
 Hey, hey!"
4,Anthrax,metal,Subjugator,"Out in the streets 
 We're fighting tonight 
 We're dirty and mean 
 So run for you lives 
 We stand side by side 
 With our fists in the air 
 We live for the night 
 On the razor's edge 
 Unleashing the sound 
 Lashing out, striking down 
 All those who stand in the way 
 Taking their lives 
 Crushing them just like flies 
 The cries of the wounded in pain 
 Fighting the fight as we race through the night 
 With power like never before 
 Hammering, bashing them, pounding and smashing them 
 Hard so we won't take a fall 
 Like a raging inferno 
 We'll torture and burn (you) 
 Up in a sea of flame 
 We'll beat you and whip you 
 Of honor, we'll strip you 
 Down on your knees and beg 
 We're fighting it out till the end 
 We're living our lives for the sins 
 Fighting the fight 
 As we race through the night 
 With power like never before 
 Hammering, bashing them 
 Pounding and smashing them 
 Hard so we won't take a fall"
5,Anthrax,metal,Soldiers Of Metal,"We are fighting for your lives 
 Ooh, we are the soldiers in the line of fire 
 Down in the trenches we wait for the night 
 The time is approaching 
 We're ready to strike 
 We'll stop at nothing 
 There's no holding back 
 Born to raise hell 
 We will attack 
 Pounding away 
 Tearing through flesh 
 Soldiers of metal 
 Fight to the death 
 Blasting the cannons 
 Shaking the ground 
 Hacking and killing 
 We're not fooling around 
 Warriors in battle 
 All dressed in black 
 A slash and a thrust 
 A stab in the back 
 The rages of fury 
 The cause of the fight 
 We're soldiers of metal 
 And we rule the night 
 Yeah"
6,Anthrax,metal,Death From Above,"Like the screaming eagle 
 I'm on the run 
 I blaze through the sky 
 I kill for the fun 
 No reason, no warning 
 Nor shadow be found 
 Got you in my sights 
 And I'll shoot you down 
 Jet fighter, jet fighter 
 Turbo jet engines ignite 
 Jet fighter, jet fighter 
 Death will be filling the sky 
 Jet fighter, jet fighter 
 An airborne assault and attack 
 Jet fighter, jet fighter 
 A cold blooded stab in the back 
 Vengeance is calling on you 
 And there's nothing that you can do 
 Brings you the thing you deserve 
 Death from above! 
 The chains of oppression 
 We'll break with our teeth 
 Before degradation 
 We'd die at your feet 
 So ruthless and vicious 
 To have no remorse 
 He who lives by the sword 
 Die by the sword 
 Jet fighter, jet fighter 
 Turbo jet engines ignite 
 Jet fighter, jet fighter 
 Death will be filling the sky 
 Jet fighter, jet fighter 
 An airborne assault and attack 
 Jet fighter, jet fighter 
 A cold blooded stab in the back 
 Vengeance is calling on you 
 And there's nothing that you can do 
 Brings you the thing you deserve 
 Death from above! 
 Jet fighter, jet fighter 
 Turbo jet engines ignite 
 Jet fighter, jet fighter 
 Death will be filling the sky 
 Jet fighter, jet fighter 
 An airborne assault and attack 
 Jet fighter, jet fighter 
 A cold blooded stab in the back 
 Vengeance is calling on you 
 And there's nothing that you can do 
 Brings you the thing you deserve 
 Death from above!"
7,Anthrax,metal,Anthrax,"Steel shattered in the night 
 Soldiers racing to the fight 
 Bombs waiting to explode 
 Fear is cast up on your soul 
 Wooh! 
 It's just around the corner 
 For those who dare to see 
 With eyes of fire 
 The burn right through me 
 Blood painted on the streets 
 Metal cutting into meat 
 You can see it in my eyes 
 Pain that never will subside 
 And you can feel the power 
 On evil it will feed 
 The force that surrounds me 
 It brings me to my knees 
 We better run for cover 
 There's no time to waste 
 'Cause if you turn your back now 
 It'll blow you away, yeah!"
8,Anthrax,metal,Howling Furies,"Abandon all hope for those who enter 
 Cause there ain't too much of that down here 
 A clouded mist in a darkened tunnel 
 And twisted screams are growing near 
 Now you're down here, you're gonna all stay 
 Cause the howling furies wanna come out and play 
 You're headed for doom, you'd better prepare 
 Cause in this part of the woods almost anything's fair, yeah 
 You lied and cheated in your miserable life 
 You met your end with a butcher knife 
 We laughed when you died, you sit in your grave 
 Just waiting to turn into Satan's slave"
9,Anthrax,metal,A.I.R.,"Young and free, something you'll never be 
 A childhood's end, it's lunacy 
 Pure dictation, they don't listen 
 And you're just waiting for what you're missing 
 Welcome to your nightmare 
 You just can't walk away 
 It's time for you, to choose, your fate 
 You just can't let it lay 
 Welcome to your nightmare 
 Your whole life's on the way, 
 Today 
 You're no good, misunderstood, A.I.R. 
 All their hopes and visions, of what they want you to be 
 Crucial times, made up minds, A.I.R. 
 So high and mighty, though much too blind to see 
 Who are you gonna live your life for? 
 Conformity will trap you like a locked door 
 Independence means owning your decisions 
 Authority will put your soul in prison 
 Fight, or go insane, there's no one else to blame 
 Stop, their influence, you can't give them a chance 
 Break, right through the wall, that separates us all 
 Start, your second life, without their hands in sight 
 You got your pride, you got your visions 
 Don't subside, don't ever give in 
 Don't compromise just keep on grinning 
 The games they play you just keep on winning 
 Keep on winning 
 Keep on winning 
 Keep on winning 
 A.I.R."
10,Anthrax,metal,Lone Justice,"There's two kinds, of people in this world 
 The outlaws, and the lawmen that prevail 
 The bounty hunter's job is on the wrong side of the law 
 Intentions, of the truth and nothing more 
 Burn 'em, clear the streets as he rides into the town, 
 Cause the nameless one's gonna have some fun 
 He's gonna bring an outlaw down 
 Wasted, it's over quick he's nailed 'em three for three 
 Then with his squint-eyed grin and stubbled chin, 
 He rides through history 
 The jury, in his mind the choices weigh 
 The trials, if you're guilty you're his prey 
 No judgment otherwise can change the lust 
 That's in his eyes 
 The sentence, will be carried out in stride 
 No name, like a shadow on a moonless night 
 Real game, he'll be there to uphold 
 Justice, law and order 
 And you'll pay, the highest fee 
 When the gunslinger takes his piece 
 The money, it's the price you have to pay 
 When he calls, drop your eyes and look away 
 The man has taken life to balance scales 
 Of wrong and right 
 Existence, each day a moral fight"
11,Anthrax,metal,Madhouse,"It's time for your medication, Mr. Brown 
 Oohoohahahahahahahahahaha 
 White coats to bind me, out of control 
 I live alone inside my mind 
 World of confusion, air filled with noise 
 Who says that my life's such a crime? 
 Trapped in this nightmare 
 I wish I'd wake 
 As my whole life begins to shake 
 Four walls surround me 
 An empty gaze 
 I can't find my way out of this maze 
 'Cause I don't care 
 Fall in, fall out 
 Gone without a doubt, help me 
 I can't take the blame 
 They don't feel the shame 
 It's a madhouse 
 Or so they claim 
 It's a madhouse 
 Oh, am I insane? 
 My fears behind me, what can I do 
 My dreams haunt my sleep at night 
 Oh no, won't learn their lesson, white fills my eyes 
 And only then, they see the light 
 Trapped in this nightmare 
 I wish I'd wake 
 As my whole life begins to shake 
 Four walls surround me 
 An empty gaze 
 I can't find my way out of this maze 
 'Cause I don't care 
 Fall in, fall out 
 Gone without a doubt, help me 
 I can't take the blame 
 They don't feel the shame 
 'Cause it's a madhouse 
 Or so they claim 
 It's a madhouse 
 I'm insane 
 Trapped in this nightmare 
 I wish I'd wake 
 As my whole life begins to shake 
 Four walls surround me 
 An empty gaze 
 I can't find my way out of this maze 
 'Cause I don't care 
 Fall in, fall out 
 Gone without a doubt, help me 
 I can't take the blame 
 They don't feel the shame 
 It's a madhouse 
 Or so they claim 
 It's a madhouse 
 I'm insane 
 Mad, madhouse 
 Mad, mad, mad, madhouse"
12,Anthrax,metal,S.S.C./Stand Or Fall,"Fighting for existence, looking for a way 
 The race is getting harder, won't last another day 
 Try to make it happen, always on the go 
 Can't escape the hours, time will never know 
 Right now my new life has begun 
 I have to stand tall I can't run 
 They're trying to to take it away 
 I'm fighting the battle I... 
 Stand or fall, leave it to no one 
 Stand or fall, fight for my right 
 Stand or fall, they'll never break me 
 Stand or fall, Stand or fall 
 Looking deep inside myself to change 
 My world around 
 Never find an answer, but I still stand my ground 
 Never ending battle, my everlasting will 
 I'll come back when it's over, come back for the kill 
 Honor and loyalty so hard to find 
 People I've trusted they're all left behind 
 Truth is the virtue they no longer seek 
 Stand with the strongest or fall with the weak"
13,Anthrax,metal,The Enemy,"The plans, of a race gone mad 
 A final solution to pass 
 All dreams are taken from their lives 
 No hope for the young all the old realize 
 He is but a solitary man 
 Whose prejudice will spread like a flame 
 Throughout the land 
 He's enslaving those who will be free 
 Etching his own name in black 
 For all of us to hear and see 
 A yellow star for those accused 
 There's no escape once you've been pinned 
 A relocation only to confuse 
 And all their propaganda to hide the awful truth 
 He is but a solitary man 
 Whose prejudice will spread like a flame 
 Throughout the land 
 He's enslaving those who will be free 
 Etching his own name in black 
 For all of us to hear and see 
 Screams - In the night 
 Scars so deep that they won't mend 
 Screams - In the night 
 Screams - In the night 
 In their souls they can't pretend 
 Screams - In the night 
 Six million lives on the hands of heads of state 
 They followed orders from above 
 Then one man when all was lost 
 He took his life, he'll never pay the price 
 He is but a solitary man 
 Whose prejudice will spread like a flame 
 Throughout the land 
 He's enslaving those who will be free 
 Etching his own name in black 
 For all of us to hear and see 
 Screams - In the night 
 Scars so deep that they won't mend 
 Screams - In the night 
 Screams - In the night 
 In their souls they can't pretend 
 Screams - In the night 
 They cannot hide or defend or disguise 
 For the truth is well known there'll be no alibis 
 Judgement will pass and their fates 
 Won't be kind 
 For the final solution was mass genocide... 
 Screams - In the night 
 Scars so deep that they won't mend 
 Screams - In the night 
 Screams - In the night 
 In their souls they can't pretend 
 Screams - In the night"
14,Anthrax,metal,Aftershock,"The day will come, you cannot run 
 White hot clouds fill the sky 
 See the red flare, blasting hot air 
 There's no place left to hide 
 Blinding our eyes as the sun turns to black 
 A world full of hatred and fear 
 All are committed, there's no going back 
 There'll be no one left to hear 
 Shock, there's no relief 
 Shock, no one will ever know why 
 Shock 
 Shock, panic won't cease 
 Shock, time to say our last good-bye 
 Shock 
 Aftershock, humanity's loss 
 Aftershock, all is destroyed 
 Aftershock, have no remorse 
 Aftershock, into the void 
 Never again we cannot depend 
 On leaders who see things so blind 
 Time will not lend, and never amend 
 A lesson for all of mankind"
15,Anthrax,metal,Armed And Dangerous,"Trapped up inside here, like lions in a cage 
 I've been a mark of injustice 
 Bound by these chains 
 Can't find a reason, I'm on my own 
 My destiny waits for a sign of me 
 I'm leaving alone 
 I'm out on my way now 
 It's been so many years 
 The chase is my lifeblood 
 I have no more fears 
 Fire, burns in my veins 
 Anger, shows on my face 
 Hatred, it poisons my soul 
 Look out, I'm about to explode 
 Evil ones try to destroy us 
 We're armed and prepared for attack 
 We'll take on the world with rebellion 
 We're dangerous down to the last 
 Armed and Dangerous 
 Armed and Dangerous 
 Am I evil, or am I insane 
 The lion inside of me, is no longer tame 
 A blade in my left, a gun in my right 
 To beat you within, an inch of your life"
16,Anthrax,metal,Medusa,"Endless curse, blood runs cold 
 Evil stare, will turn your flesh to stone 
 Land of doom, world of sin 
 All subside, don't venture near 
 The island where she lives 
 Oh, she'll suck you in 
 Destroyer of life, Demon 
 Oh I'm ready to strike, Gorgon 
 Serpents bride, the end awaits 
 Human prey, no swords or armor 
 Shield you from your fate 
 Hey you, you can't escape 
 Wicked smile, full of lies 
 Head of snakes, approach her cave 
 But don't look in her eyes 
 Oh, her eyes 
 Seize, appease, deceive, die 
 Seize, appease, deceive, die 
 Medusa, she's staring at you 
 Medusa, with her eyes 
 Medusa 
 Evil witch, cast her spell, seducing you 
 She'll take you to the very depths of hell 
 Cannot move, no eyes to see, a statue now 
 For all eternity Medusa laughs at you 
 And you're her slave 
 Medusa, she's staring at you 
 Medusa, with her eyes 
 Medusa, oh, she's cold 
 Medusa"
17,Anthrax,metal,Gung-Ho,"Striking down the enemy 
 Fighting hand to hand 
 Troops are thrusting onwards 
 Time to take command 
 Ready to devour 
 On the attack 
 Bodies lie dismembered 
 Maimed, killed, and hacked 
 Draw fast, cut first 
 Live hard, die hard 
 Feel the point of the blade 
 Lunging like an animal, killing all in sight 
 Going for the throat, living for the fight 
 In a bath of bloodshed, mixing with the sweat 
 Crawling through the barbwire, put it to the test 
 Fight, fight fight 
 Fight, fight fighting the war 
 Fight, fight fight 
 Fight, fight fight 
 Gung-Ho, Gung-Ho, Gung-Ho 
 Gung-Ho, Gung-Ho, Gung-Ho 
 Raging on the warpath, storming through the town 
 Blowing it to pieces, killing all around 
 Stand in our way, if you've got the balls 
 In a hail of bullets, your nailed to the wall 
 Fight, fight fight 
 Fight, fight fighting the war 
 Fight, fight fight 
 Fight, fight fight 
 Gung-Ho, Gung-Ho, Gung-Ho 
 Gung-Ho, Gung-Ho, Gung-Ho 
 We wait out the day, we burn in the sun 
 We move in by night, and kill everyone 
 Show no emotions, have no regrets 
 Made to take pain, no fear of death 
 Fight, fight fight 
 Fight, fight fighting the war 
 Fight, fight fight 
 Fight, fight fight 
 Gung-Ho, Gung-Ho, Gung-Ho 
 Gung-Ho, Gung-Ho, Gung-Ho 
 Draw fast, cut first 
 Live hard, die hard 
 Feel the point of the blade..."
18,Anthrax,metal,Among The Living,"Disease, disease 
 Spreading the disease 
 With some help from Captain Trips 
 He'll bring the world down to his knees 
 Power, yes, power 
 Show them all his power 
 It pulses through his ice-cold blood 
 The whole world to devour 
 He's seeing, he's calling 
 His legacy is spawning 
 He's coming, corrupting 
 Among the living 
 Murder, murder 
 Commit cold-blooded murder 
 Like Nazis during World War II 
 They only follow orders 
 Hatred, hatred 
 A crucifix is your bed 
 Once he turns his eyes on you 
 You'll be better off dead 
 He's seeing, he's calling 
 His legacy is spawning 
 He's coming, corrupting 
 Among the living 
 I'm the walkin' dude 
 I can see all the world 
 Twist your minds with fear 
 I'm the man with the power 
 Among the living 
 Follow me or die 
 Man fights Man 
 Divided they can't stand 
 United they can battle back 
 And make him force his hand 
 Fear, yes, fear 
 His end is growing near 
 He didn't count on Man's good faith 
 And their will to persevere 
 He's seeing, he's calling 
 His legacy is spawning 
 He's coming, corrupting 
 Among the living 
 I'm the walkin' dude 
 I can see all the world 
 Twist your minds with fear 
 I'm the man with the power 
 Among the living 
 Follow me or die, oh! 
 Oh, fire, hot fire 
 Purge the world with fire 
 Damnation is the price he'll pay 
 For an evil man's desire 
 Good vs. Evil 
 The stand to vanquish evil 
 Man can only live one way 
 That place right in the middle 
 He's seeing, he's calling 
 His legacy is spawning 
 He's coming, corrupting 
 Among the living 
 I'm the walkin' dude 
 I can see all the world 
 Twist your minds with fear 
 I'm the man with the power 
 Among the living 
 Follow me or die 
 Among, among, among, among 
 Among, among, among, among 
 Among, among, among, among 
 Among, among, among, among"
19,Anthrax,metal,Caught In A Mosh,"Why don't you listen to me when I try to talk to you? 
 Stop thinking of yourself, for just a second fool 
 Shut up, shut up, I don't wanna hear your mouth 
 Your mother made a monster, now get the hell out of my house 
 Can't stand it for another day 
 (I ain't gonna live my life this way) 
 Cold sweat, my fists are clenching 
 Stomp, stomp, stomp, the idiot convention 
 Which one of these words don't you understand? 
 Oh, caught in a mosh 
 Talking to you is like clapping with one hand 
 (What is it?) Caught in a mosh 
 (What is it?) Caught in a mosh 
 (What is it?) Caught in a mosh 
 (What is it?) Caught in a mosh 
 Don't tell me how to do my job 
 There's the door, your name's on the knob 
 You're always in the way, like a beast on my back 
 Were you dropped as a baby? 
 'Cause brains you lack 
 Can't stand it for another day 
 (I ain't gonna live my life this way) 
 Cold sweat, my fists are clenching 
 Stomp, stomp, stomp, the idiot convention 
 Which one of these words don't you understand? 
 Oh, caught in a mosh 
 Talking to you is like clapping with one hand 
 (What is it?) Caught in a mosh 
 (What is it?) Caught in a mosh 
 (What is it?) Caught in a mosh 
 (What is it?) Caught in a mosh 
 Owww! 
 Think before you speak 
 Or suffer for your words 
 Learn to give respect 
 That others give to you 
 Ohhhhh, the best you can do! 
 Hey, man! 
 I'm trying to reason, but you don't understand 
 Talking in circles, we'll never get it straight 
 Just you and me in our theater of hate 
 Can't stand it for another day 
 (I ain't gonna live my life this way) 
 Cold sweat, my fists are clenching 
 Stomp, stomp, stomp, the idiot convention 
 Which one of these words don't you understand? 
 Oh, caught in a mosh 
 Talking to you is like talking with one hand 
 (What is it?) Caught in a mosh 
 (What is it?) Caught in a mosh 
 (What is it?) Caught in a mosh 
 (What is it?) Caught in a mosh"
20,Anthrax,metal,I Am The Law,"Fifteen years in the Academy 
 He was like no cadet they'd ever seen 
 A man so hard, his veins bleed ice 
 And when he speaks he never says it twice 
 They call him Judge, his last name is Dredd 
 So break the law, and you'll wind up dead 
 Truth and justice are what he's fighting for 
 Judge Dredd the man, he is the law 
 Drokk it! 
 With gun and bike he rules the streets 
 And every perp he meets will taste defeat 
 Not even Death can overcome his might 
 'Cause Dredd and Anderson, they won the fight 
 When the Sovs started the Apocalypse war 
 Mega-City was bombed to the floor 
 Dredd resisted, and the Judges fought back 
 Crushed the Sovs with their counter-attack 
 Drokk it! 
 Respect the badge 
 He earned it with his blood 
 Fear the gun 
 Your sentence may be death because... 
 I am the law! 
 And you won't fuck around no more (I am the law!) 
 I judge the rich, I judge the poor (I am the law!) 
 Commit a crime, I'll lock the door (I am the law!) 
 Because in Mega-City, I am the law! 
 In the Cursed Earth where mutants dwell 
 There is no law, just a living hell 
 Anarchy and chaos as the blood runs red 
 But this would change if it was up to Dredd 
 The Book of Law is the bible to him 
 And any crime committed is a sin 
 He keeps the peace with his Lawgiver 
 Judge, jury, and executioner 
 Respect the badge 
 He earned it with his blood 
 Fear the gun 
 Your sentence may be death because... 
 I am the law! 
 You won't fuck around no more (I am the law!) 
 I judge the rich, I judge the poor (I am the law!) 
 Commit a crime, I'll lock the door (I am the law!) 
 Because in Mega-City, I am the law! 
 Crime, the ultimate sin 
 Your Iso-Cube is waiting when he brings you in 
 Law, it's what he stands for 
 Crime's his only enemy and he's going to war 
 Crime, the ultimate sin 
 Your Iso-Cube is waiting when he brings you in 
 Law, it's what he stands for 
 Crime's his only enemy and he's going to war 
 Respect the badge 
 He earned it with his blood 
 Fear the gun 
 Your sentence may be death because... 
 I am the law! 
 You won't fuck around no more (I am the law!) 
 I judge the rich, I judge the poor (I am the law!) 
 Commit a crime, I'll lock the door (I am the law!) 
 Because in Mega-City, I am the law! 
 No fuckin' 'round no more (I am the law!) 
 I judge the rich, I judge the poor (I am the law!) 
 Commit a crime, I'll lock the door (I am the law!) 
 Because in Mega-City, I! 
 AM! 
 THE! 
 LAW!"
21,Anthrax,metal,Efilnikufesin (N.F.L.),"It started back in high school 
 So cool, king of the scene 
 You found that making people laugh 
 Was more than just a dream 
 The public took right to you 
 Like flies to a pile of shit 
 So funny and smart, so talented 
 But success just couldn't fit 
 Wasting your life 
 No future's bright 
 Dancing on your grave 
 Living like a slave 
 Someone should've said 
 (N.F.L.) Efilnikufesin (N.F.L.) 
 (N.F.L.) Efilnikufesin (N.F.L.) 
 Wake up dead in a plywood bed 
 Six feet from the rest of your life 
 And when you couldn't see your own dependency 
 (N.F.L.) Nice fucking life 
 The whole world is your playground 
 Yet you can't find your niche 
 Your only friends, it helps you through 
 Helps you dig your daily ditch 
 The bottom line can't touch you 
 'Cause you're above the rest 
 But your little friend's the enemy 
 And the bottom line is death 
 Wasting your life 
 No future's bright 
 Dancing on your grave 
 Living like a slave 
 Someone should've said 
 (N.F.L.) Efilnikufesin (N.F.L.) 
 (N.F.L.) Efilnikufesin (N.F.L.) 
 Wake up dead in a plywood bed 
 Six feet from the rest of your life 
 And when you couldn't see your own dependency 
 (N.F.L.) Nice fucking life 
 You lived a life of excess 
 Goddamn shame, it's such a waste 
 Just one too many cookies 
 From the batch no one should taste 
 Yet his memory stills stays with us 
 'Cause watching him was fun 
 Too bad things weren't different 
 Who knows what he'd have done 
 Wasting your life 
 No future's bright 
 Dancing on your grave 
 Living like a slave 
 Someone should've said 
 (N.F.L.) Efilnikufesin (N.F.L.) 
 (N.F.L.) Efilnikufesin (N.F.L.) 
 Wake up dead in a plywood bed 
 Six feet from the rest of your life 
 And when you couldn't see your own dependency 
 (N.F.L.) Nice fucking life"
22,Anthrax,metal,A Skeleton In The Closet,"All American, an evil game of extortion 
 A sick old man, and who would guess 
 He was once S.S. 
 A deadly fascination, of a madman's solution 
 Six million dead, poison tales pollutes his head 
 Tell me a story--Will ya, Will ya 
 A real good story, I won't leave till ya 
 Spill your guts old man 
 Leave out any secrets, Hiding in the... 
 Any skeletons, and all your other sins 
 Any skeletons, in the closet 
 Any skeletons, any misfortunes 
 Any skeletons, hiding in the closet 
 Any skeletons, Any skeletons 
 In the Closet!It's insanity, puppetmaster boy or Nazi 
 Apt pupil, he hears the screams 
 Nightmares turn into wet dreams 
 Hatred lives, boiling inside, 
 Dealing death it's bumicideIn too deep, 
 Their secpill your guts old man 
 Leave out any secrets, 
 Hiding in the... 
 Fun pickin-part 
 The truth comes out, conspiracy there is no doubt 
 His life is ruined, but no not yet 
 He's still got one card in the deck 
 A loaded gun, a happy smile, 
 He'll scope the freeway for awhile 
 King of the world, four hundred rounds, 
 It took five hours to bring him down 
 Tell me a story--Will ya, Will ya 
 A real good story, I won't leave till ya 
 Spill your guts old manLeave out any secrets, 
 Hiding in the..."
23,Anthrax,metal,Indians,"We all see black and white 
 When it comes to someone else's fight 
 No one ever gets involved 
 Apathy can never solve 
 Forced out, brave and mighty 
 Stolen land, they can't fight it 
 Hold on to pride and tradition 
 Even though they know how much their lives are really missin' 
 We're dissin' them 
 On reservations 
 A hopeless situation 
 Respect is something that you earn 
 Our Indian brothers getting burned 
 Original American 
 Turned into second class citizen 
 Forced out, brave and mighty 
 Stolen land, they can't fight it 
 Hold on to pride and tradition 
 Even though they know how much their lives are really missin' 
 We're dissin' them 
 On reservations 
 A hopeless situation 
 Cry for the Indians 
 Die for the Indians 
 Cry for the Indians 
 Oh, cry, cry 
 Cry for the Indians 
 Love the land and fellow man 
 Peace is what we strive to have 
 Some folks have none of this 
 Hatred and Prejudice 
 Forced out, brave and mighty 
 Stolen land, they can't fight it 
 Hold on to pride and tradition 
 Even though they know how much their lives are really missin' 
 We're dissin' them 
 On reservations 
 A hopeless situation 
 Cry for the Indians 
 Die for the Indians 
 Cry for the Indians 
 Cry, cry 
 Cry for the Indians 
 Wardance! 
 Territory, it's just the body of the nation 
 The people that inhabit it make its configuration 
 Prejudice, something we all can do without 
 'Cause a flag of many colors is what this land is all about! 
 We all see black and white 
 When it comes to someone else's fight 
 No one ever gets involved 
 Never! 
 Apathy can never solve 
 Forced out, brave and mighty 
 Stolen land, they can't fight it 
 Hold on to pride and tradition 
 Even though they know how much their lives are really missin' 
 We're dissin' them 
 On reservations 
 A hopeless situation 
 Cry for the Indians 
 Die for the Indians 
 Cry for the Indians 
 Cry, cry 
 Cry for the Indians"
24,Anthrax,metal,One World,"Stop it! 
 There's been too much debate 
 We could save ourselves from Holocaust 
 Or is that just our fate 
 Start now 
 But we continue to balk 
 We let the genie out of the bottle 
 But we still hold the cork 
 One, Two - NOT! 
 Three, Four - DIE! 
 One, Two - NOT! 
 Three, Four - DIE! 
 Ignorance, is no excuse 
 For violence 
 No one wins... 
 One world! 
 One world! 
 ONE WORLD! - Welcome to it 
 ONE WORLD! - Don't abuse it 
 ONE WORLD! - To live out your life 
 ONE WORLD! - Total schism Tunnel vision. 
 ONE WORLD - Taming the beast 
 Fighting for peace 
 Killing 
 You pushed a button, that's all you did 
 It's much harder to kill a man 
 If you've seen pictures of his kids 
 ResponsibilityAnd what are all our lives worth? 
 What kind of sentence would you serve 
 For killing the earth 
 Mosh partlead break 
 Russians 
 They're only people like us 
 Do you really think they'd blow up the world 
 They don't love their lives less 
 America 
 Stop singing hail to the chief 
 Instead of thinking S.D.I. 
 He should be thinking of peace 
 One world!"
25,Anthrax,metal,A.D.I./Horror Of It All,"It's just to damn easy, to die in this life 
 Who's making the dicisions? 
 Tell me, who's got the right? 
 WOH, OH, OH, My grief turns to anger 
 WOH, OH, OH, It's time to... 
 Say good bye, It's a horror 
 Memories, 
 Nothing's harder 
 I know that there's no answer, 
 I mean what'd I expect 
 So many unanswered questions 
 I can't believe I can't accept 
 WOH, OH, OH, My anger turns to hatred 
 WOH, OH, Ah, OH, It's time to... 
 Say good bye, It's a horror 
 Memories, Nothing's harder 
 Ooh, Ah, Ooh, The horror of it all 
 The horror of it all, I'm gonna break 
 The horror of it all, Tell me why 
 You're not supposed to question 
 But why's there so much pain 
 When someone's taken from youWhat can you do or say? 
 WOH, OH, OH, My hatred turns to violence 
 WOH, OH, Ah, OH, It's time to... 
 Say good bye, It's a horror 
 Memories, Nothing's harder 
 Ooh, Ah, Ooh, The horror of it all 
 The horror of it all, I'm gonna break 
 The horror of it all, Tell me why 
 The horror of it allThe horror of it all 
 The horror of it all 
 The horror of it allSay good bye it's such a horror 
 My memories there's nothing harder 
 Anger and hatred fill the page 
 So smash the walls it's time to rage"
