,0,1,2,3
0,Bob Dylan,rock,You're No Good,"Well, I don't know why I love you like I do 
 Nobody in the world can get along with you 
 You got the ways of a devil sleeping in a lion's den 
 I come home last night, you wouldn't even let me in 
 Well, sometimes you're as sweet as anybody want to be 
 When you get a crazy notion jumpin' all over me 
 Well, you give me the blues, I guess you're satisfied 
 An' you give me the blues, I wanna lay down and die 
 I helped you when you had no shoes on your feet, pretty mama 
 I helped you when you had no food to eat 
 You're the kind of woman I just don't understand 
 You're takin' all my money and give it to another man 
 Well, you're the kinda woman makes a man lose his brains 
 You're the kinda woman drives a man insane 
 You give me the blues, I guess you're satisfied 
 You give me the blues, I wanna lay down and die 
 Well, you give me the blues, I wanna lay down and die"
1,Bob Dylan,rock,Talkin' New York,"Ramblin' out of the wild West 
 Leavin' the towns I love the best 
 Thought I'd seen some ups and down 
 'Til I come into New York town 
 People goin' down to the ground 
 Buildings goin' up to the sky 
 Wintertime in New York town 
 The wind blowin' snow around 
 Walk around with nowhere to go 
 Somebody could freeze right to the bone 
 I froze right to the bone 
 New York Times said it was the coldest winter in seventeen years 
 I didn't feel so cold then 
 I swung on to my old guitar 
 Grabbed hold of a subway car 
 And after a rocking, reeling, rolling ride 
 I landed up on the downtown side 
 Greenwich Village 
 I walked down there and ended up 
 In one of them coffeehouses on the block 
 I get on the the stage to sing and play 
 Man there said: Come back some other day 
 You sound like a hillbilly 
 We want folk singers here 
 Well, I got a harmonica job, begun to play 
 Blowin' my lungs out for a dollar a day 
 I blowed inside out and upside down 
 The man there said he loved m'sound 
 He was ravin' about how he loved my sound 
 Dollar a day's worth 
 And after weeks and weeks of hangin' around 
 I finally got a job in New York town 
 In a bigger place, bigger money, too 
 Even joined the union and paid my dues 
 Now, a very great man once said 
 That some people rob you with a fountain pen 
 It don't take too long to find out 
 Just what he was talkin' about 
 A lot of people don't have much food on their table 
 But they got a lot of forks and knives 
 And they gotta cut somethin' 
 So one mornin', when the sun was warm 
 I rambled out of New York town 
 Pulled my cap down over my eyes 
 And headed out for the western skies 
 So long, New York 
 Howdy, East Orange"
2,Bob Dylan,rock,In My Time Of Dyin',"Well, in my time of dyin' 
 Don't want nobody to mourn 
 All I want for you to do is 
 Take my body home, well, well, well 
 So I can die easy 
 Well, well well 
 Well, well, well 
 So I can die easy 
 Jesus gonna make up, Jesus gonna make up 
 Jesus gonna make up my dying bed 
 Well, meet me, Jesus, meet me 
 Meet me in the middle of the air 
 If these wings should fail me, Lord 
 Won't you meet me with another pair 
 Well, well, well 
 So I can die easy 
 Well, well well 
 Well, well, well 
 So I can die easy 
 Jesus gonna make up, Jesus gonna make up 
 Jesus gonna make up my dying bed 
 Lord, in my time of dying 
 Don't want nobody to cry 
 All I want you to do is 
 Take me when I die 
 Well, well, well 
 So I can die easy 
 Well, well well 
 Well, well, well 
 So I can die easy 
 Jesus gonna make up, Jesus gonna make up 
 Jesus gonna make up my dying bed"
3,Bob Dylan,rock,Man Of Constant Sorrow,"I am a man of constant sorrow 
 I've seen trouble all my days 
 I'll say goodbye to Colorado 
 Where I was born and partly raised 
 Your mother says that I'm a stranger 
 My face you'll never see no more 
 But there's one promise, darling 
 I'll see you on God's golden shore 
 Through this open world, I'm about to ramble 
 Through ice and snow, sleet and rain 
 I'm about to ride that mornin' railroad 
 Perhaps I'll die on that train 
 I'm going back to Colorado 
 The place that I started from 
 If I'd knowed how bad you'd treat me 
 Honey, I never would have come"
4,Bob Dylan,rock,Fixin' To Die,"Feeling funny in my mind, Lord 
 I believe I'm fixing to die 
 Feeling funny in my mind, Lord 
 I believe I'm fixing to die 
 Well, I don't mind dying 
 But I hate to leave my children crying 
 Well, I look over yonder to that burying ground 
 Look over yonder to that burying ground 
 Sure seems lonesome, Lord, when the sun goes down 
 Feeling funny in my eyes, Lord 
 I believe I'm fixing to die, fixing to die 
 Feeling funny in my eyes, Lord 
 I believe I'm fixing to die 
 Well, I don't mind dying but 
 I hate to leave my children crying 
 There's a black smoke rising, Lord 
 It's rising up above my head, up above my head 
 It's rising up above my head, up above my head 
 And tell Jesus make up my dying bed 
 I'm walking kind of funny, Lord 
 I believe I'm fixing to die, fixing to die 
 Yes, I'm walking kind of funny, Lord 
 I believe I'm fixing to die 
 Fixing to die, fixing to die 
 Well, I don't mind dying 
 But I hate to leave my children crying"
5,Bob Dylan,rock,Pretty Peggy-O,"I've been around this whole country 
 But I never yet found Fennario. 
 Well, as we marched down 
 As we marched down 
 Well, as we marched down to Fennario 
 Well, our captain fell in love 
 With a lady like a dove 
 Her name that she had was Pretty Peggy-O 
 Well, what will your mother say 
 What will your mother say 
 What will your mother say, Pretty Peggy-O 
 What will your mother say 
 To know you're going away 
 You're never, never, never coming back-io? 
 Come a-running down your stairs 
 Come a-running down your stairs 
 Come a-running down your stairs, Pretty Peggy-O 
 Come a-running down your stairs 
 Comb back your yellow hair 
 You're the prettiest darned girl I ever seen-io. 
 The lieutenant he has gone 
 The lieutenant he has gone 
 The lieutenant he has gone, Pretty Peggy-O 
 The lieutenant he has gone 
 Long gone 
 He's a-riding down in Texas with the rodeo. 
 Well, our captain he is dead 
 Our captain he is dead 
 Our captain he is dead, Pretty Peggy-O 
 Well, our captain he is dead 
 Died for a maid 
 He's buried somewheres in Louisiana-O."
6,Bob Dylan,rock,Highway 51,"Highway 51 runs right by my baby's door 
 Highway 51 runs right by my baby's door 
 If I don't get the girl I'm loving 
 Won't go down to Highway 51 no more 
 Well, I know that highway like I know my hand 
 Yes, I know that highway like I know the back of my hand 
 Running from up Wisconsin way down to no man's land 
 Well, if I should die before my time should come 
 And if I die before my time should come 
 Won't you bury my body out on the Highway 51 
 Highway 51 runs right by my baby's door 
 I said, Highway 51 runs right by my baby's door 
 If I don't get the girl I'm loving 
 Won't go own to Highway 51 no more"
7,Bob Dylan,rock,Gospel Plow,"Mary wore three links of chain 
 Every link was Jesus name 
 Keep your hand on that plow, hold on 
 Oh, Lord, oh, Lord 
 Keep your hand on that plow, hold on 
 Mary, Mark and Luke and John 
 All them prophets are dead and gone 
 Keep your hand on that plow, hold on 
 Oh, Lord, oh, Lord 
 Keep your hand on that plow, hold on 
 Well I never been to heaven, but I've been told 
 Streets up there are lined with gold 
 Keep your hand on that plow, hold on 
 Oh, Lord, oh, Lord 
 Keep your hand on that plow, hold on 
 Oh, Lord, oh, Lord 
 Keep your hand on that plow, hold on 
 Oh, Lord, oh, Lord 
 Keep your hand on that plow, hold on"
8,Bob Dylan,rock,"Baby, Let Me Follow You Down","I first heard this Rick von Schmidt. 
 He lives in Cambridge. 
 Rick's a blues guitar player. 
 I met him one day in the green pastures of uh, Harvard University. 
 Baby, let me follow you down 
 Baby, let me follow you down 
 Well, I'd do anything in this god almighty world 
 If you just let me follow you down 
 Can I come home with you? 
 Baby, can I come home with you? 
 Yes, I'd do anything in this god almighty world 
 If you just let me come home with you 
 Baby, let me follow you down 
 Baby, let me follow you down 
 Well, I'd do anything in this god almighty world 
 If you just let me follow you down 
 Yes, I'd do anything in this god almighty world 
 If you just let me follow you down"
9,Bob Dylan,rock,House Of The Rising Sun,"There is a house in New Orleans 
 They call the Rising Sun 
 It's been the ruin of many a-poor girl 
 And me, oh God, I'm one 
 My mother was a tailor 
 She sewed my new blue jeans 
 My sweetheart was a gambler 
 Down in New Orleans 
 Now the only thing a gambler needs 
 Is a suitcase and a trunk 
 And the only time he's satisfied 
 Is when he's on a drunk 
 He fills his glasses up to the brim 
 And he'll pass the cards around 
 And the only pleasure he gets out of life 
 Is ramblin' from town to town 
 Oh tell my baby sister 
 Not to do what I have done 
 But shun that house in New Orleans 
 They call the Rising Sun 
 Well it's one foot on the platform 
 The other foot on the train 
 I'm goin' back to New Orleans 
 To wear that ball and chain 
 I'm a goin' back to New Orleans 
 My race is almost run 
 I'm goin' back to end my life 
 Down in the Rising Sun 
 There is a house in New Orleans 
 They call the Rising Sun 
 It's been the ruin of many a-poor girl 
 And me, oh God, I'm one"
