,0,1,2,3
0,De La Soul,hiphop,Jenifa Taught Me (Derwin's Revenge),"DOVE: 
 Access to her code 
 Lovestruck was my mode 
 Took a look, dropped my textbook 
 Jenifa... (OH!) 
 Breakfast, broke it fast 
 She was in my English class 
 Asked for notes, rocked my boat 
 Jenifa... (OH!) 
 Jenny 
 Lost her favourite penny 
 So I gave her a dollar 
 She kissed me 
 (And I hollered) 
 In a flash the school bell rang 
 Jenny grabbed on to my hand 
 Took me home and said, Trugoy just 
 Swing and swing and swing 
 POS: 
 The downstairs, where we met 
 I brought records, she cassettes 
 Lost the breaks, found her shape 
 Jenifa, oh Jenny 
 Transcripts showed more than flirt 
 'I love daisies' read her shirt 
 Grabbed my jeans, Jimmy screamed 
 Jenifa, oh Jenny 
 Marvelous 
 Shaped like a vase 
 No one can live their life for Pos 
 Found a house, aroused my joust 
 Jenifa, oh Jenny 
 Her clothes, I did shuck 
 Just like Dan I strictly stuck 
 To the punt, she cried 'kick it' 
 Posdnuos was in 
 Jenny 
 Only thought about Jimmy 
 But asked was I a virgin 
 Like some kid named Derwin? 
 She said 'Let's try it in the bathroom' 
 But 'Dnuos is way above sinks 
 So to the kitchen she did Dan 
 And came back wrapped in Saran 
 (Now wait a minute! Little Derwin got something to 
 Show us that Jenny could never do. Listen...) 
 (Hey. Look at little Derwin. Look at him go, look at him go! 
 Awww, baby.) 
 DOVE: 
 Positions, muscles flexed 
 Dove was lost in a Ghana hex 
 Passed her test, felt her teddy 
 Jenifa oh Jenny 
 Notions 
 Soothed the mood 
 Dove was lost in De La heaven 
 Screwed Plug Two, did the do 
 Jenifa oh Jenny 
 Jenny 
 Teased my homeboy Granny 
 In fact she teased so many 
 She was known as a garden tool 
 POS: 
 No more 
 I dispatched 
 Was it Jimmy had met his match 
 Or could it be the realisation 
 All girls owned a Jenny 
 For normal health 
 I had fought 
 A valuable lesson she had taught 
 Don't flaunt that the candy is good 
 Unless you came with plenty"
1,De La Soul,hiphop,Potholes In My Lawn,"(Yo, something's wrong here. No, not again!) 
 (Get the daisies for the...) 
 Potholes in my lawn 
 DOVE: 
 Everybody's sayin' what to do when 
 Suckin' lunatics start diggin' and chewin' 
 They don't know that the Soul don't go for that 
 Potholes in my lawn 
 And that goes for my rhyme sheet Which I concentrated so hard 
 On, see I don't ask for maximum security 
 But my dwellin' is swellin' 
 It nipped my bud when I happened to fall 
 Into a spot Where no ink or an ink-blot 
 Was on a scroll I just wrote me a new 'mot' 
 But now it's gone There's no Suckers knew that I hate 
 To recognise that every time I'm writin' It's gone 
 (Yodel-a-hee, Yodel-oh-hee, Yodel-a) 
 (Yodel-a-hee, Yodel-oh-hee, Yodel-ee-hee-hee-hee) 
 Potholes in my lawn 
 POS: 
 I've found that it's not wise 
 To leave my garden untended 'Cause eyes 
 Have now pardoned all laws of privacy 
 Even paws are after my writer 
 See, I've found that everyone's sayin' 
 What to do when suckers are preyin' 
 On my well-guarded spreadsheets 
 Oh why, hell does it send up fleets 
 Of evil-doers through the big hole 
 To get to evil-doers who dig holes 
 Which leaves my lawn with lawn-chew 
 I think I'd better plant traces to give clues 
 Or better yet call 911 
 And when they get here I inform them I'm the Plug One 
 Open a chair and let them realize the reason 
 For concern of the Soul, 
 'Cause we've come down with a case of potholes 
 (Yodel-a-hee, Yodel-oh-hee, Yodel-a) 
 (Yodel-a-hee, Yodel-oh-hee, Yodel-ee-hee-hee-hee) 
 Potholes in my lawn 
 (Who stole, who stole, who stole the cookie 
 From the cookie jar?) 
 DOVE: 
 Now you got the method 
 What to do when you die 
 The death that I predict in 'Plug Tunin' 
 It's a shame that you deny to claim 
 That you stole my words of fame 
 That I wrote in my rhyme sheet 
 Which I concentrated so hard on, see 
 I don't ask for a barbed wire fence, B 
 But my dwellin' is swellin' 
 It nipped my bud when I happened to fall 
 Into a spot 
 Where no ink or an ink-blot 
 Was on a scroll 
 I just wrote me a new 'mot' 
 But now it's gone there's no 
 Suckers knew that I hate 
 To recoginse that every time I'm writin' 
 It's gone 
 Potholes in my lawn 
 (Yodel-a-hee, Yodel-oh-hee, Yodel-a) 
 (Yodel-a-hee, Yodel-oh-hee, Yodel-ee-hee-hee-hee)"
2,De La Soul,hiphop,The Magic Number,"POS 
 3 
 That's the Magic Number 
 Yes it is 
 It's the magic number 
 Somewhere in this hip hop soul community 
 Was born 3 Mase Dove and me 
 And that's the magic number 
 (What does it all mean?) 
 Difficult preaching is Posdnuos' pleasure 
 Pleasure and preaching starts in the heart 
 Something that stimulates the music in my measure 
 Measure in my music raised in three parts 
 Casually see but don't do like the Soul 
 'Cause seein' and doin' are actions for monkeys 
 Doin' hip hop hustle, no rock and roll 
 Unless your name's Brewster, 'cause Brewsters are funky 
 Parents let go 'cause there's magic in the air 
 Criticising rap shows you're out of order 
 Stop look and listen to the phrase Fred Astaires 
 And don't get offended while Mase do-se-do's your daughter 
 A tri-camera rolls since our music's now set 
 Fly rhymes are stored on a D.A.I.S.Y. production 
 It stands for ""Da Inner Sound Y'all"" and y'all can bet 
 That the action's not a trick, but showing the function 
 Everybody wants to be a deejay 
 Everybody wants to be an emcee 
 But being speakers are the best 
 And you don't have to guess 
 De La Soul posse consists of three 
 And that's the magic number 
 DOVE 
 This here piece of the pie 
 Is not desser but the course that we dine 
 And three out of every darn time 
 The effect is ""Mmmm"" when a daisy grows in your mind 
 Showing true position, this here piece is 
 Kissin' the part of the pie that's missin' 
 When that negative number 
 Fills up the cavity 
 Maybe you can subtract it 
 You can call it your lucky partner 
 Maybe you can call it 
 Your adjective 
 But odd as it may be 
 Without my 1 and 2 where would there be 
 My 3 Mase Pos and Me 
 And that's the Magic Number 
 Focus is formed by flaunts to the soul 
 Souls who flaunt styles gain praises by pounds 
 Common are speakers who are never scrolls 
 Scrolls written daily creates a new sound 
 Listeners listen 'cause this here is wisdom 
 Wisdom of a Speaker, a Dove and a Plug 
 Set aside a legal substance to feed 'em 
 For now get 'em high off this dialect drug 
 Time is a factor so it's time that counts 
 Count not the negative actions of one 
 Speakers of soul say it's time to shout 
 Three forms the soul to a positive sum 
 Dance to this fix and flex every muscle 
 Space can be filled if you rise like my lumber 
 Advance to the tune but don't do the hustle 
 Shake, rattle, roll to my Magic Number 
 Now you may try to subtract it 
 But it just won't go away 
 Three times one? 
 (What is it?) (One, two, three!) 
 And that's a Magic Number 
 (Yo, what's up?) 
 (1, 2, 3) 
 (I say, children, what does it all mean?) 
 (Whoa-whoa-wo, 1, 2, 3) 
 (I wouldn't lie to you) 
 (No more no less, that's a magic number) 
 (No more no less) 
 (What it is?) 
 (No more no less) 
 (Do the shang-a-lang) 
 (No more no less) 
 (Anybody in the audience ever get hit by a car?) 
 (No more no less) 
 (How high's the water, mama?) 
 (No more no less) 
 (How high's the water, mama?) 
 (No more no less) 
 (Three feet high and rising) 
 (No more no less) 
 (Three) 
 (That's a magic number)"
3,De La Soul,hiphop,Change In Speak,"POS: 
 Once again it's time to bite more soul 
 A flavor you will savor in your soul 
 Wax is distributed and then sold 
 So watch it turn, bring your next of kin soul 
 P.A. Mase has rocked it on the console 
 Scream real hard until you blow your tonsils 
 Bang-oh-bang until you burn your shoe soles 
 'Cause you are now dancing to the big soul 
 DOVE: 
 Live is the motion of the soul step 
 Set the exposure to my one step 
 This scene'll last to the next step 
 All those in favor take a big step 
 True to the Soul, we'll never back step 
 In sense to that, we don't half step 
 Just as a reminder from the last step 
 Negative ones are lost in footsteps 
 Levels we've set will never go down 
 Competitions commence the step down 
 Those involved with peace who know the Soul's down 
 Can see that the Soul has got a new sound 
 Dance until you find yourself a new part 
 If you don't then I'll give you the True part 
 When received you'll see the real small part 
 Of the new way is no part at all 
 POS: 
 Pos and Dove is rarely caught not dressed in peace 
 Movements always walking round now stressing peace 
 When this biter should know true in peace 
 Instead they cause violence and shoot out beef 
 Still we are professing to be on a roll 
 Public cause this party going on the road 
 And if you crave sex, drugs and rock'n'roll 
 Sent by the Quest, Jungle and De La Soul 
 Give 'em a taste, Mase"
4,De La Soul,hiphop,Cool Breeze On The Rocks,"Cool breeze 
 Rock that shit homie 
 Rock 
 Lyte as a 
 Rock 
 A a a a a as a rock 
 Cool breeze 
 Rockin' it rockin' it 
 Rock 
 You gotta rock it 
 Keep on rockin' 
 Rock's the best 
 Rockin' music 
 Cool breeze 
 The king 
 Of rock'n'roll 
 Rock rock 
 This world for you 
 King Adrock 
 Rock those bells 
 I want 
 Body body rock body body rock 
 You are now rockin' with the best 
 I put this together to 
 Rock the house 
 Michael? 
 ""I wanna"" 
 Rock! 
 ""With you"""
5,De La Soul,hiphop,Can U Keep A Secret,"Ah yeah, ah ah ah 
 Prince Paul likes Buddy 
 Posdnuos likes Buddy 
 Trugoy likes Buddy 
 Mase likes Buddy 
 Wouldn't you like to Buddy too? Ooh 
 Prince Paul needs a haircut 
 Mase needs a haircut 
 Posdnuos needs a haircut 
 Trugoy would you please give us a haircut? 
 Prince Paul needs a luuden 
 Trugoy needs a luuden 
 Posdnuos needs a luuden 
 Mase needs a luuden 
 Everybody I want to just get a luuden 
 Paul has dandruff 
 Posdnuos has a lot of dandruff 
 Mase has big fat dandruff 
 Trugoy has dandruff 
 Everybody in the world, you have dandruff 
 Dante is a scrubb 
 Dante is a scrubb (scrubb) 
 Dante is a scrubb (is a big scrubb) 
 Dante is a scrubb (a super scrubb) (scrubb) 
 (And ya not gettin' the haircut either, scrubb!)"
6,De La Soul,hiphop,Ghetto Thang,"POS: 
 (Mary had a little lamb) That's a fib 
 She had two twins though and one crib 
 Now she's only fourteen, what a start 
 But this effect is ground common in these parts 
 Now life in this world can be such a bitch 
 And dreams are often torn and shattered and hard to stitch 
 Negative's the attitude that runs the show 
 When the stage is the G-H-E-T-T-O 
 DOVE: 
 Which is the one to blame when bullets blow 
 Either Peter, Jane, or John or Joe 
 But Joe can't shoot a gun, he's always drunk 
 And Peter's pimping Jane, and John's a punk 
 Infested are the halls, also the brains 
 Daddy's broken down from ghetto pains 
 Mommy's flying high, the truth is shown 
 The kids are all alone, 'cause it's just the ghetto thang 
 It's just the ghetto thang (word) 
 POS: 
 Who ranks the baddest brother, the ones who rule 
 This title is sought by the coolest fool 
 Define coolest fool? Easy, the one who needs 
 Attention in the largest span and loves to lead 
 Always found at the jams, but never dance 
 Just provoke violence due to one glance 
 The future plays no matter, just the present flow 
 When the greeting place is the G-H-E-T-T-O 
 DOVE: 
 Lies are pointed strong into your skull 
 Deep within your brain against the wall 
 To hide or just erase the glowing note 
 Of how to use the ghetto as a scapegoat 
 Truth from Trugoy's mouth is here to scar 
 Those who blame the G for all bizarre 
 So open up your vents and record well 
 For this is where we stand, for the True tell 
 Ghetto gained a ghetto name from ghetto ways 
 Now there could be some ghetto gangs and ghetto play 
 If ghetto thang can have its way in ghetto range 
 Then there must be some ghetto love and ghetto change 
 Though confident they keep it kept, we know for fact 
 They lie like ghettos form, 'cause people lack 
 To see that they must all get out the ghetto hold 
 The truth they never told, 'cause it's just the ghetto thang 
 It's just the ghetto thang (word) 
 POS: 
 Do people really wish when they blow 
 Out the cake candles, and if so 
 Is it for the sunken truth which could arise 
 From out the characters in which the ghetto hides 
 Roses in the ring supply their shown relief 
 Granted it's planted by their shown belief 
 Kill and feed off your own brother man 
 Has quickly been adopted as the master plan 
 Posses of our people has yet to provoke 
 Freedom or death to them, it's just a joke 
 What causes this defect, I don't know 
 Maybe it's the G-H-E-T-T-O 
 It's just the ghetto thang (word) 
 Standing in the rain is nothing felt 
 When problems hold more value, but never dealt 
 With buildings crumbling to the ground 
 Impact noise is silent sound 
 But who's the one to say this life is wrong 
 When ghetto life is chosen strong 
 We seem to be misled about our dreams 
 But dreams ain't what it seem when it's just the ghetto thang 
 It's just the ghetto thang (word)"
7,De La Soul,hiphop,Transmitting Live From Mars,"(Ecoutez. A midi.) 
 (Quel heure est-il? Il est midi.) 
 (C'est l'heure de dejeuner. Qu'est-ce qu'il y a a manger?) 
 (Il y a saucisse, sans doute.) 
 (Ecoutez et repetez. A midi.) 
 (Quel heure est-il?) 
 (Quel heure) 
 (Quel heure est-il?) 
 (Est-il?) 
 (Il est midi. Midi. Midi. Il est midi. Il est midi.) 
 (C'est l'heure de dejeuner.) 
 (C'est l'heure de dejeuner. C'est l'heure de dejeuner. De dejeuner.) 
 (C'est l'heure de dejeuner.) 
 (Qu'est-ce qu'il y a a manger?) 
 (Qu'est-ce qu'il y a?)"
8,De La Soul,hiphop,Eye Know,"POS: 
 Greetings, girl, and welcome to my world of phrase 
 I'm right up to bat 
 It's a Daisy Age and you're about to walk top-stage 
 So wipe your Lottos on the mat 
 Hip-hop love this is and don't mind when I quiz your 
 Involvements before the sun 
 But clear your court 'cause this is a one-man sport 
 And who's better for this than Plug One 
 Now you don't have to worry about me squashin' other deals 
 'Cause they've already been squooshed 
 Freeze a frame about moods the same 
 Which we can continue right behind the bush 
 You'll stay with me, Eye know this 
 But not because of all my earthly treasures 
 Or regardless to the fact that I'm Posdnuos 
 But because (Eye know Eye love you better) 
 DOVE: 
 May I cut this dance to introduce myself as 
 The chosen one to speak 
 Let me lay my hand across yours 
 And aim a kiss upon your cheek 
 They name's Plug Two, and from the soul I bring you 
 The Daisy of your choice 
 May it be filled with the pleasure principle 
 In circumference to my voice 
 About those other Jennys I reckoned with 
 Lost them all like a homework excuse 
 This time the Magic Number is two 
 'Cause it takes two, not three, to seduce 
 My destiny of love is brought to an apex 
 Sex is a mere molecule 
 In this world of love that I have for you 
 It's true (Eye know Eye love you better) 
 POS: 
 Now it's time to let this rhyme style 
 Get somewhat poured in the mold 
 Hold my hand, we'll pick my plantation 
 Of Daisies for a bouquet of Soul 
 Life will begin at the cut of a rim 
 Take it as filled to the rim as in brim 
 Squeeze your stoop like Betty Boop 
 We'll make Campbell Alphabet Soup 
 And spell Plug One's within 
 Forward march is the say when transistors will play 
 Come into bed is the mood 
 Dolby sound will be then top crowned 
 When I put the needle into your groove 
 I got a good thing and in full swing 
 I show this in gifts, words or letters 
 But even without those three 
 Eye know you'll be close to me 
 'Cause (Eye know I love you better) 
 DOVE: 
 It's I again and the Soul that I send 
 Is taking steps to reach your heart 
 Any moment you feel alone 
 I can fill up your empty part 
 We can ascend till we reach De La Heaven 
 And in a spin we'll hit the Top Ten 
 Then we can meet Mr. Stuckie, and Pos' brother Lucky 
 Will preach, let the wedding begin 
 Shot by an arrow of Cupid through the string of a G-clef 
 My dear, I claim you're def 
 And if you can hear me, by golly gee 
 Trugoy is ready for what you possess 
 We could live in my Plug Two home 
 And on Mars where we could be all alone 
 And we make a song for two, 
 Picture perfect things and I sing 
 Of how (Eye know I love you better)"
9,De La Soul,hiphop,Take It Off,"(It's hurting.) 
 (Smell your breath!) 
 (You smell like Jabba.) 
 (Your nose is what's doing it.) 
 (You're talking into the recording... YO!) 
 (Okay Lucky, start it off.) 
 Take take take take take it off... 
 Take it off, take take take take it off 
 Take it off, take take take take it off, 
 Take it off, take take take take it off, 
 Take it off, 
 Take it OFF! 
 (Take that suede front off) 
 Take it OFF! 
 (Take those contacts off) 
 Take it OFF! 
 (Take that horsemeat off) 
 Take it OFF! 
 (Take those shell-toes off) 
 Take it OFF! 
 (Take those track fleas off) 
 Take it OFF! 
 (Take that doo-rag off) 
 Take it OFF! 
 (Take that moth rag off) 
 Take it OFF! 
 (Take those fat laces off) 
 Take it OFF! 
 (Take that bomber off) 
 Take it OFF! 
 (Take that BVD off) 
 Take it OFF! 
 (Take those Converse off) 
 Take it OFF! 
 (And those Gazelles too) 
 Take it OFF! 
 (Take that Kangol off) 
 Take it OFF! 
 (Take that Jordache off) 
 Take it OFF! 
 (Take that Afro off) 
 Take it OFF! 
 (Take that jhericurl off) 
 Take it OFF! 
 (Take that Le Tigre off) 
 Take those acid-washed jeans, bell-bottomed, designed by your mama... off? 
 Please? Please..."
