,0,1,2,3
0,Incubus,rock,Speak Free,"You took our lives away 
 To increase your self esteem 
 An underlie in the public eye 
 You're dubbed insane if and when you try 
 To speak your mind in your own way 
 Ignore the past and speak free 
 You smashed glass eyes just to say 
 ""It all is all that I need."" 
 An underlie in the public eye 
 You're dubbed insane if and when you try 
 To speak your mind in your own way 
 Ignore the past and speak free 
 What you see is a reflection of my choice 
 And what it means to me 
 Trapped in your cell 
 A mindless plot against own eyes to simplify your hell 
 I begin to contemplate 
 Then hyperventilate 
 Turning the thought in my head 
 I begin to contemplate 
 Then hyperventilate 
 Turning the thought in my head 
 I begin to contemplate 
 Then hyperventilate 
 Turning the thought in my head 
 I begin to contemplate 
 Then hyperventilate 
 Turning the thought in my head 
 An underlie in the public eye 
 You're dubbed insane if and when you try 
 To speak your mind in your own way 
 Ignore the past and speak free 
 Just ease my 
 Just ease my pain"
1,Incubus,rock,Bathe In My Snot,"Stones of thought the sleeper awakes 
 Gone but a chioce which path will I take 
 No longer my prison my key to the past 
 I'll mention your sorrow now love will ever last 
 Love will ever last 
 Your voice on a thought now is your blood 
 A chance for new life 
 Now so close in your eye 
 The same lies now renders my thought 
 You belted me silly, now bathe in my snot! 
 Stones of thought the sleaper awakes 
 Gone but a chioce which path will I take 
 No longer my prison my key to the past 
 I'll mention your sorrow now love will ever last 
 Love will ever last"
2,Incubus,rock,Pillow Your Eyes,"Viewed the scene on a black and white TV 
 Chose your words ""hey mom I want to be..."" 
 So, study hard. Your work became your cell. 
 Don't you dare inhale, or you'll be damned to hell! No! 
 Yes, back and in your prime and things are in a swirl. 
 Solaced with your choice, out pops a baby girl! 
 Family now complete, and power's in your hands. 
 You've won the greatest prize, it's time to take a stand. 
 Sphincter freed last on your common throne. 
 You think the kill weeds chompin' at your noodles flow. 
 There's somethin' about the herb, so fast, hypnotize. 
 A ripened head change that'll pillow your eyes. 
 Will you be the superman inflicting drastic change? 
 The power of your name has spanded out a boundless range. 
 Will you meet the needs of a fast paced, awkward, life-span I call ""we""? 
 Our trust is now within you. 
 So by soul cries let it be. 
 Pillow your eyes! 
 Yes, I, praise Jah!"
3,Incubus,rock,You Will Be A Hot Dancer,"Damn, situation's new to me, why? 
 I see ahead afraid to be himself 
 I bet he'd like to have a little encouragement from the opposite 
 Come that side of the floor, yes 
 Egg him along, make him feel at ease with himself 
 Steal his clothes, leave him his shoes 
 Let's get this Marmaduke naked 
 Everybody help, make him feel at ease 
 Let's get this Marmaduke naked 
 Let's get this Marmaduke naked 
 So lose your head and go to pieces 
 Don't you, don't you make fun of me 
 Don't you, don't you make fun of me 
 I'm gonna be, gonna be 
 Gonna be a hot dancer 
 Don't you, don't you make fun of me 
 Don't you, don't you make fun of me 
 I'm gonna be, gonna be 
 Be a hot dancer 
 Hmm, now that the basics are down 
 Converse amongst yourselves 
 But keep an eye out for the next complication 
 In other words grab the next motherfucker Marmaduke 
 Who refuses to subdue to these pelvic ostentations 
 I can't wait until the syllables bend 
 Let's get this Marmaduke naked 
 Let's get this Marmaduke naked 
 So lose your head and go to pieces 
 Don't you, don't you make fun of me 
 Don't you, don't you make fun of me 
 I'm gonna be, gonna be 
 Gonna be a hot dancer 
 Don't you, don't you make fun of me 
 Don't you, don't you make fun of me 
 I'm gonna be, gonna be 
 Be a hot dancer 
 You will be a 
 Hot dancer, son 
 You will be a 
 Don't you, don't you make fun of me 
 Don't you, don't you make fun of me 
 Well I'm gonna be, gonna be 
 Gonna be a hot dancer 
 Don't you, don't you make fun of me 
 Don't you, don't you make fun of me 
 I'm gonna be, gonna be 
 I'm gonna be a hot dancer 
 Don't you, don't you make fun of me 
 Don't you, don't you make fun of me 
 Don't you, don't you make fun of me 
 I'm gonna be a hot dancer 
 Nah, nah, nah, nah, nah 
 I'm a hot dancer 
 Nah, nah, nah, nah, nah 
 I'm a hot dancer"
4,Incubus,rock,Shaft,"Who am I? 
 I am I 
 (Shaft) 
 Why can't I get it straight no? 
 (Shaft) 
 Why can't I see it straight, yeah? 
 (Shaft) 
 We can't let you 
 (Shaft) 
 We can't let you go 
 (Shaft) 
 Why can't I get it straight no? 
 (Shaft) 
 Why can't I see it straight, yeah? 
 (Shaft) 
 We can't let you 
 (Shaft) 
 We can't let you go 
 Who are you? 
 You are me 
 Shaft, Shaft 
 Shaft, Shaft 
 I take a look, a look around gas limited 
 I take a look around 
 I tell myself I live again 
 I take a look, a look around gas limited 
 I take a look around 
 I tell myself I live again 
 (Shaft) 
 Why can't I get it straight no? 
 (Shaft) 
 Why can't I see it straight, yeah? 
 (Shaft) 
 We can't let you 
 (Shaft) 
 We can't let you go 
 (Shaft) 
 Why can't I get it straight no? 
 (Shaft) 
 Why can't I see it straight, yeah? 
 (Shaft) 
 We can't let you 
 (Shaft) 
 We can't let you go 
 Shaft 
 Shut the fuck up 
 Up until this day 
 I take a look, a look around gas limited 
 Up until this day 
 I take look around, I tell myself I live again 
 Up until this day 
 I take a look, a look around gas limited 
 Up until this day 
 Shaft, Shaft, Shaft 
 Shaft, Shaft, Shaft 
 Shaft 
 Where's Lorena when we need her? 
 (Shaft) 
 Why can't I get it straight no? 
 (Shaft) 
 Why can't I see it straight, yeah? 
 (Shaft) 
 We can't let you 
 (Shaft) 
 We can't let you go 
 (Shaft) 
 Why can't I get it straight no? 
 (Shaft) 
 Why can't I see it straight, yeah? 
 (Shaft) 
 We can't let you 
 (Shaft) 
 We can't let you go 
 (Shaft) 
 Why can't I get it straight no? 
 (Shaft) 
 Why can't I see it straight, yeah? 
 (Shaft) 
 Why can't I get it straight no? 
 (Shaft) 
 Why can't I see it straight, yeah? 
 (Shaft) 
 Why can't I get it straight no? 
 (Shaft) 
 Why can't I see it straight, yeah? 
 (Shaft) 
 Why can't I get it straight no? 
 (Shaft) 
 Why can't I see it straight, yeah?"
5,Incubus,rock,Trouble In 421,"The evening began as a positive swaret 
 And my abode was 420G 
 But little did I know that in the very next apartment 
 There'd be trouble on the brew for me 
 Ubiquitous, I wish I could be 
 Because the clock cuts short my own day 
 One hundred things to do before I rest my sore ass 
 Upon the cushion that supports my array 
 Can this be? Trouble 
 So if I may, slip you a tip 
 You'd best stay away from 421 
 Trouble! 
 So get high the green way 
 So get by the green way, yes 
 I knocked upon their door 
 In hopes of bidding them their welcome 
 And instead I was caught by an eye 
 His pupil was wide open 
 Kinda like a liquor barn at 3:00 
 It was indoubadoubly dose derived 
 It was then that they took me 
 And shined their lights between my eyes 
 He said, ""What do you know? 
 Why are you here? What's the catch? 
 Why not explain in clear? Why you're thinking aloud?"" 
 I wish I could've just kept to my own 
 My hospitality has been too well spent and I've paid my rent 
 I should've kept my thoughts on who might've been inside 
 So that my mind could sit and delude my pride 
 Can this be? Trouble! 
 So if I may, slip you a tip 
 You'd best stay away from 421 
 Trouble 
 So get high the green way 
 So get by the green way, go 
 Oh 
 I beg my common sense to keep my 
 Neighbor out away from my front door 
 Until I find a way to hide myself from those in 421 
 One, one away from the good one 
 Jump 
 Jump 
 Let's take away 
 I beg my common sense to keep my 
 Neighbor out away from my front door 
 Until I find a way to hide myself from those in 421 
 421, hey 
 421"
6,Incubus,rock,Take Me To Your Leader,"What if your brain 
 Unexpectedly and suddenly 
 Picked out things to flip around 
 And view a lot differently? 
 What if blue sky 
 All of a sudden turned a purple hue? 
 We would shit a brick the size of all of it 
 What if? 
 What if I was just dreaming? 
 What if I lived in a pear? 
 What if my watch read four dot dot two every hour, every day? 
 You can bet your dollar, I'd be happy 
 I forgot to remember 
 I forgot to remember my pain 
 Take me to your leader 
 Or die by the fly guy 
 What if mothballs 
 Hangin' around too close to microwaves 
 Suddenly wake up and said 
 ""Take me to your leader 
 Or die by fly guy! 
 He'll push ya' out, no wings attached!"" 
 Just do as I say, no mistake, he'll blow away 
 What if I was just dreaming? 
 (What if I was just dreaming?) 
 What if I lived in a pear? 
 (What if I lived in a pear?) 
 What if I had a mustard drenched cucumber tied to my leg 
 And I did not want my pants to get dirty? 
 What if this, what if that? Go! 
 I forgot to remember 
 I forgot to remember my pain 
 Take me to your leader 
 Or die by the fly guy 
 I forgot to remember 
 I forgot to remember my pain 
 My pain 
 Forgot to inject my cocaine 
 Forgot to apply my Rogaine 
 Forgot to remember my pain, pain, pain 
 I never think, I never thought 
 Oh, maybe I'm insane! 
 I think I like being 
 Way the fuck out of my brain! 
 I never think, I never thought 
 Oh, maybe I'm insane 
 I think I like being 
 Way the fuck out of my brain 
 I forgot to remember 
 I forgot to remember my pain 
 Take me to your leader 
 Or die by the fly guy 
 I forgot to remember 
 I forgot to remember my pain 
 Take me to your leader 
 Or die by the fly guy"
7,Incubus,rock,Medium,"Medium, medium 
 Medium, medium 
 Medium, medium 
 Medium, medium 
 Medium, medium 
 Medium, medium 
 Medium, medium 
 Medium, medium 
 Waking up I smell the scent of coffee on the brew 
 And I think about the amount of the sweet 
 I'd like to have in my cup today 
 One for the two lump, three lump, four 
 No half of one, no less no more 
 Just give me a chance, let me make it mine 
 I'd like a medium blend of that piece of pie 
 Not too bitter, not too sweet 
 (medium) 
 Just enough to start my beat 
 (medium) 
 Not too bitter, not too sweet 
 (medium) 
 Just enough to start my beat 
 (medium) 
 Dinner time just rolls around 
 And I think I crave a steak but 
 I'm not too partial to the meat 
 When it's cooked too long and I'm made to wait 
 Not too much of the parsony 
 And just enough of the spice 
 I think I'd enjoy a medium-rare dish 
 With a side of fries 
 Not too tender, not too tough 
 (medium) 
 Not too little, just enough 
 (medium) 
 Not too tender, not too tough 
 (medium) 
 Not too little, just enough 
 (medium) 
 Medium 
 Medium 
 Medium, medium 
 Medium, medium 
 Come Thursday morn' I smell the pits 
 But hey, it aint that bad 
 I, could of sworn I bathed last week 
 And scrubbed like a good lad 
 I like to stink just a little bit 
 Just to keep you on your toes 
 Yes, the more I stink the more I think 
 That you smell like a rose 
 Not too pleasant, not too bad 
 (medium) 
 Just enough to irk my dad 
 (medium) 
 Not too pleasant, not too bad 
 (medium) 
 Just enough to irk my dad 
 (medium) 
 Medium 
 Medium 
 Medium, medium 
 Medium, medium"
8,Incubus,rock,The Answer,"Step outside the bounds and take a 
 Big look at the times we live in 
 Who appointed you? 
 You're just an avid image on my screen 
 So take your biased point of view 
 Away from my organic institution 
 And we dare to think for ourselves 
 The answer's waiting content 
 (Look into your mind and guide) 
 The answer's clear as day, open your eyes 
 Now kill me 
 You killed the very thing that keeps us 
 Hanging on to our dear lives 
 So, in a sense you bit the hand that feeds us 
 Just to make your profit now 
 And with the coming generation 
 At the torn seams 
 This is what you call progress 
 I call it shame 
 The answer's waiting content 
 (Look into your mind and guide) 
 The answer's clear as day, open your eyes 
 Now kill me 
 What his law says 
 What his law says 
 What his law says 
 May not be the stepping stone for you 
 You killed the very thing that keeps us 
 Hanging on to our dear lives 
 You killed the very thing that keeps us 
 Hanging on to our dear lives 
 You killed the very thing that keeps us 
 Hanging on to our dear lives 
 You killed the very thing that keeps us 
 Hanging on to our dear lives, so 
 The answer's waiting content 
 (Look into your mind and guide) 
 Look into your mind and guide 
 Look into your mind and guide"
9,Incubus,rock,Psychopsilocybin,"Psychopsilocybin runnin' horny motherfucker 
 Trippin on his shoelace, searchin' for the hairy sucker 
 He dont need no funny money, his love is all his power 
 Half-naked and full witted and two weeks less a shower 
 Psilocybin, motherfucker 
 Psilocybin, oh 
 Wide eyes bow you 
 Psychopsilocybin 
 Psychopsilocybin 
 Psychopsilocybin 
 You'll see me, I'll be there 
 With my nose in the grass 
 One for me, one for you 
 Two for me, one for you 
 Three for me, one for you 
 End of the sack, now the fungis they are bloom, yeah 
 Cut, go 
 Yeah oh 
 All the colors, here, wow 
 Cut, go 
 Psychopsilocybin runnin' horny motherfucker 
 Trippin' on his shoelace, searchin' for the hairy sucker 
 He don't need no funny money, 'cause his love is all his power 
 Half-naked and full witted and two weeks less a shower 
 Who is in his sofa, back you tell him what's a locker 
 He is a psychopsilocybin, runnin' horny mutherfucker 
 Cut, go 
 Yeah oh 
 All the colors, here, wow 
 Cut, go 
 Psychopsilocybin 
 Psychopsilocybin 
 Psychopsilocybin 
 Awl"
