,0,1,2,3
0,Lorde,pop,Tennis Court,"Don't you think that it's boring how people talk? 
 Making smart with their words again, well, I'm bored 
 Because I'm doing this for the thrill of it, killin' it 
 Never not chasing a million things I want 
 And I am only as young as the minute is, full of it 
 Getting pumped up on the little bright things I bought 
 But I know they'll never own me (yeah) 
 Baby, be the class clown 
 I'll be the beauty queen in tears 
 It's a new art form showing people how little we care (yeah) 
 We're so happy, even when we're smilin' out of fear 
 Let's go down to the tennis court 
 And talk it up like yeah (yeah) 
 Pretty soon, I'll be getting on my first plane 
 I'll see the veins of my city like they do in space 
 But my head's filling up fast with the wicked games, up in flames 
 How can I fuck with the fun again, when I'm known? 
 And my boys trip me up with their heads again, lovin' them 
 Everything's cool when we're all in line for the throne 
 But I know it's not forever (yeah) 
 Baby, be the class clown 
 I'll be the beauty queen in tears 
 It's a new art form showing people how little we care (yeah) 
 We're so happy, even when we're smilin' out of fear 
 Let's go down to the tennis court 
 And talk it up like yeah (yeah) 
 It looked alright in the pictures (yeah) 
 Getting caught's half of the trip though, isn't it? (yeah) 
 I fall apart with all my heart (yeah) 
 And you could watch from your window (yeah) 
 And you can watch from your window 
 Baby, be the class clown 
 I'll be the beauty queen in tears 
 It's a new art form showing people how little we care (yeah) 
 We're so happy, even when we're smilin' out of fear 
 Let's go down to the tennis court 
 And talk it up like yeah (yeah) 
 And talk it up like yeah (yeah) 
 And talk it up like yeah (yeah) 
 Let's go down to the tennis court 
 And talk it up like yeah (yeah) 
 And talk it up like yeah (yeah) 
 And talk it up like yeah (yeah) 
 Let's go down to the tennis court 
 And talk it up like yeah (yeah)"
1,Lorde,pop,400 Lux,"We're never done with killing time 
 Can I kill it with you? 
 'Til the veins run red and blue 
 We come around here all the time 
 Got a lot to not do 
 Let me kill it with you 
 You pick me up and take me home again 
 Head out the window again 
 We're hollow like the bottles that we drain 
 You drape your wrists over the steering wheel 
 Pulses can drive from here 
 We might be hollow, but we're brave 
 (And I like you) 
 I love these roads where the houses don't change 
 (And I like you) 
 Where we can talk like there's something to say 
 (And I like you) 
 I'm glad that we stopped kissing the tar on the highway 
 (And I like you) 
 We move in the tree streets, I'd like it if you stayed 
 Now we're wearing long sleeves 
 And the heating comes on 
 (You buy me orange juice) 
 We're getting good at this 
 Dreams of clean teeth 
 I can tell that you're tired 
 But you keep the car on 
 While you're waiting out front 
 You pick me up and take me home again 
 Head out the window again 
 We're hollow like the bottles that we drain 
 You drape your wrists over the steering wheel 
 Pulses can drive from here 
 We might be hollow, but we're brave 
 (And I like you) 
 I love these roads where the houses don't change 
 (And I like you) 
 Where we can talk like there's something to say 
 (And I like you) 
 I'm glad that we stopped kissing the tar on the highway 
 (And I like you) 
 We move in the tree streets, I'd like it if you stayed 
 We're never done with killing time 
 Can I kill it with you? 
 'Til the veins run red and blue 
 We come around here all the time 
 Got a lot to not do 
 Let me kill it with you 
 (And I like you) 
 I love these roads where the houses don't change 
 (And I like you) 
 Where we can talk like there's something to say 
 (And I like you) 
 I'm glad that we stopped kissing the tar on the highway 
 (And I like you) 
 We move in the tree streets, I'd like it if you stayed 
 And I like you 
 And I like you 
 And I like you"
2,Lorde,pop,Royals,"I've never seen a diamond in the flesh 
 I cut my teeth on wedding rings in the movies 
 And I'm not proud of my address 
 In the torn-up town, no postcode envy 
 But every song's like 
 Gold teeth, Grey Goose, tripping in the bathroom 
 Bloodstains, ball gowns, trashing the hotel room 
 We don't care, we're driving Cadillacs in our dreams 
 But everybody's like 
 Cristal, Maybach, diamonds on your timepiece 
 Jet planes, islands, tigers on a gold leash 
 We don't care, we aren't caught up in your love affair 
 And we'll never be royals (Royals) 
 It don't run in our blood 
 That kind of luxe just ain't for us 
 We crave a different kind of buzz 
 Let me be your ruler (Ruler) 
 You can call me Queen Bee 
 And baby, I'll rule (I'll rule, I'll rule, I'll rule) 
 Let me live that fantasy 
 My friends and I, we've cracked the code 
 We count our dollars on the train to the party 
 And everyone who knows us knows 
 That we're fine with this, we didn't come from money 
 But every song's like 
 Gold teeth, Grey Goose, tripping in the bathroom 
 Bloodstains, ball gowns, trashing the hotel room 
 We don't care, we're driving Cadillacs in our dreams 
 But everybody's like 
 Cristal, Maybach, diamonds on your timepiece 
 Jet planes, islands, tigers on a gold leash 
 We don't care, we aren't caught up in your love affair 
 And we'll never be royals (Royals) 
 It don't run in our blood 
 That kind of luxe just ain't for us 
 We crave a different kind of buzz 
 Let me be your ruler (Ruler) 
 You can call me Queen Bee 
 And baby, I'll rule (I'll rule, I'll rule, I'll rule) 
 Let me live that fantasy 
 Oh, oh, oh 
 We're bigger than we ever dreamed 
 And I'm in love with being queen 
 Oh, oh, oh 
 Life is great without a care 
 We aren't caught up in your love affair 
 And we'll never be royals (Royals) 
 It don't run in our blood 
 That kind of luxe just ain't for us 
 We crave a different kind of buzz 
 Let me be your ruler (Ruler) 
 You can call me Queen Bee 
 And baby, I'll rule (I'll rule, I'll rule, I'll rule) 
 Let me live that fantasy"
3,Lorde,pop,Ribs,"The drink you spilt all over me 
 'Lover's Spit' left on repeat 
 My mum and dad let me stay home 
 It drives you crazy, getting old 
 We can talk it so good 
 We can make it so divine 
 We can talk it good 
 How you wish it would be all the time 
 The drink you spilt all over me 
 'Lover's Spit' left on repeat 
 My mum and dad let me stay home 
 It drives you crazy, getting old 
 The drink you spilt all over me 
 'Lover's Spit' left on repeat 
 My mum and dad let me stay home 
 It drives you crazy, getting old 
 This dream isn't feeling sweet 
 We're reeling through the midnight streets 
 And I've never felt more alone 
 It feels so scary, getting old 
 We can talk it so good 
 We can make it so divine 
 We can talk it good 
 How you wish it would be all the time 
 This dream isn't feeling sweet 
 We're reeling through the midnight streets 
 And I've never felt more alone 
 It feels so scary, getting old 
 This dream isn't feeling sweet 
 We're reeling through the midnight streets 
 And I've never felt more alone 
 It feels so scary, getting old 
 I want 'em back, I want 'em back 
 The minds we had, the minds we had 
 How all the thoughts, how all the thoughts 
 Moved 'round our heads, moved 'round our heads 
 I want 'em back, I want 'em back 
 The minds we had, the minds we had 
 It's not enough to feel the lack 
 I want 'em back, I want 'em back, I want 'em 
 You're the only friend I need 
 (You're the only friend I need) 
 Sharing beds like little kids 
 (Sharing beds like little kids) 
 And laughing 'til our ribs get tough 
 (And laughing 'til our ribs get tough) 
 But that will never be enough 
 (But that will never be enough) 
 You're the only friend I need 
 (You're the only friend I need) 
 Sharing beds like little kids 
 (Sharing beds like little kids) 
 And laughing 'til our ribs get tough 
 (And laughing 'til our ribs get tough) 
 But that will never be enough 
 (But that will never be enough) 
 (But that will never be enough) 
 (But that will never be enough) 
 (But that will never be enough) 
 (But that will never be enough)"
4,Lorde,pop,Buzzcut Season,"I remember when your head caught flame 
 It kissed your scalp and caressed your brain 
 (I remember when your head caught flame) 
 Well you laughed, baby it's okay 
 It's buzzcut season anyway 
 (Well you laughed, baby it's okay) 
 Explosions on TV 
 And all the girls with heads inside a dream 
 So now we live beside the pool 
 Where everything is good 
 We ride the bus with the knees pulled in 
 People should see how we're living 
 (We ride the bus with the knees pulled in) 
 Shut my eyes to the song that plays 
 Sometimes this has a hot sweet taste 
 (Shut my eyes to the song that plays) 
 The men up on the news 
 They try to tell us all that we will lose 
 But it's so easy in this blue 
 Where everything is good 
 And I'll never go home again 
 Place the call, feel it start 
 Favourite friend 
 And nothing's wrong when nothing's true 
 I live in a hologram with you 
 Where all the things that we do for fun 
 And I'll breathe, and it goes 
 Play along 
 Make believe it's hyper-real 
 But I live in a hologram with you 
 Cola with the burnt out taste 
 I'm the one you tell your fears to 
 There'll never be enough of us 
 Explosions on TV 
 And all the girls with heads inside a dream 
 So now we live beside the pool 
 Where everything is good 
 And I'll never go home again 
 Place the call, feel it start 
 Favourite friend 
 And nothing's wrong when nothing's true 
 I live in a hologram with you 
 Where all the things that we do for fun 
 And I'll breathe, and it goes 
 Play along 
 Make believe it's hyper-real 
 But I live in a hologram with you"
5,Lorde,pop,Team,"Wait till you're announced 
 We've not yet lost all our graces 
 The hounds will stay in chains 
 Look upon your greatness 
 And she'll send the call out, send the call out 
 Send the call out, send the call out 
 Send the call out, send the call out 
 Send the call out, send the call out 
 Send the call out, send the call out 
 Send the call out, send the call out 
 Send the call out, send the call out 
 Send the call out, send the call out 
 Call all the ladies out 
 They're in their finery 
 A hundred jewels on throats 
 A hundred jewels between teeth 
 Now bring my boys in 
 Their skin in craters like the moon 
 The moon we love like a brother 
 While he glows through the room 
 Dancin' around the lies we tell 
 Dancin' around big eyes as well, ah 
 Even the comatose 
 They don't dance and tell 
 We live in cities you'll never see on screen 
 Not very pretty, but we sure know how to run things 
 Living in ruins of the palace within my dreams 
 And you know, we're on each other's team 
 I'm kind of over getting told 
 To throw my hands up in the air 
 So there 
 So all the cups got broke 
 Shards beneath our feet 
 But it wasn't my fault 
 And everyone's competing 
 For a love they won't receive 
 'Cause what this palace wants is release 
 We live in cities you'll never see on screen 
 Not very pretty, but we sure know how to run things 
 Living in ruins of the palace within my dreams 
 And you know, we're on each other's team 
 I'm kind of over getting told 
 To throw my hands up in the air 
 So there 
 I'm kinda older than I was 
 When I revelled without a care 
 So there 
 We live in cities you'll never see on screen 
 Not very pretty, but we sure know how to run things 
 Living in ruins of the palace within my dreams 
 And you know, we're on each other's team 
 We're on each other's team 
 And you know, we're on each other's team 
 We're on each other's team 
 And you know, and you know, and you know"
6,Lorde,pop,Glory And Gore,"There's a humming in the restless summer air 
 And we're slipping off the course that we prepared 
 But in all chaos, there is calculation 
 Dropping glasses just to hear them break 
 You've been drinking like the world was gonna end (It didn't) 
 Took a shiner from the fist of your best friend (Go figure) 
 It's clear that someone's gotta go 
 We mean it, but I promise we're not mean 
 And the cry goes out (Haahaah) 
 They lose their minds for us 
 And how it plays out (Haahaah) 
 And now we're in the ring 
 And we're coming for blood 
 Oh oh, you could try and take us 
 Oh oh, but we're the gladiators 
 Oh oh, everyone a rager 
 Oh oh, but secretly, they're saviours 
 Glory and gore go hand in hand 
 That's why we're making headlines 
 Oh oh, you could try and take us 
 Oh oh, but victory's contagious 
 Delicate in every way but one (The swordplay) 
 God knows we like archaic kinds of fun (The old ways) 
 Chance is the only game I play with, baby 
 We let our battles choose us 
 And the cry goes out (Haahaah) 
 They lose their minds for us 
 And how it plays out (Haahaah) 
 And now we're in the ring 
 And we're coming for blood 
 Oh oh, you could try and take us 
 Oh oh, but we're the gladiators 
 Oh oh, everyone a rager 
 Oh oh, but secretly, they're saviours 
 Glory and gore go hand in hand 
 That's why we're making headlines 
 Oh oh, you could try and take us 
 Oh oh, but victory's contagious 
 No-one 'round here's good 
 At keeping their eyes closed 
 The sun's starting to light up 
 When we're walking home 
 Tired little laughs, gold-lie promises 
 We'll always win at this 
 I don't ever think about death 
 It's alright if you do, it's fine 
 We gladiate but I guess 
 We're really fighting ourselves 
 Roughing up our minds so we're ready 
 When the kill time comes 
 Wide awake in bed 
 Words in my brain 
 Secretly you love this 
 Do you even wanna go free? 
 Let me in the ring 
 I'll show you what that big word means 
 Oh oh, you could try and take us 
 Oh oh, but we're the gladiators 
 Oh oh, everyone a rager 
 Oh oh, but secretly, they're saviours 
 Glory and gore go hand in hand 
 That's why we're making headlines 
 Oh oh, you could try and take us 
 Oh oh, but victory's contagious"
7,Lorde,pop,Still Sane,"Today is my birthday and I'm riding high 
 Hair is dripping, hiding that I'm terrified 
 But this is summer, playing dumber than in fall 
 Everything I say falls right back into everything 
 I'm not, in the swing of things 
 But what I really mean is 
 Not in the swing of things yet 
 Riding around on the bikes, we're still sane 
 I won't be her, tripping over onstage 
 Hey, it's all cool 
 I still like hotels but I think that'll change 
 Still like hotels and my newfound fame 
 Hey, promise I can stay good 
 (Everything feels right) 
 I'm little, but I'm coming for the crown 
 I'm little, but I'm coming for you 
 (Chase paper, get by) 
 I'm little but I'm coming for the title 
 Held by everyone who's up 
 All work and no play 
 Never made me lose it 
 All business, all day 
 Keeps me up a level 
 All work and no play 
 Keeps me on the new shit, yeah 
 All work and no play 
 Let me count the bruises 
 All business, all day 
 Keeps me up a level 
 All work and no play 
 Lonely on that new shit, yeah, yeah 
 Only bad people live to see 
 Their likeness set in stone 
 Only bad people live to see 
 Their likeness set in stone 
 What does that make me? 
 I'm not in the swing of things 
 But what I really mean is 
 Not in the swing of things yet 
 Now, I'm not in the swing of things 
 But what I really mean is 
 Not in the swing of things yet 
 All work and no play 
 Never made me lose it 
 All business, all day 
 Keeps me up a level 
 All work and no play 
 Keeps me on the new shit, yeah"
8,Lorde,pop,White Teeth Teens,"We wouldn't be seen dead here in the day 
 I guess you're lucky that it's dark now 
 And if I like it, then we'll stay 
 Impress the empress, take a shot now 
 We got the glow in our mouths 
 White teeth teens are out 
 White teeth teens are 
 Up for it 
 I know you love it when the hairpins start to drop 
 I like your reckoning 
 But we got our methods and there's nothing here to stop 
 To stop this 
 If you want, we'll help tonight to split its seams 
 Give the bruises out like gifts 
 You'll get the picture of your dreams 
 I won't be smiling but the notes from my admirers 
 Fill the dashboard just the same ah, a ah 
 We got the glow in our mouths 
 White teeth teens are out 
 White teeth teens are 
 Up for it 
 I know you love it when the hairpins start to drop 
 I like your reckoning 
 But we got our methods and there's nothing here to stop 
 To stop this, when we're 
 Up for it 
 I know you love it when the hairpins start to drop 
 I like your reckoning 
 But we got our methods and there's nothing here to stop 
 To stop this 
 (And everything works out so good) 
 (I wear the robe like no one could) 
 (Everything works out so good) 
 I'll let you in on something big 
 (I wear the robe like no one could) 
 I am not a white teeth teen 
 (Everything works out so good) 
 I tried to join but never did 
 (I wear the robe like no one could) 
 The way they are, the way they seem 
 (Everything works out so good) 
 Is something else, it's in the blood 
 (I wear the robe like no one could) 
 Their molars blinking like the lights 
 (Everything works out so good) 
 In the underpass where we all sit 
 (I wear the robe like no one could) 
 And do nothing and love it 
 (Everything works out so good) 
 (I wear the robe like no one could) 
 (Everything works out so good) 
 (I wear the robe like no one could) 
 We got the glow in our mouths 
 (Everything works out so good) 
 (I wear the robe like no one could) 
 White teeth teens are out 
 (Everything works out so good) 
 (I wear the robe like no one could) 
 White teeth teens are out"
9,Lorde,pop,A World Alone,"That slow burn wait, while it gets dark 
 Bruising the sun 
 I feel grown up with you in your car 
 I know it's dumb 
 We've both got a million bad habits to kick 
 Not sleeping is one 
 We're biting our nails, you're biting my lip 
 I'm biting my tongue 
 When people are talking, people are talking 
 When people are talking, people are talking 
 Raise a glass, 'cause I'm not done saying it 
 They all wanna get rough, get away with it 
 Let 'em talk 'cause we're dancing in this world alone 
 We're all alone, we're alone 
 All my fake friends and all of their noise 
 Complain about work 
 They're studying business, I study the floor 
 And you haven't stopped smoking all night 
 Maybe the Internet raised us 
 Or maybe people are jerks 
 When people are talking, people are talking (But not you) 
 When people are talking, people are talking 
 Raise a glass, 'cause I'm not done saying it 
 They all wanna get rough, get away with it 
 Let 'em talk 'cause we're dancing in this world alone 
 We're all alone, we're alone 
 All the double-edged people and schemes 
 They make a mess, then go home and get clean 
 You're my best friend, and we're dancing in a world alone 
 We're all alone, we're all alone 
 I know we're not everlasting 
 We're a trainwreck waiting to happen 
 One day the blood won't flow so gladly 
 One day we'll all get still 
 (When people are talking, people are talking) 
 (When people are talking, people are talking) 
 Get still 
 When people are talking, people are talking 
 When people are talking, people are talking 
 Raise a glass, 'cause I'm not done saying it 
 They all wanna get rough, get away with it 
 Let 'em talk 'cause we're dancing in this world alone 
 We're all alone, we're alone 
 All the double-edged people and schemes 
 (When people are talking, people are talking) 
 They make a mess, then go home and get clean 
 (When people are talking, people are talking) 
 You're my best friend, so we're dancing in a world alone 
 (When people are talking, people are talking) 
 We're all alone, we're alone 
 (When people are talking, people are talking) 
 When people are talking, people are talking 
 When people are talking, people are talking 
 When people are talking, people are talking 
 When people are talking, people are talking 
 Let 'em talk"
