,0,1,2,3
0,Method Man,hiphop,Tical,"*Sounds of fighting* 
 ""You've been lucky... I wish I got you last time. 
 En garde, I'll let you try my Wu-Tang style."" 
 ""I'd like to try your Wu-Tang style, let's begin then!"" 
 Intro: Method (and others) 
 From the tip top? 
 (Aiyyo aiyyo, what the fuck's up with light dude?) 
 Yup 
 One two (no doubt, no doubt) 
 One two one two 
 Yo one two, uh, one two one two (yeah, we gon' be up in that) 
 Ah one two, uh, one two one two (yeah light that shit up) 
 Ah one two yo, check me out 
 What's that shit that they be smokin'? Tical... tical, tical 
 Pass it over here... tical... tical, tical 
 What's that shit the niggaz smokin'? Tical... tical, tical 
 Pass it over here... tical... tical, tical 
 Verse One: 
 Check it, I got styles, all of 'em sick 
 Niggaz ain't fit to walk a mile in the dead man's kicks 
 I make 'em shit about a pile, of bricks to show 
 He ain't nuttin but another, a lone John Doe 
 That wanna flow, here it is, comin' up shit's creek 
 I come to throw monkey wrenches in your program, sleep 
 And I'ma grow, like a rash on ya nasty ass 
 In a whip, with no breaks and I'm hittin the gas 
 It's a bird, it's a plane, take a look in the sky 
 Method Man on some shit, niggaz call me The Fly 
 Cause my style, dates back to hoppin turnstyles 
 Make ya fear, if ya cutie in the chair, you can bet I'll 
 Get severe on the double I harass it 
 I don't look for trouble, I'm already trouble 
 Ya bastard, check the wicked flows that I crafted 
 Open up a deadly venom style to be mastered 
 By a psychopathic, way beyond an average 
 Joe, with a hellafied flow, there ya have it 
 One two, uh, one two one two 
 One two, uh, one two one two 
 One two, uh, one two one two 
 Check it out 
 Verse Two: 
 What goes off? What goes on? The Meth shit 
 That we got is to stay high, no question 
 Lethal weapon, ain't no time for half steppin 
 When brothers start wettin everything in ya section 
 Move that, niggaz came strapped, shoulda knew that 
 Do dat, pussy cat rap, boy, I'll screw that 
 To' up, from the flow up, don't even show up 
 To the battle, I heard you rattle now hold up 
 Is there a fuckin' snake in my garden? 
 Starvin, for a rap treat, steppin on my feet 
 Pardon yo delf, before ya find yo delf 
 In a FUCKED UP situation, without no help 
 I'm not playin', 'cause I don't play with nobody 
 God damn kid, know what I'm sayin', I'm peelin niggas wigs 
 I be sprayin, brother with words 
 'Cause I got a spit PRAAA-BLEM 
 One two uh, one two one two 
 One two uh... (stick a fat tical in your butt, yeah baby fuckin' with tical) 
 (Yeah niggaz better recognize... tical...)"
1,Method Man,hiphop,Biscuits,"What? What you want? 
 Represent represent represent 
 Yeah, represent, check it out check it out 
 Yo mama don't wear no drawers! 
 I saw her when she took them off! 
 Standin on the welfare line, eatin swine 
 Tryin' to look fine, with her stank behind 
 You can ask the bitch and she'll tell ya fast 
 Meth-Tical got STYLE with his nasty ass 
 Verse One: 
 Are you ready, to face the consenquences and suffer? 
 I even tell ya momma you ain't shit, motherfucker 
 Bring it, and let that killer bee kid sting it 
 And rep-resent, it's like heads up a brick, when I'm swing it 
 Get lost, I break you off something 
 I'm pumpin, like a Reebok, with a pump, from the jump and 
 You was nothin' 
 Bet ya thought ya fuckin' clan had ya fuckin' back but they was frontin 
 Smokin' dirt blunts and fuckin' nasty stunts and 
 Ya take the naked gun without the bullet, what ya bustin' 
 Get ya ship sunken, fuckin' with a drunken 
 Master disaster at enemy rap functions 
 Huh, just an echo 
 Yoo-hoo ripin-ripin in the valley 
 Yoo-hoo ripin-ripin so to bring back 
 Sweet memories of you 
 And you can even ask your crew 
 Betcha bottom dollar that they tell ya fast 
 Meth-Tical got STYLE with his nasty ass 
 Verse Two: 
 Who said the Wu-Tang Clan? Was it you or your man? 
 You wanna point the finger, I'll bring ya 
 36 chambers, be out, youze in danger 
 Let me pull ya brain outcha ass with a hanger 
 Didn't momma not tell ya not to talk to a stranger 
 Now ya got ya neck, in the noose, of the strangler 
 Just recline, keep the Meth in mind 
 I'll even test the knuckle check on the hands of time 
 What? And I'll be more than glad to bust that ass 
 All up and down the block, the street, the isle 
 Whatever, smokin' on a Spike Lee joint 
 Hey I'm Mo' Better, I'm hopin niggaz get the point 
 'Cause they coul never, stop the veteran, word to God 
 When I'm severin the HEAD of a mental vegetarian 
 The Method, at the weekend, with a whole lot of credit 
 The cuties I desire, I be the first to set it 
 Off, flame on like the Human Torch 
 Fantastic Four for all the fans in the store 
 You can eat it all and it'll tell ya fast 
 Meth-Tical got STYLE for ya nasty ass 
 94 baby, word up, recognize, recognize 
 Wu-Tang killer bee 
 The RZA and the Method MZA 
 Raider Ruckus, where you at?"
2,Method Man,hiphop,Bring The Pain,"Basically, can't fuck with me 
 Verse One: 
 I came to bring the pain hardcore from the brain 
 Let's go inside my astral plane 
 Records hey, so I can write monumental 
 Methods, I'm not the King 
 But niggaz is decaf I stick 'em for the CREAM 
 Check it, just how deep can shit get 
 Deep as the abyss and brothers is mad fish accept it 
 In your Cross Colour, clothes you've crossed over 
 Then got Totally Krossed Out and Kris Kross 
 Who da boss? Niggaz get tossed to the side 
 And I'm the dark side of the Force 
 Of course it's the Method, Man from the Wu-Tang Clan 
 I be hectic, and comin' for the head piece protect it 
 Fuck it, two tears in a bucket, niggaz want the ruckus 
 Bustin' at me bruh, now bust it 
 Styles, I gets buckwild 
 Method Man on some shit, pullin niggaz files 
 I'm sick, insane, crazy, Drivin' Miss Daisy 
 Out her fuckin' mind now I got mine I'm Swayze 
 Is it real son, is it really real son 
 Let me know it's real son, if it's really real 
 Something I could feel son, load it up and kill one 
 Want it raw deal son, if it's really real 
 Interlude: Booster 
 And when I was a lil stereo (stereo) 
 I listened to some champion (champion) 
 I always wondered (wondered) 
 Will now I be the numba one? (Tical! hahaha) 
 Now you listen to de gargon (Gargon!) 
 And de gargon summary 
 And any man dat come test me (test me) 
 Me gwanna lick out dem brains (it's like that) 
 Verse Two: 
 Brothers want to hang with the Meth bring the rope 
 The only way you hang is by the neck nigga poke 
 Off the set comin' to your projects 
 Take it as a threat, better yet it's a promise 
 Comin' from a vet on some old Vietnam shit 
 Nigga you can bet your bottom dollar hey I bomb shit 
 And it's gonna get even worse word to God 
 It's the Wu comin' through sickin niggaz for they garments 
 Movin on your left, southpaw 'em it's the Meth 
 Came to represent and carve my name in your chest 
 You can come test realize you're no contest 
 Son I'm the gun that won that old Wild West 
 Quick on the draw with my hands on the four 
 Nine three eleven with the rugged rhymes galore 
 Check it 'cause I think not when this hip-hops like proper 
 Rhymes be the proof while I'm drinkin' 90 proof 
 Huh vodka, no OJ, no straw 
 When you give it to me aiy, give it to me raw 
 I've learned when you drink Absolut straight it burns 
 Enough to give my chest hairs a perm 
 I don't need a chemical blow to pull a hoe 
 All I need is Chemical Bank to pay da mo' 
 What, basically that, Meth-Tical, ninety-four style 
 Word up we be hazardous *car crashing* *horn passing me* 
 Northern spicy brown mustard hoes 
 We have to stick you 
 *Horn sound of car racing by* 
 I'll fuckin', I'll fuckin' cut your kneecaps off 
 And make you kneel in some staircase piss 
 I'll fuckin', cut your eyelids off 
 And feed you nothin' but sleepin' pills 
 You motherfuckers 
 (So???) So fuck the hoe 
 Fuck the hoe 
 (Look at this nigga, this motherfuckin...)"
3,Method Man,hiphop,All I Need,"You're all that I need, I'll be there for you 
 If you keep it real with me, I'll keep it real witchu 
 Loving your whole schemes, it be in there boo 
 On top of that you got the good power-U 
 Verse One: 
 Check it out 
 Shorty I'm there for you anytime you need me 
 For real girl, it's me in your world, believe me 
 Nuttin make a man feel better than a woman 
 Queen with a crown that be down for whatever 
 There are few things that's forever, my lady 
 We can make war or make babies 
 Back when I was nuttin 
 You made a brother feel like he was something 
 That's why I'm with you to this day boo no frontin 
 Even when the skies were gray 
 You would rub me on my back and say ""Baby it'll be okay"" 
 Now that's real to a brother like me baby 
 Never ever give my pussy away and keep it tight aight 
 And I'ma walk these dogs so we can live 
 In a fat ass crib with thousands of kids 
 Word life you don't need a ring to be my wife 
 Just be there for me I'm a make sure we 
 Be livin' in the fucking lap of luxury 
 I'm realizing that cha didn't have to fuck with me 
 But cha did now I'm going all out kid 
 And I got mad love to give, you my nigga 
 Verse Two: 
 I got a love jonz for your body and your skin tone 
 Five minutes alone I'm already on the bone 
 Plus I love the fact you got a mind of your own 
 No need to shop around you got the good shit at home 
 Even if I'm locked up North you in the world 
 Rockin' three-fourths of cloth never showin your stuff off, boo 
 It be true me for you that's how it is 
 I can be your Noah you can be my Wiz 
 Then I can be your Sun, you can be my Earth 
 Resurrect the God through birth 
 Best believe"
4,Method Man,hiphop,What The Blood Clot,"(Intro: RZA, (Method Man), {Y-Kim}) 
 Shit is bangin'! You see what I'm sayin'? Our shit is bangin'! 
 (Our shit is stainin, son) Yo, Shaolin runnin' this shit, son! 
 Runnin' this shit! (Stainin) What's up, Y-Kim? 'Sup, nigga? 
 {What's up, man? What's up?} What's up? Representin Brownsville 
 Know I'm sayin'? Base, peace to all my Brownsville niggaz! 
 {The alcoholics son} What's goin' on, son? 
 Peace to all my Putnam Avenue motherfuckers! Bedford-stuy! 
 (Yeah, peace to the valley goat..) 
 Peace to my Wild Wild West Brighton niggaz! 
 (Big up The Bridge!) 
 (Method Man) 
 All I hear is gun shots 
 Can I touch somethin'? What the Blood Clot!?! 
 Nigga want Tical, make it happen 
 You know my fuckin' style, fuck the rappin'! 
 We can take it back to eighty-five 
 If you wanna start actin' like you live 
 It's all good, I'm rollin' with my click 
 Owls, Backwoods and Phillies 
 Smokin' cess blunts, mixed with illy 
 Got me flusted, now the whole world looks dusted 
 I'm in the area with the skill that never rusted (What?) 
 For real, nigga, touch it and you burn 
 When will motherfuckers learn? 
 What be spreadin like a germ? Haha, it's Meth, word 
 I be that early bird that got the worm and if you check it 
 I'm on point, like a fax machine you get the message 
 It's be no question it's them, bust the second guessin's 
 Keep your thoughts on your lessons 
 What the Blood Clot!?! 
 To tell the truth, you don't amaze me 
 Killa Hill Project, a Star Trek phaser couldn't phase me 
 What? Check the Raider Ruckus, fuck this 
 Smoke a Dutchmaster, have 'em screamin for the dutchess 
 Yeah, I gotta have it, so I strive to stack my papes 
 If I don't do it for mydelf, I'ma do it for Case 
 'Cause that's my peoples, we givin' you injections that be Lethal 
 Weapons, when niggaz start the half steppin 
 Then I get evil 
 But don't let that negative vibe right there mislead you 
 I'm humble, a fuckin' Killa Bee, far from bumble 
 I sting you *BZZZT* and I bring you 
 Thirty-six Chambers of head banger, bitch 
 Why I deal with? I think the mic's on the fritz 
 Faggot soundmen, they be sabotagin shit! 
 Look up in the sky, it's a bird, it's a plane... 
 Meth-Tical, let the whole world know my fuckin' name 
 What the Blood Clot!?! 
 (Outro: Method Man, (RZA)) 
 Yeah, yeah, you know what I'm sayin'? (Yeah, what? What!?!) 
 First of all I'd like to give a big peace and shout out 
 To my brothers in the belly of the beast 
 Raider Ruckus, y'all got my back and one love 
 (Y'all niggaz better start stackin) 
 June Lover, Shitty Brown (Y'all niggaz better get real) 
 Pussin, Pil, P.L.O., Stack DAT, Dusty, Storm 
 (All my real ass niggaz get down, to all my niggaz locked down) 
 SUUU! We still in here, nigga 
 (Y'all gotta party, locked down in the street, nigga) 
 Jamel, one love, nigga, Nice, Uncle Eric AKA Shane 
 (You get your ass beat in the streets) 
 I ain't forget you, nigga, Shakim, nuttin 
 Big Sha, K. Fisk, Big Free from Cipher Heat 
 For all the fugitives on the run 
 Everybody from Riker's Island to San Quintan 
 And a big major shout out to my old dad who just got home 
 On work release, keep your heads up niggaz 
 Oh my God (You what I'm sayin'? Peace to the Gods) 
 Here we go, here we go, here we go 
 (You see that, nigga, fuckin' Dirty Bastard? 
 That nigga is fuckin' crazy!)"
5,Method Man,hiphop,Meth Vs. Chef,"(Kung Fu Sample) 
 Duel, worthy of a general 
 If you want to fight, fight with me! 
 One to one! Man to man! 
 (Intro: Lounge Lo, (Raekwon)) 
 Get ready to gel team! 
 Live and direct from the one-six-ooh 
 We got Tical, pow! Raekwon the Chef, Tical! 
 It's about to go on, Tical! 
 You make the call, I make the call! 
 It's all for all 
 Method Man, Raekwon the Chef 
 (Count my shells) 
 And there's about to be one left 
 (Count my shells, nigga) 
 I know you know it's on kid 
 (Bring that shit I don't give a fuck!) 
 *Bell rings* 
 (Method Man, (Raekwon)) 
 Who lit that shit it was I the chinky-eye 
 Cheeba-hawk from New York, Tical Staten Isle 
 Niggaz thought, that they could walk a dog but they caught 
 A bad situation, 'cause I'm a sandwich short 
 Of a picnic, cause you ain't equipped with the sickening 
 Style, blowing up the spot like ballistic 
 Missiles, I be comin' through like the four-nine-three-eleven 
 Tearing up the power-u, Me-Tical 
 A bad motherfucking Buddha Monk, what the fuck 
 Hit your chest, like cardiac arrest, blow the front 
 Out the frame, hit the pussycat for the pain 
 Of the dog shit, nobody move run your garments 
 A rugged vet, terrible like a Champion sweat 
 Wrap a power in a tec, to wet 
 A nigga up, with all the dangerous diseases 
 Sniffling sneezing coughing aching stuffy head fever 
 Fucker, I think it's bout time that you suffer 
 Bobbing on my nob like an all day sucker 
 *Bell rings* Bitch! 
 Meth Vs. Chef 
 (It's my turn) Meth Vs. Chef 
 (Yo let's bring that shit baby) Meth Vs. Chef 
 (Yo, yeah, one more time nigga) Meth Vs. Chef 
 (Callin me out, it's goin' off) I blow your fuckin' ass to death 
 *Bell rings* 
 (Raekwon) 
 I'm going all out kid no turnbacks 
 You could try to front, get smoked and that's that 
 Lyric assassin, dressed in black bugging 
 Sixteen shots to your mug, from a slug then 
 I go to war in a concrete jungle, make the punt 
 Cause niggaz act funny, and fumble 
 But I relax, count my shells, a lot of heads gotta fly 
 Niggaz stay strapped, armed to die 
 Time for jet-black Tim boot, flowing 
 Wha-Su God get him, hit 'em with the nine troop 
 No question, cha-cha-BLOW in the session 
 Bloodshot in that direction, cypher 
 *Bell rings* 
 Attack you like chess moves best move 
 Yo, yeah, yo 
 The boards, your ass 
 'Tack, 'tack, 'tack, uH! *bell rings* 
 'Tack the boards like chess moves best move 
 At Rae through, comin' at your motherfuckin crew 
 Live direct, yeah you better step 
 Gunshots ring on the set, let's jet 
 Motivate, to the gate 
 With some quick high Rae stay fly, and rob your Isle 
 Airwaves, yo behave 
 Now you're a slave with the boots that paved the way 
 *Bell rings three times* 
 Ah shit! 
 Chef Vs. Meth Vs. Meth"
6,Method Man,hiphop,Sub Crazy,"Intro/Chorus: 
 We can all get by if we want now 
 Get a phat piece of the pie if we want 
 Motherfuckers getting mad high when they want now 
 I will survive, recognize it be Tical 
 Verse One: 
 Word up, our niggas is strapped, ready for war on the ill block 
 Things just ain't peace no more, fuck it 
 If you ain't with me then forget me 
 Niggas try to stick me, retaliation, no hesitation, shifty 
 Creeping niggas in the dark, triggers with no heart 
 Ripping ass apart, I'll be swimming with the sharks now 
 Stay out my water or it's manslaughter 
 Kid, you oughta start reaching for that nickel-plated auto- 
 Matic, my thoughts get sporadic, loaded raps 
 Busting mad shots to ya attic 
 They say this hazard, this flows a hazard 
 Straight from Hazard County with a bounty on his head, and it said 
 ""Wanted Dead or Alive,"" I swear by the whites of they eyes 
 To never take a dive I will survive 
 Verse Two: 
 Shit's gonna happen if niggas start acting 
 Like they want problems, you want em, you got em 
 Rap contact, is writing this exactly, 
 The way it should be, attacked 
 Killer Beeeees on a swarm 
 Shit like Martial Law drops bombs like Qur'an 
 The ism helps to stimulate my pugilism 
 I bust rhymes like jizm, impregnate the rhythm with the wisdom 
 Decipher the stee, I be hyper, I bring all the styles 
 That rekindle like old flames 
 Saliva, check the wicked flows I deliver 
 Oops, I mean deliver like the Hudson River 
 Styles be tight, trite like a thief in the night 
 I be the sneaky-ass nigga busting nuts in yo wife 
 Blasted, bugging off Bacardi and acid 
 Flipping on the mic, it's a classic"
7,Method Man,hiphop,Release Yo' Delf,"Blue Raspberry: 
 When I first stepped on the scene, niggaz was petrified 
 Jet back to the lab, like they were being chased by homicide 
 My rap flow does you like Tical, and it will never steer you wrong 
 And all you bitch-ass niggaz in the industry, your careers won't be lasting long 
 When I first stepped on the scene, niggaz was petrified 
 Jet back to the lab, like they were being chased by homicide 
 My rap flow does you like Tical, and it will never steer you wrong 
 And all you bitch-ass niggaz in the industry, your careers won't be lasting long 
 Method Man: 
 Check it, I'm the fucking man who they mention 
 Notice, that other niggaz rap styles is bogus 
 Doo-doo, prepare for this verse Tical voodoo 
 Blazing, the stuff that ignites stimulation 
 Inside ya, 'cause I be that house over water 
 Forgot in the realm that be deep as the Poseidon 
 Adventure, niggaz need to touch they freaking picture 
 For the sickness, that be spreading with the quickness 
 Remedies, cousin I be doing on my enemies 
 Penalty, then I drink forties to they memories 
 Emotion, rushing through your down street vicinity 
 Blunt smoke, in the air reveals my identity 
 (Tical... tical... ti-cal, ti-cal...) 
 As I keep it movin, we keep it movin uh 
 Keep it movin and keep it movin uh 
 Keep it movin, baby, we be movin uh 
 Keep it movin, we keep it huh RHARHHH 
 What's that rhythm what's that sound 
 Party people getting down 
 When it hit the baddest man 
 Just release, yo delf! 
 My God, somebody said it's on, if it is then I'll be set 
 To blow a nigga up, with my Five Fingers of Death 
 I bring it to his whole damn fam, understand 
 If he fronting, on any man down with the Clan 
 I be coming, for the headpiece you can't cope for my brother, 
 I bring it to the Pope, word to mother 
 Serial, killer, style from Big Isle No Stat, 
 My peoples are you with me where you at? 
 Shit's getting deep in here, I mean like thick 
 Niggaz looking all in my face like they want dick 
 It's about to hit the fan, hit the flo' 
 That's all I can stands and I can't stands no mo' 
 What is it? Niggaz think they bigger 
 Because they got the finger on the trigger of a pistol 
 They don't know I'm wicked, when I start to kick it 
 With the raw sound, wash it down with a Mystic 
 Then I add a snapple, nigga want the juice but he don't want the hassle 
 Then we try to overthrow the castle 
 Better yet the tent when I'm coming to your town 
 Black man, the rental, God, the pistol 
 YAH! If you don't want a burn from GLOCK then beware, 
 I buck shots, we move up, the buck stops here 
 No more dough will be made 
 Unless it's being made by hoes 
 What's that rhythm what's that sound 
 Party people getting down 
 When it hit the baddest man 
 Just breathe in, till then 
 And keep it moving, baby keep it moving 
 I plan to keep it moving, you know we keep it movin uh 
 And keep it moving, baby we be moving uh 
 And keep it moving, you know we keep it moving uh 
 And keep it moving, you know we keep it moving 
 Baby we be moving, you know we keep it moo... RARHRAH 
 Blue Raspberry: 
 When I first stepped on the scene, niggaz was petrified 
 Jet back to the lab, like they were being chased by homicide 
 My rap flow does you like Tical, and it will never steer you wrong 
 And all you bitch-ass niggaz in the industry, your careers won't be lasting long 
 Method Man: 
 Throw your hands in the sky 
 And wave 'em from side to side 
 And if you're ready to spark up the Meth-Tical 
 Let me hear you say stimuli 
 Blue Raspberry: 
 When I first stepped on the scene, niggaz was petrified 
 Jet back to the lab, like they were being chased by homicide 
 My rap flow does you like Tical, and it will never steer you wrong 
 And all you bitch-ass niggaz in the industry, your careers won't be lasting long"
8,Method Man,hiphop,P.L.O. Style,"P.L.O. style, Buddha monks with the Owls 
 P.L.O. style, Buddha monks with the Owls 
 P.L.O. style, Buddha monks with the Owls 
 P.L.O. style... 
 Verse One: Method Man 
 Here comes the ruckus, the motherfucking ruckus 
 Thousands of cut-throats and crumb-snatching fuckers 
 Straight from the brain, I'll be givin' you the pain, anger 
 Coming from the 36th Chamber, Bang! 
 Tical, hitting with the Buddha-Fist style 
 Shotgun slamming in your chest piece, plow! 
 Brain, is blown all over the terrain 
 Like a man without no arms you can't hang 
 Time for a change of the guard 
 You've been arrested for lyric fraud now you barred 
 For real, check it, I pull strings like B.B. King on guitar 
 I'm the true fist of the North Star! 
 Verse Two: Carlton Fisk, Method Man 
 Ooh! What a tangled web we weave 
 When first we practice to deceive 
 Guns be clicking, running with my clan we be sticking 
 Whatever, my street family stays together 
 Represent what I invent, Killah Hill 
 Resident, rest in peace to my nigga Two Cent 
 The street life is the only life I know 
 I live by the code style it's mad P.L.O... 
 Iranian thoughts are covered like an Arabian 
 Grab the nigga who on the spot and put a nine to his cranium 
 I... can't... get no satisfaction, niggas won't be lasting 
 Long, unless they get protection, for real 
 Strong, coming with my clan so what's happening 
 Commercial rap, hate it with a passion 
 The M-E-T-H-O-D got me drinking O.E. all night in a M.P.V. 
 Just maxing, looking for hoes, you know relaxing 
 Bitches know the hour it be time for some action 
 P.L.O., peace to that nigga Barryano 
 Word up, let's take him to the bridge, Verrazano"
9,Method Man,hiphop,I Get My Thang In Action,"Good... Wu-Tang martial expert 
 There's not many, who can match up with him 
 He'll give you a heart condition if ya fuck around like that there 
 Tell you it ain't no good for the bloodstream 
 You know god damn whatever and uh 
 It's dumb and big - it's DUMB and BIG 
 Mira, Meth-Tical coming through with the suu 
 Check it out 
 Niggaz wanna test my steez, nigga please 
 I black that eye like peas, you better freeze 
 In your track, a Wu-Tang (bzzz) killa bee's on yo back 
 I comes for the honey plus the phat money sack 
 You want it all? Yeah I want it all like that 
 I stab my own moms in the back for a sack 
 Niggaz like ""DAMN, why you want it like that?"" 
 'Cause I'ma dog, and I got no love for the cat 
 Attitude is cold like the North Polar cap 
 Where I do my dirt is a little further down the map 
 A little buckwylin, island called Stat 
 Where niggaz carry gats in there black wolly hats 
 Now I'm mad known for the bones and the rap 
 And youse an unknown with a faulty contract 
 Wake up and smell the Met-chod motherfukker, contact 
 Villain in the cypher from the foe when head crack 
 An Indian giver and I'm out to take it back 
 Shoalin Island, baby where you at? 
 A runaway train that be running on ya track 
 That's how it's going down, yeah, it's going down like that 
 I gets my thang in action 
 To live, to love, to see, to learn 
 Yo! Tell 'em what's happening 
 What's happening? 
 I'll tell yo ass what's happening 
 Tell 'em what's happening 
 It's going on out here, brothaz ain't got no peers 
 And they be smokin', shuddup yo damn mouth! 
 I swing funky rap routines and tap the jaws 
 Spot ya twenty points and you still can't score, nuttin' 
 'Cause you ain't got no points in this game, kid you frontin' 
 I'm home run hittin', you be buntin' 
 Fresh out the toilet, I got my shit together 
 When I'm good, I'm good, when bad, I'm better 
 You want it, whatever, I be the stormy weather 
 Rain coming down, so weatherproof your leather 
 Jacket, a nigga with an axe couldn't hack it 
 I spark 'em like a match 
 Coming back, it's the Met-chod, say it loud 
 I'm the Met-chod Man, clap yo hands, now check it 
 See me in the mix, rolling fat, bustin' flicks 
 While my physical brotha came through and got me lift 
 Niggaz, that I walk by, give me the eye 
 The moment is fucking me up, killing my high 
 Nigga get back, ya pussy cat, I'm fearsome 
 Basically that, I'm all of that, and then some 
 While I... was out on tour, going beserk 
 I heard you were at the sand-box and kicking dirt 
 All on my name but you can't pull my file 
 You don't know me and you don't know my style 
 Coming out there like that there, Yeah 
 Even Grizzly Adams couldn't bear 
 Ahhheheheh, I taught the boy everything he know 
 Go on you bad motherfuckaz 
 See I told you that kid go back to that Dolemite 
 Everybody needs to love Dolemite 
 I love Dolomite, you love Dolemite 
 Hey, how you doing nigga, I know you 
 Knowing I didn't when I did 
 Meth-Tical 
 Shit, I told the boy 
 If ya can't get yourself a ten 
 The least you can do is spark five two's 
 And we out, Method"
