,0,1,2,3
0,Michael Jackson,pop,Ain't No Sunshine,"Spoken Intro: 
 You ever want something 
 That you know you shouldn't have 
 The more you know you shouldn't have it, 
 The more you want it 
 And then one day you get it, 
 It's so good too 
 But it's just like my girl 
 When she's around me 
 I just feel so good, so good 
 But right now I just feel cold, so cold 
 Right down to my bones 
 'Cause ooh... 
 Ain't no sunshine when she's gone 
 It's not warm when she's away 
 Ain't no sunshine when she's gone 
 And she's always gone too long 
 Anytime she goes away 
 Wonder this time where she's gone 
 Wonder if she's gone to stay 
 Ain't no sunshine when she's gone 
 And this house just ain't no home 
 Anytime she goes away 
 I know, I know, I know, I know, 
 I know, know, know, know, know, 
 I know, I know, 
 Hey I ought to leave 
 I ought to leave her alone 
 Ain't no sunshine when she's gone 
 Ain't no sunshine when she's gone 
 Only darkness every day 
 Ain't no sunshine when she's gone 
 And this house just ain't no home 
 Anytime she goes away"
1,Michael Jackson,pop,I Wanna Be Where You Are,"Can it be I stayed away too long 
 Did I leave your mind when I was gone 
 It's not my thing trying to get back 
 But this time let me tell you where I'm at 
 You don't have to worry 'cause I'm coming 
 Back to where I should have always stayed 
 And now I've heard the maybe to your story 
 And it's enough love for me to stay 
 Can it be I stayed away too long 
 Did I leave your mind when I was gone 
 It's not my thing trying to get back 
 But this time let me tell you where I'm at 
 I wanna, wanna be where you are 
 Anywhere you are 
 I wanna, wanna be where you are 
 Everywhere you are 
 Please don't close the door to our future 
 There's so many things we haven't tried 
 I could love you better than I used to 
 And give you all the love I have inside 
 I wanna, wanna be where you are 
 Any, any, anywhere you are 
 I wanna, wanna be where you are 
 I gotta be where you are"
2,Michael Jackson,pop,Girl Don't Take Your Love From Me,"Ooh 
 Foolish of me, I couldn't see 
 The forest for the trees 
 You've been so true 
 I've been so cruel to you 
 Oh, girl please don't leave me 
 If you stay I'll find a way 
 To erase the past 
 Baby don't leave me 
 Girl don't take your love from me 
 Oh girl 
 What can I say to make you stay 
 Baby, don't leave me 
 You've been so kind 
 It blows my mind to know 
 Oh girl, I really hurt you 
 Tell me girl, it's not to late 
 And you give me a chance 
 To make it up to you 
 Don't take your love from me 
 Girl don't take your love 
 Don't take your love 
 Girl, if you take your love away from me 
 I'm gonna be in misery 
 Your love is the strength that I lean upon 
 How will I make it when it's gone 
 Of all the little things I wanted to say... 
 ...I really wanted to do 
 Girl, this time... 
 Ooh, oh girl I really mean it 
 So tell me girl, it's not too late 
 And you'll give me a chance 
 To make it up to you 
 Don't take your love from me 
 Don't take your love, no no no no no 
 Don't take your love 
 Don't leave me girl 
 Don't take your love from me 
 Baby, don't take your love from me 
 Don't take your love from me 
 Ooh, don't take your love from me 
 Baby, don't take your love from me"
3,Michael Jackson,pop,In Our Small Way,"Maybe you and I can't do great things 
 We may not change the world in one day 
 But we still can change some things today... 
 In our small way 
 Empty words are not enough 
 Where there's hurt we'll be a crush 
 When there's thirst we'll fill each other's cup 
 Because we care we love enough to share 
 Maybe you and I can't do great things 
 We may not change the world in one day 
 But we still can change some things today... 
 In our small way 
 In despair we'll be the hope 
 And the prayer that frees the soul 
 We'll be there to share each lonely road 
 Because we love, I know 
 We care enough 
 Maybe you and I can't do great things 
 We may not change the world in one day 
 But we still can change some things today... 
 In our small way 
 Just a little time is all it takes 
 What a difference just a smile can make, you'll see 
 Love is all we need 
 Maybe you and I can't do great things 
 We may not change the world in one day 
 But we still can change some things today... 
 In our small way"
4,Michael Jackson,pop,Got To Be There,"Got to be there, got to be there 
 In the morning 
 When she says hello to the world 
 Got to be there, got to be there 
 Bring her good times 
 And show her that she's my girl 
 Oh what a feeling there'll be 
 The moment I know she loves me 
 'Cause when I look in her eyes I realize 
 I need her sharing her world beside me 
 So I've got to be there 
 Got to be there in the morning 
 And welcome her into my world 
 And show her that she is my girl 
 When she says, ""Hello world!"" 
 I need her sharing the world beside me 
 That's why I've got to be there 
 Got to be there where love begins 
 And that's everywhere she goes 
 I've got to be there so she knows 
 That when she's with me, she's home 
 Got to be there 
 Got to be there"
5,Michael Jackson,pop,Rockin' Robin,"He rocks in the tree tops all day long 
 Hoppin' and a-boppin' and singing his song 
 All the little birdies on Jaybird Street 
 Love to hear the robin go tweet tweet tweet 
 Rockin' robin, rock rock 
 Rockin' robin' 
 Blow rockin' robin 
 'Cause we're really gonna rock tonight 
 Every little swallow, every chick-a-dee 
 Every little bird in the tall oak tree 
 The wise old owl, the big black crow 
 Flappin' their wings singing go bird go 
 Rockin' robin, rock rock 
 Rockin' robin' 
 Blow rockin' robin 
 'Cause we're really gonna rock tonight 
 Pretty little raven at the bird-band stand 
 Told them how to do the bop and it was grand 
 They started going steady and bless my soul 
 He out-bopped the buzzard and the oriol 
 He rocks in the tree tops all day long 
 Hoppin' and a-boppin' and singing his song 
 All the little birdies on Jaybird Street 
 Love to hear the robin go tweet tweet tweet 
 Rockin' robin, rock rock 
 Rockin' robin' 
 Blow rockin' robin 
 'Cause we're really gonna rock tonight"
6,Michael Jackson,pop,Wings Of My Love,"When this old world gets you down 
 When your spirit's on the ground 
 Just remember I will always be around 
 Just climb on the wings of my love 
 I'll take you high on the wings of my love 
 When you're feeling all alone 
 Like a child who's got no home 
 You know you've always got a place where you can go 
 Just climb on the wings of my love 
 Like a beach that knows no boundaries with all the trees 
 As it rushes to the seas darling we'll be just as free 
 I'll lift your spirits high our love will fly 
 We'll have heaven blue skies and forever sunshine 
 'Til you break those ties that bind 
 'Til that day you're really mine 
 Anytime you want to leave your world behind 
 Just climb on the wings of my love 
 I'll lift your spirits high our love will fly 
 We'll have heaven blue skies and forever sunshine 
 We've got rainbows yet to find 
 And we'll find them all in time 
 Girl you know someday we'll even touch the sky 
 Just climb on the wings of my love 
 Anytime you want to leave your world behind 
 I'll take you high on the wings of my love 
 Just take my hand and together we'll touch the sky 
 Just climb on the wings of my love 
 Yes remember I will always be around 
 I'll take you high on the wings of my love"
7,Michael Jackson,pop,Maria (You Were The Only One),"Maria hey hey Maria 
 Maria don't you hear me calling Maria 
 Maria girl you know you were the only one 
 Hey hey Maria 
 Maria don't you miss me just a little 
 Maria after all you were the only one 
 Come on back to me Maria 
 Maria come on back to me girl 
 Hey hey Maria 
 Maria it's been long so long 
 Maria since you've been gone 
 Hey hey Maria 
 Maria don't you need me just a little 
 Maria 'cause honest girl you were the only one 
 Come on back to me Maria 
 Oh come on back to me girl 
 Maria I need you 
 Maria why d'you keep a-running away 
 Oh baby you keep a-running away 
 Oh baby yeah Maria 
 I need you honey 
 Oh Maria you sweet little sunflower 
 Oh hear my plea for sympathy 
 I just want you here with me Maria 
 If you're on that lonely night 
 What's my life without you girl 
 I'm so lonely I'm so blue 
 Without you darling my life is through 
 Come on back"
8,Michael Jackson,pop,Love Is Here And Now You're Gone,"Love is here 
 And oh my darling, now you're gone 
 Love is here 
 And oh my darling, now you're gone 
 You persuaded me to love you 
 And I did 
 But instead of tendeness 
 I found heartache instead 
 Into your arms I fell 
 So unaware of the loneliness 
 Thar was waiting there 
 spoken: 
 You closed the door to your heart, girl 
 And you turned the key 
 Locked your love away from me 
 Love is here 
 And oh my darling, now you're gone 
 You made me love you 
 And oh my darling, now you're gone 
 You said loving you 
 Would make life beautiful 
 With each passing day 
 But as soon as love came 
 Into my heart 
 You turned and you walked 
 Just walked away 
 spoken: 
 You stripped me of my dreams 
 You gave me faith, then you took my hope 
 Look at me now 
 Look at me 
 See what loving has done to me 
 Look at my face 
 See how cryin' has left its trace 
 After you made me all your own 
 Then you left me all alone 
 You made your words sound so sweet 
 Knowing that your love I couldn't keep 
 spoken: 
 My heart cries out for your tuch 
 But baby, you're not there 
 And the lonely cry fades in the air 
 Love is here 
 And oh my darling, now you're gone 
 Love is here 
 And oh my darling, now you're gone 
 You made me love you 
 Oh oh my darling, now you're gone 
 Talking 'bout love, love, love, love, 
 Ooh ooh my darling, now you're gone"
9,Michael Jackson,pop,You've Got A Friend,"When you're down and trubled 
 And you need some love and care 
 And nothin', no nothin' is goin' right 
 Just close your eyes and think of me 
 And soon I'll be there to brighten up 
 Yeah, even your darkest night 
 You just call out my name 
 And you know, wherever I am 
 I'll come a-runnin' 
 To see you again 
 Winter, spring, summer or fall 
 All you have to do is call 
 And I'll be there, yeah I will 
 You've got a friend 
 When the sky above you 
 Grows dark and full of clouds 
 And that old north wind 
 He begins to blow 
 Here's what you do baby 
 Keep your head together 
 And call my name out loud 
 And soon you'll hear me 
 Knockin' at your door 
 Oh yes I will, yes I will 
 You just call out my name 
 And you know, wherever I am 
 I'll come a-runnin' 
 To see you again 
 Winter, spring, summer or fall 
 All you have to do is call 
 And I'll be there, yeah I will 
 You've got a friend 
 Ain't it good to know 
 That you've got a friend 
 People can be so cold 
 They'll hurt you and desert you 
 And take your soul if you let them 
 Oh, don't let them 
 Winter, spring, summer or fall 
 All you have to do is call 
 And I'll be there, yes I will 
 You've got a friend, yes you do 
 You've got a friend, yes you do 
 Right till the end, for you 
 Ain't it good to know"
10,Michael Jackson,pop,Ben,"Ben, the two of us need look no more 
 We both found what we were looking for 
 With a friend to call my own 
 I'll never be alone 
 And you my friend will see 
 You've got a friend in me 
 (You've got a friend in me) 
 Ben, you're always running here and there 
 (Here and there) 
 You feel you're not wanted anywhere 
 (Anywhere) 
 If you ever look behind 
 And don't like what you find 
 There's something you should know 
 You've got a place to go 
 (You've got a place to go) 
 I used to say ""I"" and ""me"" 
 Now it's ""us"", now it's ""we"" 
 (I used to say ""I"" and ""me"") 
 (Now it's ""us"", now it's ""we"") 
 Ben, most people would turn you away 
 (turn you away) 
 I don't listen to a word they say 
 (a word they say) 
 They don't see you as I do 
 I wish they would try to 
 I'm sure they'd think again 
 If they had a friend like Ben 
 (A friend) 
 Like Ben 
 (Like Ben) 
 Like Ben"
11,Michael Jackson,pop,Greatest Show On Earth,"Love is like a circus and a carnival is beautiful to see 
 Love can turn your mind around like ferris wheels and spinning carosels 
 You'll be a part of the world of make believe 
 Flying high like a man on a trapeze 
 Oh, everyday is a holiday 
 Get your tickets right away 
 Love, love, love 
 Is the Greatest Show on Earth 
 The fantasy you see is like a child again through rainbow colored eyes 
 Step right up its circus time and get your moneys worth of love today 
 You'll be a part of the world of make believe 
 Flying high like a man on a trapeze 
 Everyday is a holiday 
 Get your tickets right away 
 Love, love, yea 
 Is the Greatest Show on Earth 
 Everyday is a holiday 
 Get your tickets right away 
 Love, love, love 
 Is the Greatest Show on Earth 
 Love, love, love 
 Is the greatest show on earth (yea e yea) 
 Love, love, yea 
 Is the greatest show on earth 
 Love, love, yea"
