,0,1,2,3
0,Necrophagist,metal,Foul Body Autopsy,"Snorting - the viley stench of putrescence 
 Coffin - lies exhumed in front of me 
 Foul stiff - strewn with papillae and pores 
 Fermenting - stiff corpse putrefies 
 Slicing, bisecting, incising the stiff 
 Stomach wall is opening 
 Primitive diagnosis... 
 Remove internal organs 
 Primitive autopsy... 
 Slicing, bisecting, incising the stiff 
 Sawing - the weak head of the corpse I saw 
 Slicing - celebral bisection 
 Eviscerate - slushy bowels ripped out at once 
 Perfecting - foul body autopsy 
 Slicing, bisecting, incising the stiff 
 Stomach wall is opening 
 Primitive diagnosis... 
 Remove internal organs 
 Primitive autopsy... 
 Slicing, bisecting, incising the stiff"
1,Necrophagist,metal,To Breathe In A Casket,"Eyes opened up within the moist and dark 
 Trapped inside the measures of a coffin 
 Horrified awakening, blank fears embrace me 
 Oh... beyond... 
 ...Beyond these walls there lies infinity... 
 Asphyxiation is imminent due to the measures 
 Of this confinement 
 Blind hits against the coffin walls, 
 Blank fears control me 
 Oh... beyond... 
 ...Beyond these walls there lies infinity... 
 To breathe in a casket 
 Six feet below... 
 To breathe in a casket 
 Below... 
 Buried deep beneath the earth, beneath the earth... 
 Blank fears embrace me, embrace me... 
 Buried six feet below, six feet below... 
 Blank fears control me, control me... 
 Breathing inside a casket... 
 Breathing inside a casket... 
 Breathing inside a casket... 
 ...Breathe..."
2,Necrophagist,metal,Mutilate The Stillborn,"Dismembering - to chop her body I begin 
 Bastard - bastard inside 
 Disfiguring - abdominal wall is opening 
 Offal - come to sight 
 Malintention, to chop the foetus I intent, 
 Hateful am I 
 Vile malodours, rancid odours I perceive 
 I'm getting high 
 Hate and repulsion is that 
 Which strenghtens my intent 
 Fetal incising causes premature decease 
 Loathing am I to commit 
 Infanticide in unborn state 
 To tear out the foetus, my aggressions do increase 
 Mutilate the stillborn 
 Dismanteling - excoriate the dead unborn 
 Vile waste - vile waste inside is 
 Festering - prenatal fluids I adore 
 Offal - come to sight 
 Mutilation, the stillborn body chopped in half, 
 Hateful am I 
 Disemboweling, the torso drained of tepid bowels 
 I'm getting high 
 Hate and repulsion is that 
 Which strenghtens my intent 
 Fetal incising causes premature decease 
 Loathing am I to commit 
 Infanticide in unborn state 
 To tear out the foetus, my aggressions do increase 
 Mutilate the stillborn"
3,Necrophagist,metal,Intestinal Incubation,"Worms in microscopic size 
 Infest dermatic pores, 
 They move through blood 
 Parasitic organisms move seeking path 
 To hepatic tissue they are heading forth, 
 Their larvae to breed 
 In the precious warmth 
 Of the liver they multiply... 
 ...Innards consumed from inside..."
4,Necrophagist,metal,Culinary Hyperversity,"Hateful I'm slashing, the head is removed 
 Removing the head of the corpse 
 The throat down the hard chest the trunk is torn 
 Tearing the trunk of the corpse... 
 Disintegrating the stiff limb by limb 
 Performing deviant butchery 
 I chop up the limbs into small handy chunks 
 In my own way of sick butchery 
 I rip out the entrails, cut through pulsating flesh 
 Into the torso I grasp, deep, to tear out the rest 
 I divide into that which like and which not 
 Nutritious organs stored, the rest left to rot... 
 ...Rot... 
 Wrathful I'm hacking the organs are minched 
 Minching the flesh of the stiff 
 Imagine the bodyparts served on a plate, 
 Prepared by sick culinary... 
 Disintegrating the stiff limb by limb 
 Performing deviant butchery 
 I chop up the limbs into small handy chunks 
 In my own way of sick butchery 
 I rip out the entrails, cut through pulsating flesh 
 Into the torso I grasp, deep, to tear out the rest 
 I divide into that which like and which not 
 Nutritious organs stored, the rest left to rot... 
 ...Rot... 
 ...Hyperverse, perverse... 
 ...Culinary hyperversity..."
5,Necrophagist,metal,Advanced Corpse Tumor,"To see the interior of a dark coffin 
 What is it like to be inside dead...? 
 Is there something that I might perceive, 
 Or is it lost in infinity...? 
 Viley maggots swarm within stale pus, 
 Accelerating the rate of putridity... 
 Thought patterns preserved in energetic form 
 Or is it all lost in infinity...? 
 Viley maggots swarm within stale pus, 
 Accelerating rate of putridity... 
 ...Fierce... 
 Is there something that I might live, 
 Or is it all lost in nothingness...? 
 ...Fierce... 
 Weakened tissue starts rapidly to degrade 
 Under progressive foulness 
 Former vital organs are replaced 
 By a clumb of corpse tumors... 
 Is that what expects us in the deep, 
 Just corpse tumors...? 
 Weakened tissue starts rapidly to degrade 
 Under progressive foulness 
 Former vital organs are replaced 
 By a clumb of corpse tumors..."
6,Necrophagist,metal,Extreme Unction,"The light is fading without any halt 
 Expiration is now imminent, pain... 
 Silent prayers I perceive don't ease my pain 
 Seconds like infinity, pain... 
 ...There is no light, pain... 
 ...To the darkside, pain... 
 ...Extreme unction..."
7,Necrophagist,metal,Fermented Offal Discharge,"The casket is exhumed, turfs piled beside the grave 
 A stagnant mass awaits me, deep in the gloom 
 The boxes lids I open, distraught desecrating 
 The fumes are penetrating, I am eructating-...I vomit... 
 I initiate... eager exhuming despite bad scents 
 I dig up cold earth, exhumed turfs I disperse 
 I initiate... eager exhuming despite bad scents 
 The open casket reveals the rot 
 Into weak stomach I slide my hands 
 Intensifying fumes I like to snort... 
 Colon and small intestine, 
 Sliced and ripped out of the foul body 
 Duodenum I minch, 
 All should be treated equal 
 Rotten stool and urine, 
 Spurt out of fermented organs 
 I discharged and raped 
 Putrefied giblets disembowel... 
 Decrepit spleen and pancreas I've torn and gutted 
 I eviscerate stomach and cysts 
 Liver is torn and twisted, turning inside out 
 A fermented offal discharge, disembowel... 
 Evacuated offal hastily wrapped in bags 
 As basic for my culinary... 
 ...Putrefied internal fragments... 
 ...Fermented offal discharge... 
 ...Putrefied internal fragments... 
 ...Fermented offal discharge..."
8,Necrophagist,metal,Stabwound,"Invisible blades penetrate 
 Whereas stabwounds are not detectable. 
 Stabwound 
 The blade that stabs a back, 
 Unsuspecting, forms the symbolic... 
 Stabwound 
 There is no shield to protect from 
 Attacks led by the ones one used to trust. 
 Stabwound 
 The blade that stabs a back, 
 Unsuspecting, forms the symbolic... 
 Stabwound"
9,Necrophagist,metal,The Stillborn One,"A life free of guilt exists when 
 The eye fights daylight yet unseen. 
 A book with not a page written 
 Means hope yet sometimes to be 
 (The) Stillborn One. Born dead. 
 (The) Stillborn One. Dead. 
 When dawn and sunset coincide, 
 The essence of a day is non-existent, 
 Lifeless... 
 Dehydrated soils may not recover 
 From the drought they might be plagued with, 
 Prepare to be... 
 ...The Stillborn One... 
 ...The Stillborn One... 
 When dawn and sunset coincide, 
 The essence of a day is non-existent, 
 Lifeless... 
 Dehydrated soils may not recover 
 From the drought they might be plagued with, 
 Prepare to be... 
 (Solos: Suicmez/ Muenzner)"
