,0,1,2,3
0,Nicki Minaj,pop,Intro,"You know, a lot of people ask me 
 Why I feel, that, you know 
 I've gotten a lot of notoriety so quickly 
 And, umm, I don't know 
 People seem to be under the impression 
 That, I made it to this point, FAST 
 And, y'know obviously for me 
 I don't feel like that 'cause it's me y'know 
 I feel like I've been doing it, for ten billion years 
 But, every time someone says something like that to me 
 I remember to just thank God for, y'know, getting me this far 
 Cause sometimes you don't realize how far you've gotten 
 Until you look around and, and you look at the people who 
 Who, who are still trailing so far behind you 
 And I know that, that no matter what, it's 
 In the end it's not gonna be about my talent, y'know 
 It's not gonna be about my connections 
 It's not gonna be about my looks 
 It's, it's gonna be about, who wants it, the most 
 Annnnd, I want it the most!"
1,Nicki Minaj,pop,I Get Crazy,"I just came out of the muthafuckin' old school 
 Got my mac notebook with the pro tools 
 Y'all bitches ain't ready for Nicki Lewinsky 
 Bad woof woof flyer then a frisby 
 So I'm up in (?) eating mangoes 
 Keep a couple pink toes in my sandals 
 Got some bangles all over my ankles 
 Such a star they say wen I star spangle 
 But for buh; buh; buh; buh 
 I-I-I-I am the the the rap Hannah 
 Ma Mon-Montana so fix your antenna 
 I keep three hoes but don't call me Santa 
 And I am flyer then reindeers in the winter 
 I get crazy 
 I get crazy 
 Nicki Minaj 
 : 
 So I got the bad bitch mentality 'cause I just came from another galaxy 
 I be with the president up in the White House 
 If we in the oval office then the lights out 
 'Cause I am the wicked witch I'm the Nickster 
 And I keep a bad bitch on my jickster 
 But I leave her in a second for a thicker 
 Rockstar little mama with a guitar 
 I am Nicki LMNO-winsky 
 I mean my name ring bells like Tinky 
 I mean tinker 
 Tell that nigga link her 
 'Cause I'm looking for some good brains from a thinker 
 Weezy 
 : 
 1 2 3rd Floor 
 Hospital Bound 
 Niggas is doors and I knock niggas down 
 Straight jacket crooked, I hear you lookin' 
 I promise I'm hard, and I swear you pussy 
 I ain't crazy, no, yes I am 
 Right up in the coo-coo nest I land 
 I'm' fly now eat my bird shit 
 Yeah I'm crazy, I'm' crazy 'bout your bitch 
 Wild animal on my bewildered shit 
 I love brain so I'm looking for a nerd bitch 
 It's Nicki Minaj, the superb witch 
 And Weezy F. Baby, no, Weezy F. Crazy"
2,Nicki Minaj,pop,Itty Bitty Piggy,"Mmhm, mmhm 
 Yo, ayo 
 I was on the plane with the Wayne 
 You could call me Whitley, I go to Hill, meng 
 Listen, I'm the baddest in the school 
 The baddest in the game 
 Excuse me, honey, but nobody's in my lane 
 When you was in New York, you was fuckin' the Yankee 
 I was fuckin' with base, I was pitchin' to Frankie 
 These bitches so cranky 
 Give 'em a hanky 
 But mommy, I'm cold give me me my blanky 
 Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! 
 Ok. Ok. Whoa! Whoa, Holiday! Wait! Hold on! Hold on, Holiday! 
 You can't give it to 'em dry like that. 
 You gotta get that shit wet first, nigga. 
 Like c'mon now! 
 You gotta prep them for shit like that. 
 They can't just get that shit right off the top. 
 Like you gotta bring that shit back! 
 Bring that shit the fuck back! 
 Mmhm, mmhm 
 Yo, ayo 
 I was on the plane with the Wayne 
 You could call me Whitley, I go to Hill, meng 
 Listen, I'm the baddest in the school 
 The baddest in the game 
 Excuse me, honey, but nobody's in my lane 
 When you was in New York, you was fuckin' the Yankee 
 I was fuckin' with base, I was pitchin' to Frankie 
 These bitches so cranky 
 Give 'em a hanky 
 But mommy, I'm cold give me me my blanky 
 Flyer than a kite 
 I get higher than Rapunzel 
 Keep the snow white 
 I can buy it by the bundle 
 Step ya cookies up 'fore they crumble 
 Don't be actin' like the Cardinals and go fumble 
 'Cause I'm a stealer 
 Fresh up out the dealer 
 All the dopeboys gon' feel her 
 Flow so sick I need a healer 
 Fuck is my mac concealer 
 I be out in Queens in the back of 4 whee-whee-whee-whee-whee-whee-wheelers 
 I'm a big bill 
 That's why I get more head than a pigtail 
 Put some ranch, I'm getting the munchies 
 I think I'll have a rap bitch for my entrée 
 'Cause they be thinkin' they can spit-spit shine my shoes 
 You know I keep a bad bitch 
 Let me sign ya boobs 
 I'm the only thing hoppin' like a kangaroo 
 I mean the only thing poppin' like a can of brew 
 Listen, you should buy a 16 'cause I ride it good 
 The 808, woof-woof, 'cause I ride it good 
 And bitches can't find a man 'cause I ride it good 
 I'm the wolf! 
 Where is little reda-riding hood?! 
 And if you see a itty bitty piggy in the market, 
 Give that bitch a quarter and a car 
 Tell her, ""Park it!"" 
 I don't fuck with pigs like assalamualaikum 
 I put 'em in the field and let Oscar Mayer bake 'em! 
 And if you see a itty bitty piggy in the market, 
 Give that bitch a quarter and a car 
 Tell her, ""Park it!"" 
 I don't fuck with pigs like assalamualaikum 
 I put 'em in the field and let Oscar Mayer bake 'em! 
 Wow. 
 It's like I just single handedly annihilated... you know 
 Every rap bitch in the buildin' like, like 
 I'm Nicki Minaj 
 Nicki Lewinsky 
 Nicki the Ninja 
 Nicki the boss 
 Nicki the Harajuku Barbie 
 Like I don't even know why you girls bother at this point 
 Like give it up! 
 It's me! I win! You lose! 
 Hahahahahaha! 
 Oh, shit! 
 Haha! 
 Yo! 
 I'm a bad bitch! 
 I'm a-I'm a bad bitch! 
 Now, I'm a bad bitch! 
 I'm a-I'm a bad bitch! 
 I'm a bad bitch! 
 I'm a-I'm a bad bitch! 
 Hehe! 
 I'm a bad bitch! 
 I'm a-I'm a bad bitch! 
 Hahahaha! 
 I told you! 
 I told you before! 
 I told you ya gon' have to pick my fruit out! 
 Now, listen. 
 In addition to picking my fruit out, I want ya to start goin' to the boutiques. 
 You know I'm sayin'? 
 Get some, get some, get some crazy shit for me. 
 I want, I want. 
 You know. 
 Leopard skin and you know I want, I want all them crazy lizard skin shit like you know? 
 Make sure- you could be my personal shopper! 
 Ha ha ha ha ha ha ha ha ha 
 Ayo!"
3,Nicki Minaj,pop,Kill Da DJ,"I ain't know the president live in D.C 
 And I ain't know they call me Nicki Lewinsky 
 I never knew that dude with Jay was Pimp C 
 But I know I be with Paris and Lindsey 
 I just know that I be on my fly girl shit 
 I fly girl pop up and I fly girl dip 
 I fly girl stunt; like a fly girl flip and I don't never guzzle it 
 I fly girl sip 
 Now get that rosé; get that get that rosé 
 A lil hennesy and Louie the 13 
 Now ever body look my way, my way 
 Excuse all the haters 'cause they lookin' sideways 
 Let's get it now 
 You got me wrong 
 You be sittin' by the bar when it's your song 
 You can act like you don't like it but you do 
 You do, you do 
 I think I'm gonna kill the motherfuckin' DJ 
 If he don't pull up let the record replay, record replay, let that record replay I think I'm gonna kill the motherfuckin' DJ 
 I didn't Know the police was from Babylon 
 And I ain't know I'm cold just like an avalanche 
 I didn't know my titties was bigger than Pamela 
 Got paparazzi flicking, be flicking they camera 
 I just know that I be on my fly girl shit 
 With my fly girl stomach and my fly girl hips 
 I fly girl ball with my fly girl mitt 
 And I can only kiss another fly girl lips 
 Now get that o.j; get that get o.j 
 A lil' cranberry and some remy moné 
 Now everybody look my way, my way 
 Excuse all the haters 'cause they lookin' sideways 
 Let's get it now 
 You got me wrong 
 You be sittin' by the bar when it's your song 
 You can act like you don't like it but you do 
 You do, you do 
 I think I'm gonna kill the motherfuckin' DJ 
 If he don't pull up let the record replay, record replay, let that record replay I think I'm gonna kill the motherfuckin' DJ 
 Follow my steps and girls they be resting when they know that its they song 
 So interestin' actin' like they flexin' all them bitches got me wrong 
 Got me wrong wrong wrong 
 Got me wrah - wrah - wrah - wrah - wrah - wrong 
 Got me wrah - wrah - wrah - wrah - wrah - wrah - wrah - wrah - wrah - wrah - wrong 
 You got me wrong 
 You be sittin' by the bar when it's your song 
 You can act like you don't like it but you do, you do, you do 
 I think I'm gonna kill the mutherfuckin' DJ 
 If he don't pull up let the record replay, record replay; let that record replay I think I'm gonna kill the motherfuckin' DJ"
4,Nicki Minaj,pop,Mind On My Money,"I got my mind on my money and I'm not goin' away 
 So keep on gettin' your paper. 
 Brinx: 
 Now you hold it your excellence 
 See I t.c oh forward slash president 
 East side resident oh so evident 
 Brinx Billy ride cousin black on black phantom 26s on the side of 'em 
 Ninas on the side of em, goonies on the side of 'em 
 Anybody can get it boy be careful on the side of them 
 These niggas are burial guns no fearial 
 Money hungry honey with me if you holla she gonna carry you 
 Flyer than a aerial vechical gerital 
 Sittin' on my feet when I'm stuntin' on them people 
 I tell no fables everything chillin' 
 Fax machines office max see me for that paper 
 You workin' for short bread ain't my money long younging 
 Bitch I'm on trappin' more digits than a phone number different time zones on 'em Kill them niggas lyrically 
 Left side of my closet look invaded by Italy 
 Right side Paris left side flaggin' paper is my main chick me and money married 
 And that's all a nigga know bitch that's why them brand new niggas is all up on my old shit 
 (Speaking: Nicki Minaj) 
 That's what I did I came up out the truck, you know what I'm sayin' 
 I chuck my deuces like that's all I do, like 
 Young Money, Nicki Minaj it's the ninja, Harajuku Barbie and all of that 
 Nah I'm sayin' all that me gettin' money you writin' disses we gettin' money 
 Hit me my limousine, all in your magazine 
 And when I come them better lean like Promethazine 
 Them no say Nicki nice I'm bout' my money mama 
 And tell Michelle I got my eye on Barack Obama 
 Tryna get that Madonna, you know, Hannah Montana 
 And you can find me sittin' Indian style with the Dalai Lama 
 Konichiwa I get my yin and say sayonara 
 I'm meditating, I'm in conhoots with a higher power 
 Mind on money mi-mi-mind on my money yo 
 Mind on my money mi-mi-mind (yo ho rai que quo) 
 Mind on money aye, mind on my money babe 
 How does this money taste? Whining on money's face 
 You see the signs and the teachings 
 If you ain't know well this is grinding season 
 Now and go get your gangs signs, throw it up! 
 Where all my niggas on them bikes? Throw it up 
 We don't care what you say, we ain't going away 
 My niggas bring the heat, it's not a summer day 
 So mind on my motherfuckin' money, my mind on my motherfuckin' money. 
 (Speakin: Busta Rhymes) 
 Ayo I speak foreign languages and shit but the language I speak is that money language (laughs) flipmode bitch 
 Brinx I like how we do the brinx truck job on these niggas homey 
 Time after time again I like niggas and remind niggas how I hold out on motherfuckers 
 Niggas out here frontin' about they bread you can't trust it niggas my money so Stupid call me warren Busta buss nigga 
 Glad it ain't a toss and everything about me butters I've been counting money so Long I see dollar signs and different colors 
 My money is smear and smothered your money you hear me brother 
 Been about that bread like I was broke or still in the gutter 
 And in case you ain't know there will be no replacement and them bags of arab Money I got stashed in the basement face it 
 When ever I shine I glisten and when ever I talk you listen ain't no money gettin' Made in these street without my permission I keeps it drug infested my money is Well connected it's to the point my [? ] is well respected you need to check my Method I promise you I be the wrong nigga that's comes to my money that you ever Want to mess with grind like missionary labor holding indigutary paper you already Know my team is filled with [? ] ears we made you I don't give a fuck about your Stipulation 
 Type of bread appropriate for every situation 
 You can tell by the jewellery sittin' on my collar from the bread to the crib I know all about the dollar."
5,Nicki Minaj,pop,Nicki Minaj Speaks,"Holiday, Holiday, slow that shit DOWN! 
 C'mon now, they done... they know I do it 
 They know when I do it it get done 
 Two sticks in my bun, but, but first of all 
 When I say two sticks in my bun, I mean 
 That when I put a bun in my hair 
 Like when I put my hair in a ponytail 
 And I wrap my hair in a bun 
 I put two Chinese sticks in my bun with the Chinese bang 
 Cause y'all y'all minds is in the gutter 
 That's what two sticks in my bun mean, okay? 
 But Holiday you already know, y'knahmsayin? 
 They heard that hard spittin', they heard that fast shit 
 NOWWWW, y'know, you gotta slow it down for them y'know 
 Umm, they wanna hear me sing 
 Y'know behind every bad bitch there's a really sweet girly, girl 
 There's a really sweet, Harajuku Barbie, and umm 
 Now it's time for them to hear me [inhales] 
 Get all nice and soft and, moist 
 I I mean, I'm-I'm sorry I didn't mean, I didn't mean to say that 
 I meant, this is the portion of the tape where 
 I just wanna be more, y'know, delicate and... wet 
 [SPLASH] I'm I'm, I'm so, I I, I didn't mean to say that 
 I meant, that y'know, Holiday just slow it down daddy!"
6,Nicki Minaj,pop,Slumber Party,"Lyrics to Slumber Party: 
 (Gucci Mane) 
 Banana boat full of blow, 
 Banana clip to cut ya throat, 
 Banana dro come take a smoke, 
 Banana diamonds yellow stone, 
 Heavy snow that berry blow, 
 That cherry coke got stupid dough, 
 Plenty mo you think I booked a 
 Hundred, shows I'm selling dope 
 I'm into wishin', rolling, kushin' 
 Sippin' lean and burnin' piff, you 
 Gotta fifth I gotta pint you 
 Took a shot I took a sip, I plead 
 The 5th ain't saying shit go get 
 My lawyer get him quick spent 80 
 Grand to beat a case I whipped it 
 Like my purple whip. I caught a 
 Hit like sosa did them killas 
 Blast ya house ya monkey, I got 
 So much jewelry on me still you 
 Can't take nothing from me. hook 
 It up I cook it up and get some 
 Head while rolling blunts. water 
 Paint, water stain I'm lookin' 
 Down she lookin' up, beamer truck 
 I rim it up spent 80 thou (400 
 Stones), she suck a dick while 
 Rollin' blunt she keep the boss 
 Man bustin' nuts. I get it off she 
 Get it up me and her both can't 
 Get enough me in the go I'm in 
 The go so tryna beat that pussy up. 
 Welcome to my private party 
 More hoes than a bachelor party 
 Smokin', drankin', freakin', shit can turn into a 
 Slumber part 
 You can't meet my mama, uh-uh, but here go my number, shawty 
 Number shawty 
 When you feelin' freaky, mama, we could have a 
 Slumber party 
 (A slumber party mama have a slumber party) 
 (You can't meet my mama uh-uh but here go my 
 Number shawty) 
 (When you feelin' freaky mama we can have a 
 Slumber party) 
 (We can have a slumber party x2) 
 (Gucci Mane) 
 Her negligees are burberry 
 Her lingerie came very straight 
 Her oral sex is very wet, my sex so great she 
 Gainin' weight 
 I cook a cake she cook a steak, we three astates 
 You section 8 
 Stay out her face she hardly date she fuckin' 
 Gucci shawty DAMN 
 Everday's a ballin' day just yesterday we bought a 
 Lake tomorrow 
 Bought us two camaros a 08 and a 68. we 
 Trappin' fast with 
 Stupid cash so rap on with yo stupid as it's 
 Gucci Mane no stupid ass I keep on making 
 Stupid cash 
 Welcome to my private party 
 More hoes than a bachelor party 
 Smokin', drankin', freakin', shit can turn into a 
 Slumber part 
 You can't meet my mama, uh-uh, but here go my number, shawty 
 Number shawty 
 When you feelin' freaky, mama, we could have a 
 Slumber party 
 (A slumber party mama have a slumber party) 
 (You can't meet my mama uh-uh but here go my 
 Number shawty) 
 (When you feelin' freaky mama we can have a 
 Slumber party) 
 (We can have a slumber party x2) 
 (Nicki Minaj) 
 Got that super soaker pussy pop like cola coca plus it's tighter than a choka 
 Got 'em smilin' like the joker got that na-na-na-na-na-na-na little mermaid on my Linen when your momma sleepin' you can call me and get all up in it 
 Bank rolls gimme all them pretty furs cause my pussy game cold when he hit it 
 He say bur he say bur bur bur bur bur I'mma I'mma marry her and he play with that pur (pearl) 
 Like he strungin' his guitar that's me I am Minaj I am N-N-Nicki Minaj and if you want a 
 Menage keep a couple pretty boards look head game busy busy make a nigga dizzy dizzy 
 Bitch I'm at that slumber party sippin' on that frizzy chrissy"
7,Nicki Minaj,pop,Shopaholic,"Gucci Mane: 
 Ah ah ah ah ah ah ah 
 Yyyeeeeeeeeaaaaaaa 
 Ah ah ah Gucci ah 
 (Verse: Gucci Mane) 
 I gotta shoppin' problem 
 She gotta shoppin' problem 
 I'm a compulsive shopper 
 So I'm a cop her prada 
 I'm a ice her outta 
 Make ya talk about her 
 She got this thang about her 
 Yeah she a sexy walker 
 We shoppin' in Morocco 
 I took her to Dubai 
 Lil mama stupid fly 
 So tell me watcha like 
 Cause girls I like to buy 
 My money stupid fat 
 His money on a diet 
 Ten stacks to keep her quiet 
 I make her call me daddy 
 Yeah there go daddy baby 
 And she loves daddy cause 
 Daddy gone keep them hatin' 
 Yeah they hatin' baby 
 They wanna trade places 
 I call her sexy lady 
 She call me Gucci baby 
 She gotta Fendi fetish 
 She gotta shoppin' problem 
 That girls a shopaholic 
 She only mess with ballers 
 She gotta Gucci fetish 
 She gotta Louie problem 
 She gotta shoppin' problem 
 That girl's a shopaholic 
 (Verse: Nicki Minaj) 
 Yo I'm a need a couple of dem benzess... 
 I be out in China spendin' yens-eses 
 Gucci on my lenses-eses 
 My leather so sensitive 
 Scratch my 9 o' clock 
 I wanna shop make ya tentative 
 Dilly dilly d look at all these hoochies 
 I be on the beach in Emilio Pucci 
 I'm a I'm the best I'm the best ask Khaled 
 Sorry lil' daddy that cards not valid 
 I need a limited black card, like I'm racist 
 With them real big faces 
 Louis Vuitton cases 
 Hoes in the hood say Nicki Minaj booshie... 
 I do it b.I.g. so I keep a couple coogies, hoes"
8,Nicki Minaj,pop,Go Hard,"Yo, SB. I think it's my time... 
 You know why? My tears have dried 
 And I know that no weapon formed 
 Against me will prosper. And I truly 
 Believe that my haters are my motivators 
 Young Money 
 If you could you would get rid of me 
 Fuck you gone do when a bitch try to go hard? 
 Bet I won't let you get to me (to me) 
 You should already figure I'ma go hard 
 If you was as real as me you would never 
 Let another girl sit in your throne 
 I done flipped the trunk on her 
 They screamin', ""Nicki leave me alone!"" 
 I am, I'm still the one to beat 
 Ain't in a rush from these streets 
 I am the streets 
 I am gettin' it in until the end 
 I gotta go, go, go, go hard! 
 Carter called, lemme get the car key 
 You don't want it with the Harajuku Barbie 
 Keep a marquis, everything sparkly (man down!) 
 Hit 'em on a walkie-talkie 
 Hit em, hit 'em knock-knock, tell 'em let me in 
 My name ring bells bitch buzz me in 
 And I only stop for pedestrians 
 Or a real real bad lesbian 
 Hit 'em with the Mac, hit 'em with the Tec 9 
 Hit 'em with the Ruger by the intersex line 
 Hit 'em with a tommy so my niggas call me Kimmy and I always the jammy in the Trunka of the lamby 
 Put my whole burrough on my back and I'm gooda 
 I don't wanna hear what you would, what you coulda 
 I represent all the girls that stood up 
 Used to drink water with a little bit of sugar 
 Now I'm in the gym with my squats and my sit-ups 
 Doin' the scissor-leg on the mat with my foot up 
 Young black pin-up, all of my bitches did up 
 Now I'm tellin' LA Reid to step his bid up 
 And I'm tellin' President Carter he picked a winner 
 Bitches like Nelly and Kelly got a dilemma 
 These birds all fly south in the winter 
 Fuck I look like chompin' on a chicken dinner? 
 You can hate me, but why knock my hustle? 
 I'ma be a queen no matter how they shuffle 
 Skirts with the ruffle, Louis on the duffle 
 I'm a bad bitch no muzzle (no muzzle) 
 Bitches is softer than Al Dente, cut from a different kenta 
 Tell 'em I'm the ninja, Weezy is my sensei 
 So I call him splinter, faster than a sprinter 
 Gimme my chopsticks, I'll have the rap bitches for dinner 
 This is for my gentlemen in button-ups and khakis 
 This is for my nigga 7-up in Castaki 
 This is for my niggas whellying them Kawasakis 
 Shout out to the back-east, South Ishakis (?) 
 This is to my fans, unless I'm feeling kinda cocky 
 Winter Wonderland is on my hand, it's kinda rocky 
 I am Nicki, Minaj or Lewinsky 
 Pumps on the clutch, right hand on the six-speed 
 Write my own raps I gotta go, I gotta get me (gotta get me) 
 If you could you would get rid of me 
 Fuck you gone do when a bitch try to go hard? 
 Bet I won't let you get to me (to me) 
 You should already figure I'm a go hard 
 If you was as real as me, you would never 
 Let another girl sit in yo throne 
 I done flipped the trunk on her 
 They screamin', ""Nicki leave me alone!"" 
 I am, I will, I gots to win 
 I'm still lookin' around for my 
 Com-pe-tition. I am gettin' it in until the end 
 I gotta go, go, go, go hard! 
 Lil Wayne 
 : 
 From slap-and-cry you start to die, so I must go harder 
 Gotta make these bitches know me just like vibe and no water 
 Better yet, like Bubba, no shrimp. but he don't say shit 
 When the gun on his lip, and I don't say shit put the gun 
 On my hip. so I don't say shit but the gun on my hip 
 If you don't wanna drown don't come on my ship 
 Check out how them bitches just run on my dick 
 And me, I'm that just a summa bitch 
 I still got that bitch cum on my lips 
 It yee ain't got money, don't come on my strip 
 And if ya got money, don't cover my strip 
 I wear that metal, no Olympic, but I can still 
 Make you tumble and flip 
 You fuckin' with me if you fuckin' with Nick 
 It ain't fuckin' with me it ain't fuckin' with Nick 
 Your girlfriend, her decision is split 
 'Cause she wanna fuck me and she wanna fuck Nick 
 They wonder if he be fuckin' Nick, as long as she be fuckin' rich 
 That's why I keep my Le Bitch (?) cause, I swear y'all's a fuckin' trip 
 Young Money Dungeon, bitch. my swagger just punch a bitch 
 And I shoot like I'm from over-seas, so call my gun, ""Gunovich"" 
 Weezy F. Baby and the ""F"" is for a bunch of shit 
 Red drank, blue pill, white dust 
 Yes I love my country bitch 
 Wish you could get rid of Young Money 
 Fuck you gone do when a bitch try to go hard? 
 Bet I won't let you get to me (to me) 
 You should already figure I'm a go hard 
 If you was as real as me you would never 
 Let another girl sit in your throne 
 I done flipped the trunk on her 
 They screamin', ""Nicki leave me alone!"" 
 I am, I will, I gots to win 
 I'm still lookin' around for my 
 Com-pe-tition. I am gettin' it in until the end 
 I gotta go, go, go, go hard!"
9,Nicki Minaj,pop,Nicki Minaj Speaks#2,"Holiday, Holiday, slow that shit DOWN! 
 C'mon now, they done... they know I do it 
 They know when I do it it get done 
 Two sticks in my bun, but, but first of all 
 When I say two sticks in my bun, I mean 
 That when I put a bun in my hair 
 Like when I put my hair in a ponytail 
 And I wrap my hair in a bun 
 I put two Chinese sticks in my bun with the Chinese bang 
 Cause y'all y'all minds is in the gutter 
 That's what two sticks in my bun mean, okay? 
 But Holiday you already know, y'knahmsayin? 
 They heard that hard spittin', they heard that fast shit 
 NOWWWW, y'know, you gotta slow it down for them y'know 
 Umm, they wanna hear me sing 
 Y'know behind every bad bitch there's a really sweet girly, girl 
 There's a really sweet, Harajuku Barbie, and umm 
 Now it's time for them to hear me [inhales] 
 Get all nice and soft and, moist 
 I I mean, I'm-I'm sorry I didn't mean, I didn't mean to say that 
 I meant, this is the portion of the tape where 
 I just wanna be more, y'know, delicate and... wet 
 [SPLASH] I'm I'm, I'm so, I I, I didn't mean to say that 
 I meant, that y'know, Holiday just slow it down daddy!"
