,0,1,2,3
0,Public Enemy,hiphop,You're Gonna Get Yours,"(Flavor Flav) 
 Oh-oh Chuck, they out to get us, man 
 Yo, we got to dust these boys off 
 (Chuck D) 
 In this corner with the 98 
 Subject of suckers, object of hate 
 Who's the one some think is great? 
 I'm that one (son of a gun) 
 Drivin' by wavin' my fist 
 Making 'em mad when I'm goin' like this 
 Top gun, never on the run 
 (They know not to come 'cause they all get some) 
 Goin' quicker in the speeding lane 
 Jealous can't do it and it's causin' them pain 
 Caught in my smoke, all they did was choke 
 Look at my spokes, you know I'm no joke 
 Out that window, middle finger for all 
 Jealous at my ride, stereo and blackwalls 
 Suckers they got the nerve and gall 
 (To talk about the car when they're walking tall) 
 Suckers to the side, I know you hate my 98 
 You're gonna get yours 
 Suckers to the side, I know you hate my 98 
 You're gonna get yours 
 (Chuck D) 
 Pulling away every day 
 Leavin' you in the dust so you know I get paid 
 On the mile ego trip and 5-0 tailing on my tip 
 Watch me burn rubber, fall in my flame 
 This episode is always the same 
 Seein' no comp coming like I'm blind 
 All left back trailing my behind 
 I go faster, cops try to shoot me 
 They'll get theirs when they try to get me 
 I'll let it go, my turbo 
 Run 'em in the river 'cause they're moving too slow 
 Laughing hard at their attempt 
 So what if the judge charges me contempt 
 I'll rub my boomerang 'cause I'm feeling proud 
 And I wouldn't even hear 'em cause my radio's loud 
 Suckers to the side, I know you hate my 98 
 You're gonna get yours 
 Suckers to the side, I know you hate my 98 
 You're gonna get yours 
 (Chuck D) 
 Cruisin' down the boulevard 
 I'm treated like some superstar 
 You know the time so don't look hard 
 (Get with it, the ultimate homeboy car) 
 All you suckers in the other rides 
 Wherever I'm coming get to my side 
 My 98 is tough to chase 
 If you're on my tail better watch your face 
 Smoke is coming when I burn 
 Rubber when my wheels turn 
 A tinted window, so super bad 
 Looking like the car the Green Hornet had 
 It's the reason I'm ahead of the pack 
 It's the reason I left them back 
 It's the reason all the people say 
 My 98 Olds blows 'em all away 
 My 98 Oldsmobile is 
 My 98 Oldsmobile's so 
 My 98 Oldsmobile is 
 My 98 Oldsmobile's like 
 Suckers to the side, I know you hate my 98 
 You're gonna get yours 
 Suckers to the side, I know you hate my 98 
 You're gonna get yours 
 (Chuck D) 
 Understand, I don't drive drunk 
 My 98's fly, I don't drive no junk 
 No cop got a right to call me a punk 
 Take this ticket, go to hell and stick it 
 Put me on a kickbutt line up, times up 
 This government needs a tune up 
 I don't know what's happenin', what's up 
 Gun in my chest, I'm under arrest 
 Sidewalk suckers wanted to spill me 
 So I got my crew and posse 
 Took the girls and got them to thrill me 
 Stepped outside, got in my ride 
 Drove 'em around and I looked around town 
 Caught 'em out there cold, ran 'em over and down 
 They didn't get me and that's the truth 
 (Cause the 98-O is bullet proof) 
 My 98 Oldsmobile's so 
 My 98 Oldsmobile is 
 My 98 Oldsmobile's so 
 My 98 Oldsmobile's like"
1,Public Enemy,hiphop,Sophisticated Bitch,"That woman in the corner, cold playin' the role 
 Just leave her ass in the corner till her feet get cold 
 Knowin' for a fact, that girl is whacked 
 If you hold your hand out, she'll turn her back 
 Better walk, don't talk, she's all pretend 
 Can't be her friend unless you spend 
 Wall to wall, after all 
 Get ready to throw only money at the bitch 
 'Cause she thinks she's so- 
 Phisticated 
 Peekin', seekin' inside a book 
 Her demands for a man with a chemical look 
 Wishes, desires, gettin' worse with age 
 She doesn't want a man, all she wants is a page 
 Ain't got a man so she goes to a club 
 She think it's classy but it's really a pub 
 But that's the kind of place she likes to go 
 The bitch got a problem 
 'Cause she thinks she's so- 
 Phisticated 
 Jackets, shoes, everyday ties 
 The girl only wants one of those guys 
 Suckers who front like it ain't no thing 
 Pretend to be friends, don't want that thang 
 Talk like this, don't talk slang 
 Do anything to get that thang 
 Tries to be chic and play it off 
 Peekin' through the window, I saw her take her clothes off 
 Nasty girl, stone cold freak 
 Stayin' in bed a whole goddamn week 
 Comin' and leavin' guys servin' up storms 
 From execs with checks, boys from the dorms 
 Never kept a name, never seen a face 
 She could pass 'em in the street like it never took place 
 I know she's a ho I'm on the go 
 Expose the funky bitch 
 'Cause she thinks she's so- 
 Phisticated 
 Now she wants a sucker but with an attache 
 And if you ain't got it, she'll turn you away 
 You can smile with stile but you lost your trial 
 Cause you got a gold tooth, she thinks you're wild 
 She don't want a brother that's true and black 
 If you're light, you're all right, better you stay back 
 Cause the sucker with the bag is out the catch 
 With something in his bag keepin' her attached 
 The man's got a plan, it's IBM 
 The devil at her level, yes it's him 
 His Audi she rides, his gold and clothes 
 The ill base method, turning up her nose 
 Lack a lack a lack, now beaming her up 
 She still got the nerve to turn her funky nose up 
 Her status looks at us from down below 
 Now the bitch is in trouble 
 'Cause she was so- 
 Phisticated 
 Little is known about her past 
 So listen to me 'cause I know her ass 
 Used to steal money out her boyfriends clothes 
 And never got caught, so the story goes 
 She kept doin' that to all her men 
 Found the wrong man when she did it again 
 And still to this day people wonder why 
 He didn't beat the bitch down till she almost died 
 So- 
 Phisticated"
2,Public Enemy,hiphop,Miuzi Weighs A Ton,"Yo Chuck, run a power move on them 
 (Yeah) 
 (Verse 1 - Chuck D) 
 Step back, get away - give the brother some room 
 You got to all turn me up when the beat goes boom 
 Lyric to lyric - line to line 
 Then you y'all understand my reputation for rhyme 
 Cause my rhyme reputation depends on what 
 Style of record my DJ cuts 
 His slice an' dice - super mix so nice 
 So bad, you won't dispute the price 
 'Cause it's plain to see - it's a strain to be 
 Number one in the public eye enemy 
 'Cause I'm wanted in 50 - almost 51 
 States where the posse got me on the run 
 It's a big wonder why I haven't gone under 
 Dodgin' all types of microphone thunder 
 A fugitive missin' all types of hell 
 All this because I talk so well 
 When I 
 Rock - get up - get down 
 Miuzi weighs a ton 
 Hold it 
 (Verse 2 - Chuck D) 
 The match up title - the expression of thrill 
 For elite to compete and attempt to get ill 
 If looks could kill - I'd chill until 
 All the public catches on to my material - you know 
 The ducks criticize my every phase of rapture 
 Can't wait to read the headlines of my capture 
 Accused of assault - a 1st degree crime 
 'Cause I beat competitors with my rhyme 
 Tongue whipped, pushed, shoved and tripped 
 Choked from the hold of my Kung Fu grip 
 And if you want my title - it would be suicidal 
 From my end - it would be homicidal 
 When I do work - you get destroyed 
 All the paranoid - know to avoid 
 The Public Enemy seat I've enjoyed 
 This is no kid and I'm not no toy boy 
 Rock - get up - get down 
 Miuzi weighs a ton 
 Hold it 
 (Verse 3 - Chuck D) 
 I'm a Public Enemy but I don't rob banks 
 I don't shoot bullets and I don't shoot blanks 
 My style is supreme - number one is my rank 
 And I got more power than the New York Yanks 
 If Miuzi wasn't heavy I'd probably fire it 
 I'd make you walk the plank if I was a pirate 
 If they made me a King - I would be a tyrant 
 If you want to get me - go ahead and try it 
 Snatcher, dispatcher, biter never been a 
 Instead of takin' me out - take a girl to dinner 
 The level of comp has never been thinner 
 It's a runaway race where I'm the winner 
 It's unreal - they call the law 
 And claimed I had started a war 
 It was war they wanted and war they got 
 But they wilted in the heat when Miuzi got hot 
 Rock - get up - get down 
 Miuzi weighs a ton 
 Hold it 
 (Verse 4 - Chuck D) 
 My style versatile said without rhymes 
 Which is why they're after me an' on my back 
 Lookin' over my shoulder - seein' what I write 
 Hearin' what I say - then wonderin' why 
 Why they can't ever compete on my level 
 Superstar status is my domain 
 Understand my rhythm - my pattern of lecture 
 And then you'll know why I'm on the run 
 This change of events results in a switch 
 It's the lateral movement of my vocal pitch 
 It eliminates pressure on the haunted 
 But the posse is around so I got to front it 
 Plus employ tactics so coy 
 And leave no choice but to destroy 
 Soloists, groups and what they say 
 And all that try to cross my way 
 When I 
 Rock - get up - get down 
 Miuzi weighs a ton 
 Hold it 
 Yeah, that's right 
 Public Enemy number one in New York 
 Public Enemy number one in Philly 
 Public Enemy number one in DC 
 Public Enemy number one in Cleveland, Ohio 
 Also where Public Enemy number one in St. Louis 
 Public Enemy number one in New Jersey 
 And bust it 
 Where also, Public Enemy number one in Cincinnati 
 In Atlanta"
3,Public Enemy,hiphop,Timebomb,"(Intro - Flavor Flav) 
 Hey, Chuck, we got some non-believers out there... 
 Yo, we got to do somethin' about that, man... 
 Yo, we got to get stupid 
 Yo, we gotta let 'em know what time it is 
 (Verse 1 - Chuck D) 
 You go ooh and ah when I jump in my car 
 People treat me like Kareem Abdul Jabbar 
 No matter who you are, when I'm up to par 
 I betcha go hip hop, hurray or hurrah 
 But the ahhs and ohhs is my kind of news 
 Pop your tape in, put your car in cruise 
 I never heard the boos, I never drank booze 
 'Cause I just rock the rhythm, left alone the blues 
 The L.I. mystique, You sneak to peek 
 A look and then you know that we're never weak 
 I know you can't wait, it's never too late 
 No fear I'm here, and everything is straight 
 Cycles, cycles, life runs in cycles 
 New is old, no I'm not no psycho 
 The monkey on the back makes the best excel 
 The people in the crowd makes the rock well 
 The people in the back lets you know who's whack 
 And those who lack, the odds are stacked 
 The one who makes the money is white not black 
 You might not believe it but it's like that 
 When you come to my show, watch me throw 
 Down with the other brothers toe to toe 
 When you make a move, new not used 
 And watch the bro here just bust a groove 
 A fat lady soprano, loads my ammo 
 And hear my jam, with a funky piano 
 Easy on the wall but hard on the panel 
 A fool smokes Kools 'cause he chokes on Camels 
 In effect, the crew's in check 
 Run by the posse with the gold around the neck 
 Homeboys in heat, lookin' for sweet 
 Ladies in the crowd so they can meet 
 Somebody to body, makin' a baby 
 Givin' it to grandma then makin' her crazy 
 I'm a MC protector, U.S. defector 
 South African government wrecker 
 Panther power, you can feel it in my arm 
 Lookout y'all 'cause I'm a timebomb 
 Tickin', tockin', all about rockin' 
 Makin' much dollars while the crazy one's clockin' 
 The rhythm, to shake the house downy down 
 Bounce to the ounce, sound so crown 
 The man, the enemy, Public King, no 
 All fall to the force of my swing 
 Like Ali, Frazier, Thriller in Manila 
 A pinpoint point blank microphone killer am I 
 No need to lie, got the Flavor Flav 
 To prove ill win and if not the save 
 I'll pick up, rack up - put your whole shack up 
 Just choose to lose the bet, emcee stick up 
 This is the wiz, but the mike's not his, it's mine 
 One time let the star shine 
 And I'm tellin' you, yelling at you you're through 
 Don't think you're grown because your moustache grew 
 I'm number one, you know it weighs a ton 
 And I'll be the burger, you can be the bun, girl 
 Surroundin', my steady poundin' 
 Get, get on down to my funky sound 
 And rock the rhythm rhyme, one time your mind 
 Rhythm roll, two times control 
 The mauler and the caller of your doom 
 And when I'm ready to leave, you're gonna know I go boom 
 Three times y'all, rhythm rhyme and rock 
 Then you'll that the D is on the block 
 Four times y'all and never ever the whack 
 It's the hour to the minute, time to blow BLACK"
4,Public Enemy,hiphop,Too Much Posse,"(Intro - Flavor Flav) 
 What do you got to say about this 
 A force so strong that you can't resist 
 You may as well join'em, you know you can't beat'em 
 Pack a hundred people, ya know ya gonna need'em 
 Straight with the system is down by law 
 Cause every half hour they get nine more 
 They run all dollars that come in town 
 Either join the crew or get beat down 
 I watched all the guys be so damn cruel 
 Try to get fast, you must be a fool 
 Blood through and through, the boys don't play 
 I seen'em tax and run an operation today 
 They had too, too, too much posse 
 Yeah, I had a party, much people came by 
 I'm talking to a 'g' cause the 'g' real fly 
 Chillin' in my room, chewin' off her ear 
 Chillin' stupid fly 'cause I got stupid gear 
 My door kicked open by her man and crew 
 The 'g' turned turned to me and said, ""Who you?"" 
 So I said, ""Yo fly, yeah the 'g' lied"" 
 Stuck in the corner while the 'g' cried 
 And then from the back, my homeboys came 
 Their uzis and nines and said ""don't blame"" 
 Ya lying ass girl with the fake tears 
 We got a big posse and we show no fears 
 We got too, too, too much posse 
 We got too, too, too much posse"
5,Public Enemy,hiphop,Rightstarter (Message To A Black Man),"Mind over matter, mouth in motion 
 Can't defy 'cause I'll never be quiet 
 Let's start this 
 Right 
 You spend a buck in the 80's, whatcha you get is a preacher 
 Forgivin' this torture of the system that brought cha 
 I'm on a mission and you got that right 
 Addin' fuel to the fire, punch to the fight 
 Many have forgotten what we came here for 
 Never knew or had a clue so you're on the floor 
 Just growin', not knowin' about your past 
 Now you're lookin' pretty stupid while you're shakin' your ass 
 Mind over matter, mouth in motion 
 Can't defy 'cause I'll never be quiet 
 Let's start this 
 Right 
 Some people fear me when I talk this way 
 Some come near me, some run away 
 Some people take heed to every word I say 
 Some wanna build a posse, some stay away 
 Some people think that we plan to fail 
 Wonder why we go under or we go to jail 
 Some ask us why we act the way we act 
 Without lookin' how long they kept us back 
 Mind over matter, mouth in motion 
 Can't defy 'cause I'll never be quiet 
 Let's start this 
 Right 
 Yes, you if I bore you, I won't ignore you 
 I'm sayin' things that they say I'm not supposed to 
 Give you pride that you may not find 
 If you're blind about your past then I'll point behind 
 Kings, queens, warriors, lovers 
 People, proud sisters and brothers 
 Their biggest fear, suckers get tears 
 When we can top their best idea 
 Mind over matter, mouth in motion 
 Can't defy, 'cause I'll never be quiet 
 Let's start this 
 Right 
 Mind revolution, our solution 
 Mind over matter, mouth in motion 
 Corners don't sell it, no, you can't buy it 
 Defy 'cause I'll never be quiet 
 Let's start this 
 Right 
 Our solution, mind revolution 
 Can't sell it, no, you can't buy it in a potion 
 You lie about the life that you wanted to try 
 Tellin' me about a head you decided to fly 
 Another brother with the same woes that you face 
 But you shot with the same hands, you fall from grace 
 Every brother should be every brother's keeper 
 But you shot with your left while your right was on your beeper 
 Mind over matter, mouth in motion 
 Can't defy, 'cause I'll never be quiet 
 Let's start this 
 Right 
 As the world turns, it's a terrible waste 
 To see the stupid look stuck on your face 
 Time bomb alarm for the world, just try it 
 Known to all zones as the one man riot 
 I'm on a mission to set you straight 
 Children it's not too late 
 Explain to the world when it's plain to see 
 To be what the world doesn't want us to be 
 Mind over matter, mouth in motion 
 Can't defy, 'cause I'll never be quiet 
 Let's start this"
6,Public Enemy,hiphop,Public Enemy No. 1,"(Intro: Flavor Flav) 
 Yo Chuck, bust a move man 
 I was on my way up here to the studio, you know what I'm saying 
 And this brother stopped me and asked me 
 ""Yo, what's up with that brother Chuckie D, he swear he nice?"" 
 I said, ""Yo, the brother don't swear he nice, he knows he's nice"", you know what I'm saying 
 So Chuck, we got a feeling you turning into a Public Enemy, man 
 Now remember that line you was kicking to me on the way out to L.A. Laurelton Queens 
 While we was in the car on our way to the shop 
 Well yo, right now, kick the bass for them brothers and let 'em know 
 What goes on 
 (Verse 1: Chuck D) 
 What goes on? 
 Well I'm all in, put it up on the board 
 Another rapper shot down from the mouth that roared 
 1-2-3 down for the count 
 The result of my lyrics, oh yes, no doubt 
 Cold rock rap - 49er supreme 
 Is what I choose and I use, I never lose to a team 
 'Cause I can go solo, like a Tyson bolo 
 Make the fly girls wanna have my photo 
 Run in their room, hang it on the wall 
 In remembrance that I rocked them all 
 Suckers, ducks, ho-hum emcees 
 You can't rock the kid, so go cut the cheese 
 Take this application of rhymes like these 
 My rap's red hot, 110 degrees 
 So don't start bassing, I'll start placing 
 Bets on that you'll be disgracing 
 You and your mind from my beating from my rhymes 
 A time for a crime that I can't find 
 I'll show you my gun, my Uzi weighs a ton 
 Because I'm Public Enemy number one 
 One, one, one, one 
 One, one, one, one! 
 (Verse 2: Chuck D) 
 You got no rap but you want to battle 
 It's like having a boat but you've got no paddle 
 'Cause I never pause, I say it because 
 I don't break in stores but I break all laws 
 Written while sitting, all bidding not hidden 
 Giving me the juice that you're not getting 
 I'm not a law obeyer, so you can tell your mayor 
 I'mma non-stop, rhythm rock, poetry sayer 
 I'm the rhyme player, the ozone layer 
 A battle what? Here's a bible so start your prayer 
 This word to the wise is justified 
 If they ask you what happened, just admit you lied 
 You just got caught up, for going out of order 
 And now you're serving football teams their water 
 You messed with the Master, word to Chuck 
 And I waxed cold taxed, make sure you got dunked 
 You just got dissed, all but dismissed 
 Sucker duck emcees you get me pissed 
 It's no fun being on the run 
 Because they got me Public Enemy number one 
 One, one, one, one 
 One, one, one, one! 
 (Verse 3: Chuck D) 
 Don't you know, don't you know... 
 I got a posse of a force to back me up 
 Watch out, we got metal to match 
 Ambush attack on my back, double-team you get creamed 
 So we have it, so you won't catch 
 Wanna hear it again we got a force, enemy down 
 The L.I. circuit sound 
 And Chuckie D, myself and K-Jee, Flavor, DJ Melo-D 
 Oh yes, I presume it's the tunes that make us groom 
 To make all the ladies swoon 
 But it's also the words from our direction, out the homeboy section 
 Kicking like Bruce Lee ""Chinese Connection"" 
 On stereo, never ever mono 
 On wax, yes, I'm talking about vinyl 
 They said ""Stop! Freeze!"" I got froze up 
 Because I'm Public Enemy number one 
 One, one, one, one 
 One, one, one, one! 
 (Verse 4: Chuck D) 
 For all you 
 Suckers, liars, your cheap amplifiers 
 Your crossed up wires are always starting fires 
 You grown up criers, now here's a pair of pliers 
 Get a job like your mother, heard she fixes old dryers 
 You have no desires, your father fixes tires 
 You try to sell your equipment but you get no buyers 
 It's you they never hire, you're never on flyers 
 Cause you and your crew is only known as good triers 
 Known as the poetic, political, lyrical son 
 I'm Public Enemy number one 
 One, one, one, one 
 One, one, one, one! 
 (Outro: Flavor Flav) 
 Yeah, that's right Chuck, man 
 That's what you gotta do 
 You gotta tell 'em just like that, you know what I'm saying 
 Cause yo man, let me tell you a little something man 
 These brothers running around, hard headed 
 They get a little jealous, you know what I'm saying 
 Just like that, you know, they're trying to bring you down with them 
 But yo Chuck, you got to let them know who's who in the world to be 
 You got to let them know, that this is the 80's 
 And we can get all the ladies 
 And in the backyard we got a fly Mercedes 
 And that's the way the story goes 
 That's just the way the story goes 
 Let me tell you a little something man"
7,Public Enemy,hiphop,M.P.E.,"I'm cold gettin' busy while I'm shakin' you down 
 I'm on the air, you're on the ground 
 Chuck D, the enemy, words you heed 
 Build for speed, but what you need is 
 Funky fresh lyrics fallin' down on time 
 Your enemy poppin' it, droppin' a dime 
 Comin' back rockin' a tomahawk slam 
 And still gettin' fly with the mike in my hand 
 I'm cold coolin' out, layin in the shade 
 Dealers buggin 'cause they're gonna get sprayed 
 Their intimidator, your Scarface 
 What's goin' on (huh) what's takin' place 
 I don't wear gold but I clock ducats 
 And I have the money overflowing out of buckets 
 You want crazy dollars, I make people holler 
 You stick 'em stupid and I'm snatching biters collars 
 I'll rebuilt the mine to alleviate 
 Unnecessary pressures that can create 
 The sting that stung Yama-Goochie Foo Yung 
 When he bit the Public Enemy he only got hung 
 Cause his brain was gettin' bigger than a pregnant toad 
 His heartbeat stopped cause of overload 
 I made the beat that broke his back 
 I cut his circulation made his world turn back 
 I find out things like E.S.P 
 Amazing world of Kreskin's brain velocity 
 Like Alexander Mundy, I'm in like Flint 
 Mercedes limousine with a hardcore tint 
 I'm captain of the ship, I make 'em walk the planks 
 Riding round the world, hundred sixty million francs 
 Not like the kind that you put on the grill 
 'Cause I only do it like that when I'm on a chill hill 
 When I get to the beach, the ground's so sandy 
 Girls on my jock like ants on candy 
 Checking out the fellas with the girls on the side 
 Put ya boat in the water, let's take a ride 
 To the land of party people rocking shocking to the beat 
 So keep ya eyes on ya girl cause ya know I'm gonna cheat 
 I'm gonna max and relax and chill my will 
 Body rockin', brain shockin' makes your heart stand still 
 I'm goin' for the money that man ever made 
 Gettin' thrill from orders, suckers obeyed 
 It's gettin' late and I can't wait 
 To drive by the bus and rock my tape 
 My car is movin', fast like a train 
 Never skid off the road, even in the rain 
 Cold dodgin' tickets, rockin' all the jams 
 Make biters step back and understand"
8,Public Enemy,hiphop,Yo! Bum Rush The Show,"I am taking no prisoners, taking no shorts 
 Breakin' with the metal of a couple of forts 
 While we're hearin' that boom supplement the mix 
 We're gonna rush 'em like the Bears in the 46 
 Homeboys I don't know but they're part of the pack 
 In the plan against the man, bum rush attack 
 For the suckers at the door, if you're up and around 
 For the suckers at the door, we're gonna knock you back down 
 Yo! Bum rush the show! 
 Searching my body for fuckin' what 
 Cause my gun's just for fun and knife don't cut 
 How can I make you understand 
 I get ill on a posse with my goddamn hands 
 Troubles, not me, I don't mean to cause 
 But you took one look and began to pause 
 Didn't holler at the dollar we willin' to spend 
 But you took one look and wouldn't let our ass in 
 Yo! Bum rush the show! 
 Cold bum rushin' doors like at first it's something 
 But all we realize that the show ain't nothin' 
 For the stunts and the blunts, whole world inside 
 The reason that the mighty used force supplied 
 No comp, we'll stomp all in our way 
 Gave me static so I won't pay 
 It might be a trick that you don't like 
 Comin' in the side door then grabbin' the mike 
 Walkin' and talkin' - fist full in the air 
 It might seem like that we don't care 
 A ho for an oh, a pow for an ow 
 Girls start screamin' all I say is wow 
 Get that sucker who shot that gun 
 Whip his monkey ass till it ain't no fun 
 5-O showed and wouldn't you know 
 They blamed it on the kid cause all I said was... 
 Yo! Bum rush the show!"
9,Public Enemy,hiphop,Raise The Roof,"Raise your hands, so we can 
 Raise the roof, so you can 
 Raise your voice, so we can 
 Raise the roof 
 Raise the roof because it's all on fire 
 Not done by the sun or electrical wire 
 Not done by sons striking matches with daughters 
 But done by scratches so save that water 
 This jam is packed so I just figure 
 All we need is the house to get bigger 
 So startin' with the roof down to the base 
 We're at your service to burn the place 
 Come on 
 Come on raise the roof 
 Come on 
 Raise the roof 
 Come on 
 With the spot as hot as it can get 
 The roof's on fire, you're soaked and wet 
 The puzzle on your face shows as you sweat 
 But your body keeps movin' with no regrets 
 Chandeliers shake, swing from front to back 
 Left to right all night, and the lights don't crack 
 Your minds on the time, hopin' it don't end 
 It's time to get stupid, here we go again 
 Come on 
 Come on raise the roof 
 Come on 
 Raise the roof 
 Come on 
 Stare at the strope, pull your earlobe 
 For the sights and sounds clear across the globe 
 This jam might hit or miss the charts 
 But the style gets wild as state of the art 
 Dazzling in science, bold in nerve 
 But givin' my house what it deserves 
 Served on the floor 'cause I got played 
 Make the fans that left, wished they had'a stayed 
 Realize my friend, ain't this a trip 
 As your body gets railed when you do the flip 
 And your mind gets rocked when we're on a roll 
 Then the freak of the week makes you lose control 
 A Swatch for a watch, so you'll know the time 
 Your crowd gets loud and you clock my rhyme 
 The messiah's on fire and I'm living proof 
 I'll quench your desire and raise your roof 
 Come on 
 Come on raise the roof 
 Come on 
 Raise the roof 
 Come on 
 In school I'm cool throughout the week 
 When the weekend comes, I'm down with the Greeks 
 Frat brothers known across the seven seas 
 Fly ladies of the 80's, sororities 
 Zetas, Deltas, AKA's 
 Women that keep me in a daze 
 Phi Sigma boys in the move 
 With the Kappas and the Ques and of course the Grooves too 
 And for real it's the deal and the actual fact 
 Takes a nation of millions to hold me back 
 Rejected and accepted as a communist 
 Claimin' fame to my name as a terrorist 
 Makin' money in corners that you'll never see 
 Dodgin' judges and the lawyers and the third degree 
 Nothin' wrong with a song to make the strong survive 
 Realize gave me five 'cause I kept 'em alive 
 Mislead what you read bout my devilish deeds 
 Mislead what I said so you're better off dead 
 Make 'em hear it and see it for the Def and blind 
 And command it and we'll plan it for incapable minds 
 Take for granted and demand it from the wave of my hand 
 Make the jealous understand it, just say damn 
 When they see me ask a question, ""How the hell can it be?"" 
 When they watch me pull a serpent straight out of the sea 
 Turn the winter into summer, then from hot to cold 
 Expand my power on the hour, make you all behold 
 From the slammer swing a hammer like the mighty Thor 
 God of thunder, you'll go under, then you'll all applaud 
 And fathom that distance that the mad must reap 
 Meet Namor sea lord, Prince of the deep 
 Here for you to fear at any cost 
 Tellin' you to get busy or you better get lost 
 Livin' lives civilized from the lessons I taught 
 Cities buried underground just because I went off 
 My friends, enemies, better be my friend 
 Is the question people guessin' is this the end? 
 End of the world, are you guessin' yes? 
 Just say don't delay it, get it off your chest 
 Houses of crack, I've seen too much 
 I go ready, aim, fire, then I'll blow 'em up"
