,0,1,2,3
0,Spice Girls,pop,Wannabe,"Yo, I'll tell you what I want, what I really, really want 
 So tell me what you want, what you really, really want 
 I'll tell you what I want, what I really, really want 
 So tell me what you want, what you really, really want 
 I wanna (ha), I wanna (ha), I wanna (ha), I wanna (ha), I wanna 
 Really, really, really wanna zig-a-zig ah 
 If you want my future, forget my past 
 If you wanna get with me, better make it fast 
 Now, don't go wastin' my precious time 
 Get your act together, we could be just fine 
 I'll tell you what I want, what I really, really want 
 So tell me what you want, what you really, really want 
 I wanna (ha), I wanna (ha), I wanna (ha), I wanna (ha), I wanna 
 Really, really, really wanna zig-a-zig ah 
 If you wanna be my lover, you gotta get with my friends (gotta get with my friends) 
 Make it last forever, friendship never ends 
 If you wanna be my lover, you have got to give 
 Takin' is too easy, but that's the way it is 
 Whatchu think about that? Now you know how I feel 
 Say you can handle my love, are you for real? (Are you for real?) 
 I won't be hasty, I'll give you a try 
 If you really bug me, then I'll say goodbye 
 Yo, I'll tell you what I want, what I really, really want 
 So tell me what you want, what you really, really want 
 I wanna (ha), I wanna (ha), I wanna (ha), I wanna (ha), I wanna 
 Really, really, really wanna zig-a-zig ah 
 If you wanna be my lover, you gotta get with my friends (gotta get with my friends) 
 Make it last forever, friendship never ends 
 If you wanna be my lover, you have got to give (you've got to give) 
 Takin' is too easy, but that's the way it is 
 So here's a story from A to Z, you wanna get with me 
 You gotta listen carefully 
 We got Em in the place who likes it in your face 
 You got G like MC who likes it on an 
 Easy V doesn't come for free, she's a real lady 
 And as for me, ha ha, you'll see 
 Slam your body down and wind it all around 
 Slam your body down and wind it all around 
 If you wanna be my lover, you gotta get with my friends (gotta get with my friends) 
 Make it last forever, friendship never ends 
 If you wanna be my lover, you have got to give (you've got to give) 
 Takin' is too easy, but that's the way it is 
 If you wanna be my lover 
 You gotta, you gotta, you gotta, you gotta, you gotta (Make it last forever) 
 Slam, slam, slam, slam 
 Slam your body down and wind it all around 
 Slam your body down and wind it all around (Huh! Huh! Huh! Huh! Huh!) 
 Slam your body down and wind it all around 
 Slam your body down and zigazig-ah 
 If you wanna be my lover"
1,Spice Girls,pop,Say You'll Be There,"Melanie C: 
 Oh, say you'll be there 
 All: 
 I'm giving you everything 
 All that joy can bring 
 This I swear 
 Emma: 
 Last time that we had this conversation 
 I decided we should be friends, hey 
 But now, we're going 'round in circles 
 Tell me will this déjà vu never end? Oh 
 Melanie B: 
 And now you tell me that you're falling in love 
 Well, I never ever thought that would be, eh 
 This time, you gotta take it easy 
 Melanie B and Emma: 
 Throwing far too much emotions at me 
 Victoria and Emma: 
 But any fool can see they're falling 
 I gotta make you understand 
 All: 
 I'm giving you everything 
 All that joy can bring 
 This I swear ( 
 Emma: 
 I'll give you everything) 
 And all that I want from you 
 Is a promise you will be there 
 Emma: 
 Say you will be there, ow 
 Melanie B: 
 Say you will be there 
 Won't you sing it with me? 
 Geri: 
 If you put two and two together 
 Geri and Melanie C: 
 You will see what our friendship is for, oh 
 Geri: 
 If you can't work this equation 
 Geri and Melanie C: 
 Then I'll guess I'll have to show you the door 
 Victoria and Emma: 
 There is no need to say you love me 
 It would be better left unsaid 
 All: 
 I'm giving you everything ( 
 Melanie B: 
 I'll give you everything) 
 All that joy can bring ( 
 Melanie B: 
 All that joy can bring) 
 This I swear ( 
 Melanie B: 
 Yes, I swear) 
 And all that I want from you ( 
 Melanie B: 
 All I want from you) 
 Is a promise you ( 
 Melanie B: 
 Is a promise you) 
 Will be there 
 Yeah, I want you 
 Victoria and Emma: 
 Any fool can see they're falling 
 I gotta make you understand 
 Melanie B: 
 I'll give you everything, on this I swear 
 Just promise you'll always be there 
 All: 
 I'm giving you everything ( 
 Melanie C: 
 I'm giving you everything) 
 All that joy can bring ( 
 Melanie C: 
 All that joy can bring) 
 This I swear ( 
 Melanie C: 
 Yes, I swear) 
 And all that I want from you ( 
 Meanie C: 
 All that I want from you) 
 Is a promise you ( 
 Melanie C: 
 I want you to promise to) 
 Will be there ( 
 Melanie C: 
 Always be there) 
 I'm giving you everything ( 
 Melanie C: 
 I'm giving you everything) 
 All that joy can bring ( 
 Melanie C: 
 All that joy can bring) 
 This I swear ( 
 Melanie C: 
 Yes, I swear) 
 And all that I want from you ( 
 Melanie C: 
 All that I want from you) 
 Is a promise you ( 
 Melanie C: 
 I want you to promise to) 
 Will be there ( 
 Melanie C: 
 Always be there) 
 I'm giving you everything ( 
 Melanie C: 
 I'm giving you everything) 
 All that joy can bring ( 
 Melanie C: 
 All that joy can bring) 
 This I swear ( 
 Melanie C: 
 Yes, I swear) 
 And all that I want from you ( 
 Melanie C: 
 All that I want from you) 
 Is a promise you ( 
 Melanie C: 
 I want you to promise to) 
 Will be there"
2,Spice Girls,pop,2 Become 1,"Melanie C: 
 Candlelight and soul forever 
 A dream of you and me together 
 Say you believe it, say you believe it 
 Melanie B: 
 Free your mind of doubt and danger 
 Be for real, don't be a stranger 
 We can achieve it, we can achieve it 
 Emma: 
 Come a little bit closer, baby, get it on, get it on 
 'Cause tonight is the night when two become one 
 Emma and Geri: 
 I need some love like I never needed love before 
 Melanie C and Victoria: 
 Wanna make love to ya, baby 
 Emma and Geri: 
 I had a little love, now I'm back for more 
 Melanie C and Victoria: 
 Wanna make love to ya, baby 
 Melanie B: 
 Set your spirit free, it's the only way to be 
 Melanie C: 
 Silly games that you were playin' 
 Empty words we both were sayin' 
 Let's work it out, boy, let's work it out, boy 
 Victoria: 
 Once again if we endeavor 
 Love will bring us back together 
 Take it or leave it, take it or leave it 
 Emma: 
 Are you as good as I remember, baby? 
 Get it on, get it on 
 'Cause tonight is the night when two become one 
 Emma and Geri: 
 I need some love like I never needed love before 
 Melanie C and Victoria: 
 Wanna make love to ya, baby 
 Emma and Geri: 
 I had a little love, now I'm back for more 
 Melanie C and Victoria: 
 Wanna make love to ya, baby 
 Melanie B: 
 Set your spirit free, it's the only way to be 
 Emma: 
 Be a little bit wiser, baby, put it on, put it on 
 'Cause tonight is the night when two become one 
 Emma and Geri: 
 I need some love like I never needed love before 
 Melanie C and Victoria: 
 Wanna make love to ya, baby 
 Emma and Geri: 
 I had a little love, now I'm back for more 
 Melanie C and Victoria: 
 Wanna make love to ya, baby 
 Emma and Geri: 
 I need some love like I never needed love before 
 Melanie C and Victoria: 
 Wanna make love to ya, baby 
 Emma and Geri: 
 I had a little love, now I'm back for more 
 Melanie C and Victoria: 
 Wanna make love to ya, baby 
 Melanie B: 
 Set your spirit free, it's the only way to be 
 It's the only way to be 
 It's the only way to be"
3,Spice Girls,pop,Love Thing,"You know I don't wanna know 
 Don't wanna know about that love thing 
 Give me what I'm needing 
 You know what I'm dreaming of 
 Don't wanna know about that love thing 
 Been broken-hearted before, oh 
 But that's the last time it happens to me, yeah 
 I keep on giving, still you're asking for more 
 Too much emotion, baby, why can't you see? 
 I'm not afraid of your love (Not afraid of your love) 
 Why can't you see I've had my share of that? 
 You gotta want more 
 You know you got it, boy 
 You gotta want me 
 It's just like me 
 I'm not that easy as a matter of fact 
 There's no room for lovin' 
 Stop that push and shovin', yeah 
 Don't wanna know about that love thing 
 Give me what I'm needing 
 You know what I'm dreaming of 
 Don't wanna know about that love thing 
 (Here we go, here we go, here we go) 
 Now, don't go wasting my time, no (Wasting my time) 
 You're not the only thing I've got on my mind 
 My friends are with me when you ain't been around 
 Your precious words and promises ain't bringing me down 
 I've got some living to do (Got some living to do) 
 But don't assume I'm gonna be with you 
 You gotta want more 
 You know you got it, boy 
 You gotta want me 
 It's just like me 
 I'm not that easy as a matter of fact 
 There's no room for lovin' 
 Stop that push and shovin', yeah 
 Don't wanna know about that love thing 
 Give me what I'm needing 
 You know what I'm dreaming of 
 Don't wanna know about that love thing 
 Stop pushin' 
 You're rushin' 
 You're losin' my lovin' 
 I hope it 
 I see it 
 Just play it 
 You feel it 
 Gotta be bold 
 Bold and oh so strong 
 Get with this and you got it goin' on 
 On and on with the girls named Spice 
 You wanna get with us, then you'd better think twice 
 God help the mister 
 Yeah, God help the mister 
 That comes between me and my sisters 
 I'm not afraid of your love (Not afraid of your love) 
 Why can't you see I've had my share of that? 
 You're what I want more 
 You know you got it, boy 
 You gotta want me 
 It's just like me 
 I'm not that easy as a matter of fact 
 There's no room for lovin' 
 Stop that push and shovin', yeah 
 Don't wanna know about that love thing 
 Give me what I'm needing 
 You know what I'm dreaming of 
 Don't wanna know about that love thing 
 There's no room for lovin' 
 Stop that push and shovin', yeah 
 Don't wanna know about that love thing 
 Give me what I'm needing 
 You know what I'm dreaming of 
 Don't wanna know about that love thing 
 There's no room for lovin' 
 Stop that push and shovin', yeah 
 Don't wanna know about that love thing 
 Give me what I'm needing 
 You know what I'm dreaming of 
 Don't wanna know about that love thing"
4,Spice Girls,pop,Last Time Lover,"Geri: 
 Treat me right, all night 
 Makes me feel good, like you should 
 Melanie B: 
 Listen up, I gotta tell ya 
 About the ins and outs and goings-on 
 I wouldn't tell just anybody 
 About the fox that I've been chasing 
 He's resistant, not persistent 
 It didn't stop me from homing in 
 'Cause I'm a choosy not a floozy 
 I get my hit and then I run with it 
 All: 
 Last time lover (Lover) 
 Emma: 
 Do you think I'm really cool and sexy? 
 And I know you wanna get with me 
 All: 
 Last time lover (Lover) 
 Emma: 
 Do you wanna be my last time, baby? 
 Could it be your first time maybe? 
 Melanie B: 
 We got up and down to it (Oh yeah) 
 Like the dirty bass in the music 
 I got my major chords strumming 
 Took some time and then we're really buzzing 
 First bite whet my appetite 
 Second helping's always better 
 Started getting burning hot 
 I found my pride not easy 
 Slowed it down, I said stop 
 All: 
 Last time lover (Lover) 
 Emma: 
 Do you think I'm really cool and sexy? 
 And I know you wanna get with me 
 All: 
 Last time lover (Lover) 
 Emma: 
 Do you wanna be my last time, baby? 
 Could it be your first time maybe? 
 All: 
 Last time lover ( 
 Geri: 
 Treat me right) 
 Lovin' under cover ( 
 Geri: 
 All night) 
 Last time lover ( 
 Geri: 
 Makes me feel good) 
 Lovin' under cover ( 
 Geri: 
 Like you should) 
 Last time lover 
 Last time lover ( 
 Geri: 
 Treat me right) 
 Lovin' under cover ( 
 Geri: 
 All night) 
 Geri: 
 Cool, sexy, ever ready 
 Someone fine, always steady 
 Gentle hands, dirty mind 
 Use your head and don't be blind 
 Words of love, they don't wash with me 
 What's the rush? No urgency you see 
 Crazy boy, potential lover 
 First and last lover, brother, ain't no other 
 Crazy, sweety, cool but racy 
 Steady, ready, go, yes 
 All: 
 Last time lover (Lover) 
 Emma: 
 Do you think I'm really cool and sexy? 
 And I know you wanna get with me 
 All: 
 Last time lover (Lover) 
 Emma: 
 Do you wanna be my last time, baby? 
 Could it be your first time maybe? 
 All: 
 Last time lover (Lover) 
 Emma: 
 Do you think I'm really cool and sexy? 
 And I know you wanna get with me 
 All: 
 Last time lover (Lover) 
 Emma: 
 Do you wanna be my last time, baby? 
 Could it be your first time maybe? 
 All: 
 Last time lover ( 
 Geri: 
 Treat me right) 
 Lovin' under cover ( 
 Geri: 
 All night) 
 Emma: 
 Do you think I'm really cool and sexy? 
 And I know you wanna get with me 
 All: 
 Last time lover ( 
 Geri: 
 Makes me feel good) 
 Lovin' under cover ( 
 Geri: 
 Like you should) 
 Emma: 
 Do you wanna be my last time, baby? 
 Could it be your first time maybe? 
 All: 
 Last time lover ( 
 Geri: 
 Treat me right) 
 Lovin' under cover ( 
 Geri: 
 All night) 
 Emma: 
 Do you think I'm really cool and sexy? 
 And I know you wanna get with me"
5,Spice Girls,pop,Mama,"Emma: 
 She used to be my only enemy and never let me free 
 Catching me in places that I knew I shouldn't be 
 Every other day, I crossed the line 
 I didn't mean to be so bad 
 I never thought you would become the friend I never had 
 Melanie C and Victoria and Geri: 
 Back then, I didn't know why 
 Why you were misunderstood 
 So now, I see through your eyes 
 All that you did was love 
 All: 
 Mama, I love you, Mama, I care 
 Mama, I love you, Mama, my friend 
 Melanie C: 
 You're my friend 
 Melanie B: 
 I didn't want to hear it then, but I'm not ashamed to say it now 
 Every little thing you said and did was right for me 
 I had a lot of time to think about 
 About the way I used to be 
 Never had a sense of my responsibility 
 Melanie C & Victoria and Geri: 
 Back then, I didn't know why 
 Why you were misunderstood 
 So now, I see through your eyes 
 All that you did was love 
 All: 
 Mama, I love you, Mama, I care 
 Mama, I love you, Mama, my friend 
 Melanie C: 
 You're my friend 
 You're my friend 
 Melanie C and Geri and Victoria: 
 But now, I'm sure I know why ( 
 Melanie B: 
 I know why) 
 Why you were misunderstood 
 So now, I see through your eyes ( 
 Melanie B: 
 see through your eyes) 
 All I can give you is love ( 
 Melanie B: 
 all I can give you is love) 
 All: 
 Mama, I love you, Mama, I care 
 Mama, I love you, Mama, my friend 
 Mama, I love you, Mama, I care 
 Mama, I love you, Mama, my friend 
 Melanie C: 
 You're my friend 
 You're my friend 
 All: 
 Mama, I love you, 
 Melanie B: 
 Me loving you 
 Emma: 
 You loving me 
 All: 
 Mama I care 
 Melanie B: 
 A love that's true, 
 Emma: 
 A love that's true 
 Melanie B: 
 And guaranteed, 
 Emma: 
 So true 
 All: 
 Mama I love you 
 Melanie B: 
 Me loving you, 
 Emma: 
 Me loving you 
 Melanie B: 
 You loving me, 
 Emma: 
 You loving me 
 All: 
 Mama I care 
 Melanie B: 
 A love that's true, 
 Emma: 
 A love that's true 
 Melanie B: 
 And guaranteed, 
 Emma: 
 So true 
 All: 
 Mama I love you 
 Melanie B: 
 Me loving you, 
 Emma: 
 Me loving you 
 Melanie B 
 You loving me, 
 Emma: 
 You loving me 
 All: 
 Mama my friend 
 Melanie B: 
 A love that's true, 
 Emma: 
 A love that's true 
 Melanie B: 
 And guaranteed, 
 Emma: 
 So true 
 All: 
 Mama I love you 
 Melanie B: 
 Me loving you, 
 Emma: 
 Me loving you 
 Melanie B: 
 You loving me, 
 Emma: 
 You loving me 
 All: 
 Mama I care 
 Melanie B: 
 A love that's true, 
 Emma: 
 A love that's true 
 Melanie B: 
 And guaranteed, 
 Emma: 
 So true"
6,Spice Girls,pop,Who Do You Think You Are,"The race is on to get out of the bottom 
 The top is high so your roots are forgotten 
 Giving is good as long as you're getting 
 What's driving you? It's ambition and betting 
 I said who do you think you are? (do you think you are) 
 I said ""who?"" 
 Some kind of superstar 
 You have got to 
 Swing it, shake it, move it, make it 
 Who do you think you are? 
 Trust it, use it, prove it, groove it 
 Show me how good you are 
 Swing it, shake it, move it, make it 
 Who do you think you are? 
 Trust it, use it, prove it, groove it 
 Show how good you are 
 You're swelling out in the wrong direction 
 You've got the bug, superstar, you've been bitten 
 Your trumpet's blowing for far too long 
 Climbing the snake of the ladder, but you're wrong 
 I said who do you think you are? (do you think you are) 
 I said ""who?"" 
 Some kind of superstar 
 You have got to 
 Swing it, shake it, move it, make it 
 Who do you think you are? 
 Trust it, use it, prove it, groove it 
 Show me how good you are 
 Swing it, shake it, move it, make it 
 Who do you think you are? 
 Trust it, use it, prove it, groove it 
 Show how good you are 
 You have got to reach on up 
 Never lose your soul 
 You have got to reach on up 
 Never lose control 
 I said who do you think you are? (do you think you are) 
 I said ""who?"" 
 Some kind of superstar 
 You have got to 
 Swing it, shake it, move it, make it 
 Who do you think you are? 
 Trust it, use it, prove it, groove it 
 Show me how good you are 
 Swing it, shake it, move it, make it 
 Who do you think you are? 
 Trust it, use it, prove it, groove it 
 Show how good you are 
 Swing it (swing), shake it (shake), move it (move it), make it (make it) 
 Who do you think you are? 
 Trust it (trust), use it (use), prove it (prove it), groove it (groove it) 
 Show me how good you are 
 Swing it (swing), shake it (shake), move it (move it), make it (make it) 
 Who do you think you are? 
 Trust it (trust), use it (use), prove it (prove it), groove it (groove it) 
 Show me how good you are 
 Swing it (swing), shake it (shake), move it (move it), make it (make it) 
 Who do you think you are? 
 Trust it (trust), use it (use), prove it (prove it), groove it (groove it) 
 Show me how good you are 
 Swing it (swing), shake it (shake), move it (move it), make it (make it) 
 Who do you think you are? 
 Trust it (trust), use it (use), prove it (prove it), groove it (groove it) 
 Show me how good you are 
 Swing it (swing), shake it (shake), move it (move it), make it (make it) 
 Who do you think you are? 
 Trust it (trust), use it (use), prove it (prove it), groove it (groove it) 
 Show me how good you are 
 Swing it (swing), shake it (shake), move it (move it), make it (make it) 
 Who do you think you are? 
 Trust it (trust), use it (use), prove it (prove it), groove it (groove it) 
 Show me how good you are"
7,Spice Girls,pop,Something Kinda Funny,"Melanie C: 
 Yeah, oh yeah 
 All: 
 We've got something kinda funny goin' on ( 
 Melanie C: 
 We got it, yeah-hey-ey) 
 We've got something kinda funny goin' on 
 Melanie C: 
 Wherever you're going, high or low 
 Remember to sure enjoy the show 
 Melanie B: 
 So climb aboard my journey deep inside 
 Better late than dead on time 
 Emma: 
 Ooh, it's you I know that you have got to feed, yeah, yeah 
 Ooh, don't take from me more than you really need 
 More than you really need 
 All: 
 We've got something kinda funny goin' on (We got it) 
 We've got something kinda funny goin' on (We got it, ooh) 
 Melanie B: 
 Happiness is just a state of your mind 
 Keep searching, who knows what you may find? 
 Melanie C: 
 Rules are for fools, and fool's paradise is hard to find 
 Play my game or get left behind 
 Emma: 
 It's you that I know you have got to feed, yeah, yeah 
 Ooh, take from me what you feel that you need 
 You feel that you need 
 All: 
 We've got something kinda funny goin' on (We got it) 
 We've got something kinda funny goin' on (We got it, ooh) 
 Melanie C: 
 You've got it, you've got it, hey-yay-yay, hey-yay-yay 
 You've got it, you've got it, hey-yay-yay-yay-hey 
 Melanie B: 
 You've got it, you've got it, hey-yay-yay, eh eh, hey-yay-yay, 
 Hey-yay-yay, eh eh eh eh 
 All: 
 Feelin' kinda funny 
 Feelin' kinda... queezy 
 I ain't that easy 
 We've got something kinda funny goin' on (We got it, we got it) (Ooh, something kinda funny) 
 We've got something kinda funny goin' on (Hoo yeah) (We got it, we got it) (Ooh) 
 We've got something kinda funny goin' on (Something, kinda, funny) (We got it, we got it) 
 We've got something kinda funny goin' on 
 We've got something kinda funny goin' on"
8,Spice Girls,pop,Naked,"Naivety and childhood left behind 
 Deprived of the goodness of mankind 
 Past encounters have made her strong 
 Strong enough to carry on and on 
 Undress you with her eyes 
 Uncover the truth from the lies 
 Strip you down, no need to care 
 Lights are low, exposed and bare 
 (Naked) Nothing but a smile upon her face 
 (Naked) She wants to play seek and hide, no one to hide behind 
 (Naked) This child has fallen from grace 
 (Naked) Don't be afraid to stare, she is only naked 
 (Naked) 
 She knows exactly what to do with men like you 
 Inside out in her mind there's no doubt where you're coming from 
 Mystery will turn you on 
 Undress you with her eyes 
 Uncover the truth from the lies 
 Strip you down, no need to care 
 Lights are low, exposed and bare 
 (Naked) Nothing but a smile upon her face 
 (Naked) She wants to play seek and hide, no one to hide behind 
 (Naked) This child has fallen from grace 
 (Naked) Don't be afraid to stare, she is only naked 
 (Naked) 
 Hello? It's me. I thought you'd understand. Well, maybe I should have kept my mouth shut. I keep seeing such a pretty picture. I'd rather be hated than pitied. Maybe I should have left it to your imagination. I just want to be me. 
 This angel's dirty face is sore 
 Holding onto what she had before 
 Not sharing secrets with any old fool 
 Now she's gonna keep her cool 
 She wants to get naked 
 She wants to get naked 
 (Naked) Nothing but a smile upon her face 
 (Naked) She wants to play seek and hide, no one to hide behind 
 (Naked) This child has fallen from grace 
 (Naked) Don't be afraid to stare, she is only naked 
 (Naked) Nothing but a smile upon her face 
 (Naked) She wants to play seek and hide, no one to hide behind 
 (Naked) This child has fallen from grace 
 (Naked) Don't be afraid to stare, she is only naked 
 (Naked) Nothing but a smile upon her face 
 (Naked) She wants to play seek and hide, no one to hide behind 
 (Naked) This child has fallen from grace 
 (Naked) Don't be afraid to stare, she is only naked"
9,Spice Girls,pop,If U Can't Dance,"If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby 
 If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby 
 Now we got the flavour, the bad behaviour 
 The rhythm, the melody, the juice for you to savour 
 We're rockin' and vibin' but somebody is jivin' 
 You need to take a tip, sort it out, get a grip 
 Whenever I go out, whenever it may be 
 Never is there a Keanu, but a dweeb lookin' at me 
 But then even if I did score, he's a loser in the dance floor 
 Take a deep breath count one, two, three 
 Even when his eyes met mine 
 His slamming moves were out of time 
 Can't you just feel the groove? 
 Why don't you move? 
 It's easy, can't you see? (Can't you see?) 
 Take my hands and dance with me (Dance with me) 
 If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby 
 If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby 
 Hey macho, te ví el otro día 
 Me dio mucha, mucha alegría 
 Escucha la música, ay madre mía! 
 Hey chico, tu no tienes nada 
 Que susto, que sueco, que polla, que tieso 
 Oh, no me toques, ay que pero, feo 
 Venga, venga, marcha salida, toma esa música 
 Me cantas deprisa, cuidado, cuidado, hey chico 
 Que loco, toma mi ritmo, me voy contigo 
 Hey macho te quiero, quiero un hombre, necesito si 
 Pero no tú, un hombre, hey macho, hey macho 
 Si no bailas esto no puedes nada conmigo 
 If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby 
 If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby 
 Can't do nothing for me, baby (Oh-oh whoa-whoa whoa-whoa whoa-whoa whoa) 
 Nothing, baby (Oh-oh whoa-whoa whoa-whoa whoa-whoa whoa) 
 The rhythm 
 You can't do nothing for me, baby (Oh-oh whoa-whoa whoa-whoa whoa-whoa whoa) 
 Even when his eyes met mine 
 His slamming moves were out of time 
 Can't you just feel the groove? 
 Why don't you move? (Oh-oh whoa-whoa whoa-whoa whoa-whoa whoa) 
 It's easy, can't you see? (Can't you see?) 
 Take my hands and dance with me (Dance with me) 
 If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby 
 If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby 
 (Can't do nothing for me baby) 
 If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby 
 (You can't do nothing for me baby) 
 If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby 
 (Can't do nothing for me baby) 
 If you can't dance, if you can't dance 
 If you can't dance, if you can't dance 
 If you can't dance to this, you can't do nothing for me, baby"
