,0,1,2,3
0,The Doors,rock,Break On Through (To The Other Side),"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
1,The Doors,rock,Soul Kitchen,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
2,The Doors,rock,The Crystal Ship,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
3,The Doors,rock,Twentieth Century Fox,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
4,The Doors,rock,Alabama Song (Whisky Bar),"Oh, show me the way to the next whiskey bar 
 Oh, don't ask why 
 Oh, don't ask why 
 Show me the way to the next whiskey bar 
 Oh, don't ask why 
 Oh, don't ask why 
 For if we don't find the next whiskey bar 
 I tell you we must die 
 I tell you we must die 
 I tell you, I tell you 
 I tell you we must die 
 Oh, moon of Alabama 
 We now must say goodbye 
 We've lost our good old mama 
 Man must have whiskey, or you know why 
 Oh, moon of Alabama 
 We now must say goodbye 
 We've lost our good old mama 
 Man must have whiskey, or you know why, yeah 
 Oh, show me the way to the next little girl 
 Oh, don't ask why 
 Oh, don't ask why 
 Show me the way to the next little girl 
 Oh, don't ask why 
 Oh, don't ask why 
 For if we don't find the next little girl 
 I tell you we must die 
 I tell you we must die 
 I tell you, I tell you 
 I tell you we must die 
 Oh, moon of Alabama 
 We now must say goodbye 
 We've lost our good old mama 
 Man must have whiskey, or you know why"
5,The Doors,rock,Light My Fire,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
6,The Doors,rock,Back Door Man,"Oh yeah babe 
 Yeah I'm a back door man 
 I'm a back door man 
 The men don't know 
 But the little girls understand 
 Hey, all you people that tryin' to sleep 
 I'm out to make it with my midnight creep, yeah 
 'Cause I'm a back door man 
 The men don't know 
 But the little girls understand 
 All right, yeah 
 You men eat your dinner, eat your pork and beans 
 I eat more chicken any man ever seen, yeah yeah 
 I'm a back door man 
 The men don't know 
 But the little girls understand 
 Well, I'm a back door man 
 I'm a back door man 
 Whoa, baby 
 I'm a back door man 
 The men don't know 
 But the little girls understand"
7,The Doors,rock,I Looked At You,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
8,The Doors,rock,End Of The Night,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
9,The Doors,rock,Take It As It Comes,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
10,The Doors,rock,The End,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
11,The Doors,rock,Moonlight Drive,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
12,The Doors,rock,Indian Summer (8/19/66 Vocal),"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
13,The Doors,rock,Strange Days,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
14,The Doors,rock,You're Lost Little Girl,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
15,The Doors,rock,Love Me Two Times,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
16,The Doors,rock,Unhappy Girl,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
17,The Doors,rock,Horse Latitudes,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
18,The Doors,rock,People Are Strange,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
19,The Doors,rock,My Eyes Have Seen You,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
20,The Doors,rock,I Can't See Your Face In My Mind,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
21,The Doors,rock,When The Music's Over,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
22,The Doors,rock,People Are Strange (False Starts & Studio Dialogue),"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
23,The Doors,rock,Love Me Two Times (Take 3),"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
24,The Doors,rock,"Hello, I Love You","Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
25,The Doors,rock,Love Street,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
26,The Doors,rock,Not To Touch The Earth,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
27,The Doors,rock,Summer's Almost Gone,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
