,0,1,2,3
0,Tool,metal,Sweat,"I'm sweating and breathing 
 And staring and thinking 
 And sinking deeper 
 And it's almost like I'm swimming 
 The sun is burning hot again 
 On the hunter and the fisherman 
 And I'm trying to remember when 
 But it makes me dizzy 
 Seems like I've been here before 
 Seems so familiar 
 Seems like I'm slipping into a dream within a dream 
 It's the way you whisper 
 The sun is setting cool again 
 I'm a thinker and a fisherman 
 And I'm trying to remember when 
 But it makes me dizzy 
 And I'm sweating and breathing 
 And staring and thinking 
 And sinking deeper 
 And it's almost like I'm swimming 
 Seems like I've been here before 
 Seems so familiar 
 Seems like I'm slipping into a dream within a dream 
 It's the way you whisper 
 Drags me under 
 Takes me home 
 Seems like I've been here before 
 Seems so familiar 
 Seems like I'm slipping into a dream within a dream 
 It's the way you whisper 
 Drags me under 
 Takes me home"
1,Tool,metal,Hush,"Fuck you 
 I can't say what I want to 
 Even if I'm not serious 
 I can't say what I want to 
 Even if I'm not serious 
 Things like 
 ""Go fuck yourself. 
 Go fuck yourself. 
 You piece of shit. 
 Why don't you just go and kill yourself?"" 
 I said, I can't say what I want to 
 Even if I'm not serious 
 I can't say what I want to 
 Even if I'm just kidding 
 People tell me what to say 
 What to think and what to play 
 I said, people tell me what to say 
 What to think and what to play 
 I said, 
 ""Fuck yourself. 
 Fuck yourself. 
 You piece of shit. 
 Why don't you just go and kill yourself?"" 
 I said, I can't say what I want to 
 Even if I'm not serious 
 I can't say what I want to 
 Even if I'm just kidding 
 Go fuck yourself 
 Go fuck yourself 
 You piece of shit 
 Why don't you go fuck yourself? 
 People tell me what to say 
 What to think and what to play 
 I said, people tell me what to say 
 What to think and what to play 
 Just kidding 
 Just kidding 
 Just kidding"
2,Tool,metal,Part Of Me,"I know you well 
 You are a part of me 
 I know you better than I know myself 
 I know you best 
 Better than anyone 
 I know you better than I know myself 
 You are a part of me 
 You are just a part of me 
 You are just a part of me 
 You are just a part of me 
 You are just a part of me 
 Give it up 
 You don't speak 
 You don't judge 
 You can't leave 
 You can't hurt me 
 You're just here for me to use 
 I know you well, you are a part of me 
 I know you better than I know myself 
 I know you best, better than anyone 
 I know you better than I know myself 
 I know you well, better than one might think 
 I know you better than I know myself 
 I know you well, you are a part of me 
 I know you best, better than anyone 
 I know you well, you are a part of me 
 I know you best, better than one might think 
 It's time for you to make a sacrifice 
 It's time to die a little 
 Give it up 
 I know you best 
 Better than anyone 
 I know you better than I know myself 
 A part of me"
3,Tool,metal,Cold And Ugly,"""Throw that Bob Marley wanna-be motherfucker out of here."" 
 Safe 
 Underneath her skin and jewelry 
 Hidden in her words and eyes 
 There's a woman that's cold and ugly 
 And she's scared as hell 
 Trembling at the thought of feeling 
 Wide awake and keeping distance 
 Nothing seems to penetrate her 
 'Cause she's scared as hell 
 I am frightened too 
 I am frightened 
 Oh, oh, oh 
 Trembling at the thought of feeling 
 Wide awake and keeping distance 
 Nothing seems to penetrate her 
 'Cause she's scared as hell 
 I am frightened too 
 I am frightened 
 Wide awake and 
 Keeping distance from my soul 
 Wide awake and 
 Keeping distance from my soul 
 Safe 
 Underneath her skin and jewelry 
 Hidden in her words and eyes 
 There's a women that's cold and ugly 
 And she's scared as hell 
 Trembling at the thought of feeling 
 Wide awake and keeping distance 
 Nothing seems to penetrate her 
 'Cause she's scared as hell 
 I am frightened too 
 I am frightened too 
 I am scared like you 
 I am frightened"
4,Tool,metal,Jerk-Off,"Someone told me once that 
 There's a right and wrong 
 Punishment was sure 
 For those who dared to cross a line 
 But it must not be true 
 For jerk-offs just like you 
 And maybe it takes longer 
 To catch a total asshole 
 I'm tired of waiting 
 Someone told me once that 
 There's a right and wrong 
 Punishment was sure 
 For those who dared to cross a line 
 But it must not be true 
 For jerk-offs just like you 
 And maybe it's just bullshit 
 I should play God and shoot you myself 
 Tired of waiting, oh 
 Consequences dictate 
 A course of action and it 
 Doesn't matter what's right 
 It's only wrong if you get caught 
 If consequences dictate 
 My course of action I should 
 I should play God and just 
 Shoot you myself 
 Tired of waiting 
 Die 
 Shoot you 
 Kick you 
 Fuck you 
 Shoot you in your fucking head"
5,Tool,metal,Opiate,"Choices always were a problem for you 
 What you need is someone strong to guide you 
 Deaf and blind and dumb and born to follow 
 What you need is someone strong to guide you 
 Like me 
 Like me 
 Like me 
 Like me 
 If you want to get your soul to heaven 
 Trust in me, now don't you judge or question 
 You are broken now but faith can heal you 
 Just do everything I tell you to do 
 Deaf and blind and dumb and born to follow 
 What you need is someone strong to guide you 
 Deaf and blind and dumb and born to follow 
 Let me lay my holy hand up, hand upon you 
 Thy God's will 
 Becomes me 
 When He speaks 
 He speaks through me 
 He has needs 
 Like I do 
 We both want 
 To rape you 
 Jesus Christ, why don't you come save my life now? 
 Open my eye, blind me with your light now 
 Jesus Christ, why don't you come save my life now? 
 Open my eye, blind me with your light now 
 If you want to get your soul to heaven 
 Trust in me, now don't you judge or question 
 You are broken now but faith can heal you 
 Just do everything I tell you to do 
 Jesus Christ, why don't you come save my life now? 
 Open my eye, blind me with your light now 
 Jesus Christ, why don't you come save my life now? 
 Open my eye, blind me with your light now 
 Deaf and blind and dumb and born to follow 
 Let me lay my holy hand up, hand upon you 
 Thy God's will 
 Becomes me 
 When He speaks 
 He speaks through me 
 He has needs 
 Like I do 
 We both want 
 To rape you"
6,Tool,metal,The Gaping Lotus Experience,"I had a friend once, he took some acid 
 Now he thinks he's a fire engine 
 It's okay until he pisses on your lighter 
 Kinda smells kinda cool, kinda funny anyway 
 Satan, satan, satan 
 I had this friend once, he took some ecstasy 
 Tried to marry me and everyone in the room 
 He was sort of loving, kinda caring 
 Kinda tried to fuck my La-Z-Boy 
 It got a bit messy, all over the curtains 
 Arm chair covers, throw pillows and carpeting 
 I'm getting bored, I'm getting bored 
 I'm getting bored, I'm getting bored 
 I'm getting bored, I'm getting bored 
 I'm getting bored, I'm getting bored"
7,Tool,metal,Intolerance,"I don't want to be hostile 
 And I don't want to be dismal 
 But I don't want to rot in 
 An apathetic existence 
 See, I want to believe you 
 And I wanted to trust you 
 And I want to have faith to 
 Put away the dagger 
 But you lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 And yet I tolerate you 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 And yet I tolerate you 
 Veil of virtue hung to hide your method 
 While I smiling and laughing and dance 
 And sing and praise your glory 
 Shroud of virtue hung to mask your stigma 
 As I smile and laugh and dance 
 And sing your glory 
 While you 
 Lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 How can I tolerate you? 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 How can I tolerate? 
 Our guilt, our blame 
 I've been far too sympathetic 
 Our blood, our fault 
 I've been far too sympathetic 
 I am not innocent 
 I am not innocent 
 You are not innocent 
 No one is innocent 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 (Crescendo) 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 You lie, cheat and steal 
 I will no longer tolerate you 
 Even if I must go down beside you 
 I must go down beside you 
 No one is innocent"
8,Tool,metal,Prison Sex,"It took so long to remember just what happened, and 
 I was so young and vestal then 
 You know it hurt me 
 But I'm breathing so I guess I'm still alive 
 Even if signs seem to tell me otherwise 
 I've got my hands bound, and my head down, and 
 My eyes closed, my throats wide open 
 Do unto others what has been done to me 
 Do unto others what has been done to you 
 I'm treading water, I need to sleep a while 
 My lamb and martyr, you look so precious 
 Won't you, won't you come a bit closer 
 Close enough so I can smell you 
 I need you to feel this 
 I can't stand to burn too long 
 Released in this sodomy 
 For one sweet moment I am whole 
 Do unto you now what has been done to me 
 Do unto you now what has been done 
 You're breathing so I guess you're still alive 
 Even if signs seem to tell me otherwise 
 Won't you, won't you come a bit closer 
 Close enough so I can smell you 
 I need you to feel this 
 I need this to make me whole 
 Release in this sodomy 
 I am your witness that blood and flesh can be trusted 
 I am your witness that blood and flesh can be trusted 
 Only this one holy medium brings me piece of mind 
 You've got your hands bound, and your head down, and your eyes closed 
 You look so precious now 
 I have found some kind of temporary sanity in this 
 Shit, blood, and cum on my hands 
 I've come round full circle 
 My lamb and martyr, this will be over soon 
 You look so precious 
 You look so precious 
 You look so precious 
 You look so precious 
 You look so precious, now 
 You look so precious"
9,Tool,metal,Sober,"There's a shadow just behind me 
 Shrouding every step I take 
 Making every promise empty 
 Pointing every finger at me 
 Waiting like a stalking butler 
 Who upon the finger rests 
 Murder now, the path called 
 ""must we"" 
 Just because the son has come 
 Jesus, won't you fucking whistle 
 Something but the past and done? 
 Jesus, won't you fucking whistle 
 Something but the past and done? 
 Why can't we not be sober? 
 I just want to start this over 
 And why can't we drink forever? 
 I just want to start this over 
 I am just a worthless liar 
 I am just an imbecile 
 I will only complicate you 
 Trust in me and fall as well 
 I will find a center in you 
 I will chew it up and leave 
 I will work to elevate you 
 Just enough to bring you down 
 Mother Mary, won't you whisper? 
 Something but what's past and done 
 Mother Mary, won't you whisper? 
 Something but the past and done 
 Why can't we not be sober? 
 I just want to start this over 
 Ah, why can't we sleep forever? 
 I just want to start this over 
 Why? 
 I am just a worthless liar 
 I am just an imbecile 
 I will only complicate you 
 Trust in me and fall as well 
 I will find a center in you 
 I will chew it up and leave 
 Trust me 
 Trust me 
 Trust me 
 Trust me 
 Trust me 
 Why can't we not be sober? 
 I just want to start things over 
 Ah, why can't we sleep forever? 
 I just want to start this over 
 Why? 
 I want what I want 
 I want what I want 
 I want what I want 
 I want what I want"
