,0,1,2,3
0,A Tribe Called Quest,hiphop,Push It Along,"(Q-Tip) 
 Q-Tip is my title. 
 I don't think that is vital for me to be your idol, 
 But dig this recital. 
 If you can't envision a brother who ain't dissin 
 Slingin' this and that, 'cause this and that was missin' 
 Instead, it's been injected, the Tribe has been perfected 
 Oh yes, it's been selected, the art makes it protected 
 Afrocentric livin', Africans be givin' 
 A lot to the cause 'cause the cause has been risen 
 Some brothers, they be flammin', thinkin' we ain't slammin' 
 Comin' off like the days where we used to wear the tans and 
 A blue-colllar talker, a hemisphere stalker 
 A glass of O.J and a ten mile walk-a 
 If you're in a Jeep and you dig what you're hearin 
 Can I get a beep and a side order of cheerin? 
 I am what I am, that's a tribal man 
 We all know the colours, we all must stand 
 As we start our travels, things they will unravel 
 ""Que sera sera"", for this unit is like gravel 
 Won't be gone for long, listen to the song 
 If you can't pull it, all ya gotta do is 
 Push it along, push it along. 
 Push it along, yeah, push it along. (repeat 4x) 
 (Phife Dawg) 
 Put one up for the Phifer, it's time to decipher 
 The ills of the world make the situation lighter 
 The clock is always tickin', the systems should be kickin 
 Like ? ham and eggs, I eat chicken, chicken, chicken 
 Should I release the lever, the lever of the clever 
 Embelish on the funk as we start to endeavour? 
 The ?wraughts? of the rap filling up the gap 
 With the smash of a hand and a little toe tap 
 (Q-Tip) 
 The boom, the bip, the boom bip 
 Indicates to the brothers that we be on the flip tip 
 Phonies start to crumble, funky rhythm rumbles 
 Through the dance-hall, but my anthem is humble 
 It's the nitty-gritty, my time is itty-bitty 
 So I ?kick the slash for the gipper? and the witty 
 This ain't trial and error, more like tribe and error 
 Constantly rude as some sort of tribal terror 
 The street can't depart from the bloody heart 
 Repair the wear and tear, don't start 'fore it starts 
 Won't be gone for long, listen to the song 
 If you can't pull it, all ya gotta do is 
 (Q-Tip) 
 Marchin' off the project, we hope that you will subject 
 It's good to be an object and never, ever reject 
 The tribe who meanders with drunken propaganda 
 Keep it in boom and never will we slander 
 ? Should be handed, don't let me demand it 
 Money gives a nudge to the poet star bandit 
 Control it, then recluse it, follow, you won't lose it 
 Mysterious is the tribe for we choose it 
 Although she's flippin' crazy, give my love to Gracy 
 God, could you help 'cause this Quest is crazy spacey? 
 The pigs are wearin' blue, and in a year or two 
 We'll be goin' up the creek in a great big canoe 
 What we gonna do, save me and my brothers? 
 Hop inside the bed and pull over the covers 
 Never will we do that and we ain't tryin' to rule that 
 We just want a slab of the ham, don't you know, black? 
 This society of fake reality 
 Are nothin' but a peg of informality 
 While I sing my song, sing it all day long, 
 If you can't pull it, all ya gotta do is"
1,A Tribe Called Quest,hiphop,Luck Of Lucien,"(Q-Tip) 
 Brother, brother, brother, Lucien, you're like no other 
 Listen very close, 'cause I don't like to boast 
 Instead, I'll tell the tale of a French who prevailed 
 Through the Mr. Crazy Rabbits who were always on his tail 
 When in on sale, your roomie starts to wail 
 Get caught with stolen goods and you will go to jail 
 If you go to jail, then who will pay the bail? 
 They'll put you back to France on a ship with a sail 
 Escargot, Lucien, you eat snails 
 (Hey yo Tip, what's wrong with snails?) 
 From the Zulu nation, from a town called Paris 
 Came to America to find liberty 
 Instead of finding pleasure, all you found was misery 
 But listen, Lucien, you have a friend in me 
 Oh, luck luck will drive your butt batty 
 Next time you get some wheels, make it a Caddy 
 In terms of doing good, I know you wish you really could 
 But listen, brother man, I really think you can 
 Succeed with the breed of the brothers on your back 
 It's the creme de la creme, and you can bounce with that 
 It'll take a minute rice, so take my advice 
 Trust in us, and thus you trust in your life 
 Lucine, Lucien, Lucien, Lucien - you should know! 
 (Q-Tip) 
 Are you ready, Lu? This one is for you 
 Comin' from a true-blue, fits like a shoe 
 ""Cómo está usted"" or ""Comment allez-vous"" 
 Lucien, I'll leave it up to you. 
 Voulez-vous? (vous) 
 Rendez-vous (vous) 
 Coucou (cou) ... 
 Les poo-poo (poo) 
 Watch that lass, gonna backlash fast 
 Can you get a grip on the crackhead dip? 
 Sold you a paper bag, guess he saw you comin' 
 VCR from a neck-bone bummin 
 $10 brother, he was hummin' and strummin 
 Only had 20, he was livin' like ya slummin' 
 Gave him the money, well, I thought that was somethin' 
 Lookin' like a kid who was lost in crumbin 
 Don't worry about a thing, I won't get specific 
 This is a song that is long and prolific 
 Think of the stuff that I said if you can 
 Figure it out, compute, understand 
 No problemo, I'll help you with your demo 
 If you go to the store for me 
 Lucien, I'm just kiddin - you should know! 
 (Q-Tip) 
 You gotta get a grip on the missions you'll be takin' 
 Not so much the mission, but you got crazy ignition 
 Sure, the sugar-babies wanna give you a chance 
 With the French ""savoir faire"" and the sexy dance 
 But is she really fly, or is she a guy? 
 I won't ask why, 'cause I know that you try 
 You try too hard, is that the answer to the riddle? 
 Instead of doin' so much, why don't you do just a little? 
 Boy, what a cad, I guess we shouldn't treat him bad 
 In fact, it would be nice if we understood him like 
 A case of positionin' the feet in the shoes 
 Sympathetic reason in the case of the blues 
 Lucien is blue, even though he's really brown 
 I had to make the sound, his life is too profound 
 On the up-and-up, he's somethin' like a little pup 
 Young and naive, it's hard to believe 
 As long as you're strong, you can quest with the questers 
 Jolly like a jumping bean or a jester 
 Lucien, Lucien, Lucien, Lucien - you should know!"
2,A Tribe Called Quest,hiphop,After Hours,"Chorus (After Hours it was cool x8) 
 Q-Tip: 
 Ten after one I think I'll hop the horse 
 Downtown late of three of course 
 Just came from fishing couldn't get a catch 
 Downtown they'll probably have a batch 
 A whiting sandwich and a Guinness Stout 
 But with the beer though I had a bout 
 So I exchanged it for some apple juice 
 I had the blues but I shook them loose 
 A jeep is blasting from the urban streets 
 Loots of funk over hardcore beats 
 The moon dabbles in the morning sky 
 As the minutes just creep on by 
 I get a thought and hear comes my Tribe 
 Ritual shakes and in good vibes 
 Like always the Quest begins 
 In the mist though but the rhyth's move in 
 We find a spot and we sit and chat 
 Speaking on the status quo of rap 
 A derelick makes a real long speech 
 We pay attention to the words he read 
 When he was done we rattled on 
 There was no lunch because it wasn't dawn 
 We pointed things out about this times 
 The worlds famons and the crazy crimes 
 Inflation of the nation, it bothers me 
 I better go gold, to pay the taxes 
 Gotta be swift society 
 The man whose made is the man who maxes 
 The grounds for living are being discussed 
 As we go it gets close to dusk 
 Gather thoughts and savor breath 
 Cause there's only a few hours left 
 After Hours it was cool (x8) 
 Q-Tip: 
 Me oh my, hey-hey, hey-hey 
 The human hours are here to stay 
 This is how it seems (?) my witness 
 Bug out all night, ask Phife, he's with this 
 Girls be screaming on this conversation 
 I have my two cents for a revelation 
 And my watch continuously tic-tocs 
 Shaheed will bring up the beats that rocks 
 I hear the frogs and the smashing of bottles 
 A car revs up and I hear it trottle 
 It probably moves with the morning wind 
 Oh my God, here's Phife again 
 (?) Talking about last nights game 
 Trying to remember someone's name 
 So hear the frogs dancing in the streets 
 Once again Ali will bring up the beat 
 Like this 
 (Sounds of frogs) 
 Q-Tip: 
 The beat is over and so is the night 
 The sun is risen and the shine is bright 
 We all say peace and go our separate ways 
 Youth is fading as we gain our days 
 Explanation for the song is simp' 
 The hours creep, excuse me, I mean limp 
 As we go you hear a gasp of laugh 
 As we start up our rhythmic path 
 Like this"
3,A Tribe Called Quest,hiphop,Footprints,"(Q-Tip) 
 As we start trudgin, me and my brothers we be lookin' and be buggin 
 Vehicles of life they be rollin' and be mergin 
 Searchin for the virgins of life 
 That be shovin out the door that's crack 
 The valleys of time, are always on my feet 
 As least the beat will combine 
 The calluses and corns with the funky bassline 
 You don't need underdog for a nickel shoeshine or the shoes that's phat 
 Well can I get a level on the bass and on the treble 
 Footin up and down like a UNLV Rebel 
 The answer be amongst us 'cause we rarely dig acoustics 
 Can't be too much flackin, not too much packin 
 You must container that at least to dip your hand in rap 
 Your feet will be infectious so at least realise the fact 
 The rhythms are inserted and the nurse can be converted 
 This ain't rock 'n' roll 'cause the rap is in control 
 If you're a megastar, worth will buy you a car 
 I'd rather go barefootin, for prints I will be puttin' 
 All over the earth if we can get there first 
 Now that we are in it, footprints are bein printed 
 So fi you recognise em, you can try to size em 
 They'll probably be the ones with the size not fryin 
 All over reveal, you won't have to yield 
 If you want protection you can hide behind the shield 
 (Q-Tip) 
 You can game on the gallons if you really need to rock 
 But we walk while we talk as we stompin through the block 
 Hand in hand 'cross the land as Muhammad cross the fade 
 It's a Tribe who meanders, precious like a jade 
 It's a art, Theo arch rhymes the ground placed upon 
 The mind will unwind, it will soft to beyond 
 Catch the track, track by track, get a map to track a trail 
 You will find yourself behind for a map does not prevail 
 See the levels peakin as the rhythms keep-a screechin 
 A Quest, oh yes a Quest, inside the jam I will keep preachin 
 The point, oh yes the point, because it's close but yet so far 
 The loudiness is ringin' as we scoot across the star 
 We are bulgin, I'm indulgin in a rat-a-tat-tat 
 Explanation for the liners that the rhythm is phat 
 Keep it wild, wide and deep, you could dig it in a jeep 
 But dig it in the ground because the foot print now 
 (Q-Tip) 
 If there's a storm that's brewin, it won't keep us from doin' 
 Our thing as we start swingin', travellin is bringin' 
 Joy inside the domes as we hit the road to roam/Rome 
 A chair is not a chair, a house is not a home 
 Because my skin is brown, yo I'm gonna do the town 
 Rub it in the face and rub my feet all through the place 
 When you get your finger on the music it'll linger 
 Sing a song o' sixpence, sing it like a singer 
 A Nubian, a Nubian, a proud one at that 
 Remember me, the brother who said ""Black is black"" 
 You can come by request, I don't play, I don't dress 
 Get emotions off your chest, we are black, we the best 
 Makin' moves, makin' motions, flowin like an ocean 
 The walkin' will continue, we know that we will bring you 
 The times that you have waited, more anticipated 
 Be gone but not for long because the feet will stay strong"
4,A Tribe Called Quest,hiphop,I Left My Wallet In El Segundo,"Left my wallet in El Segundo 
 Left my wallet in El Segundo 
 Left my wallet in El Segundo 
 I gotta get it, I got-got ta get it 
 I left my wallet in El Segundo 
 Left my wallet in El Segundo 
 Left my wallet in El Segundo 
 I gotta get it, I got-got ta get it 
 My mother went away for a month-long trip 
 Her and some friends on an ocean-liner ship 
 She made a big mistake by leaving me home 
 I had to roam so I picked up the phone 
 Dialed Ali up to see what was going down 
 Told him I pick him up so we could drive around 
 Took the Dodge Dart, a '74 
 My mother left a yard but I needed one more 
 Shaheed had me covered with a hundred greenbacks 
 So we left Brooklyn and we made big tracks 
 Drove down the Belt, got on the Conduit 
 Came to a toll, we paid and went through it 
 Had no destination, we was on a quest 
 Ali laid in the back so he can get rest 
 Drove down the road for two days and a half 
 The sun had just risen on a dusty path 
 Just then a figure had caught my eye 
 A man with a sombrero who was four feet high 
 I pulled over to ask, were we was at 
 His index finger he tipped up his hat 
 ""El Segundo,"" he said, ""my name is Pedro 
 If you need directions, I'll tell you pronto"" 
 Needed civilization, some sort of reservation 
 He said a mile south, there's a fast food station 
 Thanks, senor, as I start up the motor 
 Ali said, ""Damn, Tip, what you drive so far for?"" 
 (Well describe to me what the wallet looks like) 
 Anyway a gas station we passed 
 We got gas and went on to get grub 
 It was a nice little pub in the middle of nowhere 
 Anywhere would have been better 
 I ordered enchiladas and I ate 'em 
 Ali had the fruit punch 
 When we finished we thought for ways to get back 
 I had a hunch 
 Ali said, ""Pay for lunch"", so I did it 
 Pulled out the wallet and I saw this wicked 
 Beautiful lady she was a waitress there 
 Put the wallet down and stared and stared 
 To put me back into reality, here's Shaheed: 
 ""Yo, Tip, man, you got what you need?"" 
 I checked for keys and started to step 
 But, what do you know, my wallet I forget 
 Yo, it was a brown wallet, it had props numbers 
 Had my jimmy hats I got to get it man 
 Lord, have mercy 
 The heat got hotter, Ali starts to curse me 
 I feel bad but he makes me feel badder 
 Chit-chit-chatter, car stars to scatter 
 Breaking on out, we was Northeast bound 
 Jettin' on down at the speed of sound 
 Three days coming and three more going 
 We get back and there was no slack 
 490 Madison, we're here, Sha 
 He said, ""All right, Tip, see you tomorrow"" 
 Thinking about the past week, the last week 
 Hands go in my pocket, I can't speak 
 Hopped in the car and torpe'ed to the shack 
 Of Shaheed, ""We gotta go back"" 
 When he said ""Why?"" I said, ""We gotta go 
 'Cause I left my wallet in El Segundo"" 
 Yeah, I left my wallet in El Segundo 
 Left my wallet in El Segundo 
 Left my wallet in El Segundo 
 I gotta get it, I got-got ta get it 
 Left my wallet in El Segundo 
 Left my wallet in El Segundo 
 Left my wallet in El Segundo 
 Come on, let's go... 
 Come on, let's go... 
 Come on, let's go..."
5,A Tribe Called Quest,hiphop,Pubic Enemy,"Red Alert: 
 Check this out, Cool DJ Red Alert 
 With my man, Q-Tip and Shaheed 
 Q-Tip: 
 In the morning, woke up from sexual pleasures 
 Looked at her sexual partner 
 Who acquainted her acquaintance 
 Five hours ago at a disco 
 She went lower than low, into limbo 
 A thought crossed the mind, her, a bimbo 
 She answered no, so she had to go... 
 On with the program 
 Creedence, it seems that I've forgotten your name 
 But it seems that she's done the same 
 And now something has happened 
 Suddenly, she's been distracted 
 By something that has been attracted 
 She poked and poked and smacked at it 
 Then she broke down and she scratched it 
 Now, I think you understand 
 Clinic, saw the doctor flex his biceps 
 Then he picked up a pair of forceps 
 Her pretty face showed fright 
 Right then and there, she fainted 
 A really grim picture is painted 
 The brotha who she acquainted 
 Was the enemy, scary ain't it? 
 The Pubic Enemy 
 Red Alert: 
 Pubic Eeeeeenemy! 
 Let me tell you more about pubic enemy 
 Ay, Q-Tip 
 Q-Tip: 
 Old King Cole was a merry old soul 
 Had a lady queen, married since 18 
 He protested, that he was infested 
 Get lots of love and he couldn't digest it 
 All propaganda, one big fat lie 
 'Cause I see the king with my very own eye 
 Schemed and schemed like a crack fiend king 
 And poppin' up on the teammates scene 
 And poppin' and pimpin' on hunnies with moneys 
 Whole situation to me, was kinda funny 
 He hold the crown but not the jimmy hat 
 Now he wears a frown and the jimmy hates that 
 So the fair maiden in the royal bedroom 
 Caught the king scratchin, so she had to assume 
 That he got vicked by the enemy's trick 
 The thought of cheatin' made the maiden so sick 
 That she screamed and screamed, went on and kept screamin 
 Threw a pot and his dome was beamin 
 You could hear him yellin' in the motherland 
 ""Baby, baby please. Baby, understand."" 
 She ignored and walked through the gate 
 The king is in the kingdom to await his fate... 
 Of the enemy The Pubic Enemy 
 Q-Tip and Red Alert: 
 Propmaster (yeah) Please listen to me (what?) 
 Something lurkin by the JimBrowski 
 (Who? Jenny?) No, not propulated 
 A horrible creature that must be penetrated 
 He gets all into ya, then he tries to do ya 
 You better run fast, he's gonna pursue the... 
 (What? Yo listen here. 
 Propmaster whiz, no one fears...) 
 Oh, the caves know, just thought I'd let ya know 
 How he lives and how he go 
 Watch yourself when you're out on the run 
 The enemy is missed, we'll have too much fun 
 There's four friends of mine that thought they were bad 
 And laid up this girl, so now, they're sad 
 They scratched and scratched like it was Saturday and... 
 Red Alert: 
 Listen here. This is Cool DJ Red Alert 
 Known as the true, the only, the very one, the Propmaster 
 There's only one thing I gotta tell ya 
 There's a whole lotta propmasters out there. You know what I mean 
 Shaheed a propmaster, Q-Tip a propmaster 
 The Jungle Brothers a propmaster, BDP a propmaster 
 45 King a propmaster 
 I won't tell you nothin' 'bout the ladies, they ain't no propmaster 
 But you know who's the main propmaster 
 Meeeeeeee!"
6,A Tribe Called Quest,hiphop,Bonita Applebum,"Do I love you? 
 Do I lust for you? 
 Am I a sinner because I do the two? 
 Can you let me know 
 Right now, please 
 Bonita Applebum 
 Bonita Applebum, you gotta put me on 
 Bonita Applebum, I said, you gotta put me on 
 Bonita Applebum, gotta put me on 
 Bonita Applebum, I said, you gotta put me on 
 Bonita Applebum, gotta put me on 
 Bonita Applebum, I said, you gotta put me on 
 Bonita Applebum, you gotta put me on 
 Bonita, Bonita, Bonita 
 Hey Bonita, glad to meet ya 
 For the kind of stunning newness, I must have foreseen ya 
 Hey, being with you is a top priority 
 Ain't no need to question the authority 
 Chairman of the board, the chief of affections 
 You got mine's to swing in your direction 
 Hey, you're like a hip hop song, you know? 
 Bonita Applebum, you gotta put me on 
 Bonita Applebum, you gotta put me on 
 Bonita Applebum, I said, you gotta put me on 
 Bonita Applebum, gotta put me on 
 Bonita Applebum, I said, you gotta put me on 
 Bonita Applebum, gotta put me on 
 Bonita Applebum, I said, you gotta put me on 
 Bonita Applebum, you gotta put me on 
 Bonita, Bonita, Bonita 
 38-24-37 (uh, uh, uh!) 
 You and me, hun, we're a match made in heaven 
 I like to kiss ya where some brothas won't 
 I like to tell ya things some brothas don't 
 If only you could see through your elaborate eyes 
 Only you and me, hun, the love never dies 
 Satisfaction, I have the right tactics 
 And if you need 'em, I got crazy prophylactics 
 So far, I hope you like rap songs 
 Bonita Applebum, you gotta put me on 
 Bonita Applebum, you gotta put me on 
 Bonita Applebum, I said, you gotta put me on 
 Bonita Applebum, gotta put me on 
 Bonita Applebum, I said, you gotta put me on 
 Bonita Applebum, gotta put me on 
 Bonita Applebum, I said, you gotta put me on 
 Bonita Applebum, you gotta put me on 
 Bonita, Bonita, Bonita"
7,A Tribe Called Quest,hiphop,Can I Kick It?,"Hey y'all, 
 We is havin' a ball, 
 And you know they ask me to get on the mic, 
 And they ask me, 
 Can I kick it? word 
 Yes you can 
 Can I kick it? 
 Yes you can 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Well I'm gone... 
 Gone... 
 Can I kick it? To all the people who can Quest like A Tribe does 
 Before this, did you really know what live was? 
 Comprehend to the track, for it's why 'cause 
 Gettin' measures on the tip of the vibers 
 Rock and roll to the beat of the funk fuzz 
 Wipe your feet really good on the rhythm rug 
 If you feel the urge to freak, do the jitterbug 
 Come and spread your arms if you really need a hug 
 Afrocentric living is a big shrug 
 A life filled with fun that's what I love 
 A lower plateau is what we're above 
 If you diss us, we won't even think of 
 Will Nipper the doggy give a big shove? 
 This rhythm really fits like a snug glove 
 Like a box of positives it's a plus, love 
 As the Tribe flies high like a dove 
 Can I kick it? 
 Can I kick it? 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Can I kick it? Yes you can! 
 Well I'm gone... 
 Gone... 
 Can I kick it? To my Tribe that flows in layers 
 Right now, Phife is a poem sayer 
 At times, I'm a studio conveyor 
 Mr. Dinkins, would you please be my mayor? 
 You'll be doing us a really big favor 
 Boy this track really has a lot of flavor 
 When it comes to rhythms, Quest is your savior 
 Follow us for the funky behavior 
 Make a note on the rhythm we gave ya 
 Feel free, drop your pants, check your ha-ir 
 Do you like the garments that we wear? 
 I instruct you to be the obeyer 
 A rhythm recipe that you'll savor 
 Doesn't matter if you're minor or major 
 Yes, the Tribe of the game we're a player 
 As you inhale like a breath of fresh air 
 Can I kick it? 
 Can I kick it?"
8,A Tribe Called Quest,hiphop,Youthful Expression,"Q-Tip: 
 The taste of nothin', this does somethin' 
 Moms that knows that, says I'm frontin 
 Call me Smiley, 'cause I'm wiley 
 Livin' life like the life of Riley 
 Smokin' blunts with a boy named Bud 
 We cough up your lungs, cough up your cud 
 Put out fires, with a 40, ounce of water 
 You know you oughta 
 Dance to this, your girl you kiss 
 I like fried foods, especially fish 
 Afrocentric, I'm electric 
 Socialistic and eccentric 
 Body's healthy, mind is wealthy 
 Thoughts, they flow, that will propel me 
 To be a Native, get creative 
 Original and designative 
 Listen to the line that's playin' 
 Listen hard to what Q's sayin' 
 Politicians are magicians 
 Make your vote, they hope your wishin 
 Ambiguous words, senseless verbs 
 They all amount to crap that's heard 
 Violent hip hop, money flip flops 
 Promoters won't book, but it still rocks 
 I'm a Zulu, yes, a true blue 
 Red Alert is with the poo-poo 
 Ozone layer, loses flava 
 Here's the edge that you will savor 
 Jarobi: 
 The economy... politics... police... everything 
 Except for the youth 
 But the youth about to come back 
 Q-Tip (voice distorted): 
 All right, here they come 
 Uh oh, uh oh, uh! 
 Q-Tip: 
 With expressions and I'm guessin 
 19 years is a youthful lesson 
 Fallin' skies babe, open eyes babe 
 Can't you see what lays inside babe 
 Makin' mentions on this tension 
 Rhythmic lovin', my profession 
 Hips, they gyrate, scripts I narrate 
 No banana, I ain't a primate 
 Ain't no soul glo, just an afro 
 The head is bred to let the thoughts grow 
 Quest together, to lands of never 
 Sleet and snow and storms can't sever 
 Tribe is growin', never know when 
 For this time, six necks may show in 
 Dialogues have been accepted 
 Negatives have been rejected 
 That's the music, negro music 
 Is here for all, so you must choose it 
 Phonies fondle, watch it throttle 
 3-6-5 straight out the bottle 
 Bustin' caps, finger snaps 
 I prefer the second for ghetto tracks 
 Phife, Jarobi, Ali told me 
 Get the force like Wan Kenobi 
 Force his teachin, beats are screechin 
 Poly plateaus, we aim for reachin' 
 Tribalization, freaks the nation 
 A mass of peers in celebration 
 Hopes been real high, since the knee high 
 Days of youth, feelin' good and real spry 
 Avid combos, hear those bongos 
 Boom cacka boom, that's how they go 
 We ain't nomads, but we real glad 
 Hip hop slams through the nineties, no fad 
 As a rhythm, have been given 
 Hurry up, become, we breakin out, out 
 Shaheed: 
 With a rhythmic instinction to be able to travel 
 Beyond existing forces of life 
 Basically, that Tribal 
 And if you wanna get the rhythm 
 Then you have to join a Tribe 
 Word, peace"
9,A Tribe Called Quest,hiphop,Rhythm (Devoted To The Art Of Moving Butts),"Shaheed: 
 It's a new decade 
 The Native Tongues are about to proceed with the usual lingo 
 The usual rhythm 
 Q-Tip: 
 Devoted to... the art of moving butts 
 The rhythm's happenin', and it's movin up 
 The Tribe has been on hold for much too long 
 Don't fear the rhythm because it's strong 
 On the corners, brothas bop their heads 
 From the high-tops to the knotty dreads 
 I'm a nubian y'all, look what we did 
 Took the crust away from the third eye lid 
 Now, it's kinda open, longs to see the site 
 Rhythms of the Tribe which is passed out right 
 Night after night, day after day 
 Questin for the rhythms of the Native Tongue lay 
 Rhythm is the key as we open up the door 
 Things a B-boy has never seen before 
 Polyrhythmatic with a big fat boom 
 You have an eargasm as you start to consume 
 The ghetto beat with a ghetto poem 
 Yeah, it's from the heart, 'cause it's from the home 
 Jarobi, Phife, Ali Shaheed 
 Call me Koala, got what you need 
 You're a disc jock, then jock this 
 Rhythms can't lose, rhythms can't miss 
 If you feel uptight and you need to freak 
 It'll be all right once we drop this beat 
 I got the rhythm, you got the rhythm (8X) 
 Q-Tip: 
 Ma ma sa ah, ma ma coo sa 
 Gets hectic, freak a bourgeios 
 We Quest around for the musical hard 
 On the avenues, streets and boulevard 
 Not sellin out, that's a negative 
 Lovin' hip hop, lovin' heritage 
 Got the instinct to travel miles and miles 
 Gotta whole lot of room for piles and piles 
 Now, you're kinda with it, wanna get the funk 
 From the Zulu Nation, toppin all the junk 
 Standin on the top like the Temptations said 
 Rhythms are obese, yeah, you gotta keep 'em fed 
 Read what I read, can't be better said 
 Tribalic motions dabble in the head 
 Sweetback's bad, not as bad a beat 
 It's a ""stone groove baby"" 
 Continue, on the windy road 
 But, I'm luggin, a crazy big load 
 Will we be on point for the ninety deck 
 Is it muscle bound and will it flex? 
 But trudgin, we are used to 
 You don't Quest alone, Quest with a crew 
 We're four, once more, must make the tracks 
 You see four fronts, but now you see four backs 
 Chorus (unti end)"
