,0,1,2,3
0,Ariana Grande,pop,Honeymoon Avenue,"I looked in my rearview mirror, (ah) and it seemed to make a lot more sense 
 Than what I see ahead of us, ahead of us, yeah... 
 I'm ready to make that turn, before we both crash and burn, 
 'Cause that could be the death of us, the death of us... 
 Baby, you know how to drive in rain, and you decided not to make a change; 
 Stuck in the same old lane, going the wrong way home... 
 I feel like my heart is stuck in bumper to bumper 
 Traffic - I'm under pressure, 'cause I can't have you the way that I want; 
 Let's just go back to the way it was, 
 When we were on Honeymoon Avenue, Honeymoon Avenue, baby, 
 Coastin' like crazy - Can we get back to the way it was? 
 Hey, what happened to the butterflies? Guess they didn't count at that stop sign, 
 And my heart is at a yellow light, a yellow light... 
 Hey, right when I think that we found it, well, that's when we start turnin' around; 
 You're saying ""Baby, don't worry,"" but we're still going the wrong way... 
 Baby, you know how to drive in rain, and you decided not to make a change; 
 Stuck in the same old lane, going the wrong way home... 
 I feel like my heart is stuck in bumper to bumper 
 Traffic - I'm under pressure, 'cause I can't have you the way that I want; 
 Let's just go back to the way it was, 
 When we were on Honeymoon Avenue, Honeymoon Avenue, baby, 
 Coastin' like crazy - Can we get back to the way it was? 
 They say only fools fall in love; 
 Well, they must've been talking about us, 
 And sometimes, I feel like we've been here before... 
 I could be wrong, but I know I'm right... 
 We gon' be lost if we continue to fight; 
 Honey, I know we can find our way home... 
 I feel like my heart is stuck in bumper to bumper 
 Traffic - I'm under pressure, 'cause I can't have you the way that I want; 
 Let's just go back to the way it was, 
 When we were on Honeymoon Avenue, Honeymoon Avenue, my baby, 
 Coastin' like crazy - Can we get back to the way it was? 
 When we were on Honeymoon Avenue, Honeymoon Avenue, baby, 
 Coastin' like crazy - Can we get back to the way it was? 
 Baby, you know how to drive in rain, and you decided not to make a change; 
 Stuck in the same old lane, going the wrong way home... 
 I feel like my heart is stuck in... 
 Traffic - I'm under... 
 Pressure... pressure... 
 Let's just go back to the way it was... 
 When we were on (Honeymoon Avenue, Honeymoon Avenue, 
 Honeymoon Avenue, Honeymoon Avenue...) 
 (Avenue...) Let's just go back..."
1,Ariana Grande,pop,Baby I,"Baby, I got love for thee so deep inside of me, I don't know where to start; 
 (Yeah, yeah, yeah, yeah, yeah...) Yeah, yeah... (Yeah, yeah, yeah, yeah, yeah, yeah, yeah...) 
 I love you more than anything, but the words can't even touch what's in my heart... 
 (Yeah, yeah, yeah, yeah, yeah...) No, no... (Yeah, yeah, yeah, yeah, yeah, yeah, yeah...) 
 When I try to explain it, I'd be sounding insane; 
 The words don't ever some out right... 
 I get all tongue-tied (and twisted,) I can't explain what I'm (feeling,) 
 And I say, ""Baby, baby..."" (Whoa, whoa...) ""Baby..."" 
 (Baby, I...) Oh, baby, oh, baby, my baby... 
 (Baby, I...) Oh, baby, baby, I... 
 All I'm tryna say is you're my everything, baby, 
 (But every time I try to say it, words, they only complicate it...) 
 Baby, baby... (Ooh, oh, oh...) 
 Baby, I'm so down for you, no matter what you do (real talk), I'll be around; 
 (Yeah, yeah, yeah, yeah, yeah...) Yeah, yeah... (Yeah, yeah, yeah, yeah, yeah, yeah, yeah...) Oh, baby... 
 See, baby, I've been feeling you before I even knew what feelings were about... 
 (Yeah, yeah, yeah, yeah, yeah...) Oh, baby... (Yeah, yeah, yeah, yeah, yeah, yeah, yeah...) 
 When I try to explain it, I'd be sounding all crazy; 
 Words don't ever come out right... 
 I get all tongue-tied (and twisted,) I can't explain what I'm (feeling,) 
 And I say, ""Baby, baby..."" (Whoa, whoa...) ""Baby..."" 
 (Baby, I...) Oh, baby, oh, baby, my baby... 
 (Baby, I...) Oh, baby, baby, I... 
 All I'm tryna say is you're my everything, (baby,) 
 (But every time I try to say it, words, they only complicate it...) 
 Baby, baby... (Ooh, oh, oh...) 
 Straight up, you got me all in, how could I not be? I sure hope you know... (I sure hope you know...) 
 If it's even possible, I love you more 
 Than the word ""love"" can say it - it's better not explaining, 
 That's why I keep saying ""Baby, I..."" 
 (Baby, I...) Oh, baby, oh, baby, my baby... 
 (Baby, I...) Oh, baby, baby, I... 
 All I'm tryna say is you're my everything, baby, 
 (But every time I try to say it, words, they only complicate it...) 
 Baby, baby... (Ooh, oh, oh...) Baby... (Baby, baby...) 
 (Baby I!) Oh, baby, oh, baby, my baby... 
 (Baby I...) Oh, baby, baby, I... 
 All I'm tryna say is you're my everything, baby, 
 (But every time I try to say it, words, they only complicate it,) 
 (Every time I try to say it, words, they only complicate it,) 
 Every time I try to say it, words can only complicate it... 
 Baby, baby... (Whoa, whoa...) Baby, baby..."
2,Ariana Grande,pop,Right There,"(If you wanna party, if you, if you wanna party,) 
 Then put your hands up... (Then put your hands up...) 
 (If you, if you wanna party, if you, if you wanna party,) 
 Then put your hands up... (Then put your hands up...) 
 You got it, you got it, babe... (If you wanna party, if you, if you wanna party,) 
 You got it, you got it, babe... (Get your hands up... put your hands up...) 
 You got it, you got it, babe... (If you wanna party, if you, if you wanna party,) 
 You got it, you got it, babe... (Get your hands up... put your hands up...) 
 Sean Don! 
 Okay, this, this, this one for my number one girl who got the top spot title; 
 Spent a hour in the bathroom, walk out looking like a model... 
 God! Doing what you do, got me right there with Apollo, 
 On the moon - who needs genies in a bottle, girl, if they already got you... (got you...) 
 I got you... 
 Boy, you make me feel so lucky; 
 Finally the stars align... 
 Never has it been so easy 
 To be in love, and to give you this heart of mine... 
 You know what I need (Aye!), I know what you like; (Aye!) 
 Put it all together, baby, we gon' be all right... 
 How can this be wrong when it feels so right? 
 Yeah, I really love you, I really love you, oh... 
 And I'll never let you go... 
 You should know I'm never gonna change; 
 I'm always gonna stay... 
 When you call for me, I'm right there (right there), right there... (Right there...) 
 'Cause you listen, and you care; 
 You're so different, no one compares, 
 And if you never change, I'm gonna stay right there; 
 I'll always be right there... 
 You got it, you got it, babe... (If you wanna party, if you, if you wanna party,) 
 You got it, you got it, babe... (Get your hands up... put your hands up...) 
 I get butterflies just thinking 
 About you - boy, you're on my mind... 
 Sometimes I catch myself daydreaming, 
 Lost in your eyes, and I lose all track of time... 
 You know what I need (Aye!), I know what you like; (Aye!) 
 Put it all together, baby, we gon' be all right... 
 How can this be wrong when it feels so right? 
 Yeah, I really need you, I really love you, oh... 
 And I'll never let you go... 
 You should know I'm never gonna change; 
 I'm always gonna stay... 
 When you call for me, I'm right there (right there), right there... (Right there...) 
 'Cause you listen, and you care; 
 You're so different, no one compares, 
 And if you never change, I'm gonna stay right there; 
 I'll always be right there... 
 (What, okay, what...) 
 Now if all fell through, would you catch me before the pavement? 
 If my Benz turned back to public transportation? 
 Would you still be at home for me, with the candles waiting 
 And get my mind back adjacent to the place of a young visionary? 
 A player too - you know I had some girls missionary; 
 My black book of numbers thicker than the dictionary, 
 And bible, I got it recycled - I love and I like you. 
 Five-course meals, even though you don't mind a drive-through, 
 That's why I got you... 
 And I'll never let you go... (I got you.) 
 You should know I'm never gonna change; (I'm never gonna change...) 
 I'm always gonna stay... (I'm always gonna stay...) 
 When you call for me, I'm right there (I'm right there...), right there... 
 'Cause you listen, and you care; 
 You're so different, no one compares, 
 And if you never change, I'm gonna stay right there; 
 I'll always be right there... 
 (If you wanna party, if you, if you wanna party,) 
 You got it! I'll always be right there... (Get your hands up... put your hands up...) 
 (If you wanna party, if you, if you wanna party,) 
 I'll always be right there... (Get your hands up... put your hands up...) 
 You got it, you got it, babe... (If you wanna party,) 
 You got it, you got it, babe... (Get your hands up... put your hands up...) 
 You got it, you got it, babe... (If you wanna party, if you, if you wanna party,) 
 You got it, you got it, babe... (Get your hands up... put your hands up...) 
 Got it, babe..."
3,Ariana Grande,pop,Tattooed Heart,"(Sha-la-la-la-la-la-la...) 
 You don't need a lot of money, and you don't have to play no games; 
 All I need is all your lovin' to get the blood rushing through my veins... 
 I wanna say we're going steady like it's 1954; 
 Now, it doesn't have to be forever, 
 Just as long as I'm the name on your tattooed heart... 
 (Tattooed heart, tattooed heart...) Oh... 
 (Tattooed heart, tattooed heart...) Ooh, oh... 
 (Tattooed heart, tattooed heart, sha-la...) Whoa-oh-oh, yeah... 
 You don't need to worry about makin' me crazy, 'cause I'm way past that; 
 So just call me if you want me, 'cause you got me, and I'll show you 
 How much I wanna be on your tattooed heart... 
 (Tattooed heart, tattooed heart...) Oh, oh... 
 (Tattooed heart, tattooed heart...) Oh, oh... 
 (Tattooed heart, tattooed heart, sha-la...) Just as long as I'm the name on your tattooed heart... 
 Wrap me in your jacket, my baby, and lay me in your bed, 
 And kiss me underneath the moonlight; 
 Darlin', let me trace the lines on your tattooed heart... 
 (Tattooed heart, tattooed heart...) Oh, oh... 
 (Tattooed heart, tattooed heart...) Oh, oh, babe... 
 (Tattooed heart, tattooed heart, sha-la...) Just as long as I'm the name on your tattooed heart..."
4,Ariana Grande,pop,Lovin' It,"Baby, don't you know you got all my love, all my love? 
 Baby, don't you know you got all my love, all my love? 
 Hold up, wait - before you go, just stay, 
 And talk to me for a little, baby, won't you loosen up just a little? 
 See, what you don't understand - is fallin' in love wasn't part of my plans, 
 Started with a crush - I call you my man... 
 Thought that I'd never fall in love, never fall in love again... 
 'Cause you give me chills every time we chill; 
 I spend all of my days doin', doin'... 
 (Nothin' but lovin' you, nothin' but lovin' you, baby...) 
 Boy, you got all my time... 
 (I'm lovin' your lovin', I'm lovin', I'm lovin' it, baby...) 
 Boy, you got all my, all my... 
 (Love and affection,) all my attention; 
 You don't gotta question if I'm really 
 (Lovin' your lovin', I'm lovin', I'm lovin' it, baby...) 
 Boy, you got all my, all my... 
 Hold up, wait - shut up and kiss me, babe; 
 I just wanna get a little taste, I just wanna get a little taste before you go... 
 See, what you don't understand - is fallin' in love wasn't part of my plans, 
 Started with a crush - I call you my man... 
 Thought that I'd never fall in love, never fall in love again... 
 'Cause you give me chills every time we chill; 
 I spend all of my days doin', doin'... 
 (Nothin' but lovin' you, nothin' but lovin' you, baby...) 
 Boy, you got all my time... 
 (I'm lovin' your lovin', I'm lovin', I'm lovin' it, baby...) 
 Boy, you got all my, all my... 
 (Love and affection,) all my attention; 
 You don't gotta question if I'm really 
 (Lovin' your lovin', I'm lovin', I'm lovin' it, baby...) 
 Boy, you got all my, all my... 
 Time and my trust - don't mess this up! 
 (You got me falling in love, you got me falling in love, you got me falling so hard...) 
 Boy, you change the way I breathe when you put your lips on me - I adore you, 
 So let me make it clear to you that, boy, you're all I need... 
 Oh, baby... 
 (Nothin' but lovin' you, nothin' but lovin' you, baby...) 
 Boy, you got all my time... (Baby!) 
 (I'm lovin' your lovin', I'm lovin', I'm lovin' it, baby...) 
 Boy, you got all my, all my... 
 (Love and affection,) all my attention; 
 You don't gotta question if I'm really 
 (Lovin' your lovin', I'm lovin', I'm lovin' it, baby...) 
 Boy, you got all my, all my... 
 Baby, don't you know you got all my love, all my love? 
 Baby, don't you know you got all my love, all my love?"
5,Ariana Grande,pop,Piano,"I could write a song with my new piano; 
 I could sing about how love is a losing battle... 
 Not hard... (it's not hard...) It's not hard... (It's not hard...) 
 It's not hard... (it's not hard...) It's not hard... (It's not hard...) 
 And I could sing about Cupid and a shooting arrow; 
 In the end, you find out that my heart was battered 
 Real hard... (Real hard...) It's so hard... (It's so hard...) 
 Real hard... (Real hard...) It's not hard... (It's not hard...) 
 But I'd rather make a song they can play on the radio 
 That makes you wanna dance - don't it make you wanna dance? 
 But I'd rather make a song they can play on the radio 
 That makes you wanna grab your lover's hand... 
 So hold up and take it through the night, 
 And you should follow through to make it alright... 
 Now grab each others' hands, get on up; 
 I want to see you rock to the piano, the piano... 
 I could write a song with my new piano; 
 I could sing about how love is a losing battle... 
 Not hard... (it's not hard...) It's not hard... (It's not hard...) 
 It's not hard... (it's not hard...) It's not hard... (It's not hard...) 
 And I could sing about Cupid and a shooting arrow; 
 In the end, you find out that my heart was battered 
 Real hard... (Real hard...) It's so hard... (It's so hard...) 
 Real hard... (Real hard...) It's not hard... (It's not hard...) 
 But I'd rather make a song they can play on the radio 
 That makes you wanna dance - don't it make you wanna dance? 
 But I'd rather make a song they can play on the radio 
 That makes you wanna grab your lover's hand... 
 So hold up and take it through the night, 
 And you should follow through to make it alright... 
 Now grab each others' hands, get on up; 
 I want to see you rock to the piano, the piano... 
 So hold up and take it through the night, 
 And you should follow through to make it alright... 
 Now grab each others' hands, get on up; 
 I want to see you rock to the piano, the piano... 
 I'd rather tell you about how I'm feeling, boy, 
 And how I'm doing things my way; 
 If I got my piano, then I know I'll be okay, baby! 
 So hold up and take it through the night, 
 And you should follow through to make it alright... 
 Now grab each others' hands, get on up; 
 I want to see you rock to the piano, the piano... 
 So hold up and take it through the night, 
 And you should follow through to make it alright... 
 Now grab each others' hands, get on up; 
 I want to see you rock to the piano, the piano... 
 So hold up and take it through the night, 
 And you should follow through to make it alright... 
 Now grab each others' hands, get on up; 
 I want to see you rock to the piano, the piano... 
 I could write a song with my new piano; 
 I could sing about how love is a losing battle... 
 Not hard... (it's not hard...) It's not hard... (It's not hard...) 
 It's not hard... (it's not hard...) It's not hard... (It's not hard...)"
6,Ariana Grande,pop,Daydreamin',"You walked in, caught my attention; 
 I've never seen a man with so much dimension... 
 It's the way you walk, the way you talk, the way you make me feel inside; 
 It's in your smile, it's in your eyes - I don't want to wait for tonight... 
 So I'm daydreamin', with my chin in the palm of my hands, 
 About you, you, and only you... 
 Got me daydreamin' with my chin in the palm of my hands, 
 About you, you, and only you... 
 Now I can't wait to hold you in my arms; 
 I know I was made for you - I'm in love with all your charm... 
 It's the way you walk, the way you talk, the way you make me feel inside; 
 It's in your smile, it's in your eyes - I don't want to wait for tonight... 
 So I'm daydreamin', with my chin in the palm of my hands, 
 About you, you, and only you... 
 Got me daydreamin' with my chin in the palm of my hands, 
 About you, you, and only you... 
 Well, I want you - got to have it, 
 And I need you like I never have loved before... 
 Oh, I want you - ooh, I need you; 
 Got to have you like I never had lovin' before... 
 So I'm daydreamin', with my chin in the palm of my hands, 
 About you, you, and only you... 
 Got me daydreamin' with my chin in the palm of my hands, 
 About you, you, and only you..."
7,Ariana Grande,pop,The Way,"Mac Miller: 
 What we gotta do right here is go back, back to the top. 
 Ariana Grande: 
 I love the way you make me feel; 
 I love it, I love it... 
 I love the way you make me feel; 
 I love it, I love it... 
 Mac: 
 Say... I'm thinking 'bout her every second, every hour, 
 Do my singing in the shower, picking petals off the flowers like, 
 ""Do she love me, do she love me not?"" (Love me not...) 
 I ain't a player, I just crush a lot... 
 Ariana: 
 You give me that kind of something, 
 Want it all the time, need it every day... 
 On a scale of one to ten, I'm at a hundred; 
 Never get enough, I can't stay away... 
 If you want it, I got it, I got it every day; 
 You can get whatever you need from me... 
 Stay by your side, I'll never leave you, 
 And I ain't going nowhere, 'cause you're a keeper 
 So don't you worry - baby, you got me... 
 I got a bad boy, I must admit it; (Aye!) 
 You got my heart, don't know how you did it... (Aye!) 
 And I don't care who sees it, babe; 
 I don't wanna hide the way I feel when you're next to me... 
 I love the way (you make me feel,) 
 I love the way... (I love it, I love it...) 
 Baby, I love the way (you make me feel,) 
 Ooh, I love the way (I love it, I love it...), the way I love you... 
 Ooh, it's so crazy, you get my heart jumpin', 
 When you put your lips on mine 
 And honey, it's ain't a question (q-question,) 
 'Cause boy, I know just what you like... 
 So If you need it, I got it, I got it every day; 
 Be your lover, your friend, you'll find it all in me... 
 Stay by your side! (I'll never leave you...) 
 Said I ain't going nowhere, 'cause you're a keeper... 
 So don't you worry - baby, you got me... 
 I got a bad boy, I must admit it; (Aye!) 
 You got my heart, don't know how you did it... (Aye!) 
 And I don't care who sees it, babe; 
 I don't wanna hide the way I feel when you're next to me... 
 I love the way... (I love the way you make me feel,) 
 I love the way... (I love it, I love it...) 
 Baby, I love the way... (I love the way you make me feel,) 
 Ooh, I love the way (I love it, I love it...), the way I love you... 
 Mac: 
 Uh, I make you feel so fine, I make you feel so fine; 
 I hope you hit me on my celly when I sneak in your mind... 
 You're a princess to the public, but a freak when it's time; 
 Said your bed be feeling lonely, so you're sleeping in mine, 
 Come and watch a movie with me - ""American Beauty"" 
 Or ""Bruce Almighty"" that's groovy, just come and move closer to me... 
 I got some feelings for you I'm not gonna get bored of, 
 But baby, you an adventure, so let me come and explore you... 
 Ariana: 
 So don't you worry - baby, you got me... 
 I got a bad boy, I must admit it; (Aye!) 
 You got my heart, don't know how you did it... (Aye!) 
 And I don't care who sees it, babe; 
 I don't wanna hide the way I feel when you're next to me... 
 I love the way... [I love the way...] (I love the way you make me feel,) 
 I love the way... [I love the way...] (I love it, I love it...) 
 Baby, I love the way... [I love the way...] (I love the way you make me feel,) 
 Ooh, I love the way! (I love it, I love it...) 
 I love the way... (I love the way you make me feel,) 
 I love the way... (I love it, I love it...) 
 Baby, I love the way... (I love the way you make me feel,) 
 Ooh, I love the way (I love it, I love it...), the way I love you... 
 The way I love you... 
 You, you, yeah, the way... 
 I love the way you make me feel, 
 I love it, I love it... 
 I love the way you make me feel, 
 I love it - the way I love you..."
8,Ariana Grande,pop,You'll Never Know,"Now you finally tell me how you feel; 
 Guess your words just came a little too late... 
 All the drama, boy, it's overkill; 
 Don't be mad at me 'cause you've been replaced - know your place! 
 But if you woulda manned up, put your hand up, stand up, told me how you really felt, 
 Then maybe it'd be different - if you spoke, I would've listened, but now I'm with somebody else... 
 And he loves me too much for me to mess this up, 
 And it sucks to be all in your head, wondering where this thing could go, but... 
 You will never know what we could have been; 
 If you would've shown me way back then... 
 Boy, you gotta (yep, yep), boy, you shoulda (yep, yep), but you didn't (move, so,) 
 Now you'll never know, you'll never know... 
 Now it's probably hard for you to hear, 
 But there's nothing left for you to say... 
 Had my heart all in your hands - boy, what you don't understand 
 Is a girl like me don't have no time to waste around... 
 But if you woulda manned up, put your hand up, stand up, told me how you really felt, 
 Then maybe it'd be different - if you spoke, I would've listened, but now I'm with somebody else... 
 And he loves me too much for me to mess this up, 
 And it sucks to be all in your head, wondering where this thing could go, but... 
 You will never know what we could have been; 
 If you would've shown me way back then... 
 Boy, you gotta (yep, yep), boy, you shoulda (yep, yep), but you didn't (move, so,) 
 Now you'll never know, you'll never know... 
 (You'll never know...) Boy, you should've told me, told me... 
 (You'll never know...) Boy, you should've let me know... 
 (You'll never know...) Boy, you could've been there for me, 
 But now, you'll never know, you'll never know... 
 It's not my fault you're a little bit too late; 
 You're the only one to blame - Wipe that look off your face... 
 You can wish a thousand times, but none of that will change my mind, boy; 
 You had a chance you'll never get back, get back... 
 You will never know what we could have been; 
 If you would've shown me way back then... 
 Boy, you gotta (yep, yep), boy, you shoulda (yep, yep), but you didn't (move, so,) 
 Now you'll never know... oh, baby! 
 (You'll never know...) Boy, you could've told me, told me... 
 (You'll never know...) Boy, you could've let me know... 
 (You'll never know...) Boy, you could've been there for me... 
 But now, you'll never know, you'll never know... 
 (You'll never know...) You will never know, you will never know, oh, baby... 
 (You'll never know...) No... 
 (You'll never know...) 
 You will never know! Ooh..."
9,Ariana Grande,pop,Better Left Unsaid,"I told you once, get out my life 
 I don't need ya, I'll be all right 
 But some things are better left unsaid 
 To tell the truth, it hit me hard 
 A broken heart is all I have now 
 But some things are better left unsaid 
 And I swore that I would never say 
 I miss you more every day 
 But some things are better left unsaid 
 Are better left unsaid, said, said 
 Oh, I'm gonna say things, 
 Like ""shut up and kiss me"" 
 Oh, tonight I'm gonna lose some face, 
 Don't blame me just kiss me 
 (If you wanna party, put your hands up) 
 (Put your hands up, put your hands up) 
 Don't blame me just kiss me 
 Oh, tonight don't say a thing, 
 Don't play me just kiss me, babe 
 I could tell a lie, blame tonight 
 Too many drinks, so many reasons, 
 That some things are better left unsaid 
 And I swore that I would never say 
 I miss you more every day 
 But some things are better left unsaid 
 Are better left unsaid, said, said 
 Oh, I'm gonna say things, 
 Like ""shut up and kiss me"" 
 Oh, tonight I'm gonna lose some face, 
 Don't blame me just kiss me 
 (If you wanna party, put your hands up) 
 (Put your hands up, put your hands up) 
 Don't blame me just kiss me 
 Oh, tonight don't say a thing, 
 Don't play me just kiss me, babe 
 (If you wanna party, put your hands up) 
 (Put your hands up, put your hands up) 
 Don't blame me just kiss me 
 Oh, tonight don't say a thing, 
 Don't play me just kiss me, babe 
 (If you wanna party, put your hands up) 
 (Put your hands-) 
 (If you wanna party, put your hands up) 
 (Put your hands-) 
 (If you wanna party, put your hands up) 
 (Put your hands up) 
 You tell a lie, blame tonight 
 Too many drinks, so many reasons, 
 That some things are better left unsaid"
