,0,1,2,3
0,Black Star,hiphop,Intro,"(Dave Chappelle) 
 Our keynote speaker is about to come on and I just wanted to say a few words about him and you all know who he is... Talib Kweli! Please, hold your applause until the end. We are GLAD to come and hear you speak. We love it! Kweli doesn't like me to talk about this but one time we were driving through the Mississippi delta and there was a brotha runnin' up the side of the road and he didn't have any shoes on. He didn't have a shirt on and I started to drive right by this man. Kweli said ""Stop the car because that brotha might be in trouble"" and I stopped the car. Kweli said to the man he said ""Brotha are you ok do you need a ride somewhere?"" and the man looked at Kweli and said ""Shhhhhh... I'm escapin!"" and Kweli took him by the hand and said ""My brotha you didn't get the memo, we have been free for some time now"" well I'm wisinen up. Please welcome good friend, scholar, ghetto philosopher, three time Nobel peace prize winner, first black man to pilot an aircraft, the nigga that made up the Nike swoosh, the man that made Koolaid say ""oh yeah!"" Brooklyn's own... 
 Talib Kweli."
1,Black Star,hiphop,Astronomy (8th Light),"(Mos Def) 
 Against the canvas of the night 
 Appears a curious celestial phenomena 
 Called Black Star, but what is it? 
 (Talib Kweli) 
 Black people unite and let's all get down 
 We got to have what? We got to have that love 
 (Mos Def) 
 What is the Black Star? 
 Is it the cat with the black shades, the black car? 
 Is it shinin' from very far, to where you are? 
 It is commonplace and different 
 Intimate and distant 
 Fresher than an infant 
 (Talib Kweli) 
 Black, my family thick, like they're striped molasses 
 Star, on the rise, in the eyes of the masses 
 Black is the color of my true love's hair 
 Star's are bright, shining, hot balls of air 
 (Mos Def) 
 Black like my baby girl's stare 
 Black like the veil that the muslimina wear 
 Black like the planet that they fear, why they scared? 
 Black like the slave ship that later brought us here 
 Black like the cheeks that are roadways for tears 
 That leave black faces well traveled with years 
 Black like assassin cross-hairs 
 Blacker than my granddaddy armchair 
 He never really got no time to chill there 
 Cause this life is warfare, warfare 
 (Talib Kweli) 
 Deep on the front lines, and blacks is all there 
 Black like the perception of who, on welfare 
 Black like faces at the bottom of the well 
 I've been there before 
 To bring the light and heat it up like ""la cocina"" 
 Make without imagine happen but maybe I'm just a dreamer 
 I love rockin' tracks like John Coltrane love Naema 
 [M] Like the student love the teacher 
 [T] Like the prophet love Khadeja 
 [M] Like I love my baby features 
 [A] Like the creator love all creatures 
 (Talib Kweli) 
 Who acknowledge truth and peace seekers 
 We on point like heat seekers 
 Targettin' the black marketing strategists 
 Run up on 'em with the heaters 
 Everybody followin' with no leaders 
 Feelin' like we killin' ourselves 
 Because I know they can't defeat us 
 It don't stop till we complete this, keep this fly 
 There's so much to life when you just stay Black and God 
 (Mos Def) 
 Blacker than the nighttime sky of Bed-Stuy in July 
 Blacker than the seed in the blackberry pie 
 Blacker than the middle of my eye 
 Black like feh-lah man cry 
 Some man wan ask ""Who am I?"" 
 I simply reply, ""The U.N.I., V.E.R.S.A.L. Magnetic"" 
 Work to respect the angelic, climb the mountaintop 
 And tell it till the valley's enveloped 
 You're full of big chat but you nah know me 
 I'm dark like the side of the moon you don't see 
 When the moon shine newly 
 [M] You know who else is a Black Star? (Who?) Me 
 [T] You know who else is a Black Star? (Who?) Me 
 [A] You know who else is a Black Star, who we? (And we) 
 [A] be shinin' and shinin', when we rhymin' and rhymin' 
 We be shinin' and shinin', when we rhymin' and rhymin' 
 (Mos Def) 
 Now everybody hop on the one, the sounds of the two 
 It's the third eye vision, five side dimension 
 The 8th Light, is gonna shine bright tonight 
 It's the third eye vision, five side dimension 
 [T] You know the light 
 [M] Go from the dark 
 [T] The other way is ass-backwards 
 [M] It's absurd 
 [T] Make you wanna crow like a blackbird 
 [M] That's right 
 [T] You livin' from your first day to your last night 
 [T] Sometimes you show your ass like 
 [M] Lint on your clothes 
 [T] When you froze in 
 [A] the black light 
 [M] Dead that 
 [T] Before you get your head wrapped 
 [M] Like Badu 
 [T] We see through your voodoo 
 [T] Just like Eve's Bayou, you dealin' with that black magic 
 [M] Try to civilize you 
 [T] Not walk on by you 
 [M] Like civil-(lies do get you black listed) it'll 
 [T] Be unlucky for you like a black cat 
 [M] A panther 
 [T] Revolution is the answer 
 [M] That's what we need 
 [T] Greed plague my people like the cancer 
 [M] True indeed 
 (Mos Def) 
 Now black people unite, and let's ALL GET DOWN 
 Now everybody hop on the one, the sounds of the two 
 It's the third eye vision, five side dimension 
 The 8th Light, is gonna shine bright tonight 
 Everybody hop on the one, the sounds of the two 
 It's the third eye vision, five side dimension 
 The 8th Light, is gonna shine bright tonight 
 It's the third eye vision, five side dimension 
 Equalin' up to eight, light sh"
2,Black Star,hiphop,Definition,"Hello everybody! 
 Recording live from somewhere... 
 (Mos Def) 
 Lawwwwwwwwwwwwwwwwwwwd, lawd have mercy 
 All nice and peace and true, follow me now, we say 
 Say Hi-Tek yes you're ruling hip-hop 
 Say J. Rawls yes you're ruling hip-hop 
 Redefinition say you're ruling hip-hop 
 Say Black Star come to rock it non... 
 Yo, from the first to the last of it, delivery is passionate 
 The whole and not the half of it, vocab and not the math of it 
 Projectile that them blasted with, accurate assassin shit 
 Me and Kweli close like, Bethlehem and Nazareth 
 After this you be pressing rewind on top your master disk 
 Shining like an asterisk for all those that be gatherin 
 Connectin like a roundhouse from the townhouse to the tenaments 
 Cause all my Brooklyn residents, are the heavy regiments 
 Don't believe, here the evidence, where Brooklyn WHAAAAAAAooh 
 See that? Bound to take it all kid, believe that 
 From where they sellin tree at, to where the police be at 
 Talib Kweli e-Kweli-ty yo tell them where we be at 
 (Talib Kweli) 
 Brooklyn New York City where they paint murals of Biggie 
 In cash we trust 'cause it's ghetto fabulous, life look pretty 
 What a pity -- blunts is still fifty cents, it's intense 
 Tree scents is dominant can't be covered with incense 
 My presence felt my name is Kweli from the Eternal Reflection 
 People thinkin' MC is short hand for Mis Conception 
 Let me meditate, set it straight, came to the conclusion 
 That most of these cats is featherweight, let me demonstrate 
 Walkin' the streets is like battlin, be careful with your body 
 You must know karate or think your soul is bulletproof like Sade 
 Stop actin' like a bitch already, be a visionary 
 And maybe you can see your name in the column of obituary 
 Third rate teacher readin and talkin' about, ""I knew he'd amount to nothin"", 
 Neighbors like, ""He was the quiet type, who'd have thought they was frontin?"" 
 Talkin' +Loud+ like you in RCA, get carted away 
 With body parts and trays, what a way to start your day 
 Yo it's like 
 Chorus: Mos Def and Talib Kweli 
 One two three 
 Mos Def and Talib Kweli 
 We came to rock it on to the tip-top 
 Best alliance in hip-hop, wyah 
 I said one two three 
 It's kind of dangerous to be a emcee 
 They shot Tupac and Biggie 
 Too much violence in hip-hop, wyah 
 (Mos Def) 
 I said Manhattan keep on makin' it (Bo!), Brooklyn keep on takin' it (Bo!) 
 So relax we're takin' it back, Redhook where we're livin' at 
 Plenty cats be strugglin not hustlin and bubblin 
 It ain't about production and -- what else we discussin? 
 When the cock crows, my crop grows, enable me to rock flows 
 Strivin for perfection ever since I was a snot-nose 
 Colossal, true original b-boy apostle 
 Standin on the rooftop with the Zulu gestapo 
 (Talib Kweli) 
 You think you the shit somebody in the wings'll force you to quit 
 It could be your crew or click or some random kid you smoked buddha with 
 Consider me the entity within the industry without a history 
 Of spittin' the epitome of stupidity 
 Livin' my life expressin my liberty, it gotta be done properly 
 My name is in the middle of e-Kweli-ty 
 People follow me and other cats they hear him flow 
 And assume I'm the real one with lyrics like I'm Cyrano 
 (Mos Def) 
 Still sippin wishin well water, imported from Pluto 
 Three hundred and sixty milliliters for all our believers 
 In miles or kilometers, most cats cannot proceed us 
 In the jungle with the leaders we the lions you the cheetahs 
 A cypher will complete us if we come through your receivers 
 You can play us and repeat us and then take us home and read us 
 (Line for line) Good Jesus, Mos Def and Kweli just 
 Make a pussy freeze up, thinkin' we will ease up 
 ...Hold Your head when the beat drop..."
3,Black Star,hiphop,RE,"What what what, what what, what what, what what 
 Whoa! 
 One two three, Mos Def and Talib Kweli 
 We came to rock it on to the tip-top 
 Best alliance in hip-hop, wayoh 
 I said, one two tree, Black Star shine eternally 
 We came to rock it on to the tip-top 
 And Hi-Tek make the beat drop, wayoh 
 (Talib Kweli) 
 RE:DEFinition, turning your play into a tragedy 
 Exhibit level degree on the mic, passionately 
 Niggaz is sweet so I bet if I bit I'd get a cavity 
 Livin' to get high, you ain't flyer than gravity 
 We Die Hard like the battery done in the back of me by the mad MC 
 Who think imitation is the highest form of flattery, actually 
 Don't be mad at me, I had to be the one to break it to you 
 You get kicked into obscurity like judo, no Menudo 
 Cause you pseudo, tryin' to compete with reality like Xerox 
 Towards destruction you spiraling like hairlocks, wipe them teardrops 
 Chasing stars in your eyes, playing games with your lives 
 Now the wives is widows soakin up pillows, weepin like willows 
 Still mo' blacks is dyin', kids ain't livin' they tryin' 
 _How to Make a Slave_ by Willie Lynch is still applyin 
 Regardless, the Mos is one of my closest partners 
 Rockin' ever since before Prince was called The Artist 
 Rocker before Funkmaster Flex was rockin' Starter 
 When 'Pac and Biggie was still cool before they was martyrs 
 Life or death, if I'm choosin' with every breath I'm enhancin 
 Stop, there comes a time when you can't run 
 (Mos Def) 
 What, lyrically handsome, call collect a king's ransom 
 Jams I write soon become the ghetto anthem 
 Way out like Bruce Wayne's mansion, move like a phantom 
 You'll talk about me to your grandsons 
 Cats who claimin they hard be mad fag 
 So I run through 'em like, flood water through sandbags 
 Competition is mad, what I got, they can't have 
 Sinkin they ship, like Moby Dick, did Ahab 
 Son I'm way past the minimum, it's a verb millennium 
 My rap's the holy gas in your bag, like Palestinians 
 Ancient Abyssinia, sure to hold the Gideon 
 Official b-boy gentlemen, long term, never the interim 
 Born inside the winter wind, day after December 10 
 These simpletons they mentionin the synonym for feminine 
 Sweeter than some cinnamon from Danish rings by Entenmann's 
 Rush up on adrenaline, they get they asses sent to them 
 (Gentlemen) you got a tenement, well then assemble it! 
 Leave your unit tremblin like herds of movin elephant 
 Intelligent embellishment, follow for your element 
 From Flatbush settlement, kid possesses melanin 
 Hotter than tales of crack peddlin, makin' 'em WOOP 
 Like blue gelatin, swing like Duke Ellington 
 Broader than Barrington Levy, believe me 
 The hot Apache who burn down your chief teepee 
 You see me? 
 One two three, Mos Def and Talib Kweli 
 We came to rock it on to the tip-top 
 Best alliance in hip-hop, wayoh 
 I said, one two tree, Black Star shine eternally 
 We came to rock it on to the tip-top 
 Because we rulin hip-hop, yes we is rulin hip-hop 
 Talib Kweli is rulin hip-hop 
 Say we Black Star we rule hip-hop-ah-ah-ah-ah-ah 
 Whoa!"
4,Black Star,hiphop,Children's Story,"(Child #1) ...and then Jackie Chan just started kickin em 
 Like POW! POW! POW! 
 (Child #2) Whaaaaa??! 
 (Mos Def) All right y'all, all right y'all enough of that 
 It's time to go to bed y'all 
 Time to go to bed -- I don't wanna hear that 
 You know what time it is, you know what time it is 
 (Children) Uncle Mos? 
 (Mos Def) Yeeesss? 
 (Children) Would you read us a bedtime story please? 
 (Mos Def) Okay, okay. Y'all tucked in? 
 (Children) Yeessss... 
 (Mos Def) Heeeere we go... 
 Once upon a time not long ago 
 When people wore Adidas and lived life slow 
 When laws were stern and justice stood 
 And people was behavin' like hip-hop was good 
 There lived a little boy who was misled 
 By a little Sha-tan and this is what he said 
 ""Me and you kid we gonna make some cash, 
 Jackin' old beats and makin' the dash..."" 
 They jacked the beats, money came wit' ease 
 But son, he couldn't stop, it's like he had a disease 
 He jacked another and another, Michael Jackson, Stevie Wonder 
 Set some R & B over the track for 'Deep Cover' (187!) 
 The kid got wild startin' actin' erratic 
 He said ""Yo, that presidential I got ta have it..."" 
 With liquor in his belly son, he made up the track 
 But little did he know that his joints was wack 
 The shiny A & R said ""Great new hit G!"" 
 ""Whenever you need a loop, yo come get me..."" 
 The kid got amped and he starts to figure 
 ""I'm-a get dough like all-a these otha niggaz!"" 
 So, he's in the studio workin' 'round the clock 
 For pop radio, jacked the beat to 'Planet Rock' 
 Was out in the street when he met this sister 
 Who couldn't sing for shhhh but the mix wit' her sister 
 Hooked up the track and in excitation 
 He decided he'd head for the radio station 
 But (But!) he was runnin' and he made a left 
 Was skeezin' at top speed and ran into Mos Def 
 I slowed the young man down and I started: ""Yo money, 
 Yo, why you sellin' lies to our wives and children?"" 
 He ran upstairs up to the top floor 
 Opened up the door then guess what he saw? (Who?) 
 JANE the chickenhead radio host 
 Who be yappin' 'bout beef between east and west coast 
 He said ""This one's a bullet, you got ta give it run!"" 
 The chicken said ""Thanks."" and spanked it #1 
 He went outside, was gettin' props all over 
 Then he dipped into his ride, the 4-point Rover 
 Raced up the block doin' 83 
 Some cats with Hennessey saw him at a R-E-D 
 He winked his eye like his star status mattered 
 They rat-a-tat-tatted to make his blood splatter 
 ""You rockin' crazy ice and all you do is cling static 
 And rollin' down to Brooklyn late night is problematic..."" 
 His eyes was bloody red, he hung on every word they said 
 They told the kid ""Back down, that playa shit is dead."" 
 Deep in his heart, he knew he was gone 
 But he grabbed his 45 and decide to blaze on 
 Wit' shades on founded had him astounded an' 
 Before long, the young man got surrounded 
 Those grabbed the guns, so goes the glory 
 And that is the way I got ta end this story 
 He was out chasin' cream and the American dream 
 Tryin' to pretend the ends justify the means 
 This ain't funny so don't you dare laugh 
 It's just what comes to pass when you sell your ass 
 Life is more than what your hands can grasp 
 Good Night! 
 (Kids talking) 
 Knock 'em out the box Mos, knock 'em out Mos 
 Knock 'em out the box Mos, knock 'em out Mos (3x) 
 Knock 'em out... 
 A-nother... Mos Def... Black Star MOVEMENT... 
 Presentation... CRUUUMBS!"
5,Black Star,hiphop,Brown Skin Lady,"(Mos Def) 
 Be like yo, let me ask you somethin' 
 I wanna know, I wanna know who you are 
 *Mos Def singing* 
 (Mos) Brown skin lady, hey hey 
 (Talib) Yes 
 (Mos) Where you goin' 
 (Talib) This goes to the brown skin ladies 
 (Mos) Brown skin lady 
 (Talib) Yo, indigenous women of the planet Earth 
 (Mos) What you doin'? 
 (Talib) Givin' birth to the brown skin ladies first 
 (Mos) Brown skin lady 
 (Talib) For what it's worth, from me to you 
 (Mos) How do you feel? 
 (Talib) From me to you, watchin you 
 I like the, I like the, I like the, I like the 
 Way you walk, yes, I live the way you move 
 (Mos) I like the way you walk, when you walk on by 
 I like the way you move, I like the WAY you move 
 (Talib) I like the, I like the, I like the, I like the 
 Way you walk, please, won't you do that dance 
 (Mos) I like the way you walk, when you walk on by 
 I like the way you move, I like you baby 
 (Together) 
 And everybody on the avenue, I know, when they see you sing 
 Everybody on the avenue, I know, when they see you sing, there she is 
 (Talib) 
 Fresher than Tony Rebel's vestibules at African street festivals 
 My incredible women is, plentiful 
 Over the years I met a few, none of them compare to you 
 Preparin you to make food bearable, somethin' terrible, let's see: 
 You fruitful, beautiful, smart, lovable, huggable 
 Doable like art, suitable to be part 
 Of my life, Coppertone, oh you copyright infringement 
 Pay you bidness ten cents, way back in the day 
 It's like I'm standin there you know appreciatin God's design 
 And then you showed up, it's like you read my mind 
 DAMN SHE'S FINE, I think I add the R-E, in front of that 
 And see if she D, to get, with a cat like me 
 (Talib) I like the, I like the, I like the, I like the 
 Way you walk, yes, I live the way you move 
 (Mos) I like the way you walk, when you walk on by 
 I like the way you move, I like the WAY you move 
 (Talib) I like the, I like the, I like the, I like the 
 Way you walk, please, won't you do that dance 
 (Mos) I like the way you walk, when you walk on by 
 I like the way you move, I like you baby 
 (Together) 
 And everybody on the avenue, I know, when they see you sing 
 Everybody on the avenue, I know, when they see you sing, there she is 
 (Mos Def) 
 Ooh! Daring me girl, look at you! 
 Comin' on the block lookin' fresh and brand new 
 Ooh! Headwrap cover your hairdo 
 Pretty feet peekin through open-toed shoe 
 Ooh! No limit to what I would do 
 Make love to you like long interview 
 Whooh! Is she for real, me like you 
 Good look champion, win the title 
 True, many man try invite you 
 Shot down lyric each time they cyph you 
 Jewel, what man you get all insides you 
 Feet they walk way and just that sheik posture 
 Ooh! Can't be a next one like you 
 Famous like tapes made by DJ Clue 
 I tighten up my game as I approach you 
 Yo check her she the nectar the bee get close to 
 ... 
 (Talib) 
 I don't get many compliments, but I am confident 
 Used to have a complex about, gettin' too complex 
 You got me, willin' to try, looked me in the eye 
 My head is still in the sky, since you walked on by 
 I'm feelin' high, got my imagination flickerin like hot flames 
 It's how it seems, you make me wanna ride the coal train to A Love Supreme 
 My brown lady, creates environments, for 
 Happy brown babies, I know it sounds crazy 
 But your skin's the inspiration for cocoa butter 
 You provoke a brother we should get to know one another 
 I discover when I bring you through my people say TRUE, all I can say 
 Is all praise due I thank you God for a beauty like you 
 *Mos Def singing* 
 (Mos) Brown skin lady 
 (Talib) Yes 
 (Mos) Where you goin' 
 (Talib) This goes to the brown skin ladies 
 (Mos) Brown skin lady 
 (Talib) On the planet Earth today, yes 
 (Mos) What you doin'? 
 (Mos) Brown skin lady 
 (Mos) How do you feel? 
 (Talib) I like the, I like the, I like the, I like the 
 Way you walk, yes, I live the way you move 
 (Mos) I like the way you walk, when you walk on by 
 I like the way you move, I like the WAY you move 
 (Talib) I like the, I like the, I like the, I like the 
 Way you walk, yes, please do that dance 
 (Mos) I like the way you walk, when you walk on by 
 I like the way you move, I like you baby 
 (Together) 
 And everybody on the avenue, I know, when they see you sing 
 Everybody on the avenue, I know, when they see you sing, there she is 
 (Mos) There she is, she's a brown skinned lady 
 Such a brown skinned lady 
 She's a brown skinned lady 
 She's a brown skinned lady 
 She's a brown skinned lady 
 She's a brown skinned lady 
 (Talib) 
 You know what some people put themselves through 
 To look just like you? 
 Dark stocking, high heels, lipstick, alla that 
 You know what? 
 Without makeup you're beautiful 
 Whatcha you need to paint the next face for 
 We're not dealin' with the European standard of beauty tonight 
 Turn off the TV and put the magazine away 
 In the mirror tell me what you see 
 See the evidence of divine presence 
 Women of the, Caribbean, they got the, golden sun 
 I know women on the continent got it 
 Nigeria, and Ghana, you know they got it 
 Tanzania, Namibia and Mozambique 
 And Bothswana, to let it speak 
 About latinas, columbianas 
 ... 
 Tallenas, of course the Brooklyn women walk that walk 
 And the Bronx women walk that walk 
 Honies from Queens walk that walk, NYC, ATL, LA 
 Cincinnati, the Bay Area..."
6,Black Star,hiphop,B Boys Will B Boys,"(Mos Def) 
 Yo yo, yo, whassup, yo yo 
 Yo yo, we gonna, we gonna slow it down 
 So we can speed it up y'all 
 Right now I want everybody come to the front 
 That's right, move forward 
 I want all the poppers and the breakers, to form this circle 
 I want all the poppers and the breakers 
 The writers and the exciters, to get in this circle 
 And make it real live yo 
 'Cause I'm seein too many stars up in here tonight yo 
 I'm seein the Rock Steady Crew 
 I'm seein Ken Swift, I'm seein Mr. Wiggles 
 I'm seein Modesho, I'm seein Crazy Legs 
 Man I'm seein the Zulu Nation up in here 
 I'm seein the Rawkus family, Shabaam Shadeeq, Company Flow 
 Menelik, I'm seein G-ology, Shawn J. Period 
 Man this the Black Star movement 
 Mos Def, Talib Kweli we gon' keep it live 
 For the b boys and b girls universally 
 Rock Steady Japan, Rock Steady Europe 
 Rock Steady New York, yo we just gonna keep it live 
 All over the world -- get live 
 (Talib Kweli) 
 Party people, in the place to be 
 My name is Talib Kweli 
 Yo, I got my man on the side of me 
 Mos Def-initely, and we, are 
 (Fresh) Black Star 
 (Fresh) G Young 
 (Fresh) Hi-Tek 
 (Fresh) Native Tongue 
 (Fresh) Shawn J. 
 (Fresh) Eighty-eight 
 (Fresh) Ninety-eight 
 We bout to motivate, come on y'all 
 (M) 
 (T) 
 Here's a little story that must be told 
 About two young brothers who was put on hold 
 They tried to stop the goal 
 We on a spiritual plane 
 Tried to kill the pride 
 And destroy the name 
 We just two bad brothers 
 Who will never quit 
 I'm Mos Def 
 Kweli (WE THE ULTIMATE) 
 Make sure that you tell 
 Everybody you know 
 To get on line 
 Take a ride 
 To the Black Star show! 
 Black Star 
 Shinin 
 Shinin, we in the house 
 Shinin 
 Shinin, we in the house y'all 
 Black Star 
 Shinin 
 Shinin, we in the house 
 Shinin 
 Shinin, we in the house y'all 
 Black Star 
 Shinin 
 Shinin, we in the house 
 Shinin 
 Shinin, we in the house y'all 
 Black Star 
 Shinin 
 Shinin, we in the house 
 Shinin 
 Shinin, we in the house y'all"
7,Black Star,hiphop,K.O.S. (Determination),"(Talib Kweli) 
 So many emcees focusin' on black people extermination 
 We keep it balanced with that knowledge of self, determination 
 It's hot, we be blowin' the spots, with conversations 
 C'mon let's smooth it out like Soul Sensation 
 We in the house like Japanese in Japan, or Koreans in Korea 
 Head to Philly and free Mumia with the Kujichagulia TRUE 
 Singin' is swingin' and writin' is fightin', but what 
 They writin' got us clashin' like titans it's not excitin' 
 No question, bein' a black man is demandin' 
 The fire's in my eyes and the flames need fannin' 
 The fire's in my eyes and the flames need fannin' 
 The fire's in my eyes and the flames need fannin' 
 With that what? (Knowledge Of Self) Determination 
 With that what? (Knowledge Of Self) Determination 
 With that what? (Knowledge Of Self) Determination 
 With that what? (Knowledge Of Self) Determination 
 (Vinia Mojica) 
 Things I say and do, may not come quite through 
 My words may not convey just what I'm feelin' 
 (Talib Kweli) 
 Yes yes come on, yes yes 
 Knowledge Of Self is like life after death 
 With that you never worry about your last breath 
 Death comes, that's how I'm livin', it's the next days 
 The flesh goes underground, the book of life, flip the page 
 Yo they askin' me how old, we livin' the same age 
 I feel the rage of a million niggaz locked inside a cage 
 At exactly which point do you start to realize 
 That life without knowledge is, death in disguise? 
 That's why, Knowledge Of Self is like life after death 
 Apply it, to your life, let destiny manifest 
 Different day, same confusion, we're gonna take this 
 Hip-hop shit and keep it movin', shed a little light 
 Now y'all bloomin' like a flower with the power of the evident 
 Voices and drums original instruments 
 In the flesh presently presentin' my representation 
 With that what? (Knowledge Of Self) Determination 
 With that what? (Knowledge Of Self) Determination 
 With that what? (Knowledge Of Self) Determination 
 With that what? (Knowledge Of Self) Determination 
 With that what? (Knowledge Of Self) Determination 
 With that what? (Knowledge Of Self) Determination 
 (Vinia Mojica - these parts overlap) 
 Things I say and do, may not come quite through 
 My words may not convey just what I'm feelin' 
 My words may not convey just what I'm feelin' 
 (Talib Kweli) 
 The most important time in history is, NOW, the present 
 So count your blessings cause time can't define the essence 
 But you stressin' over time and you follow the Roman calendar 
 These people into cloning, like Gattaca, you can bet 
 They tryin' to lock you down like Attica, the African diaspora 
 Represents strength in numbers, a giant can't slumber forever 
 I know you gotta get that cheddar whatever 
 Aiyyo I heard you twice the first time money, get it together 
 You must be History, you repeatin' yourself out of the pages 
 You keepin' yourself depleatin' your spiritual wealth 
 That quick cash'll get your ass quick fast in houses of detention 
 Inner-city concentration camps where no one pays attention 
 Or mentions the ascension of death, till nothing's left 
 The young, gifted and Black are sprung addicted to crack 
 All my people where y'all at cause, y'all ain't here 
 And your hero's using your mind as a canvas to paint fear 
 With, broad brush strokes and tales of incarceration 
 You get out of jail with that Knowledge of Self determination 
 Stand in ovation, cause you put the Hue in Human 
 Cause and effect, effect everything you do 
 And that's why I got love in the face of hate 
 Hands steady so the lines in the mental illustration is straight 
 The thought you had don't even contemplate 
 Infinite like figure eight there's no escape... 
 From that what? (Knowledge Of Self) Determination 
 From that what? (Knowledge Of Self) Determination 
 From that what? (Knowledge Of Self) Determination 
 From that what? (Knowledge Of Self) Determination 
 (Vinia Mojica) 
 Things I say and do, may not come quite through 
 My words may not convey just what I'm feelin' 
 Things I say and do, may not come quite through 
 My words may not convey just what I'm feelin' 
 Things I say and do, may not come quite through 
 My words may not convey just what I'm feelin' 
 Things I say and do, may not come quite through 
 My words may not convey just what I'm feelin' 
 What I'm feelin', what I'm feelin', ooh, what I'm feelin'..."
8,Black Star,hiphop,Hater Players,"(Talib Kweli) 
 Yes... 
 Every day somebody ask me where all the real MC's is at? 
 They underground 
 There's mad talented cats underground with that raw shit 
 Yaknowwhat'msayin? Bringin' them raw skills 
 YaknowwhatI'm sayin'? 
 Really, to me... 
 It's a Small Wonder, like Vicki, why I'm picky 
 These niggas suck like hickies 
 And still get the shit they slip in like Mickies 
 I'm sick of the hater-players, bring on the regulators 
 With the flavors like a farm team fucking with the majors 
 Like a river how I run through it, I do it so cold 
 Freezin up your bodily fluids, your style is old 
 You runnin' your mouth, but don't really know what you be talkin' about 
 You should retire, get that complimentary watch, be out! 
 Yo, with the quickness, so swift you miss this lyrical fitness 
 Now get this, these emcees wanna test me like litmus, bear witness 
 I'm like shot clocks, interstate cops, and blood clots 
 My point is, your flow can stop! 
 By all means, you need more practice, take that ass home 
 Everybody lookin' at you, fish tank syndrome 
 In full effect, I stay catchin lyrical rep 
 And keep it blacker than the back of your neck 
 What you expect, that shit's hollerin 
 'Cause we developin the followin 
 Gettin' played like stone love tapes and dollar vans 
 Order reverse your universe so your demise is first 
 Before your rise it gets worse 
 You need a night nurse like Gregory 
 Beggin me - stop it hurts! - is what you say to me 
 Like that's supposed to mean somethin'? 
 You the one I seen frontin in the club 
 Your act I don't buy it, I got the dub 
 Come on everybody, come on just show your love 
 Come on everybody, come on just show your love 
 Come on everybody, come on just show your love 
 Come on everybody, come on just show your love 
 Come on everybody, come on just show your love 
 Chorus: *chanted in background* 
 Wo-oh-oh-oh-oh, oh-uh-oh *repeated 4X* 
 (Mos Def) 
 Visions occupy my synaptic space 
 Command and shake, to illustrate my mind's landscape 
 The tall grass, the low plains, the mountanous ridges 
 Thickets among the forests, rivers beneath the bridges 
 Presence of hilltops, lit up with tree tops 
 Eavesdrop; and hear the incline of sunshine, nine 
 Stones in orbit, refuse to forfeit 
 They all form a cipher, and they came to observe it 
 I follow suit, and face it, embrace it 
 Shinin bright, but still I'm careful not to waste it 
 Destined to rise, because I'm basement adjacent 
 Spirit is still so just chill and be patient 
 Some heads approach like I'm the one to base with 
 Clowns about to scream and shout but don't say shh... 
 I ain't your student so I ain't to be tested 
 I'm majestic, I represent my strength without effort 
 My, method is unorthodox, but of course it rocks 
 My serious synopsis will drop kick, my topics 
 Run the gauntlets and galvanize the audience 
 I must represent, I don't come off with no corniness 
 It's all luminary, despite commentary 
 Some people say, Mos how you get so? 
 My sign will make you jump around like calypso 
 And, murmur to yourself like a schizo 
 There ain't no bottom on the ??? 
 (Talib Kweli) 
 Come on, come on, come on, come on 
 Here we go. Blackstar, hop on the Blackstar line 
 We bout to take y'all home. 
 YaknowwhatImean? Here we go... 
 We got all markets on lock 
 From meat to stock 
 Blackstar, what? throwin' like head rock in bars 
 Men flock to where we are, 'cause it's the place to be 
 Grab my paint, jump on stage and deface emcees 
 We sell our souls like Spawn and come for the drone I sit upon 
 Freestyle or written songs so we can get it on! 
 Going back and forth, fallin' back, all across the track 
 Passin the mic's like quarterbacks 
 Of course its phat, get off of that! 
 Reverse psychology got 'em scared to say when shit is whack 
 Out of fear of being called a hater, imagine that! 
 We ain't havin' that reachin' past the star status that you grabbin at 
 My battle raps blast your ass back to your natural habitat 
 So floss, 'cause what it costs ain't worth it to me 
 'Cause I'm the one these Spice Girl emcees Wannabe 
 But they can't, ain't no points forever, so why bother? 
 Cause your girl calls my name out like Clarence Carter 
 Clarence Carter, Clarence Carter! 
 (I be strokin, that's what I be doin') 
 Aiyyo, as we rock harder 
 And always drop the bonified head nodders 
 Aiyyo, later for the hater-players 
 Yo-yo, yo-yo, later for these hater-players 
 Blackstar keeps shining 
 Blackstar keeps shining"
9,Black Star,hiphop,Yo Yeah,"(Backing) 
 Yo ye Yo ye 
 Yo Yo Ye Ye 
 (Small girl) 
 Black is black is something to laugh about black is something to cry about 
 Black is serious black is a feeling black is us the beautifull people 
 (Older women) 
 That was when some of them bad niggas made beauty moving juju changes the drum 
 Music hum! Mojo vibrated and high jons screamed through the bloods to no one 
 Hears the blood sounds no more folk intercourses and all the niggas listening 
 Acted visionaries too dig my people they acted the ryhtms pulling there minds 
 Was one and move move move universe earth spirit firing the soils to destroy 
 The evil un image cleanse the waste from the cold lands till the cosmos was 
 Whole again and the worlds had become nude 
 (Older man) 
 3:30 in the morning with not a sole in sight we sat four deep at a traffic light 
 Talking about how dumb and brainwashed how dumb some of our brothers and 
 Sisters are while we wait for a green light to tell us when to go. 
 (Applause)"
