,0,1,2,3
0,Britney Spears,pop,...Baby One More Time,"Oh, baby, baby 
 Oh, baby, baby 
 Oh, baby, baby, how was I supposed to know 
 That something wasn't right here? 
 Oh, baby, baby, I shouldn't have let you go 
 And now you're out of sight, yeah 
 Show me how you want it to be 
 Tell me, baby, 'cause I need to know now 
 Oh, because 
 My loneliness is killing me (And I) 
 I must confess, I still believe (Still believe) 
 When I'm not with you, I lose my mind 
 Give me a sign 
 Hit me, baby, one more time 
 Oh, baby, baby, the reason I breathe is you 
 Boy, you got me blinded 
 Oh, pretty baby, there's nothing that I wouldn't do 
 It's not the way I planned it 
 Show me how you want it to be 
 Tell me, baby, 'cause I need to know now 
 Oh, because 
 My loneliness is killing me (And I) 
 I must confess, I still believe (Still believe) 
 When I'm not with you, I lose my mind 
 Give me a sign 
 Hit me, baby, one more time 
 Oh, baby, baby (Oh) 
 Oh, baby, baby 
 Yeah, ah-yeah 
 Oh, baby, baby, how was I supposed to know? 
 Oh, pretty baby, I shouldn't have let you go 
 I must confess that my loneliness is killing me now 
 Don't you know I still believe? 
 That you will be here and give me a sign 
 Hit me, baby, one more time 
 My loneliness is killing me (And I) 
 I must confess, I still believe (Still believe) 
 When I'm not with you I lose my mind 
 Give me a sign 
 Hit me, baby, one more time 
 I must confess (My loneliness) 
 That my loneliness (Is killing me) 
 Is killing me now (I must confess) 
 (I still believe) Don't you know I still believe? 
 (When I'm not with you, I lose my mind) 
 That you will be here, and give me a sign 
 Hit me, baby, one more time"
1,Britney Spears,pop,(You Drive Me) Crazy,"Baby, I'm so into you 
 You've got that something, what can I do? 
 Baby, you spin me around, oh 
 The earth is movin' but I can't feel the ground 
 Every time you look at me 
 My heart is jumpin', it's easy to see 
 Loving you means so much more 
 More than anything I ever felt before 
 You drive me crazy, I just can't sleep 
 I'm so excited, I'm in too deep (Oh, oh, oh) 
 Crazy, but it feels all right 
 Baby thinking of you keeps me up all night 
 Oh, oh, oh 
 Tell me you're so into me 
 That I'm the only one you will see 
 Tell me I'm not in the blue, oh 
 That I'm not wastin' my feelings on you 
 Loving you means so much more 
 More than anything I ever felt before 
 You drive me crazy, I just can't sleep 
 I'm so excited, I'm in too deep (Oh, oh, oh) 
 Crazy, but it feels all right 
 Baby, thinking of you keeps me up all night 
 Crazy, I just can't sleep 
 I'm so excited, I'm in too deep 
 Crazy, but it feels all right 
 Every day and every night 
 You drive me crazy (You drive me crazy, baby) 
 I'm so excited, I'm in too deep (Oh, oh, oh) 
 Crazy (You make me feel all right) 
 Baby, thinking of you keeps me up all night 
 You drive me crazy (You drive me crazy, baby) 
 Yeah-eah, yeah (Oh, oh, oh) 
 Crazy, but it feels all right (You make me feel all right) 
 Baby, thinking of you keeps me up all night 
 Baby, thinking of you keeps me up all night"
2,Britney Spears,pop,Sometimes,"You tell me you're in love with me 
 Like you can't take your pretty eyes away from me 
 It's not that I don't wanna stay 
 But every time you come too close I move away 
 I wanna believe in everything that you say 
 A'Cause it sounds so good 
 But if you really want me, move slow 
 There's things about me you just have to know 
 Sometimes I run 
 Sometimes I hide 
 Sometimes I'm scared of you 
 But all I really want is to hold you tight 
 Treat you right, be with you day and night 
 Baby all I need is time 
 I don't wanna be so shy, uh-uh 
 Everytime that I'm alone I wonder why 
 Hope that you will wait for me 
 But you'll see that, you're the only one for me 
 I wanna believe in everything that you say 
 Ah 'cause it sounds so good 
 But if you really want me, move slow 
 There's things about me, you just have to know 
 Sometimes I run 
 Sometimes I hide 
 Sometimes I'm scared of you 
 But all I really want is to hold you tight 
 Treat you right, be with you day and night 
 All I really want is to hold you tight 
 Treat you right, be with you day and night 
 Baby all I need is time 
 Just hang around and you'll see 
 There's nowhere I'd rather be 
 If you love me, trust in me 
 The way that I trust in you 
 Sometimes I run 
 Sometimes I hide 
 Sometimes I'm scared of you 
 But all I really want is to hold you tight 
 Treat you right, be with you day and night 
 Sometimes I run 
 Sometimes I hide 
 Sometimes I'm scared of you 
 But all I really want is to hold you tight 
 Treat you right, be with you day and night 
 All I really want is to hold you tight 
 Be with you day and night 
 Sometimes I run 
 Times I hide 
 Sometimes I'm scared of you 
 But all I really want is to hold you tight 
 Treat you right, be with you day and night"
3,Britney Spears,pop,Soda Pop,"Ooh-Ooh 
 Ah, here we go now, Oh 
 (Mikey Bassie) Like the great poets Homer, Agamemnon or even Zeus 
 We talkin' a vibical expedition 
 This pop ditty we choose 
 So be calm, don't ring the alarm, you see 
 (Britney) Ring-a-ling 
 (Mikey Bassie) 'Cause we go on and on 
 (Britney) On and on 
 (Mikey Bassie) Come, come, come follow me Britney 
 (Britney) yeah 
 Open a soda pop, watch it fizz and pop 
 The clock is tickin' and we can't stop 
 Open a soda pop, bop-shi-bop-shi-bop 
 The clock is tickin' and we can't stop 
 We might start riding to the music tonight 
 A clever way to get by, uh 
 The pop speak flowing like its fire and ice 
 So give it a little bly, so... 
 Open a soda pop, watch it fizz and pop 
 The clock is tickin' and we can't stop 
 Open a soda pop, bop-shi-bop-shi-bop 
 The clock is tickin' and we can't stop 
 Uh-uh 
 We have a plan, we have a definite plan 
 To level the vibes (vibes) 
 To level the vibes again (ooh-yeah) 
 See, we're overdue for a superlative slam 
 A wicked time to the end, oh yeah, so 
 Open a soda pop, watch it fizz and pop 
 The clock is tickin' and we can't stop 
 Open a soda pop, bop-shi-bop-shi-bop 
 The clock is tickin' and we can't stop 
 So much pop we're losing, sittin' watching the clock 
 So turn the temp up baby 
 Let's go over the top 
 (Take it to the top now) 
 No one else will do 
 I'm waiting for you 
 So show me what'cha got, just take a pop shot 
 And we will never stop shi-bop-shi-bop 
 Yeah, mm-hmm 
 The clock is tickin' and we can't stop 
 Open a soda pop, bop-shi-bop-shi-bop 
 The clock is tickin' and we can't stop (can't stop) 
 Jooks we neatly like we've never before (before, before, before) 
 Dubbin' it till we drop (we drop, ah, we drop yeah) 
 We'll flex tonight until they break down the door (oh yeah) 
 The party will never stop... so 
 Open a soda pop, watch it fizz and pop 
 The clock is tickin' and we can't stop 
 Open a soda pop, bop-shi-bop-shi-bop 
 The clock is tickin' and we can't stop 
 (Mikey Bassie) I bet we can party like we've never partied before 
 And we keep comin' back for more and more for sure (sure) 
 Just bubble with Britney when we get on the floor yeah 
 And we go 
 (Britney and Mikey Bassie) On and On until the break of dawn 
 Open a soda pop, watch it fizz and pop 
 The clock is tickin' and we can't stop 
 Open a soda pop, bop-shi-bop-shi-bop 
 The clock is tickin' and we can't stop 
 (Mikey Bassie) All we gotta do is just 
 Open a soda pop, watch it fizz and pop (oh yeah) 
 The clock is tickin' and we can't stop"
4,Britney Spears,pop,Born To Make You Happy,"Oh, my love 
 Oh yeah, yeah, yeah 
 Oh yeah 
 I'm sitting here alone up in my room 
 And thinking 'bout the times that we've been through, oh, my love 
 I'm looking at a picture in my hand, trying my best to understand 
 I really wanna know what we did wrong with the love that felt so strong 
 If only you were here tonight 
 I know that we could make it right 
 (I don't know how to live without your love) 
 I was born to make you happy 
 ('Cause you're the only one within my heart) 
 I was born to make you happy 
 Always and forever you and me 
 That's the way our life should be 
 (I don't know how to live without your love) 
 I was born to make you happy 
 I know I've been a fool since you've been gone 
 I'd rather give it up then carry on, oh, my love 
 'Cause livin' in a dream of you and me is not the way my life should be 
 I don't wanna cry a tear for you, so forgive me if I do 
 If only you were here tonight 
 I know that we could make it right 
 (I don't know how to live without your love) 
 I was born to make you happy 
 ('Cause you're the only one within my heart) 
 I was born to make you happy 
 Always and forever you and me 
 That's the way our life should be 
 (I don't know how to live without your love) 
 I was born to make you happy 
 Oh yeah, yeah, yeah 
 Oh yeah, yeah, yeah 
 I'd do anything, I'd give you my world 
 I'd wait forever to be your girl 
 (Just call out my name) Just call out my name 
 (I will be there) And I will be there 
 Just to show you how much I care 
 Oh yeah, yeah, yeah 
 I was born to make you happy 
 Yeah, oho 
 Oh, yeah 
 (I don't know how to live without your love) 
 I was born to make you happy 
 ('Cause you're the only one within my heart) 
 I was born to make you happy 
 Always and forever you and me 
 That's the way our life should be 
 (I don't know how to live without your love) 
 I was born to make you happy 
 I was born to make you happy 
 Oh yeah, yeah, yeah 
 Always and forever you and me 
 That's the way our life should be 
 (I don't know how to live without your love) 
 I was born to make you happy"
5,Britney Spears,pop,From The Bottom Of My Broken Heart,"""Never look back,"" we said 
 How was I to know I'd miss you so? 
 Loneliness up ahead, 
 Emptiness behind 
 Where do I go? 
 And you didn't hear 
 All my joy through my tears 
 All my hopes through my fears 
 Did you now? 
 Still I miss you somehow... 
 From the bottom of my broken heart 
 There's just a thing or two I'd like you to know 
 You were my first love, 
 You were my true love 
 From the first kisses to the very last rose 
 From the bottom of my broken heart 
 Even though time may find me somebody new 
 You were my real love 
 I never knew love 
 Till there was you 
 From the bottom of my broken heart 
 ""Baby,"" I said, 
 ""Please stay. Give our love a chance for one more day"" 
 We could have worked things out 
 Taking time is what love's all about 
 But you put a dart 
 Through my dreams 
 Through my heart 
 And I'm back where I started again 
 Never thought it would end 
 You promised yourself 
 But to somebody else 
 And you made it so perfectly clear 
 Still I wish you were here now... 
 ""Never look back,"" we said 
 How was I to know I'd miss you so?"
6,Britney Spears,pop,I Will Be There,"Oh yeah 
 You don't have to say what's on your mind 
 'Cause I know where you've been 
 Give it up and leave it all behind 
 And then let me begin 
 Come on hold my hand 
 Let me show how friends should be 
 I will make it all right... 
 Let me make it clear 
 You can put your trust in me 
 Yes I will be there... 
 When you need someone 
 You just turn around 
 And I will be there 
 When you're feeling low 
 Baby let me know 
 And I will be there 
 Won't you let me make it up to you... 
 Now you know where I am 
 There ain't nothing that I wouldn't do 
 Just to love once again 
 (Bridge and Chorus) 
 Just take a stand 
 I'll be here for you 
 Now and forever 
 Give one more chance 
 Just to show you how much I care 
 Ooh I'll be there 
 When you need someone 
 Just turn around 
 And I will be there 
 When you're in sorrow 
 Just let me know and I will be there 
 I'll be there... 
 (I will be there) 
 (I will be there) 
 I will be there... 
 I will be there"
7,Britney Spears,pop,I Will Still Love You,"Time may take us apart, but I will still love you, I promise. 
 And when the stars, stars are falling 
 I'll keep calling 
 I promise that you'll be my one, my only everything 
 I'll never be untrue 
 And I promise that for all your love I will do anything 
 I will give you the stars, I will buy you the moon 
 Even through the longest of our nights 
 And even through the darkest days 
 Our love will find a way 
 And when the stars are falling 
 I'll keep calling 
 I will still love you 
 And when your dreams are fading 
 I'll be waiting 
 I will still love you 
 You are my summer breeze, my winter sun 
 My springtime song, my autumn touch of gold 
 And you are my sky, my rain, the one for which my love grows strong 
 The smile in my heart and the breath in my soul 
 Even if we find ourselves apart 
 We will hold our hopes and dreams 
 Forever in our hearts 
 And when the stars are falling 
 I'll keep calling 
 I will still love you 
 And when your dreams are fading 
 I'll be waiting 
 I will still love you 
 Tell me how you feel 
 I finally know how love feels 
 Tell me if its real 
 And my heart tells me its real 
 So real, So real 
 And when the stars are falling 
 I'll keep calling 
 I will still love you 
 And when your dreams are fading 
 I'll be waiting 
 I will still love you 
 Time may take us apart, that's true 
 But I will always be there for you 
 You're in my heart, you'll be in my dreams 
 No matter how many miles between 
 I promise you that I won't forget 
 The day we kissed or the day we met 
 The sky may fall and the stars may too 
 But I will still, I will still love you 
 And when the stars are falling 
 I'll keep calling 
 I will still love you 
 And when your dreams are fading 
 I'll be waiting 
 I will still love you"
8,Britney Spears,pop,Deep In My Heart,"Ooh, ooh, ooh, ooh 
 Oh, oh, I want you for the rest of my life, 
 Oh yeah 
 Walking through time looking for an answer 
 How can it be this way 
 What have I done, I just can't help but wonder 
 How everything could change 
 'Cause you've turned my world around 
 Since you came along, no 
 After this love was found 
 It seems like we can't go wrong 
 Chorus: Deep in my heart I know there's only you 
 And right from the start I always knew 
 I'll never let go 'cause I love ya so 
 Oh-oh, I want you for the rest of my life 
 Some people search what seems to be a lifetime 
 To find a love like this, oh yeah 
 And here we are with everything we've wished for 
 I've never felt such bliss 
 Repeat Bridge 
 Oh, yeah 
 There comes a chance in everyone's life 
 And I believe it won't happen twice 
 Now since I felt the glory of love 
 I wish to spend forever and ever with you"
9,Britney Spears,pop,Thinkin' About You,"Ah, ah ah 
 Ah, ah ah 
 They say 
 I'm away 
 Because I'm down with you everyday 
 They say 
 Break away 
 I'm missing out on the fun and games 
 But you smile 
 And the words they tell me 
 Quickly disappear 
 You speak and there is no other 
 Voice that I can hear 
 I spend my days (oh, oh) (all day all night) 
 With you 
 I spend my nights (My nights) 
 Thinkin' about you (2x) 
 You stepped on 
 On my mind 
 And I think about you 
 All the time 
 Day and night 
 Feels so right 
 And for us there is no end in sight 
 Each day that I spend around you 
 Passes by too fast 
 Each night 
 That I spend without you 
 Is longer than the last 
 Oh, 
 You know I can't get enough of you 
 (Can't get enough yeah) (Uh, Uh) 
 You know that twenty-four hours won't ever ever do 
 (Chorus) (5x's)"
