,0,1,2,3
0,Carly Rae Jepsen,pop,Bucket,"(There's a hole in your bucket) 
 Suns out, we got a beach day, 
 Forget yourself, say why don't we people watch? 
 Kids are playin' 'round in the sand. 
 (Little boy crying) 
 Oh no, he's got some troubles, 
 Got us laughing as he throws his shovel, 
 Nothing's really going as planned. 
 I don't know how we're going to build a castle now, 
 Do you want to start again somehow? 
 I'll stay until the sun comes down, down, down. 
 (Are you smiling?) 
 Look over my shoulder, 
 See your laughter bubble over, 
 Lately you've been working too hard. 
 And I've been waiting to recognize, 
 That sparkle that's in your eye, 
 Those two dimples on your cheeks, 
 The joy that lights the fire. 
 I don't know how we're going to build a castle now, 
 Do you want to start again somehow? 
 I'll stay until the sun comes down, down, down. 
 There's a hole in my bucket, 
 Dear Liza, dear Liza, 
 There's a hole in my bucket, 
 Dear Liza, a hole. 
 And I don't know how we're supposed to build a castle now, 
 Do you want to start again somehow? 
 I'll stay until the sun comes down, down, down. 
 I'll stay until the sun comes 
 I don't know how we're gonna build a castle now, 
 Do you want to start again somehow? 
 I'll stay until the sun comes down, down, down, 
 Till the sun comes down. 
 (Sun's down, here come the waves, and there goes the carousel) 
 Sun's coming down, I'll stay 
 (Sun's down, here come the waves, and there goes the carousel) 
 Sun's coming down, I'll stay 
 (Sun's down, here come the waves, and there goes the carousel) 
 Sun's coming down, I'll stay 
 (Sun's down, here come the waves, and there goes the carousel)"
1,Carly Rae Jepsen,pop,Tug Of War,"You seem too good, too good to be true 
 You're holding me stronger, stronger than I'm used to 
 Don't go out with the boys tonight 
 I won't sleep a wink wondering what you're doing 
 Don't go out with the girls tonight 
 I will turn to drink wondering who you're screwing 
 You seem too good, too good to be true 
 I'm loving you longer, longer than I'm used to 
 Don't go out with the boys tonight 
 I won't sleep a wink wondering what you're doing 
 Don't go out with the girls tonight 
 I will turn to drink wondering who you're screwing 
 Tug of war, sweet as sin 
 I let go, I fell in 
 Feel the pull, call your name 
 I'm alone once again 
 Tug of war, sweet as sin 
 I let go, I fell in 
 Feel the pull, call your name 
 I'm alone once again 
 You seem too, you seem too good, too good to be true 
 You're holding me stronger, stronger than I'm used to 
 Don't go out with the boys tonight 
 I won't sleep a wink wondering what you're doing 
 Don't go out with the girls tonight 
 I will turn to drink wondering who you're screwing 
 Tug of war, sweet as sin 
 I let go, I fell in 
 Feel the pull, call your name 
 I'm alone once again 
 Tug of war, sweet as sin 
 I let go, I fell in 
 Feel the pull, call your name 
 I'm alone once again 
 Tug of war 
 Feel the pull 
 Tug of war 
 Feel the pull"
2,Carly Rae Jepsen,pop,Money And The Ego,"Make my house of bricks, 
 And I'll stick here when the world, 
 Comes crashing down around me. 
 Make your arms a willow tree, 
 And you can bend with me, 
 Anywhere that I am going. 
 Sometimes it's hard to see, 
 Anything lovely, 
 All the people around me going for, 
 Money and the money and the egos 
 How can you ask me why? 
 I need to know before I try, 
 I've got to be sure there's more than, 
 Money and the money and the ego. 
 Keep your eyes on me, 
 And I'll look to you so I can see, 
 What I am here for, 
 Pull the wool over my eyes, 
 Please kiss this day goodbye, 
 Only you can get me going. 
 Sometimes it's hard to see 
 Anything lovely 
 All the people around me going for 
 Money and the money and the egos 
 How can you ask me why? 
 I need to know before I try 
 I've got to be sure there's more than 
 Money and the money and the ego 
 Giving up is all you've got 
 And giving up all you want 
 You hear yourself say you've lost the will, the power. 
 Giving up is all you've got, 
 And giving up is all you want, 
 But don't be afraid to sit down in your shower, 
 Stay in there for hours. 
 Make my house of bricks, 
 And I'll stick here when the world, 
 Comes crashing down around me. 
 Sometimes it's hard to see, 
 Anything lovely, 
 All the people around me going for, 
 Money and the money and the egos 
 How can you ask me why? 
 I need to know before I try, 
 I've got to be sure there's more than, 
 Money and the money and the ego. 
 (Got to be sure there's more) 
 Money and the money and the ego, 
 (Got to be sure there's more) 
 Money and the money and the egos."
3,Carly Rae Jepsen,pop,Tell Me,"Tell me, baby is it yes or no? 
 You've got a face that just don't show what's going on inside 
 Tell me, I swear I'll take it on the chin 
 Don't sugarcoat where I fit in, what's going on? 
 Inside you there's a room, a room with a door 
 I finally come knocking and I've been here before 
 Oh, I've got this love for you but what is it for? 
 If you can hear me then tell me 
 Last chance, hold me in your arms and say 
 If you want this love to walk away 
 Tell me and I'll say goodbye 
 Inside you there's a room, a room with a door 
 I finally come knocking and I've been here before 
 Oh, I've got this love for you but what is it for? 
 If you can hear me 
 I'll make it easy, I'm counting to three 
 Am I something you want or someone you need, baby? 
 Tell me that you want me, tell me that you love me 
 Tell me, darling won't you tell me? 
 I'm begging you to tell me 
 Tell me and I'll say goodbye"
4,Carly Rae Jepsen,pop,Heavy Lifting,"You undo me, I'm a happy mess, my dress slips to the floor 
 And I pose, what an amateur to be like this exposed 
 You deny the other side of me that strips good love away 
 And you kissed my mirror reflection when I looked at me today 
 When you look at me the way you do my fingers tingle 
 I can't breathe until we're skin on skin 
 When you look at me the way you do my life moves in perfect motion 
 You're doing all the heavy lifting 
 Worlds collide, I see a side of you I never saw before 
 We can work it out, let's talk it out, I want to know you more 
 Just decided that I'd like to side with you oh every time 
 And if you ask me how I'm feeling now, you know I'm feeling fine 
 When you look at me the way you do my fingers tingle 
 I can't breathe until we're skin on skin 
 When you look at me the way you do my life moves in perfect motion 
 You're doing all the heavy lifting 
 Oh, look at me the way you do, look at me the way you do 
 Look at me the way you do 
 Oh, look at me the way you do, look at me the way you do 
 Look at me, look at me the way you do 
 When you look at me the way you do my fingers tingle 
 I can't breathe until we're skin on skin 
 When you look at me the way you do my life moves in perfect motion 
 You're doing all the heavy lifting 
 Oh, look at me the way you do, look at me the way you do 
 Look at me, look at me the way you do 
 Oh, look at me the way you do, look at me the way you do 
 Look at me the way you do 
 When you look at me the way you do my"
5,Carly Rae Jepsen,pop,Sunshine On My Shoulders,"Sunshine on my shoulders makes me happy 
 Sunshine in my eyes can make me cry 
 Sunshine on the water looks so lovely 
 Sunshine almost always makes me high 
 If I had a day that I could give you 
 I would give a day sure to make you smile 
 Sunshine on my shoulders makes me happy 
 Sunshine almost always makes me high 
 If I had a day that I could give you 
 I would give you a day just like today 
 And if I had a song that I could sing for you 
 I would sing a song to make you feel his way, ooh 
 Sunshine, ooh, sunshine 
 Sunshine on my shoulders makes me happy 
 Sunshine almost always makes me high 
 Sunshine on my shoulders makes me happy 
 Sunshine almost always makes me high"
6,Carly Rae Jepsen,pop,Worldly Matters,"Hot pink skies, twilight of the day 
 I think that I've been going about this the wrong way 
 Kids on my street got it right man, barefoot hide and seek 
 My best friend she lives up the road, haven't talked to her in weeks 
 Oh time don't blind me, I am so sorry 
 I've been swept up in my own concerns 
 And the worldly matters, they just don't matter at all 
 No, not at all 
 I keep on walking, I start ditching all my plans 
 I want to climb that cedar tree and leave me in good hands 
 What happened to me on the way to something higher? 
 What will be left when I have all that I desire? 
 Oh time don't blind me, I am so sorry 
 I've been swept up in my own concerns 
 And the worldly matters, they just don't matter at all 
 No, not at all 
 No, not at all"
7,Carly Rae Jepsen,pop,Sweet Talker,"(I can see) 
 Sweet talker 
 I'm not gonna stop you 
 You talk so sweet 
 And it's dribbling like honey 
 It's just one taste 
 I see just what you're tryin' to do 
 Oh oh, yeah yeah 
 It's hard 
 Stakes are getting higher 
 No love for free man 
 It costs if you're the buyer 
 My life's for me 
 I see what you're tryin' to do, oh oh 
 (Come on) 
 Lazy lover, oh you 
 Slide me through your 
 Slide me through your 
 Lazy lover, I will slide 
 Through your window 
 And I'll give you, oh 
 The sweetest dreams you ever had 
 Make your early morning not so bad 
 I can see just what you're tryin' to do 
 That's a nice house 
 I like what you've done with the place 
 Your gingerbread and that 
 Greedy smile upon your face 
 I can see what you're tryin' to do, oh oh 
 (Come on) 
 Lazy lover, oh you 
 Slide me through your 
 Slide me through your 
 Lazy lover, I will slide 
 Through your window 
 And I'll give you the sweetest dreams you ever had 
 Make your early morning not so bad 
 I can see just what you're tryin' to do 
 But don't worry 
 I say get it over with 
 'Cause what you want to know, you've got it 
 On your finger tips 
 Don't you ask for more 
 That wave just tumbles me round 
 Till I'm lost somewhere-where 
 Baby I just can't make a sound 
 It's so unfortunate 
 But I've already been through this 
 And I can see just what you're tryin' to do 
 I can see just what you need to do"
8,Carly Rae Jepsen,pop,Hotel Shampoos,"I survive on hotel shampoos 
 I'll be runnin' out soon 
 You've gone away again 
 Gone to collect some more 
 Your hands pressed hard into me 
 I thought this summer you'd be 
 Gone away again 
 Ooh he's gone away again 
 We were poor, yeah 
 We were dream chasers baby 
 Skyscrapers are not too tall 
 He's gonna prove me right till I'm wrong 
 Craving all the gold and the riches 
 I don't want to wash my own dishes 
 He's gone away again, hmm 
 He's gone away again 
 Driving in a sweet brand new car 
 Living the life of a superstar 
 I got my way again, hmm 
 I got my way again 
 We were poor, yeah 
 We were dream chasers baby 
 Skyscrapers are not too tall 
 He's gonna prove me right till I'm wrong 
 He says that 
 He don't recognize us 
 In all our pretty disguises 
 In all our pretty disguises 
 Work hard 
 Oh we work hard until we're sleeping 
 And we sleep but we're not dreaming 
 Oh we sleep but we're not dreaming 
 Where's his love? 
 Where's his kisses? 
 He says ""Sorry babe, this has 
 Got away from me."" 
 He's gone away from me 
 We were poor, yeah 
 We were dream chasers baby 
 Skyscrapers are not too tall 
 He's gonna prove me right till I'm wrong 
 I know he'll prove me right 
 He's gonna prove me right till I'm wrong"
9,Carly Rae Jepsen,pop,Sour Candy,"Sour candy, endings... 
 Coffee stained, but aware 
 Oh I'm so tangled up in my 
 Big sunglasses and, bed hungry 
 Second day fair 
 No we went under 
 The weight was too much to carry in 
 I felt the thunder 
 Mr. Don't Look So Scared 
 I never knew, I never knew 
 That I could be so sad 
 We went under 
 I've been very cautious 
 Trying numbness instead of pain 
 Your humor makes me, makes me nauseous 
 Oh you in a twisted, twisted, twisted game. 
 No we went under 
 The weight was too much to carry in 
 I felt the thunder 
 Mr. Don't Look So Scared 
 I never knew, I never knew 
 That I could be so sad we went under 
 Oh get yourself home 
 You leave him alone 
 On second thought 
 I regret the pink stilettos 
 Oh, oh 
 Sour candy... endings... 
 And I was barely even there. 
 No we went under, 
 The weight was too much to carry in 
 I felt the thunder, 
 Mr. Don't Look So Scared 
 I never knew, I never knew 
 That I could be so sad... so sad... so sad... so sad... 
 So sad... we went under."
