,0,1,2,3
0,Christina Aguilera,pop,Genie In A Bottle,"I feel like I've been locked up tight 
 For a century of lonely nights 
 Waiting for someone to release me 
 You're licking your lips and blowing kisses my way 
 But that don't mean I'm gonna give it away 
 Baby, baby, baby ( 
 Oh, oh, oh 
 My body's saying, ""Let's go"" 
 Oh, oh, oh 
 But my heart is saying, ""No"" 
 If you wanna be with me 
 Baby, there's a price to pay 
 I'm a genie in a bottle 
 You gotta rub me the right way 
 If you wanna be with me 
 I can make your wish come true 
 You gotta make a big impression (Oh, yeah) 
 I gotta like what you do 
 I'm a genie in a bottle, baby 
 Gotta rub me the right way, honey 
 I'm a genie in a bottle, baby 
 Come, come, come and let me out 
 The music's playing and the lights down low 
 Just one more dance and then we're good to go 
 Waiting for someone who needs me 
 Hormones racing at the speed of a light 
 But that don't mean it's gotta be tonight 
 Baby, baby, baby 
 Oh, oh, oh 
 My body's saying, ""Let's go"" 
 Oh, oh, oh 
 But my heart is saying, ""No"" 
 If you wanna be with me 
 Baby, there's a price to pay 
 I'm a genie in a bottle (I'm a genie in a bottle) 
 You gotta rub me the right way 
 If you wanna be with me (Ooh) 
 I can make your wish come true 
 Just come and set me free, baby 
 And I'll be with you 
 I'm a genie in a bottle, baby 
 Gotta rub me the right way, honey 
 I'm a genie in a bottle, baby 
 Come, come, come on and let me out 
 I'm a genie in a bottle, baby 
 Gotta rub me the right way, honey (If you wanna be with me) 
 I'm a genie in a bottle, baby 
 Come, come, come on and let me out 
 Oh, oh, oh 
 My body's saying, ""Let's go"" 
 Oh, oh, oh 
 But my heart is saying, ""No"" 
 If you wanna be with me 
 Baby, there's a price to pay 
 I'm a genie in a bottle 
 You gotta rub me the right way 
 If you wanna be with me 
 I can make your wish come true 
 You gotta make a big impression 
 Gotta like what you do 
 If you wanna be with me 
 Baby, there's a price to pay 
 I'm a genie in a bottle 
 You gotta rub me the right way 
 If you wanna be with me 
 I can make your wish come true 
 Just come and set me free, baby 
 And I'll be with you 
 I'm a genie in a bottle, baby 
 Come, come, come on and let me out"
1,Christina Aguilera,pop,What A Girl Wants,"What a girl wants, what a girl needs 
 What a girl wants, what a girl needs 
 Yeah, come on 
 Oh, yeah 
 I wanna thank you for giving me time to breathe 
 Like a rock you waited so patiently 
 While I got it together 
 Hmm, while I figured it out, yeah 
 I only looked but I never touched 
 'Cause in my heart was a picture of us 
 Holding hands, making plans 
 And it's lucky for me, you understand 
 What a girl wants, what a girl needs 
 Whatever makes me happy sets you free 
 And I'm thanking you for knowing exactly 
 What a girl wants, what a girl needs 
 Whatever keeps me in your arms 
 And I'm thanking you for givin' it to me 
 What I want is what you got 
 And what you got is what I want 
 There was a time I was blind I was so confused (Yeah, yeah) 
 Ran away just to hide it all from you 
 But, baby, you knew me better 
 Than I knew myself 
 They say if you love something let it go (Let it go) 
 If it comes back it's yours, that's how you know 
 It's for keeps, yeah, it's for sure 
 And you're ready and willing to give me more than 
 What a girl wants, what a girl needs 
 Whatever makes me happy sets you free 
 And I'm thanking you for knowing exactly 
 What a girl wants, what a girl needs 
 Whatever keeps me in your arms 
 And I'm thanking you for giving it to me, yeah 
 (What a girl wants, what a girl needs) 
 Somebody sensitive, crazy sexy cool like you, yeah 
 (What a girl wants, what a girl needs) 
 Yes, you got it, it's what I want (Oh yeah!) 
 (What a girl wants, what a girl needs) It's alright, it's alright 
 You let a girl know how much you care about her 
 I swear you're the one who always knew 
 Oh, you knew, you knew, you knew 
 Oooh, ohoho, I'm thanking you for being here for me 
 (What a girl wants, what a girl needs 
 Whatever keeps me in your arms) 
 Whatever keeps me in your arms is what I need, ohohoho 
 (What a girl wants, what a girl needs 
 Whatever makes me happy sets you free) Oh, it's what I need 
 (And I'm thanking you) Oh, it's what I want (For knowing exactly), it's what I need 
 What a girl wants, you got it 
 (Whatever keeps me) My baby, I need you (In your arms) 
 'Cause you know (And I'm thanking you for giving it) 
 (What a girl wants, what a girl needs) What I want is what you got 
 What you got (Whatever makes me happy sets you free) is what I need 
 (And I'm thanking you for giving it to me) (Ohoho) 
 Oh, baby (Girl wants), oh darling (Girl needs) 
 Thank you, thank you for giving me what I want 
 And what I need (Girl wants, girl needs), ohohoho, yeah, yeah! 
 I turn around, babe, whenever you're not there 
 Hahaha, oh yeaheah, yeah"
2,Christina Aguilera,pop,I Turn To You,"When I'm lost in the rain 
 In your eyes I know I'll find the light 
 To light my way 
 When I'm scared 
 Losing ground 
 When my world is going crazy 
 You can turn it all around 
 And when I'm down you're there 
 Pushing me to the top 
 You're always there 
 Giving me all you've got 
 For a shield from the storm 
 For a friend, for a love 
 To keep me safe and warm 
 I turn to you 
 For the strength to be strong 
 For the will to carry on 
 For everything you do 
 For everything that's true 
 I turn to you, yeah 
 Oh, when I lose the will to win 
 I just reach to you 
 And I can reach the sky again 
 I can do anything 
 'Cause your love is so amazing 
 'Cause your love inspires me 
 And when I need a friend 
 You're always on my side 
 Giving me faith 
 Taking me through the night 
 (For a shield) For a shield (From the storm) from the storm 
 (For a friend, for a love 
 To keep me safe and warm) For a love to keep me safe and warm 
 (I turn to you) I turn to you 
 (For the strength) For the strength (To be strong) 
 For the will to carry on 
 For everything you do 
 I turn to you, yeah, ohoho 
 For the arms to be my shelter 
 Through all the rain 
 For truth that will never change 
 For someone to lean on 
 For a heart I can rely on through anything 
 For the one who I can run to! 
 Ohoho, ah 
 (For a shield from the storm 
 For a friend, for a love 
 To keep me safe and warm) To keep me safe and warm, yeaheah 
 (I turn to you) I turn to you 
 (For the strength) For the strength (To be strong) 
 For the will to carry on, ohoho 
 (For everything you do) Everything you do 
 (For everything) That's true 
 For everything you do, ohoho 
 For everything that's true 
 I turn to you"
3,Christina Aguilera,pop,So Emotional,"You make me feel so emotional 
 So emotional, so emotional 
 It's either black or white that's right 
 We're makin' love or we're in a fights 
 Sometimes you make me so blue 
 Oh, but then it feels so good I knew it would 
 You do the things that make me crazy 
 I want to give it to you 
 You make me feel so emotional 
 I can't let go I'm so emotional 
 I'm sinking fast in-to an ocean full of you 
 I'm so emotional 
 You take me high and low you know 
 I'm never sure which way you're gonna go 
 You're such a mystery to me, oh 
 But baby hot or cold 
 You got a hold of my imagination 
 I think you know what I mean, oh 
 You make me feel so emotional 
 I can't let go I'm so emotional 
 I'm sinking fast in-to an ocean full of you 
 I'm so emotional 
 Rain is falling down on me 
 Suddenly the sun comes out, oh 
 Sometimes north or south of love 
 But I'm never out, never out I'm so emotional 
 You make me feel so emotional 
 I can't let go I'm so emotional 
 I'm sinking fast in-to an ocean full of you 
 I'm so emotional"
4,Christina Aguilera,pop,Come On Over Baby (All I Want Is You),"Come on over, come on over, baby 
 Come on over, come on over, baby 
 Come on over, come on over, baby 
 (yeah yeah yeah yeah) 
 Come on over, come on over, baby 
 Hey boy, don't you know 
 I've got something going on 
 (yeah) 
 I got an invitation 
 Don't you keep me waiting all night long 
 I know you know, so baby don't 
 Pretend you won't, give me action 
 You will, you won't 
 Don't wanna play that game with you baby 
 So listen to me, baby 
 (All I want is you) Come over here, baby 
 (All I want is you) You know you make me go crazy 
 (All I want is you) Now baby, don't be shy 
 You better cross the line 
 I'm wanna love you right, all I want is you 
 Come on over, come on over, baby 
 Come on over, come on over, baby 
 I'm not just talkin' 
 About your sexuality 
 (your sexuality) 
 Now I can't help myself 
 When you put your hands on me 
 It's paradise when you and I 
 Can go skin tight 
 I wanna play the game with you baby 
 Listen to me 
 (All I want is you) Come over here, baby 
 (All I want is you) You know you make me go crazy 
 (All I want is you) Now baby, don't be shy 
 You better cross the line 
 I'm wanna love you right, 'cause all I want is you 
 Come on over, come on over, baby 
 Come on over, come on over, baby 
 Don't you wanna be the one tonight 
 You can do exactly what you like 
 Do you wan't it be just you and me 
 And it comes so naturally 
 I got a thing for you 
 Got my mind made up and serious 
 Never been more baby I am that is real 
 And it's right here 
 Come on, come on, come on over 
 Come on, come on, come on over 
 Come on, come on, come on over 
 Come on, come on, come on over 
 Come on, come on, come on over 
 Come on, come on, come on over 
 You give me 
 What a girl feels, what a girl likes 
 What a girl needs, what a girl wants 
 All I 
 All I want is you 
 (All I want is you) Come over here, baby 
 (All I want is you) You make me go crazy 
 (All I want is you) Now baby, don't be shy 
 You better cross the line 
 I'm wanna love you right, 'cause all I want is you 
 (All I want is you) Come over here, baby 
 (All I want is you) You make me go crazy 
 (All I want is you) Now baby, don't be shy 
 You better cross the line 
 I'm wanna love you right, 'cause all I want is you"
5,Christina Aguilera,pop,Reflection,"Look at me 
 You may think you see 
 Who I really am 
 But you'll never know me 
 Every day 
 It's as if I play a part 
 Now I see 
 If I wear a mask 
 I can fool the world 
 But I cannot fool my heart 
 Who is that girl I see 
 Staring straight back at me? 
 When will my reflection show 
 Who I am inside? 
 I am now 
 In a world where I 
 Have to hide my heart 
 And what I believe in 
 But somehow 
 I will show the world 
 What's inside my heart 
 And be loved for who I am 
 Who is that girl I see 
 Staring straight back at me? 
 Why is my reflection 
 Someone I don't know? 
 Must I pretend that I'm 
 Someone else for all time? 
 When will my reflection show 
 Who I am inside? 
 There's a heart that must be 
 Free to fly 
 That burns with a need to know 
 The reason why 
 Why must we all conceal 
 What we think, how we feel? 
 Must there be a secret me 
 I'm forced to hide? 
 I won't pretend that I'm 
 Someone else for all time 
 When will my reflection show 
 Who I am inside? 
 When will my reflection show 
 Who I am inside?"
6,Christina Aguilera,pop,Love For All Seasons,"Oh yeah, yeah 
 Hey there boy did you happen to know 
 Wherever you go I'll follow? 
 Ooh babe you're like a cool breeze 
 On a summer day 
 When you're near me 
 I don't know what to do I feel like a fool 
 Like a schoolgirl, true blue girl 
 Who wants to know, can you come out and play? 
 You make me feel the way 
 A woman is suppose to feel, oh 
 So let me show you, show you 
 My love's for real 
 I'll be the rain in your summer the chill in your fall 
 I'll be what you want, anything at all 
 I got a love for all seasons 
 A love for all times 
 I'll be the fire in your winter the sun in your spring 
 I'll do what you want, give you everything 
 I got a love for all seasons 
 A love for all time 
 I'll be there for you 
 Keeping you warm, through the storm 
 I'll guide you, stand by you 
 Until the stars fall from the sky, oh yeah 
 When you call me 
 I never hesitate, making you wait 
 For my love, never lie love 
 It's something that I just can't deny 
 I'll read your each and every feeling 
 When you need me to 
 And so now I got to let you know 
 This love's for you 
 I'll be the rain in your summer the chill in your fall 
 I'll be what you want, anything at all 
 I got a love for all seasons 
 A love for all times 
 I'll be the fire in your winter the sun in your spring 
 I'll do what you want, give you everything 
 I got a love for all seasons 
 A love for all time 
 You don't have to search no more 
 Baby you don't have to dream 
 'Cause what I've got inside for you 
 Is all that you'll ever need 
 Oh yeah, yeah 
 Oh yeah, yeah, yeah, whoa 
 You don't have to search no more 
 My heart is yours, for real, for sure 
 You don't have to wonder why 
 I'll never leave, I'll never lie 
 You don't have to search no more 
 My heart is yours, for real, for sure 
 You don't have to wonder why 
 I'll never leave, I'll never lie 
 I'll be the rain in your summer the chill in your fall 
 I'll be what you want, anything at all 
 I got a love for all seasons 
 A love for all times 
 I'll be the fire in your winter the sun in your spring 
 I'll do what you want, give you everything 
 I got a love for all seasons 
 A love for all time"
7,Christina Aguilera,pop,Somebody's Somebody,"Wish I had somebody 
 Wish I was somebody's Baby 
 Somebody's Somebody' 
 Somebody's Somebody' 
 Watchin' lovers walkin' 
 Hand in hand they pass me by 
 Wish I was one of them 
 Wish I had somebody 
 Wakin' up beside me 
 Looking into my eyes at night 
 (I want a love to call my own) 
 I want a love to call my own 
 (I want someone that I can hold) 
 I want someone that I can hold 
 (I want someone wanting me) 
 I want someone wanting me 
 Wanna feel how it feels to be 
 Somebody's somebody 
 Someone's someone 
 Some sweet lover's lover 
 I wanna be the one 
 Someone faithful to someone faithful 
 Someone kind to someone kind to me 
 Somebody to somebody who loves me 
 Spending all of my time 
 Spending all my time on me 
 Where is that someone who 
 I can give my time to 
 Searching for that lover 
 With the love that will change my life 
 (I want two arms to hold me close) 
 I want two arms to hold me close 
 (I want the thing I need most) 
 I want the thing I need most 
 Somebody needing me 
 So I can feel how it feels to be, to be 
 Somebody's somebody 
 Someone's someone 
 Some sweet lover's lover 
 I wanna be the one 
 Someone faithful to someone faithful 
 Someone kind to someone kind to me 
 Somebody to somebody who loves me 
 What I'm looking for 
 Is someone to love me more 
 Than I've ever been loved before 
 With love so right 
 What I need to find 
 Is someone to hold me tight 
 What I mean is I want to be 
 Somebody's somebody 
 Someone's someone 
 Some sweet lover's lover 
 I wanna be the one 
 Someone faithful to someone faithful 
 Someone kind to someone kind to me 
 Somebody to somebody who loves me"
8,Christina Aguilera,pop,When You Put Your Hands On Me,"When you put your hands on me 
 When you put your hands on me 
 I don't know about the travel of time 
 And I've never seen most of the world 
 I don't know diving out of the sky 
 Or living like the diamonds of pearls 
 See I haven't danced to a musical tune 
 And I haven't noticed the flowers in bloom 
 I haven't smiled when alone in my room very much 
 Then we touched 
 I just know when you put your hands on me 
 I feel sexy and my body turns to gold 
 I just know when you put your hands on me 
 I feel ready and I lose my self-control 
 When you put your hands on me 
 I don't know if a doll can unwind 
 Or how to make a person go 
 I don't know how to be what you like 
 And simply open up the depths of my soul 
 So I keep my wings and my eyes on the down 
 Ready for nothing but holding my ground 
 I haven't used a particular noun very much 
 Then we touched 
 I just know when you put your hands on me 
 I feel sexy and my body turns to gold 
 I just know when you put your hands on me 
 I feel ready and I lose my self-control 
 When you put your hands on me 
 I won't notice or pay you no mind 
 Boy I couldn't care less what you do with your time 
 Your fingertips on my hips just move me like one of a kind 
 I just know when you put your hands on me 
 I feel sexy and my body turns to gold 
 I just know when you put your hands on me 
 I feel ready and I lose my self-control 
 I feel ready and I lose my self-control 
 I feel ready and I lose my self-control"
9,Christina Aguilera,pop,Blessed,"Ooh Ooh Hoo ooh 
 Ooh yeah 
 When I think how life used to be 
 Always walking in the shadows 
 Then I look at what you've given me 
 I feel like dancing on my tip toes 
 I must say everyday I wake 
 And realize you're by my side 
 I know I'm truly... 
 Blessed for everything you've given me 
 Blessed for all the tenderness you show 
 Do my best with every breath that's in me 
 Blessed to make sure you never go 
 There are times that test your faith 
 Till you think you might surrender 
 Baby I'm, I'm not ashamed to say 
 That my hopes were growing slender 
 You walked by in the knick of time 
 Looking like an answered prayer 
 You know I'm truly... 
 Blessed for everything you've given me 
 Blessed for all the tenderness you show 
 Do my best with every breath that's in me 
 Blessed to make sure you never go 
 Blessed with love and understanding 
 Blessed when I hear you call my name 
 (I hear you call my name) 
 I'll do my best with faith that's never ending 
 Blessed to make sure you feel the same 
 Deep inside of me you fill me with your gentle touch 
 I know I'm truly... 
 Blessed for everything you've given me 
 Blessed for all the tenderness you show (oh oh) 
 Do my best with every breath that's in me 
 Blessed to see you never go 
 (Never never never go)"
