,0,1,2,3
0,Five,pop,Slam Dunk (Da Funk),"Five bad boys with the power to rock you 
 Blowing your mind so you gotta get into 
 Five what you waiting four if you wanna 
 Three three 
 Two two 
 One let's do it 
 Do you wanna get freaky 
 When the five of us make one 
 You gotta push the good vibe on 
 If you really wanna feel it 
 Got da flavor in my song 
 But I really need to know 
 Do you wanna get down 
 Do you wanna get funky 
 Do you wanna get down 
 Get on down 
 Slam dunk da funk, put it up 
 (If you got that feeling) 
 Slam dunk da funk, put it up (put it up) 
 Slam dunk da funk, put it up 
 (If you got that feeling) 
 Slam dunk da funk (Put it up) 
 You gotta shoot, pass, slam baby time to set it off 
 I'll be up, up away above the rim and hook a shot 
 Ally oop baby, whoop, there it is and now I got ya 
 Three seconds left it's just enough for me to rock 
 Ya now check it, how I flip it rock a beat 'cause 
 I get with and everybdy wants to be the man 
 With a hey, yippee, yo yippee four quarter slam 
 Everybody grab a party and just get on down 
 Do you wanna get down 
 Do you wanna get funky 
 Do you wanna get down 
 Get on down 
 You wanna know what hits you like a fork lift truck 
 We got J, A.B, Rich, Sean and Scott rocking the extra 
 Curricular ladies love particular fella 
 Who knock da meter get the boom shake regular 
 Five bad boys, honey no we don't quit till we hit 
 The rebound sound with a kick 
 So come on everybody everybody in tune 
 As I boomshake 'n' rock a boody 
 Gimme room 
 Clap your hands 
 Move your feet 
 Push it in, pull it out to the beat 
 Clap your hands 
 Move your feet 
 Push it in, pull it out to the beat 
 (Repeat until end)"
1,Five,pop,When The Lights Go Out,"(Fade) What, what, what, 
 (Fade) Yeah, yeah, yeah, 
 Uh, (fade) Here we go, here we go, here we go, 
 (Fade) check check, check check, 
 Uh, what 
 Baby, when the lights go out 
 (Yeah, uh here we go) 
 () Check check) 
 I'll show you what it's all about 
 (Coming at you, girl) 
 (You're gonna like this, girl) 
 (Here we go) 
 I ain't sorry for the way I feel 
 I know you think I'm being insincere 
 From the way I'm treating you 
 I never wanted to be so unkind 
 The only one thing on my mind 
 Is just kickin' it wit you girl 
 Baby it's not the way I feel 
 You know you must believe me 
 (You Must believe) 
 Baby, it's not part of the deal 
 Oh no no 
 Baby, when the lights go out 
 Every single word could not express 
 The love and tenderness 
 I'll show you what it's all about 
 Babe I swear you will soon come to me 
 So, baby, come to me 
 When the lights go out 
 (Ah, yeah, check it) 
 (Check it out) 
 (Second verse, girl) 
 I know you think it may be just a lie 
 Ain't no good in putting up a fight 
 'Cause my heart is set on you 
 I see the trust is in your eyes 
 I ain't fooled by your thin disguise 
 I can see I'm getting through, babe 
 Girl, don't deny the way you feel 
 You know you gotta trust me 
 (You gotta trust) 
 Give me a chance to prove I'm real 
 Oh yeah, yeah 
 (Repeat chorus twice) 
 It's a blackout girl, the lights are off, 
 I can feel you getting close and I take your clothes off, 
 Your body looks so soft, 
 In between the sheets I lay you down, 
 Girl, I wanna knock your socks off, 
 Knock your block off, 
 I'm down for whateva, 
 There are few things that's foreva, 
 Like you in my life, girl, 
 That's all I need to get by, 
 Time to break down 'cause your making me high. 
 (Uh) 
 (Yeah, I like that) 
 (You know what I mean) 
 Baby, when the lights go out 
 (When the lights go out) 
 Every single word could not express 
 The love and tenderness 
 I'll show you what it's all about 
 (I'll show you what it's all about) 
 Babe I swear you will soon come to me 
 So, baby, come to me 
 When the lights go out 
 (Repeat chorus to fade)"
2,Five,pop,Everybody Get Up,"Everybody get up singing...one, two, three, four 
 Five will make you get down now 
 (Baby, bring it on, bring it on now!) 
 Everybody get up singing...one, two, three, four 
 Five will make you get down now 
 Get on up 
 You gots to keep it real, You gots to keep it raw 
 I'm lyrically blessed, So don't try to ignore 
 Time for some action, Creeping up your back end 
 Keep the beat nasty like Janet, my reaction 
 Hard I'm addicted, Better lock your kids in 
 Coming to you area, Ya don't know what you're missin' 
 Go tell your family, Here comes the enemy 
 Blowing up the spot, Tech remedy 
 Everybody get up singing...one, two, three, four 
 Five will make you get down now 
 Baby, bring it on, bring it on now! 
 Everybody get up singing...one, two, three, four 
 Five will make you get down now 
 Five will make you get on now 
 Keep on movin', Gotta Keep on movin on 
 I'll be the resident president, I'm the Fifth Element 
 Jimmy Fly Snooka, Stone Cold's how I'm hittin' 'em 
 Better get together, Put your hands in the sky 
 Stick em up punk, Hit 'em low, hit 'em high 
 Now I'm the bad boy that you invite for dinners 
 Ain't got no manners, Cos I eat with my fingers 
 Lost Boys terrorize the neighborhood 
 And Hounds of the Baskerville be up to no good 
 So come on come on, Everybody keep checking us 
 Comin' with the funk, Bring it on wickedness 
 Everybody get up singing...one, two, three, four 
 Five will make you get down now 
 (Baby, bring it on, bring it on now!) 
 Everybody get up singing...one, two, three, four 
 Five will make you get down now 
 Get on up 
 Everybody better recognize, We got the funky rhymes 
 Keep it together, Baby don't even try to organize 
 We be the roughnecks, No concept, No business 
 We here to get down 
 ...and make 'em grab you by your biscuits 
 So everybody...anybody...somebody 
 Put your hands together, Represent like John Gotti 
 Paragraph after grammar for gas 
 The party's Armageddon, Hit 'em with the heavy class 
 I'm bugging, hit me with the hooligan funk 
 I know you wanna stand up, So baby jump 
 Everybody get up singing 
 Five will make you get down now, (Get on down!) 
 Everybody get up singing...one, two, three, four 
 Five will make you get down now 
 Baby, bring it on, bring it on now! 
 Everybody get up singing...one, two, three, four 
 Five will make you get down now 
 Five will make you get on now 
 Everybody get up singing...one, two, three, four 
 Five will make you get down now 
 Baby, bring it on, bring it on now! 
 Everybody get up singing...one, two, three, four 
 Five will make you get down now 
 Five will make you get on now"
3,Five,pop,Got The Feelin',"Na na na na na nah 
 Na na na na na nah (x4) 
 Here we go again with the beats 
 We got you heads bumping, now you're jumping from your seats 
 If this is what you're wanting over there 
 Throw your hands up in the air 
 'Cause you know we bring the sounds so unique 
 Now everybody's moving, everybody's grooving 
 Getting down with Five when we come your way 
 Move it to the left now you shake it to the right 
 'Cause you know we gotta keep this party 
 Pumping through the night 
 Check me out now 
 Yo! 7,6,5,4,3,2,1 
 I'm on the microphone, got you hot like the sun 
 So A 1,2,3 now I'm waiting on the 4 
 Kick down the door and turn it up a little more 
 If you got the feelin', jump to the ceiling 
 Ah we're getting down tonight 
 1 if you gonna, 2 if you're wonna, 3 'cause everything's all right 
 If you got the feelin', less of the dreaming 
 Ah, we're getting down tonight 
 It's just round the corner, tell me if you wanna 
 5 will make you feel all right 
 Ah, move it at the back to the track 
 We got it going on we're the leaders of the pack 
 Now if you feel right, hold it tight 
 See, we wanna carry on 'cause we gonna take it through until the dawn 
 Now everybody's moving, everybody's grooving 
 Getting down with 5 when we come your way 
 So raise up your arms if we drop it on the 1 
 You see we're gonna carry on because the fun has just begun 
 Check us out now! 
 Oh oh oh oh oh oh oh 
 Na na na na na nah 
 Na na na na na na na nah 
 (x4)"
4,Five,pop,It's The Things You Do,"(It's the things you do) 
 You touched my love line 
 So deep inside I 
 Never thought I'd feel so good 
 Oh no 
 No need to hide now 
 Open up your mind now 
 Let me make it understood 
 Because 
 'Cause nobody ever said to me 
 All of the things we shared within 
 Now that I know that you can see 
 Let me feel you up 
 It's the things you do 
 That have made me fall 
 So in love with you 
 You can have it all 
 What else can I do 
 Nothin' left to prove 
 It's the things you do 
 (It's the things you do) 
 You make my neck twist like the cap for my coca cola bottle 
 With yo body lookin' slicker than the finest bottle 
 Tell me baby can you shimmey can you make me feel hot what you 
 Got gets me in da right spot 
 One of the finest 
 Things on my mind is 
 How you make me feel like gold you're queen Midas 
 Straight A plus the material I bust 
 But the things that you do 
 Keep me up and it's a must 
 It's the things you do 
 That have made me fall 
 So in love with you 
 You can have it all 
 What else can I do (what else can I do) 
 Nothin' left to prove (baby nothing left to prove) 
 It's the things you do 
 That have made me fall 
 So in love with you 
 You can have it all 
 What else can I do 
 Nothin' left to prove 
 (It's the things you do) 
 Give me a chance and let me in 
 There's no need to hide what's there within 
 Now that I know that you can see 
 Let me feel you up 
 You got that Midas touch 
 I love you more than enough 
 For all the things that you do 
 It's the things you do 
 So in love with you 
 You can have it all 
 What else can I do 
 Nothin' left to prove 
 It's the things you do"
5,Five,pop,Human (The Five Remix),"I'm only human 
 Of flesh and blood, I'm made 
 Human... born to make mistakes 
 If 5 boys in da house say it loud 
 If 5 boys in da house check it out (x2) 
 Come on baby dry your eyes, wipe all your tears 
 Never like to see you cry, please forgive me 
 I wouldn't ever try to hurt you 
 I just needed someone to hold me 
 To fill the void while you were gone 
 To fill this space of emptiness 
 If 5 boys in da house say it loud 
 If 5 boys in da house check it out (x2) 
 When I lay upon my bed reminisce then I wish 
 That I got you by my side with the cherry red kiss 
 Hit me off make it soft hold me tight through the night 
 You know I'm gonna fight 'cause the thing we had was right 
 But if you go all I know I can't go a day without you 
 Here in my arms hypnotized with your charms now 
 I'm feeling for you baby ain't you hearing the alarms 
 You can't stop all the love that I got 
 Wanna rewind time to better days that were hot check it 
 Bring back the better days for me baby 
 You gotta bring 'em back 'cause I'm going crazy 
 I go insane with your name up in my brain 
 Things will never be the same you ain't up in my frame 
 So what you gonna do what you gonna say 
 Tell me that you're gonna push your loving back my way 
 If 5 boys in da house say it loud 
 If 5 boys in da house check it out..."
6,Five,pop,Until The Time Is Through,"Now and forever 
 Until the time is through 
 I can't believe it 
 I don't know where to start 
 No baby 
 So many questions 
 Deep inside my heart 
 Give me a moment before you go 
 There's something you ought to know 
 Baby now and forever 
 Until the time is through 
 I'll be standing here 
 Waiting will never 
 Give up my faith in you 
 Trying to make it clear 
 Without your love I'd be half a man 
 Maybe one day you'll understand 
 Now and forever 
 Until the time is through 
 I'll be waiting 
 How can I tell you 
 So that you can see 
 You know that 
 Love has a meaning 
 When you are here with me 
 Give me a moment before you go 
 There's something you ought to know 
 Baby now and forever 
 Until the time is through 
 I'll be standing here 
 Waiting will never 
 Give up my faith in you 
 Trying to make it clear 
 Without your love I'd be half a man 
 Maybe one day you'll understand 
 Now and forever 
 Until the time is through 
 There is no one to comfort me 
 Here in my cold reality 
 I'm searching for words 
 What can I say 
 To make you see 
 Baby now 
 Until time 
 Is through 
 I'll be here 
 Baby now 
 Until time 
 Is through 
 I'll be here 
 Baby now and forever 
 Until the time is through 
 I'll be standing here 
 Waiting will never 
 Give up my faith in you 
 Trying to make it clear 
 Without your love I'd be half a man 
 Maybe one day you'll understand 
 Now and forever 
 I'll be there for you 
 Until the time is through"
7,Five,pop,Satisfied,"I won't be satisfied (x2) 
 Going round in circles baby 
 Trying to think how I'm gonna get with you 
 I think about you all of the time 
 And you know that you're blowing my mind 
 I'm going crazy baby 
 Tell me just what I'm supposed to do 
 You got me going crazy 
 I don't know what to do girl 
 You're rocking my world 
 If you held me tonight 
 It would make things all right 
 Could you love me 
 If I held you tonight 
 I would make things all right 
 Could you trust me 
 'Cause I'm telling you baby 
 I won't be satisfied till you're here with me tonight 
 I won't be satisfied till I hold you in my arms 
 You know you mesmerise when I look into your eyes 
 I won't be satisfied till you're here with me tonight 
 I'm not the kind of guy to fall in love 
 But baby I've fallen for you 
 I've fallen like an angel for real 
 It's the way that you're making me feel 
 Walking the streets all along 
 Thinking how much I'm gonna get through 
 To you 
 If you held me tonight 
 It would make things all right 
 Could you love me 
 Could you love me 
 If I held you tonight 
 I would make things all right 
 Could you trust me 
 'Cause I'm telling you baby 
 I can't wait 
 Till I hold you in my arms 
 Baby tonight 
 I can't wait 
 Until I look into you're eyes 
 I know that your lovings the best 
 Tell me baby that it's for real 
 I want to hold you close in my arms 
 You know you're everything that I need 
 I won't be satisfied (I won't be satisfied) 
 I won't be satisfied (I won't be satisfied) 
 You know you mesmerise (I won't be satisfied) 
 I won't be satisfied till you're here with me tonight 
 I won't be satisfied (I won't be satisfied) till you're here with me tonight 
 I won't be satisfied (I won't be satisfied) till I hold you in my arms 
 You know you mesmerise (I won't be satisfied) when I look into your eyes 
 I won't be satisfied till you're here with me tonight 
 I won't be satisfied (I won't be satisfied) 
 I won't be satisfied (I won't be satisfied) 
 You know you mesmerise (I won't be satisfied) 
 I won't be satisfied till you're here with me tonight 
 (Repeat until fade)"
8,Five,pop,Partyline 555-On-Line,"Let's have a party, connect me to somebody 
 Let's have a party, connect me to somebody 
 555 on line 
 Being the man that I am 
 And the click that I got 
 I wish I was a little bit more like super cop 
 It's a frenzy my friends be 
 Like Benz's to Bentley 
 This bad boy not bad 
 So why don't you comprend' 
 I got your number 
 Don't you think it's time we hook it up (yeah) 
 I'm all alone 
 Ain't no mums in my area 
 Can't go to your place 
 'Cause your mum's hysteria 
 You want to bring some of your friends 
 The more the merrier 
 You got my number on your dial 
 I'm waiting just to come around 
 Anytime, anywhere 
 Whatever's clever, mini skirts, high shoes and leather 
 Tonight's the night 
 Do me right, turn me on 
 Now michelle got the body 
 Julie got the back 
 Lisa got the energy 
 To help me stay on track 
 I'm not talking about the ladies 
 That loves to lead you on 
 Say they got your number 
 But they never ever call 
 Like Eva the honey dip 
 Now I don't even wanna trip 
 Gave her my number 
 Her man gave me the fat lip 
 Now I don't bother calling anybody anymore 
 Sipping the finest 
 Chauffeur driven and I'm getting calls 
 555 ladies loves the cool Jay 
 No Mr Smith in this baby 
 Come and get the real thing 
 Now michelle got the body 
 Julie got the back 
 Lisa got the energy 
 To help me stay on track 
 Now I got digital and optical 
 I'm even on the net 
 I got mmm, ah, oh, I forget 
 'Cause nothing in this world 
 Like some sexual feeling 
 Toss it up baby 
 I'm ready willing receiving 
 Message understood 
 Loud and clear I'll be there 
 You got my number on your dial 
 Anytime anywhere 
 Whatever's clever mini skirts 
 High shoes or leather 
 Tonight's the night baby 
 Got to get some mo wetter 
 Girl you look so fine 
 Just call me anytime 
 You're tryin' to make me crazy 
 Can't get you out of my mind 
 (x3)"
9,Five,pop,That's What You Told Me,"That's what you told me baby (x3) 
 You drive me crazy 
 (x2) 
 I thought I was the one 
 When we were together 
 You would take me to 
 Another place and time 
 That I could feel free 
 You were all that I was searching for 
 That's just when I 
 I thought I could lean on your for life 
 I thought that the sun would always shine 
 But you took my dreams away 
 I remember the lies that you told me baby 
 1 - you told me you love me, you need me 
 2 - you told me you never deceive me 
 3 - you told me you'd always be true 
 4 - you told me we're through 
 That's what you told me 
 That's what you told me baby 
 That's what you told me 
 Tell me was it fun 
 Taking my love for granted 
 Now I'm not the one 
 Everything we used to share 
 Has up and gone 
 I don't need to tell you, you were wrong 
 That's what you told me girl 
 Tell me no lie 
 Do you wanna fly super high 
 Super dooper high 
 No mistakes when I with you 
 Know exactly what I wanna do 
 Lay you down and pursue me 
 I'm super fly 
 'Cause I'm super high 
 When I'm by your side 
 If you like girl 
 Tell me if you like 
 1 if you wanna 
 2 if you gonna 
 3 time to jive 
 4, 5 bring it live 
 1 - you told me you love me, you need me (you told me you love me) 
 2 - you told me you never deceive me (never deceive me) 
 3 - you told me you'd always be true (so true, so true, so true baby, baby) 
 4 - you told me we're through 
 That's what you told me (you told me) 
 You told me you love me, you need me (you love me, you driving me crazy) 
 You told me you never deceive me (you told me you love me, you driving me 
 Crazy) 
 You told me you'd always be true (you told me you need me, you told me you 
 Want me) 
 You told me we're through (you told me you needed me you driving me crazy) 
 That's what you told me 
 ONE 
 That's what you told me baby 
 That's what you told me baby 
 (Told me lies) 
 That's what you told me baby 
 You drive me crazy 
 Three 
 Hook until fade"
