,0,1,2,3
0,Frank Ocean,pop,Strawberry Swing,"When we were kids, we handpainted strawberries on a swing 
 Every moment was so precious, then 
 I'm still kicking it, I'm daydreaming on a strawberry swing 
 The entire Earth is fighting, all the world is at its end 
 Just in case, an atom bomb, comes falling on my lawn 
 I should say and you should hear I've loved 
 I've loved the good times here, I've loved our good times here 
 Say hello, then say farewell to the places you know 
 We are all mortals, aren't we? Any moment this could go 
 Cry, cry, cry, even though that won't change a thing 
 But you should know, you should hear, that I have loved 
 I have loved the good times here, and I will miss our good times here 
 Spaceships are lifting off of a dying world 
 And millions are left behind while the sky burns 
 There wasn't room for you and I, only you, goodbye, goodbye 
 Now the sky, could be blue, I don't mind 
 Without you it's a waste of time 
 Could be blue, I don't mind 
 Without you it's a waste of time 
 The sky could be blue, could be grey 
 Without you I'm just miles away 
 The sky could be blue, I don't mind 
 Without you it's a waste of time"
1,Frank Ocean,pop,Novacane,"I think I started somethin', I got what I wanted 
 Did didn't I can't feel nothin', superhuman 
 Even when I'm fuckin' Viagra poppin', every single record autotunin' 
 Zero emotion, muted emotion, pitch corrected, computed emotion 
 I blame it on the model broad with the Hollywood smile 
 Stripper booty and a rack like wow, Brain like Berkeley 
 Met her at Coachella, I went to see Jigga, she went to see Z Trip, perfect 
 I took a seat on the ice cold lawn, she handed me a ice blue bong, whatever 
 She said she wanna be a dentist really badly, she's in school payin' 
 For tuition doin' porn in the Valley, at least you workin' 
 But girl I can't feel my face, what are we smokin' anyway 
 She said don't let the high go to waste, but can you taste a little taste of 
 Novocaine, baby, baby, Novocaine, baby, I want you 
 Fuck me good, fuck me long, fuck me numb 
 Love me now, when I'm gone, love me none 
 Love me none, love me none, numb, numb, numb, numb 
 Sink full of dishes pacin' in the kitchen, cocaine for breakfast, yikes 
 Bed full of women, flip on a tripod, little red light on shootin', I'm feelin' like 
 Stanley Kubrick, this is some visionary shit 
 Been tryna film pleasure with my eyes wide shut but it keeps on movin' 
 I blame it on the model broad with the Hollywood smile 
 Stripper booty with the rack like wow, I'll never forget ya 
 You put me on a feelin' I never had, never had, never had 
 And ever since I've been tryna get it back, pick it up and put it back 
 Now I'm somethin' like the chemist on campus 
 But there's no drug around, quite like what I found in you 
 I still can't feel my face, what am I smokin' anyway 
 She said don't let the high go to waste but can you taste a little taste of 
 Novocaine, baby, baby, Novocaine, baby, I want you 
 Fuck me good, fuck me long, fuck me numb 
 Love me now, when I'm gone, love me none 
 Love me none, love me none, numb, numb, numb, numb 
 Novocaine for the pain 
 Pretty girls involved with me 
 Makin' pretty love to me pretty, pity pity 
 All the pretty girls involved with me 
 Makin' pretty love to me pretty, pity pity 
 I can't feel a thing 
 I can't feel her 
 Novocaine for the pain"
2,Frank Ocean,pop,We All Try,"I believe Jehovah Jireh 
 I believe there's heaven, I believe in war 
 I believe a woman's temple 
 Gives her the right to choose but baby don't abort 
 I believe that marriage isn't 
 Between a man and woman but between love and love 
 And I believe you when you say that you've lost all faith 
 But you must believe in something, something, something 
 You gotta believe in something, something, something 
 I still believe in man 
 A wise one asked me why 
 'Cause I just don't believe we're wicked 
 I know that we sin but I do believe we try 
 We all try, the girls try, the boys try 
 Women try, men try, you and I try, try, we all try 
 I don't believe in time travel 
 I don't believe our nation's flag is on the moon 
 I don't believe our lives are simple 
 And I don't believe they're short, this is interlude 
 I don't believe my hands are cleanly 
 Can't believe that you would let me touch your heart 
 She didn't believe me when I said that I lost my faith 
 You must believe in something, something, something 
 You gotta believe in something, something, something 
 I still believe in man 
 A wise one asked me why 
 'Cause I just don't believe we're wicked 
 I know that we sin but I do believe we try 
 We all try, the girls try, the boys try 
 Women try, men try, you and I try, try, we all try"
3,Frank Ocean,pop,Bitches Talkin' (Metal Gear Solid),"- Stop! Let me go! You don't got no Jodeci? 
 - All you bitches want is Jodeci, what the fuck? 
 - What's a Radiohead... anyway 
 - Whatever..."
4,Frank Ocean,pop,Songs 4 Women,"When I was younger I used to wonder like 
 If I was singing songs, just to sing the songs 
 Or if was singing cause that's what the bitches wanted 
 I couldn't play guitar like Van Halen 
 Had no secret chords like Saint David 
 But you still came around, ate your lunch with me 
 Used to park your car to try to bus with me 
 But I would say girl don't be dumb, I'm riding shotgun 
 We could go to my house after school after school (after school) 
 Cause my dad don't clock off till late (off till late, off till late) 
 We could kick it in the living room looking through my whole vinyl collection 
 And you could teach me how to slow dance or something 
 And I'mma give you chills harmonizing to Otis, Isley, Marvin 
 And every time somebody asked me 
 If I sing songs to get at women, I say yeah 
 They say no fair no fair that's cheating 
 I say shit, oh well, oh well 
 And every time a nigga asks me 
 If I sing songs to get at women, I say yeah 
 They say no fair, no fair that's cheating 
 I say boy don't judge cause hell if you were me 
 You'd be singin' to her, like lah dah dah dah 
 Now I'm in the lab, always working late 
 Always sleeping past, the breakfast she makes 
 She used to stop by, come and holla at me 
 Put her purse down and try to battle rap me 
 She don't do that no more (no more, no more) 
 Don't even listen to the songs I record 
 But she be banging that Drake in my car 
 I'm so far gone, she stay blasting Trey and his songs 
 All damn day long, it's like she never heard of me (heard of me) 
 Now every time somebody asks me 
 If I sing songs to get at women 
 I say naw they say okay I don't believe it 
 I say nope I swear I never do it 
 And every time a nigga asks me 
 If I sing songs to get at women, I say naw 
 They say who do you think you're kidding 
 I know you, you stole my girlfriend 
 Now see I just don't play fair, but it's fair enough 
 Cause yo girl broke my heart in half 
 Now I'm singing 'bout heartbreak 
 And now I'm singing 'bout love lost"
5,Frank Ocean,pop,LoveCrimes,"Talk to me and I better not hear a word 
 Do me baby, I better not feel it girl 
 Baby, I still got one bullet left in my nine 
 Finna do a lovecrime, lovecrime, finna do a lovecrime 
 Murder, murder, murder she wrote 
 Lovecrimes, lovecrimes 
 You write me love letters with your father's pen 
 If he knew the freaky, freaky things that you write with it 
 Is it really wrong that I want to be the baby daddy? 
 Is that a lovecrime, lovecrime? Tell me it's a lovecrime 
 Murder, murder, murder she wrote 
 Lovecrimes, lovecrimes 
 In the getaway car 
 You know I love it when the ride is smooth 
 If we ever get caught 
 It'd be a long vacation for two 
 Murder, murder, murder she wrote 
 Lovecrimes, lovecrimes"
6,Frank Ocean,pop,Goldeneye,"Mr. Hudson: 
 And the city wakes"
7,Frank Ocean,pop,There Will Be Tears,"Mr. Hudson: 
 There will be tears, I've no doubt 
 There may be smiles but a few 
 And when those tears have run out 
 You will be numb and blue 
 Frank Ocean and Mr. Hudson: 
 (I can't be there with you) But I can dream 
 (I can't be there with you) But I can dream 
 (I can't be there with you) But I can dream 
 (I can't be there with you) But I can dream 
 (I can't be there with you) But, but, but, but I can dream 
 (I can't be there with you) But, but, but, but I can dream 
 (I still dream dream dream 
 I still dream, dream 
 There will be tears) 
 Frank Ocean: 
 My grandaddy was a player, pretty boy in a pair of gators 
 See I met him later on, think it was 1991 
 The only dad I'd ever know, but pretty soon he'd be gone too 
 Hide my face, hide my face, can't let 'em see me crying 
 'Cause these boys didn't have no fathers neither 
 And they weren't crying, my friend said it wasn't so bad 
 You can't miss what you ain't had, well I can, I'm sad and 
 There will be tears, I've no doubt 
 There may be smiles but a few 
 And when those tears have run out 
 You will be numb and blue 
 I can't be there, that's all you had to say to me was 
 You couldn't be there, why couldn't you say to me 
 You won't be there, you coulda warned me 
 You wouldn't be here right here, you wouldn't be here for me, no, no, no, no 
 No, no, no, no 
 No, no, no 
 No, no, no, no 
 No, no, no, no"
8,Frank Ocean,pop,Swim Good,"That's a pretty big trunk on my Lincoln town car, ain't it? 
 Big enough to take these broken hearts and put 'em in it 
 Now I'm driving 'round on the boulevard, trunk bleeding 
 And every time the cops pull me over, they don't ever see them 
 They never see them 
 And I've got this black suit on 
 Roaming around like I'm ready for a funeral 
 Five more miles till the road runs out 
 I'm about to drive to the ocean 
 I'mma try to swim from something bigger than me 
 Kick off my shoes and swim good and swim good 
 Take off this suit and swim good and swim good, good 
 Got some pretty good beats on this 808 CD, yeah 
 Memory seats I'm sitting on stay heated 
 I woulda put tints on my windows but what's the difference? 
 If I feel like a ghost (no Swayze) ever since I lost my baby 
 I have this black suit on 
 Roaming around like I'm ready for a funeral 
 One more mile till the road runs out 
 I'm about to drive in the ocean 
 I'mma try to swim from something bigger than me 
 Kick off my shoes and swim good, and swim good 
 Take off this suit and swim good, and swim good, good 
 I'm going off 
 Don't try stopping me 
 I'm going off 
 Don't try saving 
 No flares 
 No vest 
 And no fear 
 Waves are washing me 
 I'm about to drive to the ocean 
 I'mma try to swim from something bigger than me 
 Kick off my shoes and swim good and swim good 
 Take off this suit and swim good and swim good, good"
9,Frank Ocean,pop,Dust,"Who's that talking in the library? 
 Who's that talking in my library? 
 Is that you? No, I won't put you out 
 'Cause what would this place be without my muse? 
 Nothing special 
 Every book in here I wrote 
 Some I'm not too proud of, some I wish I could burn 
 So many pages I wrote, wish I could revise them 
 But there's no erasing and the best advice I got 
 Was keep writing, yeah, and keep living, yeah 
 And keep loving, oh, loving, loving, loving 
 And when the ink dries and the pages turn to dust 
 So will we turn to dust, so will we, dust, dust 
 Who's that laughing in my library? 
 Who's that laughing in my library? 
 Is that you? No, I won't put you out 
 'Cause what would this place be without your smile? 
 Nothing special 
 I fell in love with you, girl, oh 
 You let yourself inside with no respect for privacy 
 You said there's too much on my mind 
 Then you ripped out a page and set that shit on flame 
 I quit writing and oh, I kept living 
 Whoa, whoa, whoa, whoa, I kept loving 
 And when the ink dries and them pages turn to dust 
 So will we turn to dust, so will we, dust, dust"
10,Frank Ocean,pop,American Wedding,"Ah 
 American love, American me 
 American you, American tear 
 American heartbreak 
 Oh oh oh 
 I took a walk with the palm trees, as the daylight fell 
 Sangria in the canteen, talkin' to myself 
 This tattoo on my left hand is turning purple-ish blue 
 Daydreams of the romance, daydreams of you 
 My pretty woman in a ball gown, I'm Richard Gere in a tux 
 Gettin' married in the courthouse, writing vows in a rush 
 Makin' out before the judge, with my teenage wife 
 Got a wedding band done, that I just might die with 
 It's an American wedding 
 They don't mean too much but we were so in love 
 We had an American wedding 
 Now what's mine is yours, that's American law 
 M-R-S dot Kennedy, she signed her name in pen 
 In a fancy fancy cursive, then turned her term papers in 
 A thesis on Islamic virgin brides and arranged marriage 
 Hijabs and polygamist husbands, those poor un-American girls 
 After school she ran to me, jumped in my 5.0 
 This is the home of the brave, land of the free 
 But your, parents still didn't know 
 She said, ""I've had a hell of a summer, so baby, don't take this hard 
 But maybe we should get an annulment before this goes way too far"" 
 It's just an American wedding 
 They don't mean too much, they don't last enough 
 We had an American wedding 
 Now what's mine is yours, American divorce 
 Well you can have my Mustang, that's all I've got in my name 
 But Jesus Christ don't break my heart, this wedding ring won't ever wipe off 
 But if you stay, oh if you stay (Stay) 
 You'll probably leave later anyway, it's love made in the USA 
 James Fauntleroy: 
 Don't let 'em front you to saying you can't move 
 Without 'em, fuck 'em I tell 'em this ain't new 
 We been some hustlers since it began dude 
 Ain't gon' be trippin' over some bitch ass dude 
 They so vain I tell 'em this ain't you 
 You can get sensitive but the shit ain't true 
 These niggas can't do nothin' that I can't do 
 That she can't do, that he can't do 
 That you can't do, that we can't do 
 Man, I had a dream and then the shit came true 
 And nigga if I did it I think you can too 
 These niggas can't do nothin' that I can't do 
 That she can't do, that he can't do 
 That you can't do, that we can't do 
 Man, I had a dream and then the shit came true 
 These niggas can't do nothin' that I can't do 
 That she can't do, that he can't do 
 That you can't do"
11,Frank Ocean,pop,Nature Feels,"I've been meaning to fuck you in the garden 
 Breathing so hard, we both could use the oxygen 
 Just hop on my back, I'll take you down the stairs 
 Into my backyard and lay you on the grass 
 Give it you over again, over again over again 
 Over again over again, over again over again 
 Making love, underneath the cherry leaves 
 Baby girl, tell me how my nature feels 
 Said oh baby, up against the cherry tree 
 Baby girl, I'll give it to you naturally, naturally 
 Feeling like Adam when he first found out this existed 
 Me and my Eve trying out our first positions 
 And it's all good, and it's all free, and it's all you, and it's only me 
 Playing in the dirt wrestling myself inside you 
 Give it you over again, over again over again 
 Over again over again, over again over again 
 Making love, underneath the cherry leaves 
 Baby girl, tell me how my nature feels 
 Said oh baby, up against the cherry tree 
 Baby girl, I'll give it to you naturally, naturally 
 My cavewoman, I'mma caveman 
 Doing wild things in a wild land 
 We keep going baby, we keep getting it baby 
 We'll get pebbles maybe a couple bam bams 
 Bam bam, bang bang, girl my heart 
 Goes bam and bang, feel my heart go, go, go"
12,Frank Ocean,pop,Start,"They look like twins 
 That was embarrassing"
13,Frank Ocean,pop,Thinkin Bout You,"A tornado flew around my room before you came 
 Excuse the mess it made, it usually doesn't rain 
 In Southern California, much like Arizona 
 My eyes don't shed tears, but, boy, they bawl 
 When I'm thinkin' 'bout you, hoo, no, no, no 
 I've been thinkin' 'bout you, you know, know, know 
 I've been thinkin' 'bout you 
 Do you think about me still 
 Do ya, do ya 
 Or do you not think so far ahead (ahead) 
 Cause I been thinkin' 'bout forever, hoo (ooh) 
 Or do you not think so far ahead (ahead) 
 Cause I been thinkin' 'bout forever, hoo 
 No, I don't like you, I just thought you were cool enough to kick it 
 Got a beach house I could sell you in Idaho 
 Since you think I don't love you, I just thought you were cute 
 That's why I kiss you 
 Got a fighter jet, I don't get fly it, though 
 I'm lyin' down thinkin' 'bout you, hoo, no, no, no 
 I've been thinkin' 'bout you, you know, know, know 
 I've been thinkin' 'bout you 
 Do you think about me still 
 Do ya, do ya 
 Or do you not think so far ahead (ahead) 
 Cause I been thinkin' 'bout forever, hoo (ooh) 
 Or do you not think so far ahead (ahead) 
 Cause I been thinkin' 'bout forever, hoo 
 Yes, of course 
 I remember, how could I forget (how could I forget) 
 How you feel (how you feel) 
 And though you were my first time 
 A new feel 
 It won't ever get old, not in my soul 
 Not if my spirit keep it alive 
 We'll go down this road 
 Till it turns from color to black and white 
 Or do you not think so far ahead (ahead) 
 Cause I been thinkin' 'bout forever, hoo (ooh) 
 Or do you not think so far ahead (ahead) 
 Cause I been thinkin' 'bout forever, hoo"
14,Frank Ocean,pop,Fertilizer,"Fertilizer, I'll take bullshit if that's all you got 
 Some fertilizer 
 Fertilizer"
15,Frank Ocean,pop,Sierra Leone,"We're spending too much time alone 
 We're spending too much time alone 
 And I just ran out of Trojans 
 Horses gallop to her throne 
 We're behaving like teenagers 
 Yes, wWe're behaving like teenagers 
 Making less than minimum wage 
 Still inside our parents' homes 
 No, I don't live in Denver 
 I don't live in Denver 
 I grew up in Sierra Leone 
 And her pink skies will keep me warm 
 Sierra Leone 
 Sierra Leone 
 Tid bits of intuition that I been gettin 
 Abandon mission abandon mission 
 You must be kidding 
 This shit feelin different 
 Shit feelin too good 
 To me glistenin 
 Shimmerin underneath the sunlight 
 The sunlight 
 And a new day 
 Will bring about the dawn 
 And a new day 
 Will bring another crying babe into the world 
 (Girl now) 
 Our daughters reaching for your nipple 
 'Cause it's time for her to eat 
 Tonight I'll lay her in the cradle 
 If it's time for go to sleep 
 I'll sing a Lennon lullaby 
 She can have a pretty dream 
 Baby girl if you knew what I know 
 Knew what I know"
16,Frank Ocean,pop,Sweet Life,"The best song wasn’t the single 
 But you weren’t either 
 Living in Ladera Heights 
 The black Beverly Hills 
 Domesticated paradise 
 Palm trees and pools 
 The water’s blue swallow the pill 
 Keeping it surreal 
 Whatever you like 
 Whatever feels good 
 Whatever takes you mountain high 
 Keeping it surreal 
 Not sugar free my TV ain’t HD that’s too real 
 Grape vine mango peaches and lime 
 A sweet life, a sweet life, sweet life 
 Sweet life, sweet life 
 A sweet, sweet, sweet, sweet life 
 A sweet life, a sweet life, sweety pie 
 You’ve had a landscaper and a housekeeper 
 Since you were born 
 The starshine always kept you warm 
 So why see the world when you got the beach 
 Don’t know why see the world when you got the beach 
 The sweet life 
 The best song wasn’t the single 
 But you couldn’t turn your radio down 
 Satellite need a receiver 
 Can’t seem to turn the signal fully off 
 Transmitting a wave 
 You’re catching that breeze 
 Till you’re dead in the grave 
 But you’re keeping it surreal 
 Whatever you like 
 Whatever feels good 
 Whatever takes your mountain high 
 Keeping it surreal 
 Not sugar free my TV ain’t HD that’s too real 
 Grape vines mango peaches and lime 
 A sweet life, a sweet life, a sweet life, yeah 
 A sweet life, a sweet life, a sweet life 
 Live and die in the life 
 You’ve had a landscaper and a housekeeper 
 Since you were born, yeah 
 The starshine always kept you warm 
 So why see the world when you got the beach 
 Don’t know why see the world when you got the beach 
 And the water is exactly what I wanted 
 It’s everything I thought it'd be 
 But this neighborhood is getting trippier everyday 
 Neighborhood is going ape shit crazy 
 You’ve had a landscaper and a housekeeper 
 Since you were born 
 The starshine always kept you warm 
 So why see the world when you got the beach 
 Don’t know why see the world when you got the beach 
 Sweet life 
 You’ve had a landscaper and a housekeeper 
 Since you were born 
 The starshine always kept you warm 
 So why see the world 
 When you got the beach 
 Don’t know why see the world 
 When you got the beach 
 The sweet life"
17,Frank Ocean,pop,Not Just Money,"Rosie Watson: 
 Stop thinking of this as being money 
 It's just money, I'mma make more 
 No 
 No, no, no, no, no, no, no 
 Please decondition yourself 
 It's not just money 
 It's happiness 
 It's the difference between happy, being happy and sad 
 It's the difference between having a home and living on the streets 
 That's what it is, it's not just money, it's so much more than that 
 Right now it's the difference between you being able to go to a prom and disappointing a girl 
 As I told you from the beginning, I don't have money 
 I have bills to pay, but that meant nothing to you, absolutely nothing 
 Let's see, I have, ooh yeah, I'mma make myself a hot link when I get home 
 It meant nothing to you, saving my seven dollars"
18,Frank Ocean,pop,Super Rich Kids,"Too many bottles of this wine we can't pronounce 
 Too many bowls of that green, no Lucky Charms 
 The maids come around too much 
 Parents ain't around enough 
 Too many joy rides in daddy's Jaguar 
 Too many white lies and white lines 
 Super rich kids with nothing but loose ends 
 Super rich kids with nothing but fake friends 
 Start my day up on the roof 
 There's nothing like this type of view 
 Point the clicker at the tube 
 I prefer expensive news 
 New car, new girl 
 New ice, new glass 
 New watch good times babe 
 It's good times, yeah 
 She wash my back three times a day 
 This shower head feels so amazing 
 We'll both be high 
 The help don't stare 
 They just walk by 
 They must don't care 
 A million one, a million two 
 A hundred more will never do 
 Too many bottles of this wine we can't pronounce 
 Too many bowls of that green, no Lucky Charms 
 The maids come around too much 
 Parents ain't around enough 
 Too many joy rides in daddy's Jaguar 
 Too many white lies and white lines 
 Super rich kids with nothing but loose ends 
 Super rich kids with nothing but fake friends 
 Real love I'm searching for a real love 
 Real love I'm searching for a real love 
 Real love 
 (Earl) 
 Alright 
 Close your eyes for what you can't imagine 
 We are the xany gnashing caddy smashing 
 Bratty ass he mad he snatched his daddy's Jag 
 And used the shit for batting practice 
 Adamant and he thrashing 
 Purchasing crappy grams 
 With half the hand of cash you handed 
 Panic and patch me up 
 Pappy done latch-keyed us 
 Toying with Raggy Annes and mammy done had enough 
 Brash as fuck breaching all these aqueducts 
 Don't believe us treat us like we can't erupt 
 Yup 
 We end our day up on the roof 
 I say I'll jump I never do 
 But when I'm drunk I act a fool 
 (Talkin bout) 
 Do they sew wings on tailored suits 
 I'm on that ledge 
 She grabs my arm 
 She slaps my head 
 It's good times, yeah 
 Sleeve rips off, I slip I fall 
 The market's down like sixty stories 
 And some don't end the way they should 
 My silver spoon has fed me good 
 A million one, a million cash 
 Close my eyes and feel the crash 
 Too many bottles of this wine we can't pronounce 
 Too many bowls of that green, no Lucky Charms 
 The maids come around too much 
 Parents ain't around enough 
 Too many joy rides in daddy's Jaguar 
 Too many white lies and white lines 
 Super rich kids with nothing but loose ends 
 Super rich kids with nothing but fake friends 
 Real love 
 (Ain't that something rare) 
 I'm searching for a real love 
 (Talkin bout real love) 
 Real love yea 
 Real love 
 I'm searching for a real love 
 Talkin bout a real love"
19,Frank Ocean,pop,Pilot Jones,"We once had things in common 
 Now the only thing we share is the refrigerator 
 Ice cold baby, I told you I'm ice cold 
 (ice cold) 
 You out here flying high 
 Go ahead fly that thing 
 High, high 
 But fly alone 
 You always smoking in the house 
 What if my mother comes over 
 You can't get up and get a job 
 'Cause this little hustle's getting you by 
 You're the dealer and the stoner 
 With the sweetest kiss I've ever known 
 I know what I was on 
 I had a Pilot Jones 
 (What you know about him) 
 She took me high 
 (Oh did she now) 
 Then she took me home 
 (We talkin 'bout) 
 Pilot Jones, Pilot Jones 
 Tonight she came stumbling across my lawn again 
 I just don't know why 
 I keep on trying to keep a grown woman sober 
 See there you go reaching up your blouse 
 And no I don't want a child 
 But I ain't been touched in a while 
 By the dealer and the stoner 
 With the sweetest kiss I've ever known 
 I know what I was on 
 I had a Pilot Jones 
 (What you know about him) 
 She took me high 
 (Oh did she now) 
 Then she took me home 
 (We talkin 'bout) 
 Pilot Jones, Pilot Jones 
 In the sky up above the birds 
 I saw the sky like I never seen before you 
 Thought I was above you 
 Above this in so many ways 
 But if I got a condo on a cloud 
 Then I guess you can stay at my place 
 I'ma get one 
 I need ya 
 I admit it 
 You're my Pilot Jones"
20,Frank Ocean,pop,Crack Rock,"You don't know how little you matter until you're all alone 
 In the middle of Arkansas with a little rock left in that glass dick 
 Used to date a blonde 
 You used to hit it raw 
 'Cause she was and you are madly involved, madly involved 
 Hittin' stones in glass homes 
 You're smokin' stones in abandoned homes 
 You hit them stones and broke your home 
 Crack rock, crack rock 
 Crack rock, crack rock 
 Hittin' stones in glass homes 
 You're smokin' stones in abandoned homes 
 You're hittin' stones and broke your home 
 Crack rock, crack rock 
 Crack rock, crack rock 
 You're shuckin' and jivin', stealin' and robbin' 
 To get the fixing that you're itching for 
 Your family stopped inviting you to things, won't let you hold their infant 
 You used to get a little cut up from time to time 
 But the freaks ain't trying to sleep with cracky 
 Hittin' stones in glass homes 
 You're smokin' stones in abandoned homes 
 You hit them stones and you broke your home 
 Crack rock, crack rock, crack rock 
 Crooked cop, dead cop, how much dope can you push to me? 
 Crooked cop, dead cop, you're no good for community 
 Fuckin' pig get shot, three-hundred men will search for me 
 My brother get popped and don't no one hear the sound 
 Don't no one hear the rounds, ooh, sound 
 Don't no one hear the shells, ooh, shells 
 Don't no one hear a sound 
 Don't no one disturb the peace for riot 
 Don't no one disrupt nirvana 
 Don't no one wanna blow the high 
 Crack rock, ooh 
 Crack rock, ooh 
 Crack rock, how you feeling girl? Ooh 
 How's the gutter doing? Crack rock"
