,0,1,2,3
0,George Michael,pop,Faith,"Well, I guess it would be nice 
 If I could touch your body 
 I know not everybody 
 Has got a body like you 
 Oh, but I gotta think twice 
 Before I give my heart away 
 And I know all the games you play 
 Because I play them too 
 Oh, but I need some time off from that emotion 
 Time to pick my heart up off the floor 
 Oh, when that love comes down without devotion 
 Well, it takes a strong man, baby 
 But I'm showin' you the door 
 'Cause I gotta have faith 
 I gotta have faith 
 Because I got to have faith, faith, faith 
 I got to have faith, faith, faith 
 Baby 
 I know you're asking me to stay 
 Sayin' please, please, please don't go away 
 You say I'm giving you the blues 
 Maybe 
 You mean every word you say 
 Can't help but think of yesterday 
 And another who tied me down to loverboy rules 
 Before this river becomes an ocean 
 Before you throw my heart back on the floor 
 Oh baby, I've reconsidered my foolish notion 
 Well, I need someone to hold me 
 But I'll wait for something more 
 Yes, I gotta have faith 
 Mm, I gotta have faith 
 Because I've gotta have faith, faith, faith 
 I gotta have faith, faith, faith 
 I'll just have to wait 
 Because I got to have faith 
 I gotta have faith 
 I've got to, got to, got to have faith 
 Before this river becomes an ocean 
 Before you throw my heart back on the floor 
 (I've just got to have faith) 
 Oh, oh baby, I've reconsidered my foolish notion 
 Well, I need someone to hold me 
 But I'll wait for something more 
 'Cause I gotta have faith 
 Mmm, I gotta have faith 
 Because I've gotta have faith, faith, faith 
 I gotta have faith, faith, faith"
1,George Michael,pop,Father Figure,"That's all I wanted 
 Something special, someone sacred 
 In your eyes 
 For just one moment 
 To be bold and naked 
 At your side 
 Sometimes I think that you'll never 
 Understand me (understand me) 
 Maybe this time is forever 
 Say it can be, whoa 
 That's all you wanted 
 Something special, someone sacred 
 In your life 
 Just for one moment 
 To be warm and naked 
 At my side 
 Sometimes I think that you'll never 
 Understand me (understand me) 
 But something tells me together 
 We'd be happy, whoa baby 
 I will be your father figure (oh baby) 
 Put your tiny hand in mine (I'd love to) 
 I will be your preacher teacher (be your daddy) 
 Anything you have in mind (it would make me) 
 I will be your father figure (very happy) 
 I have had enough of crime (please let me) 
 I will be the one who loves you 
 Till the end of time 
 That's all I wanted 
 But sometimes love can be mistaken 
 For a crime 
 That's all I wanted 
 Just to see my baby's 
 Blue-eyed shine 
 This time I think that my lover 
 Understands me (understands me) 
 If we have faith in each other 
 Then we can be strong, baby 
 I will be your father figure 
 Put your tiny hand in mine (my baby) 
 I will be your preacher teacher 
 Anything you have in mind 
 I will be your father figure 
 I have had enough of crime 
 I will be the one who loves you 
 Till the end of time 
 If you are the desert, I'll be the sea 
 If you ever hunger, hunger for me 
 Whatever you ask for, that's what I'll be 
 So when you remember the ones who have lied 
 Who said that they cared 
 But then laughed as you cried 
 Beautiful darling 
 Don't think of me 
 Because all I ever wanted 
 It's in your eyes 
 Baby, baby 
 And love can't lie, no 
 (Greet me with the eyes of a child) 
 My love is always telling me so 
 (Heaven is a kiss and a smile) 
 Just hold on, hold on 
 And won't let you go, my baby 
 I will be your father figure 
 Put your tiny hand in mine 
 I will be your preacher teacher 
 Anything you have in mind 
 I will be your father figure 
 And I have had enough of crime 
 So I am gonna love you 
 Till the end of time 
 (I will be your father) I will be your 
 (I will be your preacher) Father 
 (I will be your father) I'll be your daddy, whoa 
 I will be the one who loves you 
 Till the end of time"
2,George Michael,pop,I Want Your Sex,"There's things that you guess 
 And things that you know 
 There's boys that you can trust 
 And girls that you don't 
 There's little things you hide 
 And little things that you show 
 Sometimes you think you're gonna get it 
 But you don't and that's just the way it goes 
 I swear I won't tease you 
 Won't tell you no lies 
 I don't need no bible 
 Just look in my eyes 
 I've waited so long baby 
 Now that we're friends 
 Every man's got his patience 
 And here's where mine ends 
 I want your sex 
 I want your love 
 I want your sex 
 I want your... sex 
 It's playing on my mind 
 It's dancing on my soul 
 It's taken so much time 
 So why don't you just let me go 
 I'd really like to try 
 Oh, I'd really love to know 
 When you tell me you're gonna regret it 
 Then I tell you that I love you but you still say NO 
 I swear I won't tease you 
 Won't tell you no lies 
 I don't need no bible 
 Just look in my eyes 
 I've waited so long baby 
 Out in the cold 
 I can't take much more girl 
 I'm losing control 
 I want your sex 
 I want your love 
 I want your sex 
 I want your... sex 
 It's natural 
 It's chemical (Let's do it) 
 It's logical 
 Habitual (Can we do it?) 
 It's sensual 
 But most of all... 
 Sex is something that we should do 
 Sex is something for me and you 
 Sex is natural, sex is good 
 Not everybody does it 
 But everybody should 
 Sex is natural, sex is fun 
 Sex is best when it's... one on one 
 One on one 
 I'm not your father 
 I'm not your brother 
 Talk to your sister 
 I am a lover 
 C-c-c-c-come on 
 What's your definition of dirty baby 
 What do you consider pornography 
 Don't you know I love it till it hurts me baby 
 Don't you think it's time you had sex with me 
 What's your definition of dirty baby 
 What do you call pornography 
 Don't you know I love it till it hurts me baby 
 Don't you think it's time you had sex with me 
 Sex with me 
 Sex with me 
 Have sex with me 
 C-c-c-c-come on"
3,George Michael,pop,I Want Your Sex (Part 2),"Oh so much love 
 That you've never seen 
 Let's make love 
 Put your trust in me 
 Don't you listen to what they told you 
 Because I love you 
 Let me hold you 
 Oh 
 I'm not your brother 
 I'm not your father 
 Oh will you ever change your mind 
 I'm a gentle lover with a heart of gold 
 But baby you've been so unkind... oh 
 Come on 
 I want your sex 
 Come on, I want your sex 
 That's right, all night 
 Oh, I want your sex 
 I want your... sex 
 Sexy baby 
 Sexy body 
 Keeps me guessing 
 With a promise 
 I know we can come together 
 But the question is 
 Will we ever? 
 Sexy baby 
 (Sexy baby) 
 Sexy body 
 (Sexy body) 
 Keeps me guessing 
 With a promise 
 I know we can come together 
 But the question is 
 Will we ever? 
 Together, you and me"
4,George Michael,pop,One More Try,"I've had enough of danger 
 And people on the streets 
 I'm looking out for angels 
 Just trying to find some peace 
 Now I think it's time 
 That you let me know 
 So if you love me, say you love me 
 But if you don't just let me go 
 'Cause teacher 
 There are things that I don't want to learn 
 And the last one I had made me cry 
 So I don't want to learn to 
 Hold you, touch you 
 Think that you're mine 
 Because there ain't no joy 
 For an uptown boy 
 Whose teacher has told him goodbye 
 Goodbye, goodbye 
 When you were just a stranger 
 And I was at your feet 
 I didn't feel the danger 
 Now I feel the heat 
 That look in your eyes 
 Telling me no 
 So you think that you love me, know that you need me 
 I wrote the song, I know it's wrong 
 Just let me go 
 And teacher 
 There are things that I don't want to learn 
 Oh, the last one I had made me cry 
 So I don't want to learn to 
 Hold you, touch you 
 Think that you're mine 
 Because there ain't no joy 
 For an uptown boy 
 Whose teacher has told him goodbye 
 Goodbye, goodbye 
 So when you say that you need me 
 That you'll never leave me 
 I know you're wrong, you're not that strong 
 Let me go 
 And teacher 
 There are things that I still have to learn 
 But the one thing I have is my pride 
 Oh, so I don't want to learn to 
 Hold you, touch you 
 Think that you're mine 
 Because there ain't no joy 
 For an uptown boy 
 Who just isn't willing to try 
 I'm so cold inside 
 Maybe just one more try"
5,George Michael,pop,Hard Day,"Don't bring me down 
 Don't bring me down 
 Don't bring me down 
 I've never been one for playing games 
 You can move your mouth forever 
 But the words sound just the same 
 Something like, bang bang you're dead 
 Couldn't we just make love instead? 
 Say yes because it's what we do best 
 And I've had such a hard day 
 Take me where their eyes can't find us 
 Without you I may as well just... 
 How much - do I have to say 
 What more - do you have to see 
 What will it take to make you love me? 
 Well you're not the first, you're not the last 
 You're not even the one who loves me the best 
 But all I think about is you 
 So take me where their eyes can't find us 
 Without you I may as well just... 
 So take me where their eyes can't find us 
 Without you I may as well just... 
 Don't bring me down 
 Don't bring me down 
 Don't bring me down 
 Please don't wander from my door 
 I've never been one for playing games 
 You can move your mouth forever 
 But the words sound just the same bang bang you're dead 
 Shouldn't we just make love instead? 
 Say yes 'cause it's what we do best 
 And I've had such a hard day 
 So don't bring me down 
 Won't you give me a break? 
 Somebody give me a break now! 
 Don't bring me down 
 Don't bring me down 
 Don't bring me down 
 Sweet little boy with oh such a big mouth 
 Harsh words can get you into hot water 
 When people don't understand you baby 
 I'm always here for you 
 And I, and I will never bring you down, down, 
 Down my baby 
 Trust me, I want you to trust me 
 Oh trust me 
 'Cause I won't bring you down 
 (Don't bring me down) 
 I won't bring you down 
 Do you trust me? 
 Yeah"
6,George Michael,pop,Hand To Mouth,"Jimmy got nothing but himself a name 
 With a gun that he polished for a rainy day 
 A smile and a quote from a vigilante movie 
 Our boy Jimmy just blew them all away 
 He said it made him crazy 
 Twenty five years living hand to mouth 
 Hand to mouth, hand to mouth, hand to mouth 
 Sweet little baby on a big white doorstep 
 She needs her mother but her mother is dead 
 Just another hooker that the lucky can forget 
 Just another hooker It happens everyday 
 She loved her little baby 
 But she couldn't bear to see her living hand to mouth 
 Hand to mouth, hand to mouth, hand to mouth 
 I believe in the gods of America 
 I believe in the land of the free 
 But no one told me (No one told me) 
 That the gods believe in nothing 
 So with empty hands I pray and from day to hopeless day 
 They still don't see me (See me) 
 Everybody talks about the new generation 
 Jump on the wagon or they'll leave you behind 
 But no one gave a thought to the rest of the nation 
 Like to help you buddy, but I haven't got the time 
 Somebody shouted save me 
 But everybody started living hand to mouth 
 Hand to mouth, hand to mouth, hand to mouth 
 There's a big white lady on a big white doorstep 
 She asked her daddy and her daddy said yes 
 Has to give a little for the dollars that we get 
 Has to give a little - They say it's for the best 
 Somebody shouted Maybe 
 But they kept on living from hand to mouth 
 Hand to mouth, hand to mouth, hand to mouth 
 So she ran to the arms of America 
 And she kissed the powers that be 
 And someone told me (Someone told me) 
 That the gods believe in nothing so with empty hands I pray 
 And I tell myself One day 
 They just might see me..."
7,George Michael,pop,Look At Your Hands,"I loved you once but look at you now 
 You're in somebody else's bed 
 I loved you once so I don't know how 
 You're with a man like that 
 You'd be better off dead 
 He don't care, he don't treat you right 
 It's not fair I still want you at night 
 Can't you see you made a mistake girl 
 He treats you like dirt and I hate it 
 Na na na na na na lady look at your hands 
 You got two fat children and a drunken man 
 Betcha don't, betcha don't, betcha don't like your life 
 Betcha don't, betcha don't, betcha don't like it 
 Ma ma ma ma baby look at your hands 
 You should have been my woman when you had the chance 
 Betcha don't, betcha don't, betcha don't like your life 
 Betcha don't, betcha don't, betcha don't like your life now 
 He hits you once, he hits you twice 
 He don't care about the blood on his hands 
 But that's OK 'Cause it's his wife 
 ""It's the only thing she understands"" he says 
 Say you're gonna leave him, say you're gonna try 
 But you're only talking 
 Oh I know you think I'm a young boy 
 But I'm good and I think we can make it 
 Na na na na na na lady look at your hands 
 You've got two fat children and a drunken man 
 Betcha don't, betcha don't, betcha don't like your life 
 Betcha don't, betcha don't, betcha don't like it 
 Ma ma ma ma baby look at your hands 
 You should have been my woman when you had the chance 
 Betcha don't, betcha don't, betcha don't like your life 
 Betcha don't, betcha don't, betcha don't like your life now 
 (Don't like your guy now) 
 Well excuse me baby but it's making me mad 
 The only one you want is the only one you'll never have 
 It's so sad 
 The only one you'll never have 
 It's too bad Only one you'll never have 
 Na na na na na na lady look at your hands 
 You've got two fat children and a drunken man 
 And I bet you don't like your life now..."
8,George Michael,pop,Monkey,"Why can't you do it? 
 Why can't you set your monkey free? 
 Always giving in to it 
 Do you love your monkey or do you love me? 
 Why can't you do it? 
 Why do I have to share my baby with a monkey? 
 (With a monkey, with a monkey, aye, aye, aye, uh-huh) 
 Oh, I count to ten 
 But I don't know how and I don't know when 
 To open my eyes 
 If you kiss me again 
 Like you did just now, like you did just then 
 I've had the rest 
 Now it's time I had the best 
 So you tell me that you won't do anymore 
 Well I'd write your heart a letter 
 But I think you know me better 
 If I keep on askin' baby, maybe I'll get what I'm askin' for 
 Why can't you do it? 
 Why can't you set your monkey free? 
 Always giving in to it 
 Do you love your monkey or do you love me? 
 Why can't you do it? 
 Why do I have to share my baby with a monkey? 
 (With a monkey, with a monkey, aye, aye, aye) 
 Oh I hate your friends 
 But I don't know how and I don't know when 
 To open your eyes 
 Yes the monkey's back again 
 Do you want him now like you did back then? 
 I tried my best 
 But your head is such a mess 
 So I guess that I don't want you anymore 
 Well you say you care about me 
 That you just can't do without me 
 But you keep on dancin' baby 
 Till that monkey has you on the floor 
 Why can't you do it? 
 Why can't you set your monkey free? 
 Always giving into it 
 Do you love the monkey or do you love me? 
 Why can't you do it? 
 Why do I have to share my baby with a monkey? 
 (With a monkey, with a monkey, aye, aye, aye) 
 Don't look now, there's a monkey on your back 
 Don't look now, there's a monkey on your 
 Don't look now, there's a monkey on your back 
 Don't look now, there's a monkey on your 
 So you tell me that you won't do anymore 
 Why can't you do it? 
 Why can't you set your monkey free? 
 Always giving into it 
 Do you love the monkey or do you love me? 
 Why can't you do it? 
 Why do I have to share my baby with a monkey? 
 (With a monkey, with a monkey, aye, aye, aye) 
 Why can't you do it? 
 Why can't you set your monkey free? 
 Always giving into it 
 Do you love the monkey or do you love me? 
 Why can't you do it? 
 Why do I have to share my baby with a monkey? 
 (With a monkey, with a monkey, aye, aye, aye)"
9,George Michael,pop,Kissing A Fool,"You are far, when I could have been your star 
 You listened to people 
 Who scared you to death, and from my heart 
 Strange that you were strong enough 
 To even make a start 
 But you'll never find peace of mind 
 Till you listen to your heart 
 People, you can never change the way they feel 
 Better let them do just what they will 
 For they will, If you let them 
 Steal your heart from you 
 People, Will always make a lover feel a fool 
 But you knew I loved you 
 We could have shown them all 
 We should have seen love through 
 Fooled me with the tears in your eyes 
 Covered me with kisses and lies 
 So good-bye, but please don't take my heart 
 You are far, I'm never gonna be your star 
 I'll pick up the pieces and mend my heart 
 Maybe I'll be strong enough, I don't know where to start 
 But I'll never find peace of mind, while I listen to my heart 
 People, you can never change the way they feel 
 Better let them do just what they will 
 For they will, If you let them, steal your heart 
 And people, will always make a lover feel a fool 
 But you knew I loved you 
 We could have shown them all 
 We should have seen love through 
 But remember this, every other kiss 
 That you ever give, long as we both live 
 When you need the hand of another man 
 One you really can surrender with 
 I will wait for you, like I always do 
 There's something there, that can't compare 
 With any other 
 You are far 
 When I could have been your star 
 You listened to people 
 Who scared you to death, and from my heart 
 Strange that I was wrong enough 
 To think you'd love me too 
 I guess you were kissing a fool 
 You must have been kissing a fool"
