,0,1,2,3
0,Immortal,metal,The Call Of The Wintermoon,"Buried beneath the mountains of frost 
 Years of silent sorrow grim and dark 
 My winterwings of evil sleeps in eternal nights 
 In death cold crypts of snow 
 The moon chimed my return 
 With the blackstorms I came 
 And not with the winds 
 The Northern darkness marches 
 Through the coldest night 
 I can't resist the taste from the winds of the wintermoon 
 I split my tongue for the taste of these winds 
 And bath my eyes in its grace 
 Frost and winter return to my eyes 
 The call of the wintermoon 
 Nocturnal clouds blows freely in the distance 
 In the grey mist of deaths horizon 
 My winterwings of evil sleeps 
 In deaths cold crypts of snow 
 Buried beneath the mountains of frost 
 Years of silent sorrow grim and dark 
 Into the eternal nights 
 Hearing the call of the wintermoon"
1,Immortal,metal,Unholy Forces Of Evil,"Slowly crossing as red rivers runs below 
 Forever passing where the darkness lies unknown 
 Where soulwinds burns my eyes 
 Where shadows of lost life hides 
 Enter the centres of darkness 
 Where all evil dwells 
 Demons present in flames 
 Oath of black souls found 
 Sacrifices as old as the earth 
 We cut the living flesh 
 Circles of the deepest black throned 
 A promise of the darkest blood found 
 Unholy forces of evil 
 Unholy forces of hell 
 An mayhemic silence floats 
 We await our signs of death our circles gathered 
 Ceremonial powers belongs to us 
 A goat baptised in fire 
 We dance the circle dance the thorns 
 Awaiting the sign of the horns 
 A thousand black clouds storms 
 Blasphemous Northern rites 
 Mysticism touched 
 Pentagrams burning 
 Into the centres of the darkness 
 Where all evil dwells 
 Demons present in flames 
 Oath of black souls found 
 The unholy forces of evil 
 Server upon our diabolical souls 
 Cults of death bathed in slaught 
 As the devils candles burns 
 Into the dark skies 
 Floating with the soulwinds of the pentagram 
 To the deathlights where the North star awaits"
2,Immortal,metal,Cryptic Winterstorms,"A black sunset rises under the funeral sky 
 The freezing waters below as mirrors made of funeral mist 
 The blasting sky above and the fullmoon is on the rise. 
 My hear blows in the winds of reap 
 Still I float with the cold diabolical massacrewinds 
 On the bestial wings of evil 
 Above the mountainside and into cryptic winterstorms 
 I long for eternal frost and black winters 
 Asleep in the cold lakes awake in the stars in the sky 
 And silent the walleyes in the North 
 Where I once were a proud warrior 
 Where I belong where I bath my soul in doom fire fog 
 Where I ride deaths cold winds in the battles in the North 
 As a Norse warrior I rode the dark walleyes 
 With longsword in hand sworned to throne dark lands 
 And to return to my master in the blue mist of the dying sunset 
 A black sunset dies under the funeral sky 
 My hair blows into winds of reap 
 Still I float with the cold diabolical massacrewinds 
 On the overshadowed bestial wings of evil 
 Above the mountainside and into cryptic winterstorms forever"
3,Immortal,metal,Cold Winds Of Funeral Dust,"Under a blood-red moon in the cold waters of Thule 
 Where winter shadows lies untouched 
 Where I dwell at the mountains of madness 
 In these shadows of death I march 
 In the blue mist of evil 
 Through the dark Northern walleyes 
 Where only winds of funeral breathes 
 Hovering through the whispering darkness 
 With frost in my eyes 
 Only seven winds are heard 
 Chiming through the dark Northern walleyes 
 Eternity I pass eternity I sought 
 For the darkness my spirit 
 For Satan my black soul 
 Under a blood-red moon in the cold waters of another world 
 Where winter shadows lies untouched 
 Where I dwell at the mountains of madness 
 Entering with the cold winds of funeral dust"
4,Immortal,metal,Blacker Than Darkness,"Out in the black night 
 In the cold Northern breeze 
 Under the red skies 
 Surrounded by blasphemous winds 
 Midnight passing and the moon is fulfilled 
 Slowly blackening the sky 
 I summon up where the ravens fly high 
 Towards the moons of Blashyrkh 
 Death rides on black wings 
 Evil enter the sly 
 Angels falls from the heavens 
 While tile darkness shines through 
 Chariots of the darkest masters arrives on devil wings 
 Heavens angels surrounded by frost 
 Forces into the holocaust frozen clouds 
 A twisted wind rapes the clouds 
 Memories of cold days and lightning returns 
 A foggy fullmoon night 
 Into darkness ride 
 Under the horned goatmoon 
 As dark as black rivers at wintertime 
 Horned December moon come to me 
 I ride the wings of Torment 
 Blacker than darkness"
5,Immortal,metal,A Perfect Vision Of The Rising Northland,"Winter of the ages so dark so cold that flames turn to the bluest frost 
 Mountains of ice rises above an dead an frozen ground 
 The ravens returns to the hills 
 And the Millennium black bells of eternal frost 
 Chaise through the Northern lightning 
 Upon the mountainside I stand 
 The floods of black runs below 
 Hair of a cold goatscalp I kiss 
 Eyestaken mountains still breathes 
 At one with the poisoned ground 
 Midnight dark sky open up 
 A blast of red lightning rides the night 
 With dooms winds deaths angels fly 
 Across an nearly closed skyline 
 And the sun freezes at one with the infernal holocaust frozen clouds 
 Centuries of doom reigned by the Goathrone of desire 
 Raised by sorcery to the Holocaust sky 
 North black hordes storms 
 Through invisible cyclones of frostwinds I lift my hands 
 And join the ceremonial circle of the wind 
 Eyes of stone now sleeps into eternal night 
 This winter is forever 
 A wind of red I rode 
 A wind of evil cold 
 For the years that have passed in the North 
 Brought me visions of the Goathrone of desire 
 On the hillside where I stood I left for another world 
 Tragedies blows at horizon 
 The sun freezes to dust 
 A perfect vision of the rising Northland"
6,Immortal,metal,Unsilent Storms In The North Abyss,"Delight of the moon is burning inside 
 Spiritless I lay on cryptic stones 
 Mesmerising snow wait silent above me 
 And my yearn for frost grow strongly. 
 I am demon 
 A demon with a shadowed face 
 Entering to my wintercoffin 
 Awaiting to see the dawnless realms 
 Staring into a ground of glass 
 A perfect view I could failed into my eyes 
 The unsilent storms in the north abyss"
7,Immortal,metal,A Sign For The Norse Hordes To Ride,"Gathering the horde on a mountain-side 
 Awaiting the morning bestial sunrise 
 Diabolic seven winds of hate 
 Breathe in the chasm of the realms 
 In clouds above horizon grey 
 A throne of ice 
 Watching silently with a warrior's eye 
 Winds of destruction fills our hearts 
 With joy portals to war lay before us 
 Fog in the distance is all I see 
 Born of the blackening sky of Blashyrkh 
 A raven's claws lifted towards the sky 
 Is a sign for the Norse hordes to ride 
 A sign for the Norse hordes to ride 
 Is the way for our enemies to die"
8,Immortal,metal,The Sun No Longer Rises,"In the mist of the twilight 
 You could see me come 
 To walk the endless woods alone 
 The earth is freezing 
 As I walk it become colder 
 Forever descending in a place of the moon 
 Where shadows moves with grotesque eyes 
 Where demons rise 
 Surrounded by black and mourning moonfog 
 And the eyes of the dark ones 
 Sempiternal woods wait only for me 
 A path opens clearly 
 The sun no longer rises 
 Over cold and forgotten valleys 
 The sun no longer rises 
 Where I walk and where I come 
 I believe in tragedies 
 I believe in desecration 
 To the north and into eternal winters 
 To the north in the grip of eternal frost"
9,Immortal,metal,Frozen By Icewinds,"A whispering cry 
 Heard from a casket of stone 
 Sorrow reap the windscreen 
 I am here all alone 
 Shades of grey cast to the sky 
 In the deepest night 
 Icewinds tears drips on my unbeloved soul 
 Coven of black mist sing for me 
 Ceremonial hymns of the purest blasphemy 
 At one with the earth 
 Alone with light in my eyes 
 The ravens circle around my tomb 
 As I dream the night 
 Frozen by icewinds"
