,0,1,2,3
0,Iron Maiden,metal,Iron Maiden,"Won't you come into my room 
 I wanna show you all my wares 
 I just want to see your blood 
 I just want to stand and stare 
 See the blood begin to flow 
 As it pours upon the floor 
 Iron Maiden can't be fought 
 Iron Maiden can't be sought 
 Oh well, wherever 
 Wherever you are 
 Iron Maiden's gonna get you 
 No matter how far 
 See the blood flow, watching it shed 
 Up above my head 
 Iron Maiden wants you for dead"
1,Iron Maiden,metal,Invasion,"(Harris) 
 The Vikings are coming 
 You'd better get ready for we're having a fight 
 The longboats are coming 
 It's looking like their? in the dead of the night 
 Muster the men from all the villages 
 You'd better get ready to fight with your enemies 
 Beacons are burning 
 I'm giving the word to get ready to fight 
 The battle is nearing 
 You'd better get ready to fight for your lives 
 The Norsemen are coming 
 The Norsemen are coming 
 The warnings are given 
 The Norsemen are coming 
 Raping and pillaging 
 Robbing and looting the land 
 Viking raiders from afar"
2,Iron Maiden,metal,Prowler,"Walking through the city, looking oh so pretty 
 I've just got to find my way 
 See the ladies flashing all their legs and lashes 
 I've just got to find my way 
 Well you see me crawling through the bushes with it open wide 
 What you seeing girl? 
 Can't you believe that feeling, can't you believe it 
 Can't you believe your eyes? 
 It's the real thing girl 
 Got me feeling myself and reeling around 
 Got me talking but feel like walking around 
 Got me feeling myself and reeling a... 
 Got me talking but nothing's with me 
 Got me feeling myself and reeling around 
 Walking through the city, looking oh so pretty 
 I've just got to find my way 
 See the ladies flashing all their legs and lashes 
 I've just got to find my way 
 Well you see me crawling through the bushes with it open wide 
 What you seeing girl? 
 Can't you believe that feeling, can't you believe it 
 Can't you believe your eyes? 
 It's the real thing girl 
 Got me feeling myself and reeling around 
 Got me talking but feel like walking around"
3,Iron Maiden,metal,Remember Tomorrow,"Unchain the colours before my eyes 
 Yesterday's sorrows, tomorrow's white lies 
 Scan the horizon, the clouds take me higher 
 I shall return from out of the 
 Tears for remembrance and tears for joy 
 Tears for somebody and this lonely boy 
 Out in the madness, the all-seeing eye 
 Flickers above us to light up the sky 
 Unchain the colours before my eyes 
 Yesterday's sorrows, tomorrow's white lies 
 Scan the horizon, the clouds take me higher 
 I shall return from out of the fire"
4,Iron Maiden,metal,Running Free,"Just sixteen, a pickup truck 
 Out of money, out of luck 
 I've got nowhere to call my own 
 Hit the gas, and here I go 
 I'm running free yeah 
 I'm running free 
 I'm running free yeah 
 I'm running free 
 Spent the night in an L. A. jail 
 And listened to the sirens wail 
 They ain't got a thing on me 
 I'm running wild, I'm running free 
 I'm running free yeah 
 I'm running free 
 I'm running free yeah 
 I'm running free 
 Get out of my way 
 I'm running free yeah 
 I'm running free 
 I'm running free yeah 
 I'm running free 
 Right? 
 Puller here at the Bottle Top 
 Whiskey, dancing, disco hop 
 Now all the boys are after me 
 And that's the way it's gonna be 
 I'm running free yeah 
 I'm running free 
 I'm running free yeah 
 I'm running free 
 Oh, I'm running free yeah 
 I'm running free 
 I'm running free yeah (I'm running, I'm running, I'm running, oh yeah yeah I'm running) 
 I'm running free"
5,Iron Maiden,metal,Phantom Of The Opera,"Come on yeah! 
 I've been looking so long for you now you won't get away from my grasp 
 You've been living so long in hiding in hiding behind that false mask 
 And you know and I know that you ain't got long now to last 
 Your looks and your feelings are just the remains of your past 
 You're standing in the wings there you wait for the curtain to fall 
 Knowing the terror and holding you have on us all 
 Yeah, I know that you're going to scratch me and maim me and maul 
 And you know I'm helpless from your mesmerizing cat call 
 Keep your distance, walk away, don't take his bait 
 Don't you stray, don't fade away 
 Watch your step, he's out to get you, come what may 
 Don't you stray from the narrow way 
 I'm running and hiding in my dreams you're always there 
 You're the Phantom of the Opera, you're the Devil, you're just out to scare 
 You damaged my mind and my soul it just floats through the air 
 You haunt me, you taunt me, you torture me back at your lair 
 You torture me back at your lair"
6,Iron Maiden,metal,Strange World,"The only place where you can dream, 
 Living here is not what it seems. 
 Ship of white light in the sky, 
 Nobody there to reason why. 
 Here I am, I'm not really there, 
 Smiling faces ever so rare. 
 Let's walk in deepest space 
 Living here just isn't the place 
 Stalks of light grow from the ground 
 When I cry there isn't a sound 
 All my feelings cannot be held 
 I'm happy in my new strange world 
 Shades of green grasses twine 
 Girls drinking plasma wine 
 Look at love, a dream unfolds 
 Living here you'll never grow old 
 Don't you hear me call?"
7,Iron Maiden,metal,Charlotte The Harlot,"Giving a swish with your arse in the air, 
 Don't you know what they're saying? 
 Charlotte you're so refined, 
 When you take all the love that they're giving. 
 Sticking with every man that you find, 
 Don't you know what they're after? 
 Charlotte you've got your legs in the air, 
 Don't you hear all their laughter? 
 Charlotte the harlot 
 Show me your leg. 
 Charlotte the harlot 
 Take me to bed. 
 Charlotte the harlot 
 Let me see blood. 
 Charlotte the harlot 
 Let me see love. 
 Taking so many men to you room, 
 Don't you feel no remorse. 
 You charge them a fiver only for starters, 
 And ten the main course. 
 You've got no feelings, 
 They died long ago. 
 Don't you care who you let in, 
 Don't you know you're breaking the law, 
 With the service you're giving. 
 Charlotte the harlot 
 Show me your leg. 
 Charlotte the harlot 
 Take me to bed. 
 Charlotte the harlot 
 Let me see blood. 
 Charlotte the harlot 
 Let me see love. 
 There was a time when you left me standing there, 
 Picking up pieces of love from the floor, 
 Well Charlotte you left me alone in there, 
 To make your ends as a bloody whore. 
 Well Charlotte you told me you loved me true. 
 Picking up pieces of love yesterday. 
 Well Charlotte your drawers are off colour too, 
 'Cause you're making love all day. 
 Giving a swish with your arse in the air, 
 Don't you know what they're saying? 
 Charlotte you're so refined, 
 When you take all the love that they're giving. 
 Sticking with every man that you find, 
 Don't you know what they're after? 
 Charlotte you've got your legs in the air, 
 Don't you hear all their laughter? 
 Charlotte the harlot 
 Show me your leg. 
 Charlotte the harlot 
 Take me to bed. 
 Charlotte the harlot 
 Let me see blood. 
 Charlotte the harlot 
 Let me see love."
8,Iron Maiden,metal,Sanctuary,"Out of winter came a warhorse of steel 
 I've never killed a woman before but I know how it feels 
 I know you'd have gone insane if you saw what I saw 
 So now I've got to look for Sanctuary from the law 
 I met up with a 'slinger last night to keep me alive 
 He spends all his money on gambling and guns to survive 
 I know you'd have gone insane if you'd saw what I saw 
 So now I've got to look for Sanctuary from the law 
 So give me Sanctuary from the law 
 And I'll be alright 
 Just give me Sanctuary from the law 
 And love me tonight 
 Tonight 
 I know you'd have gone insane if you saw what I saw 
 So now I've got to look for Sanctuary from the law 
 So give me Sanctuary from the law 
 And I'll be alright 
 Just give me Sanctuary from the law 
 And love me tonight 
 Tonight 
 I can laugh at the wind 
 I can howl at the rain 
 Down in the Canyon or out on the plains 
 I know you'd have gone insane if you saw what I saw 
 So now I've to look for Sanctuary from the law 
 So give me Sanctuary from the law 
 And I'll be alright 
 Just give me Sanctuary from the law 
 And love me tonight 
 Tonight"
9,Iron Maiden,metal,Burning Ambition,"So you think you can own me 
 Well you'd better just think again 
 You'd better watch you step now, woman 
 'Cause I ain't like those other men 
 There's something burning inside me 
 That makes me want to be free 
 And when I get these feelings, honey 
 You better keep away from me 
 There's things in life now, baby 
 That I know I've got to do 
 And I need your love now, baby 
 To help me see it through 
 So you think you can own me 
 Well you'd better just think again 
 You'd better watch your step now, woman 
 'Cause I ain't like those other men, look out, yeah 
 So you think you can own me 
 Well you'd better just think again 
 You'd better watch your steps now , woman 
 'Cause I ain't like those other men 
 There's something burning inside me 
 That makes me want to be free 
 And when I get these feelings honey 
 You better keep away from me"
