,0,1,2,3
0,Justin Timberlake,pop,Señorita,"(Pharrell) 
 Ladies and gentlemen 
 It's my pleasure to introduce to you 
 He's a friend of mine 
 (Justin) 
 Yes, yes I am 
 (Pharrell) 
 And he goes by the name... 
 Justin 
 Wowoowoooo 
 All the way 
 From Memphis, Tennessee 
 And he's got somethin' special for y'all tonight 
 He's gonna sing a song for y'all 
 About this girl 
 (Justin) 
 Come in right here? 
 (Pharrell) 
 Yeah, come on 
 On that sunny day 
 Didn't know I'd meet 
 Such a beautiful girl 
 Walking down the street 
 Seen those bright brown eyes 
 With tears coming down 
 She deserves a crown 
 But where is it now 
 Mama listen 
 Señorita, I feel for you 
 You deal with things, that you don't have to 
 He doesn't love ya, I can tell by his charm 
 But you could feel this real love 
 If you just lay in my... 
 Running fast in my mind 
 Girl won't you slow it down 
 If we carry on this way 
 This thing might leave the ground 
 How would you like to fly? 
 That's how my queen should RIDE! 
 But you still deserve a crown 
 Well hasn't it been found? 
 Mamma listen 
 Señorita, I feel for you 
 (Feel for you) 
 You deal with things, that you don't have to 
 (No, no) 
 He doesn't love ya, I can tell by his charm 
 (He don't love ya baby) 
 But you could feel this real love 
 (Feel it) 
 If you just lay in my... 
 Ah, ah, arms... 
 (Won't you lay in my) 
 Ah, ah, arms... 
 (Mama lay in my) 
 Ah, ah, arms... 
 (Baby won't you lay in my) 
 Ah, ah, arms... 
 When I look into your eyes 
 I see something that money can't buy 
 And I know if you give us a try 
 I'll work hard for you girl 
 And no longer will you ever have to cry 
 Señorita, I feel for you 
 You deal with things, that you don't have to 
 (Deal with things you don't have to) 
 He doesn't love ya, I can tell by his charm 
 (No, no) 
 But you could feel this real love 
 (Feel it) 
 If you just lay in my... 
 Ah, ah, arms... 
 (Whoa) 
 Ah, ah, arms... 
 (My baby) 
 Ah, ah, arms... 
 (Ooh, yeah) 
 Ah, ah, arms... 
 Now listen 
 I wanna try some right now 
 See they don't do this anymore 
 I'ma sing something 
 And I want the guys to sing with me 
 They go 
 ""It feels like something's heating up, can I leave with you?"" 
 And then the ladies go 
 ""I don't know, but I'm thinking 'bout really leaving with you."" 
 Guys sing 
 It feels like something's heating up, can I leave with you? 
 And ladies 
 I don't know, but I'm thinking bout really leaving with you. 
 Feels good don't it, come on 
 It feels like something's heating up, can I leave with you? 
 Yeah, ladies 
 I don't know, but I'm thinking bout really leaving with you. 
 Sure feels good to me 
 Sing it one more time 
 It feels like something's heating up, can I leave with you? 
 Ladies 
 I don't know, but I'm thinking bout really leaving with you. 
 Yeah, yeah... 
 It feels like something's heating up, can I leave with you? 
 Ladies 
 I don't know what I'm thinking bout, really leaving with you 
 Gentlemen, good night 
 Ladies, good morning 
 (Laughs) 
 ...And that's it"
1,Justin Timberlake,pop,Like I Love You,"Just somethin' about you 
 The way I'm lookin' at you, whatever 
 Keep lookin' at me 
 Gettin' scared now, right 
 Don't fear me baby, it's just Justin 
 It feel good right, listen 
 I kinda noticed something one night, 
 In the club a frump face, 
 It's kinda weird to me, since you're so fine 
 If it's up to me your face'll change 
 If you smile then that should set the tone 
 Just be limber 
 And if you let go the music should move your bones 
 Just remember 
 Sing this song with me 
 Ain't nobody love ya like I love ya 
 You're a good girl and that's what makes me trust ya (hey) 
 Late at night I talk to you 
 You will know the difference when I touch ya 
 Some people are so phony 
 Nosy 'cause they're lonely 
 Aren't you sick of the same thing? 
 They say so and so is datin' 
 Love you or they're hatin' 
 When it doesn't matter anyway 
 'Cause we're here tonight 
 If you smile then that should set the tone 
 Just be limber baby 
 And if you let go the music should move your bones 
 Baby, just remember 
 Sing this song with me 
 Ain't nobody love ya like I love ya 
 You're a good girl and that's what makes me trust ya (hey) 
 Late at night I talk to you 
 You will know the difference when I touch ya 
 Yeah 
 You know I could make you happy 
 I could change your life 
 If you give me that chance to be your man 
 I won't let you down baby 
 If you give me that chance to be your man 
 Here baby, hold my jacket 
 And then... 
 Maybe we'll fly the night away 
 (I just want to love you baby, yeah, yeah, yeah) 
 Girl 
 Maybe we'll fly the night away 
 (I just wanna love ya baby) 
 Girl... 
 (Pusha T) 
 Ma' whatcha wanna do? 
 I'm in front of you 
 Grab a friend, see I can have fun with two 
 Or me and you put on a stage show 
 And the mall kids, that's how to change low 
 Point to her they say 'Wow, it's the same glow' 
 Point to me I say 'Yeah, it's the same dough' 
 We the same type, you my air of life 
 You have me sleepin' in the same bed er'night 
 (Malice) 
 Do a robbery, you deservin' the best 
 Take a few shots 
 Let it burn in your chest 
 We could ride down 
 Pumpin' N.E.R.D in the deck 
 Funny how a few words turn into sex 
 (I just love your... brain...) 
 Play number three, Joint called 'Brain' 
 Ma, take a hint 
 Make a swerve in the lane 
 The name Malicious 
 And I burn every track 
 Clipse and J. Timberlake 
 Now how heavy is that? 
 Maybe we'll fly the night away 
 (I just wanna love ya baby, yeah, yeah, yeah) 
 Girl... 
 Maybe we'll fly the night away 
 (I just wanna love ya baby, girl...) 
 Ain't nobody love you like I love ya 
 (Can't love ya like I do) 
 You're a good girl and that's what makes me trust ya 
 (Makes me trust ya like I do, hey) 
 Late at night I talk to you (hey) 
 You will know the difference when I... 
 (Break it down) 
 You know 
 I used to dream about this when I was a little boy 
 I never thought it would end up this way 
 Drums... (hey) 
 It's kinda special right, yeah 
 You know, if you think about it 
 Sometimes people are just destined 
 Destined to do what they do 
 And that's what it is 
 Now everybody dance"
2,Justin Timberlake,pop,(Oh No) What You Got,"Yeah... 
 Mr. JT, now what you got for me 
 Mr. JT, now what you got for me 
 Mr. JT, now what you got for me 
 Mr. JT, now what you got, what you got 
 Mr. JT, now what you got for me 
 Mr. JT, now what you got for me 
 Mr. JT, now what you got for me 
 Mr. JT, now what you got, what you got 
 You're sneaky 
 From the corner of my eye I saw you eyeing me 
 I know that you're watching 
 Tell me 
 What would you do if I encouraged you 
 To get next to me 
 When nobody's watching 
 The way your body keeps moving 
 Is something that makes me weak 
 Let's start our own little secrets 
 For just you and me to keep 
 Too late to come off shy now 
 You've already gone this far 
 So baby make your move, take charge 
 Show me what you got for me 
 Oh no 
 (Girl) 
 Is that your hands, (your hands), rubbing on me 
 Oh no 
 (Girl) 
 Is that your hands, (your hands), feeling on me 
 Oh no 
 (Girl) 
 Is that your hands, (your hands), rubbing on me 
 If so 
 (Girl) 
 If that's your hands, (your hands), then tell me what you got for me 
 Baby, I can tell that you want to do more 
 Than just dance with me 
 And I don't mind you flirting 
 But honestly 
 Do you really wanna spend the whole night 
 Passing looks at me 
 (Looks at me) 
 Come over here and get to working 
 The way your body keeps moving 
 Is something that makes me weak 
 (Makes me weak) 
 Let's start our own little secrets 
 (Yeah) 
 For just you and me to keep 
 (Us to keep) 
 Too late to come off shy now 
 You've already gone this far 
 So baby make your move, take charge 
 (Ooh) 
 Show me what you got for me 
 Oh no 
 (Girl) 
 Is that your hands, (your hands), rubbing on me 
 Oh no 
 (Girl) 
 Is that your hands, (your hands), feeling on me 
 Oh no 
 (Girl) 
 Is that your hands, (your hands), rubbing on me 
 If so 
 (Girl) 
 If that's your hands, (your hands), then tell me what you got for me 
 Oh, oh, oh, oh 
 Oh, oh, oh, oh 
 (What you got) 
 Oh, oh, oh, oh 
 Oh, oh, oh, oh 
 (What you got) 
 Oh, oh, oh, oh 
 Oh, oh, oh, oh 
 (What you got) 
 Oh, oh, oh, oh 
 Oh, oh, oh, oh 
 Oh no 
 (Oh no) 
 (Girl) 
 Is that your hands, (your hands), rubbing on me 
 Oh no 
 (No) 
 (Girl) 
 Is that your hands, (your hands), feeling on me 
 Oh no 
 (Girl) 
 Is that your hands, (your hands), rubbing on me 
 (Rubbing on me) 
 If so 
 (Girl) 
 If that's your hands, (your hands), then tell me what you got for me 
 (If that's your hands) 
 Oh, oh, oh, oh 
 Oh, oh, oh, oh 
 (What you got) 
 Oh, oh, oh, oh 
 Oh, oh, oh, oh 
 (Do do do do do do do do do do do do do...) 
 (What you got) 
 Oh, oh, oh, oh 
 Oh, oh, oh, oh 
 (What you got) 
 Oh, oh, oh, oh 
 Oh, oh, oh, oh 
 Oh no... 
 Your hands 
 Feeling on me 
 Oh no... 
 Your hands 
 Rubbing on me 
 Le do do do do do do do do do do do do... 
 Le do do do do do do do do do do do do... 
 Le do do do do do do do do do do do do..."
3,Justin Timberlake,pop,Take It From Here,"Sometimes, sometimes the world gets hard 
 Oh na na na 
 I'm gonna take it from here girl 
 Don't you worry 
 I wanna be your lake, or your bay 
 And any problems that you have 
 I wanna wash 'em away 
 I wanna be your sky 
 So blue and high 
 And every time you think of me 
 I wanna blow your mind 
 I wanna be your air 
 So sweet and fair 
 So when you feel that you can't breathe 
 Ma, I'll be there 
 I wanna be your answer, all the time 
 When you see how I put your life before mine 
 With no question 
 When all the love feels gone 
 And you can't carry on 
 Don't worry, girl 
 I'ma take it from here 
 Just as sure as the sun will shine 
 Every morning, every time 
 Don't worry, girl 
 I'ma take it from here 
 I wanna hold your hands 
 Reveal all your plans 
 I wanna make sure every one of your dreams is there 
 I would be your broadway show on review (why) 
 So I can act out how God was when he made you 
 I wanna be your lighthouse when you get lost 
 I'll light a bright and shiny path to help you across (light the way for you 
 Baby) 
 I wanna be your mother... wait 
 See what I see 
 And when you see that can't nobody hold you like me 
 'Cause I love you 
 When all the love feels gone 
 And you can't carry on 
 Don't worry, girl 
 I'ma take it from here 
 Just as sure as the sun will shine 
 Every morning, every time 
 Don't worry, girl (no no) 
 I'ma take it from here 
 And when there's no one there to hold 
 And you realize the world is cold 
 Don't worry, girl 
 I'ma take it from here 
 (That's what I'm gonna do) 
 That's what I'm gonna do 
 Just as sure as the sun will shine 
 Every morning, every time 
 (Don't you worry, baby) 
 Don't worry, girl 
 I'ma take it from here 
 Give me one reason why we should not be leaving 
 This world is so deceiving, the time is now 
 Let's fly away speeding 
 Through the Garden of Eden 
 Where all the sweet breathing of love surrounds 
 When all the love feels gone 
 And you can't carry on 
 Don't worry, girl 
 I'ma take it from here 
 Just as sure as the sun will shine 
 Every morning, every time 
 Don't worry, girl 
 I'ma take it from here 
 Give me one reason 
 Why we should not be leaving 
 This world is so deceiving 
 The time is now 
 Lets fly away speeding 
 (We'll fly away) 
 Through the Garden of Eden 
 Where all the sweet breathing of love surrounds 
 When all the love feels gone 
 And you can't carry on 
 Don't worry, girl 
 I'ma take it from here 
 Just as sure as the sun will shine 
 Every morning, every time 
 Don't worry, girl 
 I'ma take it from here 
 (Got something to tell you baby) 
 Love ain't always the way they write in books 
 (No, no) 
 See there's the good guys 
 And also heartbreak crooks 
 Your hearts the real one 
 Just take a look inside 
 'Cause it's a colorful illustrated guide 
 So there you go 
 Don't worry 
 To help you weather the storm 
 I'll be there mami 
 No matter what time 
 No matter what place 
 You can always count on me 
 I'll take it from here"
4,Justin Timberlake,pop,Cry Me A River,"Justin Timberlake 
 You were my sun 
 You were my earth 
 But you didn't know all the ways I loved you, no 
 So you took a chance 
 And made other plans 
 But I bet you didn't think that they would come crashing down, no 
 You don't have to say, what you did 
 I already know, I heard it from him 
 Now there's just no chance, for you and me, 
 There'll never be 
 And don't it make you sad about it? 
 You told me you loved me 
 Why did you leave me, all alone? 
 Now you tell me you need me 
 When you call me on the phone 
 Girl I refuse, you must have me confused 
 With some other guy 
 Your bridges were burned, and now it's your turn 
 To cry, 
 Cry me a river 
 Cry me a river, girl 
 Cry me a river 
 Cry me a river, girl yea yea 
 I know that they say that some things are better left unsaid 
 It wasn't like you only talked to him and you know it 
 (Don't act like you don't know it) 
 And all of these things people told me 
 Keep messing with my head 
 (Messing with my head) 
 You should've picked honesty 
 Then you may not have blown it (Yea..) 
 You don't have to say, what you did 
 (Don't have to say, what you did) 
 I already know, I heard it from him 
 (I already know, uh) 
 Now there's just no chance, for you and me, 
 There'll never be 
 (No chance, you and me) 
 And don't it make you sad about it 
 You told me you loved me 
 Why did you leave me, all alone 
 (All alone) 
 Now you tell me you need me 
 When you call me, on the phone 
 (When you call me on the phone) 
 Girl I refuse, you must have me confused 
 With some other guy 
 (I'm not like them baby) 
 Your bridges were burned, and now it's your turn 
 (It's your turn) 
 To cry 
 So cry me a river 
 (Go on and just) 
 Cry me a river-er 
 (Go on and just) 
 Cry me a river 
 (Baby, go on and just) 
 Cry me a river-er, yea yea 
 Timbaland 
 Oh (Oh) 
 The damage is done 
 So I guess I be leaving 
 Oh (Oh) 
 The damage is done 
 So I guess I be leaving 
 Oh (Oh) 
 The damage is done 
 So I guess I be leaving 
 Oh (Oh) 
 The damage is done 
 So I guess I be l-l-l-l-leaving 
 Justin Timberlake 
 You don't have to say, what you did, 
 (Don't have to say, what you did) 
 I already know, I heard it from him 
 (I already know, uh) 
 Now there's just no chance, for you and me, 
 There'll never be 
 (No chance, you and me) 
 And don't it make you sad about it? 
 Cry me a river 
 (Go on and just) 
 Cry me a river-er 
 (Baby, go on and just) 
 Cry me a river 
 (You can go on and just) 
 Cry me a river-er, yea yea 
 Cry me a river 
 (Baby, go on and just) 
 Cry me a river-er 
 (Go on and just) 
 Cry me a river 
 ('Cause I've already cried) 
 Cry me a river-er, yea yea 
 (Ain't gonna cry no more, yea-yea) 
 Cry me a river 
 Cry me a river, oh 
 Cry me a river, oh 
 Cry me a river, oh 
 Cry me a river, oh (Cry me, cry me) 
 Cry me a river, oh (Cry me, cry me) 
 Cry me a river, oh (Cry me, cry me) 
 Cry me a river, oh (Cry me, cry me) 
 Cry me a river, oh (Cry me, cry me) 
 Cry me a river, oh (Cry me, cry me) 
 Cry me a river (Cry me, cry me)"
5,Justin Timberlake,pop,Rock Your Body,"Don't be so quick to walk away (dance with me) 
 I wanna rock your body, please stay (dance with me) 
 You don't have to admit you wanna play (dance with me) 
 Let me rock you till the break of day (dance with me) 
 Got time, but I don't mind 
 Just wanna rock you, girl 
 I'll have whatever you have 
 Come on, let's give it a whirl 
 See, I've been watching you 
 And I like the way you move 
 So go ahead, girl, just do 
 That ass shaking thing you do 
 So you grab your girls, and you grab a couple more 
 And you all can meet me in the middle of the floor 
 Said the air is thick, it's smelling right 
 So you pass to the left, then you sail to the right 
 Don't be so quick to walk away (dance with me) 
 I wanna rock your body, please stay (dance with me) 
 You don't have to admit you wanna play (dance with me) 
 Let me rock you till the break of day (dance with me) 
 I don't mean no harm 
 Just wanna rock you girl 
 You can move, but be calm 
 Let's go, let's give it a whirl 
 See it appears to me 
 You like the way I move 
 I'll tell you what I'm gonna do 
 Pull you close and share my groove 
 So you grab your girls, and you grab a couple more 
 And you all can meet me in the middle of the floor 
 Said the air is thick, it's smelling right 
 So you pass to the left, then you sail to the right 
 Don't be so quick to walk away (dance with me) 
 I wanna rock your body, please stay (dance with me) 
 You don't have to admit you wanna play (dance with me) 
 Let me rock you till the break of day (dance with me) 
 (Talk to me, boy) No disrespect, I don't mean no harm 
 (Talk to me, boy) But I can't wait to have you in my arms 
 (Talk to me, boy) Hurry up 'cause you're taking too long 
 (Talk to me, boy) Bet I have you naked by the end of this song 
 So why did you come here for (I've came to dance with you) 
 Baby you don't wanna hit the floor (Need to romance with you) 
 You're searching for love forevermore (And I'll take a chance) 
 If love is here on the floor, girl 
 Hey, dance with me 
 Yeah 
 Come on, baby 
 (Don't be so quick to) Don't walk away, come on and dance with me 
 (I wanna rock your body) Let me rock your body 
 (Please stay) Come on and dance with me 
 (You don't have to admit you wanna play) 
 You don't have to admit you wanna play, just dance with me 
 (Just let me rock you) Do, do, do-do 
 (Till the break of day) Come on and dance with me 
 (Talk to me, boy) No disrespect, I don't mean no harm 
 (Talk to me, boy) But I can't wait to have you in my arms 
 (Talk to me, boy) Hurry up 'cause you're taking too long 
 (Talk to me, boy) Bet I have you naked by the end of this song 
 (Don't be so quick to walk away) I'm just thinking of you 
 (Don't be so quick to walk away) We could do something 
 (Don't be so quick to walk away) I like the way you look right now 
 (Don't be so quick to walk away) Come over here, baby 
 Are you feeling me 
 Let's do something 
 Let's make a bet 
 'Cause I 
 I bet I have you naked by the end of this song"
6,Justin Timberlake,pop,Nothin' Else,"I was just walking that day aimlessly 
 You picked the perfect day to bump into me (perfect day) 
 Probably should have watched the stars in the sky the night before 
 But for some reason 
 We still met at your store 
 You baby 
 And your eyes have a story 
 That they wish to tell 
 And I have my whole life and I listen well 
 Hey 
 Look I'll be your confidante 
 Tell me anything 
 But please start it off with how you tuck your wings 
 There's nothing else that I have seen 
 There's no getting around it or in between 
 You're out of this world 
 Except you're not green (look) 
 You don't know what you mean to me 
 To me 
 All my friends meet you and say you're the one 
 (You're the one you're the one) 
 And all my meaningless friendships should be done 
 I should just leave them alone 
 Baby hey hey 
 You had a friend but he did you wrong 
 But I'm a God sent sign that reads 
 Please move on with me 
 You taught me to use my heart and forget my eyes 
 (Use my heart forget my eyes) 
 And that's the way to his kingdom to eternal life 
 Since you're an angel baby your job's never done 
 Too bad the world won't see you when they dial 911 
 (That's why) 
 There's nothing else that I have seen 
 There's no getting around it or in between 
 You're out of this world 
 Except you're not green (look) 
 You don't know what you mean to me 
 To me 
 There's nothing else that I have seen 
 There's no getting around it or in between 
 You're out of this world 
 Except you're not green (look) 
 You don't know what you mean to me 
 To me 
 There's nothing else in this world 
 Like you 
 Yeah 
 So why is it so complicated 
 What are you afraid of 
 I've been asking everybody what they think 
 But I don't know why because they don't know you 
 I'm even askin other guys what would they say 
 I don't know why 'cause they don't know what I do 
 Girls say an ultimatums the thing 
 But you'd probably take that and just run 
 Now I gotta decide if I'ma help raise your mind 
 Seems like the ultimatums on me, that's no fun 
 I was just walking that day aimlessly 
 Da da da dum 
 Da da da dum 
 Da da da dum 
 Dum dum dum..."
7,Justin Timberlake,pop,Last Night,"I just want to enjoy my life 
 And show this world how to care 
 But nothing brings more joy to my life 
 Than knowing my girl will be there 
 Are you happy girl? 
 (Huh?) 
 Knowin' that you really broke my heart in a piece or two 
 (Huh?) 
 Knowin' that I would have walked across the ocean for you 
 Sayin' you're young and confused 
 Well that's a lame excuse 
 That's why the only one to blame is you, for... 
 Last night 
 Can't believe what I was hearing 
 Telling me to have a nice life 
 So tonight 
 I don't think I'll spare your feelings 
 (You're on your own) 
 I'ma do for me what's right 
 In your eyes I see a second chance 
 Maybe I should take another glance 
 But for now I'll wash my hands 
 'Cause I love you baby, love you baby 
 Pharrell say don't do it the same 
 But this man ain't playin' my games 
 But for you my soul still remains 
 'Cause I love you baby, love you baby 
 Are you happy girl? 
 (Huh?) 
 Knowin' that you really broke my heart in a piece or two 
 (Huh?) 
 Knowin' that I would have walked across the ocean for you 
 Sayin' you're young and confused 
 Well that's a lame excuse 
 That's why the only one to blame is you, for... 
 Last night 
 Can't believe what I was hearing 
 Telling me to have a nice life 
 So tonight 
 I don't think I'll spare your feelings 
 (You're on your own) 
 I'ma do for me what's right 
 I hope your thinking 
 (Remember girl when I was your man) 
 I hope it sinks in 
 (If you don't understand, you don't understand) 
 We're gonna stop dreaming (The way I feel) about you 
 Last night 
 Can't believe what I was hearing 
 Telling me to have a nice life 
 So tonight 
 I don't think I'll spare your feelings 
 (You're on your own) 
 I'ma do for me what's right 
 Last night 
 Can't believe what I was hearing 
 Telling me to have a nice life 
 So tonight 
 I don't think I'll spare your feelings 
 (You're on your own) 
 I'ma do for me what's right 
 I got something I wanna tell you girl 
 I hope your thinking 
 (Remeber girl when I was your man) 
 I hope it sinks in 
 (If you don't understand, you don't understand) 
 We're gonna stop dreaming (The way I feel) about you 
 Let me tell you one more time 
 I hope you're thinking 
 (Remember girl when I was your man) 
 I hope it sinks in 
 (If you don't understand, you don't understand) 
 We're gonna stop dreaming (The way I feel) about you 
 Oh baby, yeah yeah yeah yeah 
 See I ain't gonna be the one 
 Ain't gonna play these games with you 
 But I still love you 
 Remember girl when I was your man 
 And nothing gonna take that away 
 No no no no, no no no 
 See I remember, in December 
 We were walking holding hands 
 And I was your man 
 Can't we just get back to that?...Baby"
8,Justin Timberlake,pop,Still On My Brain,"Beautiful days are long gone 
 I can't seem to breathe 
 Feels like it hasn't been that long 
 Since you walked away from me 
 Now I can try to act real strong 
 But you and I both know 
 I still think of you that way 
 And you should know that... 
 Beautiful lights, the star-filled nights 
 They don't mean a thing 
 'Cause you are my star 
 So it don't seem right 
 Without you here with me 
 Now I can try to act real strong 
 But you and I both know 
 It's hard for me to say you were my soul 
 Now I could say that I don't love you no more 
 And I could say that I've closed the door... for our love 
 And I could tell you I feel it's time for us 
 To go our separate ways 
 But baby I just wouldn't be the same 
 'Cause girl you're love is still on my brain 
 Now when you're in love it takes time to heal 
 When someone has broken your heart it changes how you feel 
 Girl I... thought that you'd never do me that way 
 But even after all I still think of you that way, yeah 
 No, no... 
 Now I could say that I don't love you no more 
 (I could say this... I could say that) 
 And I could say that I've closed the door... for our love 
 (For our love) 
 And I could tell you I feel it's time for us 
 To go our separate ways 
 But baby I just wouldn't be the same 
 'Cause girl you're love is still on my brain (brain yeah) 
 Now love is a game 
 That we both like to play 
 Will I win or lose if I go or if I stay, yeah 
 Even though I try to hide 
 My broken heart inside 
 Girl you know me inside out 
 And I can't get you off my mind 
 Now I could say that I don't love you no more 
 (I could say that I... yeah, yeah) 
 And I could say that I've closed the door... for our love 
 (Closed the door) 
 And I could tell you I feel it's time for us 
 (I could tell you I feel it's time for us) 
 To go our separate ways (Oh no, no) 
 But baby I just wouldn't be the same (Wouldn't be the same) 
 'Cause girl you're love is still on my brain 
 (Still on my brain, yeah) 
 La-la-la-la-la, la-la, la-la, la-la 
 La-la-la-la-la, la-la, la-la, la-la 
 La-la-la-la-la, la-la, la-la, la-la 
 La-la, la-la, la-la, la-la 
 La-la-la-la-la, la-la, la-la, la-la-la-la 
 La-la, la-la, la-la, la-la, la-la, la-la-la-la"
9,Justin Timberlake,pop,(And She Said) Take Me Now,"Uh... 
 Uh... 
 Uh... 
 Watcha waiting for? 
 I know you're watching me 
 Hey boy, come on and take me now 
 Watcha waiting for? 
 I know you're watching me 
 Hey boy, come on and take me now 
 Can I talk to you for a minute? 
 You've been looking all night for your shining star 
 Well baby here I am, so why you waitin'? 
 Step on over, let me show you how bad you are 
 Just let me take the lead 
 All you gotta' do is let your mind be free 
 Lets hit the floor and cause a scene 
 Get real wet if you know what I mean 
 Watcha say baby? 
 (And she said) 
 Take me now 
 I'm hungry for your lovin' 
 (And she said) 
 Show me how 
 You got me workin', honey 
 (And she said) 
 Right now 
 I'm hot just like an oven 
 (And she said) 
 So take me now 
 Boy you make me feel like I gotta' dance 
 I gotta' dance, gotta' dance baby, gotta' dance... 
 I feel good to you, you try to hide it 
 But I can tell by the way you push up close to me 
 Your body temperature, is a-risin' 
 Something's going down as far as I can see 
 Just let me take the lead 
 All you gotta' do is let your mind be free 
 Lets hit the floor and cause a scene 
 Get real wet if you know what I mean 
 Watcha say baby? 
 (And she said) 
 Take me now 
 I'm hungry for your lovin' 
 (And she said) 
 Show me how 
 You got me workin', honey 
 (And she said) 
 Right now 
 I'm hot just like an oven 
 (And she said) 
 So take me now 
 Boy you make me feel like I gotta' dance 
 You know 
 Don't I 
 Say don't I make you feel like you gotta' dance 
 Once I get to know ya' 
 (No) 
 I'm gonna show ya' 
 (No) 
 That there's no better way 
 (Yeah) 
 Lets dance the night away 
 (Yeah) 
 I wanna control ya' 
 (No) 
 Just wanna hold ya' 
 (No) 
 Dance the night away 
 So what you say baby, what you say? 
 (What you saying to me) 
 (And she said) 
 Take me now 
 (Oh) 
 I'm hungry for your lovin' 
 (Hungry for you) 
 (And she said) 
 Show me how 
 (Oh) 
 You got me workin', honey 
 (Got me workin') 
 (And she said) 
 Right now 
 (Oh) 
 I'm hot just like an oven 
 (Hot just like an oven) 
 (And she said) 
 So take me now 
 Boy you make me feel like I gotta' dance 
 (And she said) 
 Take me now 
 (Oh) 
 I'm hungry for your lovin' 
 (Hungry for you) 
 (And she said) 
 Show me how 
 (Oh) 
 You got me workin', honey 
 (Got me workin') 
 (And she said) 
 Right now 
 (Oh) 
 I'm hot just like an oven 
 (And she said) 
 So take me now 
 (Yeah yeah baby!) 
 Boy you make me feel like I gotta dance 
 Like you gotta dance, like you gotta dance, like you gotta dance, no... 
 Like you gotta dance, like you gotta dance, like you gotta dance, no... 
 Here we go now 
 Oh, oh 
 Oh 
 Oh 
 Oh 
 Oh 
 Oh 
 Oh 
 Break it down! 
 I'm like a hurricane 
 Just coastin' along 
 You better grab me girl 
 (I hope you) tttake me now 
 I'm like a hurricane 
 Just coastin' along 
 You better grab me girl 
 (I hope you) take me now 
 I'm like a hurricane 
 Just coastin' along 
 You better grab me girl 
 (I hope you) tttake me now 
 I'm like a hurricane 
 Just coastin' along 
 You better grab me girl 
 Tttake me now 
 Take me now 
 I'm hungry for you lovin' 
 Show me how 
 You got me workin', honey 
 Right now 
 I'm hot just like an oven 
 So take me now 
 Take me now 
 Take me now 
 Take me now 
 I'm hungry for you lovin' 
 Show me how 
 You got me workin', honey 
 Right now 
 I'm hot just like an oven 
 So take me now 
 Boy you make me feel like I gotta dance"
