,0,1,2,3
0,Kanye West,hiphop,Intro (The College Dropout),"Kanye, can I talk to you for a minute? 
 Me and the other faculty members was wonderin', could you do a little som', somethin' beautiful? 
 Somethin' that the kids is gon' love when they hear it 
 That's gon' make them start jumpin' up and down and sharin' candy and stuff 
 Think you could probably do somethin' for the kids for graduation to sing?"
1,Kanye West,hiphop,We Don't Care,"Oh yeah, I've got the perfect song for the kids to sing 
 And all my people that's 
 Drug dealin' just to get by 
 Stack ya' money till it get sky high 
 We wasn't s'posed to make it past twenty-five 
 Joke's on you, we still alive 
 Throw your hands up in the sky and say 
 ""We don't care what people say"" 
 If this is your first time hearin' this 
 You are about to experience somethin' so cold, man 
 We never had nothin' handed, took nothin' for granted 
 Took nothin' from no man, man, I'm my own man 
 But as a shorty I looked up to the dopeman 
 Only adult man I knew that wasn't broke, man 
 Flickin' Starter coats, man 
 Man, you don't know, man 
 We don't care what people say 
 This is for my niggas outside all winter 
 'Cause this summer they ain't finna say, ""Next summer I'm finna"" 
 Sittin' in the hood like community colleges 
 This dope money here is little Trey's scholarship 
 'Cause ain't no tuition for having no ambition 
 And ain't no loans for sittin' your ass at home 
 So we forced to sell crack, rap, and get a job 
 You gotta do somethin' man, your ass is grown 
 Drug dealin' just to get by 
 Stack ya' money till it get sky high 
 Kids, sing, kids, sing 
 We wasn't s'posed to make it past twenty-five 
 Joke's on you, we still alive 
 Throw your hands up in the sky and say 
 ""We don't care what people say"" 
 The second verse is for my dogs workin' nine to five that still hustle 
 'Cause a nigga can't shine off $6.55 
 And everybody sellin' makeup, Jacob's and bootlegged tapes just to get they cake up 
 We put shit on layaway, then come back 
 We claim other people kids on our income tax 
 We take that money, cop work, then push packs to get paid 
 And we don't care what people say 
 Mama say she wanna move south 
 Scratchin' lottery tickets, eyes on a new house 
 'Round the same time, Doe ran up in dude house 
 Couldn't get a job, so since he couldn't get work, he figured he'd take work 
 The drug game bulimic, it's hard to get weight 
 A nigga's money is homo, it's hard to get straight 
 But we gon' keep bakin' till the day we get cake 
 And we don't care what people say, my niggas 
 Drug dealin' just to get by 
 Stack ya' money till it get sky high 
 Kids, sing, kids, sing 
 We wasn't s'posed to make it past twenty-five 
 Joke's on you, we still alive 
 Throw your hands up in the sky and say 
 ""We don't care what people say"" 
 You know the kids gon' act a fool 
 When you stop the programs for after-school 
 And they DCFS, some of 'em dyslexic 
 They favorite 50 Cent song ""12 Questions"" 
 We scream, ""Rocks, blow, weed, park,"" see, now we smart 
 We ain't retards, the way teachers thought 
 Hold up, hold fast, we make more cash 
 Now tell my mama I belong in that slow class 
 Sad enough we on welfare 
 They tryna put me on the school bus with the space for the wheelchair 
 I'm tryna get the car with the chromie wheels here 
 They tryna cut our lights out like we don't live here 
 Look what was handed us, fathers abandoned us 
 When we get them hammers, go on, call the ambulance 
 Sometimes I feel no one in this world understands us 
 But we don't care what people say, my niggas 
 Drug dealin' just to get by 
 Stack ya' money till it get sky high 
 Kids, sing, kids, sing 
 We wasn't s'posed to make it past twenty-five 
 Joke's on you, we still alive 
 Throw your hands up in the sky and say 
 ""We don't care what people say"""
2,Kanye West,hiphop,Graduation Day,"What in the fuck was that Kanye? I told you to do some shit for the kids. 
 You give me your muthafuckin' graduation ticket right now. 
 You can give me this muthafuckin' robe 
 You will not walk across that stage, you won't slide across that stage 
 A muthafucker can't pull you across that muthafuckin' stage Kanye 
 Who told you see, I told you to do something uplifting 
 I'm tryin' to get you out here with these white people and this how you gone do me 
 You know what, you's a nigga 
 And I don't mean that in no nice way 
 Had little kids singin' about the shit, the joke's on you 
 You can throw your muthafuckin' hands in the air, and wave good-bye to every-fuckin'-body 
 Cause you getting the fuck out of this campus 
 Fucker what you gone do now 
 I'm no longer confused but don't tell anybody. 
 I'm about to break the rules but don't tell anybody. 
 I got something better than school but don't tell anybody. 
 My daddy would kill me so don't tell anybody. 
 He wants me to get a good ass job just like everybody. 
 He ain't walked in my shoes, I'm just not everybody."
3,Kanye West,hiphop,All Falls Down,"Syleena Johnson and Kanye West: 
 Oh when it all, it all falls down (Yeah, this the real one baby) 
 I'm tellin' you all, it all falls down (Chi-Town stand up) 
 Oh when it all, it all falls down (Southside, southside, we gon' set this party off right) 
 I'm telling you all, it all falls down (Westside, westside, we 'gon set this party off right) 
 Oh when it all 
 Kanye West: 
 Man I promise, she's so self-conscious 
 She has no idea what she's doing in college 
 That major that she majored in don't make no money 
 But she won't drop out, her parents will look at her funny 
 Now, tell me that ain't insecure 
 The concept of school seems so secure 
 Sophomore, three yurrs, ain't picked a career 
 She like, ""Fuck it, I'll just stay down here and do hair"" 
 'Cause that's enough money to buy her a few pairs of new Airs 
 'Cause her baby-daddy don't really care 
 She's so precious with the peer pressure 
 Couldn't afford a car so she named her daughter Alexis 
 She had hair so long that it looked like weave 
 Then she cut it all off, now she look like Eve 
 And she be dealin' with some issues that you can't believe 
 Single black female addicted to retail and well 
 Syleena Johnson and Kanye West: 
 Oh when it all, it all falls down 
 (And when it all falls down who you gonna call now?) 
 I'm tellin' you all, it all falls down (C'mon, c'mon) 
 (And when it falls down) Oh when it all 
 Kanye West: 
 Man I promise, I'm so self-conscious 
 That's why you always see me with at least one of my watches 
 Rollies and Pasha's done drove me crazy 
 I can't even pronounce nothing, pass that ver-say-see 
 Then I spent four-hundred bucks on this 
 Just to be like, ""Nigga you ain't up on this"" 
 And I can't even go to the grocery store 
 Without some Ones that's clean and a shirt with a team 
 It seems we living the American dream 
 But the people highest up got the lowest self-esteem 
 The prettiest people do the ugliest things 
 For the road to riches and diamond rings 
 We shine because they hate us, floss 'cause they degrade us 
 We trying to buy back our forty acres 
 And for that paper, look how low we a stoop 
 Even if you in a Benz, you still a nigga in a coupe 
 Syleena Johnson and Kanye West: 
 Oh when it all, it all falls down (C'mon, c'mon) 
 (And when it falls down who you gonna call now?) 
 I'm tellin' you all, it all falls down (C'mon, c'mon) 
 (And when it falls down) Oh when it all 
 Kanye West: 
 I say fuck the police, that's how I treat 'em 
 We buy our way out of jail, but we can't buy freedom 
 We-a buy a lot of clothes, but we don't really need 'em 
 Things we buy to cover up what's inside 
 'Cause they make us hate ourself and love they wealth 
 That's why shorties holler, ""Where the ballers at?"" 
 Drug dealer buy Jordans, crackhead buy crack 
 And a white man get paid off of all of that 
 But I ain't even gonna act holier than thou 
 'Cause fuck it, I went to Jacob with twenty-five thou 
 Before I had a house and I'd do it again 
 'Cause I want to be on 106 and Park pushin' a Benz 
 I want to act ballerific like it's all terrific 
 I got a couple past due bills, I won't get specific 
 I got a problem with spendin' before I get it 
 We all self-conscious, I'm just the first to admit it 
 Syleena Johnson and Kanye West: 
 Oh when it all, it all falls down (Yeah, c'mon, c'mon) 
 (And when it all falls down who you gonna call now?) 
 I'm tellin' you all, it all falls down (C'mon, c'mon 
 (And when it falls down) 
 Oh when it all, it all falls down (Southside, southside, we gon' set this party off right) 
 I'm telling you all, it all falls down (Westside, westside, we gon' set this party off right) 
 Oh when it all, it all falls down (Chi-Town, Chi-Town, we gon' show 'em how we get down) 
 I'm tellin' you all, it all falls down (Now Syleena, you just like a safe belt, you saved my life) 
 Oh when it all, it all falls down 
 I'm tellin' you all, it all falls down 
 DeRay Davis: 
 I's can't keep working like this 
 This grave shift is like a slave shift"
4,Kanye West,hiphop,I'll Fly Away,"Tony Williams and DeRay Davis: 
 One glad morning 
 When this life is over 
 I'll fly away 
 To a land where 
 Joy shall never end 
 I'll fly away 
 Oh I'll fly away, oh glory 
 I'll fly away 
 When I die hallelujah bye and bye 
 I'll fly away"
5,Kanye West,hiphop,Spaceship,"Kanye West, Marvin Gaye, and GLC: 
 I've been workin' this graveshift and I ain't made shit (Yeah, yeah) 
 I wish I could buy me a spaceship and fly (Heavens knows) (Me too, I swear I do) 
 Past the sky (Every night, every night) (Yes, I feel you Ye, I feel you) 
 I've been workin' this graveshift and I ain't made shit 
 I wish I could buy me a spaceship and fly (Heavens knows) 
 Past the sky (Every night, every night) 
 Kanye West: 
 Man, man, man 
 If my manager insults me again, I will be assaulting him 
 After I fuck the manager up then I'm gonna shorten the register up 
 Let's go back, back to the Gap, look at my check, wasn't no scratch 
 So if I stole, wasn't my fault, yeah I stole, never got caught 
 They take me to the back and pat me askin' me about some khakis 
 But let some black people walk in, I bet you they show off their token blackie 
 Oh now they love Kanye, let's put him all in the front of the store 
 So I'm on break next to the ""No Smokin'"" sign with a blunt in the mall 
 Takin' my hits, writing my hits, writin' my rhymes, playin' my mind 
 This fuckin' job can't help him so I quit, y'all welcome 
 Y'all don't know my struggle, y'all can't match my hustle 
 You can't catch my hustle, you can't fathom my love 
 Dude, lock yourself in a room doing five beats a day for three summers 
 That's a Different World like Cree Summer's, I deserve to do these numbers 
 ""The kid that made that deserves that Maybach"" 
 So many records in my basement, I'm just waiting on my spaceship, wow 
 Kanye West, Tony Williams, and Marvin Gaye: 
 I've been workin' this graveshift and I ain't made shit 
 I wish I could buy me a spaceship and fly (Heavens knows) 
 Past the sky (Every night, every night) 
 I've been workin' this graveshift and I ain't made shit 
 I wish I could buy me a spaceship and fly (Heavens knows) 
 Past the sky (Every night, every night) 
 GLC: 
 And I didn't even try to work a job, represent the mob at the same time 
 Thirsty on the grind, Chi state of mind, lost my momma, lost my mind 
 My life, my love, that's not mine, ""Why you ain't signed?"" Wasn't my time 
 Leave me alone, work for y'all, half of it's yours, half of it's mine 
 Only one to ball, never one to fall, got to get mine, got to take mine 
 Got a Tec-9, reach my prime, got to make these haters respect mine 
 In the mall until twelve when my schedule had said nine 
 Putting them pants on shelves waiting patiently I ask myself 
 Where I want to go, where I want to be 
 Life is much more than running in the streets 
 Holla at Ye, hit me with the beat 
 Put me on my feet, sound so sweet 
 Yes I'm the same ol' G, same goatee, staying low key, nope 
 Holler at God, ""Man why'd you have to take my folks?"" 
 Hope to see Freddie G., Yusef G, love my G 
 Rolly G., police watch me smoke my weed, count my G's 
 Got a lot of people counting on me and I'm just trying to find my peace 
 Should've finished school like my niece then I finally wouldn't use my piece, blow 
 Aw man, this pressure 
 Kanye West, Tony Williams, and Marvin Gaye: 
 I've been workin' this graveshift and I ain't made shit 
 I wish I could buy me a spaceship and fly (Heavens knows) 
 Past the sky (Every night, every night) 
 I've been workin' this graveshift and I ain't made shit 
 I wish I could buy me a spaceship and fly (Heavens knows) 
 Past the sky (Every night, every night) 
 Consequence: 
 Man, you know you gon' do it 
 I remember having to take the dollar cab, coming home real late at night 
 Standing on my feet all damn day trying to make this thing right 
 And having one of my co-workers say ""Yo, you look just like 
 This kid I seen in an old Busta Rhymes video the other night"" 
 Well easy come, easy go, how that saying goes 
 No more broad service, cars, and them TV shows 
 I had all that snatched from me, A&Rs and they faculties 
 All turn their back on me and didn't want to hear a rap from me 
 So naturally actually had to face things factually 
 Had to be a catastrophe with the fridges staring back at me 
 'Cause nothing's there, nothing's fair 
 I don't want to ever go back there 
 So I won't be taking no days off till my spaceship takes off 
 Kanye West, Tony Williams, and Marvin Gaye: 
 I've been workin' this graveshift and I ain't made shit 
 I wish I could buy me a spaceship and fly (Heavens knows) 
 Past the sky (Every night, every night) 
 I've been workin' this graveshift and I ain't made shit 
 I wish I could buy me a spaceship and fly (Heavens knows) 
 Past the sky (Every night, every night) 
 Tony Williams: 
 I want to fly, I want to fly 
 I said I want my chariot to pick me up and take me, brother, for a ride 
 Heaven knows, heaven knows"
6,Kanye West,hiphop,Jesus Walks,"Yo 
 We at war 
 We at war with terrorism, racism 
 And most of all, we at war with ourselves 
 (Jesus walk) God show me the way because the devil's tryna break me down 
 (Jesus walk with me, with me, with me, with me, with me) Yeah, uh 
 Kanye West and Curtis Mayfield: 
 You know what the Midwest is? Young and restless 
 Where restless (niggas) might snatch your necklace 
 And next these (niggas) might jack your Lexus 
 Somebody tell these (niggas) who Kanye West is 
 I walk through the valley of the Chi where death is 
 Top floor the view alone will leave you breathless 
 Try to catch it, it's kinda hard getting choked by detectives, yeah, yeah, now check the method 
 They be askin' us questions, harass and arrest us 
 Sayin' ""We eat pieces of shit like you for breakfast"" 
 Huh? Y'all eat pieces of shit? What's the basis? 
 We ain't going nowhere but got suits and cases 
 A trunk full of coke, rental car from Avis 
 My mama used to say only Jesus can save us 
 Well mama I know I act a fool 
 But I'll be gone till November, I got packs to move, I hope 
 Kanye West: 
 (Jesus walks) God show me the way because the devil trying to break me down 
 (Jesus walk with me) The only thing that I pray is that my feet don't fail me now 
 (Jesus walk) And I don't think there's nothing I can do to right my wrong 
 (Jesus walk with me) I wanna talk to God but I'm afraid because we ain't spoke in so long 
 (I want Jesus) 
 (Jesus walks) God show me the way because the devil trying to break me down 
 (Jesus walk with me) The only thing that I pray is that my feet don't fail me now 
 (Jesus walk) And I don't think there's nothing I can do to right my wrong 
 (Jesus walk with me) I wanna talk to God but I'm afraid because we ain't spoke in so long 
 (I want Jesus) 
 Kanye West and John Legend: 
 Uh, to the hustlers, killers, murderers, drug dealers, even the scrippers (Jesus walks for them) 
 To the victims of welfare for we livin' in Hell here, hell yeah (Jesus walks for them) 
 Now, hear ye, hear ye, want to see thee more clearly 
 I know he hear me when my feet get weary 
 'Cause we're the almost nearly extinct 
 We rappers is role models, we rap, we don't think 
 I ain't here to argue about his facial features 
 Or here to convert atheists into believers 
 I'm just tryna say the way school need teachers 
 The way Kathie Lee needed Regis, that's the way I need Jesus 
 So here go my single dog, radio needs this 
 They say you can rap about anything except for Jesus 
 That means guns, sex, lies, videotape 
 But if I talk about God my record won't get played, huh? 
 Well if this take away from my spins 
 Which'll probably take away from my ends 
 Then I hope this take away from my sins 
 And bring the day that I'm dreamin' about 
 Next time I'm in the club, everybody screamin' out 
 Kanye West: 
 (Jesus walk) God show me the way because the devil trying to break me down 
 (Jesus walk with me) The only thing that I pray is that my feet don't fail me now"
7,Kanye West,hiphop,Never Let Me Down,"Jay-Z: 
 Oh baby 
 Hahahahaha, turn it up for me 
 Jay-Z, Kanye West, and Michael Bolton: 
 When it comes to being true, at least true to me (That's right, it's what I do, c'mon) 
 One thing I found (Uh-huh), one thing I found 
 Oh no you'll never let me down (No I never let you down) 
 Get up I get (Down), get up I get (Down) 
 Get up I get (Down), get up I get (Down) 
 Get up I get (Down), get up I get (Down) 
 Jay-Z: 
 Yo, first I snatched the streets then I snatched the charts 
 First I had they ear, now I have their heart 
 Rappers came and went, I've been here from the start 
 I seen them put it together, watched them take it apart 
 Seen the rovers roll up with ribbons 
 I seen them re-po'd, re-sold, then re-driven 
 So when I reload, he holds number one position, when you hot, I'm hot 
 And when your feet cold, mines is sizzling 
 It's plain to see, niggas can't fuck with me 
 'Cause I'm a be that nigga for life 
 This is not an image, this is God given 
 This is hard livin', mixed with Cristal sippin' 
 It's the most consistent, Hov 
 Give you the most hits you can fit inside a whole disc and 
 Nigga I'm home on these charts, y'all niggas visitin' 
 It's Hov tradition, Jeff Gordon of rap 
 I'm back to claim pole position, holla at ya boy 
 Jay-Z, Kanye West, and Michael Bolton: 
 Get up I get (Down), get up I get (Down) 
 Get up I get (Down), get up I get 
 Kanye West: 
 Down for my grandfather who took my mama 
 Made her sit in that seat where white folks ain't want us to eat 
 At the tender age of six she was arrested for the sit-ins 
 And with that in my blood I was born to be different 
 Now niggas can't make it to ballots to choose leadership 
 But we can make it to Jacob's and to the dealership 
 Swear I hear new music and I just don't be feelin' it 
 Racism's still alive, they just be concealin' it 
 But I know they don't want me in the damn club 
 They even made me show ID to get inside of Sam's Club 
 I done did dirt and went to church and get my hands scrubbed 
 Swear I've been baptized least three or four times 
 But in the land where niggas praise Yukons and getting paid 
 It's gonna take a lot more than coupons to get us saved 
 Like it take a lot more than doo rags to get you waves 
 Nothing sad as that day my girl's father passed away 
 So I promised to Mr. Rainey I'm gonna marry your daughter 
 And you know I gotta thank you for the way that she was brought up 
 And I know that you were smiling when you see the car I bought her 
 You sent tears from heaven when you seen my car get balled up 
 But I can't complain what the accident did to my left eye 
 'Cause look what an accident did to Left Eye 
 First Aaliyah now Romeo must die 
 I know I got angels watching me from the other side 
 Jay-Z, Kanye West, and Michael Bolton: 
 When it comes to being true, at least true to me 
 One thing I found, one thing I found 
 Oh no you'll never let me down 
 Get up I get (Down), get up I get (Down) 
 Get up I get (Down), get up I get (Down) 
 Get up I get (Down), get up I get (Down) 
 J. Ivy and Kanye West: 
 We are all here for a reason on a particular path 
 You don't need a curriculum to know that you are a part of the math 
 Cats think I'm delirious but I'm so damn serious 
 That's why I expose my soul to the globe; the world 
 I'm trying to make it better for these little boys and girls 
 I'm not just another individual 
 My spirit is a part of this that's why I get spiritual 
 But I get my hymns from Him 
 So it's not me, it's He that's lyrical 
 I'm not a miracle, I'm a heaven sent instrument 
 My rhythmatic regiment navigates melodic notes 
 For your soul and your mental 
 That's why I'm instrumental, vibrations is what I'm into 
 Yeah I need my loot by rent day 
 But that ain't what gives me the heart of Kunta Kinte 
 I'm trying to get us ""us free"" like Cinque 
 I can't stop, that's why I'm hot 
 Determination, dedication, motivation 
 I'm talking to you of my many inspirations 
 When I say I can't let you or self down 
 If I were on the highest cliff, on the highest riff 
 And if you slipped off the side and clinched on to your life 
 In my grip I would never ever let you down 
 And when these words are found 
 Let it be known that God's penmanship has been signed 
 With a language called love 
 That's why my breath is felt by the deaf 
 And while my words are heard and confined to the ears of the blind 
 I too dream in color and in rhyme 
 So I guess I'm one of a kind in a full house 
 'Cause whenever I open my heart, my soul or my mouth 
 A touch of God reigns out (Take'em to the church) 
 Jay-Z, Kanye West, and Michael Bolton: 
 When it comes to being true, at least true to me 
 One thing I found, one thing I found 
 Oh no you'll never let me down 
 Get up I get, get up I get 
 Get up I get, get up I get 
 Get up I get, get up I get (down) 
 Jay-Z and Kanye West: 
 Who else you know been hot this long (Oh yeah, we ain't finished) 
 Started from nothing but he got this strong (The Roc is in the building) 
 Built the ROC from a pebble, peddled rock before I met you 
 Peddled bikes, got my nephews pedal bikes because they special (Woo) 
 Let you tell it man I'm falling, well somebody must have caught him 
 Every fourth quarter, I like to Mike Jordan them 
 Number one albums what I got, like four of them 
 More of them on the way, the eighth wonder on the way 
 Clear the way, I'm here to stay 
 Y'all can save the chitter chat, this and that 
 This is Jay, dissing Jay will get you maced 
 When I start spitting them lyrics niggas get very religious 
 Six Hail Mary's please Father forgive us 
 Young, the archbishop, the Pope John Paul of y'all niggas 
 They way y'all all follow Jigga 
 Hov's a living legend and I'll tell you why 
 Everybody wanna be Hov and Hov's still alive 
 Michael Bolton: 
 Down, down 
 Down, down 
 Down, down"
8,Kanye West,hiphop,Get Em High,"Kanye West: 
 Uh, uh, I'm trying to catch the beat 
 Uh, I'm trying to catch the beat 
 I'm trying to catch the beat 
 Uh, uh, I'm trying to catch the beat 
 N-now, th-th-throw your motherfuckin' hands, get 'em high 
 All the girls pass the weed to your motherfuckin' man, get 'em high 
 Now I ain't never tell you to put down your hands, keep 'em high 
 And if you're losin' your high then smoke again, keep 'em high 
 N-n-n-now, my flow is in the pocket like wallets, I got the bounce like hydraulics 
 I can't call it, I got the swerve like alcoholics 
 My freshman year I was going through hella problems 
 Till I built up the nerve to drop my ass up out of college 
 My teacher said I's a loser, I told her, ""Why don't you kill me?"" 
 I give a fuck if you fail me, I'm gonna follow 
 My heart, and if you follow the charts or the plaques or the stacks 
 You ain't gotta guess who's back, you see 
 I'm so shy that you thought I was bashful 
 But this bastard's flow will bash your skull 
 And I will, cut your girl like Pastor Tro' 
 And I don't, usually smoke but pass the 'dro 
 And I won't, give you that money that you asking for 
 Why you think me and Dame cool? We assholes 
 That's why we hear your music in fast forward 
 'Cause we don't wanna hear that weak shit no mo' 
 N-now, th-th-throw your motherfuckin' hands, get 'em high 
 All the girls pass the weed to your motherfuckin' man, get 'em high 
 Now I ain't never tell you to put down your hands, keep 'em high 
 And if you're losin' your high then smoke again, keep 'em high 
 Kanye West and Sumeke Rainey: 
 N-n-n-n-n-now who the hell is this, e-mailing me at 11:26? 
 Telling me that she 36-26, plus double-d 
 You know how girls on Black Planet be when they get bubbly 
 At NYU but she hail from Kansas 
 Right now she just lamping, chilling on campus 
 Sent me a picture of her feelin' on Candice 
 Who said her favorite rapper was the late great Francis 
 W-H-I-T-E, it's getting late mami 
 Your screen saver say tweet, so you got to call me 
 And bring a friend for my friend, his name Kweli 
 (You mean Talib? Lyrics sticks to your rib) 
 I mean, (That's my favorite CD that I play at my crib) 
 I mean, (You don't really know him, why is you lyin'?) 
 Yo Kwe, she don't believe me, please pick up the line 
 She gon' think that I'm lyin', just spit a couple of lines 
 Then maybe I'll be able to give her dick all the time and get her high 
 Talib Kweli and Common: 
 Yeah, I can't believe this nigga use my name for picking up dimes 
 But never mind, I need some tracks, you tryin' to pull tracks out 
 And my rhymes is finna blow, you trying to blow backs out 
 Well okay, you twisted my arm, I'll assist with the charm 
 Ayo, ain't you meet that chick at that conference with your moms? 
 And sister's the bomb, boy she got the bougie behavior 
 Always got something to say like a okay playa hater, yeah 
 Anyway, I don't usually fuck with the Internet 
 Or chicks with birth control stuck to they arm like Nicorette 
 You really fuckin' that much or trying to get off cigarettes? 
 If she think it's fly, she ain't met a real nigga yet 
 Now I apologize if I come off a little inconsiderate 
 I got the bubba kush and a sister could get a hit of it (Yo, yo) 
 Common: 
 Get 'em high like noon or the moon 
 Or a room filled with smoke, a hype filled with dope 
 Y'all assumed I was doomed, out of tune 
 But I still filled the notes with real nigga quotes 
 Real rappers is hard to find, like a remote 
 Control rap is out of 
 Used to, but still got love 
 That's why I abuse you who are not thugs, rock clubs like Tiger 
 Woods in the hood, to have my own reality show, called Soul Survivor 
 I stole on liver, niggas than you 
 You's a bitch I got ones that are thicker than you 
 How could I ever let your words affect me? 
 They say hip hop is dead, I'm here to resurrect me 
 Marsha's too sexy to even make songs like these 
 That's why the raw don't know your name, like Alicia Keys 
 Too many featured emcees, and producers is popular 
 Twelve thousand spins, nobody got to coppin' a 
 Album, how come? You the hot garbage of 
 The year's clear your image and snooped up 
 Label got you souped up, tellin' you you sick 
 When you a dick with a loose nut 
 Video hard to watch like Medusa 
 Even your club record need a booster 
 Chimped up, with a pimp cup, illiterate nigga 
 Read the infra-red across your head, I'm bred king like Simba 
 Bolder than Denver, I ain't a Madd Rapper, just an emcee with a temper 
 You dancing for money like Honey, I did this my way 
 So when the industry crash, I survive like Kanye 
 Spittin' through wires and fires, emcees retirin' 
 Got your hands up, get them motherfuckers higher then 
 Kanye West: 
 N-now, th-th-throw your motherfuckin' hands, get 'em high (Yeah) 
 All the girls pass the weed to your motherfuckin' man, get 'em high 
 Now I ain't never tell you to put down your hands, keep 'em high 
 And if you're losin' your high then smoke again, keep 'em high"
9,Kanye West,hiphop,Workout Plan,"Ay what's up girl? 
 (Hey girl) 
 (Hey, how you doin'?) 
 Ay you know I finally got my shit together, been watchin' that workout plan girl 
 (Well you lookin' all good and stuff, you got you a) 
 Girl I know it's that workout 
 (Got you a six pack Shakur and stuff) 
 Don't say it 
 (Yo my nigga, my nigga, I'm tired of puttin' 1-8-7 in my nigga's pager that shit ain't workin' no more) 
 Girl you know I'mma video hofessional now 
 Since I copped this new workout plan my shit is right rollin' in Lexus, Acuras everything girl 
 (Girl you need to let me know where I can cop that, how much is it?) 
 Girl you know you ain't gotta pay nothin' around me I'm the bootleg queen 
 I'll give it to you for free.99 
 (FREE.99?) 
 (That's my dawg you always lookin' out for us) 
 (Now I can throw away my bus pass and shit oh my God) 
 (Oh shit)"
