,0,1,2,3
0,Kendrick Lamar,hiphop,Is It Love,"(Angela McCluskey (Kendrick Lamar)) 
 Sit still and close your eyes (smoke to it) 
 What's behind the other door? Oh-oh 
 No more silence (no more silence) 
 Don't kill this thing we got called love (don't shoot) 
 Just searching for the perfect shot 
 (Chorus: Angela McCluskey) 
 When love comes calling, don't look back 
 When love comes calling, don't look away 
 When love comes calling, don't look back 
 When love comes calling, don't look away 
 (Kendrick Lamar (Angela McCluskey)) 
 I used to write rhymes all day and all night 
 When y'all was playing PlayStation, my pencil was erasing lines 
 My conscience only knew what's half-tight 
 At 3:14, it's time to get me a slice my nigga 
 This is a dog's fight my nigga 
 The soundtrack to life my nigga 
 Kendrick Lamar, his momma called him that 
 He watched House Party and ate Apple Jacks 
 He sold Sega games, his cousin sold crack 
 He pumped Reeboks, his uncles pumped packs 
 Punk fake, jump-shot, ball hit the back 
 Ball dreams of being point guard was off limits Jack 
 That's because these Compton streets was built not to win 
 You killed the nigga, I stole a bible, is that a sin? 
 Part of me though, I'm searching for answers (just searching for the perfect shot) 
 The good kid from the ugly city that's mad that he's had some 
 Where is the love? 
 (Chorus: Angela McCluskey (Kendrick Lamar)) 
 When love comes calling, don't look back 
 When love comes calling, don't look away (where is the love?) 
 When love comes calling, don't look back 
 When love comes calling, don't look away 
 (Kendrick Lamar (Angela McCluskey)) 
 Give me rings, give me chains mayne 
 Give me a blue Benz, red Porsche, red Range 
 Give me black bitches, white hoes, new clothes 
 A mansion with marble floors and security codes 
 Then give me some landa, or maybe I'll land a 
 G5, clear port, say hello to the man 
 Give me awards, Grammies, and let the crowd applaud 
 My name till they strain the veins in they vocal chords 
 Give me fame and fortune, me and Trump on golf courses 
 With that being said, give me Tiger's sports endorsements 
 Give me billboards, whatever that people would kill for 
 Manhattan at 40/40, no forties but rose poured 
 Give me vanity, give me Kurt Cobain sanity 
 Give me a city where Channel 7 newscasters' cameras be 
 Give me horror like Amity, no, give me the charts (just searching for the perfect shot) 
 And if you ever renege, I'll still give you Kendrick Lamar 
 This is me, and that's love 
 (Chorus: Angela McCluskey) 
 When love comes calling, don't look back 
 When love comes calling, don't look away 
 When love comes calling, don't look back 
 When love comes calling, don't look away 
 (Kendrick Lamar) 
 Now everybody smoke to it 
 For this is, the celebration"
1,Kendrick Lamar,hiphop,Celebration,"Gimme that beat, fool 
 This a full time jack, no really this a Sounwave track 
 So really I ain't gotta steal nothing all I gotta do is kill it when you press record button let the paralyzed feel it 
 I came back with a full time swag and the critics thought they had me 
 Nah, I just bought more batteries 
 Turned up supercharged, a medium away from livin' large 
 Matter fact, where my niggas at? 
 Where my bitches with them pretty weaves? 
 Enemies bleed on the maxi pad, pussy you fucked with the wrong one I'm on one I'll make sure your kids breathe ammonia 
 Good kid, mad city evil in my heart from the blood niggas fuckin' with me crip niggas tryna kill me 
 Malcolm X mind state, if I raise the crime rate, it's a legitimate reason why I put on repeat Kanye's ""Touch The Sky"" 
 But I'll be looking passed that I'm tryna touch god 
 My heart to the heavens, the rebel of the reverend 
 Y'all married to the game well I'm bout to crash weddings 
 I put a lot of pain in the shit I write 
 If you goin' through something, this is shit you recite 
 This is bigger than life 
 This is Kendrick Lamar 
 This is Jimi Hendrix guitar on tall [?] I mean war like that 
 Yeah, straight like that 
 In 2010 I'm tryna ball, nigga! 
 Like shooting jumpshots in the mall, nigga! 
 That's a quote from Ab-Soul I suppose since you laugh that's the ultimate goal 
 On behalf of the Top Dawg conglomerate 
 Shall stay anonymous 
 Searchin' 7 continents accomplishing big shit 
 Big ass, big tits she on me 
 And just to get to me she'll fuck the homies-homie's homies 
 The life of a cool nigga 
 My nigga Tony said ""just do you, nigga!"" 
 Sure improve, nigga 
 And they gon' play you for a fool that's for sure till they know you got the stankiest stew, nigga! 
 I ain't trippin' I'm just tippin' on fo-fo's back in the city and tippin' on 4 hoes 
 That boy got a cold cold 
 He's sick con, slick on 
 Drop red jewels like a school bar mitzvah 
 Ooh 
 Straight like that 
 Why y'all complain about OG's? 
 I don't look at a legend and say you owe me 
 Not Snoop not Dre not Ice Cube 
 I don't care me and quik went to the same school 
 I look at the mirror and do it myself like a self made nigga 
 I don't need a maid, nigga 
 Do I need a cosign from Dre or Jigga? 
 They can make me much bigger, but do I need 'em though? 
 I just made a flow 
 The type of shit that make you think you seen Pac ghost ""Me Against The World"" on you motherfuckers 
 I got my back against the wall and a .45, dog get smoked, Chris Tucker 
 Uh, tryna record my steelo 
 Even when I'm not there just like TiVo 
 The hoes tell me that I got a real big ego 
 And weed move slow right now but E go 
 You know what I'm talkin' bout? 
 I look at your Audemars to put y'all in time out 
 It's time to unveil the real and your careers bout as frail as Ms. Winehouse 
 Just salute brother [?] and pull the wine out 
 Ooh, just like that"
2,Kendrick Lamar,hiphop,P & P,"Kendrick Lamar: 
 Oh, what up hoe? Oh, what up? 
 I said, oh, what up hoe? Oh, what up? 
 I said, oh, what up hoe? Oh, what up? 
 Well all right 
 I'm going through something with life 
 Where pussy and Patron make you feel all right 
 Pussy and Patron make you feel all right 
 Pussy and Patron, that's some great advice 
 I'm going through something with life 
 Where pussy and Patron make you feel all right 
 Pussy and Patron make you feel all right 
 Pussy and Patron, that's some great advice 
 Welcome to my diary, stressing got me gray hairs 
 Something to inspire me, rather than society's 
 Woes, let me go, let me shine a lil' bit love 
 I want diamonds too, Ronnie on Player's Club 
 I used to have a nine-to-five, fresh out of school, that was '05 
 That bitch was racist, got me fired, ever since then, I had no job 
 Pushing in my mama van, stop for gas on Rosecrans 
 Trust me, these niggas rushed me for something my cousin probably did 
 Guilty by association, story of my life nigga! 
 You gon' make me flip, then split yo' shit, judge give me life nigga! 
 Pain since my grandma's death, uncle killed at Louie's Burgers 
 Hold my tears, I tried my best, let it go, drench my pullover 
 Cycles of a starving artist tryna go beyond the margin-margin 
 Maintaining my modest-modest as I dream 
 So while I go through all-this-all-this, bullshit what you call it 
 Life itself, I know it helps, let me scroll through my Blackberry 
 I'm going through something with life 
 Where pussy and Patron make you feel all right 
 Pussy and Patron make you feel all right 
 Pussy and Patron, that's some great advice 
 I'm going through something with life 
 Where pussy and Patron make you feel all right 
 Pussy and Patron make you feel all right 
 Pussy and Patron, that's some great advice 
 I said, keep reading my diary when my life's entirely 
 Surrounded by the irony of living in the city 
 I said they wouldn't hire me, I said I got my ass beat 
 And the only thing can help is ass and some titties 
 So what's up baby? I said what's up? 
 I had a long day and I really wanna fuck 
 See I ain't tryna think about no phone bills, credit card late fees 
 Capital One popping up on my caller I.D. 
 Pawning my chain in the shop, watching for hollow tip shots 
 Watching my vehicle break down on another man's block 
 Man, that's my worst fear, ain't that your worst fear? 
 You know when your transmission go out and can't switch gears 
 Or run through a pothole at two in the morning 
 Scared to hit your emergencies, 'cause then they'll be on it 
 See I know, when the harsh reality takes toll 
 Open up your contacts, then scroll (""hey what's up daddy? "") 
 I'm going through something with life 
 Where pussy and Patron make you feel all right 
 Pussy and Patron make you feel all right 
 Pussy and Patron, that's some great advice 
 I'm going through something with life 
 Where pussy and Patron make you feel all right 
 Pussy and Patron make you feel all right 
 Pussy and Patron, that's some great advice 
 Ab-Soul: 
 Welcome to my diary, hmm, where should I begin? 
 Finna get a swisher and fill it with at least a gram 
 Crackers watch my every step, better yet they work my every nerve 
 Cutting me this worthless check, the concept is so absurd 
 Like a church in debt, a turtle in a turtleneck 
 Convertibles with turbo jets fueled by 7 Up and Prometh' 
 I feel like death's around the corner like the quickest wide receiver 
 So I took another shot, tequila hit me like a nina (blaow!) 
 My sky's gray, my bitch is brighter 
 Always saying ""Lights Please"", J. Cole's her ghostwriter 
 And I'm the God MC, join my diocese 
 Free ya mind, don't mind so-ciety 
 And finally, everyone got their own problems 
 Everything's subject to change like broken dollars 
 I'm a, drown in my drink and swim in woman's vagina 
 Like a Piranha fin, it gets harder than Rihanna when 
 Kendrick Lamar: 
 I'm going through something with life 
 Where pussy and Patron make you feel all right 
 Pussy and Patron make you feel all right 
 Pussy and Patron, that's some great advice 
 I'm going through something with life 
 Where pussy and Patron make you feel all right 
 Pussy and Patron make you feel all right 
 Pussy and Patron, that's some great advice"
3,Kendrick Lamar,hiphop,She Needs Me,"(Kendrick Lamar) 
 One time 
 Reporting live, Compton, California 
 She go to work, she go to school 
 Her body smooth, no tattoos 
 Type of girl that make your mother feel comfortable 
 My pops love her too, she's compatible 
 She's independent, she handle her business 
 She believe in God and no other religions 
 Never in competition when it comes to her friends 
 She's dependable, she set her own trends 
 A confidant, a mediator 
 So sweet, every flavor 
 Just a conversation with her, doing you a favor 
 Look at her hips, I want to be her pager 
 Conservative, affirmative 
 Action when she relaxing in sweats and bobby pins 
 The beauty of her, a blind man could see 
 A true queen, and she needs me 
 She needs me, she needs me 
 She needs me, she needs me 
 The beauty of her, swear to God a blind man could see 
 A true queen, and she needs me 
 (Chorus: Javonte) 
 That girl is smoking 
 And can you believe that I'm her focus? 
 It ain't hard to see she got me open 
 And together, we are roller-coasting, on, on, on 
 (Kendrick Lamar) 
 Five years later, an accounting major 
 Work at a firm, abundance of paper 
 She got a career, she look in the rear- 
 View mirror of a Mercedes that she can steer 
 Private bars, executive meetings 
 Consecutive trips, vacation on weekends 
 Dior reeking through her Prada dress 
 Probably the only product of a pure success 
 Got a promotion, now she own the building 
 Headed to the top like she on the building 
 Real estate, property 
 She do tender steak, only one mouth to feed 
 Funded a youth center, invested in some stock 
 Doubled what she put in, then bought a restaurant 
 Oh what a girl, how great life can be 
 And though she got the world, she needs me 
 She needs me, she needs me 
 She needs me, she needs me 
 Oh what a girl, wonder how her life can be 
 And though she got the world, she needs me 
 (Kendrick Lamar) 
 We lose touch, separated 
 Years pass, I'm out dating 
 She's dating, one of Hollywood's 
 Famous of entertainers, Denzel good 
 Paparazzi spot 'em out shopping 
 Tuesday morning brunch, Benihana's 
 Tabloids paint the picture of a perfect couple 
 Headline reads, when a famous actor loves you 
 Emmy Awards, Academy too 
 On the red carpet, dress matching his suit 
 She holding his arm, she wave at her moms 
 Then wave at the world, got the world in her palms 
 Head in the clouds, star-gazing 
 Caught her on the stage, a proposal was waiting 
 He bent down, got on one knee 
 She looked him in the eye, and said she needs me 
 She needs me, she needs me 
 She needs me, she needs me 
 Even if we seem to separate, eventually 
 It'll come to pass, and she'll need me 
 I need her... we need we"
4,Kendrick Lamar,hiphop,I Am (Interlude),"See y'all don't understand me 
 My plan be is to win y'all hearts before I win a Grammy 
 Kendrick Lamar, words like a sword in the hands of a Spartan 
 Marching on Rosecrans in Compton 
 You can't cause conflict or corrupt my spirit 
 I'm on point like period 
 I've been there and gone before you get near it 
 Ooh wee, that young boy remind me of a young Martin Luther 
 The way he piece up troopers, then round up shooters 
 Like Malcolm X did, I stand for what I believe in 
 Family, God and honor 
 From Chicago, my daddy and my momma 
 Came to Compton to accomplish one thing 
 Raise a king, reign supreme, named Kendrick 
 I ain't lying, it stand for king and I am one 
 My unborn son and grandson will live royal 
 From the coochie to the soil 
 The meek shall inherit the Earth 
 Well I've had this world since birth 
 Feel the good kid's hunger 
 The Crips made strong, the Pirus made stronger 
 Muscle in my heart 
 Stare at the eyes of Mozart, then tell him I'm the genius 
 Do my dougie and grab my penis 
 'Cause I means this with all my soul 
 And you can't control greatness 'less you hating with the heart of Satan 
 But even that can't stop it 
 Nigga, get out my wallet and put passion in your logic 
 Passion in your life, the passion of my Christ is in me 
 And if you say it ain't, you may offend me 
 Damn that boy good 
 Bright as Thomas Edison, but Gucci manhood 
 He stood alone for so long 
 Prolonged his whole career, but now he's here 
 You can shoot shots or cheer 'cause I... am"
5,Kendrick Lamar,hiphop,Wanna Be Heard,"(Kendrick Lamar) 
 It's like I don't think you fully understand who I am, y'know? 
 I'm just a good kid from Compton that wanna rap 
 I don't represent no colors, I represent my lil' sisters and brothers 
 I'm the oldest, nigga 
 And if you can't respect that, your whole perspective is wack 
 Check it out 
 I used to wanna rap like Jay-Z 
 Until I finally realised that Jay wasn't me 
 I took my time to jot down every line that's a quotable 
 Critics say I don't be killing this shit but I know I do 
 Because I used to practice early morning and then after school 
 I'm working on my hooks my nigga, I ain't tryna battle you 
 But even if I did, I guarantee I'd overshadow you 
 Like a fucked up taper that turned to bowl cut 
 I'ma close cut to Common and Gucci Mane 
 Now that's a comparison that you probably wouldn't understand 
 Because I can touch the people and still keep it ghetto 
 As an '87 Regal with the tree air freshener on the rearview mirror 
 I wear a heart on my shoulder 
 'Member when we used to make the boost look like Motorola? 
 Your cousin fucked up your room every time he came over 
 Then went to jail when we got older 
 That shit is a bad odor, but still I remain focussed 
 In due time, I'll be able to swipe my card and it won't say decline 
 That shit's embarrassing huh 
 Hope no one pay you no mind 
 But it's a bad bitch behind you while you standing in line 
 Can you relate to my story? Can you follow my dreams 
 And admirations that I had ever since I was thirteen? 
 My momma believed in me, she let me use her van to go to the studio 
 Even though she know her tank is empty, that's who I do it fo' 
 My pops got a different approach, yeah he believed 
 But he always questioned when I'ma drop my debut CD 
 How long this gon' take nigga? You still haven't ate nigga 
 At twenty-two I had two cars and my own place nigga 
 It's a sacrifice I try to tell him 
 That's when he turn to BET and tell me that he jealous 
 Of all these niggas getting money and their shit don't sound like shit 
 I ate tryna kill your confidence or forcing you to quit 
 I just wanna hear you heard 
 Yep, yep, that's my word 
 Make a statement with these nouns and verbs 
 I represent the liquor that's poured out on the curb 
 Listen to my nouns and verbs (man I wanna be heard) 
 Like a cattle with sheep 
 While y'all sleep I re-up, cooking up all day 
 Like a mad scientist in that laboratory 
 Motherfuck what a critic got to say, I'ma be heard 
 (Kendrick Lamar) 
 What up Dasan? I ain't forgot nigga 
 You developed me, telling me I was hot nigga 
 You believed in me first, that's what's for sure 
 At the church recording, at the garage, but it worked 
 But me and Dave kind of felt you lost the passion 
 A lot was going on in your life and you needed space 
 But still I should have came to you first to tell you what happened 
 But I was seventeen and figured it's best I stay away 
 And I wrong, I was young and couldn't look you in the eye for what I'd done 
 But I'm telling you we ain't done 
 Matter of fact, how's your sons? What they up to? 
 Remember they used to run away while you had worked on ProTools? 
 People I used to be in the booth till four in the morning 
 With school in the morning, yawning, but I was on it 
 Me, you and Dave was on it 
 Buzzing like Charlotte Hornets when that tape dropped 
 Where them beats nigga? It's been five years since we had rocked 
 Time to be heard 
 (Kendrick Lamar) 
 So can you feel it? 
 When you hear it do it pulsate your spirit? 
 Does it make you wanna say motherfuck a gimmick? 
 The truth can set you free if you Do the Right Thing 
 Word to Spike Lee, don't he look like Sounwave? 
 That's kinda random, but my humor sometimes strays, like a dog in the night 
 Twenty-four hours in a day but only take five minutes 
 To grab a pad and a pen, then send your dog a kite 
 I spread love like a Hippy, but I'm a (Black) one 
 With Jesus Christ passion, I swear on the bible 
 Tabernacle to all my rivals, I ain't mad 
 You hate a nigga for tryna help you, that's your bad 
 Because I figure I can make a way with these stanzas 
 I probably can't heal cancer, but I can heal the city 
 My niggas, tell me you with me 
 And if you is won't you pop my CD in 
 Open up your trunk, then let it bump, so I can be heard 
 Yeah, uh huh 
 (Kendrick Lamar) 
 D-Dave, what up nigga? 
 Matt Jeezy [laughs]"
6,Kendrick Lamar,hiphop,I Do This,"(Chorus 1: Kendrick Lamar) 
 The homies say I'm the truest 
 The bitches think I'm the cutest 
 The definition what cool is 
 Boy, I thought you knew this 
 Bitch I do this 
 (Kendrick Lamar) 
 Uh, I used to to wanna by like Michael Jordan 
 Figured that I'd hit the NBA and make a fortune 
 Thank God for these rap recordings 
 I can ball like him on every verse and chorus 
 5-0-1s, Louis letterman jacket 
 Little brother only five, momma put him on my taxes 
 You know that Compton ghetto shit 
 That every Section 8 tenant is familiar with? Ooh wee 
 They say he something like the seventies, but I'm from '87 
 With a thousand dimes, you got eighty sevens 
 Gourmet sneakers, hair nappy 
 Fucking all my high school teachers, that was '05 bro 
 And I don't like 'em if the ass thin 
 And I don't wife 'em if a nigga is her best friend 
 The fuck I look like? 
 A billion bucks, and that's why 
 (Chorus 2: Kendrick Lamar) 
 The homies say I'm the truest 
 The bitches think I'm the cutest 
 The definition what cool is 
 Boy, I thought you knew this 
 Bitch I do this 
 Bitch I do this 
 Bitch I do this 
 The definition what cool is 
 Boy, I thought you knew this 
 Bitch I do this 
 (Kendrick Lamar) 
 She looking at the car like she wanna fuck it 
 She looking at the wrist like she wanna fuck it 
 Hating on her girlfriend just so I can fuck it 
 She say she on birth control, no I don't trust it, hoe 
 Uh, so give me fifty feet champ 
 Run until I got a bunion and my feet cramp 
 I'm in the hot spot, I know they seats damp 
 And I don't need your cosign, that's a cheap stamp 
 You niggas' check's cash 
 And I'm GT crashing, 1-0-5 off rap 
 Ay, that lil' nigga got it going on 
 G5, going-going-going gone 
 Cloud nine mind state 
 I drop a record, then I raise the crime rate 
 Killing this shit, where's your funeral tie? 
 A-B-C-D-E-F-G, fuck, skip to Y 
 (Jay Rock) 
 She looking at the car like she wanna fuck it 
 She looking at the wrist like she wanna fuck it 
 Hating on her girlfriend just so I can fuck it 
 Say she on birth control, no I don't trust it 
 Aooow~! First off, I'm a rider bitch 
 Put them twenty-sixes on a Silverado bitch 
 I keep my bitch with a finer bitch 
 Snap my fingers, she'll go and find a bitch 
 Tell them fuck boys that I do this 
 Got the best product round town, Frank Lucas 
 Confuse 'em like a Rubix cube when I roll up 
 Okay, Subway bread like some cold cuts 
 And I drop cold cuts, bitches go crazy 
 Wild like a Haitian, I should set up shop in Haiti 
 Fuck you, pay me, paper over pussy nigga 
 When I drop, you ain't getting paper nor pussy nigga 
 (Kendrick Lamar) 
 Bitch I do this 
 Bitch I do this 
 The definition what cool is 
 Boy, I thought you knew this 
 Bitch I do this"
7,Kendrick Lamar,hiphop,Uncle Bobby & Jason Keaton,"(Kendrick Lamar) 
 I was sitting on the couch, reading yellow paper 
 A letter in reply, seven days later 
 After I wrote him ""stay strong, keep your faith in God"" 
 What I told him, hoping that he's listening 
 Said that they tried to give him like a hundred years 
 What a coincidence, I was bumping some Plies 
 I can taste the salt from my tears 
 As the water had start to flood on my eyes 
 I know it gotta be hard being twenty-one 
 Doing time in the pen and your gramp's old 
 Your brother's getting older, and the streets is getting colder 
 And you're hoping that he's focussed to stay on the right road 
 Sleeping in a cell, it's been thirty weeks 
 Ain't received any mail, it's cold and the hole stinks 
 And you can't even blink without niggas testing your life 
 As I read every word that you write, I can only imagine 
 Jason Keaton, I can only imagine, yeah 
 (Chorus: Javonte) 
 Life's about decisions man 
 It's in your hand and you got it 
 Just take control if you can 
 It's in your hand and you got it 
 (Kendrick Lamar) 
 Sitting on the couch, that was my Uncle Bobby 
 After he just got out, fifteen years to count 
 Haven't seen the world in so long, haven't seen a girl in so long 
 And before the sun came up, he was gone 
 Like a fiend off the best rock 
 Trying to get his life together, or whatnot 
 Typed his name in the system and they couldn't find his identity 
 Got it straight, got a place, found some serenity 
 Found a job, found his mother gravesite, found a forty ounce 
 Then he found God, then he bounced 
 Then he found a new chick, two kids, wide hips 
 Found something in her we didn't see 
 Found this spot in Pasadena and shacked with her, an investment 
 Then found guilty, somebody had yelled domestic 
 Violence on my Uncle, was working with two strikes 
 Only out a year, now facing life, I can only imagine 
 That's fucked up, I can only imagine, Uncle Bob 
 (Kendrick Lamar) 
 Sitting on the couch, thinking 'bout the ratio 
 Of blacks in prison, it's compact in prison 
 When blacks packed with minorities, system grab more of these 
 Eighteen-year-olds, eighteen-year sentence 
 With no parole, the state won't oversee 
 They make the term severe, a conspiracy 
 That's what I call it, it's full of shit, a toilet can help quick 
 The government help? No, just put us on death row 
 Just give us some more guns, then give us some more coke 
 Then give us another chair, then give us some more rope 
 Then hang it like right there, yeah, it's justice for all 
 But ninety-percent unfair, care? Nah 
 Alcatraz was purchased by a white man for five grand 
 With intentions to expand, more prisons 
 So these correctionals ain't for rehabilitation 
 They for grossing a bigger business, imagine 
 We being used, imagine, the truth shall be told"
8,Kendrick Lamar,hiphop,Faith,"(Kendrick Lamar) 
 Cloud nine, Kendrick Lamar, uh 
 I take a sip of Hennessy and then get pissy drunk 
 I ain't a drinker, I'm a thinker, call it what you want 
 But if you turn your back, know that you just missed your chance 
 To witness the realest shit that's ever been told to man 
 I found myself losing focus at a Sunday service 
 Embarrassed so I started questioning God, what is my purpose? 
 He say to live the way he did, that's all he want from me 
 Spread the word and witness, he rose on the first Sunday 
 I said all right, enthused that my Lord gave a listen 
 I opened my bible and searched to be a better Christian 
 And this from a person that never believed in religion 
 But shit, my life is so fucked up man, I can't help but give in 
 I'm giving testimonies to strangers I never met 
 Hopped on the pulpit and told 'em how I was truly blessed 
 Felt like I'm free from all my sins when the service was over 
 Walked out the church, then got a call that my homie was murdered 
 And lost my faith again 
 (Chorus: BJ the Chicago Kid) 
 What am I gonna do? Gotta have faith 
 Life is too much, understood? Where is your faith? 
 Oh, faaaaaaaith... 
 All you need is the size of a mustard seed 
 (Kendrick Lamar) 
 Single black parent from Compton raising children of four 
 That's four innocent bastards, cause papa they don't know 
 Her day consists of working back and forth with babysitters 
 Can't find no one to watch her kids so she pay her sister 
 Her baby daddy ain't bout shit, that nigga ain't bout shit 
 Spent his daughter milk just to cop a new outfit 
 She pray to God every night hoping that he'll mature 
 And maybe one day his kids, something that he'll live for 
 Baby wanna go back to school but she need some help 
 Because it's hard tryna pay the bills when you're by yourself 
 She thought about credit card scams till she heard a voice 
 That said the Devil is a lie, make a better choice 
 And so it's back to McDonald's and every month dealing 
 With them crazy ass people at the county building 
 Looked to the heavens and asked 'em to make a better way 
 Then got a letter in the mail, lost her section 8 
 Then lost her faith again 
 (Punch) 
 Kendrick, I appreciate the opportunity to vent my nigga 
 This about how faith works, yeah, murk it... 
 I had dreams of holding a nine-milla to raise Killa 
 Ask him why as my eyes fill up 
 Each day it gets more realer, orangutans bang like gorillas 
 It's jungle when the niggas ensue 
 The rat's lurking, vulture's circling the serpents 
 Cats lying through they teeth, my nigga didn't deserve it 
 I flirted with the idea of caressing the steel 
 To make karma come faster than she normally will 
 It's ill, to see my faith try and leave me 
 It's so hard to get it, to get rid of it is easy 
 I'm tryna reach cloud nine, that's what my niggas bout 
 But it never rain in California 'less them pistols out 
 Until then, my feet planted on the ground 
 Shadowboxing my conscience till my faith start responding 
 And if I get no answer, just know I tried 
 I should have never looked into his son's eyes 
 Ray Charles voice 
 (Kendrick Lamar) 
 This for my people that stressing whenever times is hard 
 Your mind's slipping, wondering is there really a God? 
 Knowing you shouldn't think that way and tryna freeze your brain 
 But whenever it's pain, that feeling forever remains 
 We can't believe what we can't see and reality seems stronger than prayer 
 Cause you tried to change your life, and now you live in a wheelchair 
 And your son was born with cancer and he live in urgent care 
 At the tender age of twelve, and you feel that no one cares 
 Searching for answers, that's human nature, you ain't in the wrong 
 Just know, when you feeling that way his spirit's in the room 
 I watched people I know pray and catch the Holy Ghost 
 And wonder why I ain't never caught that feeling before 
 Maybe they know him better, or I don't know no better 
 But what I do know is that he's real and he lives forever 
 So the next time you feel like your world's about to end 
 I hope you studied because he's testing your faith again 
 I'd rather not live like there isn't a God 
 Than die and find out there really is, think about it"
9,Kendrick Lamar,hiphop,Trip,"""Boarding completed 
 I'd like to welcome you aboard flight number F2B3 
 Our scheduled flying time will be four hours and twenty minutes 
 And we will be cruising at an altitude of thirty-three-thousand feet 
 At this time we would like to acquaint you with some of the features 
 Relax and breathe normally"" 
 Uh, coming down like I'm uphill 
 Hogging both lanes better than a bus will 
 She tell me that my head bigger than a bus wheel 
 But it don't matter 'cause she still gon' let me fuck still 
 I mix a little bit of Kendrick with some L.A. weather 
 Then step out like Chicago in its finest era 
 You niggas begging for attention, doing extra-extra 
 Downgrading yourself, you get an F for effort 
 Ha-ha, I let the world know 
 I chose to keep to myself and let the world go 
 And if you don't like a nigga, then let your girl know 
 So she can be curious on Twitter looking me up 
 I'm laid back with a bad one, you ain't never had one 
 Ass so fat that it tipped over the Aston 
 Speeding on the 1-0-5 till the fucking badge come 
 Hello to my wittiness, I'm Cadillac's grandson 
 And I'm a trip 
 Ever since an understudy man I've always been a trip 
 Mama tell me that she love me but she know her son a trip 
 Baby open up your ears, you ain't heard it like this 
 Sounwave drop the beat, I lock the flow down 
 Now all the way to the moon we bout to go now 
 I got enough of the mojo to go around 
 So pack your bags and tell him you going out of town 
 'Cause I'm a trip 
 Landing on another runway, fly with me 
 Or die tryna fly, a shot-down Frisbee 
 Shout out to Black Hippy, nigga we on 
 Like we never been off, straight shots of Patron 
 I'm give y'all the business to give y'all some business 
 Pussy ain't shit, I can give y'all some bitches 
 Clean off her sports bra, she clean off my dishes 
 Then wear off the Kangols, hood rats, I hate those 
 And she know what this is, hey lil' mama 
 Seen your pretty ass around the way lil' mama 
 But why you always in somebody face lil' mama? 
 Embarrassing yourself, get off the stage (Lil Mama) 
 Nigga, I gotta be that nigga 
 If I ain't, I gotta be that nigga 
 Curtesy of Paula's oldest son, pay homage 
 Or pay attention, open your eyes and hear knowledge 
 Gi-give me that, gi-gi-give me that 
 That's how I get at 'em when I look at a shoe rack 
 Penny for thoughts, mine start at a few racks 
 So I can live on a hill just off a few raps 
 I want to live in a space that none of y'all can visit 
 That might be outer space, the Jupiter district 
 I quadruple my vision 
 If you don't see it then you're dead with your eyes open 
 I've seen bullets hit the wheel, left his ride smoking 
 On some Compton shit 
 Somebody that'll ride or die, that's a Compton bitch 
 You see my city is the city of Lamar 
 It'll take twenty years 'fore a nigga see them all 
 The swap meet dumping, the sawed-off pumping 
 The tree for the low, don't you know, Paul Bunyan 
 I'm on cloud nine, I can see rain coming 
 So if I'm out my mind, people don't say nothing 
 ""How was your flight Mr. Lamar? 
 Good, hope to see you next time"""
