,0,1,2,3
0,Led Zeppelin,rock,Good Times Bad Times,"In the days of my youth 
 I was told what it means to be a man 
 And now I've reached that age 
 I've tried to do all those things the best I can 
 No matter how I try 
 I find my way to the same old jam 
 Good times, bad times, you know I've had my share 
 When my woman left home for a brown-eyed man 
 But I still don't seem to care 
 Sixteen, I fell in love with a girl as sweet as could be 
 It only took a couple of days till she was rid of me 
 She swore that she would be all mine and love me till the end 
 But when I whispered in her ear, I lost another friend, oh 
 Good times, bad times, you know I've had my share 
 When my woman left home for a brown-eyed man 
 But I still don't seem to care 
 Good times, bad times, you know I've had my share 
 When my woman left home for a brown-eyed man 
 But I still don't seem to care 
 I know what it means to be alone 
 I sure do wish I was at home 
 I don't care what the neighbors say 
 I'm gonna love you each and every day 
 You can feel the beat within my heart 
 Realize, sweet babe, we ain't never gonna part 
 I feel good when I look into your eyes."
1,Led Zeppelin,rock,Babe I'm Gonna Leave You,"Babe, baby, baby, I'm gonna leave you 
 I said, baby, you know I'm gonna leave you 
 I'm leave you when the summertime 
 Leave you when the summer comes a-rollin' 
 Leave you when the summer comes along 
 Babe, babe, babe, babe, babe, babe, baby, mm-baby 
 I'll wanna leave you 
 I ain't jokin', woman, I've got to ramble 
 Oh, yeah, baby, baby, I'll be leavin', really nn-got to ramble 
 (I can hear it callin' me) 
 I can hear it callin' me the way it used to do 
 Oh, I can hear it callin' me back ho-wome 
 Baby, oh, babe, I'm gonna leave you 
 Oh, baby, you know I've really got to leave you 
 Oh, I can hear it callin' me 
 I said, don't you hear it callin' me the way it used to do, oh 
 I know, I know 
 I know I never, never, never, never, never gonna leave you, babe 
 But I gotta go away from this place, I gotta quit you, yeah 
 Oh, baby, baby, baby, baby, baby, baby, baby, oh 
 You hear it callin' 
 Don't you hear it callin' me 
 Oh, woman, ah, a-woman, I know, I know 
 Feels good to have you back again, and I know that one day, baby 
 It's gonna really grow, yes it is 
 We're gonna go walkin' through the park every day 
 Come what may, every day, oh, my, my, my, my, my, my babe 
 I'm gonna leave you, go away 
 Oh, alright 
 So good sweet baby 
 It was really, really good 
 You made me happy every single day 
 But now I've got to go away, oh, oh, oh 
 Baby, baby, baby 
 That's when it's callin' me 
 I said, that's when it's callin' me back home"
2,Led Zeppelin,rock,You Shook Me,"You know you shook me, you shook me all night long 
 You know you shook me baby, you shook me all night long 
 You shook me so hard baby, baby, baby, please come home 
 I have a bird that whistles, and I have birds that sing 
 I have a bird that whistles, and I have birds that sing 
 Ha-ha-ha, I have a bird won't do nothin', ah-ah, oh-whoa 
 Buy a diamond ring, yeah 
 Ow, ow 
 Huh, hah 
 All right, ah, yeah 
 You know, you shook me, baby, you shook me all night long 
 I know you really, really did, babe 
 I said, you shook me, baby, you shook me all night long 
 You shook me so hard, baby 
 Babe, ah-ah, ah-ow, ah-ah, ah-ah-ah, ah-da-da, ah-ah-ah-da-da 
 You shook me aw-ooh-aw-ooh-aw-ooh-aw-ooh 
 Aw-ooh-aw-ooh-aw-ooh-all night lo-ooh-ong"
3,Led Zeppelin,rock,Dazed And Confused,"Been dazed and confused for so long, it's not true 
 Wanted a woman, never bargained for you 
 Lotsa people talkin', few of them know 
 Soul of a woman was created below, yeah 
 You hurt and abuse, tellin' all of your lies 
 Run 'round, sweet baby, lord, how they hypnotize 
 Sweet little baby, I don't know where you been 
 Gonna love you, baby, here I come again 
 Every day I work so hard, bringin' home my hard-earned pay 
 Try to love you, baby, but you push me away 
 Don't know where you're goin', only know just where you've been 
 Sweet little baby, I want you again 
 (That's not my babe) 
 Ah, ah, ah, ah 
 (Did you ever look up my woman) 
 Ah, ah, ah, ah-ah-ah-ah 
 Ahh, ah, ah, ah, ah 
 Oh, yeah, alright, alright 
 Ah, ah, ah, ah, ah, ah, ah 
 Ah, ah, ah, ah 
 Oh, I don't like when you're mystifyin' me 
 Oh, don't leave me so confused, now 
 Whoa, baby 
 Been dazed and confused for so long, it's not true 
 Wanted a woman, never bargained for you 
 Take it easy, baby, let them say what they will 
 Tongue wag so much when I send you the bill, oh yeah, alright 
 Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, ah, ah, ah 
 Ah, ah, ah, ah"
4,Led Zeppelin,rock,Your Time Is Gonna Come,"Lyin', cheatin', hurtin', that's all you seem to do 
 Messin' around, every guy in town 
 Puttin' me down for thinkin' of someone new 
 Always the same, playin' your game 
 Drive me insane, trouble's gonna come to you 
 One of these days, and it won't be long 
 You'll look for me, but, baby, I'll be gone 
 This is all I gotta say to ya, woman 
 Your time is gonna come, your time is gonna come 
 Your time is gonna come, your time is gonna come 
 Made up my mind, break you this time 
 Won't be so fine, it's my turn to cry 
 Do what you want, I won't take the brunt 
 It's fadin' away, can't feel you anymore 
 Don't care what you say, 'cause I'm goin' away to stay 
 Gonna make you pay for that great big hole in my heart 
 People talkin' all around 
 Watch out, woman, no longer is the joke gonna be on my heart 
 You been bad to me, woman, but it's comin' back home to you 
 Your time is gonna come, your time is gonna come 
 Your time is gonna come, your time is gonna come 
 Your time is gonna come, bye, bye-bye, baby 
 Your time is gonna come, Bye, bye. Bye, bye. 
 Your time is gonna come, See you my babe. 
 Your time is gonna come, oh, oh, oh, oh-oh 
 Your time is gonna come, Bye, bye. Bye, bye. Bye, bye. 
 Your time is gonna come, I gotta get away from here. 
 Your time is gonna come, goodbye, my baby 
 Your time"
5,Led Zeppelin,rock,Communication Breakdown,"Hey, girl, stop what you're doin' 
 Hey, girl, you'll drive me to ruin 
 I don't know what it is I like about you, but I like it a lot 
 Won't you let me hold you, let me feel your lovin' touch 
 Communication breakdown, it's always the same 
 Havin' a nervous breakdown, will drive you insane 
 Hey, babe, I got somethin' I think you oughta know 
 Hey, babe, I wanna tell ya that I love you so 
 I wanna hold you in my arms, yeah 
 I'm never gonna let you go, 'cause I like your charm 
 Communication breakdown, it's always the same 
 Havin' a nervous breakdown, will drive you insane, oh, suck 
 Communication breakdown, it's always the same 
 Havin' a nervous breakdown, will drive you insane, yeah 
 Communicate, I want you to love me all night 
 I want you to love me all night, I want, hey, I want, yeah 
 I want you to love me, I want you to love, babe 
 I want you to love, yeah, I want you to love 
 Hey, I want you to love, yeah, I want you to"
6,Led Zeppelin,rock,I Can't Quit You Baby,"I-I, I can't quit you, babe 
 So I'm gonna put you down for a while 
 I said, I can't quit you, babe 
 I guess I got to put you down for a while 
 Said, you messed-up my happy home 
 Made me mistreat my only child 
 Yes, you did, babe, oh 
 Said, you know I love you, baby 
 My love for you I could never hide 
 Oh, you know I love you, babe 
 My love for you I could never hide 
 A-when I feel you near me, little girl 
 I know you are my one desire, whoa-oh, oh-oh, yeah 
 Oh, that's wonderful, whoa 
 Whoa 
 That's wonderful yeah! 
 When ya hear me moanin' and groanin', baby 
 You know it hurts me deep down inside 
 Oh, when ya hear me moanin' and groanin', babe 
 You know it hurts me deep down inside 
 Oh, a-when you hear me hollar, baby 
 You know you're my one desire, yes, you are, oh alright"
7,Led Zeppelin,rock,How Many More Times,"Ah 
 How many more times, treat me the way you wanna do 
 How many more times, treat me the way you wanna do 
 When I give you all my love, please, please be true 
 I give you all I've got to give, rings, pearls and all 
 I give you all I've got to give, rings, pearls and all 
 I got to get you together, baby 
 I'm sure, sure you're gonna call 
 Oh, wanna love some other man too 
 Ooh 
 I was a young man, I couldn't resist 
 Started thinkin' it over just what I had missed 
 Got me a girl and I kissed her, and then, and then 
 Whoops, oh, no, yeah, well I did it again 
 Now I've got ten children of my own 
 I got another child on the way, that makes eleven 
 But I'm in constant Heaven 
 I know it's all right in my mind 
 'Cause I got a little schoolgirl and she's all mine 
 I can't get through to her 'cause it doesn't permit 
 But I'm gonna give her everything I've got to give 
 Oh, Rosie, oh, girl 
 Oh, Rosie, oh, girl 
 Steal away, now, steal away 
 Steal away, baby, steal away 
 Little Robert Anthony wants to come and play 
 A-why don'tcha come with me, baby, steal away 
 All right, all right 
 Well, they call me the Hunter, that's my name 
 Call me the Hunter, that's how I got my fame 
 Ain't no need to hide, ain't no need to run 
 'Cause I got you in the sights of my gun 
 How many more times, barrelhouse all night long, all right 
 How many more times, barrelhouse all night long 
 Well, I've got to get to you, baby 
 So-whoa-whoa-whoa please come home 
 Why don't you listen to me, babe 
 Why don't you please come home 
 Why don't you please come home 
 Why don't you please come home"
8,Led Zeppelin,rock,Whole Lotta Love,"You need coolin', baby, I'm not foolin' 
 I'm gonna send ya back to schoolin' 
 Way down inside, a-honey, you need it 
 I'm gonna give you my love 
 I'm gonna give you my love, oh 
 Wanna whole lotta love 
 Wanna whole lotta love 
 Wanna whole lotta love 
 Wanna whole lotta love 
 You've been learnin' 
 And baby, I been learnin' 
 All them good times 
 Baby, baby, I've been a-yearnin', ah 
 A-way, way down inside 
 A-honey, you need-a 
 I'm gonna give you my love, ah 
 I'm gonna give you my love, ah 
 Oh, whole lotta love 
 Wanna whole lotta love 
 Wanna whole lotta love 
 Wanna whole lotta love 
 I don't want more 
 Ooh, just a little bit 
 Love, low-ow-ow-ow-ove 
 Oh, my, my, my 
 You've been coolin' 
 And baby, I've been droolin' 
 All the good times, baby, I've been misusin' 
 A-way, way down inside 
 I'm gonna give ya my love 
 I'm gonna give ya every inch of my love (Ah) 
 I'm gonna give you my love 
 Yeah, alright, let's go 
 Wanna whole lotta love 
 Wanna whole lotta love 
 Wanna whole lotta love 
 Wanna whole lotta love 
 (Way down inside) Way down inside 
 (Way down inside, woman, you) Woman 
 (Woman, you) You need it 
 (Need) Love 
 My, my, my, my 
 My, my, my, my, oh 
 Shake for me, girl 
 I wanna be your backdoor man 
 Keep a-coolin', baby 
 A-keep a-coolin', baby 
 A-keep a-coolin', baby 
 Ah, keep a-coolin', baby"
9,Led Zeppelin,rock,What Is And What Should Never Be,"And if I say to you tomorrow 
 ""Take my hand, child, come with me"" 
 It's to a castle I will take you 
 Where what's to be, they say will be 
 A-catch the wind, see us spin 
 Sail away, leave today 
 Way up high in the sky, and whoa! 
 But the wind won't blow, we really shouldn't go 
 It only goes to show that you will be mine by takin' our time 
 Ooh, ho-whoa 
 And if you say to me tomorrow 
 ""Oh, what fun it all would be"" 
 Then what's to stop us, pretty baby-ay 
 But what is and what should never be 
 A-catch the wind, see us spin 
 Sail away, leave today 
 Way up high in the sky, and whoa! 
 But the wind won't blow, we really shouldn't go 
 Only goes to show that you will be mine a-by takin' our time 
 Ooh, oh, oh 
 So if you wake up with the sunrise 
 And all your dreams are still as new 
 And happiness is what you need so bad 
 Well, girl, the answer lies (with) you, yeah 
 A-catch the wind, see us spin 
 Sail away, leave today 
 Way up high in the sky, and whoa! 
 But the wind won't blow, we really shouldn't go 
 It only goes to show-ow that you will be mine by takin' our time 
 Ooh 
 Hey, ho, ma 
 A-well, the wind won't blow, and we really shouldn't go 
 And it only goes to show-whoa-whoa-whoa 
 Catch the wind, we're gonna see us spin 
 We're gonna sail, leave today-a 
 A-do-do-do, ba-ba-n-do, oh 
 Ma, ma, ma, ma, ma, ma, yeah 
 Everybody I know seems to know me well 
 But they're never gonna know I'm gonna move like hell 
 A-baby, baby, baby, baby, baby, baby, ho, I love ya 
 Baby, baby, babe, huh, oh, I love ya 
 Do, no, no, no, no, no, no, come on, now"
