,0,1,2,3
0,Modest Mouse,rock,"Blue Cadet-3, Do You Connect?","Blue cadet 3, do you connect? 
 Blue cadet 3, do you connect? 
 Blue cadet 3... 
 ...Do you connect?"
1,Modest Mouse,rock,Dukes Up,"So you wonder how 
 Get em' up, put 'em up 
 Get your dukes up now 
 Got no time no money, that's why 
 Get 'em up, put 'em up 
 Get your dukes up now 
 Soda fountain crowd 
 Button up, shut em' up 
 Gettin' fed up now 
 Got no time, no money, no doubt 
 Get em' up, put em' up 
 Get your dukes up, now"
2,Modest Mouse,rock,Woodgrain,"You've got wood grain, I've got nothing 
 You've got the water coming out of your head 
 Ah uh ah... 
 Find something to do and we'll share our issues 
 Find something to do when we're totally dead"
3,Modest Mouse,rock,It Always Rains On A Picnic,"No, I don't suppose 
 Downpour, downpour 
 It always rains on a picnic 
 Downpour, downpour 
 Don't let go quite yet 
 Downpour, downpour"
4,Modest Mouse,rock,"5,4,3,2,1...Lisp Off","(Well look at that! 
 You look so tiny from up here. 
 Like a cute little bug!) 
 Whatcha do whatcha do whathca do with your own life 
 (Oh this tang is delicious!) 
 Whatcha see whatcha see whatcha see as an astronaut, okay 
 Whatcha eat whatcha eat whatcha eat as an alien 
 Whatcha want whaddaya want from outer space"
5,Modest Mouse,rock,Interstate 8,"Spent 18 hours waiting stoned for space 
 I spent the same 18 hours in the same damn place 
 I'm on a road shaped like a figure 8 
 I'm going nowhere, but I'm guaranteed to be late 
 You go out like a riptide 
 You know that ball has no sides 
 You're an angel with an amber halo 
 Black hair, and the devil's pitchfork 
 Wind-up anger with the endless view of 
 The ground's colorful patchwork 
 How have you been, how have you been? 
 How have you, how have you? 
 I drove around for hours, I drove around for days 
 I drove around for months and years, and never went no place 
 We're on a pass, we're on pass, I stopped for gas, but where could place be 
 To pay for gas to drive around, around on Interstate 8 
 You go out like a riptide 
 You know that ball has no sides 
 You're an angel with an amber halo 
 Black hair, and the devil's pitchfork 
 Wind-up anger with the endless view of 
 The ground's colorful patchwork 
 How have you been, how have you been? 
 How have you, how have you?"
6,Modest Mouse,rock,All Nite Diner,"Yeah, yes, yes 
 Have I told ya, have I told ya? 
 Have I told ya, have I told ya? 
 You could really get it on, you could really get it on 
 Have I told ya, have I told ya? 
 Have I told ya, have I told ya? 
 You could really get it on, you could really get it on 
 I was at an all night diner 
 The sign said, Triple X but they were talking about root beer 
 I'm just sitting down, thinking about nothing 
 Looking at the thin air, breathing up the oxygen 
 Have I told ya, have I told ya? 
 You could really get it on, you could really get it on 
 A guy comes up, looking pretty 8-ball 
 Snaggletooth smile, sits down at my table 
 Puts his arm around me, starts to share his information 
 He said, he said, he said, he said, he said, this is what he said 
 I have sex, I'm always thinking about the pavement 
 So I can avoid premature ejaculation 
 I got up, remembering to thank him 
 Better things to do so I'll start drinking 
 Have I told ya, have I told ya? 
 Have I told ya, have I told ya? 
 You could really get it on, you could really get it on 
 Have I told ya, have I told ya? 
 Have I told ya, have I told ya? 
 You could really get it on, you could really get it on 
 I'm in Tahoka, now I'm gonna hook up 
 With the parties, unfortunately like always 
 No one has any ideas, damn 
 Have I told ya, have I told ya? 
 Have I told ya, have I told ya? 
 You could really get it on, you could really get it on"
7,Modest Mouse,rock,Sleepwalkin',"I fell in love and I needed a road map 
 To find out where you lived, so excited now 
 Sleepwalking 
 'Cause I'm sleepwalking 
 The white trash boys listen to their headphones 
 Blasting white noise in the convenience store parking lot 
 I hung around there wasting my time 
 Hoping you'll stop by 
 'Cause I'm sleepwalking 
 I'm sleepwalking 
 A mutual friend's parents left town for a week 
 So we raided their liquor stash and walked down to the riverside 
 Sleepwalking 
 'Cause I'm sleepwalking"
8,Modest Mouse,rock,Tundra/Desert,"Every sick, fickle fucker 
 Childhood is what makes you, oh 
 Till they treat you like tundra 
 Weigh those opinions more like air than lead 
 Every planned occupation 
 Surefire disappointment up ahead 
 Till they treat you like desert 
 See mirages of friendship, face turns red 
 Aw shit 
 (I don't feel and that feels fine, save twenty dollars and you should rest fine, I don't mind) 
 Here's the soon to be anchor 
 Build bridges to nothing, you'll get nowhere 
 (I don't feel and that feels fine, I don't feel and that feels fine) 
 Every governor's mother 
 Knows that their bread is buttered by Sam 
 (Crook takes, crook takes green out of wallet) 
 And what about science? 
 They find the proof and let you make your own decisions 
 (There are answers to our reasons worthwhile to find) 
 Every child star wonders 
 If they have a future up ahead 
 (King takes Queen, takes Queen out of the Game, it's alright, it's alright) 
 Every kindhearted banker 
 I don't think there is one 
 (I take you out) 
 Every winning opinion 
 I wish I had one 
 (I took you out for a night on the town, I took my wallet out, nothing was there) 
 Every winning opinion 
 I wish I had one 
 (You don't mind, well what if that's just bullshit?) 
 There's lifeforms in water 
 Put them aside and you'll get nowhere 
 (You're balancing balls on your nose alright, I don't mind I don't mind if it's so 
 Sometimes you want your own space and that's alright, right? 
 Right) 
 (Get too creative ordering our drinks and mine stinks, mine stinks 
 Get too creative ordering our drinks and yours stinks, yours stinks, yours stinks 
 Don't get too creative, don't get too creative)"
9,Modest Mouse,rock,Edit The Sad Parts,"Sometimes all I really want to feel is love 
 Sometimes I'm angry that I feel so angry 
 Sometimes my feelings get in the way 
 Of what I really feel I needed to say 
 If you stand in a circle 
 Then you'll all have a back to bite 
 Backlogged books on the seven wonders 
 We're all so funny but it's lost it's charm now 
 All communications end in one line jokes 
 From stand up comics and rock musicians 
 Making so much noise you don't know when to listen 
 Why are you judging people so damn hard 
 You're taking your point of views a bit too far 
 I made my shoes shine with that coal 
 But the polish didn't shine the hole 
 If you stand in a circle 
 Then you'll all have a back to bite 
 Backlogged books on the seven wonders 
 We're all so funny but it's lost it's charm now 
 All communications end in one line jokes 
 From stand up comics and rock musicians 
 Making so much noise you don't know when to listen 
 Think it over there's the air of the height of the high rollers (coming to get you) 
 (Additional lines from the live recording) 
 Think it over you ain't got nothing till you know her 
 Think it over there's the air of the height of the high rollers 
 Think it over there's the air, there's the air"
