,0,1,2,3
0,New Kids On The Block,pop,Stop It Girl,"Stop it! Stop it, Girl! 
 Stop it! Stop it, Girl! 
 I said stop it, girl. Look what you're doing to me 
 It's just not right. Can't you see? 
 This ain't the way it's supposed to be, 
 I should be lovin' you and you lovin' me 
 [Mechanical voice] Stop Girl, before he breaks your heart 
 Stop girl, before he breaks your heart 
 I'm the one who loves you, right from the start 
 Stop girl, don't let him bring you down 
 I'm the one who loves you and I'll be around 
 He could never love you like I love you, girl 
 He could never say the things, like I need you in my world 
 Girl, I really love you, but you won't give me your time 
 You tell me that he loves you so and you can't make up your mind 
 Girl, he's not true 
 Now I know there's lovin' for you 
 It's all not true 
 It's not true, baby 
 Ooh 
 I guess I'm gonna love you for my whole life long 
 Girl, he's not the one for you, I can tell you nothing wrong 
 Tell me that you love me, let me take you by the hand 
 Girl, my love is oh so true, try and understand 
 Girl, it's so true 
 All of my lovin' for you 
 It's all so true 
 So true, Baby 
 Ooh 
 Stop it, Girl! 
 Stop it, Girl 
 (Electric guitar bridge) 
 Stop Girl, before he breaks your heart 
 (Don't let him break your heart) 
 I'm the one that loves you, right from the start 
 (Right from the start) 
 Stop Girl, don't let him bring you down 
 (Don't let him bring you down) 
 I'm the one that needs you and I'll be around 
 (I'll be around) 
 Stop it Girl, before he breaks your heart 
 (Oh Baby) 
 Don't let him 
 Don't let him 
 Don't let him 
 Bring you down 
 (Repeat chorus to fade out)"
1,New Kids On The Block,pop,Didn't I (Blow Your Mind This Time),"I gave my heart and soul to you, girl 
 (Now didn't I do it, baby, didn't I do it, baby?) 
 Gave you the love you never knew, girl, oh 
 (Didn't I do it baby, didn't I do it baby?) 
 I've cried so many times and that's no lie 
 It seems to make you laugh each time I cry 
 Didn't I blow your mind this time 
 Didn't I 
 Didn't I blow your mind this time 
 Didn't I, this time? 
 I thought that heart of yours was true, girl 
 (Now, didn't I think it, baby, didn't I think it, baby?) 
 But this time I'm really leaving you girl, oh 
 (Hope you know it, baby, hope you know it, baby) 
 Ten times or more, yes, I walked out that door 
 Get this into your head, there'll be no more 
 Didn't I blow your mind this time 
 Didn't I 
 Didn't I blow your mind this time 
 Didn't I, this time? 
 (Didn't I do it baby, didn't I do it baby?) 
 (Didn't I do it baby, didn't I do it baby?) 
 Ten times or more, yes, I walked out that door 
 Get this into your head, there'll be no more 
 Didn't I blow your mind this time 
 Didn't I 
 Didn't I blow your mind this time 
 Didn't I, this time? 
 Girl, can we talk for a second? 
 (Baby can we talk) 
 I know it's been a long time 
 Since someone blew your mind, like I did 
 (Ooh, baby) 
 But there'll be other times 
 (Didn't I blow your mind it happens all the time) 
 For me and you 
 (All the time) (Ooh, baby) 
 And I can see the tears fallin' from your eyes 
 (I can see the tears falling from your eyes) 
 Tell me girl did I blow your mind? 
 Didn't I blow your mind this time 
 Didn't I 
 Didn't I blow your mind this time 
 Didn't I, this time?"
2,New Kids On The Block,pop,Popsicle,"You're my pop-si-cle! 
 From the very first time I met you, Girl, you captured me 
 You're my pop-si-cle! 
 All I know is that you make me feel so fancyfree. 
 Gonna love you for a lifetime 
 And I know you're gonna love me too 
 You make me feel, feel so real 
 And it feels so good, through and through 
 Sweeter than candy 
 Better than cake 
 And every time we kiss 
 It feels oh so great 
 Girl, can't you see? 
 You're the one, you're the one for me! 
 When I call you up on my favorite party line 
 You sound so sweet, Girl. You're blowing my mind 
 Our love is much better than any other I know 
 And it keeps on growing, more and more 
 Girl, can't you see? 
 You're the one, you're the one for me! 
 Pop pop pop pop pop popsicle! 
 Hey, hey, little girl with your pretty dress on 
 I've been wanting you to want me for my whole life long 
 You knock me off my feet, girl, you're a super treat 
 When I see you in the street you make my heart skip a beat 
 You're the one who makes me feel all right 
 When I look into your eyes, you know you're really out of sight 
 I'm for you and you're for me 
 We could stay together so easily 
 Pop pop pop pop pop popsicle! 
 Girl, can't you see? 
 You're the one, you're the one for me! 
 Pop pop pop pop pop popsicle! 
 (Repeat to fade out)"
3,New Kids On The Block,pop,Angel,"Angel, angel 
 Angel, baby you make my dreams come true 
 Angel, spend my whole life pleasing you 
 Angel, baby you are the one for me 
 Angel, come and set my loving free, my loving free 
 Baby, you are the best thing in my life 
 You know you're sweeter that sugar and spice 
 Baby, you are for me, you know 
 Dream come true 
 I want to spend my whole life loving only you 
 There are so many things that we can do 
 Just give me the chance to prove it all to you 
 Angel, baby you make my dreams come true 
 Angel, spend my whole life pleasing you 
 Angel, baby you are the one for me 
 Angel, come and set my loving free 
 Everyday girl when I come home from school 
 I can hardly wait to talk to you 
 Nobody can ever take your love from me 
 I really love you girl and that's the way it's got to be 
 There are so many places we can go 
 Let's see a movie at the picture show 
 Angel, baby you make my dreams come true 
 Angel, spend my whole life pleasing you 
 Angel, baby you are the one for me 
 Angel, come and set my loving free 
 Yo (What's up man? What's up?) 
 Is everybody here? 
 Yeah 
 Jon? 
 -I'm here 
 Donnie and Danny? 
 -We're here 
 Jordan and Joe? 
 - I'm here, and I'm here 
 Since everybody's here 
 Let's tell them what ANGEL means 
 -Word up 
 A, it means I'm always gonna love you 
 N, I'm never gonna leave you 
 G, is for your good good lovin' 
 E, is for your everlasting love 
 L, is 'cause I love you, really really love you 
 Angel, baby you make my dreams come true 
 Angel, spend my whole life pleasing you 
 Angel, baby you are the one for me 
 Angel, come and set my loving free, set it free 
 Angel, baby you make my dreams come true 
 Angel, spend my whole life pleasing you 
 Angel, baby you are the one for me 
 Angel, come and set my loving free, my loving free"
4,New Kids On The Block,pop,Be My Girl,"Girl, I think it's time 
 That I let you know 
 'Bout the way I really feel 
 I just can't wait no more 
 Be my baby 
 Be my girl 
 Be my girl 
 I want to be the one 
 That steals your heart away 
 I want to hold you in my arms 
 And fill you with all my charms 
 Be my baby 
 Be my girl 
 Be my girl 
 Baby I love it when were walking 
 Darling I love it when were talking 
 When you touch my hand 
 You brighten up my day 
 No one else can make me feel 
 Oh this special way 
 Be my baby 
 Be my girl 
 (Be my girl) 
 Baby I love it when were walking 
 Darling I love it when were talking 
 Be my baby 
 Be my girl 
 Be my girl 
 Yeah 
 Be my girl 
 Be my girl 
 Be my girl 
 Girl it's for real 
 All this love that I feel 
 Girl, I think it's time 
 That I let you know 
 'Bout the way I really feel 
 I just can't wait no more 
 Be my baby 
 Be my girl 
 Be my girl 
 Be my girl 
 Be my girl 
 Oh yeah 
 Be my girl 
 Be my girl 
 Be my girl 
 Won't you be my girl 
 Be my girl 
 Be my girl 
 Oh yeah 
 Be my girl 
 Be my girl 
 Be my girl..."
5,New Kids On The Block,pop,New Kids On The Block,"We know you've heard this beat many, many times 
 But we bet you've never heard it with such a vicious rhyme 
 A rhyme with class and plenty of clout 
 To show you sucher M.C.'s what it's about 
 We hear the same stories everywhere we go 
 Hey, it's Nynuk who stole the show 
 So for all you party people who are in a state of shock 
 We're The New Kids On The Block! 
 Chillin' on the corner, the first day we arrived 
 From the looks of the hoods, we didn't think we'd survive 
 Second day we were there, we were walking down the street 
 With a rhyme in mind and a funky beat 
 But when we turned into the alley, to our surprise 
 We saw a bunch of hoods right before our eyes 
 They looked us up and down once, twice and again 
 There must have been a hundred to a hundred and ten 
 So, I looked over my shoulder right at my friend 
 He said 'Nice knowing you' but this is the end 
 So we battened down the hatches and prepared to fight 
 Then all of a sudden I seen the light 
 The time was right, the time to rock 
 'Cause everybody knows, we're The New Kids On The Block. 
 We're also devastating when we're on stage 
 The fans start screaming and yelling with rage 
 With mic's in hand and rhymes with clout 
 So watch it sucker MCs or we're gonna turn you out 
 We never talk trash, our rhymes are clean 
 Our rhymes are never vague and we say nothing obscene 
 So any sucker MCs who wanna battle us 
 Can you go at least 20 lines without a cuss? 
 Cause once we start to jam, you'll be in a state of shock 
 Clear the way party people, we're The New Kids On The Block 
 Move it sucker MCs or you're gonna feel the wrath 
 So don't get caught up in the aftermath 
 'Cause we're the funky MCs of the hip hop craze 
 Our rhymes are done by law and are sure to amaze 
 With a DJ cutting records, steady cross bass 
 We'll leave all you party people stuck in a daze 
 I say we're fresh, new and you know it's true 
 Now let me introduce you to the rest of the crew 
 J, he's fresh. He's the master of mix 
 There ain't no rhyme that he can't fix 
 Spinster's next, he's the king of the spin 
 And if you wanna battle, you ain't gonna win 
 Then there's Popeye, but we call him Joey 
 The kid's so fresh, you'll never be bored 
 Next is jon, whose word is true 
 But the party people know him as the runner GQ 
 I'm Dexter P. the wizard of word 
 I'm the greatest MC that you've ever heard 
 Now that you know we're a gang and you know we don't play 
 We're The New Kids On The Block and we're here to stay 
 AaaaaaaaaaahhhhhhROCK!"
6,New Kids On The Block,pop,Are You Down?,"Danny: Yo, Jordan! What's up? 
 Jordan: Hey Danny! What's happening? 
 Oh, here comes little Joey Joe down the street 
 Joe: Ho! What's happenin' fellas? 
 Jordan: Yo, there's Jon, but has anyone seen Donnie? 
 Danny: I don't know, but I thought I saw him walking towards the corner store. 
 Joe: Nah, he's at the park playing ball 
 Jon: Oh, here he comes now 
 (Ad libbed greetings) 
 Donnie: Hey Guys! 
 Danny: Where have you been? 
 Donnie: Man, I've got a story to tell! 
 All: HIT IT! 
 Donnie: 
 Saw a homegirl at the corner store 
 Eyes started bugging, mouth fell to the floor 
 She had a miniskirt and a sexy pose 
 I tried to rap to her, but I just froze 
 Tell me now fellas, what can I do? 
 To make a girl like me, like a girl likes you? 
 Danny:Well Homeboy get ready! 
 Joe: 'Cause you want correcting 
 Jordan: 'Cause a girl needs love 
 All: And plenty of affection 
 Jon: If a girl were mine, I'd give her the world 
 I'd buy her diamonds and pearls just to make her my girl 
 Jordan: That might work with your girl, but not with mine. 
 She's not the type of girl to fall for any line 
 Joe: I'd take her out to dinner, treat her like a winner 
 I may be young, but I'm no beginner 
 Danny: All your ways are good, but not as good as mine 
 You have to be sincere for a girl that fine! 
 Baby, won't you please be mine? 
 Are you down? 
 Baby, won't you please be mine? 
 Are you down? HO! 
 Danny: All right then, D., since you gave it a try 
 All: Tell us about the girl who caught your eye 
 Donnie: 
 It was after school and I was feeling cool 
 Till I saw that girl and I started to drool 
 So I thought to myself, take it easily 
 I couldn't let peer pressure get the best of me 
 I thought to myself, what should I do? 
 That's when she came up on me and said 'I love you' 
 Donnie: Who me? 
 All: Yeah, you! 
 Donnie: Couldn't be! 
 All: But it's true! 
 Donnie: So I rushed back home to tell you guys, 
 But not before I got a quick kiss goodbye! 
 All: Did you meet her friends? 
 Donnie: Yeah, they looked def. 
 All: Yo, that was fresh! 
 Donnie: Word! Let's go left. 
 Jordan: So here goes the keys 
 Joe: On which it depends 
 Jordan: She's got 
 Joe: One! 
 Jordan: Two! 
 Danny: Three! 
 Jon: Four! 
 All: Fresh girlfriends! 
 Are you down? 
 Are you down? 
 (Repeat 5x) 
 Are you down? 
 Are you down? 
 (Repeat) 
 All: Joey Joe! 
 Joe: Nimble and quick. 
 You have to be def to be down with my clique 
 All: Jon! 
 Jon:You know I've got the style 
 When I go into a party all the girls go wild 
 All: Danny D! 
 Danny: The prince! Make no mistake. 
 I'm the MC devastating. So cool and I break.(dance) 
 All: Don-nie! Donnie: That's me, don't give me no slack! 
 I get loose with the juice, 'cause I got it like that 
 (Ad lib stuff) 
 Jordan: Here we go! 
 (All, followed by mechanical voice:) 
 Boston! 
 Are you down? 
 New york! 
 Are you down? 
 L.A.! 
 Are you down? 
 Detroit! 
 Are you down? 
 Philly! 
 Are you down? 
 Dorchester! 
 Are you down? 
 J.P.! 
 Are you down? 
 Maurice starr! 
 Are you down? 
 Michael jonzun! 
 Are you down? 
 Mary ann! 
 Are you down? 
 Mr. frank! 
 Are you down? 
 Sidney peach! 
 Are you down? 
 Mechanical Voice: PHAEDRA!(the girl who sings on Don't Give Up On Me) 
 Are you down? 
 Everybody! 
 Are you down? 
 Are you down? 
 Are you down? 
 Rrrock!"
7,New Kids On The Block,pop,I Wanna Be Loved By You,"I wanna be loved by you 
 I wanna be loved by you 
 Hi, I'm Danny, and I'm a Taurus 
 And I wanna be loved by you 
 Do you wanna be loved by me? 
 If you do, check this out 
 Ah... 
 Sounds good to you, don't it? 
 Oh baby, I just got to let you know 
 I wanna be loved by you 
 I wanna be loved by you 
 I'm Jon, and I'm a Sagittarius 
 And I really, really wanna be loved by only you 
 And I want you to only love me too 
 And if this is the way it's gonna be, girl, then check me out 
 I wanna be loved by you, baby 
 I wanna be loved by you 
 I wanna be loved by you 
 Yeah, I know, I know, I'm young... 
 I might be young, but I'm not too young to let you know how I feel 
 I'm Joe, and I'm a Capricorn 
 And if you can relate to that, then check this out 
 Oh, girl, I wanna be loved, loved by you, baby 
 I wanna be loved by you 
 I wanna be loved by you 
 I'm Donnie, a loveable Leo 
 And rather than tell you how I feel, I'm gonna sing it for you, baby 
 I wanna be loved by you, girl 
 I wanna take you by the hand and make you understand 
 I wanna be loved by you 
 I wanna be loved by you 
 Well, I guess they saved the best for last 
 I'm Jordan, and I'm a Taurus 
 And if you think you know everything about me, then check this out 
 I wanna be loved by you baby, by you, baby 
 I wanna be loved by you 
 I wanna be loved by you"
8,New Kids On The Block,pop,Don't Give Up On Me,"Baby don't you give up on me 
 You got to know you're my insperation 
 Baby don't you give up on me 
 Don't you know you're my only sensation? 
 And baby, when you hold me like this 
 It feels so nice 
 Girl, you're all that I need 
 You're all I want 
 Don't give up on me, baby 
 Please just be strong 
 It took a whole lotta lovin' 
 Kissing and a-huggin' 
 Oh girl, you keep me burning 
 Hey Girl, is this really for real? 
 When you're calling my name 
 I go insane 
 And baby when you look in my eyes 
 I'm in paradise 
 Girl, you're all that I need 
 You're all I want 
 Don't give up on me, baby 
 Please just be strong 
 It took a whole lotta lovin' 
 Kissin' and a-huggin' 
 Oh you keep me burning 
 Hey girl, this is really for real! 
 (Chorus repeat 2x) 
 Hold on! 
 Don't give up! 
 (Repeat 2x) 
 Baby, whenever you're near me this way 
 And darlin' I can't find the words just to say 
 When you're calling my name 
 I go insane 
 And baby when you look in my eyes 
 I'm in paradise 
 Girl, you're all that I need 
 You're all I want 
 Don't give up on me, baby 
 Please just be strong 
 Don't give up! 
 Baby, Baby, don't give up on me girl 
 Don't give up on me baby 
 Baby, don't you give up on me 
 I've got to, I've got to, I've got to have your lovin' baby! 
 Don't give up baby. Oh Oh Oh. 
 Don't give up! 
 (Repeat chorus to fade out)"
9,New Kids On The Block,pop,Treat Me Right,"Come on girl! Ooh! Yeah! 
 You're my pretty little angel, gorgeous little girl 
 I really love to see you in your candy curl 
 You're sugar in the morning, sugar in the night 
 Come-a, come-a, come-a, mama, treat me right 
 (Treat me right) 
 Come on, girl 
 (Treat me right) 
 Ooh, baby 
 (Treat me right) 
 Oh, girl 
 (Treat me right) 
 Ooh! 
 Come-a, come-a, come-a, come-a, mama and treat me right 
 Every time I see you walkin' down the street 
 You're lookin' so good you make my heart skip a beat 
 Pretty little angel, gorgeous little girl 
 Come-a, little lady, let me rock your world 
 Hey! You're lookin' real good! 
 Don'tcha know you're the only girl 
 The only girl I want in this whole world 
 You got to know that I love you so 
 And I'm never ever gonna let you go 
 Early in the morning when the sun comes out 
 You're the only thing that I'm thinkin' about 
 You're sugar in the morning, sugar in the night 
 Come-a, come-a, come-a, mama, treat me right 
 Don'tcha know you're the only girl 
 The only girl I want in this whole world 
 You got to know that I love you so 
 And I'm never ever gonna let you go 
 Pretty little angel, gorgeous little girl 
 I really love to see you in your candy curl 
 You're sugar in the morning, sugar in the night 
 Come-a, come-a, come-a, mama, treat me right 
 Hey! You're lookin' real good now! 
 Treat me right girl, treat me right [3 times] 
 Hey! You're lookin' real good now! 
 (Chorus and fade)"
