,0,1,2,3
0,Pharrell Williams,pop,Can I Have It Like That,"Ladies and gentlemen. 
 Yes sir. 
 Let's do this. 
 Yes sir. 
 Yo, On and on and my nuts I'm palming, 
 Take 2 of these and call me in the morning 
 You should see the way the chain heart is to charmin' 
 Flying like a bird like Nelly Furtado 
 Shit pop your bottles toast to screen cheers! 
 Getcha 2-step 'cause it's the record of the year 
 Nigga that brought you ice creams 2 for a pair, 
 Officially announcing that this is warfare 
 'Cause back in the day my clouds was grey 
 And it seemed like my angels couldn't blow them away 
 But then I sold my first verse that cut the NSX 
 But I was still ridin' in them thin ass jets, 
 But now, 
 Made my business so clear out the window of the leer 
 And I'm talking on my celly all this shit that you should hear, 
 Listen clearly now, 
 Hello, can you hear me now? 
 Can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 So act like your tryin' to get this money right quick, 
 So can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 On and on and this beat is zoning, 
 I control the mind straight over the phone, 
 Let 'em explore the words something like a tourist, 
 They never get addicted unless the haddy wibes the surice... 
 From Louisdales to Jimmy Chaos is real, 
 She knows the time she sees the richard mille, 
 Flat double skeletal tourbillon 
 It's just like her body move it turns her on, 
 She like the way my hands use her body for hand warmers, 
 And all our car doors go up like Transformers 
 See I can do it this-a-way I can do it that-a-way 
 From the crib in Viginia to that new Miami getaway 
 So cool like new edition that she hollas your scent, 
 I'll get it okay, let it boil away, 
 But please run along, 'cause ladies is feelin' wrong, 
 And I got some right for 'em right after this song 
 'Cause my name is Skate-Board-P 
 Ladies and gentlemen, 
 Can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 So act like your tryin' to get this money right quick, 
 So can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 On and on and the temperatures warming 
 I spit heat flashes, niggas get nautious, 
 Bright as a bitch 
 So analyze with caution 
 When the light hit the ice bet a 100 that you vomit 
 Should I mention the fact the transition is the track? 
 No one change into the vision just to get me where I'm at 
 No skateboy P too grown 
 Riding up and down college in that new 2 tone 
 It's so cold you don't wanna feel the chill of it. 
 Uh! 
 Just stand back and just look at the grill of it. 
 Uh! 
 I don't smoke but I bet the... love it! 
 It totally intensifies VIVD ass appeal of it, 
 You could be jealous, and grit your teeth, 
 But all these little niggas got something in reach 
 While on my boat party trying to sunseek, 
 Ladies and gentlemen, 
 Can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that 
 So act like your tryin' to get this money right quick, 
 So can I have it like that? 
 You got it like that 
 Can I have it like that? 
 You got it like that."
1,Pharrell Williams,pop,How Does It Feel?,"Woo woo! [in background] 
 Yes sir! Aha 
 New Skateboard P 
 Hey! 
 Let's go get 'em 
 Uh-huh 
 Yo, hola. 
 Mearle maire, club muchacho 
 Asorted flavours, in they solatos 
 Inspire young minds, stacked by Nato's 
 With the right determination of a patho 
 Running 'cross the water with bricks at his poncho 
 Face like a shoot when it's bussin' my glock hold 
 Vanity stings, till I die when the holy father hands me my wings 
 When I was young yo the teacher gave me stanity dreams 
 Giving me music like... and they handed me things, they shoot it up 
 See me on the TV, the cuties they wanna... 
 Both presidential and plus, they hoop it up 
 Got more hits in his zip, who want enough 
 I can go back in time, you be Judge Eato 
 With my men and depedo I know you thinkin' Neato 
 Givin' peace to minutes, something like your T-Vo 
 But it's 3 hundred thousand more with no remote 
 Take it in the rain, I used to live with Tito 
 But he clowned me and told me that my money's free-doughs 
 Now the Enzo doors go up like a Dilo 
 Reon, same song some from my man Nigo 
 SLR, when the doors go up it's like a fresh elle jar 
 Nigga we boss, he shall not get hot, he too frost 
 Yes sir... 
 My nigga close your eyes, 
 Just picture you're self just holdin' pies 
 Impliment a plan and and you'll surely rise 
 Just promised by the man that controls the skies 
 Don't you see, I know that shit's so ill 
 Better yet, dawg, just tell me how you feel 
 ...How you feel dawg? 
 We just picture thinking, dreaming, scheming, breathing, reading, all in the late night 
 Shaking, boiling, lacing, bacon, shaking, shaping, gotta get this cake right 
 As I serve it, you just burn it, breathe it, learn it, now watch you take flight 
 ...My nigga how does it feel? 
 Ha ha! Yes sir! 
 Nigga you don't know me 
 I'm part Howard Hues, part horny, part holy 
 First trip on the ramp is the rock and rolly 
 Keep one on my staff with a new pro-chromy 
 If they priest need the mention that I've been biten 
 But a force be the chocolate where critics are written 
 He dresses insane where his music admire 
 Ask anyone from Vouge and Esquire And Vanity Fair you like can of the year 
 But you should guess who's in insanity chair 
 Now it ain't about what I want 
 Still thumbing through my life like a star born 
 It's one thing to say you did it 
 It's one thing to lie about your didgits 
 It's one thing to say that you live it 
 It's another for you fuckers to admit it 
 But I admit I got all this paper plus the prettiest faces that's off of our nature 
 I drive a Casper, s'cuse me Cassper, wanted meet me at my house, I got space like NASA 
 And it'll make me happy buy yourself a Sattle 
 Unlike my sister Stacy when she lost her papa 
 I been there, gettin' stroke and nothing to trap-uh 
 John could do, when surrounded with true 
 A man dies, baby born, as far as Peru 
 It's a simple proof between us and imposters 
 We hop in the air, and don't care what it costs us 
 Now I'm with NERD with a pit full of Martians 
 I guess you could say that we fly like saucers 
 Zapping at niggas, with classing and figure 
 The cash and class whippers 
 The thrashing mag ripper 
 Go 'head and say it 
 Yes sir! 
 My nigga close your eyes, 
 Just picture you're self just holdin' pies 
 Impliment a plan and and you'll surely rise 
 Just promised by the man that controls the skies 
 Don't you see, I know that shit's so ill 
 Better yet, dawg, just tell me how you feel 
 ...How you feel dawg? 
 We just picture thinking, dreaming, scheming, breathing, reading, all in the late night 
 Shaking, boiling, lacing, bacon, shaking, shaping, gotta get this cake right 
 As I serve it, you just burn it, breathe it, learn it, now watch you take flight 
 ...My nigga how does it feel? 
 Ha ha! Yes sir! 
 Nigga you don't know me..."
2,Pharrell Williams,pop,Raspy Shit,"Little better 
 Yup 
 Little skateboard p 
 Yes sir 
 Yes sir 
 Yes sir 
 Yes sir 
 Ma the way you huggin' on me is a problem what the fuck you tryin' to end up in the gossip column 
 I know I got jewels like I'm the pharroah of the ghetto 
 But we are in the bright ass shiny carrara 
 Stickin' your feet out the window so they can see your stillettos 
 Costs a thousand dollahs same as your house 'n' holla 
 Not to mention your wrists and the 30,000 collah 
 Pussy must be good he's victim to your power... shit 
 That nigga like me I would never allow it 
 Spit that shit on me I'd ask you haveyou showered 
 You wanna get up in my boat and ride 
 Take pictues of with the kid up in ocean drive 
 Go to casatua and sip on calluas at the bar talking to other women about the best jewelers 
 You would like that huh... 
 Smile and still call your girlfriend 
 Who fell asleep at the wheel 
 Don't try to come up on my ear talkin' all that raspy shit... raspy shit 
 Don't try to come up on my ear talkin' all that raspy shit... raspy shit 
 Don't try to come up on my ear talkin' all that raspy shit... raspy shit 
 Don't try to come up on my ear talkin' all that raspy shit tryin' to ask me shit 
 Hey yo I walk in brashest 
 Certainly the crassest 
 The restuarants classes 
 The owners is ass 
 My money is green like the helmet of a fashess 
 So what you want patrone no patrussi in glasses 
 Ain't no mystery his daughter knows the history 
 And every night we toast like its victory get with me 
 And I ain't change sense my early intel 
 I've been snackin on shrimp and sippin on shirrley temples 
 What you want 
 No seriously what you thinkin' sense the yukon 
 Never puffed a jay you ask lou shaun 
 Back when he pushed babes like it was like coupons 
 With a house full of dames like it was moulon 
 I would ask there name but they would only do shaun 
 And I ain't sayin' they regret it but fuck would they do but if they could reverse time what the fuck would they do 
 Don't try to come up on my ear talkin' all that raspy shit... raspy shit 
 Don't try to come up on my ear talkin' all that raspy shit... raspy shit 
 Don't try to come up on my ear talkin' all that raspy shit... raspy shit 
 Don't try to come up on my ear talkin' all that raspy shit tryin' to ask me shit 
 Honeys pandomania eyes like a rainion lighter than the blue of the sky or the day we in 
 Ass like a volleyball 
 Kind that make your dick hard 
 Head to the hustlas so sweet she can get cars 
 Now she here with me little skateboard p cheaper than the sound of a bird that chirps 
 I spit then I hit then I murk yes sir 
 I flick chicos sticks and a twix that's her 
 She admire how a champion lives how I sign Ja Rule with a ramp in my crib 
 I'm a champion I do as a champion did except I improve with the new and the rest get rid 
 But some y'all don't like that it seems you tryin' to bite back instead of sayin' hi gettin' fly but I'll be right back 
 My dude got the skills if you think your fly 
 Shoot the wings of your egoand watch you sky dive 
 Don't try to come up on my ear talkin' all that raspy shit... raspy shit 
 Don't try to come up on my ear talkin' all that raspy shit... raspy shit 
 Don't try to come up on my ear talkin' all that raspy shit... raspy shit 
 Don't try to come up on my ear talkin' all that raspy shit tryin' to ask me shit."
3,Pharrell Williams,pop,Best Friend,"Yeah, ye... spit my gum out right now... haha 
 What up world? Got my insperation in the studio with me, right?...feelin' good 
 Got a lot to smile about, ahaha, talk to y'all niggas... yessur, hey 
 My best friend say I'm bottled up, I need a fucking therapist 
 But I can't think of nobody I wanna share this with 
 Why should I open up on somebody elses carelessness... 
 (Cork pops) There goes the top, nigga, so here it is 
 Mama workin' all day, Daddy out in the streets 
 Imagine 10 years old full of doubt and defeat 
 Growing up around criminals, with clout and deceat 
 My grandma Loucelle used to tell me, you about what you wheap 
 She used to help me with my homework, addiction-subtraction 
 Added faith to my life and doubt got subtracted 
 Wanna skip ya mind from crying better learn something, son 
 You be beatin' on my couches, why don't you try hit the drums 
 Look, ooh you see me ma 
 They wish they could be me ma 
 As I got better, her body was eaten by Luchimia 
 Seventh grade, it was cursed and sad 
 But the gift within it, was when I first met Chad 
 But even Chad could tell you that my Christmas was jinxed 
 'Cause grandma Loucelle died on 12th 19th 
 I can't help but wonder, what kind of black cloud I was under 
 'Cause 15 years later the other died that summer... bummer 
 My best friend told me, you be actin' tough, that's fine 
 But the weight of the world can really crush one's mind 
 So let it out P (what), let it out P (what), let it out P (what), let it out P (what). 
 See, you won't even know you hurt sometimes, until you in conversation it comes out in a line so let it 
 Out P (what), let it out P (what), let it out P (what), my nigga let it out 
 Aye yo, 10 21 Atlantis drive, nigga was action packed 
 That's Atlantis apartments, we live in half the back 
 That's where the 12 year olds there, they wbe flashing crack 
 And when they shoot you nigga, they ain't tryin' to pass it back 
 Aye yo, Diggy, Fleet and Marvian can you imagine that? 
 The place we love the most, the hood was built to smash us flat 
 But I escaped 'cause I chased, what made me passion that 
 Now I got my skate team and spit these acid raps 
 So many niggas will rise 
 So many them niggas try 
 So many them niggas ended up duck-taped and tied 
 So many them same niggas, man they moms eyes cry 
 So, they just got older, still on the corner with they pride 
 Well let me tell niggas something, I'm so glad you alive 
 Long as you got a breathe, a pulse, nigga strive 
 Devine intervention this is 
 I heard a voice nigga, listen to this 
 My best friend told me, you be actin' tough, that's fine 
 But the weight of the world can really crush one's mind 
 So let it out P (what), let it out P (what), let it out P (what), let it out P (what). 
 See, you won't even know you hurt sometimes, until you in conversation it comes out in a line so let it 
 Out P (what), let it out P (what), let it out P (what), my nigga let it out 
 Jesus will arange it, but Jesus wont change it 
 Hold yourself responsible, on yourself you blame it 
 You mad, nigga don't articulate and ??, 
 I.E. we best friends, speak best friends language 
 I'm a happy nigga, you can't approach me in anguish 
 Whoever said anything worth working for would be painless 
 Can't be mad at the world 'cause you and your girl ain't famous 
 'Cause you both on bate, BBC and chainless 
 Also your rangless, therefore switch laneless 
 Now you brainless, dangerous, 'cause you pull out the stainless 
 All of sudden you smart, now you do something hainess 
 First time you get caught, now your ass is famous 
 No longer chainless, and the bus switching lanes is a bad look 
 Yo girl with ya man sellin' laneless, Stop 
 Nigga rewind and reverese slides 3 times 
 Reassess your thinking and trust me it'll be fine 
 First pitcure your goal, and repeat 'It'll be mine' 
 Or fuck it nigga, just keep imagine killin' me fine 
 Now you, scruntching your face tryna ace attainment 
 When you should be tryna find a place to base your shame, nigga 
 Sucess is taingeable, don't wait for fame 
 I thought you would receive it better if I ain't say ya name 
 You unsure of yourself, sit still and think 
 Review those actions if it fit, put your name in the blank 
 My best friend told me, you be actin' tough, that's fine 
 But the weight of the world can really crush one's mind 
 So let it out P (what), let it out P (what), let it out P (what), let it out P (what). 
 See, you won't even know you hurt sometimes, until you in conversation it comes out in a line so let it 
 Out P (what), let it out P (what), let it out P (what), my nigga let it out 
 Star Track, is who we are. (x4)"
4,Pharrell Williams,pop,You Can Do It Too,"My nigga you can do it too (turn me up, turn me up) 
 You can do it too 
 My nigga you can do it too 
 You can do it too 
 You can do it too (Just tellin' you, ya know?) 
 Aiyyo 
 Never in a million years I'll imagine I'll get my thrills 
 By listening to squeals of PJ wheels 
 As we land I duck down, I stick my head up my dick is 
 Being sucked down, by a bitch named what now 
 I look in her eyes, and her eyes are like an orange stars 
 Look at the reflection of my foreign car by R & R 
 I stick my feet out, you know the bapes that's made of eel 
 You know the new checks with nigo face right on the heel 
 I was a marching band, I was a skateboader 
 Jesus made wine, I couldn't make water 
 Ox-moronic, I'm here to destroy all you hate hoarders 
 You niggaz were cool in school now you niggaz take orders 
 I'm not dissin your job 
 But now you listen and nod 
 Some mount the limit shit, I know this position is odd 
 Don't Gasp for air 
 You can turn blue 
 Look, accel nigga 
 Trust me you can do it 
 You can do it too young blood 
 You can do it too young love 
 Just watch what you do young blood 
 And watch whose in your crew young blood 
 It don't matter if you do drugs, 
 And even if you threw slugs 
 You can do it too young blood 
 I did you can do it too 
 (Verse Two) 
 I know niggaz are like there's no returning when I 
 Bought that white five-fifth 
 So white that the coke heads just might try sniff 
 I ordered the phatom coupe, that's smoke pipe grey 
 And the interior was like crack white beige 
 At least that's what it looked like when it was on that page 
 I combed the whole brochure and it did not say, oh well 
 Life's a bitch but not too extreme 
 Life's got a fat ass, Trust me I'ma fuck full steam 
 I make the world cream and scream, while I'm gettin' my cream 
 I'm coming to America call me Prince Akeem, yessir 
 It's kinda weird, 'cause this I dream 
 Kinda prophetic ya get it 'cause this I seen 
 These type of visions, since I's teen 
 I told my teacher what I saw, she said I missed byzine 
 Laughed with the class with the slightest clue 
 You be buying my shit, and I be rappin' to you, but you can do it too 
 (Verse Three) 
 I know you heard the story about the dude with the attitude 
 Pharrell he don't even know you but he mad at you 
 He got robbed and it seems he has a huge 
 He's frustrated and that it all he has is you 
 So, things propel and things excel 
 The next the a bing comes out the barrell 
 And my man they accused him of sittin' tight up in jail 
 Ironic he close my man luke can hear him yell 
 I ain't do it but somebody dropped him flat 
 I felt the wind from it, that was God cocking back 
 I got a call from Virginia grandma went back 
 The line was fluctuated but it just now went flat 
 See her body went down and her soul went up 
 She sent angels around me so evil could not touch 
 I don't lie no more and I'm haunted when I fuck 
 Wealthy niggaz with a conscience, yeah you know what's up 
 The wires across, and it's breeding a plague 
 The conscience is hungry, and it's eating away 
 Trying to make sense of it, but it's speedy in vain 
 Up all night with the books and you read till the day 
 But still ya house of diddy 'cause you got a little paper 
 Push a cat in the corner, trust me it's the nature 
 Never underestimate the-things you do 
 Read your verse too, inhale the ""ooh"", and go 
 (Man Singing) 
 Don't be afraid to look up the sky (8X)"
5,Pharrell Williams,pop,Keep It Playa,"(Slim Thug) 
 Say P, man the other day, boy I'm at the club, mane with this broad or whatever. I walk in, I see her 
 Talkin' to some dude or whatever you know what I'm sayin'. So I holler at her, I say 'Aye man, check this out 
 Man, I seen you over there hollerin' at ol' boy. I ain't hatin' on that, you know what I'm sayin'. But I got a 
 Friend comin' through, too. So when you see her, don't trip, you know what I'm sayin', keep it playa mane, 
 You know what I'm sayin'. 
 (Beat starts) 
 So my broad shows up or whatever, mane. This girl wanna take a swang at her, mane. 
 (Pharrell) 
 That ain't right. 
 My man favorite record right here 
 Yes sir P's chick 
 (Veres 1: Pharrell) 
 Before you say it's cheaper to keep her 
 We consider and read her 
 Man, she might be the type that want P to feed her 
 She wants a little cheaper, a little margarita 
 Mane, them draws comin' off when she see the two-seater 
 So put your Porche up, uh 
 Get your divorce up, uh 
 I'm sure she'll sign it when she seen me put my doors up 
 Mane, them niggas only wanna mothafucker here 
 She threw her heels in the ocean, so she stuck to chill 
 The trunk is still, hopin' there's something between ya 
 Now she laughin' how she took your ass to the cleaners 
 Mane, I'm on your side, not tryin' to inconvient 
 Just know we got them mean keys in them plastic meaners 
 So keep it player dawg, 
 Don't make me say it, naw 
 Do something drastic, know that plastic heavy weighing, dawg 
 If it ain't music, or this money, I don't play at all 
 And she ain't either, so that means she doesn't weight at all 
 Now we can both post sip or keep it playa mane 
 And we can both pull a misses, keep it playa mane 
 Or we grind our wrists and keep it playa mane 
 Or you can scram cocksucker if you a hater mane 
 I keep 'em ladies going 
 (Verse 2: Slim Thug) 
 I'm a grown mane, Thug ain't the one to play no games with ya 
 Rule the one to call and come get out the chain with ya 
 And hang with ya, when ya full of Patron 
 And oh yeah, brang one of ya cute partnas along 
 Because I'm only 25, and still going live 
 I got the estate by the pool, by the lake outside 
 I wake up and gotta pick which car I'm a drive 
 The Double R 760, or the 645, I'm 
 Havin' thangs, mane, check out the chain 
 Money ain't never been a thang 
 You see watch and the rang 
 The watch and the rang 
 Rocks the nicest, never seen nothin' like this 
 I'm a Boss I on' ask what it cost, my life priceless 
 Baby girl you might just 
 Get the shatter shine 
 Long as you not selfish or learn to share sometimes 
 And of course I'm still you'res and you're still mine 
 But you can't be a hater, mane 
 You gotta keep it playa, mane 
 Now we can both post sip or keep it playa mane 
 And we can both pull a misses, keep it playa mane 
 Or we grind our wrists and keep it playa mane 
 Or you can scram cocksucker if you a hater mane 
 I keep 'em ladies going 
 (Verse 3: Pharrell) 
 They say J. Lo shouldn't show her ass and all 
 Knowin' the worst thing could happen is a nigga could palm 
 Now my agent sayin' the only way that he could be calm 
 I put a hundred mil on each song, like my name was Lebron 
 Not the ice, my beat is worth more 
 Attractive like a whole damn Jacob store 
 See niggas hate you more when you take they broad 
 But his girl looked in my ear and seen her matrix door 
 Dude's is foolish, they hues us to chew us 
 I mean, the Smurfs, the green, the rocks is so bluish 
 You can't out bling me, or BBC jean me 
 You ain't got no vibrate, you can go and ask MiMi 
 I think and relay it 
 I blink and PJ it 
 You wanna make fast bucks, take this and Ebay it 
 And all you Phantom owners know why you can't stand me 
 Got one in Virginia, 'nother one in Miami 
 Yes sir 
 Now we can both post sip or keep it playa mane 
 And we can both pull a misses, keep it playa mane 
 Or we grind our wrists and keep it playa mane 
 Or you can scram cocksucker if you a hater mane 
 I keep 'em ladies going."
6,Pharrell Williams,pop,That Girl,"(Pharrell:) 
 We do this in our sleep ... 
 Yes sir 
 (Snoop Dogg:) 
 You ever been in love before? 
 Let me holla at you mann 
 You know it's hard for a playa to admit that sometimes 
 But I'm a spit that sumtimes 
 You know wat I'm sayin' 
 Ay p, give it to 'em one time, nephew 
 (Pharrell and Charlie:) 
 There's sumthin bout this girl 
 From around my way 
 Ever try to hold back your feelings, 
 But it just wouldn't stay? 
 But when I finally found the words to say 
 I wanted to run away 
 Simply run away 
 (Pharrell:) 
 You can try to run and hide 
 It wont make a difference 
 You can lie to urself 
 Of the reason 
 Sure it hurts wen it comes to ur attention 
 That you're in love with the girl 
 Yessir, that's her 
 But it wasn't like that back wen I met her 
 The lavish life from all the do? spun 
 Before the double R had the hitchhike thumb 
 Her friends didn't like niggas like us but i 
 Arrested the coochie and her feelings got cuffed 
 Spiderweb sex, must'a got caught up 
 But there's more to it 
 I remember once 
 Sayin' let's shit on the peons 
 Let's go ta vegas nd watch celine dion 
 Make 'em say 'wat we on?? 
 You say no like you was doin' it for eons 
 Fuck it, I'll just hum and let the watch give off the neons 
 Wen it rains it pours 
 I laughs to myself wen I change the score 
 You said my sex was a lot but my brain gave you more 
 And sumn bout how ya ex was a toy 
 I guess he played games 
 There's only diamond dice here 
 Not tryin' ta justify 
 But wen ya shut ya eye you can touch the sky 
 You in trouble ma 
 And you should pray about speed 
 But if this 'bout you 
 Wat that say about me? 
 (Pharrell and Charlie:) 
 But when I finally found the words to say 
 I wanted to run away 
 Simply run away 
 (Pharrell:) 
 U can try to run and hide 
 It wont make a difference 
 U can lie to urself 
 Of the reason 
 Sure it hurts wen it comes to ur attention 
 That ur in love with the girl 
 (Snoop Dogg:) 
 See I'm a crip in dark blue chucks 
 And I does wat I does 
 Yeah I might say 'cause? 
 It's really weird 'cause a nigga got love 
 Snop Dogg's a crip and the girl was a what?? 
 She told me that her baby-daddy was a thug 
 Now it is wat it is and it was how it was 
 I'm hollin lil mama like wat 
 Money mo stacked tryin' ta get my g's back 
 All these memories breed seeds of a rhythm rhyme pleaser 
 Laid back while we sippin on a breeza 
 Fresh 4-pack sittin' in the freeza 
 Ain't that kadeeja? I heard she was a Skeeza? 
 She used ta hit them licks wit the Beezas 
 Wen I seen her wit the homies, I was like ?JESUS!? 
 It's been a lil min since I seen her 
 Hope her man don't run up 'cause ill have to pull the neena 
 (Pharrell and Charlie:) 
 There's sumthin bout this girl 
 From around my way 
 Ever try to hold back your feelings, 
 But it just wouldn't stay? 
 But when I finally found the words to say 
 I wanted to run away 
 Simply run away 
 (Pharrell and Charlie:) 
 You can try to run and hide 
 It wont make a difference 
 You can lie to urself 
 Of the reason 
 Sure it hurts wen it comes to your attention 
 That you're in love with the girl."
7,Pharrell Williams,pop,Angel,"(Pharrell talking) 
 I don't know why these niggaz don't see what I see in you girl 
 BAD girl 
 Haha, yeah 
 (Yeah yeahhheeaah) 
 She got an ass like loaf of bread 
 Make you want a slice 
 She's the girl you take her home to mother 
 But she don't want ya bread 
 Brother, ya betta think twice (twice) 
 See, ya can see the heat I will be her butter 
 She's an angel 
 She's the girl, I want to share my dreams 
 She's an angel 
 I don't care if she can't fly over things 
 She's an angel 
 I don't care if ya can't see her wings 
 Watch her fly, yeah, mothafuka oh oh. 
 She's in my dreams when I sleep (yeah, yeah) 
 (Whoa oh) But when I wake she's gone so I weep (yeah, yeah) 
 She's an angel 
 She's the girl, I want to share my dreams 
 She's an angel 
 I don't care if she can't fly over things 
 She's an angel 
 I don't care if ya can't see her wings 
 Watch her fly, yeah, mothafuka oh oh. 
 (Pharrell talking) 
 ""Hello, yeah mom 
 I love you too 
 I'm just nervous about this girl 
 What do you think I should do? 
 I'm talking to her 
 I'm here with her dad 
 You sure? 
 I'm do it now"" 
 Ding, Dong 
 Father can she hang with me tonight 
 To go to the mall (Whoa oh) 
 I won't touch ya girl in your sight 
 Don't y 
 She's an angelou see at all 
 She's an angel 
 She's the girl, I want to share my dreams 
 She's an angel 
 I don't care if she can't fly over things 
 She's an angel 
 I don't care if ya can't see her wings 
 Watch her fly, yeah, mothafuka oh oh"
8,Pharrell Williams,pop,Young Girl/I Really Like You,"(You know) 
 (You know listen to me) 
 Mama help I fell in love with a young girl 
 (That's true, so true) 
 (You're the only girl I love too) 
 My heart was soakin' and I'm broken in a young world 
 (So true, so true, listen) 
 I wasn't tryin' to lead her on 
 See I didn't wanna be alone 
 But when she smiles she brought me home 
 So I brought her home, 
 It's not that the feelin' of love is gone 
 Can't expect a kind little girl to be grown 
 I can't give a fuck what so and so says 
 Crushes hurt both ways 
 What on earth, what I'm supposed to do? 
 What on earth, what I'm supposed to do? 
 What on earth, what I'm supposed to do? 
 Somebody tell me what I'm supposed to do 
 Mama help I fell in love with a young girl! 
 What on earth, what I'm supposed to do? 
 Young girl, so in love with you 
 What on earth, what I'm supposed to do? 
 What on earth, what I'm supposed to do? 
 What on earth, what I'm supposed to do? 
 Somebody tell me what I'm supposed to do 
 My heart was soakin' and I'm broken in a young world! 
 What on earth, what I'm supposed to do? 
 Young 
 Young girl, so in love with you 
 The single girls are out tonight 
 But you have one word, my heart, one life 
 And I'm not lookin' around 
 So why you lookin' down? 
 (What you lookin' down for?) 
 I fucked up a long time ago 
 See I should have never let you know 
 See I couldn't give a fuck what tabloids say 
 (As the People magazine) 
 And crushes hurt both ways 
 What on earth, what I'm supposed to do? 
 What on earth, what I'm supposed to do? 
 What on earth, what I'm supposed to do? 
 Somebody tell me what I'm supposed to do 
 Mama help I fell in love with a young girl! 
 What on earth, what I'm supposed to do? 
 Young girl, so in love with you 
 What on earth, what I'm supposed to do? 
 What on earth, what I'm supposed to do? 
 What on earth, what I'm supposed to do? 
 Somebody tell me what I'm supposed to do (HOV!) 
 My heart was soakin' and I'm broken in a young world! 
 What on earth, what I'm supposed to do? (HOV!) 
 Young girl, so in love with you (HOV!) 
 (Jay-Z) 
 HOV got a young girl 
 HOV got a young girl 
 Still not quite 21 
 So high strung 
 Such a vibrant thing 
 I introduce myself, hi Ms. Thing 
 You're 19? 
 No, you're lighting in a bottle, I give you a ring tomorrow 
 The scene that follows 
 Screens of horror 
 Classic Steven King novel 
 Mamma don't think you should take someone so advanced in romance 
 You should just wait 
 Papa don't preach 
 HOV don't bite 
 Hopin' through it I might mo' your life 
 'Cause imma show you right 
 Proper etiquette how to hold your knife 
 Keep it competitive with Oprah's ice 
 Be like Janet, take control of your life 
 What on earth, what I'm supposed to do? 
 (Young girl) 
 What on earth, what I'm supposed to do? (young girl) 
 What on earth, what I'm supposed to do? 
 (Young girl) 
 Somebody tell me what I'm supposed to do 
 (Young girl) 
 Mama help I fell in love with a young girl! 
 What on earth, what I'm supposed to do? 
 (Too young, I'm never top young) 
 Young girl, so in love with you 
 ('Cause I'm never too young) 
 What on earth, what I'm supposed to do? 
 (Too young, I'm never too young) 
 What on earth, what I'm supposed to do? 
 ('Cause I'm never too young) 
 What on earth, what I'm supposed to do? 
 (Too young, I'm never too young) 
 Somebody tell me what I'm supposed to do 
 ('Cause I'm never too young!) 
 My heart was soakin' and I broken in a young world! 
 What on earth, what I'm supposed to do? 
 Young girl, so in love with you 
 (This is where the story begins baby)"
9,Pharrell Williams,pop,Take It Off (Dim The Lights),"We've just been laughin' 
 Chattin' but nothins happened 
 'Cause I promise I'll be gentle 
 I know your mind is travelin' 
 I can tell you want some 
 I know you wanna come in my arms (my arms) 
 (You want some) 
 Take it off now girl, take it off 
 (I'm a master, baby wit'cha bra) 
 Take it off now girl, take it off 
 (I can help you slide those panties off) 
 Take it off now girl, take it off 
 (Damn, that bootie's so soft) 
 Take it off now girl, take it off 
 (It feels so good in my palms) 
 Dim the lights down baby, dim the lights 
 We gon' double your heart great form lady, just dim the lights 
 (...I'm a beat the pussy like you never ever felt before) 
 Dim the lights down baby, just dim the lights 
 We gon' double your heart great form lady, just dim the lights 
 (...I'm a beat the pussy like you never ever felt before) 
 You breathe while your laughing 
 Smiling at what just happened 
 I try to keep it simple 
 'Cause I know that you're old fashion 
 You wanna be wild (wanna be wild) 
 You don't wanna be tamed (don't wanna be tamed) 
 Even though you're just a prize, (just a prize) 
 You wanna come again (you wanna come again) 
 Take it off now girl, take it off 
 (I'm a master, baby wit'cha bra) 
 Take it off now girl, take it off 
 (I can help you slide those panties off) 
 Take it off now girl, take it off 
 (Damn, that bootie's so soft) 
 Take it off now girl, take it off 
 (It feels so good in my palms) 
 Dim the lights down baby, dim the lights 
 We gon' double your heart great form lady, just dim the lights 
 (...I'm a beat the pussy like you never ever felt before) 
 Dim the lights down baby, just dim the lights 
 We gon' double your heart great form lady, just dim the lights 
 (...I'm a beat the pussy like you never ever felt before) 
 Take it off now girl, take it off 
 (I'm a master, baby wit'cha bra) 
 Take it off now girl, take it off 
 (I can help you slide those panties off) 
 Take it off now girl, take it off 
 (Damn, that bootie's so soft) 
 Take it off now girl, take it off 
 (It feels so good in my palms) 
 Dim the lights down baby, dim the lights 
 We gon' double your heart great form lady, just dim the lights 
 (...I'm a beat the pussy like you never ever felt before) 
 Dim the lights down baby, just dim the lights 
 We gon' double your heart great form lady, just dim the lights 
 (...I'm a beat the pussy like you never ever felt before)"
