,0,1,2,3
0,Queen,rock,Keep Yourself Alive,"Take off 
 I was told a million times of all the troubles in my way 
 ""Mind you grow a little wiser, little better every day"" 
 But if I crossed a million rivers and I rode a million miles 
 Then I'd still be where I started, bread and butter for a smile 
 Well, I sold a million mirrors in a shop in an alleyway 
 But I never saw my face in any window any day 
 Now they say your folks are telling you ""Be a superstar"" 
 But I tell you just be satisfied, stay right where you are 
 Keep yourself alive, yeah 
 Keep yourself alive 
 It'll take you all your time and money 
 Honey, you'll survive 
 Well, I've loved a million women in a belladonnic haze 
 And I ate a million dinners brought to me on silver trays 
 Give me everything I need to feed my body and my soul 
 And I'll grow a little bigger, maybe that can be my goal 
 I was told a million times of all the people in my way 
 How I had to keep on trying and get better every day 
 But if I crossed a million rivers and I rode a million miles 
 Then I'd still be where I started, same as when I started 
 Keep yourself alive, come on 
 Keep yourself alive 
 It'll take you all your time and money 
 Honey, you'll survive, shake 
 Keep yourself alive, wow 
 Keep yourself alive 
 It'll take you all your time and money 
 To keep me satisfied 
 Do you think you're better every day 
 No, I just think I'm two steps nearer to my grave 
 Keep yourself alive, come on 
 Keep yourself alive 
 You take your time and take my money 
 Keep yourself alive 
 Keep yourself alive, come on 
 Keep yourself alive 
 All you people 
 Keep yourself alive 
 Keep yourself alive, come on, come on 
 Keep yourself alive 
 It'll take you all your time and a money 
 To keep me satisfied 
 Keep yourself alive 
 Keep yourself alive 
 All you people 
 Keep yourself alive 
 Take you all your time and money, honey 
 You will survive 
 Keep yourself alive 
 Keep yourself alive"
1,Queen,rock,Doing All Right,"Yesterday my life was in ruin 
 Now today I know what I'm doing 
 Got a feeling I should be doing all right 
 Doing all right 
 Where will I be this time tomorrow? 
 Jumped in joy or sinking in sorrow 
 Anyway I should be doing all right 
 Doing all right 
 Should be waiting for the sun 
 Looking round to find the words to say 
 Should be waiting for the skies to clear 
 There ain't time in all the world 
 Should be waiting for the sun 
 And anyway I've got to hide away 
 Yesterday my life was in ruin 
 Now today God knows what I'm doing 
 Anyway I should be doing all right 
 Doing all right 
 Doing all right"
2,Queen,rock,Great King Rat,"Great King Rat died today 
 Born on the twenty first of May 
 Died syphillis forty four on his birthday 
 Every second word he swore 
 Yes he was the son of a whore 
 Always wanted by the law 
 Wouldn't you like to know? 
 Wouldn't you like to know people? 
 Great King Rat was a dirty old man 
 And a dirty old man was he 
 Now what did I tell you 
 Would you like to see? 
 Where will I be tomorrow? 
 Will I beg or will I borrow? 
 I don't care I don't care anyway 
 Come on come on the time is right 
 The man is evil and that is right 
 I told you ah yes I told you 
 And that's no lie oh no no no 
 Wouldn't you like to know? 
 Wouldn't you like to know? 
 Wouldn't you like to know? 
 Great King Rat was a dirty old man 
 And a dirty old man was he 
 Now what did I tell you? 
 Would you like to see? 
 (Show me) 
 Wouldn't you like to know? 
 Wouldn't you like to know people? 
 Great King Rat was a dirty old man 
 And a dirty old man was he 
 Now what did I tell you? 
 Would you like to see? 
 Now listen all you people 
 Put out the good and keep the bad 
 Don't believe all you read in the Bible 
 You sinners get in line 
 Saints you leave far behind 
 Very soon you're gonna be his disciple 
 Don't listen to what mama says 
 Not a word not a word mama says 
 Or else you'll find yourself being the rival 
 The great Lord before He died 
 Knelt sinners by his side 
 And said, ""you're gonna realise tomorrow"" 
 No I'm not gonna tell you 
 What you already know 
 'Cause time and time again 
 The old man said it all a long time ago 
 Come come on the time is right 
 This evil man will fight 
 I told you once before 
 Wouldn't you like to know? 
 Wouldn't you like to know? 
 Just like I said before 
 Great King Rat was a dirty old man 
 And a dirty old man was he 
 The last time I tell you? 
 Would you like to see?"
3,Queen,rock,My Fairy King,"In the land where horses born with eagle wings 
 And honey bees have lost their stings 
 There's singing forever 
 Lions den with fallow deer 
 And rivers made from wine so clear 
 Flow on and on forever 
 Dragons fly like sparrows through the air 
 And baby lambs where Samson dares 
 To go on on on on on on 
 My fairy king can see things 
 He rules the air and turns the tides 
 That are not there for you and me 
 Ooh yeah he guides the winds 
 My fairy king can do right and nothing wrong 
 Then came man to savage in the night 
 To run like thieves and to kill like knives 
 To take away the power from the magic hand 
 To bring about the ruin to the promised land 
 They turn the milk into sour 
 Like the blue in the blood of my veins 
 Why can't you see it 
 Fire burnin' in hell with the cry of screaming pain 
 Son of heaven set me free and let me go 
 Sea turn dry no salt from sand 
 Seasons fly no helping hand 
 Teeth don't shine like pearls for the poor man's eyes 
 Someone someone has drained the colour from my wings 
 Broken my fairy circle ring 
 And shamed the king in all his pride 
 Changed the winds and wronged the tides 
 Mother Mercury Mercury 
 Look what they've done to me 
 I cannot run I cannot hide"
4,Queen,rock,Liar,"I have sinned dear Father 
 Father I have sinned 
 Try and help me Father 
 Won't you let me in? 
 Liar 
 Oh nobody believes me 
 Liar 
 Why don't they leave me alone? 
 Sire I have stolen 
 Stolen many times 
 Raised my voice in anger 
 When I know I never should 
 Liar 
 Oh ev'rybody deceives me 
 Liar 
 Why don't you leave me alone? 
 Liar I have sailed the seas 
 Liar from Mars to Mercury 
 Liar I have drunk the wine 
 Liar time after time 
 Liar you're lying to me 
 Liar you're lying to me 
 Father please forgive me 
 You know you'll never leave me 
 Please will you direct me in the right way 
 Liar liar liar liar 
 Liar that's what they keep calling me 
 Liar liar liar 
 Listen are you gonna listen 
 Mama I'm gonna be your slave 
 All day long 
 Mama I'm gonna try behave 
 All day long 
 Mama I'm gonna be your slave 
 All day long 
 I'm gonna serve you till your dying day 
 All day long 
 I'm gonna keep you till your dying day 
 All day long 
 I'm gonna kneel down by your side and pray 
 All day long and pray 
 All day long and pray 
 All day long and pray 
 All day long all day long all day long 
 All day long all day long all day long 
 All day long all day long all day long 
 Liar liar they never ever let you win 
 Liar liar everything you do is sin 
 Liar nobody believes you 
 Liar they bring you down before you begin 
 Now let me tell you this 
 Now you know you could be dead before they let you"
5,Queen,rock,The Night Comes Down,"When I was young it came to me 
 And I could see the sun breakin' 
 Lucy was high and so was I dazzling 
 Holding the world inside 
 Once I believed in ev'ryone 
 Ev'ryone and anyone can see 
 Oh oh the night comes down 
 And I get afraid of losing my way 
 Oh oh the night comes down 
 Ooh and it's dark again 
 Once I could laugh with ev'ryone 
 Once I could see the good in me 
 The black and the white distinctively colouring 
 Holding the world inside 
 Now all the world is grey to me 
 Nobody can see you gotta believe it 
 Oh oh the night comes down 
 And I get afraid of losing my way 
 Oh oh the night comes down 
 Ooh and it's dark again 
 And it's dark again 
 And it's dark again"
6,Queen,rock,Modern Times Rock 'N' Roll,"Had to make do with a worn out rock and roll scene 
 The old bop is gettin' tired need a rest 
 Well you know what I mean 
 Fifty eight that was great 
 But it's over now and that's all 
 Somethin' harder's coming up 
 Gonna really knock a hole in the wall 
 Gonna hit ya grab you hard 
 Make you feel ten feet tall 
 Well I hope that big new baby's gonna come along soon 
 You don't know it could happen any ol' rainy afternoon 
 With the temp'rature down 
 And the juke box blowin' no fuse 
 And my musical life's feelin' 
 Like a long Sunday School cruise 
 And you know there's one thing 
 Every single body could use 
 Yeah listen to me baby 
 Let me tell you what it's all about 
 Modern times rock and roll 
 Modern times rock and roll 
 Get your high heeled guitar boots and some groovy clothes 
 Get a hair piece on your chest 
 And a ring through your nose 
 Find a nice little man who says 
 He's gonna make you a real big star 
 Stars in your eyes ants in your pants 
 Think you should go far 
 Everybody in this bum sucking world's 
 Gonna know just who you are 
 Look out 
 Modern times rock and roll"
7,Queen,rock,Son And Daughter,"I want you 
 To be a woman 
 Tried to be a son and daughter rolled into one 
 You said you'd equal any man for having your fun 
 Now didn't you feel surprised to find 
 The cap just didn't fit 
 The world expects a man 
 To buckle down and to shovel shit 
 What'll you do for loving 
 When it's only just begun? 
 I want you to be a woman 
 Tried to be a teacher and a fisher of men 
 An equal people preacher 
 Will you lead us all the same? 
 Well I travelled all round the world 
 A brand new word for day 
 Watching the time mustn't linger behind 
 Pardon me I have to get away 
 What'll you think of heaven 
 If it's back from where you came? 
 I want you to be a woman 
 I want you to be a woman yeah"
8,Queen,rock,Jesus,"And then I saw Him in the crowd 
 A lot of people had gathered round Him 
 The beggars shouted the lepers called Him 
 The old man said nothing 
 He just stared about him 
 All going down to see the Lord Jesus 
 All going down to see the Lord Jesus 
 All going down 
 Then came a man before His feet he fell 
 Unclean said the leper and rang his bell 
 Felt the palm of a hand touch his head 
 Go now go now you're a new man instead 
 All going down to see the Lord Jesus 
 All going down to see the Lord Jesus 
 All going down 
 It all began with the three wise men 
 Followed a star took them to Bethlehem 
 And made it heard throughout the land 
 Born was a leader of man 
 All going down to see the Lord Jesus 
 All going down to see the Lord Jesus 
 All going down 
 It all began with the three wise men 
 Followed a star took them to Bethlehem 
 And made it heard throughout the land 
 Born was a leader of man 
 All going down to see the Lord Jesus 
 All going down to see the Lord Jesus 
 All going down"
9,Queen,rock,Mad The Swine,"Been here before a long time ago 
 But this time I wear no sandals 
 Ages past I gave all you people 
 Food and water 
 Three feet tall so very small I'm no trouble 
 I bring thunder lightning sun and the rain 
 For all the people in the land 
 A message of love 
 I bring you from up above 
 All good children gather around 
 Come join your hands and sing along 
 They call me mad the swine 
 I guess I'm mad the swine 
 I've come to save you save you 
 Mad the swine 
 Mad the swine 
 So all you people gather around 
 Hold out your hands and praise the Lord 
 I woke up on the water just as before 
 I'll help the meek and the mild and believers and the blind 
 And all the creatures great and small 
 Let me take you to the river without a ford 
 Oh and then one day you realise 
 You're all the same within his eyes 
 All I've come to say just like before 
 They call me mad the swine 
 I'm mad the swine 
 I've come to save you save you 
 Mad the swine 
 Mad the swine 
 So all you people gather around 
 Hold out your hands and praise the Lord 
 Ooh 
 Oh now 
 So all you people gather around 
 Hold out your hands and praise the Lord 
 Don't ever fail me 
 Mad the swine 
 Mad the swine 
 I've come to save you save you 
 Oh now 
 Mad the swine 
 Mad the swine 
 So all you people gather around 
 Hold out your hands and praise the Lord 
 Hands and praise the Lord 
 Praise the Lord 
 I'll get down on my knees and praise the Lord"
