,0,1,2,3
0,Radiohead,rock,You,"You are the sun and moon and stars, are you? 
 And I could never run away from you 
 You try at working out chaotic things 
 And why should I believe myself, not you? 
 It's like the world is going to end so soon 
 And why should I believe myself? 
 You, me and everything 
 Caught in the fire 
 I can see me drowning 
 Caught in the fire 
 You, me and everything 
 Caught in the fire 
 I can see me drowning 
 Caught in the fire"
1,Radiohead,rock,Creep,"When you were here before 
 Couldn't look you in the eye 
 You're just like an angel 
 Your skin makes me cry 
 You float like a feather 
 In a beautiful world 
 I wish I was special 
 You're so fuckin' special 
 But I'm a creep 
 I'm a weirdo 
 What the hell am I doin' here? 
 I don't belong here 
 I don't care if it hurts 
 I wanna have control 
 I want a perfect body 
 I want a perfect soul 
 I want you to notice 
 When I'm not around 
 You're so fuckin' special 
 I wish I was special 
 But I'm a creep 
 I'm a weirdo 
 What the hell am I doin' here? 
 I don't belong here, oh oh 
 She's running out the door 
 She's running out 
 She run, run, run, run 
 Run 
 Whatever makes you happy 
 Whatever you want 
 You're so fuckin' special 
 I wish I was special 
 But I'm a creep 
 I'm a weirdo 
 What the hell am I doin' here? 
 I don't belong here 
 I don't belong here"
2,Radiohead,rock,How Do You?,"He's bitter and twisted 
 He knows what he wants 
 He wants to be loved and 
 He wants to belong 
 He wants you to listen 
 He wants us to weep 
 And he was a stupid baby 
 Who turned into a powerful freak 
 But how do you? 
 How do you? 
 How do you? 
 He lives with his mother 
 But we show him respect 
 He's a dangerous bigot 
 But we always forget 
 And he's just like his daddy 
 'Cause he cheats on his friends 
 And he steals and he bullies 
 Any way that he can 
 But how do you? 
 How do you? 
 How do you?"
3,Radiohead,rock,Stop Whispering,"And the wise man say, ""I don't want to hear your voice"" 
 And the thin man say, ""I don't want to hear your voice"" 
 And they're cursing me 
 And they won't let me be 
 And there's nothing to say 
 And there's nothing to do 
 Stop whispering, start shouting 
 Stop whispering, start shouting 
 And the mother say, ""We spit on your son some more"" 
 And the buildings say, ""We spit on your face some more"" 
 And the feeling is 
 That there's something wrong 
 Because I can't find the words 
 And I can't find the songs 
 Stop whispering, start shouting 
 Stop whispering, start shouting 
 Dear sir, I have a complaint 
 Dear sir, I have a complaint 
 Can't remember what it is 
 It doesn't matter anyway 
 It doesn't matter anyway 
 Stop whispering 
 Stop whispering 
 Stop whispering 
 Stop whispering, start shout..."
4,Radiohead,rock,Thinking About You,"Been thinking about you 
 Your records are here 
 Your eyes are on my wall 
 Your teeth are over there 
 But I'm still no one 
 And you're now a star 
 What do you care? 
 Been thinking about you 
 And there's no rest 
 Shit, I still love you 
 Still see you in bed 
 But I'm playing with myself 
 And what do you care 
 When the other men are far, far better? 
 All the things you've got 
 All the things you need 
 Who bought you cigarettes 
 Who bribed the company to come and 
 See you, honey? 
 I've been thinking about you 
 So how can you sleep? 
 These people aren't your friends 
 They're paid to kiss your feet 
 They don't know what I know 
 And why should you care 
 When I'm not there? 
 Been thinking about you 
 And there's no rest 
 Should I still love you 
 Still see you in bed? 
 But I'm playing with myself 
 And what do you care 
 When I'm not there? 
 All the things you've got 
 She'll never need 
 All the things you've got 
 I've bled and I bleed to 
 Please you 
 Been thinking about you"
5,Radiohead,rock,Anyone Can Play Guitar,"Destiny 
 Destiny, protect me from the world 
 Destiny 
 Hold my hand, protect me from the world 
 Here we are 
 With our running and confusion 
 And I don't see no confusion 
 Anywhere 
 And if the world does turn 
 And if London burns 
 I'll be standing on the beach 
 With my guitar 
 I want to be in a band 
 When I get to heaven 
 Anyone can play guitar and they won't 
 Be a nothing anymore 
 Grow my hair 
 Grow my hair, I am Jim Morrison 
 Grow my hair 
 I wanna be, wanna be, wanna be Jim Morrison 
 Here we are 
 With our running and confusion 
 And I don't see no confusion 
 Anywhere 
 And if the world does turn 
 And if London burns 
 I'll be standing on the beach 
 With my guitar 
 I want to be in a band 
 When I get to heaven 
 Anyone can play guitar and they won't 
 Be a nothing anymore"
6,Radiohead,rock,Ripcord,"Soul destroyed with clever toys 
 For little boys 
 It's inevitable, inevitable 
 It's a soul destroyed 
 You're free until you drop 
 You're free until you've had enough 
 And you don't understand 
 No ripcord 
 No ripcord 
 No ripcord 
 No ripcord 
 Aeroplane, do I mean 
 What I mean? 
 Oh, it's inevitable, inevitable 
 Oh, aeroplane 
 A thousand miles an hour 
 On politics and power 
 That she don't understand 
 No ripcord 
 No ripcord 
 No ripcord 
 No ripcord, yeah 
 The answer to your prayers 
 We'll drop you anywhere 
 No ripcord 
 No ripcord 
 No ripcord 
 No, no, no, no ripcord 
 Oh yeah"
7,Radiohead,rock,Vegetable,"I never wanted anything but this 
 I worked hard, tried hard 
 I ran around in domestic bliss 
 I fought hard, died hard 
 Everytime you're running 
 Out of here 
 Everytime you're running 
 I get the fear 
 I never wanted any broken bones 
 Scarred face, no home 
 Your words surround me and I asphyxiate 
 And I burn all hate 
 Everytime you're running 
 Out on me 
 Everytime you're running 
 I can see 
 I'm not a vegetable 
 I will not control myself 
 I spit on the hand that feeds me 
 I will not control myself 
 The waters break, the waters run 
 All over me 
 The waters break, the waters run 
 And this time you're gonna pay 
 I'm not a vegetable 
 I will not control myself 
 I spit on the hand that feeds me 
 I will not control myself"
8,Radiohead,rock,Prove Yourself,"I can't afford to breathe in this town 
 Nowhere to sit without a gun in my hand 
 Hooked back up to the cathode ray 
 I'm better off dead 
 I'm better off dead 
 I'm better off 
 Prove yourself 
 Prove yourself 
 Prove yourself 
 I want to breathe, I want to grow 
 I'd say I want it but I don't know how 
 I work, I bleed, I beg, I pray 
 But I'm better off dead 
 I'm better off dead 
 I'm better off 
 Prove yourself 
 Prove yourself 
 Prove yourself 
 I'm better off dead 
 I'm better off dead 
 I'm better off 
 Prove yourself 
 Prove yourself 
 Prove yourself 
 Prove yourself 
 Prove yourself 
 Prove yourself 
 Prove yourself"
9,Radiohead,rock,I Can't,"Please forget the words 
 That I just blurted out 
 It wasn't me, it was 
 My strange and creeping doubt 
 It keeps rattling my cage 
 And there's nothing in this world will keep it down 
 And even though I might, even though I try 
 I can't 
 Even though I might, even though I try 
 I can't 
 Soon your things that keep 
 That keep me underground 
 So many words that I 
 That I can never find 
 If you give up on me now 
 I'll be gutted like I've never been before 
 And even though I might, even though I try 
 I can't 
 Even though I might, even though I try 
 I can't 
 If you give up on me now 
 I'll be gutted like I've never been before 
 And even though I might, even though I try 
 I can't 
 Even though I might, even though I try 
 I can't 
 Even though I might, even though I try 
 I can't 
 Even though I might, even though I try 
 I can't"
