,0,1,2,3
0,Rage Against The Machine,rock,Bombtrack,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
1,Rage Against The Machine,rock,Killing In The Name,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
2,Rage Against The Machine,rock,Take The Power Back,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
3,Rage Against The Machine,rock,Settle For Nothing,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
4,Rage Against The Machine,rock,Bullet In The Head,"This time the bullet cold rocked ya 
 A yellow ribbon instead of a swastika 
 Nothin' proper about ya propaganda 
 Fools follow rules when the set commands ya 
 Said it was blue when the blood was red 
 That's how ya got a bullet blasted through your head 
 Blasted through your head, blasted through your head 
 I give a shout out to the living dead 
 Who stood and watched as the feds cold centralized 
 So serene on the screen, you was mesmerized 
 Cellular phone soundin' a death tone 
 Corporations cold turn you to stone before you realize 
 They load the clip in omnicolor 
 Said they pack the 9, they fire it at prime time 
 The sleeping gas, every home was like Alcatraz 
 And motherfuckers lost their minds 
 Just victims of the in-house drive-by 
 They say jump, you say ""How high?"", yeah 
 Just victims of the in-house drive-by 
 They say jump, you say ""How high?"" 
 Run it 
 Just victims of the in-house drive-by 
 They say jump, you say ""How high?"" 
 Just victims of the in-house drive-by 
 They say jump, you say ""How high?"" 
 Check-a, check-a, check it out 
 They load the clip in omnicolor 
 Said, they pack the 9, they fire it at the prime time 
 The sleeping gas, every home was like Alcatraz 
 And muthafuckers lost their minds 
 No escape from the mass mind rape 
 Play it again jack and then rewind the tape 
 And then play it again and again and again 
 Until your mind gets locked in 
 Believin' all the lies that they're tellin' ya 
 Buyin' all the products that they sellin' ya 
 They say jump and you say how high 
 You brain dead? You gotta fuckin' bullet in your head? 
 Just victims of the in-house drive-by 
 They say jump, you say ""How high?"", yeah 
 Just victims of the in-house drive-by 
 They say jump, you say ""How high?"" 
 Uh 
 Yeah 
 Shit 
 What? 
 Standin' in line 
 Believin' the lies 
 Bowin' down to the flag 
 You got a bullet in your head 
 Standin' in line 
 Believin' the lies 
 Bowin' down to the flag 
 You got a bullet in your head 
 A bullet in your head 
 A bullet in your head 
 A bullet in your head 
 A bullet in the head 
 A bullet in your head 
 A bullet in your head 
 A bullet in your head 
 A bullet in the head 
 A bullet in your head 
 A bullet in your head 
 A bullet in your head 
 A bullet in your head 
 A bullet in your head 
 A bullet in your head 
 A bullet in your head 
 You gotta bullet in your fuckin' head 
 Yeah 
 Yeah"
5,Rage Against The Machine,rock,Know Your Enemy,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
6,Rage Against The Machine,rock,Wake Up,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
7,Rage Against The Machine,rock,Fistful Of Steel,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
8,Rage Against The Machine,rock,Township Rebellion,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
9,Rage Against The Machine,rock,Freedom,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
