,0,1,2,3
0,Sam Smith,pop,Safe With Me,"My heart will beat, my heart will beat, my heart will beat, 
 If you ever need me just tell me and I'll be there 
 'Cause I was build for you 
 Yeah I was build to carry all your feelings 
 'Cause I won't let them know 
 I won't let you go, baby 
 I don't care what your past is, I don't need no answers just have faith in me 
 Don't you know you're a secret's safe with me? 
 My heart will beat, my heart will beat, my heart will beat 
 All your worries can be through if you, if you come and see 
 Don't you know you're a secret's safe with me? 
 My heart will beat, my heart will beat, my heart will beat 
 All your worries can be through if you, if you come and see 
 No need to step back, don't be scared I got you you know that 
 I'm here and your out side when all your clouds turn back 
 'Cause I won't let you go, baby 
 I don't care what your past is, I don't need no answers just have faith in me 
 Don't you know you're a secret's safe with me? 
 My heart will beat, my heart will beat, my heart will beat 
 All your worries can be through if you, if you come and see 
 Don't you know you're a secret's safe with me? 
 My heart will beat, my heart will beat, my heart will beat 
 All your worries can be through if you, if you come to see 
 My heart will beat, my heart will beat"
1,Sam Smith,pop,Nirvana,"Oh, baby 
 Oh, baby 
 Oh, we both know the truth 
 If it were the real me and you 
 This wouldn't be the right thing to do 
 Now the room is all hazy 
 We're too lost in the fumes 
 I feel like it's just me and you 
 Yeah, we got nothing to lose 
 It's too late to run away from it all 
 It's too late to get away from it all 
 I'm done with running, so I give it to you 
 This moment has caused a reaction 
 Resulting in a reattachment 
 Girl, you take me to Nirvana 
 I don't think this will last 
 Cause you're here in my arms 
 Oh, baby 
 Oh, baby 
 Oh, we both feel the same 
 I'm not gonna give you my name 
 And I don't think you want that to change 
 We're in this together 
 We don't know who we are 
 Even if it's moving too fast 
 Maybe we should take it too far 
 It's too late to run away from it all 
 It's too late to get away from it all 
 I'm done with running, so I give it to you 
 This moment has caused a reaction 
 Resulting in a reattachment 
 Girl, you take me to Nirvana 
 I don't think this will last 
 Cause you're here in my arms 
 Well, you take me to Nirvana 
 I don't think this will last 
 Cause you're here in my arms"
2,Sam Smith,pop,I've Told You Now,"You know what I mean 
 It's like walking in the heat all day with no water 
 It's like waiting for a friend 
 Watching everybody else meet theirs on that corner 
 Or losing in an argument 
 Although you're right can't get your thoughts in order 
 Still I refrain 
 From talking at you, talking on 
 You know me well 
 I don't explain 
 But what the hell 
 Why do you think I come 'round here on my free will? 
 Wasting all my precious time 
 Oh, the truth spills out 
 And oh oh ooh, oh I've 
 I've told you now 
 You know what I mean 
 Although I try my best I still let down the team 
 You're everything I want 
 Why should I resist when you are there for me? 
 Should I refrain 
 From talking at you, talking on 
 You know me well 
 I don't explain 
 But what the hell 
 Why do you think I come 'round here on my free will? 
 Wasting all my precious time 
 Oh, the truth spills out 
 And oh oh ooh, oh I've 
 I've told you now 
 I've told you now 
 And I've told you now! 
 And I've told you now! 
 Still I refrain 
 From talking at you, talking on 
 You know me well 
 I don't explain 
 So what the hell 
 Why do you think I come 'round here on my free will? 
 Wasting all my precious time 
 What the hell 
 Why do you think I come 'round here on my own will? 
 Wasting all my precious time 
 Oh, the truth spills out 
 And oh oh ooh, oh I've 
 I've told you now"
3,Sam Smith,pop,Latch,"You lift my heart up when the rest of me is down 
 You, you enchant me even when you're not around 
 If there are boundaries, I will try to knock them down 
 I'm latching on, babe, now I know what I have found 
 I feel we're close enough 
 Could I lock in your love 
 I feel we're close enough 
 Could I lock in your love 
 Now I've got you in my space 
 I won't let go of you 
 Got you shackled in my embrace 
 I'm latching on to you 
 I'm so enraptured, got me wrapped up in your touch 
 Feel so enamored, hold me tight within your clutch 
 How do you do it, you got me losing every breath 
 What did you give me to make my heart beat out my chest 
 I feel we're close enough 
 Could I lock in your love 
 I feel we're close enough 
 Could I lock in your love 
 Now I've got you in my space 
 I won't let go of you 
 Got you shackled in my embrace 
 I'm latching on to you 
 Now I've got you in my space 
 I won't let go of you 
 Got you shackled in my embrace 
 I'm latching on to you 
 I'm latching on 
 To you"
4,Sam Smith,pop,Money On My Mind,"When I signed my deal 
 I felt pressure 
 Don't wanna see the numbers 
 I wanna see heaven 
 You say, could you write a song for me? 
 I say, I'm sorry I won't do that happily 
 When I go home 
 I tend to close the door 
 I never wanted more 
 So sing with me 
 Can't you see 
 I don't have 
 Money on my mind 
 Money on my mind 
 I do it for 
 I do it for the love 
 I don't have 
 Money on my mind 
 Money on my mind 
 I do it for 
 I do it for the love 
 I do it for the love 
 I do it for the love 
 Please don't get me wrong 
 I wanna keep it moving 
 I know what that requires 
 I'm not foolish 
 Please, can you make this work for me? 
 'Cause I'm not a puppet, I will work against your strings 
 When I go home 
 I tend to close the door 
 I never wanted more 
 So sing with me 
 Can't you see 
 I don't have 
 Money on my mind 
 Money on my mind 
 I do it for 
 I do it for the love 
 I don't have 
 Money on my mind 
 Money on my mind 
 I do it for 
 I do it for the love 
 I do it for the love 
 I do it for the love 
 When the sun will set 
 Don't you fret 
 No I have no money on my mind 
 No money on my mind 
 No money on my mind 
 No I have no money on my mind 
 When the sun will set 
 Don't you fret 
 No I have no money on my mind 
 No money on my mind 
 No money on my mind 
 No I have no money on my mind 
 Just love 
 Money on my mind 
 Money on my mind 
 I do it for 
 I do it for the love 
 I don't have 
 Money on my mind 
 Money on my mind 
 I do it for 
 I do it for the love 
 I do it for the love 
 I do it for the love"
5,Sam Smith,pop,Good Thing,"I had a dream I was mugged outside your house 
 I had a dream in a panic you came running out 
 For a moment you were sure I'd die on you 
 For a moment I believed you loved me too 
 But life is never like this, and you're never strong 
 Too much of a good thing won't be good for long 
 Although you made my heart sing, to stay with you would be wrong 
 Too much of a good thing won't be good anymore 
 Watch where I tread before I fall 
 We'd talk maybe 20 times a day 
 And still I never say what I want to say 
 I thought I wouldn't need to 
 I guess I read you wrong 
 Too much of a good thing won't be good for long 
 Although you made my heart sing, to stay with you would be wrong 
 Too much of a good thing won't be good anymore 
 Watch where I tread before I fall 
 You refuse to see this, don't see it anymore 
 I have made the decision not to answer your calls 
 'Cause I put everything out there and I got nothing at all 
 Too much of a good thing isn't good and you know 
 I watch where I walk before I fall 
 Before I fall"
6,Sam Smith,pop,Stay With Me,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a 
 random page 
 ?"
7,Sam Smith,pop,Leave Your Lover,"I don't have much to give, but I don't care for gold 
 What use is money, when you need someone to hold 
 Don't have direction I'm just rolling down this road 
 Waiting for you to bring me in from out the cold 
 You'll never know the endless nights, the rhyming of the rain 
 Or how it feels to fall behind and watch you call his name 
 Pack up and leave everything, don't you see what I can bring 
 Can't keep this beating heart at bay 
 Set my midnight terror free, I will give you all of me 
 Leave your lover, leave him for me 
 We sit in bars and raise our drinks to growing old 
 I'm in love with you and you will never know 
 But if I can't have you I'll walk this life alone 
 Spare you the rising storms and let the river flow 
 You'll never know the endless nights, the rhyming of the rain 
 Or how it feels to fall behind and watch you call his name 
 Pack up and leave everything, don't you see what I can bring 
 Can't keep this beating heart at bay 
 Set my midnight terror free, I will give you all of me 
 Leave your lover, leave him for me 
 Leave your lover, leave him for me"
8,Sam Smith,pop,I'm Not The Only One,"You and me, we made a vow 
 For better or for worse 
 I can't believe you let me down 
 But the proof's in the way it hurts 
 For months on end I've had my doubts 
 Denying every tear 
 I wish this would be over now 
 But I know that I still need you here 
 You say I'm crazy 
 'Cause you don't think I know what you've done 
 But when you call me baby 
 I know I'm not the only one 
 You've been so unavailable 
 Now sadly I know why 
 Your heart is unobtainable 
 Even though God knows you have mine 
 You say I'm crazy 
 'Cause you don't think I know what you've done 
 But when you call me baby 
 I know I'm not the only one 
 I have loved you for many years 
 Maybe I am just not enough 
 You've made me realize my deepest fear 
 By lying and tearing us up 
 You say I'm crazy 
 'Cause you don't think I know what you've done 
 But when you call me baby 
 I know I'm not the only one 
 You say I'm crazy 
 'Cause you don't think I know what you've done 
 But when you call me baby 
 I know I'm not the only one 
 I know I'm not the only one 
 I know I'm not the only one 
 And I know, and I know, and I know, 
 And I know, and I know, and I don't know 
 I know I'm not the only one"
9,Sam Smith,pop,Like I Can,"He could be a sinner, or a gentleman 
 He could be your preacher, when your soul is damned 
 He could be your lawyer on a witness stand but 
 He'll never love you like I can, can 
 He could be a stranger you gave a second glance 
 He could be a trophy of a one night stand 
 He could have your humour that I don't understand 'cause 
 He'll never love you like I can, can, can 
 Why are you looking down all the wrong roads 
 When mine is the heart and the soul that is sore 
 There may be lovers who hold out their hands but 
 He'll never love you like I can, can, can 
 He'll never love you like I can, can 
 A chance encounter of circumstance 
 Maybe he's a mantra, keeps your mind entranced 
 He could be the silence in this mayhem, but then again 
 He'll never love you like I can, can, can 
 Why are you looking down all the wrong roads 
 When mine is the heart and the soul that is sore 
 There may be lovers who hold out their hands but 
 He'll never love you like I can, can, can 
 He'll never love you like I can, can, can 
 He'll never love you like I can, can, can 
 We both have demons, that we can't stand 
 I love your demons, like devils can 
 If you're still seeking an honest man 
 And stop deceiving Lord please 
 Why are you looking down all the wrong roads 
 When mine is the heart and the soul that is sore 
 There may be lovers who hold out their hands but 
 He'll never love you like I can, can, can 
 He'll never love you like I can, can, can 
 He'll never love you like I can, can, can"
