,0,1,2,3
0,The Weeknd,pop,High For This,"You don't know what's in store 
 But you know what you're here for 
 Close your eyes, lay yourself beside me 
 Hold tight for this ride 
 We don't need no protection 
 Come alone, we don't need attention 
 Open your hand, take a glass 
 Don't be scared, I'm right here 
 Even though, you don't roll 
 Trust me girl, you wanna be high for this 
 Take it off, you want it off 
 'Cause I know what you're feeling 
 It's okay, girl, I feel it too 
 Let it be, baby breathe 
 I swear I'm right here 
 We'll be good, I promise, we'll be so good 
 Open your hand, take a glass 
 Don't be scared, I'm right here 
 Even though, you don't roll 
 Trust me girl, you wanna be high for this 
 You wanna be high for this 
 You wanna be high for this 
 You wanna be high for this 
 You wanna be high for this 
 You wanna be high for this 
 You wanna be high for this 
 You wanna be high for this"
1,The Weeknd,pop,What You Need,"Aaliyah: 
 There now hold me close 
 There now hold me closer 
 There now hold me close 
 There now hold me closer 
 There now hold me close 
 There now hold me closer 
 The Weeknd: 
 I just want to take you there 
 He don't got to go nowhere 
 Does he touch you here like this? 
 Let me take the friction from your lips 
 And I'mma love you girl, the way you need 
 Ain't no one gon' stop us, ain't no one gon'stop us 
 And I'mma give you girl, what you feel 
 I'm the drug in your veins, just fight through the pain 
 He's what you want, he's what you want 
 He's what you want, he's what you want 
 I'm what you need, what you need, what you need, what you need 
 I'm what you need, what you need, what you need, what you need 
 He's what you want, he's what you want 
 He's what you want, he's what you want 
 I'm what you need, what you need, what you need, what you need 
 I'm what you need, what you need, what you need, what you need 
 I got everything you want from me 
 I do everything he does times three 
 And he don't gotta know 
 I got you on the floor, doing things you never thought you'd do 
 Baby leave them high heel shoes 
 'Cause I'm loving the way you looking down at me, I'm looking up at you 
 And I don't give a damn shorty watch me knock your boots off 
 And I'mma love you girl, the way you need 
 Ain't no one gon' stop us, ain't no one gon'stop us 
 And I'mma give you girl, what you feel 
 I'm the drug in your veins, just fight through the pain 
 He's what you want, he's what you want 
 He's what you want, he's what you want 
 I'm what you need, what you need, what you need 
 I'm what you need, what you need, what you need 
 He's what you want, he's what you want 
 He's what you want, he's what you want 
 I'm what you need, what you need, what you need, what you need 
 I'm what you need, what you need, what you need, what you need"
2,The Weeknd,pop,House Of Balloons / Glass Table Girls,"Been on another level 
 Since you came 
 No more pain 
 You look into my eyes 
 You can't recognize my face 
 You're in my world now 
 You can stay 
 You can stay 
 But you belong to me 
 You belong to me 
 If it hurts to breathe 
 Open the window 
 Oh, your mind wants to leave 
 But you can't go 
 Siouxsie Sioux and the Weeknd: 
 This is a happy house (A happy house) 
 We're happy here (We're happy here) 
 In a happy house 
 Oh this is fun, fun, fun, fun (This is fun) 
 Fun, fun, fun, fun (This is fun to me) 
 Fun, fun, fun, fun 
 The Weeknd: 
 Music got you lost 
 Nights ends so much quicker than the days did 
 Same clothes, you ain't ready for your day shift 
 This place will burn you up 
 But baby it's okay, they my niggas next door 
 They be working in the trap, so get louder if you want 
 Just don't blame it on me girl 
 That you didn't call your home 
 Just don't blame it on me girl 
 'Cause you wanted to have fun 
 If it hurts to breathe 
 Open the window 
 Oh, your mind wants to leave 
 But you can't go 
 Siouxsie Sioux and the Weeknd: 
 This is a happy house (A happy house) 
 We're happy here (We're happy here) 
 In a happy house 
 Oh this is fun, fun, fun, fun (This is fun) 
 Fun, fun, fun, fun (This is fun to me) 
 Fun, fun, fun, fun 
 The Weeknd: 
 Bring the 707 out 
 Bring the 707 out 
 Bring the 707 out 
 Bring the 707 out 
 Bring the 707 out 
 Bring the seven 
 Two puffs for the lady who be down for that 
 Whatever, together 
 Bring your own stash of the greatest, trade it 
 Roll a dub, burn a dub, cough a dub, taste it 
 Then, watch us chase it 
 With a handful of pills, no chasers 
 Jaw clenching on some super-sized papers 
 And she bad in a head band 
 Escaping, her van is a Wonderland 
 And it's half-past six 
 Weed's nice 'cause time don't exist 
 And when the stars shine back to the crib 
 Superstar lines back at the crib 
 And we can test out the tables 
 We got some brand new tables 
 All glass and it's four feet wide 
 But it's a must to get us ten feet high 
 She give me sex in a handbag 
 I got her wetter than a wet nap 
 And no closed doors 
 So I listen to her moans echo 
 ""I heard he do drugs now"" 
 You heard wrong I been on them for a minute, we just never act a fool 
 That's just how we fuckin' livin' 
 And when we act a fool, it's probably 'cause we mixed it 
 Yeah I'm always on that okey dokey 
 Them white boys know the deal, ain't no fuckin' phony 
 Big O know the deal, he the one who showed me 
 Watch me ride this fucking beat like he fuckin' told me 
 ""Is that your girl, what's her fucking story?"" 
 ""She kinda bad but she ride it like a fucking pony"" 
 I cut down on her man, be her fuckin' story 
 Yeah I'm talking 'bout you man, get to know me 
 Ain't no offense though, I promise you 
 If you a real man, dude, you gon' decide the truth 
 But I'm a nice dude with some nice dreams 
 And we could turn this to a nightmare, Elm Street 
 La la la la la la la la 
 I'm so gone, so gone 
 Bring out the glass tables 
 Whip the 707 out 
 La la la la la la la la 
 I'm so gone, so gone 
 Bring out the glass tables 
 Whip the 707 out 
 La la la la la la la la 
 I'm so gone so gone 
 Bring out the glass tables 
 Whip the 707 out 
 La la la la la la la la 
 I'm so gone so gone 
 Bring out the glass tables 
 Whip the 707 out 
 Whip the 707 out 
 Whip the 707 out"
3,The Weeknd,pop,The Morning,"I'm fucking gone right now 
 I'm fucking gone right now 
 Listen, listen 
 From the morning to the evening, complaints from the tenants 
 Got the walls kicking like they six months pregnant 
 Drinking Alizé with our cereal for breakfast 
 Girls calling cabs at dawn quarter to seven 
 Sky's getting cold, we're flying from the north 
 Rockin' with our city like a sold out show 
 House full of pros that specialize in the ho'in 
 Make that money rain as they taking off they clothes 
 Order plane tickets, Cali is the mission 
 Visit every month like I'm split life living 
 Let the world listen if a hater's caught slipping 
 Then my niggas stay tight, got my back like Pippen 
 Fast life gripping, yeah, we still tippin' 
 Codeine cups paint a picture so vivid 
 Fakes try to mimic, get girls timid 
 But behind closed doors they get poles so rigid 
 All that money, the money is the motive 
 All that money, the money is the motive 
 All that money, the money she be folding 
 Girl put in work, girl, girl put in work 
 Girl put in work, girl, girl put in work 
 Girl put in work 
 Push it to the limit, push it through the pain 
 I push it for the pleasure like a virgin to the game 
 A virgin to that money, a virgin to the fame 
 So this my only chance and when I'm over only pray 
 That I flow from the bottom, closer to the top 
 The higher that I climb, the harder I'mma drop 
 These pussy ass niggas tryna hold on to their credit 
 So I tell them use a debit, watch they image start to lessen 
 I warn them like discretion, why these niggas testing? 
 Always fucking twisted, why these niggas testing? 
 Shit that I got them on straight bar hopping 
 To the music of the ambiance, get shit popping 
 Zombies of the night, niggas ain't talking 
 If they hyping to the crew get it in like pockets 
 Downtown loving, when the moon coming 
 Only place to find baseheads and hot women 
 All that money, the money is the motive 
 All that money, the money is the motive 
 All that money, the money she be folding 
 Girl put in work, girl, girl put in work 
 Girl put in work, girl, girl put in work 
 Girl put in work 
 Better slow down, she'll feel it in the morning 
 Ain't the kind of girl you'll be seeing in the morning 
 Too damn raw ain't no nigga with her rollin' 
 Ain't no nigga that she holding, man, her love is too damn foreign 
 Look at all that money, the money is the motive 
 All that money, the money she be folding 
 Girl put in work, girl, girl put in work 
 Girl put in work, girl, girl put in work 
 All that money, the money is the motive 
 All that money, the money is the motive 
 All that money, the money she be folding 
 Girl put in work, girl, girl put in work 
 Girl put in work, girl, girl put in work 
 Girl put in work"
4,The Weeknd,pop,Wicked Games,"I left my girl back home 
 I don't love her no more 
 And she'll never fucking know that 
 These fucking eyes that I'm staring at 
 Let me see that ass 
 Look at all this cash 
 And I emptied out my cards to her 
 Now I'm fucking leaning on that 
 Bring your love baby I could bring my shame 
 Bring the drugs baby I could bring my pain 
 I got my heart right here 
 I got my scars right here 
 Bring the cups baby I could bring the drank 
 Bring your body baby I could bring you fame 
 And that's my motherfucking words too 
 Just let me motherfucking love you 
 Listen ma I'll give you all I got 
 Get me off on this 
 I need confidence in myself 
 Listen ma I'll give you all of me 
 Give me all of it 
 I need all of it to myself 
 So tell me you love me 
 Only for tonight 
 Only for one night 
 Even though you don't love me 
 Just tell me you love me 
 I'll give you what I need 
 I'll give you all of me 
 Even though you don't love me 
 Let me see you dance 
 I love to watch you dance 
 Take you down another level 
 And get you dancing with the devil 
 Take a shot of this 
 But I'm warning you 
 I'm on that shit that you can't smell baby 
 So put down your perfume 
 Bring your love baby I could bring my shame 
 Bring the drugs baby I could bring my pain 
 I got my heart right here 
 I got my scars right here 
 Bring the cups baby I could bring the drank 
 Bring your body baby I could bring you fame 
 And that's my motherfucking word too 
 So let me motherfucking love you 
 Listen ma I'll give you all I got 
 Get me off on this 
 I need confidence in myself 
 Listen ma I'll give you all of me 
 Give me all of it 
 I need all of it to myself 
 So tell me you love me 
 Only for tonight 
 Only for one night 
 Even though you don't love me 
 Just tell me you love me 
 I'll give you what I need 
 I'll give you all of me 
 Even though you don't love me"
5,The Weeknd,pop,The Party & The After Party,"I understand your body wants it 
 I know your thoughts 
 Oh you 'bout it, 'bout it 
 You're a big girl and it's your world 
 And I'ma let you do it how you wanna 
 Girl alright baby, right baby 
 I know you know I know you wanna... with it 
 Don't be shy pretty, I'll supply pretty 
 I got you girl, oh I got it girl 
 With your Louis V bag 
 Tatts on your arms 
 High-heel shoes make you six feet tall 
 Everybody wants you, you can have them all 
 But I got what you need 
 Girl I got your bag, I got it all 
 Hold your drink baby don't you fall 
 Be there in a minute baby just one call 
 You don't gotta ask me 
 You always come to the party 
 To pluck the feathers off all the birds 
 You always come to the party 
 On your knees 
 I will not beg you please 
 Girl, pick up them shoes 
 I'll race your ass up on them stairs 
 Just grab a room I swear no one will interfere 
 Girl bring your friends if you want, we can share 
 Or we could keep it simple, baby 
 We can just ride baby, ride baby 
 I know you know I know you wanna... with it 
 Don't be shy baby, I'll supply baby 
 I got you girl, oh I got it girl 
 With your Louis V bag 
 Tatts on your arms 
 High-heel shoes make you six feet tall 
 Everybody wants you, you can have them all 
 But I got what you need 
 Girl I got your bag, I got it all 
 Hold your drink baby don't you fall 
 Be there in a minute baby just one call 
 You don't gotta ask me 
 You always come to the party 
 To pluck the feathers of all the birds 
 You always come to the party 
 On your knees 
 I will not beg you please 
 I will not... 
 Ride with it, ride with it 
 I know, you know, I know you wanna line with it 
 Don't be shy pretty, I'll supply pretty 
 I got you girl, oh I got it girl 
 Won't you lie with it, lie with it 
 I know you know I know you wanna... 
 I got you girl, oh I got you girl 
 Oh I got it girl, oh I got it girl 
 I think I'm fucking gone 
 Rolling on this floor 
 Messing up your carpet 
 I'll get on it after four 
 My sessions are the strong on your floor 
 Shouldn't have fucking rolled 
 But I fucking rolled 
 Feeling like a million bucks before 
 I walk through the store 
 When I walk through your door 
 Can't believe I made it but I made it that's for sure 
 For sure, loving I need more, I need yours 
 She ain't looking for that unconditional 
 What the fuck these bitches on 
 They want what I'm sittin' on 
 They don't want my love 
 They just want my potential 
 Fuck it though, sippin' on this 
 Baby livin' off bliss got me drowning in your love 
 Got me drowning in the mist 
 Gimme my attention or I'll start drowning from my wrist 
 Baby if you knew the feeling I would give to you 
 Oh you 
 You, oh you 
 'Cause I got it girl, oh I got it girl 
 With me, with me 
 Oh you, oh you 
 Oh you, oh you 
 Oh I got it girl, oh I got it girl 
 With me, with me 
 I got a brand new girl call it Rudolph 
 She'll probably OD before I show her to mama 
 All these girls tryna tell me she got no love 
 And all these girls never ever got her blow job 
 Ringtone on silent 
 And if she stops then I might get violent 
 No calls worth stopping 
 So mama please stop calling 
 We could play all night 
 It just takes one night 
 To let me fucking prove this feeling I'ma give to you 
 Oh you, you 
 Oh you, Oh I got it girl, oh I got it girl 
 With me, with me 
 Oh you, oh you 
 Oh you, oh you 
 Oh I got it girl, oh I got it girl 
 With me, with me 
 Oh I got it girl"
6,The Weeknd,pop,Coming Down,"I got somethin' to tell you 
 But don't know how I'ma say it 
 I guess that I can only say one thing: 
 Girl, I been bad again 
 Girl, I been bad again 
 'Cause with this money comes problems 
 And with these problems come solutions 
 And I use 'em but I'm fading 
 I forget 
 I forget what you mean to me 
 Hope you know what you mean to me 
 Pick 
 Up 
 Your phone 
 The party's finished and I want you to know 
 I'm 
 All alone 
 I'm feeling everything before I got up 
 I always want you when I'm coming down 
 I always want you when I'm coming down 
 I always want you when I'm coming down 
 I always want you when I'm coming down 
 (x2) 
 Poppin' again 
 I tried to quit again 
 I'm always tight wit' somethin' I begin 
 That's why my niggas got me to the end 
 So play what I take, I take what I spend baby 
 I ain't lyin' to nobody but me 
 And you 
 And me 
 But you especially 
 Pick 
 Up 
 Your phone 
 The party's finished and I want you to know 
 I'm 
 All alone 
 I'm feeling everything before I got up 
 I always want you when I'm coming down 
 I always want you when I'm coming down 
 I always want you when I'm coming down 
 I always want you when I'm coming down 
 (x2) 
 Pick up your phone 
 I'm all alone 
 I always want you when I'm coming down 
 I always want you when I'm coming down 
 I always want you when I'm coming down 
 I always want you when I'm coming down 
 (x2)"
7,The Weeknd,pop,Loft Music,"Oh, oh 
 Oh, oh 
 They say my brain meltin', and the only thing I'll tell 'em 
 Is I'm livin' for the present and the future don't exist 
 So baby take your clothes off, a chance like this 
 You may never get to show off, show off 
 Show off what you talking about 
 Unless you like to tease, baby 
 When in reality you don't know how to please, baby 
 Blue-ball queen, take your fucking seat, baby 
 Ride it out, now I know you wanna scream, baby 
 Better than your next man 
 And if he swingin' I get dumber than the next man 
 'Cause I don't play 
 Unless it's keys then I play all day (all day) 
 You like them keys? We gon' play all day (all day) 
 Wet dream fry your brain all day (all day) 
 I think you lost your morals, girl (What?) 
 But it's okay 'cause you don't need 'em where we're going 
 In that two-floor loft in the middle of the city 
 After rolling through the city with me 
 I promise you gon' see 
 That I'm only fucking twenty, girl 
 Amnesia, put your mind in a dream world 
 What you doing in the bathroom? 
 I hear noises in the bathroom 
 Baby, it's okay 
 We can do it in the living room 
 Twisting turns in 'em, the only girls that we fuck with 
 Seem to have twenty different pills in 'em 
 They tell us that they love us 
 Even though they want a next man 
 And the next man's bitch want the third man 
 Eddie Murphy shit, yeah we trade places 
 Rehearse lines to them and then we fuck faces 
 Yeah we know just how to get a buzz 
 Mix it with the hash, come fuck with us 
 I'm raw, motherfucker, I'm raw 
 My love so lost in my niggas, man 
 These bitches can't touch what we got if they wanted 
 I'll plug any nigga that'll step, man, I got 'em, yeah I got 'em 
 Till the ending of our credits, life's such a movie 
 Filmed independent, us against the city 
 Please don't get offended when we don't answer your calls 
 And if you got a problem, come and find us, we can talk about it 
 What's good, young ho? You about it? 
 Got a loft right now, you're inside it 
 You excited? 
 What you thinkin' about? 
 What you thinkin' about? 
 Yeah 
 Oh, what you thinkin' about? 
 Oh, what you thinkin' about? 
 What you thinkin' about? 
 What you thinkin' about? 
 What you thinkin'? 
 I been thinkin' about? 
 Hoo hoo 
 I know everything 
 I know everything 
 I know it all 
 I know it all oh oh 
 Hoo 
 Hoo oh 
 Oh oh 
 Ooh"
8,The Weeknd,pop,The Knowing,"I know what you did 
 I know 
 So I'mma let you taste her 
 I ain't washing my sins 
 I ain't washing my sins 
 Now we're lying about the nights 
 Hiding it all behind the smiles 
 Take a look at what you did 
 You probably thought that you'd break my heart 
 You probably thought that you'd make me cry 
 But baby it's okay 
 I swear it's okay 
 'Cause I know everything 
 I know everything 
 I know everything 
 I know everything 
 Now these tongues don't twist like they did before 
 It's hard to keep me up 
 And you are dry 
 But baby it don't hurt 
 Oh, like you thought it would 
 The more of you the merrier 
 Now we're lying about the nights 
 Hiding it all behind the smiles 
 Take a look at what you did 
 You probably thought that you'd break my heart 
 You probably thought that you'd make me cry 
 But baby it's okay 
 It's okay 
 I know everything, yeah 
 I know everything 
 I know everything 
 I know everything"
9,The Weeknd,pop,Lonely Star,"It seems like pain and regret are your best friends 
 Cause everything you do leads to them 
 You think I could be your best friend 
 Baby I could fuck you right 
 Baby you could have it all 
 Baby you could have it all 
 Baby you can have the cars 
 The clothes, the dreams, the sex, the house 
 Baby you could be a star 
 Baby all these things are your best friends 
 And nothings ever ever your fault 
 Nothings your fault baby, no 
 Baby you don't need your best friends 
 'Cause I got everything you want 
 Baby you could have it all 
 Baby you could have it all 
 Baby you can have the cars 
 The clothes, the dreams, the sex, the house 
 Baby you could be a star 
 [If, all I could say is if 
 Promise me you won't regret me when you're touching on my skin 
 Let the wrong path come to me 
 One day I'm hoping that you, will remember me 
 When you fuck them you'll see my face 
 My body is yours 
 Give them any other day but Thursday 
 You belong to me 
 Every Thursday 
 I wait for you 
 I'll be beautiful for you 
 Every Thursday 
 I exist 
 Only on Thursday] 
 Not on Monday, Tuesday, wendesday, Friday, Saturday, Sunday 
 But on Thursday... 
 Not on Monday, Tuesday, wendesday, Friday, Saturday, Sunday 
 But on Thursday..."
