,0,1,2,3
0,Usher,pop,I'll Make It Right,"Oh No, No, No, No, No, Oh Baby 
 I'll make it right 
 Baby you know that I can make it right 
 Keep it on the cutie girl I'm really into you yeah 
 Tell me is there a way that I can spend some time with you 
 So much I wanna know about you 
 Seems like I can't do without you 
 You really turn me on you got it goin' on 
 Anything you ask I'll do for you 
 So baby don't you see 
 You mean the world to me 
 Just one thing I have to know 
 Baby can I make it right 
 As I'm looking into your eyes all I see is your lovely face 
 And there's nothing I like more than to show you I adore 
 The simple things that you do to me with the sweet little things you say 
 Baby when I kiss your lips it really brightens my day 
 Oh Oh Oh 
 Anything you ask I'll do for you 
 So baby don't you see you mean the world to me 
 Just one thing I have to know 
 Baby can I make it right 
 So baby don't you see you mean the world to me 
 If you just swing my way 
 I'll make it right 
 So tell me where we go from here 
 Oh yeah 
 There's nowhere that we can go 
 But take it nice and slow 
 Baby enjoy the flow 
 Lots of pleasures I can give 
 I've got it waitin here 
 So put away your fears"
1,Usher,pop,Interlude 1,"Listen: 
 (Deep Man's voice) 
 Love, such a lonely place 
 Nobody wants to be alone 
 To have the world... who your willin' to share with... 
 Usher: 
 I am so alone, I can't stand this feeling of being without you, 
 I'll do whatever it takes to prove I truly love you, 
 Don't, let me go, lets stay together, 
 Forever, and ever, can't sleep without you by my side..."
2,Usher,pop,Can U Get Wit It,"Every time I look at U 
 There's so many things that I wanna do 
 I promise you when I'm ready 
 I'm gonna spend my whole life with U 
 What is love is it steady 
 'Cause I don't know what to do 
 So tell me girl if your ready 
 To do what we came to do 
 One day we could be together 
 Cause you know that I wanna be down, baby 
 But right now we can all forget it 
 U know I gots to get around 
 I don't have much money, I can't buy a diamond ring 
 I'm not tryin' to be funny, but it's only a sexual thing 
 Can you get wit it 
 It's like that 
 It's only a sexual thing 
 Can you get wit it 
 It's like that 
 Your gonna love the joy I bring 
 Can you get wit it 
 It's like that 
 It's only a sexual thing 
 Can you get wit it 
 It's like that 
 Your gonna love the joy I bring 
 Please forgive me 'cause I don't ever wanna rush U 
 I might sound a little hasty 
 But let's do what we came to do 
 Now, U know that time is really precious 
 And you wasted a lot of mine 
 I'm gonna have 2 keep on movin' 
 If you can't make up your mind, yeah 
 One day we could be together 
 Cause you know that I wannna be down 
 But righ now we can all forget it 
 Cause you know I gots to get around 
 I don't have much money, I can't buy a diamond ring 
 I'm not tryin' to be funny, but it's only a sexual thing 
 Can you get wit it 
 It's like that 
 It's only a sexual thing 
 Can you get wit it 
 It's like that 
 Your gonna love the joy I bring 
 Chorus (to fade)"
3,Usher,pop,Think Of You,"Oh Yeah 
 Sh De Da De Dup Dem De Doo 
 All the time I think of you 
 Holding on to someone new 
 Don't make me lose my mind 
 Seems like I've been here before 
 Baby I can't take no more 
 Of you tryin' to play me out, Baby 
 I feel so strange thinking about you 
 After all the wrong you've Done to me 
 I can't go on feeling like I do 
 Cause my heart loves you 
 I'm so confused 
 Don't waste my time 
 Cause someone like me you'll never find 
 I thought we had a good thing 
 But I was wrong and now I must move on 
 To another love one that I can trust 
 In my heart I know she'll never run away 
 Just can't talk no more 
 So I'm out the door 
 Talk to me 
 Why you wanna play love games"
4,Usher,pop,Crazy,"I'm crazy, so crazy 
 I'm crazy about you 
 I'm crazy so crazy, about you 
 (Crazy 'bout you baby) 
 What kind of love is this 
 That keeps me hypnotized - can't get you off 
 My mind 
 Don't ever let it end - let it go on and on and on 
 Cause you know it turns me on 
 Whisper in my ear, just what I want to hear 
 Cause no one can love me like you do 
 Oh that's why I am 
 Crazy... 
 I'd like to take this time 
 To tell you how I feel - to let you know the deal 
 So baby, let's make plans 
 I want you to be my only girl 
 Cause you know I'll be your man 
 I'm crazy - about you"
5,Usher,pop,Slow Love,"Get 'em up get 'em up get 'em up 
 Come on come on 
 Come and get some of this 
 Yeah baby come on 
 Come and get some of this slow love 
 Let's get it on 
 Come and get some of this 
 Yeah baby you ready 
 Come and get some of this slow love 
 Lay back and relax 
 I've got the love 
 You've been searchin' for 
 Ain't out for games 
 So can't mess with your mind 
 I just wanna love you 
 And take my time 
 (Come and get) 
 Ohter guys like to 
 Hit and run 
 Baby I'm not the one 
 Can't stop till you're satisfied so 
 Come and get some of this slow love 
 (Slow love baby) 
 Ain't no need to rush 
 We've got all night to fly 
 (All night baby yeah, yeah) 
 Come and get some of this slow love 
 (Come and get this slow love oh) 
 Let's just take our time 
 And do it right 
 With a love like mine 
 No wrong can be done 
 'Cause I'll be lovin' you 
 One on one 
 (One on one) 
 Don't know who loves you before me 
 Not sayin' 
 I'm a perfect man 
 But I'll love you perfectly 
 I'm not the kind of guy 
 Who likes to take it fast 
 Gotta make it last, tonight 
 Other guys 
 Like to hit and run 
 Baby I'm not the one 
 Can't stop till you're satisfied it's slow 
 Ain't gonna ask is it 
 Good to you 
 I know what to do 
 With the up and down 
 Round and round 
 I'm just gonna give it to you 
 (Just gonna give it to you girl...) 
 Nice and slow 
 Here we go ho! 
 (Yeah uh huh) 
 Here we go 
 (Come 'n' get) 
 Oh yeah 
 Here we go 
 (Come 'n' get some of this) 
 Yeah, yeah, yeah 
 (Come 'n' get)"
6,Usher,pop,The Many Ways,"Oh baby 
 My lady 
 You like what you're hearin' baby 
 What's going on 
 I've seen you around my way 
 A couple times 
 You must have just moved around 
 The way right 
 I see all the fellows have been 
 Pressing you for your number 
 I'd like to get to know you, so um... 
 Maybe we can spend some time and 
 Talk on the phone or something 
 I can think of many ways to say 
 I love you 
 And with those many ways there comes 
 A time 
 For me to say I'll put no girls 
 Before you 
 So pretty lady make up your mind 
 Girl you look surprised 
 I've got conversation 
 Cause you ain't checkin' 
 For the kids swing with no 
 Girl can't we please 
 Get past impressions 
 'Cause what I feel for you 
 I swear is legit 
 Your girls tell you watch him 
 He's an entertainer (entertainer) 
 They say I'll hurt you and 
 Break your heart 
 (Your heart, your heart, but they) 
 But they don't now well well 
 Just what I'm feelin' 
 From the first time I saw you 
 I loved you from the very start 
 I saw you 'rounnd my way 
 And I had to meet you 
 But I've got to let you know 
 I'm just somebody (somebody) 
 (Who wants 2 care) who wants 2 care for you 
 With lots of love and patience 
 (For you yeah, yeah, yeah) 
 Sp please understand 
 Why I'm taking my time 
 I'm fallin' deeper and deeper and deeper 
 (Deeper, deeper, deeper) yeah baby 
 And I'm so glad 
 We had this conversation 
 Because girl, when it comes to you 
 There's no confusion 
 (Baby I ain't confused) 
 And I can't get it in your head (no) 
 And I'm having a fit 
 (Young lady) young lady 
 I miss you in my life (yeah) 
 I'm on a mission 
 Just to please you right 
 (Oh yeah) 
 (Sweet lady) sweet sweet lady 
 Thought of no you cuts 
 Just like a knife 
 (Thought of no you cuts 
 Just like a knife) 
 (Girl I've learned) 
 Girl I've learned my lesson 
 No we can't let others in 
 Misery loves some company 
 They don't see it's from within 
 It's you for me and 
 Me for you 
 But first we must be friends (yeah) 
 I'll keep my love comin' and comin' and 
 Comin' babe 
 Girl we can win 
 Oh yeah"
7,Usher,pop,I'll Show You Love,"Oh-ooh-oh 
 I'll show you love more love baby 
 It's all about the love I have in me 
 So baby let me show you love 
 More love baby 
 It's all about the love I have in me 
 So baby let me show you love 
 Now come with me to my hideway 
 That's where you'll find me night and day 
 A place where we can get away 
 No one to stop us when we play 
 Give you everything you need 
 Even get down on my knees 
 Just as long as you believe 
 Be with me and you'll succeed 
 Now you can out your trust in me 
 Good lovin' will be guaranteed 
 As time goes by you'll come to see 
 That you don't need no one but me 
 Give you everything you need 
 Even get down on my knees 
 Just as long as you believe 
 Be with me and you'll succeed 
 You'll never ever find a love like mine 
 Yeah 
 And I gotta be with you all the time 
 I'll show you love"
8,Usher,pop,Interlude 2 (Can't Stop),"I am so Alone 
 I Can't stand this feeling bein without you 
 Ill do whatever it takes to prove I truly love you 
 Don't let me go let's stay together forever and ever 
 Can't sleep without you by my side"
9,Usher,pop,Love Was Here,"Baby tonight 
 If you come home 
 I'll make it right oh no 
 Love was here and gone 
 I ask myself 
 Now why have I been dreaming 
 2 bring imaginary 
 Real 2 life 
 I've done some searchin' 
 And prayin' 
 That you would always be stayin' (oh) 
 And I would learn 
 Learn 2 treat you right yeah 
 (So if) 
 So if you ask yourself 
 Does he reall love me 
 (Yes I do) 
 Will I be true 
 Throughout the time 
 (Ask yourself) 
 Do I know how 2 take good care of you 
 The answer that I truly love you 
 (And I really need you) 
 Will pop right in your mind 
 Love was here Baby 
 But now you're gone So far gone 
 Baby please Baby please 
 Please come home 
 Love was here Love was here 
 But you're gone 
 Baby please Baby 
 Just come back home Come home, come 
 Home, come home 
 Come on home 
 Come on home Um... 
 I've given you a reason 
 Let me know (um yeah) 
 2 make your leave, it must have been 
 That I don't show 
 (You love) 
 You love the way you need 
 So girl I can't complain 
 (No) 
 Let's try to work it out 
 My heart's truly ashamed 
 (So if) 
 So if you ask yourself 
 Does he really love me 
 (Yes I do) 
 Will I be true 
 Throughout the time 
 (Ask yourself) 
 And do I know how 2 take good care of you 
 (Well, well) 
 The answer that I truly love you 
 (And I really need you) 
 Would pop right in your mind 
 Come home Come home come home 
 (Come on home Girl just come on home 
 Come on home) This time I'll do you right 
 Let's ignore the 
 Fuss and fight 
 Just come back home 
 Try to bring us back girl 
 So don't you ever leave 
 I used to love you But you're gone 
 I wanna hold you So come back home 
 I wanna be with you You and I alone 
 So baby please Oh 
 I used to love you But you're gone 
 I wanna hold you Please come back home 
 I wanna be with you I wanna be with you 
 So baby please Baby come back come 
 Back home 
 Love was here yeah 
 Now you're gone 
 Baby please now 
 Come home come"
10,Usher,pop,Whispers,"If I could I'd tell you (I would tell you how) 
 I feel girl, when I'm close to you 
 At times I'd wish that my (heart could tell you how) 
 Much I love you, but my heart speaks in whispers... 
 If my heart could speak you'd know 
 Girl if my heart could speak you'd know 
 That I love you so (and I'll never let you go 
 Oh-no) 
 If you can feel what I felt (just now, kiss me) 
 To prove that your love for me is true 
 Two hearts that beat as one, send signals 
 To each other in whispers... 
 I would tell you how I felt, if I could find the words 
 To describe (the way I feel when you are near) 
 Whenever you are by my side 
 What I feel inside is deep and I just don't know 
 What to say (because my words get in the way) 
 Everytime I try to say (I love you) what I feel 
 Deep inside"
11,Usher,pop,You Took My Heart,"You took my heart and ran away 
 Forever in my heart you'll stay 
 No matter what we've been through 
 I'm going to keep on loving you 
 It's not the way that I feel 
 'Cause I'm really in love with you (ah yeah) 
 You stole my heart then you ran away 
 What am I to say, I love you anyway (oh baby) 
 My love for you will never change 
 'Cause I still feel the same way 
 The love I have for you will never grow old (oh no) 
 My life had changed because of you 
 And I need you right here with me 
 There's no substitute for you 
 As far as I can see 
 You're the one for me 
 My life had changed because of you 
 And I need you right here with me 
 There's no substitute for you 
 As far as I can see 
 You're the one for me 
 Every night and day 
 Thinking of you by my side 
 Here with me is where you ought to be 
 My life had changed because of you 
 And I need you right here with me 
 There's no substitute for you 
 As far as I can see 
 You're the one for me"
12,Usher,pop,Smile Again,"Oh ooh yeah ah oh yeah 
 La La La La La La La 
 Smile again 
 Just smile again 
 I'll always be there for you 
 What can I do to make you smile again 
 Just smile again 
 I'd like to know what's on your mind 
 Because I see you crying all the time 
 I don't understand 
 Who'd wanna hurt your heart like this and 
 Cause you so much pain 
 Here's my shoulder 
 You can lean on me 
 I wanna see you happy 
 (I want to see you happy 
 Why not just let me make you smile again) 
 Just wanna see you smile 
 How I can ease the pain you feel 
 What can I do to take the tears away 
 Baby talk to me 
 You say he's hurt you many times 
 But now that's over let me take his place 
 Your problems I'll erase 
 You need someone that you can depend on 
 To brighten up every day (every day) oh yeah 
 I am the one that you been searchin' for 
 And all you have to do is 
 Smile again for me yeah 
 (Smile again for me) 
 Let me be the one 
 Let me be the one to make you smile 
 Smile again 
 Just smile again 
 Let me love you 
 I can show you 
 Just what it means to me 
 Please smile for me"
